[00:00:30.229 --> 00:00:31.071]  Yeah.
[00:03:11.126 --> 00:03:18.772]  And then the scum of society, the worst, the Count Draculas of society, are ruling over this throng of pathetic slaves.
[00:03:19.132 --> 00:03:19.533]  Here he is.
[00:03:22.133 --> 00:03:32.181]  Losing in the courts, and in the court of public opinion, these forces of intolerance remain determined to undermine and roll back the progress you all have made.
[00:03:33.422 --> 00:03:38.586]  This time, they, not you, have an ally in the White House.
[00:03:39.107 --> 00:03:41.128]  This time, they have an ally.
[00:03:42.049 --> 00:03:45.432]  They're a small percentage of the American people, virulent people.
[00:03:47.153 --> 00:03:48.895]  Some of them the dregs of society.
[00:03:50.017 --> 00:04:03.544]  And instead of using the full might of the executive branch to secure justice, dignity, safety for all, the president uses the White House as a literal, literal bully pulpit.
[00:04:04.445 --> 00:04:10.168]  Callously, callously exerting his power over those who have little or none.
[00:04:11.668 --> 00:04:12.669]  Some of you in this room
[00:04:13.604 --> 00:04:23.692]  Maybe fortunate enough to live in cities or work for companies, or protected by law or by policy, with privilege and access to defend yourselves and your families.
[00:04:24.993 --> 00:04:30.157]  But across the country, too many of our fellow Americans lack those basic comforts.
[00:04:31.658 --> 00:04:34.040]  And that's especially true for young people.
[00:04:35.921 --> 00:04:38.043]  Many of you are familiar with the Trevor Project.
[00:04:40.421 --> 00:04:43.423]  Alright, well this is just total loads of bull if you know the facts.
[00:04:43.483 --> 00:04:45.444]  I mean Trump's bringing the prosperity for everybody.
[00:04:45.804 --> 00:04:47.224]  These guys suppress it on purpose.
[00:04:47.244 --> 00:04:48.665]  Look at blue cities they run.
[00:04:49.345 --> 00:04:52.127]  Hell holes of degradation and pain.
[00:04:52.687 --> 00:04:55.148]  It's all coming up on this live global transmission.
[00:04:55.649 --> 00:04:58.350]  Infowars.com, Newswars.com.
[00:04:58.390 --> 00:05:02.052]  Spread those links or we don't have any hope against these horrible bloodsuckers.
[00:05:03.666 --> 00:05:10.930]  Western Europe has already banned free speech, and an iron curtain of censorship is descending down over the UK.
[00:05:11.310 --> 00:05:18.854]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[00:05:19.234 --> 00:05:22.316]  We know we're only about a year or two behind what's happening in the UK.
[00:05:22.956 --> 00:05:27.219]  CNN and many others are calling for InfoWars to be shut down, taken off the web.
[00:05:27.599 --> 00:05:31.522]  Slate Magazine has a professor and others saying, go beyond censorship.
[00:05:31.742 --> 00:05:34.464]  Brainwash young people against InfoWars.
[00:05:34.884 --> 00:05:39.147]  Psychologically inoculate them with lies so they don't actually hear what we have to say.
[00:05:39.648 --> 00:05:42.650]  We are the most hated news source in the world by globalists.
[00:05:43.090 --> 00:05:57.923]  It is so critical that you go to InfoWars.com forward slash newsletter and sign up for the free newsletter so we can be in contact with you and so the censors can't bully their way in and block us being able to engage in free open dialogue as a society.
[00:05:58.183 --> 00:05:59.464]  That is critical to this fight.
[00:05:59.724 --> 00:06:01.886]  We will prevail if you take action and I know you
[00:06:13.470 --> 00:06:15.177]  The Alex Jones Show.
[00:06:15.598 --> 00:06:18.468]  Because there is a war on for your mind.
[00:06:28.268 --> 00:06:30.049]  It's Sunday, September 16, 2018.
[00:06:30.169 --> 00:06:32.450]  I'm your host, Alex Jones.
[00:06:32.950 --> 00:06:35.231]  We're here every Sunday, 4 to 6 p.m.
[00:06:35.271 --> 00:06:35.611]  Central.
[00:06:35.631 --> 00:06:37.512]  We're back weekdays, 11 a.m.
[00:06:37.532 --> 00:06:38.052]  to 3 p.m.
[00:06:38.072 --> 00:06:43.214]  on all the other great live broadcasts we have that's simulcast on AM and FM stations, TV, cable, around the country.
[00:06:43.934 --> 00:06:48.956]  I saw the new talking point over the weekend from CNBC, Reuters, CNN.
[00:06:50.517 --> 00:06:55.299]  After the fall of Alex Jones, the rise and fall of Alex Jones,
[00:06:56.288 --> 00:06:58.028]  We have a bigger audience than we've ever had.
[00:06:59.429 --> 00:07:00.629]  I've got our own internal numbers.
[00:07:00.689 --> 00:07:05.450]  I've shown the videos just a week and a half ago on Twitter before they banned that.
[00:07:05.630 --> 00:07:07.170]  Look, here's Google Analytics.
[00:07:07.730 --> 00:07:08.471]  Record traffic.
[00:07:10.131 --> 00:07:18.453]  But they want that perception that if you don't go along with the globalists, if you don't go along with open borders or gun control, you're not going to get an admission to college.
[00:07:18.853 --> 00:07:20.273]  You're not going to get a corporate job.
[00:07:20.553 --> 00:07:22.454]  You're not going to have any access online.
[00:07:22.834 --> 00:07:24.114]  You better submit.
[00:07:25.640 --> 00:07:31.743]  So they're trying to bully the American people, and now it's come out the tables have been turned.
[00:07:32.504 --> 00:07:38.827]  ThinkProgress, another Jordan Soros funded fake news outlet, gets censored by Facebook fact checkers.
[00:07:39.848 --> 00:07:42.909]  Stories up on Infowars.com got picked up by a bunch of publications.
[00:07:43.970 --> 00:07:47.672]  And here they are calling for me to be banned just a few weeks ago and celebrating it.
[00:07:48.592 --> 00:07:54.676]  And they're like, how dare Facebook censor us saying that, you know, Kavanaugh
[00:07:55.603 --> 00:07:58.185]  said that he wants to overturn Roe v. Wade, which he never said.
[00:07:58.966 --> 00:08:14.160]  And so they had the neocon outfit Weekly Standard come, and they're now part of the fact-checking group, along with the Southern Poverty Law Center and Media Matters and George Soros groups, and Snopes, famously fake.
[00:08:16.038 --> 00:08:18.119]  So that's the group that lied about WMDs in Iraq.
[00:08:18.179 --> 00:08:19.900]  That's the group that was never Trump.
[00:08:19.960 --> 00:08:29.344]  That's the group that has been involved in so much corruption, headed up by Mr. Kristol, whose father was the head of the Trotskyites and a famous communist, worked for Leon Trotsky.
[00:08:30.724 --> 00:08:32.325]  That is one of the worst groups you could have.
[00:08:32.605 --> 00:08:36.307]  But of course they've got the Democrats coming in and censoring.
[00:08:36.347 --> 00:08:43.130]  And now we've got to have token conservatives from the Weekly Standard, who are even worse than the Democrats in many cases, warmongering neocons.
[00:08:44.485 --> 00:08:55.467]  And they'll be the new superclass that decides what's real and not, and so they'll just remove it off Facebook and then give a warning to ThinkProgress that if you do this anymore, we may ban you.
[00:08:59.708 --> 00:09:00.308]  Think about that.
[00:09:01.968 --> 00:09:09.470]  A ruling Republican-Democrat blue-blood establishment that decides who and who can't post and what's real and what isn't.
[00:09:10.290 --> 00:09:11.650]  Oh, there'll be no one fact-checking.
[00:09:13.018 --> 00:09:29.709]  Weekly Standard or CNN, even though Anderson Cooper got caught standing there up to his chest in a creek, claiming he was amongst flooded houses with his crew all standing around him on dry ground, or the Weather Channel with a guy being blown everywhere and people just stroll right past him like it's no big deal.
[00:09:30.029 --> 00:09:31.090]  We all know what's fake.
[00:09:31.790 --> 00:09:32.971]  We can make our own decision.
[00:09:32.991 --> 00:09:35.673]  We can smell the truth, as Tucker Carlson says.
[00:09:36.513 --> 00:09:40.276]  So let it all rise or fall and let the people decide.
[00:09:41.189 --> 00:09:51.656]  Don't have fact checkers, failed CNN, failed New York Times, failed Weekly Standard that loses money every month.
[00:09:52.536 --> 00:10:00.061]  Don't have them as the new super class that is up there deciding what you can and can't see.
[00:10:00.462 --> 00:10:01.802]  Let us see it all.
[00:10:02.283 --> 00:10:05.525]  But see, we're not being banned and restricted because InfoWars is a lie.
[00:10:06.459 --> 00:10:11.302]  We're being banned and restricted because what we're saying is the truth and is viral and is infectious.
[00:10:11.682 --> 00:10:12.243]  And here's the key.
[00:10:13.583 --> 00:10:25.071]  They want to remove us off air so that they can then lie about us and say whatever they want by building a straw man and going to the ring or the arena and beat us up.
[00:10:29.614 --> 00:10:33.356]  And then we don't have a chance to respond.
[00:10:35.438 --> 00:10:38.201]  You want to see the article, we'll pull it up from Infowars.com.
[00:10:38.842 --> 00:10:43.106]  Anderson Cooper caught in massive fake news.
[00:10:43.186 --> 00:10:48.952]  Anderson Cooper caught in deception of the American people.
[00:10:51.695 --> 00:10:54.358]  Anderson Cooper caught in major performance art.
[00:10:55.739 --> 00:10:58.242]  Can't they even report?
[00:11:03.118 --> 00:11:03.838]  On the weather?
[00:11:04.839 --> 00:11:05.319]  Accurately?
[00:11:06.219 --> 00:11:07.600]  Can't they even do that?
[00:11:08.460 --> 00:11:12.222]  And the answer is, no they can't because they're all about deception.
[00:11:12.462 --> 00:11:14.863]  They teach in journalism school how to lie now.
[00:11:14.883 --> 00:11:18.645]  Remember Gruber?
[00:11:19.806 --> 00:11:23.087]  Said he was hired by Obama to lie to people and Obama admitted it.
[00:11:23.367 --> 00:11:28.670]  And he's up there at universities giving speeches to graduate students about how to be a better liar and how to deceive people.
[00:11:28.910 --> 00:11:31.751]  And they're all rubbing their hands together like he's God.
[00:11:34.124 --> 00:11:44.775]  So the fact that they've gotten away with so much to them means, well, Trump only got in because we didn't lie enough, you see.
[00:11:45.215 --> 00:11:48.719]  But they can't have the real fact-checkers out there like InfoWars.
[00:11:51.155 --> 00:11:54.656]  They can't have us there because then it calls them on their lies.
[00:11:55.137 --> 00:12:05.941]  They want to, as a big corporate massive group, lie to us en masse and not have anyone be able to oppose it or respond to it in any way.
[00:12:07.302 --> 00:12:08.462]  Now we come back from break.
[00:12:09.283 --> 00:12:15.665]  A lengthy Joe Biden speech that tells whopper after whopper after whopper.
[00:12:15.685 --> 00:12:19.267]  And I'm going to try to just get to a few clips of it and just analyze the lies that are there.
[00:12:21.491 --> 00:12:35.400]  It is like the worst around the fire stories you're trying to tell when you're out camping with your dad and your grandpa and they try to scare you when you're five years old and they go, let us tell you the story of the headless ghoul that rides through this area of Texas.
[00:12:36.560 --> 00:12:46.627]  Oh, he's got big red eyes and big long fangs and he's got a forked tail and just legend has it near here a few years ago he grabbed some kids during the night
[00:12:48.069 --> 00:12:54.753]  He's up there going, they ride on horses with white hoods, burning torches and Trump wouldn't stop them.
[00:12:55.694 --> 00:12:57.095]  They're the KKK.
[00:12:57.255 --> 00:13:06.501]  I mean, it is the most ridiculous lies when it's the Democratic Party and the Republicans that passed the Civil Rights Act.
[00:13:06.601 --> 00:13:11.004]  Martin Luther King was a Republican, but the public doesn't have history, so they don't know.
[00:13:12.845 --> 00:13:13.886]  That's all coming up.
[00:13:14.983 --> 00:13:17.904]  In the next segment, and Matt Drudge warns of midterm bloodbath.
[00:13:19.185 --> 00:13:22.406]  Trump to lose 60 seats in the House like Obama, unless.
[00:13:22.886 --> 00:13:24.027]  We'll give you the unless.
[00:13:24.807 --> 00:13:32.870]  We've got Cortez on how she'd pay $40 trillion for socialist programs with $2 trillion falling flat on her face.
[00:13:33.690 --> 00:13:42.674]  We've got the New York Times and others now saying that, again, Obama gets credit for the economy, but since Trump's getting credit, let's just change how the numbers are looked at.
[00:13:43.462 --> 00:13:45.443]  Hollywood celebrates Paul Manafort guilty plea.
[00:13:46.023 --> 00:13:47.223]  Checkmate F.U.
[00:13:47.283 --> 00:13:47.603]  Trump.
[00:13:48.403 --> 00:13:52.185]  But it's... He's pleading guilty on not paying taxes.
[00:13:53.885 --> 00:13:54.365]  15 years ago.
[00:13:54.485 --> 00:13:55.706]  So where's your Russiagate?
[00:13:55.966 --> 00:13:56.846]  See, it's not that now.
[00:13:58.306 --> 00:14:01.547]  We're also going to look at young girl raped by 100 Islamic men.
[00:14:01.947 --> 00:14:04.528]  You'll see how the mainstream media spun that.
[00:14:05.008 --> 00:14:07.129]  And so much more here today.
[00:14:11.138 --> 00:14:12.858]  And we also have an amazing report from Emily Weaver.
[00:14:12.878 --> 00:14:16.839]  Democrats are desperate for black vote, but they're not getting it, and that's why they're so scared.
[00:14:16.919 --> 00:14:19.340]  Another key report as well.
[00:14:20.280 --> 00:14:30.663]  When I had Eric Bolling, formerly of Fox News, now with CRTV, here in studio last week, he said, you know, how dare you say there were bombs in the buildings?
[00:14:30.763 --> 00:14:32.043]  How dare you say that?
[00:14:32.884 --> 00:14:36.284]  And I said, Eric, I have clips of Trump saying it.
[00:14:36.825 --> 00:14:37.925]  He said, I want to see them.
[00:14:39.275 --> 00:14:43.097]  We're five minutes towards the end of the show and I said, I'll make a special video for you.
[00:14:43.617 --> 00:14:45.257]  And then we'll air it, then I'll send you that video.
[00:14:45.297 --> 00:14:46.878]  So we're going to premiere it here tonight.
[00:14:48.439 --> 00:14:49.239]  Start of the next hour.
[00:14:50.359 --> 00:14:51.940]  And Roger Stone's on Big Exclusive News.
[00:14:52.420 --> 00:14:55.341]  And then I'm going to put it up to Infowars.com on our own video feeds.
[00:14:56.722 --> 00:14:59.363]  And we're going to send that out to Mr. Bowling.
[00:14:59.823 --> 00:15:00.523]  He's a good guy.
[00:15:00.844 --> 00:15:01.284]  He means well.
[00:15:01.304 --> 00:15:01.904]  He's a boy scout.
[00:15:02.864 --> 00:15:04.225]  And he's an economist.
[00:15:06.098 --> 00:15:11.862]  And he just can't believe where I get this stuff that I heard that day there were bombs in the buildings.
[00:15:11.902 --> 00:15:15.865]  Now maybe that's not true, but the media attacked me and said it never happened.
[00:15:18.266 --> 00:15:19.647]  I talked to the police that said no.
[00:15:20.268 --> 00:15:22.569]  The feds were inside building 7 and said get ready.
[00:15:22.849 --> 00:15:24.871]  They had a 10 second countdown and blew it up.
[00:15:26.067 --> 00:15:26.507]  And guess what?
[00:15:26.547 --> 00:15:31.130]  On PBS, inadvertently, they had the video of the countdown and 7 being blown up.
[00:15:31.150 --> 00:15:32.191]  So you're going to see all that.
[00:15:32.811 --> 00:15:33.632]  It's a 6-minute video.
[00:15:33.652 --> 00:15:36.294]  We've got a 15-minute one coming out Tuesday.
[00:15:37.154 --> 00:15:38.996]  So I'm just going to show you why I question.
[00:15:39.016 --> 00:15:40.357]  Doesn't mean I don't think Islamic terror is real.
[00:15:40.777 --> 00:15:41.157]  None of that.
[00:15:41.337 --> 00:15:46.961]  It means we've been lied to and there's a criminal alliance bipartisanly with radical Islam that needs to stop.
[00:15:48.102 --> 00:15:49.162]  Infowars.com.
[00:15:50.563 --> 00:15:51.584]  Newswars.com.
[00:15:51.984 --> 00:15:55.367]  You know you're listening to the number one most banned broadcast in the world.
[00:15:55.407 --> 00:15:55.847]  Why is it?
[00:15:57.022 --> 00:15:57.883]  Because we tell the truth.
[00:15:57.963 --> 00:15:58.705]  We love America.
[00:15:58.745 --> 00:15:59.326]  We love freedom.
[00:15:59.346 --> 00:16:00.227]  We're not backing down.
[00:16:02.871 --> 00:16:05.175]  Infowars Life is launching its newest product.
[00:16:05.215 --> 00:16:06.957]  We're really, really proud of it.
[00:16:07.378 --> 00:16:10.202]  It's a best source prebiotic fiber.
[00:16:11.292 --> 00:16:22.344]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[00:16:22.785 --> 00:16:31.915]  And it synergistically works with our 50 billion live active culture flora life as well as MycoZx that targets the yeast, the mold, and the funguses in the gut.
[00:16:32.375 --> 00:16:37.937]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[00:16:38.158 --> 00:16:43.320]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[00:16:43.600 --> 00:16:45.561]  And I'm doing this to introduce these products to you.
[00:16:45.861 --> 00:16:46.381]  Buy these!
[00:16:47.001 --> 00:16:47.882]  Sold out in a month!
[00:16:49.155 --> 00:16:51.956]  Strongest concentrated turmeric formula we could come up with.
[00:16:52.177 --> 00:16:53.557]  It sold out for another month and a half.
[00:16:54.198 --> 00:16:56.739]  We sold it at 50% off till it sold out.
[00:16:57.499 --> 00:16:59.460]  And I think it's gonna be the same way with this fiber.
[00:17:00.040 --> 00:17:00.821]  Get yours today.
[00:17:01.141 --> 00:17:02.321]  InfoWarsLife.com.
[00:17:02.621 --> 00:17:07.844]  Climb to the top of the food chain with Alpha Power by InfoWars Life.
[00:17:08.604 --> 00:17:11.925]  For those who want to increase testosterone and energy levels.
[00:17:12.765 --> 00:17:20.127]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[00:17:20.807 --> 00:17:27.148]  This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
[00:17:27.969 --> 00:17:33.150]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[00:17:33.790 --> 00:17:52.088]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia, maca root from Peru, horny goatweed from China, and tribulus from India.
[00:17:52.908 --> 00:17:56.431]  Reach your alpha male potential with Alpha Power.
[00:17:57.012 --> 00:18:01.875]  Head to InfoWarsLife.com and secure your bottle today.
[00:18:02.236 --> 00:18:08.981]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWarsLife has the formula for you.
[00:18:09.702 --> 00:18:18.369]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:18:18.949 --> 00:18:28.029]  Containing powerful antioxidants such as astaxanthin and omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:18:28.977 --> 00:18:39.722]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:18:40.423 --> 00:18:49.527]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:18:49.967 --> 00:18:52.311]  Paired with our Ultimate Fish Oil or used separately.
[00:18:52.711 --> 00:18:56.096]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[00:18:56.397 --> 00:18:58.540]  Now available at InfoWarsStore.com
[00:19:05.523 --> 00:19:06.924]  Let's talk to Victor in Florida.
[00:19:06.984 --> 00:19:08.845]  Victor, you're calling, go ahead.
[00:19:08.945 --> 00:19:10.366]  Yes, hi Alex.
[00:19:10.486 --> 00:19:16.690]  First, I just want to mention if people just go and try the products, they will be ordering all the time.
[00:19:16.890 --> 00:19:20.872]  I've ordered several of the products over and over because it's amazing.
[00:19:21.113 --> 00:19:22.574]  In particular, Silver Bullet.
[00:19:22.934 --> 00:19:29.838]  As soon as I start to feel like I get a little sick, you know, maybe like a little raspiness in my throat, I drop some Silver Bullet and it like
[00:19:30.138 --> 00:19:32.780]  I'll still feel a little sick, but it won't last as long.
[00:19:32.860 --> 00:19:36.262]  And I just ordered the body, the alpha power, and the pollen block.
[00:19:36.562 --> 00:19:38.143]  Well, let me just say something, Victor.
[00:19:38.183 --> 00:19:46.008]  It's people like you that then fund the whole operation, because a very small percentage of people buy products, and a very small percentage of them buy a lot of the products, so thank you.
[00:19:46.048 --> 00:19:51.872]  But when you mention the Silver Bullet Coil Silver, it's got thousands of reviews, a 98% review.
[00:19:51.992 --> 00:19:53.473]  It is our highest reviewed product.
[00:19:53.693 --> 00:19:57.315]  Because it is from the top lab in the country, discounted, high-quality colloidal silver.
[00:19:57.376 --> 00:20:00.418]  It's not a silver bullet, but it's the closest thing you're gonna find to a silver bullet.
[00:20:06.061 --> 00:20:08.763]  You're listening to the Alex Jones Show.
[00:20:14.267 --> 00:20:19.350]  From the front lines of the information war, it's Alex Jones.
[00:20:40.862 --> 00:20:46.988]  So, we always hear that Trump is this really mean person, he wants to shut down free speech.
[00:20:48.189 --> 00:20:50.391]  But he's not calling for shutting down anybody's free speech.
[00:20:51.232 --> 00:20:57.497]  It's the mainstream corporate media that wants all conservatives, all libertarians, all Christians, all veterans groups banned off the internet.
[00:20:57.517 --> 00:20:58.478]  We've got U.S.
[00:20:58.498 --> 00:21:02.242]  Senators Wyden and Warner and Murphy
[00:21:03.516 --> 00:21:05.617]  Saying Alex Jones is only the beginning.
[00:21:05.677 --> 00:21:06.797]  Get rid of thousands.
[00:21:06.877 --> 00:21:08.097]  Get rid of Rush Limbaugh.
[00:21:08.117 --> 00:21:13.019]  We have the Federal Election Commission persecuting anybody that donates to Republicans.
[00:21:13.619 --> 00:21:16.560]  We have the IRS going after churches and Christian groups.
[00:21:16.860 --> 00:21:19.320]  We have a reign of terror and bullying going on.
[00:21:21.821 --> 00:21:31.904]  But then we've got Joe Biden with all of his corruption and protecting Bill Clinton who protected Al Qaeda and then supporting the Arab Spring under Obama and Hillary.
[00:21:33.513 --> 00:21:41.179]  And Uranium One and the KKK background of the Democrats saying that he wants to pick a fight with bullies.
[00:21:42.880 --> 00:21:44.081]  Meaning Trump and their supporters.
[00:21:44.121 --> 00:21:55.691]  No, you're the ones beating us over the head with bike locks, throwing coffee on us, shooting Congressman Scalise, calling for Trump's overthrow, calling for the economy to be destroyed so that we can stop Trump.
[00:21:56.311 --> 00:21:57.132]  That's the Democrats.
[00:22:00.046 --> 00:22:03.449]  But now he says we're the dregs of society.
[00:22:03.529 --> 00:22:05.210]  Let's look up the definition of dregs.
[00:22:05.970 --> 00:22:15.277]  It means winos, drug addicts, pickpockets, thugs, child molesters, murderers, ex-convicts.
[00:22:15.958 --> 00:22:17.079]  The lowest of the low.
[00:22:17.679 --> 00:22:21.742]  The remains of liquid left in a container together with sediment or grounds.
[00:22:22.142 --> 00:22:23.964]  The most worthless parts of something.
[00:22:25.632 --> 00:22:27.473]  The crap inside intestines.
[00:22:27.913 --> 00:22:29.894]  You can take pig intestines and make chitlins.
[00:22:30.054 --> 00:22:31.034]  Gotta clean out the crap.
[00:22:31.715 --> 00:22:33.716]  Boil the guts and then fry them.
[00:22:33.976 --> 00:22:34.336]  I've had them.
[00:22:34.356 --> 00:22:35.937]  It's a southern dish.
[00:22:37.457 --> 00:22:40.779]  But the dregs would be the guts.
[00:22:40.839 --> 00:22:41.799]  You'd throw out the dregs.
[00:22:42.800 --> 00:22:49.603]  So if you go to a Democratic Party function or a liberal event, they look like they're dead.
[00:22:50.509 --> 00:22:53.173]  They look like they've been beaten the head with a baseball bat.
[00:22:53.794 --> 00:22:54.936]  They stumble around.
[00:22:55.036 --> 00:22:56.157]  Most people can hardly talk.
[00:22:56.678 --> 00:22:59.442]  And I don't feel powerful when I see a group of Democrats.
[00:23:00.225 --> 00:23:01.146]  I feel sorry for them.
[00:23:01.666 --> 00:23:06.191]  And that's why they're really censoring conservatives and nationalists off of Facebook and Twitter and YouTube.
[00:23:06.471 --> 00:23:23.067]  Because we would all, even under censorship, we used to have videos with 30, 40 million views, under censorship routinely a million, two million views, going out and just pointing a camera at a crowd of Democrats with the F your mother, white people are monkey subhumans, you know, we're gonna
[00:23:24.161 --> 00:23:24.841]  Kill you!
[00:23:25.602 --> 00:23:34.467]  And then you go to the next person, and the next person, and the next person, and the next person, and the next person, and they all sound like something out of a Hellraiser movie.
[00:23:37.449 --> 00:23:44.273]  So when he calls us dregs, think about the projection.
[00:23:45.595 --> 00:23:57.364]  That Joe Biden's involved in because Hillary in the WikiLeaks calls her supporters worthless, dumb, stupid baristas that want something more from her when they're lazy living in their mom's basement.
[00:23:57.404 --> 00:23:57.884]  Close quote.
[00:23:58.625 --> 00:24:00.746]  Trump says, I want to get you out of your mom's basement.
[00:24:01.187 --> 00:24:02.928]  I believe in you, whether you're white or black.
[00:24:03.509 --> 00:24:06.651]  And you see him try to move us an economy back and have a culture of working.
[00:24:07.051 --> 00:24:08.993]  And they flip out and say he's a loser.
[00:24:09.393 --> 00:24:10.454]  He's a crazy man.
[00:24:10.754 --> 00:24:13.236]  He's the worst thing since gonorrhea.
[00:24:14.787 --> 00:24:16.768]  So let's start going to this Joe Biden piece.
[00:24:19.290 --> 00:24:22.851]  Joe Biden refers to Trump supporters as dregs of society.
[00:24:23.052 --> 00:24:23.512]  Here he is.
[00:24:24.092 --> 00:24:25.213]  They have an ally.
[00:24:26.193 --> 00:24:28.415]  They're a small percentage of the American people.
[00:24:28.635 --> 00:24:29.595]  Virulent people.
[00:24:31.296 --> 00:24:33.077]  Some of them the dregs of society.
[00:24:33.878 --> 00:24:36.099]  They have an ally.
[00:24:36.119 --> 00:24:37.800]  So there's your dregs of society clip.
[00:24:38.703 --> 00:24:53.207]  Now let's go to a larger clip where he talks about the KKK riding through the night with burning torches, and they're coming to get you, like they're telling ghost stories to little kids, and they're the people that hate you if you're gay, and they're the people that hate you if you're black.
[00:24:53.848 --> 00:24:54.728]  But here's the good news.
[00:24:55.908 --> 00:25:03.831]  Americans, no matter what color they are or where they came from, are figuring out that the Trump economy is a lot better, that the establishment is against Trump.
[00:25:03.851 --> 00:25:05.331]  So let's go ahead and start going to this.
[00:25:09.281 --> 00:25:09.861]  Gay marriage.
[00:25:11.242 --> 00:25:20.987]  But this onslaught that we're seeing does require, require us not only to be vigilant, but be more aggressive and demand more.
[00:25:21.728 --> 00:25:29.732]  Demand more of our leaders who represent basic American values of respect, decency, equality.
[00:25:30.032 --> 00:25:31.693]  Giving hate no safe haven.
[00:25:31.873 --> 00:25:32.253]  Pause.
