[00:00:00.349 --> 00:00:01.770]  Okay, last time.
[00:04:51.492 --> 00:04:52.512]  Shut up, CNET!
[00:04:52.952 --> 00:04:57.314]  You foaming at the mouth anti-free speech so-called journalists, you're gonna screw up our takeover!
[00:05:02.944 --> 00:05:04.365]  Let's talk to Victor in Florida.
[00:05:04.425 --> 00:05:05.866]  Victor, you're calling.
[00:05:05.926 --> 00:05:06.267]  Go ahead.
[00:05:06.387 --> 00:05:06.647]  Yes.
[00:05:07.107 --> 00:05:07.828]  Hi, Alex.
[00:05:07.928 --> 00:05:14.133]  First, I just want to mention, if people just go and try the products, they will be ordering all the time.
[00:05:14.353 --> 00:05:18.316]  I've ordered several of the products over and over because it's amazing.
[00:05:18.557 --> 00:05:19.998]  In particular, Silver Bullet.
[00:05:20.358 --> 00:05:27.084]  As soon as I start to feel like I get a little sick, you know, maybe like a little raspiness in my throat, I drop some Silver Bullet in it.
[00:05:27.164 --> 00:05:30.006]  Like, I'll still feel a little sick, but it won't last as long.
[00:05:30.886 --> 00:05:35.587]  Well, let me just say something, Victor.
[00:05:35.627 --> 00:05:43.448]  It's people like you that then fund the whole operation, because a very small percentage of people buy products, and a very small percentage of them buy a lot of the products, so thank you.
[00:05:43.468 --> 00:05:49.289]  But when you mention the Silver Bullet colloidal silver, it's got thousands of reviews, a 98% review.
[00:05:49.429 --> 00:05:54.730]  It is our highest-reviewed product, because it is from the top lab in the country, discounted, high-quality colloidal silver.
[00:05:54.750 --> 00:05:57.811]  And it's not a silver bullet, but it's the closest thing you're going to find to a silver bullet.
[00:06:03.228 --> 00:06:07.270]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.810 --> 00:06:13.832]  If you are receiving this transmission, you are the resistance.
[00:06:21.335 --> 00:06:29.858]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:38.160 --> 00:06:44.263]  It was Hunter S. Thompson who invented Gonzo Journalist, where you make the story about yourself.
[00:06:44.343 --> 00:06:49.306]  I mean, others have done it, but he coined the term Gonzo Journalism, where you go and create the story yourself.
[00:06:49.927 --> 00:06:51.507]  That is not what InfoWars is doing.
[00:06:51.527 --> 00:06:59.992]  I have a raft of incredible, world-shaking news, extremely exciting, extremely informative, extremely important.
[00:07:01.213 --> 00:07:02.153]  And I'll get to all of it.
[00:07:03.474 --> 00:07:06.796]  But if this was happening to anybody else, it would be my top story.
[00:07:08.857 --> 00:07:26.784]  In fact, I am, quite frankly, pinching myself, thinking maybe this is virtual reality, like Total Recall, and I'm just playing some video game where, you know, I'm the hero fighting the evil eugenicist globalist who are trying to censor everybody and poisoning the water with fluoride, but then it's all real and it's really happening.
[00:07:28.165 --> 00:07:30.286]  I have to pinch myself when
[00:07:32.375 --> 00:07:49.248]  I spent two hours this morning doing different searches on Google, Alex Jones CNN, InfoWars CNN, InfoWars Congress, InfoWars platform banning, InfoWars censored, and each time I'd click it, it'd be 4,000 articles, 2,000 articles, 400 articles.
[00:07:49.689 --> 00:07:57.455]  There are thousands and thousands and thousands and thousands and thousands and thousands and thousands and thousands and thousands.
[00:07:58.442 --> 00:08:05.607]  Of articles just in the last week saying ban InfoWars and take it off the air.
[00:08:05.867 --> 00:08:08.069]  Ban it on Facebook, YouTube, Twitter.
[00:08:08.409 --> 00:08:09.470]  Shoo it out of existence.
[00:08:10.230 --> 00:08:10.831]  Shut it down.
[00:08:12.452 --> 00:08:13.853]  But that's not why this is important.
[00:08:15.814 --> 00:08:18.816]  This is a PR ad campaign to end the First Amendment.
[00:08:19.056 --> 00:08:21.398]  They're having hearings on it Tuesday in Congress.
[00:08:21.658 --> 00:08:23.099]  We're going to tell you the committee and the rest of it.
[00:08:24.352 --> 00:08:34.143]  When I, the last five or six days since they've been doing this, when I read hundreds of the articles, document cam shot please for TV viewers, this is just from the last three days here, like 60 of them.
[00:08:35.777 --> 00:08:50.525]  They admit in every article going to Facebook and Google conferences, the New York Times, the New York Post, the Washington Post, the LA Times, they all go, we all agree Alex Jones and other conservatives need to be banned.
[00:08:50.865 --> 00:08:54.607]  If they question anything we do, we call them conspiracy theorists or racist and they're banned.
[00:08:56.749 --> 00:09:03.191]  But they said if we're too obvious about banning Jones, there could be anti-trust suits, Trump may do something.
[00:09:03.631 --> 00:09:04.492]  They all think we're dumbs.
[00:09:04.532 --> 00:09:07.072]  They talk to each other in the newspapers like they're only talking to themselves.
[00:09:08.573 --> 00:09:16.836]  And they say, look, Google and Facebook are already censoring conservatives 80%.
[00:09:18.632 --> 00:09:20.454]  Dialing them back, some 97%.
[00:09:21.454 --> 00:09:25.938]  Like Diamonds and Silk, because they're so sweet and articulate and are positive with everybody.
[00:09:26.539 --> 00:09:28.060]  They're just two sweet little ladies.
[00:09:28.400 --> 00:09:29.601]  So they're 97% banned.
[00:09:29.621 --> 00:09:31.323]  They had hearings two months ago and admitted it.
[00:09:31.343 --> 00:09:38.429]  97% dialed back, two entertaining, smart, funny black ladies, talking about how they like free market in America.
[00:09:39.964 --> 00:09:41.624]  That's evil, that's bad.
[00:09:41.924 --> 00:09:50.346]  And they had Congressman Hank Johnson, the guy that says islands float, I'm not joking, saying, shame on you, shame on you, making a lot of money on Facebook.
[00:09:50.726 --> 00:09:51.446]  They never made any money.
[00:09:53.807 --> 00:09:58.788]  We build Facebook, we build YouTube, they say it's this open platform, then they censor people.
[00:10:00.028 --> 00:10:03.629]  And for years, they then deny it.
[00:10:04.617 --> 00:10:13.343]  Oh, we're not shadowbanning, we're not blocking you, we're not... And then you get undercover Veritas videos of YouTube, Google, Facebook, Twitter, with all of their executives.
[00:10:13.363 --> 00:10:20.968]  They have them all on video going, our main enemies, veterans and gun owners, anybody with an American flag on their site, we just shadowban them.
[00:10:21.369 --> 00:10:27.513]  And they think they're talking to people on Facebook and Twitter, but they can't share it to anybody, so they think they're all alone, and they get really depressed.
[00:10:29.480 --> 00:10:30.061]  It's called fraud.
[00:10:30.801 --> 00:10:37.148]  Against a whole class of people censoring and controlling what they can say and do over the modern telephone.
[00:10:37.689 --> 00:10:39.311]  They say landlines are totally going out.
[00:10:39.591 --> 00:10:41.053]  People do use Facebook and Twitter.
[00:10:41.253 --> 00:10:42.434]  They do use private messages.
[00:10:42.634 --> 00:10:44.176]  And they're in there reading all that, so...
[00:10:45.437 --> 00:10:48.680]  They have draconian Chinese communist style censorship coming in.
[00:10:48.720 --> 00:10:51.421]  Communist China now has taken control of Apple.
[00:10:51.461 --> 00:10:57.886]  They've officially moved their interstate run and now let the government run their systems, their iCloud computing, their key codes.
[00:10:58.226 --> 00:10:59.127]  They have the keys of the kingdom.
[00:10:59.587 --> 00:11:04.210]  And notice last week you couldn't send Taiwanese emojis of the Taiwanese flag.
[00:11:04.490 --> 00:11:06.412]  Your phone would crash anywhere in the world.
[00:11:06.932 --> 00:11:16.559]  If you were in the US, or in Germany, or in Russia, or in Japan, or in China, or in Taiwan, or in Hong Kong, or in Durban, South Africa, your phone would crash.
[00:11:16.859 --> 00:11:19.561]  And they said, oh yeah, the government said do that, we did it.
[00:11:20.842 --> 00:11:30.028]  So see, if they can control the emoji you can send, they could ban anybody's voice print, they could ban anybody's image, whatever they want with algorithms, they could ban it.
[00:11:30.409 --> 00:11:33.050]  Think of the control Hitler would have had with this.
[00:11:34.986 --> 00:11:47.113]  I've got literally 60 articles, I counted them here, just the ones I had time to read the last few days, where in every article they admit that they've already banned InfoWars platforms.
[00:11:47.153 --> 00:11:51.815]  They're just angry we're on close to 300 radio stations, 400 TV stations, and 80 plus cable stations.
[00:11:52.296 --> 00:12:03.622]  So they know Congress is listening, the military is listening, the police are listening, and the Streisand effect has happened, where they've been trying to suppress us, and so it's made it even more popular.
[00:12:04.881 --> 00:12:08.964]  So yeah, we don't get shared on Facebook, YouTube, or Twitter like we did before.
[00:12:09.565 --> 00:12:14.888]  And other people have been socially conditioned, other conservatives, to not be hardcore, lest they don't get censored.
[00:12:15.029 --> 00:12:16.129]  But they're still getting censored.
[00:12:16.490 --> 00:12:18.151]  They give in to the scam.
[00:12:18.671 --> 00:12:22.834]  The Pavlovian conditioning of, we give you a piece of meat if you're a good little globalist.
[00:12:23.935 --> 00:12:25.556]  We shock you if you're bad.
[00:12:25.697 --> 00:12:26.937]  It's operant conditioning.
[00:12:27.498 --> 00:12:28.679]  And they admit it.
[00:12:28.739 --> 00:12:29.619]  But see, here's their problem.
[00:12:30.240 --> 00:12:31.381]  Google, Facebook, and Twitter.
[00:12:32.625 --> 00:12:37.848]  Are all saying to CNN and the Washington Post, out of the articles right here, they're saying, stop it!
[00:12:38.608 --> 00:12:40.629]  We've already strangled them, idiots.
[00:12:40.689 --> 00:12:42.090]  They already can't share.
[00:12:42.110 --> 00:12:45.712]  We don't even let Christians share ministry information.
[00:12:46.332 --> 00:12:54.496]  There's an article in World Net Daily where a Christian group said a song about Jesus and it was banned because they said that, you know, that's politically incorrect and is political.
[00:12:55.676 --> 00:13:00.419]  So, so it's happening to everybody ahead of the midterms.
[00:13:01.721 --> 00:13:20.699]  That's the plan, and Europe already has massive censorship, China already has it, and we're adopting a global social credit score, tied into everything you do, where basically the public can vote on you, like Yelp, and so can governments and corporations, where you can't even have a job, or travel, or live.
[00:13:20.979 --> 00:13:25.343]  China's already done this to 12 million people, if you don't submit and play ball.
[00:13:28.220 --> 00:13:28.821]  Yeah, there it is.
[00:13:28.881 --> 00:13:29.761]  Is this a political ad?
[00:13:30.042 --> 00:13:30.902]  Facebook thinks so.
[00:13:31.243 --> 00:13:34.185]  Another thing, as I said, they've banned political advertising, but not for Democrats.
[00:13:34.465 --> 00:13:40.651]  For Christians, for conservatives, for pro-life, for members of Congress that are women, who are conservative, they just banned them.
[00:13:40.811 --> 00:13:42.392]  They're calling for Trump to be banned.
[00:13:42.572 --> 00:13:45.475]  They already block almost all of his push notifications.
[00:13:45.995 --> 00:13:50.619]  When he sends out a tweet, you've got to go to his page to get it and retweet it.
[00:13:53.201 --> 00:13:56.164]  And the President isn't even aware of this when it's admitted.
[00:13:57.412 --> 00:14:03.434]  So, we're writing a detailed report showing the executive saying it, every paragraph that we claim.
[00:14:04.434 --> 00:14:06.815]  We'll have a link to them saying it tomorrow.
[00:14:07.096 --> 00:14:13.779]  A 37-page report is being compiled by Mike Adams, who's an incredible researcher, computer programmer, you name it.
[00:14:13.979 --> 00:14:15.300]  Paul Watson's doing one in the morning.
[00:14:15.800 --> 00:14:31.949]  And these reports will be sent to Congress, they will be sent to the President, and they will detail, not in our words, but in their words specifically, how they've already muzzled nationalists, conservatives, libertarians, how they've cut back the President's reach on the Internet 90%.
[00:14:34.477 --> 00:14:39.320]  And how it's still not working for him because people have broken with the mainstream media and with the big corporate outfits.
[00:14:39.360 --> 00:14:39.880]  But here it is.
[00:14:41.281 --> 00:14:41.922]  TechCrunch.
[00:14:42.862 --> 00:14:46.164]  Facebook would make a martyr by banning InfoWars.
[00:14:46.204 --> 00:14:50.547]  And it goes on to say, Jones is already quarantined like the disease he is.
[00:14:51.837 --> 00:14:58.242]  Don't you understand it opens up anti-trust suits and discrimination and Congress will move if they know?
[00:14:58.262 --> 00:14:58.902]  Go read it!
[00:14:59.283 --> 00:15:04.747]  They think Congress is so dumb that they're in all these articles going, CNN, shut up!
[00:15:06.348 --> 00:15:08.349]  We're already censoring Jones!
[00:15:09.190 --> 00:15:10.070]  And it hasn't worked!
[00:15:10.771 --> 00:15:12.352]  And we're censoring everybody else, you idiot!
[00:15:12.452 --> 00:15:13.233]  Shut up about it!
[00:15:15.066 --> 00:15:17.447]  Just, just, just, just six months ago they were denying it.
[00:15:17.487 --> 00:15:18.767]  Now they have to admit it to Congress.
[00:15:19.427 --> 00:15:20.928]  You understand the liability of this?
[00:15:20.948 --> 00:15:22.428]  Just calling everybody fake news?
[00:15:23.269 --> 00:15:28.870]  We're going to come back and go over these incredible articles, what they're doing, and then shift gears into what Trump's doing and the EU.
[00:15:29.330 --> 00:15:30.031]  So much to cover.
[00:15:30.791 --> 00:15:32.091]  Please stay with us.
[00:15:32.791 --> 00:15:35.912]  We'll be right back on the other side of this important break.
[00:15:35.932 --> 00:15:39.894]  Tell everybody you know how you're listening and to tune in to get through the censors.
[00:15:40.254 --> 00:15:41.074]  You are the resistance.
[00:15:50.824 --> 00:15:55.462]  If you are receiving this transmission, you are the resistance.
[00:15:58.587 --> 00:16:02.430]  We all know that the outside toxins in the water is a serious health issue.
[00:16:02.711 --> 00:16:09.376]  InfoWars is proud to sell incredible filters, but it's almost impossible to keep up with every faucet, shower, and sink in your home.
[00:16:09.837 --> 00:16:14.421]  That's why we're bringing you something to provide clean water for your whole house with one system.
[00:16:14.681 --> 00:16:22.688]  The Pro-Pure Whole House Water Filtration System is an advanced, four-stage, compact filtration system that will provide
[00:16:22.788 --> 00:16:27.630]  With its broad-spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[00:16:45.197 --> 00:16:58.030]  Head to InfoWarsStore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the ProPure Whole House Filtration System today!
[00:16:59.238 --> 00:17:02.199]  Right now is Massive Rampage Force.
[00:17:02.500 --> 00:17:02.760]  Go ahead.
[00:17:03.000 --> 00:17:08.583]  Alex, last night I was on with Laura Ingram and I had done the Alex Jones Show yesterday.
[00:17:08.783 --> 00:17:09.903]  I'd done the War Room.
[00:17:10.183 --> 00:17:12.644]  She's not on until 9.40 Central.
[00:17:12.664 --> 00:17:14.225]  That's 10.40 Eastern.
[00:17:14.265 --> 00:17:14.886]  I was exhausted.
[00:17:15.206 --> 00:17:18.487]  I popped two Brain Force Plus and I was good as new.
[00:17:18.827 --> 00:17:23.470]  I mean, it really is mentally stabilizing, mentally energizing.
[00:17:23.550 --> 00:17:25.311]  Tonight, I'm on with Tucker Carlson.
[00:17:25.331 --> 00:17:25.791]  The same thing.
[00:17:26.271 --> 00:17:28.372]  I'm going to put in a full day here at Infowars.
[00:17:28.472 --> 00:17:29.713]  I'm going to go on the Tucker tonight.
[00:17:29.873 --> 00:17:31.975]  Thank goodness for this great product.
[00:17:31.995 --> 00:17:37.999]  This is my all-time favorite because it's so effective and it doesn't give you that jacked-up energy drink feeling, you know?
[00:17:38.279 --> 00:17:39.120]  You can sleep with it.
[00:17:39.420 --> 00:17:43.723]  And when you stack it with the Red Pill, the mind-body combination, that is the best.
[00:17:43.803 --> 00:17:46.585]  That supercharges your energy, your vitality.
[00:17:46.745 --> 00:17:48.446]  This is the best combination I have found.
[00:17:48.566 --> 00:17:49.266]  It really works.
[00:17:49.486 --> 00:17:54.009]  It's the best mineral-vitamin combination I have found and I've tried them all.
[00:17:56.271 --> 00:17:56.651]  Believe me.
[00:17:58.932 --> 00:18:00.693]  Fueling your body is hard work.
[00:18:01.273 --> 00:18:06.435]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:18:07.035 --> 00:18:15.099]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:18:15.479 --> 00:18:17.700]  There's no better way to power your body.
[00:18:18.220 --> 00:18:24.765]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:18:25.125 --> 00:18:35.672]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:18:36.273 --> 00:18:43.198]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[00:18:43.718 --> 00:18:49.344]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[00:18:49.865 --> 00:18:53.449]  Don't miss out on the chance to fuel your body and support recovery.
[00:18:53.709 --> 00:18:56.853]  Try the InfoWars Life Daily Digestive Pack today!
[00:19:00.965 --> 00:19:09.847]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:19:10.367 --> 00:19:21.390]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[00:19:21.770 --> 00:19:27.513]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:19:27.713 --> 00:19:38.999]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:19:39.199 --> 00:19:43.161]  You can even choose to start your morning healthier with the Immune Support Blend.
[00:19:43.481 --> 00:19:49.584]  Infused with a powerful blend to support your immune response and stamina, it's time to take care of your morning routine.
[00:19:49.884 --> 00:19:55.590]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarrestore.com.
[00:20:02.136 --> 00:20:04.839]  You're listening to the Alex Jones Show.
[00:20:16.749 --> 00:20:18.713]  The battle for the First Amendment is now.
[00:20:18.733 --> 00:20:21.899]  This beach is under attack globally.
[00:20:22.701 --> 00:20:23.602]  Will they recognize it?
[00:20:24.464 --> 00:20:24.925]  Or lose it?
[00:20:44.017 --> 00:20:45.438]  InfoWars.
[00:20:46.159 --> 00:20:47.560]  InfoWars.com.
[00:20:50.662 --> 00:20:51.823]  Tomorrow's news today.
[00:20:52.684 --> 00:21:02.591]  The vaunted, dreaded enemy of globalist scumbags, pedophiles, corporate crony, globalist garbage.
[00:21:03.692 --> 00:21:05.173]  Thank you again so much for joining us.
[00:21:05.633 --> 00:21:08.095]  Now, I have unbelievable news coming up.
[00:21:09.256 --> 00:21:11.738]  The President says he thinks the European Union is a foe.
[00:21:12.662 --> 00:21:17.225]  He's demonized by our traitor media for pointing out the sky is blue.
[00:21:19.347 --> 00:21:25.851]  We're also going to look at Rosenstein not smiling anymore after House Republicans spotted with his impeachment docs.
[00:21:26.571 --> 00:21:28.052]  They're being introduced tomorrow.
[00:21:28.853 --> 00:21:31.635]  Why don't they go along with old Jeff Sessions?
[00:21:31.655 --> 00:21:34.296]  Well, he says if Rosenstein's removed, he'll step down.
[00:21:34.697 --> 00:21:34.877]  Yeah.
[00:21:35.157 --> 00:21:36.198]  Compromise is the name.
[00:21:37.552 --> 00:21:40.593]  Also, we're going to look at Who Is America TV Review.
[00:21:40.633 --> 00:21:42.573]  They're saying it's absolutely boring and horrible.
[00:21:43.173 --> 00:21:46.674]  Sacha Baron Cohen goes around dressed up like me half the movie.
[00:21:46.714 --> 00:21:54.715]  I've talked to folks that have already seen it in Hollywood with Infowars t-shirts and stickers and says horrible racist things attributed to Infowars.
[00:21:55.595 --> 00:21:57.076]  Defamation by comedy.
[00:21:57.956 --> 00:22:02.457]  It'll be another failure and fall flat on its face even though the whole system throws itself behind it.
[00:22:02.497 --> 00:22:03.697]  We're so sick of Hollywood.
[00:22:04.037 --> 00:22:04.677]  It's unbelievable.
[00:22:05.746 --> 00:22:07.187]  But we'll play that review coming up.
[00:22:07.227 --> 00:22:08.668]  We'll play the stupid trailer for it.
[00:22:09.548 --> 00:22:17.373]  Also, he tried to get me in it, and I told the producer, I said, Showtime's not doing a piece about both sides in America to bring us together.
[00:22:17.813 --> 00:22:21.035]  I said, I bet that's a frickin' infiltration hit piece.
[00:22:22.336 --> 00:22:23.076]  And of course it was.
[00:22:23.096 --> 00:22:29.520]  It's like, I never even aired it a few weeks ago when they canceled the opposition that attacked me four nights a week.
[00:22:30.543 --> 00:22:35.826]  Too lazy to work on Friday, a late-night show on Comedy Central, Redstone, Viacom.
[00:22:36.807 --> 00:22:44.532]  And we just gotta thank our lucky stars that the Globalists are still directed by, you know, 95-year-old, you know, Globalist, uh, Crypt Keepers.
[00:22:45.453 --> 00:22:47.374]  Because, huh, it's like,
[00:22:50.270 --> 00:22:56.912]  Dianne Feinstein can't get the endorsement of the Democratic Party in California, and they just endorsed a communist.
[00:22:58.272 --> 00:23:01.994]  I mean, they're showing their real colors, ladies and gentlemen.
[00:23:03.134 --> 00:23:05.355]  And the Democrats keep trying to run Crypt Keepers.
[00:23:05.395 --> 00:23:09.576]  And I love old folks that are patriots, but these old globalists are just a mess.
[00:23:10.596 --> 00:23:15.418]  And everywhere, they just keep trying to run these fossils.
[00:23:16.260 --> 00:23:18.242]  The Democrat Millennials don't want that, man.
[00:23:18.522 --> 00:23:20.043]  They want Venezuela!
[00:23:20.544 --> 00:23:21.645]  They want Antifa!
[00:23:24.007 --> 00:23:25.007]  They want collapse.
[00:23:26.368 --> 00:23:28.871]  They want some free stuff for a couple years and everything to collapse.
[00:23:29.031 --> 00:23:29.951]  Misery loves company.
[00:23:30.072 --> 00:23:33.855]  Well, we're going to stop them, don't worry, but this is serious, so that's all coming up.
[00:23:35.768 --> 00:23:39.230]  Also secret plot to it, Julian Assange from Ecuadorian Embassy Discover.
[00:23:39.270 --> 00:23:40.731]  We're going to get to that.
[00:23:40.751 --> 00:23:44.033]  We're going to get to so much more today that I haven't even mentioned.
[00:23:44.093 --> 00:23:45.974]  But let me just get back to the big enchilada here.
[00:23:45.994 --> 00:23:49.396]  Oh, I forgot to tell you guys, Roger Stone's on next segment.
[00:23:49.996 --> 00:23:51.817]  He's one of the top stories in the country, obviously.
[00:23:52.578 --> 00:23:57.841]  Now, 12 Russians versus 13 have been indicted.
[00:23:57.861 --> 00:24:00.262]  Now, first they indicted 13
[00:24:02.748 --> 00:24:06.431]  Web bots, and it turned out those companies showed up and said we didn't do what you said.
[00:24:06.451 --> 00:24:09.374]  In fact, we were doing advertising for Hillary.
[00:24:09.714 --> 00:24:11.896]  So now he's trying to get that case dropped quietly.
[00:24:11.936 --> 00:24:13.918]  So now he's just indicted people.
[00:24:15.459 --> 00:24:18.982]  Claiming Russian intelligence agents were running Guccifer 2.0.
[00:24:20.103 --> 00:24:21.424]  And, you know, stole the election.
[00:24:21.464 --> 00:24:22.385]  It was the American people.
[00:24:22.425 --> 00:24:24.467]  So I forgot to tell you, text Roger real quick.
