[00:00:09.844 --> 00:00:11.406]  Dragon Energy activates!
[00:12:44.840 --> 00:12:46.981]  They're the people that openly hate the country.
[00:12:47.282 --> 00:12:49.924]  They're the people that hate the bitter clingers and hate flyover country.
[00:12:49.944 --> 00:12:55.488]  And Democrat courts ban the American flag and say it's a gang symbol in public schools, 9th Circuit.
[00:12:56.988 --> 00:13:03.773]  They're the ones trying to bring in brainwashed, collapsed, third world populations that are communists out of Venezuela.
[00:13:04.354 --> 00:13:09.178]  Venezuela has had four million people the last six months, according to their own numbers, leave and they're going El Norte.
[00:13:10.839 --> 00:13:14.042]  And they're so dumbed down, they want to come where they think the communism's better.
[00:13:15.683 --> 00:13:16.424]  It's happening.
[00:13:18.866 --> 00:13:19.006]  So.
[00:13:20.333 --> 00:13:26.376]  Let's play this clip of Alexandria Cortez saying, Occupy government buildings, borders U.S.
[00:13:26.416 --> 00:13:26.797]  airports.
[00:13:27.617 --> 00:13:28.417]  Occupy it all.
[00:13:28.638 --> 00:13:29.538]  That's a communist term.
[00:13:30.419 --> 00:13:30.999]  Occupy.
[00:13:31.979 --> 00:13:35.401]  Shut down the infrastructure for the civil unrest I told you that's coming.
[00:13:35.621 --> 00:13:37.482]  They are planning to launch a civil war.
[00:13:37.723 --> 00:13:40.304]  And July 4th, in their own admissions, was the demarcation line.
[00:13:40.344 --> 00:13:40.784]  Here she is.
[00:13:40.804 --> 00:13:44.406]  I believe the moral character of the United States is at stake.
[00:13:44.946 --> 00:13:47.088]  So for me it wasn't a question of
[00:13:48.419 --> 00:13:50.440]  Whether I should go down there.
[00:13:52.320 --> 00:13:54.281]  We have to have a rapid response.
[00:13:54.641 --> 00:14:01.984]  And I think every day that we go on, especially a day when something that heinous happens, we have to occupy all of it.
[00:14:02.324 --> 00:14:04.024]  We need to occupy every airport.
[00:14:04.044 --> 00:14:05.745]  We need to occupy every border.
[00:14:05.765 --> 00:14:10.367]  We need to occupy every ICE office until those kids are back with their parents.
[00:14:10.647 --> 00:14:11.087]  Period.
[00:14:13.001 --> 00:14:16.443]  The kids you told to come here, the kids, many of them, their parents were killed coming through Mexico.
[00:14:16.483 --> 00:14:16.983]  You don't care.
[00:14:17.003 --> 00:14:18.604]  Hundreds of thousands dead over there.
[00:14:18.904 --> 00:14:19.644]  Never discussed that.
[00:14:19.744 --> 00:14:26.227]  You dictate America's moral authority as a rich girl posing as a poor girl selling communism and socialism.
[00:14:26.547 --> 00:14:27.128]  What a monster.
[00:14:27.988 --> 00:14:29.809]  So that's where we are as a culture.
[00:14:30.749 --> 00:14:32.230]  That's where we are as a society.
[00:14:33.030 --> 00:14:36.312]  And I'm going to lay out here their battle plan and what they're going to do.
[00:14:36.932 --> 00:14:38.053]  And I want to break something down here.
[00:14:39.113 --> 00:14:40.714]  I'm not trying to win a popularity contest.
[00:14:40.734 --> 00:14:43.796]  I'm not trying to have Google and Facebook and Twitter let me share all my posts.
[00:14:43.836 --> 00:14:45.998]  If I wanted to do that, I'd be a propagandist for the enemy.
[00:14:47.359 --> 00:15:07.133]  The fact that they are initiating against every libertarian, every conservative, every nationalist, every pro-gun group, every pro-Trump group, total draconian censorship, and suddenly Fox News isn't carrying many of Trump's speeches, shows they're going to go for broke again, just like they did last fall.
[00:15:09.241 --> 00:15:13.665]  But if we're aware of it, and if we get the word out, they won't be able to execute it.
[00:15:14.206 --> 00:15:15.066]  That's why they hate us.
[00:15:15.146 --> 00:15:19.591]  But the ignition phase, primary ignition, they've lit the fuse.
[00:15:19.931 --> 00:15:21.112]  That's what that means.
[00:15:21.212 --> 00:15:27.938]  In coup parlance, in nomenclature, and in the legal vernacular of the CIA.
[00:15:28.579 --> 00:15:32.943]  So, we are here with foreign multinationals...
[00:15:33.353 --> 00:15:40.919]  All right, ladies and gentlemen, we are going to have more from Alex Jones on the other side of this break, and he's going to get more into detail about what we're talking about.
[00:15:40.939 --> 00:15:42.681]  But we are under attack here at InfoWars.
[00:15:42.701 --> 00:15:45.123]  We need your support at InfoWarsStore.com.
[00:15:45.563 --> 00:15:48.606]  We've got the Defeat the Democrats censorship sale happening right now.
[00:15:49.286 --> 00:15:54.351]  You've got huge discounts, 50% off some of the top-selling supplements at InfoWarsStore.com.
[00:15:54.931 --> 00:15:57.954]  Support the InfoWars, support us, help us grow, InfoWarsStore.com.
[00:15:57.974 --> 00:15:59.475]  We'll be right back with more from Alex Jones.
[00:16:03.314 --> 00:16:05.356]  The deep state is making its move.
[00:16:06.016 --> 00:16:13.643]  Multiple members of Congress, the FBI, the CIA, are all on television saying, we need the military to remove the president.
[00:16:14.504 --> 00:16:19.628]  We need a coup in this country, bare minimum, 25th Amendment, to remove him from office.
[00:16:19.688 --> 00:16:20.009]  And why?
[00:16:20.489 --> 00:16:33.601]  Because he went and had a summit, a year and a half plus into office, that he should have had a month into office, with Vladimir Putin, and met with him privately, just like he did with Theresa May, and dozens of other world leaders, like the communist Chinese dictator.
[00:16:33.882 --> 00:16:36.904]  Think about that, calling it treason, calling it traitorous.
[00:16:37.865 --> 00:16:45.654]  That Trump was nice to Putin in his language, when in truth, Trump has been crushing Russia with expanded U.S.
[00:16:45.734 --> 00:16:50.559]  energy sales, by shipping missiles into Ukraine to fight the Russians, with all these sanctions.
[00:16:50.679 --> 00:16:51.460]  It's incredible!
[00:16:51.820 --> 00:16:53.042]  But here's the big takeaway.
[00:16:53.722 --> 00:16:56.025]  Hiding in plain view that they hope you don't pay attention to.
[00:16:56.325 --> 00:16:58.528]  The Democrats are the party of globalism.
[00:16:59.730 --> 00:17:11.297]  Along with the blue-blood Republicans like George Herbert Walker Bush and his New World Order speech, globalism is about taking national sovereignty away and transferring it to the TPP, the IMF, the World Bank, the WTO, the UN.
[00:17:12.117 --> 00:17:13.318]  The EU is unelected.
[00:17:13.938 --> 00:17:16.300]  It's in a trade war with us with giant tariffs on us.
[00:17:17.040 --> 00:17:18.981]  Canada, China, they all have huge tariffs.
[00:17:19.021 --> 00:17:19.941]  We have nothing on them.
[00:17:20.401 --> 00:17:23.082]  Trump is 100% fighting for the country.
[00:17:23.302 --> 00:17:24.862]  The country's coming back from the dead.
[00:17:25.682 --> 00:17:26.663]  It's America first.
[00:17:27.003 --> 00:17:31.404]  Our military, our borders, our everything, that's what you do when you strengthen the nation.
[00:17:31.844 --> 00:17:33.805]  The globalists are about weakening the nation.
[00:17:34.285 --> 00:17:34.745]  Democrat,
[00:17:35.926 --> 00:17:41.231]  Appellate court, Ninth Circuit ruled you can't wear American flags in schools on the West Coast because it's a hate symbol.
[00:17:41.732 --> 00:17:42.853]  They hate flyover country.
[00:17:43.013 --> 00:17:43.974]  They hate bitter clingers.
[00:17:44.494 --> 00:17:45.916]  The universities hate America.
[00:17:46.056 --> 00:17:46.917]  They hate free speech.
[00:17:47.257 --> 00:17:49.099]  They're the party of globalism.
[00:17:49.420 --> 00:17:51.261]  They're the party of the New World Order.
[00:17:51.502 --> 00:17:57.568]  They're the party of destroying America's sovereignty, breaking our families up, demoralizing us, creating racial strife.
[00:17:57.788 --> 00:17:58.749]  It's all in the WikiLeaks!
[00:17:59.089 --> 00:18:00.371]  They're the ones of fake news.
[00:18:00.431 --> 00:18:01.752]  They're the ones that rig the debates.
[00:18:01.832 --> 00:18:05.195]  They're the ones that steal billions of dollars and launder money with their foundations.
[00:18:05.235 --> 00:18:11.421]  They're the ones caught in child sex trafficking with Jeffrey Epstein and Lolita Express and all the rest of it.
[00:18:11.802 --> 00:18:12.462]  They're the enemy.
[00:18:13.203 --> 00:18:31.393]  And then they turn around and point their finger at Trump, who's clearly America first, classic Americana, and the country coming back from the dead, and say because he met with the second biggest nuclear arms country in the world, he better be meeting with him and talking to him, that he's a traitor, and that the military needs to remove him?
[00:18:32.053 --> 00:18:34.215]  That sounds like something out of the old Soviet Union!
[00:18:35.035 --> 00:18:37.936]  It's just like the left's calling for me to be banned and taken off the air.
[00:18:38.296 --> 00:18:39.357]  They openly admit it.
[00:18:39.797 --> 00:18:41.217]  They are the clear and present danger.
[00:18:41.597 --> 00:18:42.398]  They're the globalists.
[00:18:42.458 --> 00:18:43.258]  They're the deep state.
[00:18:43.538 --> 00:18:48.540]  And now this hype even has some conservatives going, well, I guess he should have been tougher on Putin.
[00:18:48.820 --> 00:18:50.241]  Yeah, we're a nation.
[00:18:50.501 --> 00:18:51.541]  We're sovereign.
[00:18:51.761 --> 00:18:53.162]  We're being taken over by Russia.
[00:18:54.022 --> 00:18:57.003]  Russia has the same enemy as us, George Soros.
[00:18:57.023 --> 00:19:05.846]  A lot of individuals in the United States take George Soros, for instance, with multi-billion, but does it make him, his posture, the posture of the United States?
[00:19:06.186 --> 00:19:09.528]  It's the multinationals working with the shycoms trying to overthrow the U.S.
[00:19:10.028 --> 00:19:12.889]  It's Hollywood owned by the shycoms trying to overthrow the U.S.
[00:19:13.229 --> 00:19:14.669]  Not the Russians and not Trump.
[00:19:15.030 --> 00:19:17.190]  If the Russians were doing any of this, I'd be their enemy.
[00:19:17.550 --> 00:19:18.151]  But they're not.
[00:19:18.551 --> 00:19:21.092]  They're trying to stabilize themselves just like we are.
[00:19:21.952 --> 00:19:24.614]  Every sovereign nation in the world is under globalist attack.
[00:19:25.275 --> 00:19:31.520]  Infowars is on the front lines fighting against that and promoting true open free societies and free market capitalism.
[00:19:31.740 --> 00:19:32.541]  And so is Trump.
[00:19:32.861 --> 00:19:36.804]  And I stand with him against all the bullies and all the followers and all the cowards.
[00:19:37.025 --> 00:19:40.287]  And I know we're going to continue to win thanks to all of you in the Infowars.
[00:19:40.508 --> 00:19:44.171]  But make no mistake, they're making their move and they are the enemy.
[00:19:44.511 --> 00:19:46.432]  They are the threat to this nation.
[00:19:47.513 --> 00:19:50.796]  It's sovereignty and our people's safety and prosperity.
[00:19:51.317 --> 00:19:54.439]  I'm Alex Jones, reporting for duty in the battle for the Republic.
[00:19:54.960 --> 00:19:55.840]  The year is 2018.
[00:19:56.701 --> 00:19:57.562]  History's happening now.
[00:19:58.042 --> 00:19:59.543]  Choose which side you're on.
[00:20:05.869 --> 00:20:08.511]  You're listening to the Alex Jones Show.
[00:20:14.964 --> 00:20:15.644]  Big Brother.
[00:20:16.104 --> 00:20:17.325]  Mainstream media.
[00:20:17.905 --> 00:20:19.765]  Government cover-ups.
[00:20:19.805 --> 00:20:21.206]  You want to stop tyranny?
[00:20:21.506 --> 00:20:22.606]  Well, so does he.
[00:20:23.146 --> 00:20:29.168]  Live from the Infowars.com studios, it's Alex Jones.
[00:20:29.188 --> 00:20:33.229]  We are here with foreign multinationals backed by the Chai-coms.
[00:20:33.509 --> 00:20:34.969]  They're in Chinese papers bragging.
[00:20:34.989 --> 00:20:36.810]  They're at Davos saying, we'll defeat Trump.
[00:20:37.010 --> 00:20:37.730]  We'll defeat America.
[00:20:38.830 --> 00:20:43.574]  The EU, the unelected Juncker, the Nazi heir with the Chi-Coms, all against America.
[00:20:44.114 --> 00:20:45.756]  Which side are you on?
[00:20:45.816 --> 00:20:51.000]  Now when we continue, I'm going to break down what the President needs to do to counter this in my humble opinion.
[00:20:52.000 --> 00:20:55.703]  Now, what does the President need to do?
[00:20:57.685 --> 00:20:58.665]  I understand subtlety.
[00:20:59.306 --> 00:21:00.487]  It's my job not to be subtle.
[00:21:01.067 --> 00:21:01.768]  I'm a shock troop.
[00:21:04.787 --> 00:21:05.507]  You're shock troops.
[00:21:05.908 --> 00:21:09.790]  You get bullied, you get attacked, you get discriminated against because you love freedom, you tell the truth.
[00:21:10.250 --> 00:21:11.951]  You know communism is a horrible, evil system.
[00:21:12.371 --> 00:21:13.192]  You support America.
[00:21:13.612 --> 00:21:15.053]  You support the better ideas of America.
[00:21:15.313 --> 00:21:20.076]  You support Martin Luther King's idea of unity and true ideas and what you stand for, not what color you are.
[00:21:21.256 --> 00:21:27.880]  Everything the weaponized corporate left is, is the 180 degree polar opposite of that.
[00:21:31.101 --> 00:21:37.946]  And they're trying to circumnavigate the success of liberty and freedom and hope we don't have a memory of history or the things they've done.
[00:21:39.147 --> 00:21:50.735]  But I know the president understands that if he comes out and says we've been penetrated by China, our major 50 public universities were run by Chinese intelligence.
[00:21:50.775 --> 00:21:53.017]  I couldn't even believe the Washington Post submitted that two months ago.
[00:21:53.037 --> 00:21:54.158]  I've been talking about that for years.
[00:21:55.138 --> 00:21:56.339]  The Office of Personnel Management.
[00:21:56.819 --> 00:21:59.040]  All our files were handed over by Obama five years ago.
[00:21:59.440 --> 00:22:00.440]  We are wide open.
[00:22:00.680 --> 00:22:01.821]  That would take the stock market.
[00:22:02.881 --> 00:22:03.881]  China owns our debt.
[00:22:04.382 --> 00:22:06.522]  The CFR positioned us for the Chinese century.
[00:22:06.622 --> 00:22:14.525]  We were set up between the EU, the big banks, and China to be looted, to be controlled, to be brought to heel, to be dominated.
[00:22:15.566 --> 00:22:21.068]  And then to only be a military set piece that they fully controlled to keep China in line.
[00:22:22.261 --> 00:22:32.527]  But the double cross was so huge in the global government program that they actually put China in the catbird seat and all the top globalists moved to China and bought houses there and have become dual citizens.
[00:22:33.387 --> 00:22:35.728]  And that's why Apple and all of them have officially moved there.
[00:22:36.068 --> 00:22:39.650]  Do you understand the level of treason I am breaking down to you and your family right now?
[00:22:39.850 --> 00:22:40.811]  This is all fact.
[00:22:41.691 --> 00:22:47.635]  When I read four months ago in Reuters, where they said, well, it's normal, Tim Cook of Apple said, we moved to China?
[00:22:49.596 --> 00:22:50.696]  And the government runs you there.
[00:22:50.716 --> 00:22:51.577]  Now we're tax exempt.
[00:22:52.577 --> 00:22:52.777]  U.S.
[00:22:52.797 --> 00:22:54.299]  had 40% tax, China had 15.
[00:22:55.400 --> 00:22:56.761]  We went to 15, they went to zero.
[00:22:57.142 --> 00:22:58.083]  They said you gotta be state-run.
[00:22:59.104 --> 00:23:01.846]  And what had already been done behind the scenes went public.
[00:23:02.968 --> 00:23:06.291]  You understand the magnitude?
[00:23:06.711 --> 00:23:13.618]  If Trump gave the Office of Personnel Management files to Russia, if he allowed Apple to move to Russia, I would call for his impeachment.
[00:23:14.960 --> 00:23:15.741]  In fact, I would call
[00:23:18.166 --> 00:23:21.648]  We're high treason charges, which I call for for all these globalists that have done it.
[00:23:22.089 --> 00:23:23.550]  But Donald Trump didn't do that.
[00:23:23.630 --> 00:23:25.011]  He was steadfast.
[00:23:25.571 --> 00:23:26.772]  He believed in free market.
[00:23:26.832 --> 00:23:28.073]  He believed in America.
[00:23:28.113 --> 00:23:36.779]  He believed in pragmatically turning on the free market and trying to free these countries and trying to make a deal with North Korea and actually help their people with development.
[00:23:37.932 --> 00:23:39.653]  These cults of power, they don't want that.
[00:23:39.733 --> 00:23:45.256]  Communist China's trying to block that, and the left is celebrating, betting on China, saying, oh, China controls the north.
[00:23:46.157 --> 00:23:49.258]  You'll never get them to come into the light.
[00:23:49.499 --> 00:23:50.899]  You'll never get them to come out of the dark.
