[00:00:23.547 --> 00:00:24.727]  From the front lines.
[00:02:43.283 --> 00:02:55.349]  Julie Vanderpeer reports that Project MKUltra was a large-scale attempt by the CIA to research behavioral modification and the effects of certain drugs and psychological treatments on the human mind.
[00:02:55.569 --> 00:03:05.514]  It consisted of 144 different sub-projects related to the control of human behavior, which were carried out in 89 different institutions, including universities.
[00:03:05.894 --> 00:03:09.538]  Among its most notorious tests were those involving LSD.
[00:03:09.879 --> 00:03:19.329]  The agency hoped it would be some sort of a truth serum they could use to secretly manipulate and control foreign leaders or else make interrogation subjects speak more freely.
[00:03:20.811 --> 00:03:25.856]  A handful of Americans captured during the Korean War exhibiting behaviors of brainwashing.
[00:03:26.276 --> 00:03:29.199]  The CIA, too, wanted to understand mind control.
[00:03:29.619 --> 00:03:41.691]  So the project then spread into Canada, where a Scottish-born psychiatrist, Ewan Cameron, was trying to discover whether doctors could erase a person's mind and then reprogram new patterns of behavior.
[00:03:42.071 --> 00:03:59.598]  Patients initially entered the program at the Allen Memorial Institute seeking treatment for mild mental health issues like anxiety or depression, but were quickly administered cocktails of powerful hallucinogenic substances and subjected to bizarre psychological experiments under the supervision of Dr. Samuels.
[00:03:59.798 --> 00:04:04.044]  Who later became the first chairman of the World Psychiatric Association.
[00:04:04.524 --> 00:04:17.882]  The Guardian reports that MKUltra patients of Dr. Cameron's were subjected to high-voltage electroshock therapy several times a day, forced into drug-induced sleeps that could last months, and injected with megadoses of LSD.
[00:04:18.803 --> 00:04:32.206]  After reducing them to a child-like state, at times stripping them of basic skills such as how to dress themselves or tie their shoes, Cameron would attempt to reprogram them by bombarding them with recorded messages for up to 16 hours at a time.
[00:04:32.826 --> 00:04:42.008]  Montreal lawyer Alan Stein, who is representing the collective of MKUltra survivors of the Allen Memorial Institute, says he believes the survivors have a case.
[00:04:42.389 --> 00:04:48.370]  A CIA auditor's report from 1957 shows the agency wasn't concerned with protecting the patients,
[00:04:48.770 --> 00:04:52.656]  Instead, it sought to conceal the inhumane experimentation from the public.
[00:04:53.217 --> 00:05:02.650]  Concerning MKUltra, Esquire's Charles P. Pierce summed it up thusly, Americans are capable of terrible things, particularly if they're employed by the CIA.
[00:05:03.874 --> 00:05:11.118]  Western Europe has already banned free speech, and an iron curtain of censorship is descending down over the UK.
[00:05:11.498 --> 00:05:18.962]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[00:05:19.422 --> 00:05:22.524]  We know we're only about a year or two behind what's happening in the UK.
[00:05:23.144 --> 00:05:27.409]  CNN and many others are calling for InfoWars to be shut down, taken off the web.
[00:05:27.789 --> 00:05:31.714]  Slate Magazine has a professor and others saying, go beyond censorship.
[00:05:31.914 --> 00:05:34.637]  Brainwash young people against InfoWars.
[00:05:35.077 --> 00:05:39.362]  Psychologically inoculate them with lies so they don't actually hear what we have to say.
[00:05:39.842 --> 00:05:42.846]  We are the most hated news source in the world by globalists.
[00:05:43.286 --> 00:05:58.131]  It is so critical that you go to InfoWars.com forward slash newsletter and sign up for the free newsletter so we can be in contact with you and so the censors can't bully their way in and block us being able to engage in free open dialogue as a society.
[00:05:58.371 --> 00:05:59.651]  That is critical to this fight.
[00:05:59.891 --> 00:06:02.372]  We will prevail if you take action and I know you will.
[00:06:06.233 --> 00:06:07.534]  They think you're a goldfish!
[00:06:09.193 --> 00:06:11.274]  I've been betting on you my whole life!
[00:06:11.554 --> 00:06:12.334]  I believe in you!
[00:06:12.434 --> 00:06:13.994]  I don't think you're stupid!
[00:06:14.074 --> 00:06:18.876]  One man, Everett's a woman!
[00:06:19.156 --> 00:06:20.776]  All genitals were cut off!
[00:06:21.016 --> 00:06:23.437]  And we're kicking these traitors' asses politically!
[00:06:23.577 --> 00:06:24.777]  And we're not backing down on her!
[00:06:26.218 --> 00:06:27.838]  I want to get these people!
[00:06:27.898 --> 00:06:28.418]  We're winning!
[00:06:28.458 --> 00:06:29.579]  I can feel the spirit rising!
[00:06:29.719 --> 00:06:30.199]  Can't you?
[00:06:30.479 --> 00:06:32.099]  We have broken their back!
[00:06:32.479 --> 00:06:33.640]  Yes, I can feel it!
[00:06:37.481 --> 00:06:38.001]  Let's go!
[00:06:39.420 --> 00:06:39.840]  Come on!
[00:06:39.860 --> 00:06:40.181]  Come on!
[00:06:40.221 --> 00:06:40.841]  Come on!
[00:06:40.881 --> 00:06:41.162]  Come on!
[00:06:41.282 --> 00:06:41.522]  Come on!
[00:06:41.602 --> 00:06:41.802]  Come on!
[00:06:41.902 --> 00:06:42.122]  Come on!
[00:06:42.182 --> 00:06:42.503]  Come on!
[00:06:42.543 --> 00:06:42.863]  Come on!
[00:06:42.883 --> 00:06:43.083]  Come on!
[00:06:43.143 --> 00:06:43.384]  Come on!
[00:06:43.404 --> 00:06:43.764]  Come on!
[00:06:43.824 --> 00:06:44.024]  Come on!
[00:06:44.044 --> 00:06:44.324]  Come on!
[00:06:44.424 --> 00:06:44.805]  Come on!
[00:06:44.885 --> 00:06:45.285]  Come on!
[00:06:45.325 --> 00:06:45.646]  Come on!
[00:06:45.666 --> 00:06:45.946]  Come on!
[00:06:46.006 --> 00:06:46.226]  Come on!
[00:06:46.266 --> 00:06:46.566]  Come on!
[00:06:46.586 --> 00:06:47.107]  Come on!
[00:06:47.187 --> 00:06:47.427]  Come on!
[00:06:47.487 --> 00:06:47.727]  Come on!
[00:06:47.807 --> 00:06:48.708]  Come on!
[00:06:48.848 --> 00:06:49.409]  Come on!
[00:06:49.469 --> 00:06:49.769]  Come on!
[00:06:49.829 --> 00:06:50.089]  Come on!
[00:06:50.109 --> 00:06:50.350]  Come on!
[00:06:50.470 --> 00:06:50.750]  Come on!
[00:06:50.810 --> 00:06:51.150]  Come on!
[00:06:51.190 --> 00:06:51.431]  Come on!
[00:06:51.451 --> 00:06:51.691]  Come on!
[00:06:51.711 --> 00:06:51.931]  Come on!
[00:06:52.211 --> 00:06:52.492]  Come on!
[00:06:52.512 --> 00:06:52.772]  Come on!
[00:06:52.892 --> 00:06:53.272]  Come on!
[00:06:53.292 --> 00:06:53.613]  Come on!
[00:06:53.633 --> 00:06:53.873]  Come on!
[00:06:53.893 --> 00:06:54.093]  Come on!
[00:06:54.113 --> 00:06:54.473]  Come on!
[00:06:54.533 --> 00:06:54.874]  Come on!
[00:06:54.894 --> 00:06:55.274]  Come on!
[00:06:55.314 --> 00:06:55.594]  Come on!
[00:06:55.714 --> 00:06:56.195]  Come on!
[00:06:56.255 --> 00:06:56.635]  Come on!
[00:06:56.655 --> 00:06:56.895]  Come on!
[00:06:56.996 --> 00:06:57.256]  Come on!
[00:06:57.296 --> 00:06:57.496]  Come on!
[00:06:57.516 --> 00:06:57.716]  Come on!
[00:06:57.736 --> 00:06:57.996]  Come on!
[00:06:58.036 --> 00:06:58.537]  Come on!
[00:06:58.617 --> 00:06:59.017]  Come on!
[00:06:59.077 --> 00:06:59.338]  Come on!
[00:06:59.358 --> 00:06:59.778]  Come on!
[00:06:59.798 --> 00:07:00.138]  Come on!
[00:07:00.158 --> 00:07:00.539]  Come on!
[00:07:00.579 --> 00:07:00.939]  Come on!
[00:07:00.959 --> 00:07:01.279]  Come on!
[00:07:01.319 --> 00:07:01.460]  Come on!
[00:07:01.480 --> 00:07:01.680]  Come on!
[00:07:01.700 --> 00:07:01.900]  Come on!
[00:07:01.920 --> 00:07:02.140]  Come on!
[00:07:02.160 --> 00:07:02.320]  Come on!
[00:07:02.340 --> 00:07:02.621]  Come on!
[00:07:02.641 --> 00:07:02.921]  Come on!
[00:07:02.961 --> 00:07:03.181]  Come on!
[00:07:03.201 --> 00:07:03.381]  Come on!
[00:07:03.421 --> 00:07:03.681]  Come on!
[00:07:03.742 --> 00:07:04.142]  Come on!
[00:07:04.162 --> 00:07:04.442]  Come on!
[00:07:04.462 --> 00:07:04.923]  Come on!
[00:07:04.943 --> 00:07:05.323]  Come on!
[00:07:05.343 --> 00:07:05.583]  Come on!
[00:07:05.603 --> 00:07:06.004]  Come on!
[00:07:06.044 --> 00:07:06.504]  Come on
[00:07:11.855 --> 00:07:13.376]  But here's the good news, chumps.
[00:07:15.097 --> 00:07:21.402]  You think you're going to assassinate Trump, shoot down the independent media, and bully a bunch of us into going along with you?
[00:07:21.422 --> 00:07:24.224]  I'd like to reserve time.
[00:07:24.244 --> 00:07:24.364]  No.
[00:07:24.404 --> 00:07:33.910]  You're going to have to go on from being willing to have a fight, wanting one at this point, and only the dumbest morons buy into your SJW globalist George Soros droppings.
[00:07:34.010 --> 00:07:34.691]  Stabilize.
[00:07:34.731 --> 00:07:38.593]  The George Soros, Hillary Clinton, and the New World Order, and Michael Moore.
[00:07:38.673 --> 00:07:40.595]  Go back to Haiti, where you came from.
[00:07:41.907 --> 00:07:45.388]  We're awake, and you're not putting us back in the coma!
[00:07:45.448 --> 00:07:46.489]  You got that, Jack?
[00:07:46.929 --> 00:07:47.449]  You're done!
[00:07:47.469 --> 00:07:47.989]  It's over!
[00:07:48.029 --> 00:07:48.490]  We're alive!
[00:07:48.650 --> 00:07:49.950]  Get him back!
[00:07:50.470 --> 00:07:51.050]  Get him back!
[00:07:51.351 --> 00:07:58.733]  Do you think there was more than one of those guys?
[00:07:58.773 --> 00:08:01.934]  There's definitely another shooter involved.
[00:08:01.954 --> 00:08:02.235]  For sure.
[00:08:02.275 --> 00:08:02.955]  I'm picking shooter.
[00:08:03.015 --> 00:08:06.756]  It sounds like it's confirmed there are at least two shooters with fully-automated weapons.
[00:08:07.076 --> 00:08:07.376]  Clear.
[00:08:07.657 --> 00:08:08.337]  What do you suggest?
[00:08:11.003 --> 00:08:13.886]  Ladies and gentlemen, it's Friday, the 25th day of May 2018.
[00:08:14.286 --> 00:08:17.229]  I'm gonna be here for the next four hours.
[00:08:17.850 --> 00:08:31.443]  Then we've got the War Room coming up with Owen Schroyer, and he's gonna be joined by a co-host today for the full three hours, and that is Craig Sawyer, former Navy SEAL in the DEV Group.
[00:08:32.782 --> 00:08:37.265]  And a patriot, his buddy and teammate has got the Congressional Medal of Honor yesterday.
[00:08:38.106 --> 00:08:40.608]  So that'll be interesting to discuss on air.
[00:08:40.648 --> 00:08:41.809]  Might even get that fellow on.
[00:08:43.730 --> 00:08:53.478]  Owen Schroer and Craig Schroer, Schroer and Schroer are going to host the Veterans Call-In Show, A Voice for Our Veterans.
[00:08:53.498 --> 00:09:01.965]  They're going to take three hours of intense calls for veterans in active duty only going into Memorial Day weekend.
[00:09:02.893 --> 00:09:06.654]  And I have decided, because it's Memorial Day, I want to focus on veterans as well.
[00:09:06.674 --> 00:09:11.136]  So I'm going to come in and do the Sunday show live, 4 to 6 p.m.
[00:09:11.216 --> 00:09:19.599]  Most folks will be taking off, but I will be here this weekend because I want to focus on we're entering a post-human military.
[00:09:20.719 --> 00:09:29.542]  And that's going to sound good to a lot of people, but that's like the debate NASA had the last 20 years and said, oh, we don't want space exploration to be human.
[00:09:30.373 --> 00:09:32.976]  That's too dangerous, it's too costly, it's gonna be robots.
[00:09:34.317 --> 00:09:37.700]  We have to build a world for, of, and by humans.
[00:09:38.481 --> 00:09:41.144]  And then use robots and other things as an extension.
[00:09:41.804 --> 00:09:45.308]  But everything's being set up where it's a post-human future.
[00:09:46.489 --> 00:09:52.114]  That is the stated global compact of the Fortune 100.
[00:09:53.564 --> 00:09:55.625]  And that's what Elon Musk has warned you about.
[00:09:56.045 --> 00:09:57.646]  It's what Bill Joy has warned you about.
[00:09:58.107 --> 00:10:04.730]  It's what the Unabomber, who was in the MKUltra mind control program as a volunteer, Theodore Kaczynski has warned you about.
[00:10:05.651 --> 00:10:13.595]  And he thought just bomb technology heads and cause a revolution against technology because he thinks there's no way to adopt all this and survive.
[00:10:14.516 --> 00:10:15.957]  He's in a Supermax prison right now.
[00:10:18.198 --> 00:10:19.739]  And the reason I mentioned MKUltra
[00:10:21.608 --> 00:10:23.289]  There's a lot of lawsuits that have been filed.
[00:10:23.329 --> 00:10:25.530]  In fact, I meant to get to that on like Tuesday and I didn't.
[00:10:25.670 --> 00:10:27.030]  Can you guys pull me that out of the stack?
[00:10:27.490 --> 00:10:40.714]  And also yesterday's stack I wanted to get into of the declassification of the CIA running the media in the 60s and ordering them to use the term conspiracy theory to criticize anyone exposing the planetary plan.
[00:10:40.754 --> 00:10:43.275]  So I thought we should show all this for people.
[00:10:44.916 --> 00:10:48.357]  It's all coming out right now and a lot of it's because Trump is in office.
[00:10:49.687 --> 00:11:10.742]  But make no mistake, when you hear about Weinstein being indicted for multiple felony counts of rape and sexual abuse, torture basically, that's all because of the American people standing up to the media, to Hollywood, to the bullies, and getting Donald John Trump elected.
[00:11:12.023 --> 00:11:17.607]  Now I told you, from CIA, MI6, Army,
[00:11:18.661 --> 00:11:29.184]  Navy, Marine Corps sources, many of which have been on the show by name, that Trump's, one of his main planks was going after sex trafficking.
[00:11:30.064 --> 00:11:45.989]  And not just the Garden Variety, but the Harvey Weinstein on the plane of the Lolita Express owner, who has been convicted of trafficking young girls to his slave island.
[00:11:47.432 --> 00:11:51.457]  That Obama went to, that Bill Clinton went to, that they all go to.
[00:11:51.477 --> 00:12:02.110]  And now Richard Branson's private island had the NXIVM sex cult women, an entire group of hundreds of them on it, to quote, try to get him to join the cult.
[00:12:03.131 --> 00:12:05.935]  I'm just telling you that's what's going on on these islands, ladies and gentlemen.
[00:12:07.182 --> 00:12:13.406]  I've talked to people in Hollywood that haven't given me details years ago, but that's how I'm on record saying they torture women.
[00:12:14.607 --> 00:12:24.975]  They're on record putting them through mind control because I've been told that by famous actresses and famous actors in Hollywood that they're running mind control operations.
[00:12:25.975 --> 00:12:33.841]  And that it's a branch of the CIA, but really the Aleister Crowley cult through Jack Parsons and the Jet Propulsion Laboratory.
[00:12:35.216 --> 00:12:37.877]  He taught Hollywood all this in the 50s and 60s and set it up.
[00:12:38.117 --> 00:12:40.597]  And that's in mainline history.
[00:12:40.657 --> 00:12:42.398]  That's in major newspapers.
[00:12:43.918 --> 00:12:45.438]  So, Katie bar the door.
[00:12:45.618 --> 00:12:57.461]  You need to understand, this Weinstein thing, he reportedly, according to his driver and his longtime assistant, raped dozens of women in front of them.
[00:12:59.141 --> 00:13:03.484]  He liked about 95 pound women that looked like they were 15.
[00:13:03.544 --> 00:13:04.265]  They'd be 16, 17, 18.
[00:13:04.645 --> 00:13:08.408]  He'd pin them in the limo and rape them.
[00:13:10.490 --> 00:13:15.814]  And I'm not going to go into the rest of the stuff that's even been documented, but it's exactly what these guys like.
[00:13:15.874 --> 00:13:17.135]  It's a beautiful young woman.
[00:13:21.077 --> 00:13:22.198]  I'm not even going to say it.
[00:13:23.219 --> 00:13:24.620]  They like to humiliate women.
[00:13:25.361 --> 00:13:26.722]  Just like they like to hurt children.
[00:13:27.711 --> 00:13:30.553]  Now, Weinstein has not been implicated from any of my sources.
[00:13:31.174 --> 00:13:32.996]  There's underage stuff going on, which is bad enough.
[00:13:33.456 --> 00:13:37.019]  But the pedophilia has not popped up on my intel radar with him.
[00:13:37.339 --> 00:13:39.481]  But with a lot of the other folks, that's the case.
[00:13:40.402 --> 00:13:42.284]  So he's been smirking outside going in.
[00:13:42.304 --> 00:13:46.027]  He wasn't smirking once he was in handcuffs getting marched out of there.
[00:13:47.628 --> 00:13:48.569]  So that's all coming up.
[00:13:48.589 --> 00:13:49.930]  But I told you this was happening.
[00:13:50.310 --> 00:13:53.974]  There's like an eight-fold arrest of child traffickers, pedophiles.
[00:13:55.299 --> 00:13:57.225]  We're not talking about people that just have some child porn.
[00:13:57.466 --> 00:13:59.011]  We're talking about the producers of it.
[00:14:00.970 --> 00:14:04.913]  And it's happening all over the country, and that's why the Democrats are so rattled.
[00:14:06.054 --> 00:14:13.319]  Because their extortion system is based on this, and Trump knows all about it from, who did I tell you, back in November last year?
[00:14:13.779 --> 00:14:16.601]  Five days before the election, two days before he went public in Breitbart?
[00:14:17.102 --> 00:14:24.587]  I was told by high-level people in the CIA and Pentagon that Eric Prince was quarterbacking this move with Trump to bring down the pedophiles.
[00:14:25.068 --> 00:14:28.110]  Now, I didn't know that was true from my sources, though they've been really accurate.
[00:14:28.610 --> 00:14:31.231]  Three, four days later, he's in Breitbart saying, yes, it's true.
[00:14:32.512 --> 00:14:34.152]  So, credit goes where credit's due.
[00:14:34.652 --> 00:14:35.253]  Eric Prince.
[00:14:36.473 --> 00:14:42.795]  Yes, the former founder of Blackwater, that the left demonizes and says is this horrible person all day.
[00:14:42.835 --> 00:14:43.436]  Why is that?
[00:14:43.836 --> 00:14:44.676]  Why is that the case?
[00:14:45.196 --> 00:14:48.698]  Why did Blackwater get blamed for all this stuff that other mercenary groups did?
[00:14:49.518 --> 00:14:50.538]  Because now I know.
[00:14:51.098 --> 00:14:52.399]  Now I understand the bigger picture.
[00:14:54.574 --> 00:14:56.996]  So, that's what's really happening here, ladies and gentlemen.
[00:14:57.796 --> 00:15:01.019]  And so, just, you heard it here first, and it's all been confirmed.
[00:15:01.099 --> 00:15:03.040]  So, there you go.
[00:15:03.420 --> 00:15:14.328]  So thanks to Eric Prince, thanks to all our other sources, and we are so close right now to this whole house of cards coming down, and if you bring down Weinstein, it blows the door open on all of it.
[00:15:14.348 --> 00:15:21.754]  So they're trying to red herring and smokescreen as hard as they can with, oh, Morgan Freedman hit on women on the set.
[00:15:22.834 --> 00:15:23.415]  Oh, uh,
[00:15:24.480 --> 00:15:28.301]  You know, another Hollywood guy hugged a girl too hard.
[00:15:28.862 --> 00:15:32.883]  Or Prairie Day Companion, the woman hugged him and her shirt went up and he touched her back.
[00:15:33.763 --> 00:15:34.363]  Oh my gosh.
[00:15:35.024 --> 00:15:36.864]  That's not torturing little kids.
[00:15:37.184 --> 00:15:38.385]  That's not raping women.
[00:15:38.585 --> 00:15:40.846]  And don't compare the two to it!
[00:15:41.746 --> 00:15:43.207]  And I'm not defending Morgan Freedman.
[00:15:43.227 --> 00:15:44.227]  He's a total sellout.
[00:15:44.527 --> 00:15:46.508]  Did those stupid arrests, you know, Trump.
[00:15:47.284 --> 00:15:52.289]  TV pieces he did with that idiot Rob Reiner, Meathead, who says we're in a civil war.
[00:15:52.369 --> 00:15:54.411]  Yeah, we are in one and you're getting your butt kicked.
[00:15:54.671 --> 00:15:55.972]  So keep censoring, keep pushing.
[00:15:56.213 --> 00:15:57.674]  We're bringing you down right now.
[00:15:58.155 --> 00:16:00.337]  The transmission goes into overdrive straight ahead.
[00:16:03.163 --> 00:16:07.506]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[00:16:08.007 --> 00:16:16.913]  With changes in diet, unnatural ingredients, and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins, and minerals needed daily.
[00:16:17.473 --> 00:16:22.037]  That's why InfoWars Life created the powerful Vitamin Mineral Fusion Formula.
[00:16:22.257 --> 00:16:30.523]  The new platinum standard of advanced multivitamin formulation, Vitamin Mineral Fusion uses a unique delivery system to maximize the effects
[00:16:30.623 --> 00:16:33.325]  And give your body the tools it needs to support your body.
[00:16:33.805 --> 00:16:42.391]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious, concentrated drink mix that's loaded with high-quality ingredients.
[00:16:42.711 --> 00:16:51.097]  Perfect for a hot summer day or relaxing at home, Vitamin Mineral Fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[00:16:51.537 --> 00:16:57.961]  Start supporting your body's needs in a great-tasting, natural and affordable drink mix with Vitamin Mineral Fusion today.
[00:16:58.321 --> 00:17:00.583]  Available at Infowarsstore.com.
[00:17:03.285 --> 00:17:06.608]  Our team is always looking for new ways to improve our products.
[00:17:07.248 --> 00:17:10.651]  That's why we've created the newest version of a fan favorite formula.
[00:17:11.491 --> 00:17:12.873]  The Real Red Pill Plus.
[00:17:13.593 --> 00:17:17.376]  The Real Red Pill Plus contains the powerful pregnenolone formula.
[00:17:17.916 --> 00:17:19.558]  Now with an added energy boost.
[00:17:20.218 --> 00:17:25.763]  Now you can support your heart, brain, and aging process with an added natural energy boost.
[00:17:26.443 --> 00:17:33.909]  The proprietary energy blend includes powerful ingredients like green tea extract, yerba mate leaf extract, and more.
[00:17:34.629 --> 00:17:44.136]  Paired with the powerful ingredients in the original Real Red Pill formula, the Real Red Pill has just what you need to support your body while getting the pick-me-up to get you through the day.
[00:17:45.137 --> 00:17:50.601]  The Real Red Pill Plus is a powerful investment into the future of your mind and body.
[00:17:51.301 --> 00:17:53.803]  Don't miss out on the all-new upgrade to your favorite product.
[00:17:54.303 --> 00:17:58.306]  Head to infowarsstore.com and get the Real Red Pill Plus today.
[00:17:59.447 --> 00:18:01.088]  Get Real Red Pill Plus now at 50% off.
[00:18:02.793 --> 00:18:05.456]  We're going to continue to stand up for America.
[00:18:05.857 --> 00:18:11.003]  We are going to call BS on the mainstream media when they lie.
[00:18:11.684 --> 00:18:14.608]  This is the essence of InfoWars.
[00:18:15.048 --> 00:18:18.572]  This is why your trip to the InfoWars store is so vitally important.
[00:18:19.173 --> 00:18:30.460]  You see, we don't have any right-wing industrialists or multi-billionaires standing in the wings writing big checks to Alex Jones to subsidize our work here at InfoWars.
[00:18:31.080 --> 00:18:41.826]  We have to depend on the individual InfoWarrior, on men and women out there who believe in freedom, who believe in liberty, and believe in the message that we are delivering.
[00:18:42.147 --> 00:18:47.550]  You can support us by going to the InfoWars store and loading up on some of these terrific products.
[00:18:47.890 --> 00:18:51.152]  Take a look at our t-shirts, our books.
[00:18:51.693 --> 00:18:53.114]  It's a 360 win.
[00:18:53.514 --> 00:18:58.798]  When you buy the Super Blue Silver Moon Gargle, you're helping the fight for freedom.
[00:18:59.078 --> 00:19:00.459]  So please go to the site now.
[00:19:00.880 --> 00:19:02.521]  We need your support.
[00:19:03.021 --> 00:19:06.604]  Audience, radio affiliates, TV affiliates, thank you for your support.
[00:19:06.884 --> 00:19:08.185]  But they've cut off the sponsors.
[00:19:08.225 --> 00:19:09.926]  They've blocked us advertising on Google.
[00:19:10.186 --> 00:19:12.588]  They have filed 13 lawsuits.
[00:19:12.628 --> 00:19:13.549]  We've beaten six.
[00:19:13.849 --> 00:19:15.751]  But understand this, I am your soldier.
[00:19:16.491 --> 00:19:17.212]  You're my soldier.
[00:19:17.252 --> 00:19:18.013]  We're all in this together.
[00:19:19.054 --> 00:19:23.738]  And we're fighting hard for American values, what we know works, and what brings liberty and freedom to our children.
[00:19:24.139 --> 00:19:25.139]  So I salute you and I thank you.
[00:19:25.160 --> 00:19:30.244]  But whatever you do, the live video links on Facebook, Twitter, YouTube, Infowars.com, or slash show.
[00:19:30.585 --> 00:19:31.966]  Local stations you're listening to.
[00:19:32.206 --> 00:19:36.370]  Every person you get to tune in to this local radio station is a victory in this war.
[00:19:36.410 --> 00:19:38.553]  And when you financially go to Infowarsstore.com,
[00:19:39.113 --> 00:19:44.856]  When you take advantage of the huge sales and the great products for everything in your life, it's about making your life better.
[00:19:45.517 --> 00:19:47.678]  The non-GMO heirloom seeds, springtime's here.
[00:19:48.238 --> 00:19:52.180]  The highest quality books, films, pastry apparel to spread the word.
[00:19:52.500 --> 00:19:58.004]  The very best supplements, water filtration, air filtration, shortwave radios, emergency radios, tactical gear, body armor.
[00:19:58.404 --> 00:20:00.605]  Infowarsstore.com, Infowarslife.com.
[00:20:00.965 --> 00:20:02.166]  Please, shop with the good guys.
[00:20:06.386 --> 00:20:10.950]  You're listening to the Alex Jones Show.
[00:20:14.593 --> 00:20:18.696]  There's a need for a new world order.
[00:20:19.797 --> 00:20:25.902]  But it has different characteristics in different parts of the world.
[00:20:27.323 --> 00:20:33.588]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:35.051 --> 00:20:38.432]  Well, North Korea has blown up their nuclear site a few days ago.
[00:20:38.452 --> 00:20:39.553]  They've released the video.
[00:20:39.793 --> 00:20:42.494]  That is a big victory for America and Trump.
[00:20:43.134 --> 00:20:50.397]  Even if the summit's been cancelled for now, that's just part of the negotiation process due to John Bolton and others trying to sabotage things.
[00:20:50.917 --> 00:20:54.319]  But we'll continue to track that and play that video coming up in the next segment.
[00:20:55.796 --> 00:21:12.467]  We're also going to continue to track what's happening in the economy and with these new privacy rules that Europe has put in place that are not really actually designed to protect your privacy because they're going to continue mass spying and all the rest of it and big data.
[00:21:12.988 --> 00:21:22.894]  It's designed to basically have an internet war and try to take regulatory control of the internet over from the United States and transfer it to Europe and the UN.
[00:21:23.835 --> 00:21:26.238]  And George Soros and others are a big supporter of it.
[00:21:26.698 --> 00:21:32.806]  Facebook and Google hit with $8.8 billion in lawsuits on day one of GDPR.
[00:21:34.079 --> 00:21:36.160]  And boy, we've been preparing for months for this.
[00:21:36.300 --> 00:21:38.481]  We already had a lot of the opt-out systems for folks.
[00:21:38.801 --> 00:21:42.782]  But the way the Internet's been designed is all of this tracking.
[00:21:43.343 --> 00:21:47.464]  I mean, that's how, when you have an account, say, on Disqus, or Disqus, to be able to post.
[00:21:47.504 --> 00:21:50.685]  I mean, it knows what you did in the past, how you've operated, because it has cookies.
[00:21:51.065 --> 00:21:51.986]  It's the very nature of it.
[00:21:52.546 --> 00:22:02.270]  The issue is that it's all being tied together with larger databases by governments and megacorporations to then track everything you're doing in Communist China.
[00:22:03.297 --> 00:22:08.120]  Has come out, and here's the big secret that the EU's not talking about.
[00:22:08.320 --> 00:22:09.761]  It's not a secret what China's doing.
[00:22:10.081 --> 00:22:20.968]  China's got their big social score that ties systems way beyond what Google and Facebook are doing together with the real world with live time cameras via a company called Skynet.
[00:22:22.216 --> 00:22:32.220]  To track what you do in live time and then ban you from traveling, getting a job, being able to buy food, if you're not a good servant of the Communist Party.
[00:22:32.780 --> 00:22:42.664]  Are we hearing any lawsuits from the EU and from Juncker, the unelected dictator of the EU?
[00:22:44.326 --> 00:22:45.387]  The permanent bureaucracy.
[00:22:45.847 --> 00:22:49.951]  Are we hearing anything from them?
