[00:00:00.209 --> 00:00:00.750]  We've got it.
[00:09:46.399 --> 00:09:52.544]  I start getting calls yesterday morning at my house saying, did you doctor the video?
[00:09:53.665 --> 00:09:54.605]  And I said, what video?
[00:09:55.446 --> 00:10:02.231]  And it was Paul Watson zooming in on the video everybody saw live of Jim Acosta pushing the woman's arm down.
[00:10:02.251 --> 00:10:04.273]  It was kind of a light push karate shot.
[00:10:05.902 --> 00:10:06.263]  I don't know.
[00:10:21.027 --> 00:10:26.272]  Of so-called video experts get up and say that we sped it up and then slowed it down.
[00:10:26.973 --> 00:10:27.533]  Um, no.
[00:10:28.154 --> 00:10:29.455]  I've taken Watson's video.
[00:10:29.575 --> 00:10:31.056]  I've looked at the raw HD we have.
[00:10:31.477 --> 00:10:37.442]  They're exactly the same, except for seven dropped frames throughout the thousands of frames.
[00:10:39.625 --> 00:10:41.066]  Remember, there's 25 frames per second.
[00:10:43.251 --> 00:10:47.372]  And we went and looked at it, and that's what happens when you upload stuff to Twitter.
[00:10:47.512 --> 00:10:50.273]  It has a crappy video system, as everyone knows.
[00:10:50.513 --> 00:10:56.014]  You shoot beautiful HD, you upload it, it loses a bunch of quality, dropped frames are in there.
[00:10:56.434 --> 00:10:59.315]  Everybody sees us live on TV when I say, oh, this clip just came in.
[00:10:59.355 --> 00:11:02.816]  We play it, and there's glitches, and the audio's off.
[00:11:04.316 --> 00:11:05.837]  Sometimes it does it really bad.
[00:11:06.397 --> 00:11:08.417]  It's just the way different systems work together.
[00:11:08.437 --> 00:11:09.258]  A lot of them don't integrate.
[00:11:10.098 --> 00:11:10.738]  But with Paul,
[00:11:11.877 --> 00:11:17.242]  He just zooms it in, but then the so-called experts go, but we looked and there was edits.
[00:11:17.803 --> 00:11:24.510]  Now, other top experts have come out in newspapers and said, no, those are dropped frames, which is normal with compression on different internet formats.
[00:11:24.630 --> 00:11:29.615]  It has not been doctored in a way to be doctored where they're trying to change the meaning of it.
[00:11:30.115 --> 00:11:35.661]  This is what happens when you blow video up on cheap editing systems and then you upload it to Twitter.
[00:11:36.201 --> 00:11:37.082]  And God love Paul.
[00:11:37.142 --> 00:11:37.542]  He's great.
[00:11:37.562 --> 00:11:38.183]  He does so much work.
[00:11:38.203 --> 00:11:39.164]  He's a one-man wrecking crew.
[00:11:39.444 --> 00:11:40.385]  I've offered him better equipment.
[00:11:40.405 --> 00:11:41.225]  I've offered him crew.
[00:11:41.566 --> 00:11:42.346]  He doesn't want to do it.
[00:11:42.366 --> 00:11:44.969]  Because I would have grabbed it HD and uploaded it HD.
[00:11:45.289 --> 00:11:46.390]  We like to do stuff HD.
[00:11:46.730 --> 00:11:48.472]  Then there wouldn't be any drop frames or any problems.
[00:11:48.532 --> 00:11:49.813]  But it doesn't matter!
[00:11:50.754 --> 00:12:01.043]  Jim Acosta, in front of the whole world, wouldn't sit down, had asked three questions, was argumentative, wouldn't give her the microphone back, and pushed a woman and shoved her.
[00:12:02.722 --> 00:12:03.702]  There's three actions there.
[00:12:04.703 --> 00:12:18.628]  And that they would think in the corporate media that they would change the subject and say in thousands of new- BBC, London Telegraph, Guardian, New York Times, Washington Post, LA Times, Dallas Morning News, Austin American Statesman, everything!
[00:12:18.848 --> 00:12:19.689]  Just thousands!
[00:12:20.149 --> 00:12:24.251]  Alex Jones caught in another lie, editing video, Acosta didn't touch her!
[00:12:26.331 --> 00:12:32.494]  When everyone can watch the HD footage everywhere, you can clearly see he did it, but this is how they do distraction.
[00:12:36.007 --> 00:12:42.192]  And then they had all these other people come out again and say, I'm an expert, I'm an expert, I'm an expert.
[00:12:42.232 --> 00:12:43.373]  Look, they edited it.
[00:12:43.413 --> 00:12:46.475]  And then they would edit it to say that we edited it.
[00:12:47.196 --> 00:12:50.298]  But all these other experts have come out and said, no, it's the exact same link.
[00:12:50.599 --> 00:12:51.700]  It's the exact same time.
[00:12:52.080 --> 00:12:54.962]  Watson's video is a little washed out because of crappy compression.
[00:12:55.583 --> 00:12:55.923]  That's it.
[00:12:59.266 --> 00:12:59.566]  That's it.
[00:12:59.926 --> 00:13:04.550]  But we have to sit here and spend time on this because this is the mind control, ladies and gentlemen.
[00:13:07.281 --> 00:13:17.323]  This is the mind control where everyone saw him push the woman, shove her arm down and pull back away from her and keep talking until the president had to get involved.
[00:13:17.523 --> 00:13:19.844]  Corey Lewandowski barely touched a woman.
[00:13:20.044 --> 00:13:21.744]  There's six frames of video.
[00:13:21.964 --> 00:13:24.365]  You've got a pause and maybe he touched her.
[00:13:25.105 --> 00:13:26.885]  Maybe he kind of went like that.
[00:13:26.905 --> 00:13:28.726]  How did that go through crowds all the time?
[00:13:29.146 --> 00:13:30.806]  This turns into end of the world.
[00:13:31.166 --> 00:13:33.387]  Donald Trump's people are brutalizing women.
[00:13:33.787 --> 00:13:34.567]  Acosta does.
[00:13:36.145 --> 00:13:37.867]  500 times the action.
[00:13:38.047 --> 00:13:39.668]  We're not even sure Lewandowski did anything.
[00:13:39.708 --> 00:13:43.871]  Let's just say he brushed her, his hand, like two seconds, you know, milliseconds, six frames.
[00:13:45.753 --> 00:13:46.914]  Just barely touched her.
[00:13:48.715 --> 00:13:53.019]  This is clear in front of everyone, and they change the subject and say, you didn't see that.
[00:13:54.116 --> 00:13:54.416]  No!
[00:13:55.316 --> 00:14:05.578]  Alex Jones, the evil mastermind, he went in and showed it accelerate and then showed it slow down to make it look worse than it was.
[00:14:06.018 --> 00:14:06.678]  Worse than it was!
[00:14:06.818 --> 00:14:08.839]  Acosta says he didn't touch her!
[00:14:11.819 --> 00:14:17.260]  Even Fox News came out and said, yeah, the evil Alex Jones, because they're in competition, folks, with independent media.
[00:14:17.680 --> 00:14:18.781]  They all know what they're doing.
[00:14:18.981 --> 00:14:19.421]  But you know what?
[00:14:19.441 --> 00:14:20.261]  The president isn't.
[00:14:21.846 --> 00:14:24.468]  And Paul's tweeted this video out at Prison Planet.
[00:14:24.488 --> 00:14:25.008]  Paul's Twitter.
[00:14:25.248 --> 00:14:26.309]  Nobody manipulated it.
[00:14:26.369 --> 00:14:27.029]  Give me a break.
[00:14:27.189 --> 00:14:27.509]  See?
[00:14:27.950 --> 00:14:29.631]  That just is dishonest reporting.
[00:14:29.991 --> 00:14:31.011]  I watched it last night.
[00:14:31.512 --> 00:14:32.692]  They made it close up.
[00:14:32.953 --> 00:14:34.053]  That's not doctoring.
[00:14:34.954 --> 00:14:36.295]  We're going to play the President in a moment.
[00:14:36.915 --> 00:14:50.183]  But coming up... In the next hour, we have caught Media Matters and George Soros 100% doctoring a video about Owen Schroer and calling for us to be removed off of the air.
[00:14:51.428 --> 00:14:53.389]  They said that we bullied a black family.
[00:14:56.149 --> 00:14:59.070]  The people came over, pushed Owen for no reason, got in his face.
[00:14:59.570 --> 00:15:02.611]  Owen said, oh my gosh, well, that's bizarre behavior from you.
[00:15:03.171 --> 00:15:05.112]  And then, but they cut the front off, see?
[00:15:06.912 --> 00:15:14.414]  Just like the Mexican supremacist said, you're white, you're subhuman, you're a monkey, your mother's married to her brother, you're total scum, gringo, you're going down.
[00:15:14.434 --> 00:15:15.675]  I said, man, you're really racist?
[00:15:15.715 --> 00:15:16.195]  They cut it.
[00:15:16.595 --> 00:15:19.976]  Facebook's official system cut it up, made it look like I was attacking Hispanic women.
[00:15:21.323 --> 00:15:22.383]  Let's go out to break with the president.
[00:15:22.423 --> 00:15:22.863]  Here he is.
[00:15:23.844 --> 00:15:25.864]  The tape video of Costa?
[00:15:26.044 --> 00:15:28.305]  What are you talking about?
[00:15:29.385 --> 00:15:30.005]  All that was?
[00:15:30.525 --> 00:15:31.786]  Nobody manipulated it.
[00:15:31.826 --> 00:15:32.646]  Give me a break.
[00:15:33.006 --> 00:15:34.726]  See, that's just dishonest reporting.
[00:15:34.987 --> 00:15:36.327]  All that is is a close-up.
[00:15:36.647 --> 00:15:39.648]  See, that's just dishonest reporting.
[00:15:40.068 --> 00:15:40.748]  I watched that.
[00:15:40.808 --> 00:15:41.868]  I heard that last night.
[00:15:42.188 --> 00:15:43.429]  They made it close-up.
[00:15:43.469 --> 00:15:44.629]  They showed it close-up.
[00:15:45.009 --> 00:15:46.990]  And he was not nice to that young woman.
[00:15:47.030 --> 00:15:47.970]  I don't hold him for that.
[00:15:48.770 --> 00:15:51.351]  Because it wasn't overly, you know, horrible.
[00:15:52.411 --> 00:15:55.393]  But all that was, when you say doctor, you're a dishonest guy.
[00:15:55.613 --> 00:15:57.593]  Because it wasn't doctor- Thanks for sticking up for us.
[00:16:03.396 --> 00:16:04.596]  You have the idea for this.
[00:16:05.316 --> 00:16:09.318]  We delivered 100,000 signatures a year and a half ago to the-
[00:16:12.138 --> 00:16:16.000]  It had a massive, massive effect and got him moving on the censorship.
[00:16:16.541 --> 00:16:25.926]  But you have the idea of, this is a model others have used, it's a handwritten letter, they sign their name, they can print off a copy for free, they mail that, or they don't, we mail it for them.
[00:16:26.246 --> 00:16:28.467]  So either it's two letters go out every time we do it, or one.
[00:16:28.707 --> 00:16:29.948]  We're going to send one out regardless.
[00:16:30.408 --> 00:16:35.271]  With the postage paid in an individual letter, one million of these to flood the White House.
[00:16:35.651 --> 00:16:38.393]  I think we're going to send about $100,000 to Trump Tower in New York.
[00:16:39.113 --> 00:16:41.356]  And it is almost a form of harassment, but we love the president.
[00:16:41.376 --> 00:16:42.137]  We're doing him a favor.
[00:16:42.377 --> 00:16:43.478]  WriteTrump.com.
[00:16:43.618 --> 00:16:47.843]  I'm going to hammer the White House with a million of these, okay?
[00:16:47.883 --> 00:16:48.604]  I'm not playing games.
[00:16:48.864 --> 00:16:50.046]  One million, and I know you'll do it.
[00:16:50.246 --> 00:16:51.287]  We did it last time.
[00:16:51.307 --> 00:16:52.969]  Got 100,000 signatures in a week.
[00:16:53.089 --> 00:16:56.493]  Then we printed them off, and we mailed them, and it showed up, and it was a big fiasco.
[00:16:56.693 --> 00:16:57.494]  I don't like doing this.
[00:16:57.674 --> 00:16:58.294]  I have to do it.
[00:16:58.594 --> 00:17:00.816]  He's going to be knee-deep in these things.
[00:17:00.956 --> 00:17:06.761]  If you take action, write Trump.com, sign your name on the letter to the President that we will mail for you directly to the President.
[00:17:06.821 --> 00:17:18.830]  President Trump must understand the importance of putting a stop to this mass censorship of the service by Big Tech and initiate antitrust actions to end this racketeering and collusion by the Big Tech giants desperate to take back America.
[00:17:19.090 --> 00:17:21.612]  I've already had top law firms write him three briefings.
[00:17:22.292 --> 00:17:23.853]  I've already had them delivered.
[00:17:23.873 --> 00:17:25.735]  I already know that he picked up on
[00:17:26.215 --> 00:17:40.508]  Wait, if the EU and the UN are already regulating our internet because we haven't put regulations on saying there is no regulation, then we've allowed them to come in tacitly or by fiat or by vacuum and begin regulating.
[00:17:40.548 --> 00:17:43.250]  He said that just a few days ago that he's looking at antitrust because it's
[00:17:43.370 --> 00:17:43.911]  We're good to go.
[00:17:59.207 --> 00:18:00.328]  Remove those protections.
[00:18:00.668 --> 00:18:08.655]  It's allowed those to come in so they can come in with fines and regulations to bring our tech DARPA CIA command operation under their control.
[00:18:08.695 --> 00:18:09.576]  That's what this is all about.
[00:18:09.636 --> 00:18:11.477]  Make no mistake, that's what all these institutions are.
[00:18:11.577 --> 00:18:14.360]  And so we're demanding the president retake control of U.S.
[00:18:14.420 --> 00:18:16.442]  hardware in this modern fight, right?
[00:18:16.562 --> 00:18:17.643]  Trump.com.
[00:18:17.703 --> 00:18:20.345]  Again, we know exactly where to hit the enemy.
[00:18:20.565 --> 00:18:22.587]  Only imperial stormtroopers are so precise.
[00:18:23.067 --> 00:18:23.948]  That's why they hate us.
[00:18:24.028 --> 00:18:28.913]  We're loyal to America, we know what we're doing, and the enemy is completely and absolutely scared.
[00:18:28.993 --> 00:18:32.577]  So go to RightTrump.com today, ladies and gentlemen.
[00:18:32.697 --> 00:18:35.159]  And don't forget, we have the biggest targeted sale.
[00:18:35.219 --> 00:18:40.405]  Not the biggest general sale, but on six items, it is the biggest sale ever.
[00:18:40.425 --> 00:18:41.666]  67% off a colloidal silver-silver bullet.
[00:18:42.147 --> 00:18:43.989]  About 57% off of Supermel's Perfume of Vitality.
[00:18:44.049 --> 00:18:45.751]  It's incredible, but I want to move it all.
[00:18:45.912 --> 00:18:46.412]  I'll tell you why.
[00:18:46.432 --> 00:18:48.235]  They're trying to take our payment processes and shut us down.
[00:18:48.515 --> 00:18:51.439]  I have to sell out all of our product now before they're successful.
[00:18:51.479 --> 00:18:52.100]  I pray they're not.
[00:18:52.320 --> 00:18:56.887]  We've got to move it all out, the fund, to the next junk phase and new funding I've secured in the new year.
[00:18:59.110 --> 00:19:09.114]  Owen Schroer here for InfoWars.com and I want to tell you guys about a great product that we have and it is the Knockout Sleep Aid Formula.
[00:19:09.274 --> 00:19:19.158]  Now, I've got my Knockout right here and we're going to take it and we're going to look at the actual results of the Knockout Sleep Formula in real time.
[00:19:19.218 --> 00:19:22.119]  So let me take my Knockout first.
[00:19:23.580 --> 00:19:28.062]  But while we're waiting to see the effects of the Knockout,
[00:19:31.982 --> 00:19:39.967]  I've got some very, very, very important news that I want to get to.
[00:19:41.088 --> 00:19:48.152]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:19:48.573 --> 00:19:51.875]  Get the sleep you deserve and experience the power of knockout.
[00:19:52.015 --> 00:19:55.897]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:19:56.118 --> 00:19:57.478]  That's InfoWarsLife.com
[00:20:02.262 --> 00:20:04.985]  You're listening to the Alex Jones Show.
[00:20:16.477 --> 00:20:24.945]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the front lines of the InfoWar.
[00:20:34.173 --> 00:20:37.335]  As you can see in this video, this intern came up to me.
[00:20:37.355 --> 00:20:38.916]  They're describing her as an intern.
[00:20:38.936 --> 00:20:43.118]  I don't really know who she is, and attempted to take the microphone away from me.
[00:20:43.718 --> 00:20:48.561]  All I can say at that point is that I was trying to hang on to the microphone so I could continue to ask the president questions.
[00:20:49.642 --> 00:20:50.322]  Obviously, I didn't...
[00:20:51.943 --> 00:20:52.524]  That's enough.
[00:20:52.544 --> 00:20:53.084]  That's enough.
[00:20:53.104 --> 00:20:54.165]  That's enough.
[00:20:54.185 --> 00:20:54.765]  That's enough.
[00:20:54.785 --> 00:20:55.165]  That's enough.
[00:20:55.185 --> 00:20:55.546]  That's enough.
[00:21:21.764 --> 00:21:23.545]  I think that's under- You're a very rude person.
[00:21:23.585 --> 00:21:25.725]  The way you treat Sarah Huckabee is horrible.
[00:21:26.386 --> 00:21:28.206]  And the way you treat other people are horrible.
[00:21:28.647 --> 00:21:30.227]  You shouldn't treat people that way.
[00:21:31.788 --> 00:21:32.908]  Go ahead.
[00:21:32.968 --> 00:21:34.649]  Now, there's so many facets to this.
[00:21:34.669 --> 00:21:36.669]  Do you remember on September 11, 2016?
[00:21:39.599 --> 00:21:46.565]  A month and a half out from the 2016 election, Hillary fell down in front of her black ambulance that we first broke a month before.
[00:21:46.965 --> 00:21:52.010]  She has a black ambulance, a wheelchair, they have a medical tent, she's having convulsions every 45 minutes.
[00:21:52.430 --> 00:21:54.032]  We were told this by the Secret Service.
[00:21:54.052 --> 00:21:59.096]  In fact, it was so secret that the RNC, they said, we've got a message for you, you'll get it in the next few weeks.
[00:21:59.376 --> 00:21:59.977]  It was months.
[00:22:00.417 --> 00:22:01.618]  They delivered it in person.
[00:22:02.079 --> 00:22:04.181]  They said, you've got crew all over the country, right?
[00:22:04.441 --> 00:22:05.202]  Follow the ambulance.
[00:22:05.222 --> 00:22:06.302]  It's a black van.
[00:22:07.130 --> 00:22:08.991]  We said we don't have credit where he said we'll just try.
[00:22:09.452 --> 00:22:15.937]  Well we ended up getting it in Ohio and somebody else caught it in New York.
[00:22:17.518 --> 00:22:30.467]  CNN, MSNBC would show her stumble as she starts having the seizure but not fall on her face or get picked up and put in and they would say that we were lying and that she only stumbled and they would cut before
[00:22:32.287 --> 00:22:32.948]  She fell down.
[00:22:33.108 --> 00:22:34.209]  They would say, see, she just stumbled.
[00:22:34.449 --> 00:22:35.169]  This is fake news.
[00:22:35.590 --> 00:22:37.631]  But the internet all saw it, so they knew they were lying.
[00:22:39.112 --> 00:22:40.433]  Try to find that clip, guys.
[00:22:41.314 --> 00:22:45.217]  It was headline like, media claims M4 is lying, that Hillary did not fall down.
[00:22:45.698 --> 00:22:47.119]  Cut clip before she falls down.
[00:22:47.479 --> 00:22:51.322]  That's the level of deception and of criminal activity we're dealing with.
[00:22:51.822 --> 00:22:53.243]  And as a mass, they do it.
[00:22:53.584 --> 00:22:55.926]  So Jim Acosta says, I don't know who this woman is.
[00:22:56.506 --> 00:22:57.687]  He's there every week.
[00:22:57.727 --> 00:22:59.108]  He's there every day at these things.
[00:22:59.448 --> 00:23:00.889]  Everyone knows who the
[00:23:01.770 --> 00:23:04.512]  Staffers are that go around giving people the microphone.
[00:23:05.092 --> 00:23:09.155]  They sit there and they beg for it, and they look for it, and they reach out for it.
[00:23:09.195 --> 00:23:10.736]  He says, I don't know who this person is.
[00:23:10.956 --> 00:23:15.939]  Like he's walking down some dark alley and someone, you know, comes up and touches him so he karate chops him.
[00:23:16.619 --> 00:23:16.779]  No.
[00:23:16.920 --> 00:23:19.061]  So everything's a lie with this little Decepticon.
[00:23:19.341 --> 00:23:20.862]  I have no idea who this woman is.
[00:23:21.202 --> 00:23:22.443]  I've just asked three questions.
[00:23:22.703 --> 00:23:23.904]  I'm just running over the president.
[00:23:25.336 --> 00:23:32.701]  You know, eight feet from him, right in front of the podium, pointing my finger at him, and then after he says, sit down, give the mic back, I don't know who came over to get it.
[00:23:34.182 --> 00:23:38.825]  A five-year-old knows that you go to these events, it's the person handing the microphone out, when they ask for it, you give it back.
[00:23:39.806 --> 00:23:41.767]  So he's lying about that, and then he says the Whopper.
[00:23:42.307 --> 00:23:43.608]  I did not even touch her.
[00:23:44.769 --> 00:23:50.753]  And National News went with that and said, Jones edited it to make it look like he touched her with trick video.
[00:23:51.373 --> 00:23:54.756]  People went and looked at it and they said, they zoomed in, they just blew it up.
[00:23:55.353 --> 00:24:01.500]  They went, oh well, still, they sped it up, then they slowed it down, then the clip's the exact same length.
