[00:00:13.002 --> 00:00:16.625]  It's funny.
[00:04:44.821 --> 00:04:45.721]  So this is the fight.
[00:04:45.761 --> 00:04:46.782]  It's targeting your speech.
[00:04:47.562 --> 00:04:49.263]  I am, quite frankly, super honored.
[00:04:49.764 --> 00:04:58.188]  Because when I read the suit and saw that... By the way, the suit's saying I'm saying the CIA was connected to PR, which they are on record.
[00:04:58.449 --> 00:05:02.371]  And then now, basically, this is the deep state heart of the CIA leftist arm suing me.
[00:05:04.098 --> 00:05:13.121]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:05:13.181 --> 00:05:21.424]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:21.604 --> 00:05:26.326]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:05:26.486 --> 00:05:30.128]  Discover and try a bag of the Patriot Blend 100% Organic Coffee
[00:05:31.408 --> 00:05:32.148]  We're good to go!
[00:05:55.319 --> 00:06:01.465]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:06:01.625 --> 00:06:03.347]  Available at InfoWarsLife.com.
[00:06:14.677 --> 00:06:15.337]  Big Brother.
[00:06:15.818 --> 00:06:17.038]  Mainstream media.
[00:06:17.598 --> 00:06:18.719]  Government cover-ups.
[00:06:19.519 --> 00:06:20.940]  You want to stop tyranny?
[00:06:21.200 --> 00:06:22.341]  Well, so does he.
[00:06:22.861 --> 00:06:27.303]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:27.403 --> 00:06:31.265]  I'm picking up a fake transmission right now.
[00:06:31.305 --> 00:06:33.386]  I think it's Alex Jones calling.
[00:06:38.616 --> 00:06:40.160]  But here's the good news, chumps.
[00:06:40.320 --> 00:06:48.098]  You think you're gonna assassinate Trump, shut down the internet media, and bully a bunch of us into going along with you?
[00:06:50.181 --> 00:06:51.302]  I'd like reserve power.
[00:06:51.362 --> 00:06:51.722]  Now!
[00:06:52.182 --> 00:06:54.483]  ...from being willing to have a fight.
[00:06:54.523 --> 00:06:55.063]  21 at this point.
[00:06:55.304 --> 00:07:00.626]  And only the dumbest morons buy into your SJW globalist George Soros droppings.
[00:07:00.766 --> 00:07:01.206]  Stabilize.
[00:07:01.306 --> 00:07:02.507]  Emergency reserve.
[00:07:02.527 --> 00:07:05.348]  Hillary Clinton and the New World Order and Michael Moore.
[00:07:05.408 --> 00:07:07.449]  Go back to Hades where you came from.
[00:07:08.690 --> 00:07:12.051]  We're awake and you're not putting us back in the coma.
[00:07:12.211 --> 00:07:13.652]  You got that, Jack?
[00:07:13.672 --> 00:07:14.392]  You're done!
[00:07:14.612 --> 00:07:15.173]  It's over!
[00:07:15.413 --> 00:07:16.053]  Worldwide!
[00:07:16.273 --> 00:07:17.234]  Get him back!
[00:07:17.354 --> 00:07:17.754]  Get him back!
[00:07:30.030 --> 00:07:33.313]  Ladies and gentlemen, you cannot make it up.
[00:07:33.333 --> 00:07:34.834]  You cannot make it up.
[00:07:34.875 --> 00:07:41.640]  Georgetown University
[00:07:49.818 --> 00:07:55.340]  Quarterbacks, the actual control of the National Security Act, and the globalist takeover of America.
[00:07:55.760 --> 00:08:09.885]  Carol Quigley, the head of their political science department, wrote an 1,100-page book in the mid-1960s for the CIA and State Department to even understand the algorithm and philosophy they were using of authoritarianism and false left-right paradigm control.
[00:08:11.308 --> 00:08:26.539]  They have now had a former State Department individual assigned to the Foreign Service and working under Hillary sue myself, Alan West, and many others, and we've had Georgetown University law file the suit.
[00:08:27.680 --> 00:08:37.307]  So this is using taxpayer-funded money to engage in an anti-free speech crusade
[00:08:38.513 --> 00:08:51.937]  To set a precedent, as I've been warning you, to ban InfoWars and then everybody else, so that they can preemptively have government say what's real news and what is fake news.
[00:08:52.197 --> 00:08:53.398]  And that's what the suit calls for.
[00:08:53.558 --> 00:08:54.598]  It is incredible.
[00:08:54.638 --> 00:09:00.660]  So this is the Democrat arm of the deep state, Georgetown, suing me.
[00:09:01.020 --> 00:09:04.401]  And what's incredible here is that
[00:09:07.159 --> 00:09:19.207]  They're saying that we say this guy's Hillary and Soros connected, and that it looks like a classic CIA cutout where he worked in these combat zones in Africa for the State Department, because the State Department runs the CIA, not the other way around.
[00:09:20.748 --> 00:09:23.530]  And we had Gaston that pointed that out.
[00:09:23.570 --> 00:09:25.511]  We're being sued for questioning.
[00:09:26.974 --> 00:09:28.955]  And then there is CIA connections to some of the other people.
[00:09:29.355 --> 00:09:36.677]  And so they conflate it, us covering Ukraine and stuff in the videos, in the lawsuit, and mix Ukraine in with Charlottesville.
[00:09:36.997 --> 00:09:42.378]  We're talking about Soros funding that, which he's on record, on Fareed Zakaria saying it, on CNN.
[00:09:43.899 --> 00:09:52.301]  And they do stuff like, in the lawsuit, cut words off, where I say Soros needs to go to jail for staging Charlottesville.
[00:09:52.881 --> 00:09:54.361]  They cut the word chaos off.
[00:09:57.421 --> 00:10:01.806]  So they go, oh look, he says Soros staged it all, nobody was killed, crisis actors.
[00:10:01.826 --> 00:10:14.899]  When I said the Democrats do hire actors to be the core of some of these AstroTurf events, like Michael Moore showing up to the event, right after Trump got elected, that was funded by Russian bots.
[00:10:15.400 --> 00:10:19.464]  Turns out Moore didn't even know he was going to something funded by Russian bots that was anti-Trump.
[00:10:21.021 --> 00:10:22.502]  So you got governments, you got corporations.
[00:10:22.562 --> 00:10:23.403]  This goes on.
[00:10:23.563 --> 00:10:25.204]  Hillary staged fake town halls.
[00:10:25.284 --> 00:10:26.025]  That's on record.
[00:10:26.065 --> 00:10:26.926]  CNN's been caught.
[00:10:27.506 --> 00:10:33.111]  CNN's been caught with the babies in the incubators and, you know, Congress and all those fake reports to get us in the Iraq War.
[00:10:33.331 --> 00:10:34.852]  So, the first Iraq War.
[00:10:35.372 --> 00:10:36.974]  So, we have a right to question.
[00:10:37.934 --> 00:10:40.156]  And they don't like us questioning their narratives.
[00:10:40.557 --> 00:10:42.098]  This is incredible.
[00:10:43.380 --> 00:10:46.241]  And we're going to go over some of the lawsuits today.
[00:10:47.321 --> 00:10:49.142]  Our lawyers have looked at the Peppy the Frog lawsuit.
[00:10:49.182 --> 00:10:52.163]  They said, yeah, the guy told everybody in public interviews to use the image.
[00:10:52.563 --> 00:10:54.884]  Plus, it's not even your art you're selling.
[00:10:54.904 --> 00:10:56.825]  It was a third party posters you sold.
[00:10:57.365 --> 00:11:00.186]  This is, we have absolute slapback, total victory.
[00:11:00.306 --> 00:11:01.186]  It's just open and shut.
[00:11:02.286 --> 00:11:05.648]  And it's, we got two other lawsuits dismissed this week.
[00:11:06.328 --> 00:11:08.669]  And I'm talking to lawyers about whether I'm going to show that.
[00:11:10.369 --> 00:11:12.310]  Two of them dismissed with prejudice.
[00:11:13.240 --> 00:11:13.900]  By the judge.
[00:11:15.041 --> 00:11:17.401]  These are suits the lawyers didn't even want me to get into.
[00:11:18.102 --> 00:11:20.142]  Now this was an agreement, so I didn't sue them.
[00:11:20.242 --> 00:11:23.924]  Once they're lawyers, once they got competent counsel and they went, who got you to do this?
[00:11:23.964 --> 00:11:27.885]  They went, well, you know, the Democrats.
[00:11:28.906 --> 00:11:32.567]  And some of these Democrats are so crazy, they tell me, you better watch it and shut up.
[00:11:32.947 --> 00:11:33.907]  More suits are coming.
[00:11:34.167 --> 00:11:36.608]  And they're dumb enough to do it in emails!
[00:11:36.808 --> 00:11:40.810]  I mean, folks, the Democrats are crazy!
[00:11:42.878 --> 00:11:43.459]  They're nuts!
[00:11:43.879 --> 00:11:49.284]  They want Trump out, they want the power, they want to put their boot back on America's neck, and they are pissed.
[00:11:51.506 --> 00:11:53.849]  And that's why they're freaking out, because we're getting all these lawsuits.
[00:11:54.569 --> 00:11:58.853]  I mean, it was up to, actually, it's 11 now, but we've gotten six dismissed.
[00:11:59.294 --> 00:12:00.135]  Two just this week.
[00:12:01.836 --> 00:12:05.820]  I mean, we're like grand slamming them out of the park every time, because they're crazy!
[00:12:06.521 --> 00:12:07.181]  And just because
[00:12:08.223 --> 00:12:16.831]  The Washington Post, the New York Times, and everybody misquotes what we said about this guy who did videotape the stuff and who I don't think was part of staging anything.
[00:12:17.291 --> 00:12:19.173]  He's a spokesperson of the Democrats.
[00:12:19.213 --> 00:12:19.893]  He loves Hillary.
[00:12:19.933 --> 00:12:20.594]  He's a leftist.
[00:12:20.834 --> 00:12:21.715]  He went all over TV.
[00:12:21.735 --> 00:12:22.936]  He was a public figure before.
[00:12:23.156 --> 00:12:24.357]  He's a public figure after.
[00:12:24.578 --> 00:12:26.920]  He's going to be all over the news channels as a cost celeb.
[00:12:28.841 --> 00:12:30.102]  Democratic fundraising.
[00:12:30.142 --> 00:12:32.324]  He writes articles for Politico.
[00:12:32.845 --> 00:12:34.006]  How I Became Fake News.
[00:12:34.126 --> 00:12:35.067]  Brennan Gilmore.
[00:12:42.364 --> 00:12:45.345]  And Alexander Jones, Infowars, is the top of the bill.
[00:12:45.405 --> 00:12:45.845]  I like that.
[00:12:45.865 --> 00:12:47.746]  It's like John Hancock.
[00:12:48.786 --> 00:12:50.147]  We got money right there.
[00:12:50.327 --> 00:12:51.307]  Big and bold, baby.
[00:12:51.527 --> 00:12:53.228]  That's the new Declaration of Independence right there.
[00:12:55.408 --> 00:12:56.689]  You got Lee Stranahan.
[00:12:56.709 --> 00:12:57.729]  We need to get him on today.
[00:12:58.049 --> 00:12:58.489]  Let's go back.
[00:12:58.529 --> 00:12:58.909]  I'll read it.
[00:12:58.949 --> 00:13:01.650]  Lee Ann McAdoo, and then they've got some other news organizations they're suing.
[00:13:03.351 --> 00:13:09.573]  So, this guy goes out and writes his articles, misrepresents what I said about Charlottesville, defames me.
[00:13:12.486 --> 00:13:24.692]  Then Georgetown Law, as deep state as it gets, comes out and then they have the nerve to say, we're suing you because you say I might be connected to the CIA.
[00:13:25.012 --> 00:13:25.952]  Are you joking?
[00:13:25.972 --> 00:13:33.315]  I mean, you don't think the public doesn't know, or Colonel Allen West of the Army doesn't know, what the State Department is?
[00:13:33.375 --> 00:13:35.596]  The State Department is the CIA.
[00:13:35.937 --> 00:13:36.617]  It runs it.
[00:13:37.677 --> 00:13:38.858]  It is the deepest state.
[00:13:40.134 --> 00:13:40.934]  Ridiculous!
[00:13:41.894 --> 00:13:42.475]  Asinine!
[00:13:45.295 --> 00:13:49.796]  That's why Pompeo just got promoted to the number two spot in the government.
[00:13:50.196 --> 00:13:52.297]  More important than the Vice President when it comes to what he's doing.
[00:13:52.617 --> 00:13:56.737]  And then they brought in another lady who's been very loyal to the country under that.
[00:13:57.057 --> 00:14:00.798]  They talk about, oh, the left says she ran black sides and torture, and I'm not for torture.
[00:14:01.538 --> 00:14:03.779]  Trump was kind of honest about it because it does go on.
[00:14:03.819 --> 00:14:04.499]  Everybody does it.
[00:14:05.139 --> 00:14:09.100]  And the point is, is that folks have asked me what I think about it.
[00:14:13.854 --> 00:14:23.602]  You never know what really went on because it's the globalists that are pointing their finger at her and saying, you know, in Thailand there was some black site with al-Qaeda terrorists in it.
[00:14:25.026 --> 00:14:26.947]  You know, did she destroy evidence?
[00:14:26.967 --> 00:14:28.809]  I mean, that's the New York Times saying she did that.
[00:14:29.249 --> 00:14:32.932]  And you know, I tend to know that stuff goes on, so I tend to believe it, but not because the New York Times wrote it.
[00:14:33.232 --> 00:14:42.139]  The point is, it's the first female director of the Central Intelligence Agency, and the first female director, it's so crazy, of any of these big agencies.
[00:14:42.239 --> 00:14:42.559]  Ooh!
[00:14:42.939 --> 00:14:45.301]  But you can hardly even find that in the news.
[00:14:45.621 --> 00:14:51.666]  Instead, it's new CIA director Gina Haspel had leading role in torture.
[00:14:54.818 --> 00:14:56.902]  Obama said he's really good at killing people.
[00:14:57.022 --> 00:14:58.966]  Oh, and Obama said he stopped the torture.
[00:14:58.986 --> 00:15:00.108]  Let me give you a little news flash.
[00:15:00.168 --> 00:15:01.791]  Under Obama, the torture exploded.
[00:15:02.352 --> 00:15:05.958]  And they put ISIS and Al-Qaeda in charge to gang-rape and murder all over the world.
[00:15:06.755 --> 00:15:07.455]  So that's coming up.
[00:15:07.495 --> 00:15:09.036]  But the big news, Tillerson out.
[00:15:09.156 --> 00:15:09.876]  Why is he out?
[00:15:09.996 --> 00:15:10.956]  Let's get Roger Stone on.
[00:15:10.976 --> 00:15:11.696]  I forgot to tell you that.
[00:15:12.376 --> 00:15:15.757]  He's been saying Tillerson's out since last December.
[00:15:15.777 --> 00:15:17.138]  He said it's imminent, imminent, imminent.
[00:15:17.678 --> 00:15:18.658]  And Tillerson is out.
[00:15:19.618 --> 00:15:21.779]  We're going to look at Pompeo.
[00:15:22.379 --> 00:15:23.859]  Let's get Steve Pachinik on as well.
[00:15:24.200 --> 00:15:26.440]  Former head of psychological operations at the State Department.
[00:15:26.700 --> 00:15:29.001]  That means former head of CIA psychological operations.
[00:15:30.341 --> 00:15:31.161]  It's like a joke.
[00:15:31.742 --> 00:15:34.242]  Oh, how dare you say I'm connected to the CIA?
[00:15:34.422 --> 00:15:37.863]  I just worked in clandestine offices of the State Department in Africa.
[00:15:37.983 --> 00:15:39.504]  Oh, of course.
[00:15:39.644 --> 00:15:41.004]  Oh my goodness, excuse me.
[00:15:41.444 --> 00:15:43.765]  Wait till we explain that to a jury, if it ever gets to them.
[00:15:44.205 --> 00:15:47.486]  And then there is the rules of evidence.
[00:15:48.346 --> 00:15:49.567]  The optional completeness.
[00:15:50.548 --> 00:15:55.651]  The jury's gonna have to watch whole four-hour shows for every clip you want to show them.
[00:15:56.132 --> 00:15:59.574]  And guess who, after they watch the broadcast, will be awake?
[00:16:00.115 --> 00:16:01.596]  Ha ha ha ha ha!
[00:16:03.257 --> 00:16:05.178]  Pike and Arizona, you're on the air worldwide.
[00:16:05.219 --> 00:16:05.519]  Go ahead.
[00:16:06.446 --> 00:16:08.328]  Oh, Alex, you can rant any day of the week.
[00:16:08.369 --> 00:16:17.779]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[00:16:18.881 --> 00:16:22.245]  And as a longtime InfoWars listener, I want to say thanks.
[00:16:22.785 --> 00:16:25.107]  For the awesome BrainForce AnthroPlex.
[00:16:25.327 --> 00:16:27.668]  My girlfriend would like to say thanks for the AnthroPlex, too.
[00:16:27.728 --> 00:16:27.989]  Thank you.
[00:16:28.649 --> 00:16:31.111]  I use the BioTrue Selenium, the Super Blue toothpaste.
[00:16:31.131 --> 00:16:34.893]  For you folks who aren't big normal toothpaste fans, the Super Blue is awesome.
[00:16:35.454 --> 00:16:38.436]  And thank you so much, Alex, for the InfoWars Life products.
[00:16:38.476 --> 00:16:39.456]  They are quality.
[00:16:39.796 --> 00:16:41.057]  I can't wait to get some more.
[00:16:41.518 --> 00:16:44.259]  And thank you so much for doing that for us to keep us healthy.
[00:16:44.420 --> 00:16:44.940]  Absolutely.
[00:16:45.481 --> 00:16:58.401]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[00:17:03.168 --> 00:17:06.711]  Tell us about Spikes Tactical and why it's so important.
[00:17:07.011 --> 00:17:07.511]  5% off.
[00:17:07.571 --> 00:17:08.552]  It's already discounted, folks.
[00:17:09.213 --> 00:17:12.775]  When you go there, use promo code Alex at SpikesTactical.com.
[00:17:13.036 --> 00:17:14.056]  Tell us about that, Kit.
[00:17:14.257 --> 00:17:21.642]  Spike himself just sought to make the absolute best rifle out there that people could afford.
[00:17:22.463 --> 00:17:27.206]  And that's why Pipe Hitters Union has actually started doing a collaboration with us as well.
[00:17:27.507 --> 00:17:29.268]  We wanted to put out a line of rifles.
[00:17:29.768 --> 00:17:32.751]  We wanted rifles that were high quality,
[00:17:33.411 --> 00:17:37.532]  That were combat rated that we could like put our name on and really stand behind.
[00:17:37.672 --> 00:17:43.173]  So we looked around at quite a few companies and to be quite honest, it was an easy decision to make.
[00:17:43.513 --> 00:17:46.974]  Spikes Tactical is a small family owned business.
[00:17:47.374 --> 00:17:48.634]  They stand behind their products.
[00:17:48.854 --> 00:17:51.455]  As Kit said, it's a no BS lifetime guarantee.
[00:17:51.475 --> 00:17:54.916]  If you have a problem with your gun, they will fix the problem.
[00:17:54.996 --> 00:17:57.276]  And that is huge in today's age.
[00:17:57.556 --> 00:18:01.437]  So you've got a very high end rifle at a very affordable price.
[00:18:02.057 --> 00:18:05.538]  We're also 100% American made.
[00:18:05.698 --> 00:18:08.239]  They are strong supporters of the Second Amendment.
[00:18:08.379 --> 00:18:10.659]  They are strong supporters of the military.
[00:18:10.739 --> 00:18:11.939]  Spike gives back a lot.
[00:18:11.979 --> 00:18:16.120]  Well, I know the listeners are big fans already of Spike Tactical and the fact you're supporting us.
[00:18:16.721 --> 00:18:22.362]  You're getting your Second Amendment, you're getting high quality rifles and accessories, and you're funding the Info War, a total win.
[00:18:22.662 --> 00:18:25.364]  For Info Wars listeners, go to spikestactical.com.
[00:18:25.724 --> 00:18:26.484]  Pick out anything.
[00:18:26.605 --> 00:18:31.448]  Pick out a t-shirt, gun parts, full receivers, whatever it is that you're looking for.
[00:18:31.488 --> 00:18:32.528]  Anything that's there.
[00:18:32.889 --> 00:18:34.690]  Or even call the number that's associated.
[00:18:34.710 --> 00:18:36.311]  There's a 1-800 number on the website.
[00:18:36.651 --> 00:18:38.052]  You can call and order those things.
[00:18:38.472 --> 00:18:40.073]  Give them the promo code ALEX.
[00:18:40.453 --> 00:18:41.114]  Get a discount.
[00:18:41.614 --> 00:18:43.675]  That is for any product.
[00:18:43.715 --> 00:18:47.496]  You want stickers or a full rifle for anything.
[00:18:47.756 --> 00:18:57.019]  Not only do you get the highest quality rifles from a team of true patriots, you can save 5% off their incredible products with promo code ALEX at checkout.
[00:18:57.539 --> 00:18:59.680]  Save big at Spikestactical.com today.
[00:18:59.720 --> 00:19:02.221]  That's promo code ALEX at Spikestactical.com
[00:19:03.061 --> 00:19:09.083]  The scientists at Infowars Life have created a powerful formula for inflammatory support and joint support.
[00:19:09.443 --> 00:19:12.044]  Discover the power of ancient medicine with Bades.
[00:19:12.665 --> 00:19:16.106]  Bades contains one of the most potent forms of turmeric available.
[00:19:16.366 --> 00:19:20.627]  Turmeric has been used for thousands of years and is one of the most studied herbals today.
[00:19:21.068 --> 00:19:24.309]  It is well known in traditional medicine for its soothing properties.
[00:19:25.229 --> 00:19:35.454]  Our pure turmeric extract plus piperine from Black Pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[00:19:36.215 --> 00:19:44.739]  Regular turmeric root from the store only contains 1-5% of active ingredients, but our turmeric root extract contains over 95% of the active ingredients.
[00:19:46.400 --> 00:19:54.944]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme to work synergistically for full body support.
[00:19:55.444 --> 00:19:59.726]  Try Bodies today at infowarslife.com or call us at 1-888-253-3139.
[00:19:59.746 --> 00:20:01.007]  You're listening to the Alex Jones Show!
[00:20:22.648 --> 00:20:26.771]  When I grow up, I want the deep state to sue me so I can draw them out in the open.
[00:20:27.751 --> 00:20:33.295]  So I can get them in those deposition rooms and hammer those white shoeboys for the return of the republic.
[00:20:34.316 --> 00:20:39.339]  We now take you live to the rebirth of America and the second revolution!
[00:20:40.960 --> 00:20:41.961]  Yeah!
[00:20:41.981 --> 00:20:43.182]  I can feel the spirit!
[00:20:43.202 --> 00:20:48.906]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:20:49.286 --> 00:20:51.767]  You're listening to Alex Jones.
[00:20:54.589 --> 00:21:01.130]  My name, my children, my treasure, my soul is on the line to defeat these parasite globalists.
[00:21:01.870 --> 00:21:02.831]  And I'm feeling good.
[00:21:02.851 --> 00:21:11.353]  You want to know their number, if you want to know their kryptonite, if you want to know what they fear, it's Infowars.
[00:21:12.093 --> 00:21:12.613]  It's you.
[00:21:12.633 --> 00:21:14.414]  It's Americana.
[00:21:14.914 --> 00:21:19.375]  It's God-fearing people of every race, color, and creed who bleed red blood.
[00:21:20.769 --> 00:21:40.405]  Now, I'll get more into the deepest of the deep state, Clinton command base, CIA leftist faction, Jesuit, globalist, Vatican, El Supremo operation.
[00:21:42.128 --> 00:21:43.229]  And again, I'm not anti-Catholic.
[00:21:43.329 --> 00:21:47.191]  I'm anti-leftist globalists that are taking control of the Catholic Church with this new Pope.
[00:21:48.092 --> 00:21:51.034]  100% saying China and Communism is the model of Christianity.
[00:21:51.074 --> 00:21:58.439]  I mean, I heard 30, 40 years ago preachers saying, there'll be a Pope that calls for Communism in one world religion.
[00:21:58.459 --> 00:21:59.260]  I'd roll my eyes.
[00:21:59.520 --> 00:22:02.242]  You know, remember the Popes before that were bringing down Communism and stuff.
[00:22:03.342 --> 00:22:04.923]  And now he's there pushing it.
[00:22:05.084 --> 00:22:06.685]  I mean, this is a takeover.
[00:22:06.745 --> 00:22:09.607]  And Georgetown is the Jesuit command base.
[00:22:10.569 --> 00:22:14.653]  And it is more important than Harvard and Yale when it comes to the State Department.
[00:22:14.773 --> 00:22:17.235]  It is what runs that, basically.
[00:22:18.556 --> 00:22:28.905]  And to have Georgetown Law put out an editorial, just like you'll have an endorsement or a non-endorsement of a candidate, there's no name on it.
[00:22:29.145 --> 00:22:30.206]  That means it's the dean.
[00:22:31.347 --> 00:22:38.133]  And then this whole thing about how I don't deserve speech and I need to be silenced, it sounds like something Mao Tse-Tung would write.
[00:22:40.365 --> 00:22:41.086]  That's coming up!
[00:22:44.328 --> 00:22:48.071]  But it was the Jesuits and the whole leftist arm that helped put Mao into power.
[00:22:48.191 --> 00:22:52.354]  God Almighty, that's all... It's all on record.
[00:22:52.414 --> 00:22:53.615]  It's just incredible.
[00:22:55.936 --> 00:22:59.799]  The Society of Jesus is now the Society of the Globalists and the Communist Party.
[00:23:00.960 --> 00:23:04.983]  And... They're making their move.
[00:23:06.443 --> 00:23:12.631]  I was told by high-level CIA sources that I was going to have Catholics in action take a big move at me in the next month, and boy, here it is.
[00:23:12.851 --> 00:23:16.796]  A direct, direct frontal attack.
[00:23:18.678 --> 00:23:21.882]  So, I guess everything's full circle, because it was my
[00:23:23.348 --> 00:23:26.530]  I don't know, I say 9th generation, but I'm an 8th generation Texas.
[00:23:26.570 --> 00:23:27.670]  My children are 9th generation.
[00:23:28.431 --> 00:23:31.692]  Came into Texas in the early 1820s with a Mexican land grant.
[00:23:32.553 --> 00:23:45.639]  A lot of my family's from Alabama, Tennessee, and Virginia, but on my mom's side, the Ayers and the Greshams and all those folks were successful, very successful, rich folks in New York.
[00:23:48.143 --> 00:23:52.865]  Strangely enough, they sold us some of the slaughterhouses and stuff that later the Rockefellers got that the UN buildings owned on.
[00:23:53.505 --> 00:23:55.826]  My family once owned that property on that side.
[00:23:56.066 --> 00:23:58.807]  He sold everything he had and bought a shipload of Bibles.
[00:23:59.127 --> 00:24:05.330]  Back then, a Bible, you know, cost the equivalent of thousands of dollars today of King James Version Bibles.
[00:24:06.270 --> 00:24:12.253]  And they had a big shootout with the Jesuits in Galveston, but they got the Bibles through.
[00:24:13.553 --> 00:24:22.817]  And they were directly working with President Andrew Jackson at the time to quarterback a plan to overthrow this sector and bring the Republicans.
[00:24:22.878 --> 00:24:27.039]  So, it's just strange how things revolve.
[00:24:27.220 --> 00:24:33.002]  My ancestors working with the President Jackson, Trump fashions himself after Jackson, and I'm working with Trump again.
[00:24:33.823 --> 00:24:36.304]  As history repeats, ladies and gentlemen, it's magic.
[00:24:36.924 --> 00:24:37.364]  It's real.
[00:24:38.505 --> 00:24:39.505]  I am those ancestors.
[00:24:42.250 --> 00:24:46.412]  You know, Trump's got a great lineage of German and is Scott-like Jackson.
[00:24:47.452 --> 00:24:48.233]  And here we are!
[00:24:48.553 --> 00:24:49.613]  It's on, ladies and gentlemen.
[00:24:50.334 --> 00:24:53.275]  Trump's not perfect, but he's trying to be the president.
