[00:00:29.647 --> 00:00:50.156]  I'm watching the midterms, then you would think our country is Mad Max Thunderdome.
[00:03:56.465 --> 00:04:06.357]  These documents answer the question, how do a dozen Honduran migrants decide to sue the President of the United States of America and a handful of federal agencies based on
[00:04:08.573 --> 00:04:18.855]  And this is nothing new to Soros and USAID, who funneled money to aid Georgia's Rose Revolution in 2003, the Ukraine's Orange Revolution in 2004, and Kyrgyzstan's Tulip Revolution in 2005.
[00:04:37.179 --> 00:04:41.562]  Recently, Judicial Watch used a FOIA request to uncover how U.S.
[00:04:41.662 --> 00:04:49.748]  aid funds were funneled to Soros' left-wing Open Society foundations in Albania, particularly the Soros operation.
[00:04:49.908 --> 00:04:56.873]  Ladies and gentlemen, the name of this video is George Soros' Caravans Meet the InfoWalk.
[00:04:57.733 --> 00:04:58.554]  We're one day out.
[00:04:58.634 --> 00:04:59.955]  It's historic election coverage.
[00:05:00.055 --> 00:05:01.196]  Ted Nugent, straight ahead.
[00:05:02.438 --> 00:05:12.466]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromine, you name it, that it lowers IQ.
[00:05:12.506 --> 00:05:14.768]  It literally dumbs the population down.
[00:05:15.389 --> 00:05:21.454]  And on our quest to bring our listeners and viewers the best iodine in the world, we've gone through two permutations.
[00:05:22.114 --> 00:05:27.937]  First, seaweed-based iodine that was pretty good but hard to source, and the Globeless tried to block us getting a supply of it.
[00:05:28.397 --> 00:05:34.020]  So we discovered deep-earth crystals of pure nascent iodine and brought you X2 that's been incredible.
[00:05:34.721 --> 00:05:41.704]  Now, due to the Establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine.
[00:05:42.845 --> 00:05:55.389]  Chemists, scientists, and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bioavailable.
[00:05:55.909 --> 00:05:59.670]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[00:06:00.170 --> 00:06:02.891]  X3, now available at mfulworthslife.com.
[00:06:09.628 --> 00:06:24.035]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the Infowar.
[00:06:25.676 --> 00:06:36.961]  We are now only one day out from what even the Financial Times of London is calling the most important election in world history, a referendum on nationalism versus globalism.
[00:06:38.379 --> 00:06:52.362]  And American hating forces around the world have come out of the woodwork to try to bring this country to its knees and stop the recovery before we can totally turn the nation around and prove they were trying to bankrupt us by design.
[00:06:52.902 --> 00:06:55.523]  Mike Adams has written a key report for Infowars.com.
[00:06:55.563 --> 00:06:56.403]  It's on Natural News.
[00:06:56.783 --> 00:07:05.225]  Win or lose, it's time for America to push back against the incivility, lawlessness, and the fraud of the political left.
[00:07:05.845 --> 00:07:15.772]  Yes, the election meddling, the bullying, the foreign meddling, the racketeering, and Trump administration eyes big tech antitrust violations.
[00:07:16.173 --> 00:07:23.198]  CNBC, after the election, Trump is going to strike back and we've been quarterbacking that operation.
[00:07:23.258 --> 00:07:32.064]  Maxine Waters has sworn that if she gets control of the House Financial Services Committee, she will wreck the economy and stop the recovery.
[00:07:32.124 --> 00:07:33.945]  That is their main job.
[00:07:34.165 --> 00:07:34.506]  Also,
[00:07:36.015 --> 00:07:43.396]  Paul Joseph Watson has a key report up on Infowars.com that is so incredibly important.
[00:07:45.057 --> 00:07:50.658]  Shock Rasmussen poll puts Republicans one point ahead in race for Congress.
[00:07:50.678 --> 00:08:04.760]  You have to understand, all of these polling agencies, depending on the methodology poll, 9 to 15, some cases 20 points more
[00:08:06.576 --> 00:08:08.457]  For Democrats.
[00:08:09.418 --> 00:08:13.040]  They just believe that there are more Democrats than there are Republicans.
[00:08:13.080 --> 00:08:13.800]  That's not true.
[00:08:14.420 --> 00:08:22.445]  So when you've got Republicans in a National Scientific Rasmussen Poll one point ahead, that is massive, ladies and gentlemen.
[00:08:24.389 --> 00:08:27.013]  That signals a major red wave, but here's the problem.
[00:08:27.754 --> 00:08:39.029]  They have caught people from Texas to Maryland, Democrats organizing legal aliens to have mailed to their address absentee ballots in the name of dead people, stolen the rolls.
[00:08:39.730 --> 00:08:45.075]  You've got all sorts of foreign money and suppression and free speech suppression going on.
[00:08:45.395 --> 00:08:54.404]  So can the bullying and racketeering and the new Black Panther Party standing up front polling places with rifles, can that intimidate people from voting?
[00:08:54.684 --> 00:08:57.586]  And will the Democrats be able to steal another election?
[00:08:57.927 --> 00:09:00.449]  Joining us is Ted Nugent for the next two segments.
[00:09:00.789 --> 00:09:04.493]  I can't think of a better way to have the Motor City madman kick off
[00:09:04.893 --> 00:09:16.241]  Our final day of coverage before this incredible election kicks off, and I gotta tell ya, I'm not somebody that has anxiety or butterflies, but I gotta tell ya, I am really on edge.
[00:09:16.281 --> 00:09:19.242]  You can cut the energy with a knife.
[00:09:20.383 --> 00:09:26.347]  We're gonna be talking about all this with Ted Nugent and get his prediction of what's gonna happen tomorrow.
[00:09:26.587 --> 00:09:27.368]  Ted, thanks for coming on.
[00:09:28.402 --> 00:09:29.383]  My pleasure, Alex.
[00:09:29.563 --> 00:09:32.904]  Happy November 5th to you, and thanks for being on the front lines.
[00:09:32.944 --> 00:09:37.486]  If I may just state that this isn't just a Ted Nugent opinion.
[00:09:37.526 --> 00:09:39.147]  Again, I'm a gregarious guy.
[00:09:39.187 --> 00:09:53.394]  We have hunting camps full of great families up here in the swamps and forests of Michigan, and we want you to know, Alex, that we believe the Founding Fathers wanted all Americans to be like Alex Jones, and we the people
[00:09:53.814 --> 00:09:59.616]  Spotlighting the cockroaches that threaten freedom and life, liberty, and the pursuit of happiness that is the American dream.
[00:10:00.076 --> 00:10:02.397]  So thank you for being a hell-raiser.
[00:10:02.778 --> 00:10:06.399]  We the people are supposed to be hell-raisers.
[00:10:06.419 --> 00:10:10.581]  We're not supposed to be French, we're not supposed to be British, we're not supposed to be German.
[00:10:10.921 --> 00:10:18.944]  We're supposed to be free Americans raising hell, questioning authority every minute of the day, and spotlighting
[00:10:19.224 --> 00:10:20.005]  We're good to go.
[00:10:40.325 --> 00:10:42.086]  Wow, I'll be Ted Nugent like you meant it.
[00:10:42.126 --> 00:10:43.247]  All of that back at you, my friend.
[00:10:43.267 --> 00:10:45.049]  Let me ask you this fundamental question.
[00:10:45.609 --> 00:10:47.610]  You've talked for 45, 50 years.
[00:10:47.711 --> 00:10:52.734]  You really were the first person for the relaunch of the Republic to bring back Americana when it wasn't cool in the 60s.
[00:10:54.158 --> 00:10:59.302]  To recognize that leftists hated America, and literally had a vendetta against it.
[00:10:59.422 --> 00:11:09.790]  Now, when a member of CNBC says we appreciate Navy SEAL service that lost his eye, when the left is making fun of him losing his eye, she gets in trouble.
[00:11:09.911 --> 00:11:15.655]  I mean, you go to a Democrat event, and you say America's back, and they literally kiss and boo.
[00:11:16.256 --> 00:11:17.837]  What is wrong with these people?
[00:11:17.897 --> 00:11:21.320]  How did they get brainwashed into this position, and as they're
[00:11:22.781 --> 00:11:25.643]  Numbers grow as they bring in more people to brainwash.
[00:11:25.903 --> 00:11:26.924]  Where does all this end?
[00:11:27.784 --> 00:11:47.859]  You know, it's impossible to really analyze the system and the procedure by which people can lose their soul to the degree where an American, an actual born American, is upset by a Donald Trump statement of America first.
[00:11:48.699 --> 00:11:58.986]  All you need to know about Robert O'Rourke down there in Texas and Debbie Stabenow up here in Michigan, it's very interesting, Alex, that I have a foot in both camps.
[00:11:59.406 --> 00:12:17.899]  I'm here in my beloved birth state of Michigan, which I truly love, and we have a hunting season here to celebrate every year for 70 years, and then I'm a resident of Texas, which is the front lines, where the left dreams that they can turn Texas
[00:12:20.521 --> 00:12:46.041]  So the observation should never be predicated upon our desire or need to understand how you lose your soul, how an American can hate the battle cry of America First, how the media and Beto O'Rourke and the Hillary Clintons and the gun-running Barack Obama and Eric Holders of the world can actually insert the word white
[00:12:46.901 --> 00:12:51.002]  Into Donald Trump's statement that he loves America because he's a nationalist.
[00:12:51.282 --> 00:12:52.362]  He loves America.
[00:12:52.642 --> 00:12:58.523]  He loves everybody in America, no matter race, color, creed, gender confusion, ethnicity.
[00:12:59.043 --> 00:13:05.424]  No separation of why Donald Trump and Alex Jones and Ted Nugent love America.
[00:13:05.504 --> 00:13:06.685]  We are nationalists.
[00:13:07.005 --> 00:13:10.365]  We love America more than we love the rest of the world.
[00:13:10.765 --> 00:13:13.446]  And then the lying scum
[00:13:14.329 --> 00:13:19.415]  The anti-journalist fake news masters of Don Lemon and all the left.
[00:13:19.876 --> 00:13:28.566]  They literally take Donald Trump's statement that I love America, I'm an American nationalist, and they insert the word white.
[00:13:29.580 --> 00:13:32.962]  Nobody ever said they were a white nationalist.
[00:13:33.403 --> 00:13:38.346]  Nobody ever said all the immigrants are rapists and murderers and thieves and drug runners.
[00:13:38.766 --> 00:13:48.112]  The only people that Donald Trump called rapists and murderers and thieves and drug runners were the rapists and thieves and murderers and drug runners.
[00:13:48.433 --> 00:13:56.378]  Yet the left, just like hands up don't shoot lie, they have to lie and then their sheep
[00:13:56.998 --> 00:14:07.327]  Blindly follow them, but Alex, you will have an aneurysm if you try to determine how a person loses their soul.
[00:14:07.727 --> 00:14:12.011]  So instead of trying to come up with some kind of logic that doesn't exist... Just defeat them.
[00:14:13.372 --> 00:14:14.293]  Just defeat them.
[00:14:14.613 --> 00:14:17.295]  We need to galvanize everybody in our lives.
[00:14:17.395 --> 00:14:20.017]  Church, school, the workplace, the family gatherings.
[00:14:20.037 --> 00:14:20.898]  We're in a fight.
[00:14:20.998 --> 00:14:21.999]  And we need to fix liberals.
[00:14:22.349 --> 00:14:26.070]  We're in a war, and we're about to go to break one more segment, and I appreciate your time, but I wanted to ask you this.
[00:14:26.590 --> 00:14:44.154]  Brett Kavanaugh, a third woman has come out, because they're about to get indicted, and said, I totally made it up, but she said, I never even met him, but it's okay, because she said, I just wanted to use it as a tactic to ruin his wife, his children, try to ruin his life, but as soon as they failed, they just withdrew it, and now they've been caught making it up.
[00:14:45.894 --> 00:14:46.194]  Sure!
[00:14:46.275 --> 00:14:47.516]  Well, they've been doing that about me.
[00:14:47.536 --> 00:14:53.884]  I mean, the Huffington Post actually wrote a story that I adopted a 13-year-old to have sex with her.
[00:14:54.901 --> 00:14:58.503]  Alex, where the hell do they come up with this stuff?
[00:14:58.684 --> 00:14:59.504]  And you know why?
[00:14:59.524 --> 00:15:06.288]  They say that against me in the protection of their First Amendment maneuvers because they can't debate me.
[00:15:06.589 --> 00:15:10.911]  They've seen when leftists try to debate Ted Nugent and get their ass handed to them.
[00:15:10.931 --> 00:15:11.672]  Ted, Ted, I looked into that.
[00:15:11.732 --> 00:15:12.512]  It's totally made up.
[00:15:12.592 --> 00:15:17.235]  They say that I say that there are Martian slave colonies on the moon.
[00:15:17.575 --> 00:15:18.196]  Never said it.
[00:15:20.397 --> 00:15:28.824]  You gotta admit this, if you can get past the insanity and the cruelty and the soullessness of the left, it's some funny, funny stuff.
[00:15:29.545 --> 00:15:35.069]  I know, it's like, they publish an article that I wear Nazi tennis shoes around the office.
[00:15:36.670 --> 00:15:37.631]  That's how they operate.
[00:15:37.671 --> 00:15:39.993]  They're liars, they're fake newsmasters.
[00:15:40.033 --> 00:15:42.235]  I've been dealing with it since the 1960s.
[00:15:42.275 --> 00:15:46.258]  They hated me because I believe in the Second Amendment and I eat venison.
[00:15:46.558 --> 00:15:49.421]  Just for that, I'm gonna buy more guns and kill more deer.
[00:15:50.143 --> 00:15:53.765]  Let's talk about other key issues straight ahead with The Man.
[00:15:54.085 --> 00:15:55.225]  Ted Nugent, I'm Alex Jones.
[00:15:55.485 --> 00:15:56.286]  Spread the live link.
[00:15:56.386 --> 00:15:57.326]  Break the censors back.
[00:15:57.706 --> 00:15:59.827]  Infowars.com forward slash show live coverage.
[00:16:09.773 --> 00:16:14.356]  That I almost don't want to play 2001 Space Odyssey music to build it up.
[00:16:14.376 --> 00:16:14.896]  But you know what?
[00:16:15.837 --> 00:16:17.918]  Simplicity and truth deserves it.
[00:16:18.979 --> 00:16:25.163]  Introducing Survival Shield X3 iodine in an energized quantum state.
[00:16:25.803 --> 00:16:26.984]  Or an atomic state.
[00:16:27.164 --> 00:16:29.386]  That doesn't mean radioactive, it means elemental.
[00:16:30.006 --> 00:16:38.491]  All three forms, including deep earth crystal iodine, two other forms and a tiny amount of vitamin C, to stop it from oxidizing and keep it in that
[00:16:39.572 --> 00:16:49.735]  State of true purity so that when it hits your cells when it goes into your body it has the amazing effect We all need oxygen to live on this planet.
[00:16:49.755 --> 00:16:51.636]  We all need water to live.
[00:16:51.656 --> 00:17:01.639]  We all need food But there are other key building blocks other key elements that if we don't have them Well, we got a big problem
[00:17:02.734 --> 00:17:07.396]  And Survival Shield X3 is the next level of that, ladies and gentlemen.
[00:17:07.897 --> 00:17:14.800]  And what we've been able to develop and come up with takes the game-changing, trailblazing,
[00:17:16.432 --> 00:17:20.697]  Things that we witnessed with X2, and it takes it to a whole other level.
[00:17:20.878 --> 00:17:32.291]  We have a two ounce bottles, we have a one ounce bottles, and this is the best thing of scientists, chemists, researchers, to come up with a formula that is beyond true iodine.
[00:17:32.351 --> 00:17:36.035]  It is all forms of it, energized,
[00:17:37.285 --> 00:17:39.629]  Active and ready to energize the body.
[00:17:40.110 --> 00:17:44.818]  The iodine in X3 comes from thousands of feet below the Earth's surface.
[00:17:45.780 --> 00:17:45.980]  Hit!
[00:17:47.134 --> 00:17:53.536]  From the oxygenation and radiation and toxins that are on the surface for tens of thousands of years.
[00:17:54.657 --> 00:18:02.600]  X3, ladies and gentlemen, is the, from our research, ultimate form of true atomic iodine.
[00:18:02.980 --> 00:18:09.322]  Fused with other forms of iodine and vitamin C to keep it in its energetic state.
[00:18:10.612 --> 00:18:17.859]  Look, I've got piles of papers and research and scientists I've been talking to for years, and to try to put it all in just a few minutes is impossible.
[00:18:18.399 --> 00:18:19.340]  But here's the bottom line.
[00:18:19.921 --> 00:18:23.244]  The globalists are pumping our environment full of bad halogens.
[00:18:23.424 --> 00:18:24.485]  Fluoride is just part of that.
[00:18:26.567 --> 00:18:31.371]  Iodine is the good halogen that the human body absolutely has to have to operate.
[00:18:32.731 --> 00:18:35.634]  And they have done everything they can to take that out of the environment.
[00:18:36.115 --> 00:18:42.502]  So our quest to bring people the very best supplements, the very best nutraceuticals, it was clear that iodine was critical.
[00:18:43.463 --> 00:18:47.488]  And we've gone through several permutations, and our research just gets better and better and better.
[00:18:47.788 --> 00:18:49.970]  And every time you reformulate, you give it a new name.
[00:18:50.611 --> 00:18:52.814]  Well, X3 is a quantum leap.
[00:18:54.201 --> 00:18:55.882]  From X1 and X2.
[00:18:56.542 --> 00:18:57.823]  And it's simply incredible.
[00:18:58.383 --> 00:19:00.744]  It's exclusively available at InfoWarsLive.com.
[00:19:01.185 --> 00:19:06.327]  I want you to go research it, look at the facts for yourself, but it is amazing.
[00:19:07.028 --> 00:19:13.931]  And what it's done for my stamina, my focus, my libido, everything is just incredible.
[00:19:13.951 --> 00:19:14.872]  And then I realized why.
[00:19:15.632 --> 00:19:25.008]  The globalists have wanted to get it out of the food and out of the water and out of the food chain for 50, 60 years because iodine, for me, is like oxygen.
[00:19:27.009 --> 00:19:27.810]  It energizes.
[00:19:28.590 --> 00:19:29.191]  It gives life.
[00:19:29.311 --> 00:19:30.492]  It's everything.
[00:19:31.112 --> 00:19:41.260]  In your quest to have a better life for you, your family, your children, your wife, your husband, your co-workers, the military, police, you need to take care of yourselves, and iodine is the missing link.
[00:19:41.580 --> 00:19:41.840]  It's X3.
[00:19:42.041 --> 00:19:44.142]  It's available at InfoWarsLife.com today.
[00:19:44.763 --> 00:19:53.229]  In 2-ounce and 1-ounce, it's 50% off out of the gates and free shipping as our newest special at InfoWarsLife.com and InfoWarsTore.com.
[00:19:53.469 --> 00:19:55.211]  I want you to experience.
[00:19:55.931 --> 00:19:59.472]  This critical element that you're supposed to have for yourself.
[00:20:04.974 --> 00:20:11.215]  You're listening to the Alex Jones Show.
[00:20:15.257 --> 00:20:16.637]  They think you're a goldfish!
[00:20:18.257 --> 00:20:20.338]  I've been betting on you my whole life!
[00:20:20.598 --> 00:20:21.698]  I believe in you!
[00:20:21.718 --> 00:20:23.179]  I don't think you're stupid!
[00:20:25.849 --> 00:20:27.891]  One man ever raped a woman!
[00:20:28.212 --> 00:20:29.833]  All genitals were cut off!
[00:20:30.073 --> 00:20:32.516]  And we're kicking these traitors' asses politically!
[00:20:32.636 --> 00:20:33.837]  And we're not backing down ever!
[00:20:34.718 --> 00:20:36.920]  I wanna kick these people!
[00:20:36.960 --> 00:20:37.461]  We're winning!
[00:20:37.521 --> 00:20:38.622]  I can feel the spirit rising!
[00:20:38.782 --> 00:20:39.222]  Can't you?
[00:20:39.242 --> 00:20:39.282]  We...
[00:20:50.179 --> 00:20:53.164]  That's me getting very excited listening to Stranglehold a few months ago.
[00:20:53.184 --> 00:20:54.746]  Ted Nugent sarcastic.
[00:20:54.806 --> 00:20:55.968]  I can make a fool out of myself.
[00:20:56.248 --> 00:20:58.131]  But it's all fun, isn't it?
[00:20:58.211 --> 00:21:01.416]  Ted, we were talking during the break and I was asking your gut level.
[00:21:02.768 --> 00:21:07.932]  On what's going to happen tomorrow and what people need to do regardless.
[00:21:07.972 --> 00:21:16.339]  We have a dangerous, lawless, insane, attack dog, parasitic group of leftists in this country that literally want to conquer everybody.
[00:21:16.359 --> 00:21:18.601]  Like you were saying, they want to conquer Texas.
[00:21:18.621 --> 00:21:19.382]  They're obsessed with it.
[00:21:19.402 --> 00:21:20.923]  They want to steal the resources.
[00:21:20.943 --> 00:21:22.704]  They've already destroyed California.
[00:21:22.744 --> 00:21:24.886]  Now they're moving here like locusts.
[00:21:24.946 --> 00:21:25.567]  It's incredible.
[00:21:26.027 --> 00:21:28.148]  Oh, by the way, I should add, your new album is about to come out.
[00:21:28.389 --> 00:21:30.690]  But you heard some of the new tunes a few months ago at your house.
[00:21:30.870 --> 00:21:33.452]  It is absolutely a powerhouse.
[00:21:33.832 --> 00:21:34.993]  The music made me do it.
[00:21:35.013 --> 00:21:35.934]  Tell us about that first.
[00:21:36.713 --> 00:21:38.154]  Well, the music made me do it.
[00:21:38.174 --> 00:21:41.335]  I think that's a battle cry that we can all shout loud and proud.
[00:21:41.375 --> 00:21:42.996]  I mean, the music does make us do it.
[00:21:43.036 --> 00:21:47.618]  It's a great, great audio soundtrack to life, liberty, and the pursuit of happiness.
[00:21:47.678 --> 00:21:57.543]  And I've got the world's greatest driving, grinding, barbecuing band in the world, Greg Smith on bass, and Jason Hartley's this young whippersnapper from the Motor City on drums.
[00:21:58.123 --> 00:22:03.746]  And I just had the greatest tour of my life in 2018, which is truly a phenomenal statement, but actually...
[00:22:04.586 --> 00:22:05.307]  We're good to go.
[00:22:22.828 --> 00:22:32.182]  I witness a lot of that enthusiasm and passion, the same you have for getting the truth out that I have for making that Gibson guitar lay down the soundtrack.
[00:22:32.502 --> 00:22:38.571]  I get it from welders and mechanics and plumbers and electricians and farmers and ranchers and teachers and cops.
[00:22:39.151 --> 00:23:05.183]  All across this country, but I think the most important battle cry right now, going from my new record to the importance of this midterm election, Alex, and that is that if people in the asset column, working hard, playing hard, entrepreneurs and just employed producers in America, if just, how about this, if just the licensed hunters in America,
[00:23:05.831 --> 00:23:23.324]  Would vote, conservative, Constitution, Bill of Rights, Golden Rule, if we could get rid of the self-inflicted embarrassment, the scourge of apathy and disconnect, if we could just get those that are in the asset column in this great country to vote.
[00:23:23.985 --> 00:23:29.848]  We would send the Liberals and the Democrats packing, because there are no blue states.
[00:23:30.348 --> 00:23:50.818]  There are red-blooded, red states all across the nation, but if you look at California, you've got some high-crime, gun-free zones, sanctuary city, bankrupt, Liberal-Democrat hellholes, where you have to dodge needles and feces to get to work in the morning.
[00:23:51.915 --> 00:23:53.936]  San Francisco is not California.
[00:23:53.956 --> 00:23:55.737]  Detroit is not Michigan.
[00:23:56.077 --> 00:23:57.979]  Chicago is not Illinois.
[00:23:58.419 --> 00:24:00.440]  Boston is not Massachusetts.
[00:24:00.780 --> 00:24:12.026]  But a lot of people in those otherwise known as blue states, they shrug their shoulders and they think they're overwhelmed by the blue curse in those states, and they don't vote.
[00:24:12.347 --> 00:24:16.489]  Alex, everybody listening right now to the Alex Jones Show.
[00:24:17.607 --> 00:24:22.825]  You know that we have to vote Republican, and I know Republicans have not been our friends often.
[00:24:23.553 --> 00:24:51.898]  But if we hold these Republican elected employees' feet to the constitutional fire, and we reach out today in preparation for the vote tomorrow, and get our family and friends and co-workers and hunting buddies and guys at the gun range and the barbecue and the bowling alley, we the people in the asset column that do perform our American responsibility to vote, we need to prod, cajole, inspire,
[00:24:52.598 --> 00:24:52.838]  Alex!
[00:25:17.088 --> 00:25:19.890]  This is sheer insanity.
[00:25:20.310 --> 00:25:23.151]  That's how they're capturing us, as Matt Dredge pointed out in a tweet he put out.
[00:25:23.572 --> 00:25:37.559]  Mainstream news, even Politico had headlines, oh look, they're not citizens but they're still getting the vote out, volunteering to canvas, volunteering to make phone calls, and it was illegal aliens actually involved in election meddling.
[00:25:37.599 --> 00:25:39.380]  That's mainstream news in our face.
[00:25:39.661 --> 00:25:43.062]  They have illegal aliens voting in San Francisco in local elections.
[00:25:43.202 --> 00:25:44.643]  So let me expand on this in our time.
[00:25:44.943 --> 00:25:45.564]  I'm not going to waste
[00:25:46.024 --> 00:25:46.966]  Time playing the clip.
[00:25:47.006 --> 00:25:47.647]  I'm sure you saw it.
[00:25:47.667 --> 00:25:48.769]  It's been big national news.
[00:25:49.329 --> 00:25:57.783]  Michael Moore's been making the rounds on late night TV saying, uh, working class white people like, like me from Michigan are stupid.
[00:25:58.530 --> 00:26:04.253]  We're dumb, and we're the problem, and we need to just die out, as if white people are inherently bad.
[00:26:05.153 --> 00:26:15.839]  So because white people are associated with capitalism and free market and hard work, I guess in his mind, he says we're inherently bad, and then throws Michigan particularly under the bus.
[00:26:16.519 --> 00:26:32.372]  Which is so horrible, all the white people, black people, you name it, when he first made his name standing up against deindustrialization and our jobs being shipped overseas, we finally get a president that proves he can bring them back and who loves everybody, and this guy race baits and craps all over everyone.
[00:26:32.632 --> 00:26:33.773]  He is just a monster!
[00:26:35.004 --> 00:26:52.846]  Well, we have glowing and glaring and painful examples like Michael Moore, but here in the state of Michigan, and again, I'm a Texan, I'm a proud Texan, and the battle between a great constitutionalist, a great dedicated employee of people like Ted Cruz, and this Beto O'Rourke
[00:26:53.366 --> 00:27:01.810]  Beto, or whatever it is, Beto O'Rourke that wants to turn Texas into California, and up here in Michigan, Michael Moore doesn't represent real Michigan.
[00:27:01.870 --> 00:27:07.993]  I've been campaigning with a great young black man from Detroit, this African-American, John James.
[00:27:08.474 --> 00:27:10.695]  I'd like Michael Moore to meet John James.
[00:27:10.715 --> 00:27:13.056]  This is a hero of the United States military.
[00:27:13.516 --> 00:27:15.277]  John James is running for U.S.
[00:27:15.337 --> 00:27:18.299]  Senate here in Michigan, and he is my blood brother.
[00:27:18.579 --> 00:27:20.720]  He represents working-hard America.
[00:27:22.071 --> 00:27:45.103]  In the asset column, without any color, without any race considerations at all, do you put your heart and soul into being a productive American like John James, or are you an America-hating propagandist, racist, who identifies an entire color of race as bad guys like Michael Moore?
[00:27:45.463 --> 00:27:48.725]  I'm going to tell you, everybody I know, Alex, is
[00:27:49.125 --> 00:27:51.127]  I totally agree, by the way.
[00:28:04.022 --> 00:28:07.826]  All his movies fail, even the New York Times says everyone's sick of him.
[00:28:07.886 --> 00:28:12.531]  Michael Moore is worth hundreds of millions of dollars, but then he says free market's bad.
[00:28:12.551 --> 00:28:17.195]  He's a lying pig like the rest of the American-hating Democrats that don't want us to have jobs.
[00:28:17.435 --> 00:28:18.477]  They want to break our will.
[00:28:18.537 --> 00:28:20.459]  They want to totally take control of us.
[00:28:20.559 --> 00:28:24.643]  Every city, every area they take control of is a nightmare hellhole.
[00:28:25.243 --> 00:28:30.906]  Well, if I can just summarize it here in the state of Michigan, we're voting on whether to legalize recreational marijuana.
[00:28:31.266 --> 00:28:39.150]  And if you want more people to look and stink and sound like Michael Moore, then by all means, vote yes for recreational marijuana.
[00:28:39.370 --> 00:28:44.833]  Because this guy is the poster child for a brain-dead, America-hating punk.
[00:28:45.453 --> 00:28:46.695]  Well, you're on fire.
[00:28:46.755 --> 00:28:47.657]  TedNuja.com.
[00:28:47.677 --> 00:28:49.019]  The new album's about to come out.
[00:28:49.039 --> 00:28:49.820]  The music made me do it.
[00:28:50.241 --> 00:28:52.324]  I hope I'm talking to you in a couple days, my friend.
[00:28:52.565 --> 00:28:53.767]  And we've got a big figure.
[00:28:53.787 --> 00:28:56.190]  But regardless, America's awake again and rising.
[00:28:56.231 --> 00:28:56.771]  God bless you.
[00:28:57.753 --> 00:28:58.094]  Speed.
[00:28:58.114 --> 00:28:59.215]  God bless America, Alex.
[00:29:04.191 --> 00:29:05.992]  I'm a government auditor, right?
[00:29:06.032 --> 00:29:07.733]  So I work for the Government Accountability Office.
[00:29:08.153 --> 00:29:13.737]  That is Natalijan Subramanian, an auditor for the Government Accountability Office.
[00:29:14.337 --> 00:29:23.723]  The GAO, as it's called, is supposed to be an independent, non-partisan agency that investigates how the federal government spends taxpayer dollars.
[00:29:24.183 --> 00:29:32.408]  Subramanian is also an avowed communist and a committed member of DSA, the Democratic Socialists of America.
[00:29:32.988 --> 00:29:40.517]  Subramanian admits that he is not alone, that there are many, many DSA socialist operatives
