[00:00:05.615 --> 00:00:07.376]  All right, my friends.
[00:04:55.611 --> 00:04:58.454]  PrisonPlanet.tv has been updated for you as well.
[00:05:00.976 --> 00:05:05.340]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:05:05.521 --> 00:05:09.925]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:05:10.065 --> 00:05:14.469]  There is a chance to use this disaster for the New World Order.
[00:05:14.509 --> 00:05:15.851]  The New World Order.
[00:05:16.611 --> 00:05:17.312]  Panama!
[00:05:17.633 --> 00:05:18.414]  You will lose your liberty.
[00:05:31.331 --> 00:05:41.833]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:05:41.973 --> 00:05:47.354]  If you want to understand what the New World Order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[00:05:47.854 --> 00:05:51.054]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:05:51.094 --> 00:05:51.595]  That's 888-253-3139.
[00:05:51.615 --> 00:05:52.895]  Order today and spread the word!
[00:06:01.730 --> 00:06:06.233]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:06:06.573 --> 00:06:10.655]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:06:10.975 --> 00:06:11.516]  We listened.
[00:06:11.816 --> 00:06:16.799]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:06:17.079 --> 00:06:17.559]  We listened.
[00:06:17.960 --> 00:06:20.981]  You asked us to develop a filter that was made in the USA.
[00:06:21.422 --> 00:06:21.942]  We listened.
[00:06:22.402 --> 00:06:26.466]  You asked us to include an emergency light for camping and during power outages.
[00:06:26.846 --> 00:06:27.327]  We listened.
[00:06:27.687 --> 00:06:32.932]  After 9-11, you asked us to develop a filter that was more powerful in removing chemical agents.
[00:06:33.332 --> 00:06:34.693]  Again, we listened.
[00:06:35.054 --> 00:06:42.440]  Introducing the Berkey Light, the gravity filter requested by America, designed by Americans, and made in America.
[00:06:42.821 --> 00:06:47.145]  Get the Berkey Light, the American water filter, for only $259 by calling New Millennium
[00:06:51.140 --> 00:06:51.681]  That's toll-free, 803-4438.
[00:06:51.701 --> 00:06:52.864]  Not yet available in Iowa.
[00:07:01.087 --> 00:07:02.548]  Hi folks, this is Michael Trudeau.
[00:07:02.768 --> 00:07:10.113]  Jerry Guidetti from the Ark Institute just called to tell me their new 100% non-hybrid family seed packages are ready right now.
[00:07:10.413 --> 00:07:14.836]  You've heard me rave about the great gardens I've grown from the Ark Institute's heirloom seeds.
[00:07:15.096 --> 00:07:24.942]  Tomatoes with real old-time tomato taste, big sweet onions, bright red and green lettuces, sweet corn, peppers, melons, cukes, beans, peas, pumpkins, popcorn, and so much more.
[00:07:25.703 --> 00:07:29.367]  50 generous seed packets in all for the best tasting, healthiest garden ever.
[00:07:29.687 --> 00:07:32.170]  And there's no need to buy vegetable seeds ever again.
[00:07:32.190 --> 00:07:38.417]  These non-hybrid seeds can be saved from your own fruits and veggies year after year for family food security.
[00:07:38.657 --> 00:07:40.179]  These days, that's just plain smart.
[00:07:40.479 --> 00:07:41.359]  Friends, don't wait.
[00:07:41.440 --> 00:07:44.441]  The Ark Institute runs out of these rare seeds every year.
[00:07:44.601 --> 00:07:45.961]  Call them today at 800-255-1912.
[00:07:47.202 --> 00:07:51.143]  That's 800-255-1912.
[00:07:51.223 --> 00:07:55.285]  Don't forget to visit arkinstitute.com and read Jerry's Food Supply Updates.
[00:07:55.425 --> 00:07:56.466]  It's powerful stuff.
[00:08:05.509 --> 00:08:06.169]  Big Brother.
[00:08:06.830 --> 00:08:07.890]  Mainstream media.
[00:08:08.610 --> 00:08:09.651]  Government cover-ups.
[00:08:10.350 --> 00:08:11.171]  You want answers?
[00:08:11.911 --> 00:08:12.812]  Well, so does he.
[00:08:13.493 --> 00:08:17.476]  He's Alex Jones on the GCN Radio Network.
[00:08:17.676 --> 00:08:21.820]  And now, live from Austin, Texas, Alex Jones.
[00:08:22.000 --> 00:08:36.732]  Alright, ladies and gentlemen, second segment, eight minute show.
[00:08:38.806 --> 00:08:41.468]  39 seconds into this first hour.
[00:08:42.028 --> 00:08:43.349]  Wide open phones today.
[00:08:43.429 --> 00:08:49.573]  Any topic, any news item, any question you've got, we'd love to hear from you.
[00:08:49.593 --> 00:08:49.894]  1-800-259-9231.
[00:08:50.174 --> 00:08:58.520]  And again, InfoWars.com and InfoWars.net are two of the great websites.
[00:08:59.160 --> 00:09:03.643]  Two different webmasters for those sites, by the way, so you see a lot of different news on both sites.
[00:09:03.743 --> 00:09:07.226]  Both well worth a visit per site daily.
[00:09:08.197 --> 00:09:13.959]  All right, let me just try to... Man, I could spend two hours, literally, on this first group of articles.
[00:09:15.939 --> 00:09:18.780]  I'm sure you've already heard about Armstrong Williams.
[00:09:21.941 --> 00:09:26.103]  Headline, Commentator Paid by Bush Administration Admits Error.
[00:09:27.623 --> 00:09:29.964]  Conservative commentator Armstrong Williams.
[00:09:29.984 --> 00:09:31.844]  Yeah, I would call him ultra-liberal.
[00:09:32.444 --> 00:09:32.985]  I'm serious.
[00:09:33.065 --> 00:09:37.206]  He's for the brainwashing, no-child
[00:09:38.186 --> 00:09:41.089]  left-free initiative that Bush is so proud of.
[00:09:41.149 --> 00:09:42.189]  Bill Clinton's baby.
[00:09:42.770 --> 00:09:51.017]  Conservative commentator Armstrong Williams said Friday he should have disclosed that he was paid by the Bush administration to plug the No Child Left Behind Act.
[00:09:52.218 --> 00:09:55.901]  But the individual said he would not give back the $240,000.
[00:09:56.381 --> 00:09:58.163]  He was paid by the U.S.
[00:09:58.203 --> 00:09:59.464]  Department of Education.
[00:10:00.871 --> 00:10:12.297]  USA Today reported that the Contract Friday, prompting a barrage of protests from Democrats, journalists, and government watchdogs who condemned Williams and the White House for co-opting the media.
[00:10:12.737 --> 00:10:18.880]  The ethical issue is a failure of disclosure, USC Journalism Professor Ernest Wiggins said.
[00:10:18.900 --> 00:10:26.003]  He should have been more forthcoming in telling his readers and viewers that he has been contracted to promote the White House.
[00:10:26.643 --> 00:10:27.824]  Let me just stop right there.
[00:10:29.514 --> 00:10:30.755]  This is illegal, folks.
[00:10:30.775 --> 00:10:32.977]  There's a whole bunch of federal and state laws on this.
[00:10:34.719 --> 00:10:47.351]  To have a political party, and that's what the White House is, it's the Republican Party, the head of it, the executive of it, to have it giving fun,
[00:10:48.300 --> 00:10:59.164]  To someone who is a supposed independent commentator to write articles and do radio shows and TV shows and to go out there and act like it's their idea and that they beam and believe in it.
[00:10:59.884 --> 00:11:02.545]  That is, there's just all sorts of laws that violates.
[00:11:04.566 --> 00:11:17.530]  It's amazing, but it's like it's illegal for Anthony Scalia to go flying around Air Force Two with Dick Cheney on two separate hunting trips in the month before
[00:11:19.737 --> 00:11:29.045]  The Supreme Court was to hear the energy document hearing case where the court did rule, no you can keep all that secret.
[00:11:29.885 --> 00:11:39.353]  Despite the fact that cabinet witnesses said that he was in there with maps of the oil fields and divvying up who would get what oil according to what campaign contribution.
[00:11:39.633 --> 00:11:40.594]  I mean, it's criminal!
[00:11:42.168 --> 00:11:54.235]  But the oil situation was criminal, but flying around with people, all expensive paid trips, with people that are going to be sitting before your court is illegal.
[00:11:55.736 --> 00:12:06.922]  It's like two weeks ago, Houston Chronicle came out, Casper Star Tribune came out with, well, Clarence Thomas, Supreme Court Justice, having his $10,000 a year
[00:12:09.022 --> 00:12:18.064]  Bohemian Grove dues paid, being flown around on private jets for the Bohemian Grove by companies that were before the High Court.
[00:12:18.864 --> 00:12:20.205]  It's totally illegal!
[00:12:20.605 --> 00:12:22.685]  But again, they're the government, so they can do it.
[00:12:23.506 --> 00:12:24.506]  But don't you do it!
[00:12:25.446 --> 00:12:26.686]  You're some low-level crook.
[00:12:26.726 --> 00:12:30.847]  Don't you, uh, don't you fly the judge for an all-expense-paid trip.
[00:12:31.928 --> 00:12:34.668]  Don't you do it, because you'll go to prison, and you should!
[00:12:35.468 --> 00:12:37.889]  Maybe you shouldn't, if the big criminals get away with it.
[00:12:38.701 --> 00:12:42.003]  So, we've got this Armstrong-Williams situation.
[00:12:44.904 --> 00:12:48.345]  Well, let's give you some more serious examples.
[00:12:49.726 --> 00:12:51.107]  The really important stuff.
[00:12:51.387 --> 00:12:52.467]  This is out of the L.A.
[00:12:52.567 --> 00:12:53.067]  Times.
[00:12:55.308 --> 00:12:55.588]  L.A.
[00:12:55.729 --> 00:12:56.249]  Times.
[00:12:56.349 --> 00:13:00.251]  Bush administration's fake news reports on Medicare illegal.
[00:13:01.011 --> 00:13:03.372]  Mock news reports produced and distributed
[00:13:04.082 --> 00:13:20.312]  to local television stations by the Bush administration to promote the Medicare prescription drug program violated a provision of federal law that prohibits the use of taxpayer funds for covert propaganda the General Accounting Office determined Wednesday.
[00:13:21.173 --> 00:13:25.135]  Again, violated a provision of federal law.
[00:13:25.476 --> 00:13:26.796]  That means broke the law.
[00:13:27.177 --> 00:13:30.699]  Same thing with Armstrong Williams that prohibits the use of taxpayer money
[00:13:31.610 --> 00:13:34.579]  Funds for covert propaganda, that's from the law.
[00:13:34.599 --> 00:13:38.832]  The General Accounting Office determined Wednesday, and this is a year ago.
[00:13:40.074 --> 00:13:58.960]  The GAO, the investigative arm of Congress, noted that the administration had labeled its entire video news release package so that 126 television stations receiving it would know that it came from the Centers for Medicare and Medicaid Services and its parent agency, the Department of Health and Human Services.
[00:13:59.401 --> 00:14:09.524]  But the fact was not apparent in the 41 million seniors and disabled Medicare beneficiaries who were the target of the purported news story.
[00:14:11.386 --> 00:14:27.177]  And again, there is actually law that when you're airing an infomercial, several different federal and state laws that I know of, that when you're airing an infomercial on broadcast TV or radio, you are to state the name of the company and that it is a paid advertiser.
[00:14:27.717 --> 00:14:29.158]  We've all heard that and seen that.
[00:14:29.718 --> 00:14:38.344]  Whether it's Anthony Robbins or somebody selling some new carpet cleaner, regardless of what it is, you do that.
[00:14:39.722 --> 00:14:40.403]  It is paid!
[00:14:40.543 --> 00:14:41.884]  It is an advertisement!
[00:14:42.505 --> 00:14:46.108]  You are to note that it is an advertisement.
[00:14:46.508 --> 00:14:54.075]  You don't particularly have to do that in hyperlinks on the internet, though it is unethical to not have under it that it's an advertisement.
[00:14:54.396 --> 00:15:04.245]  But then when the government gets involved, now understand, they spent over 70 million dollars, you can go read these articles in full,
[00:15:05.428 --> 00:15:11.111]  On this one media buy for broadcast TV and also was aired on cable.
[00:15:11.811 --> 00:15:13.452]  I even saw one in Austin.
[00:15:14.032 --> 00:15:15.153]  I don't watch much TV.
[00:15:15.793 --> 00:15:17.434]  And this was a month before it came out.
[00:15:18.114 --> 00:15:18.895]  And I just knew.
[00:15:18.955 --> 00:15:20.315]  I was like, what is this?
[00:15:21.236 --> 00:15:23.097]  And I was out of VHS tape.
[00:15:23.117 --> 00:15:25.158]  I almost went to the store and bought some more.
[00:15:26.689 --> 00:15:29.191]  I remember watching it going, what is this?
[00:15:29.512 --> 00:15:33.094]  It was, Bush cares about the people and they're very happy with him.
[00:15:33.154 --> 00:15:35.576]  It's the best reform bill ever known.
[00:15:35.616 --> 00:15:40.820]  It was like newscasters, old fancy desks, showing video clips of people clapping for Bush.
[00:15:40.860 --> 00:15:42.421]  Of course, it wasn't real clapping.
[00:15:42.441 --> 00:15:46.023]  They would just take shots of old people clapping and then insert it in.
[00:15:46.063 --> 00:15:48.825]  I mean, it was also a falsified news report.
[00:15:49.086 --> 00:15:50.767]  It wasn't just a fake news report.
[00:15:51.619 --> 00:15:53.260]  In that it wasn't a real news agency.
[00:15:53.280 --> 00:15:56.943]  It also had fake cuts and all this stuff going on in it.
[00:15:58.184 --> 00:16:00.545]  Any other media outlet would get in a lot of trouble for that.
[00:16:01.286 --> 00:16:05.169]  So it was also fabricated at that level in the actual content.
[00:16:05.869 --> 00:16:11.994]  It was 70 plus million dollars for one media buy.
[00:16:12.074 --> 00:16:12.514]  Now listen.
[00:16:14.218 --> 00:16:16.740]  This has been going on for decades, but now it's very overt.
[00:16:16.780 --> 00:16:21.303]  Bill Clinton, I remember this going on, actually produced and had the U.S.
[00:16:21.323 --> 00:16:26.987]  government pay for different specials on major broadcast television back during the mid-nineties.
[00:16:27.928 --> 00:16:29.949]  And got roundly criticized for it.
[00:16:30.670 --> 00:16:31.490]  And that's good!
[00:16:32.731 --> 00:16:36.934]  But, George Bush has radically expanded this.
[00:16:38.916 --> 00:16:41.998]  I know local radio stations, my friends, in Central Texas.
[00:16:43.334 --> 00:16:43.934]  How do I know?
[00:16:43.994 --> 00:16:49.816]  Because I've called up board operators and demanded to speak to managers and found out.
[00:16:49.836 --> 00:17:12.801]  I mean, I've heard these newscasts where it's a local environmental group that has federal and state funding and you hear like a special three or four minute newscast for them about how we've got to go ahead and put more emissions controls and standards on our cars and have emissions testing
[00:17:13.863 --> 00:17:17.705]  And I know the Feds are doing this all over the country to actually bring in a new level of taxation.
[00:17:19.346 --> 00:17:21.908]  And so I called up and I said, that's paid, isn't it?
[00:17:22.568 --> 00:17:24.509]  And the person's like, hi, let me talk to your manager.
[00:17:24.569 --> 00:17:26.631]  And I get somebody else going, listen, I just want to know this.
[00:17:26.651 --> 00:17:27.491]  This is Alex Jones.
[00:17:28.131 --> 00:17:28.852]  Just tell me the truth.
[00:17:28.892 --> 00:17:29.532]  I want to know this.
[00:17:30.553 --> 00:17:32.754]  Is that in your traffic report?
[00:17:32.874 --> 00:17:35.816]  And that's what it's called in radio on the computer of the ads.
[00:17:36.657 --> 00:17:38.378]  And he's like, yeah, yeah.
[00:17:38.458 --> 00:17:39.218]  How did you know that?
[00:17:40.019 --> 00:17:42.260]  Oh my goodness, it's not hard to know it.
[00:17:43.047 --> 00:17:43.627]  And you know what?
[00:17:43.807 --> 00:17:47.508]  I'm sick and tired of this type of garbage.
[00:17:47.568 --> 00:17:56.270]  I mean, when I have somebody on to promote a water filter I believe in, or when I'm selling my books and videos, it's, hey, here's the product, I want you to buy it.
[00:17:57.111 --> 00:18:03.212]  I don't masquerade around like it's a news report.
[00:18:03.872 --> 00:18:05.433]  And now with the news, called 888-253-3139.
[00:18:05.493 --> 00:18:06.753]  It's called product placement.
[00:18:11.377 --> 00:18:18.242]  Okay, when, you know, when you're watching a movie and there's Budweiser and Doritos and Domino's pizza ads in the movie.
[00:18:19.163 --> 00:18:28.290]  Some movies make over... Well, there's one TV show that got 30 plus million dollars just for, what was it, four or five episodes?
[00:18:28.330 --> 00:18:33.073]  That was The Apprentice or whatever the show is with Donald Trump.
[00:18:33.113 --> 00:18:35.635]  I've only watched it like once, but I remember reading the article.
[00:18:36.075 --> 00:18:38.477]  That's called product placement.
[00:18:38.497 --> 00:18:39.638]  I don't have a problem with it.
[00:18:40.734 --> 00:18:47.580]  Other than the fact that it's annoying, and some shows have turned into nothing but product placement, but people just take it in because they're not conscious of it.
[00:18:48.001 --> 00:18:54.687]  What I do have a problem with is the term I coined, and that is propaganda placement.
[00:18:56.228 --> 00:18:57.089]  That's my term.
[00:18:58.070 --> 00:19:00.152]  Propaganda placement.
[00:19:01.213 --> 00:19:06.958]  And so, the yuppies and the general public will argue with you about propaganda in the news and TV,
[00:19:09.875 --> 00:19:13.156]  And then if you point out propaganda placement to them, they'll just say, so what?
[00:19:13.616 --> 00:19:28.521]  I mean, folks, you like watching TV, and you have no idea that the managers of radio and TV stations, in many cases, have actually been given federal stipends to run around and have a certain view?
[00:19:28.541 --> 00:19:31.922]  I mean, it is widespread.
[00:19:32.862 --> 00:19:38.204]  It's in your town, if you live in a moderately large city.
[00:19:40.018 --> 00:19:43.060]  It's going on across the board.
[00:19:44.361 --> 00:19:47.224]  And why are they now bringing out Armstrong Williams?
[00:19:48.244 --> 00:19:55.690]  I believe this was released on purpose, and I believe now the government is going to move ahead with blackmailing members of the media who've taken money.
[00:19:56.471 --> 00:19:57.992]  Yes, it's that dirty, folks.
[00:19:58.032 --> 00:19:58.492]  We'll be back.
[00:20:02.815 --> 00:20:04.917]  Those dark, depressing days are here.
[00:20:05.658 --> 00:20:09.141]  Are you among the 15% of North Americans who suffer from the winter blues?
[00:20:09.741 --> 00:20:13.284]  This condition is simply caused by the lack of sunlight during the short winter days.
[00:20:13.944 --> 00:20:16.546]  Do you suffer from constant fatigue and lack of energy?
[00:20:16.966 --> 00:20:19.388]  Do you have a hard time pulling yourself out of bed in the morning?
[00:20:19.889 --> 00:20:21.310]  Do you put on weight in the winter?
[00:20:22.030 --> 00:20:23.751]  Is your life on hold to the spring?
[00:20:24.292 --> 00:20:25.252]  Check with your doctor.
[00:20:25.353 --> 00:20:30.256]  You may be suffering from the winter blues or from SADS, Seasonal Affective Disorder.
[00:20:30.736 --> 00:20:35.420]  In all likelihood, your doctor will recommend bright light therapy with one of our special lights.
[00:20:36.087 --> 00:20:36.908]  Light up your life.
[00:20:37.008 --> 00:20:39.750]  Put some sunshine on your depressing days with the Northern Light.
[00:20:40.270 --> 00:20:50.517]  Call Northern Light Technologies at 800-263-0066 and speak to one of our trained representatives or visit us at northernlighttechnologies.com.
[00:20:51.037 --> 00:20:53.179]  That's northernlighttechnologies.com.
[00:20:53.759 --> 00:20:54.960]  Our phone number again is 800-263-0066.
[00:21:01.294 --> 00:21:02.775]  To the farthest corners of the Earth.
[00:21:03.075 --> 00:21:07.657]  Explorers are willing to put all their wealth and skill into mapping every corner of the world, and they did.
[00:21:07.998 --> 00:21:10.339]  But you can still hold the world in the palm of your hand.
[00:21:10.559 --> 00:21:12.080]  Achieve financial independence.
[00:21:12.460 --> 00:21:17.563]  Unlike explorers of yesteryear, you'll have a map to follow instead of relying on a compass and a North Star.
[00:21:17.863 --> 00:21:19.083]  Get the Red Book of the U.S.
[00:21:19.143 --> 00:21:21.845]  Coins and you'll begin your journey to total financial freedom.
[00:21:22.245 --> 00:21:28.188]  Right now, Midas Resources is offering a 2005 edition of the Red Book, along with a silver dollar for only $22.95.
[00:21:28.249 --> 00:21:28.969]  Call them today at 1-800-686-2237.
[00:21:29.009 --> 00:21:29.449]  That's 800-686-2237.
[00:21:29.509 --> 00:21:33.251]  I can tell you there'll be storms ahead, but with real money as your base, liberty will be your fate.
[00:21:41.796 --> 00:21:48.421]  Leave the fiat currency behind and call Midas Resources to get your Red Book along with that silver dollar for only $22.95.
[00:21:48.681 --> 00:21:49.341]  Get the map.
[00:21:49.361 --> 00:21:51.763]  Start your journey to financial independence today.
[00:21:51.983 --> 00:21:52.984]  The time is now.
[00:21:53.324 --> 00:21:55.665]  Call 800-686-2237.
[00:21:56.226 --> 00:21:59.328]  Get your Red Book now and you'll weather any storm that comes your way.
[00:22:00.788 --> 00:22:03.310]  Hey gang, it's time for a fresh, healthy start.
[00:22:03.450 --> 00:22:06.892]  Take charge and lose that unwanted fat with Vim and Vigor's Collagenate.
[00:22:07.092 --> 00:22:08.973]  You know, Collagenate's different than the other stuff.
[00:22:09.154 --> 00:22:14.317]  Vim and Vigor's Collagenate works with your body to improve fat metabolism and that means a leaner, healthier you.
[00:22:14.637 --> 00:22:17.079]  Vim and Vigor's Collagenate really does work.
[00:22:17.259 --> 00:22:18.280]  So what are you waiting for?
[00:22:18.480 --> 00:22:25.484]  Call Vim and Vigor today at 1-800-622-THIN and learn how you can lose weight the safe and healthy way with Collagenate.
[00:22:25.784 --> 00:22:27.926]  No ephedra, no stimulus, none of that stuff.
[00:22:28.326 --> 00:22:29.367]  And it's healthy for you.
[00:22:29.608 --> 00:22:36.396]  In addition to assisting you lose weight, Collagenate is also designed to help improve the strength and health of muscles, joints, skin, hair, and nails.
[00:22:36.516 --> 00:22:38.218]  So take Collagenate and rejuvenate.
[00:22:38.439 --> 00:22:39.680]  Call Vim and Vigor today at 1-800-622-THIN.
[00:22:39.700 --> 00:22:39.921]  That's 1-800-622-8446.
[00:22:44.466 --> 00:22:47.548]  And hey, get $25 off a 3-month supply of Collagen-8.
[00:22:47.748 --> 00:22:52.232]  Lose fat, get toned, and enjoy the many anti-aging benefits of Vim and Vigor's Collagen-8.
[00:22:52.392 --> 00:22:53.432]  But you've got to call them today.
[00:22:53.452 --> 00:22:53.552]  1-800-622-8446.
[00:22:53.813 --> 00:22:54.393]  Easy way to remember it?
[00:22:54.413 --> 00:22:54.613]  1-800-622-THIN.
[00:23:00.757 --> 00:23:09.107]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:23:09.288 --> 00:23:19.340]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:23:19.820 --> 00:23:25.663]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:23:25.883 --> 00:23:30.325]  Find out everything from where to get water in an emergency to geographic income levels.
[00:23:30.545 --> 00:23:36.588]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[00:23:36.768 --> 00:23:43.230]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[00:23:43.531 --> 00:23:48.873]  Order Prudent Places USA now for only $29, plus shipping by calling New Millennium at
[00:23:48.933 --> 00:23:52.394]  Alright, Bill and John and Jason and Sherry and Adam, everybody, your calls are coming up.
[00:23:52.434 --> 00:23:54.795]  But again, I just spent about 15 minutes on one story.
[00:24:17.981 --> 00:24:19.082]  Or one phenomenon.
[00:24:19.102 --> 00:24:28.946]  I mean, you tell the average person that the newscasts are actually, in many cases, run by the government.
[00:24:30.086 --> 00:24:30.747]  Paid for.
[00:24:30.807 --> 00:24:31.547]  They don't want to believe it.
[00:24:31.907 --> 00:24:36.309]  It's not just that the corporations that own and run our politicians own that same media.
[00:24:37.550 --> 00:24:38.170]  It's CNN.
[00:24:38.270 --> 00:24:41.312]  I remember a Washington Post, World Net Daily article back in, what, 2000?
[00:24:41.412 --> 00:24:46.694]  Where it talked about hundreds and hundreds of members.
[00:24:48.304 --> 00:24:53.225]  of Army Psychological Warfare Group in CNN.
[00:24:55.445 --> 00:25:03.087]  And then Gore Vidal, the big prize-winning writer, he was there right after 9-11 and he goes, I just want to compliment CNN.
[00:25:03.107 --> 00:25:04.987]  He goes, this is the first time I've been in a U.S.
[00:25:05.047 --> 00:25:14.709]  newsroom in the last few years and haven't had lieutenant generals in suits telling me what I can and can't say.
[00:25:18.624 --> 00:25:21.665]  And the commentators said, oh no, we don't do that anymore.
[00:25:22.705 --> 00:25:27.006]  Folks, you can say, well then why are you reading mainstream news?
[00:25:28.806 --> 00:25:32.467]  Well, because we'll read an article where they say, children need microchips.
[00:25:32.907 --> 00:25:34.207]  Why, this will be the new ID.
[00:25:34.607 --> 00:25:35.327]  It's good.
[00:25:35.788 --> 00:25:37.708]  We go, no, it's bad, and here's why.
[00:25:40.288 --> 00:25:47.630]  Or we read an article where they taser an 85-year-old man because he didn't stop his car quick enough because he was deaf, basically, or hearing impaired.
[00:25:49.441 --> 00:25:53.123]  And, uh, you know, they say it's no big deal, proper way to handle it.
[00:25:53.664 --> 00:25:56.345]  We read the facts and go, no, this isn't the proper way to handle it.
[00:25:56.385 --> 00:25:58.587]  And, you know, all the media isn't controlled and bought.
[00:25:59.147 --> 00:26:05.051]  What happens is, is the low-level writers and local writers and local people, they all copy the big pundits.
[00:26:05.591 --> 00:26:05.831]  Why?
