[00:00:00.956 --> 00:00:01.417]  Hey, Alex.
[00:04:21.770 --> 00:04:31.225]  To try to effectively coerce a foreign leader that is completely dependent on our country for military, economic, diplomatic, and other support.
[00:04:34.505 --> 00:04:41.771]  Talk about pressuring a foreign country to interfere with and control a U.S.
[00:04:41.851 --> 00:04:42.311]  election.
[00:04:42.791 --> 00:04:43.852]  It couldn't be clearer.
[00:04:43.912 --> 00:04:46.935]  And that's not just undermining democratic institutions.
[00:04:47.555 --> 00:04:48.516]  That is treason.
[00:04:48.856 --> 00:04:50.398]  It's treason, pure and simple.
[00:04:50.578 --> 00:04:52.980]  And the penalty for treason under the U.S.
[00:04:53.040 --> 00:04:54.141]  Code is death.
[00:04:54.521 --> 00:04:55.522]  That's the only penalty.
[00:04:56.854 --> 00:05:01.737]  I mean, president's only a four-year job, but it feels like it's taken him five years to just fire his ass.
[00:05:02.357 --> 00:05:03.238]  It's frustrating.
[00:05:03.378 --> 00:05:09.382]  You know, I bet somebody explained how long impeachment takes to John Wilkes Booth, and he was like, okay, well, where's he at right now?
[00:05:11.543 --> 00:05:14.885]  When was the last time an actor assassinated a president?
[00:05:18.467 --> 00:05:24.231]  The call is the call, but there's nothing here that rises to the level of high crimes and misdemeanors.
[00:05:24.291 --> 00:05:24.731]  What's wrong?
[00:05:28.840 --> 00:05:29.289]  Yeah.
[00:05:58.127 --> 00:06:03.614]  Alright my friends, it is October 6, 2019 on this Sunday live worldwide broadcast.
[00:06:03.714 --> 00:06:04.835]  I am your host Alex Jones.
[00:06:05.556 --> 00:06:11.924]  So the stories are up on InfoWars.com, NewsWars.com and the main article originates from NaturalNews.com.
[00:06:12.850 --> 00:06:14.992]  I've been talking to Mike Adams today.
[00:06:15.012 --> 00:06:19.435]  He's going to be with us tomorrow in studio, hopefully, if not Skype.
[00:06:20.055 --> 00:06:21.437]  And he's been talking to his sources.
[00:06:21.497 --> 00:06:22.677]  I've been talking to my sources.
[00:06:23.238 --> 00:06:28.382]  And this is a public document from October 3rd, ladies and gentlemen.
[00:06:28.402 --> 00:06:30.423]  2019 Memorandum 55019.
[00:06:36.437 --> 00:06:41.984]  Already the left is trying to spin this to a previous order from years ago, claiming this order is not accurate.
[00:06:42.044 --> 00:06:44.066]  That is not the case, ladies and gentlemen.
[00:06:44.587 --> 00:06:44.827]  U.S.
[00:06:44.867 --> 00:06:54.279]  Marine Reserves units activated for an emergency within the United States, which will come with little warning, cites threats to the homeland.
[00:06:56.277 --> 00:07:06.850]  Now we have the Democrats running around saying they want the 25th Amendment, they want Trump removed out of office, 22nd Amendment, saying that they want to say that he's basically mentally ill.
[00:07:09.172 --> 00:07:14.193]  You also have them classically running around on CNN saying it's time to kill him, it's time to remove him.
[00:07:14.613 --> 00:07:20.094]  You've got Maxine Waters saying that impeachment's too good for him and he should be in prison, in solitary confinement.
[00:07:20.114 --> 00:07:24.755]  You've got Phil Mudd of the CIA who famously said the intelligence agencies are going to kill this guy.
[00:07:25.315 --> 00:07:29.816]  He now said last Friday that someone's going to stab him in the back with a shank.
[00:07:31.577 --> 00:07:34.517]  You have Trump saying this is a coup to remove an elected president.
[00:07:35.157 --> 00:07:37.478]  So these are epic, unprecedented times.
[00:07:38.561 --> 00:07:57.477]  And you've got the Attorney General lined up and getting ready and reportedly about to release, this has even been in the Associated Press, the AG report
[00:07:59.397 --> 00:08:11.968]  Dealing with all of the illegal spying on the Trump campaign by the Obamas and the Clintons, and the reported indictment of Andy McCabe, who will be the first FBI director in history to be indicted.
[00:08:12.608 --> 00:08:22.997]  Of course, it came out three weeks ago that he's been indicted, but that they brought it up to the Deputy Director of the Justice Department, that's who's over those things, to hopefully have it quashed or squashed, and that did not happen.
[00:08:24.309 --> 00:08:29.775]  So the deep state is scared, and they've launched this new Russia hoax, 2.0, the Ukraine hoax.
[00:08:31.197 --> 00:08:35.601]  And the first, quote, whistleblower was third-hand, probably just Schiff making it up.
[00:08:35.641 --> 00:08:42.109]  We know he reads fake transcripts from the House Intelligence Committee chairman's dais.
[00:08:44.130 --> 00:08:48.457]  So now someone who had second-hand knowledge reportedly is filing.
[00:08:48.838 --> 00:08:49.859]  And so that's all this is.
[00:08:49.899 --> 00:08:53.846]  It's just like Balazi Ford and all these other fake women coming out with fake stories.
[00:08:54.427 --> 00:08:58.233]  They just want to have this drip, drip, drip, drip, drip where this all builds up.
[00:09:00.128 --> 00:09:02.009]  That, oh, we've got him talking to foreign leaders.
[00:09:02.049 --> 00:09:05.332]  He's a traitor again, just like he's getting peed on by Russian hookers.
[00:09:05.372 --> 00:09:06.072]  None of it's true.
[00:09:06.632 --> 00:09:07.913]  He releases the real transcript.
[00:09:07.953 --> 00:09:08.434]  Not there.
[00:09:09.174 --> 00:09:15.558]  But then Trump goes, of course, I'm bringing up all the corrupt deals the Obamas and the Clintons signed with China and everybody else.
[00:09:15.618 --> 00:09:24.585]  We're ending those deals where they would get paid, they would get money, they would get on the board of directors of these different companies, and then they would sell out U.S.
[00:09:24.625 --> 00:09:24.885]  interests.
[00:09:24.925 --> 00:09:26.486]  Of course I'm stopping all that.
[00:09:27.847 --> 00:09:31.610]  That's my job is to go through all these deals and make better deals.
[00:09:31.730 --> 00:09:32.971]  I'm doing it to stop corruption.
[00:09:34.612 --> 00:09:48.803]  So they're trying to turn this around and say, oh no, that's corruption to try to stop the ongoing deals with all these companies that Republican and Democrats, but mainly Democrats, but some Republicans are involved, the neocons, in setting up.
[00:09:50.144 --> 00:09:52.065]  Ukraine has been a giant cash machine.
[00:09:52.085 --> 00:09:53.747]  It's been a civil war for a long time.
[00:09:54.571 --> 00:10:01.934]  And the West has been funding up to $5 billion a year into it, trying to kick Russian interest out before the Civil War started five years ago.
[00:10:05.196 --> 00:10:10.798]  So, we're on the precipice here of a real coup, a hot coup against the President.
[00:10:12.159 --> 00:10:20.943]  And the takeaway is the fact that he's called up Marines, that you don't call up for hurricanes or tornadoes or earthquakes, call up the Marines.
[00:10:22.025 --> 00:10:29.247]  For an emergency within the United States, which will come with little warning, cites threats in the homeland.
[00:10:32.187 --> 00:10:34.028]  Incredible article at naturalnews.com.
[00:10:34.488 --> 00:10:41.869]  We have the article mirrored at infowars.com with our live feed so we can show you more and so you can share that link.
[00:10:43.389 --> 00:10:45.390]  Trump activates U.S.
[00:10:45.430 --> 00:10:50.051]  Marines reserves for, quote, emergency within the United States to stop illegal coup.
[00:10:51.013 --> 00:10:53.295]  Order says emergency will come with little warning.
[00:10:54.256 --> 00:10:55.737]  Cites threats within the homeland.
[00:10:56.638 --> 00:10:57.939]  Click below for live coverage.
[00:10:57.999 --> 00:10:59.040]  I suggest you share that.
[00:11:00.221 --> 00:11:05.746]  Now, the reason I added the part about clearly this is for a coup is that's what our sources are saying.
[00:11:06.086 --> 00:11:08.088]  The president says there's an ongoing coup.
[00:11:08.928 --> 00:11:17.336]  And President Trump has told confidants in the past that if they ever try an illegal coup on him outside of Congress, outside of law, which they're now saying they'll do,
[00:11:20.376 --> 00:11:29.081]  That he will use the Marines to encircle the White House and then send the Army and Marines in to round up the coup plotters.
[00:11:29.662 --> 00:11:31.063]  So this is what you see in Turkey.
[00:11:31.103 --> 00:11:32.844]  It's what you see in Guatemala.
[00:11:33.384 --> 00:11:35.865]  It's what you see in Venezuela.
[00:11:35.885 --> 00:11:42.890]  It's the type of crap you see in countries whose intelligence services battle over who controls the nation, not the voters.
[00:11:42.930 --> 00:11:43.930]  And I've said it.
[00:11:43.950 --> 00:11:44.971]  Tucker Carlson said it.
[00:11:45.411 --> 00:11:46.392]  President Trump has said it.
[00:11:47.591 --> 00:11:53.196]  This is about intelligence agencies wanting to take over the government fully and wanting to nullify an election.
[00:11:54.597 --> 00:11:56.919]  And so they say we're in a civil war.
[00:11:56.959 --> 00:11:58.400]  They say they're going to remove the president.
[00:11:58.780 --> 00:12:00.662]  They say they're going to trigger riots.
[00:12:01.342 --> 00:12:02.583]  Trump goes, that's wrong.
[00:12:02.663 --> 00:12:03.984]  You're putting us into a civil war.
[00:12:04.324 --> 00:12:06.006]  They go, oh my God, you want a civil war?
[00:12:06.046 --> 00:12:06.806]  That's impeachable.
[00:12:07.907 --> 00:12:09.328]  So we see them agitating.
[00:12:09.348 --> 00:12:10.269]  We see them pushing.
[00:12:10.710 --> 00:12:11.710]  We see them preparing.
[00:12:11.750 --> 00:12:13.492]  We see them getting everybody upset.
[00:12:22.526 --> 00:12:28.470]  And then sitting back when they create the crisis and Pelosi goes, I'm so sad we're going to have to have an impeachment.
[00:12:28.670 --> 00:12:30.191]  Oh, it's going to tear our country apart.
[00:12:30.572 --> 00:12:32.513]  Can't believe Trump's brought us to this place.
[00:12:32.573 --> 00:12:36.416]  It's so horrible when they've been trying to impeach him before he ever got in office.
[00:12:38.217 --> 00:12:38.637]  That's right.
[00:12:39.158 --> 00:12:40.158]  Saying, oh, he's criminal.
[00:12:40.198 --> 00:12:41.079]  The Russians stole it.
[00:12:41.479 --> 00:12:42.700]  So don't seat the delegates.
[00:12:42.860 --> 00:12:46.443]  He'll be gone before January 20th, 2017.
[00:12:46.823 --> 00:12:50.886]  Then once he got in, remember all the reports we filed, all the shows we covered?
[00:12:52.398 --> 00:12:59.481]  Or they had the Aspen Institute on CNN with Wolf Blitzer, and he had Brennan, and he had Clapper on the stage.
[00:13:02.222 --> 00:13:08.284]  And they said, oh, he'll be gone by December.
[00:13:10.065 --> 00:13:15.007]  By the fiscal year, that's when they want to get him done by so they can get a hold of the budget again and give themselves all that money again.
[00:13:16.868 --> 00:13:18.148]  Their Swiss bank accounts aren't big enough.
[00:13:19.429 --> 00:13:19.849]  Remember that?
[00:13:20.623 --> 00:13:23.926]  Gotta play that clip again, where they said he'll be gone by December.
[00:13:25.126 --> 00:13:27.148]  Okay, well that was two years ago now.
[00:13:29.810 --> 00:13:32.852]  And then, oh, it's the 22nd Amendment, he's mentally ill.
[00:13:33.473 --> 00:13:34.454]  We've gotta get rid of him.
[00:13:34.794 --> 00:13:37.936]  We've gotta get members of his cabinet to do it, so they're threatening members of his cabinet.
[00:13:38.317 --> 00:13:41.619]  And so they came up with a plan, since Russiagate had zero truth in it.
[00:13:43.140 --> 00:13:48.965]  Well, at least if we have him on real phone calls with world leaders, we'll claim those are inappropriate, and claim that there's
[00:13:50.267 --> 00:13:53.129]  Quid pro quo going on and we'll have enough people just say it.
[00:13:54.590 --> 00:13:57.152]  At least the phone calls are real even though the contents aren't real.
[00:13:57.513 --> 00:14:08.501]  Maybe that'll work and we'll have enough of a smoke screen there to scare enough people and claim they're going to jail that they'll agree to a 22nd amendment but Trump won't go quietly so they'll have to incapacitate him or kill him.
[00:14:09.202 --> 00:14:10.983]  And they shot Ronald Reagan one year into office.
[00:14:11.303 --> 00:14:12.684]  Trump's way overdue for it folks.
[00:14:13.065 --> 00:14:15.066]  This nation is in total crisis right now.
[00:14:15.406 --> 00:14:17.248]  There is a coup going into hot coup right now.
[00:14:20.760 --> 00:14:21.501]  Big Brother.
[00:14:22.481 --> 00:14:23.722]  Mainstream media.
[00:14:24.803 --> 00:14:25.924]  Government cover-ups.
[00:14:26.585 --> 00:14:28.026]  You want to stop tyranny?
[00:14:28.646 --> 00:14:29.948]  Well, so does he.
[00:14:30.808 --> 00:14:35.552]  Live from the InfoWars.com studios, it's Alex Jones.
[00:14:38.494 --> 00:14:43.879]  You know, I think the best thing I can do tonight is just read this article from NaturalNews.com.
[00:14:44.940 --> 00:14:46.801]  It's also posted at InfoWars.com.
[00:14:47.822 --> 00:14:49.683]  And then read through
[00:14:52.059 --> 00:15:00.603]  The actual command document from the Marine Corps General in charge that Trump put in just a few months ago.
[00:15:00.623 --> 00:15:03.825]  I think that's really the most important thing to do.
[00:15:03.845 --> 00:15:14.191]  And then understand that there is a war on reality by the Democrats and the neocons that have presided over the sellout of this nation to foreign interest.
[00:15:14.291 --> 00:15:20.514]  But if you just tuned in, we're going to be covering this throughout the rest of the show tonight.
[00:15:22.884 --> 00:15:33.527]  Trump has activated Marines for a domestic operation to assist civil authorities for a disaster that will come with little warning.
[00:15:34.568 --> 00:15:36.648]  Cites threats in the homeland.
[00:15:39.589 --> 00:15:45.611]  Now, ladies and gentlemen, the president has already said there is an ongoing coup, an attempted coup against him.
[00:15:46.732 --> 00:15:48.992]  He said that about 10 times I know of the last week.
[00:15:50.353 --> 00:15:51.213]  He said it on video.
[00:15:53.174 --> 00:15:54.275]  In national addresses.
[00:15:55.736 --> 00:15:56.337]  To the cameras.
[00:15:57.498 --> 00:16:00.520]  The Democrats are talking about what prisons they want to put everybody in.
[00:16:01.701 --> 00:16:03.463]  They're talking about how they want to kill the President.
[00:16:03.483 --> 00:16:07.826]  If you just joined us, I heard video at the start of the show of prominent Democrats saying, let's stab him.
[00:16:08.226 --> 00:16:08.847]  Let's kill him.
[00:16:08.867 --> 00:16:10.268]  Let's put him in solitary confinement.
[00:16:10.288 --> 00:16:13.471]  These are former heads of counterterrorism at the CIA.
[00:16:13.991 --> 00:16:14.692]  Like Phil Mudd.
[00:16:17.534 --> 00:16:18.315]  Maxine Waters.
[00:16:22.090 --> 00:16:24.011]  And they have been foaming at the mouth for impeachment.
[00:16:24.071 --> 00:16:40.203]  And so this fake whistleblower comes forward, and then that gives them a platform to have Brennan and other coup architects, former head of the CIA, known serial liar, he's admittedly lied to Congress many times, to say, all whistleblowers activate and report the crimes you know of.
[00:16:41.264 --> 00:16:45.487]  And that means, like Malazzi, Ford, and others, make up lies like they did with Kavanaugh.
[00:16:45.887 --> 00:16:46.848]  It's a repeat of that.
[00:16:49.360 --> 00:16:58.262]  You know, Saturday Night Live, three times I watched it, read fake transcripts of the President saying he was guilty, quid pro quo, with Ukraine.
[00:16:59.082 --> 00:17:01.082]  That's Saturday Night Live, people knew it was a joke.
[00:17:02.122 --> 00:17:06.383]  When Adam Schiff did it as the Chairman of the House Judiciary Committee, it was criminal.
[00:17:07.604 --> 00:17:09.504]  It didn't tell people until later it was fake.
[00:17:11.184 --> 00:17:14.745]  MSNBC put out fake dossiers and fake
[00:17:15.834 --> 00:17:16.895]  Transcripts as well.
[00:17:17.495 --> 00:17:20.858]  And they're still saying that's not a full transcript when it is a full transcript.
[00:17:21.498 --> 00:17:26.341]  This is how they take over and change the subject from their corruption because their back's against the wall.
[00:17:27.242 --> 00:17:28.543]  And Trump is draining the swamp.
[00:17:29.123 --> 00:17:30.584]  And Trump's going to win re-election.
[00:17:31.605 --> 00:17:35.968]  Even their fake polls show he's above where Obama was three years into his presidency.
[00:17:37.329 --> 00:17:37.929]  His first term.
[00:17:39.410 --> 00:17:41.492]  So they're moving with a real coup.
[00:17:41.932 --> 00:17:42.973]  But they can't get one.
[00:17:42.993 --> 00:17:44.174]  They don't have the votes of the Senate yet.
[00:17:44.898 --> 00:17:52.124]  So they need to drum up some other reason to get the intelligence agencies to move against Trump by saying he's a foreign asset.
[00:17:52.744 --> 00:18:00.430]  He won't be removed by the election or by Congress, so we've got to act.
[00:18:01.031 --> 00:18:03.313]  That's what they've been saying on television.
[00:18:04.153 --> 00:18:05.174]  Somebody's gonna kill him.
[00:18:05.474 --> 00:18:06.595]  Somebody's gonna stab him.
[00:18:07.536 --> 00:18:08.337]  And these are people
[00:18:09.636 --> 00:18:13.478]  Like Phil Mudd, who was over counter-terrorism.
[00:18:13.518 --> 00:18:15.739]  That means hit teams at the CIA.
[00:18:16.139 --> 00:18:18.400]  That's the deep state saying, kill the President.
[00:18:19.101 --> 00:18:20.021]  Kill the President.
[00:18:20.422 --> 00:18:21.282]  Kill the President.
[00:18:21.662 --> 00:18:23.963]  And so you bet he's mobilized the Marines.
[00:18:25.984 --> 00:18:28.966]  You see, I've talked to multiple people very close to the President.
[00:18:30.322 --> 00:18:34.344]  And the President knew that when he tried to drain the swamp and restore the Republic, there was a good chance this would happen.
[00:18:34.884 --> 00:18:59.678]  And he's always had a plan that if someone tries to remove him, not through Congress, not through lawful impeachment, but through some type of paramilitary coup with a group of leftists, say out of the FBI or some other agency, that are going to try to grab the President, say, we're in command, and hope the coup works, that the Marines are going to remove them.
[00:19:04.972 --> 00:19:06.773]  So, this happens in countries all the time.
[00:19:06.793 --> 00:19:08.354]  It just happened in Turkey last year.
[00:19:09.455 --> 00:19:10.776]  And we've become a third world country.
[00:19:10.796 --> 00:19:12.057]  We act like a third world country now.
[00:19:12.857 --> 00:19:15.559]  And so this isn't going to happen, it's happening.
[00:19:15.759 --> 00:19:18.001]  The question is, how bad will the coup attempt get?
[00:19:19.982 --> 00:19:21.223]  So let's read over it all right now.
[00:19:22.684 --> 00:19:22.944]  U.S.
[00:19:22.984 --> 00:19:30.629]  Marine Reserve units activate for emergency within the United States, which will come with little warning, besides threats in the homeland.
[00:19:30.649 --> 00:19:31.250]  Those are quotes.
[00:19:34.468 --> 00:19:49.706]  Breaking update concerning the directive involving the United States Marine Corps Reserve units via Marine Admins number 550-19, signed October 3rd, 2019, authorized by Brigadier General Daniel L. Shipley, Director of Manpower Plans and Policy.
[00:19:50.848 --> 00:20:00.476]  Notably, Brigadier General Daniel L. Shipley was nominated by President Trump for the rank of Major General, according to a January 16, 2019 Defense.gov press announcement.
[00:20:00.496 --> 00:20:08.362]  Before serving his current role, Shipley served as the Deputy Director of Program Analysis and Evaluation Department of Programs and Resources for the United States Marines.
[00:20:10.003 --> 00:20:17.169]  The new order summarizes Marines ordered to active duty ISO defense support of civilian authorities.
[00:20:18.410 --> 00:20:19.311]  ...means in support of.
[00:20:19.892 --> 00:20:28.381]  Many observers are concerned that the Democrats like Representative Tlaib openly talking about which prisons to use for imprisoning Trump and his cabinet.
[00:20:29.022 --> 00:20:48.588]  And with Hillary Clinton positioning herself to run for president, and with the IG and FISA abuse report set to drop in a few weeks, the deep state Democrats have reached a point of desperation where they may attempt to initiate a hot coup, kinetic engagement, arrest, or execution of the president and his cabinet to avoid going to prison themselves.
[00:20:49.753 --> 00:20:52.455]  The entire CIA-run Deep State, media, i.e.
[00:20:52.515 --> 00:20:54.257]  Washington Post, New York Times, CNN, etc.
[00:20:54.657 --> 00:21:03.045]  are all in on the effort and are now gaslighting the entire nation with ginned-up whistleblower schemes that are wholesale fabrications.
[00:21:03.886 --> 00:21:09.110]  Alex Jones reminds us, and I've told this story before, Trump has long planned to activate the U.S.
[00:21:09.150 --> 00:21:10.892]  Marines to stop an illegal coup.
[00:21:14.005 --> 00:21:24.136]  I spoke with Jones on the phone today about this breaking news and he told me, I've talked to high-level Trump confidant just recently concerning what Trump would do if the deep state attempted an illegal coup.
[00:21:24.657 --> 00:21:33.247]  Trump said that they would call out the Marines and surround the White House to legally and lawfully pursue the organizers and the originators of the criminal coup.
[00:21:35.489 --> 00:21:46.594]  This high-level confidant is someone who is very close to the President and who is familiar with the President's plans for how to deal with any attempt by the Deep State to carry out an illegal coup attempt.
[00:21:46.614 --> 00:21:58.440]  Again, this high-level confidant is someone who is very close to the President and who is familiar with the President's plans on how to deal with any attempt by the Deep State to carry out an illegal coup attempt.
[00:21:59.343 --> 00:22:06.629]  We urge all lawful pro-American organized individuals prepare to defend your president against the illegal coup attempt in the coming weeks and months.
[00:22:06.729 --> 00:22:08.850]  Details of the military order to U.S.
[00:22:08.890 --> 00:22:12.533]  Marines threats in the homeland will come with little or no warning.
[00:22:12.553 --> 00:22:13.114]  These are quotes.
[00:22:13.854 --> 00:22:16.336]  Does the following order describe an activation of U.S.
[00:22:16.356 --> 00:22:20.780]  Marines reserve units to prepare for anticipated hot coup against the president?
[00:22:21.260 --> 00:22:23.522]  While some might downplay the order as a routine
[00:22:24.534 --> 00:22:28.898]  Personnel Organization Directive, you can read the highlights here and decide for yourself.
[00:22:29.518 --> 00:22:33.702]  These are unprecedented, with the President saying there's an attempted coup against him, and there is.
[00:22:34.322 --> 00:22:35.703]  I mean, this is the climate.
[00:22:36.043 --> 00:22:36.804]  This is going on.
[00:22:36.824 --> 00:22:43.490]  It's like the weather report says, look out for tornadoes, and you walk outside, the sky's green, and you see a tornado a mile away.
[00:22:43.770 --> 00:22:47.153]  I mean, we're already in this, is what I'm saying.
[00:22:47.173 --> 00:22:48.454]  The question is, how bad is it going to get?
[00:22:50.555 --> 00:22:52.355]  Let me go to the actual order here for you.
[00:22:53.016 --> 00:22:54.116]  Okay, this is really important.
[00:22:54.616 --> 00:23:06.599]  Manpower Guidance for Activation and Deactivation of Reserve Component Marines Ordered to Active Duty ISO Defense Support of Civil Authorities.
[00:23:07.479 --> 00:23:09.740]  So they're calling up the Marine Corps Reserves.
[00:23:10.600 --> 00:23:12.901]  And when we come back, we're going to go over all this.
[00:23:12.981 --> 00:23:17.862]  And folks, if you're a TV viewer, you can see we're at marines.gov or .mil.
[00:23:19.522 --> 00:23:23.966]  Now, three days ago, and we've been making phone calls to Marines.
[00:23:23.986 --> 00:23:27.789]  Normally, they'd be told what it was for, they'd be told where they were going.
[00:23:27.810 --> 00:23:28.570]  That's not the case.
[00:23:40.148 --> 00:23:41.449]  So this is a big deal, folks.
[00:23:41.469 --> 00:23:47.372]  We're already in a battle, a civil war, a cold civil war for control of the republic.
[00:23:47.732 --> 00:23:56.318]  The Democrats and neocons are on the side of the globalists and shycoms, and they're openly trying to collapse our borders and cause a race war and the federal reserves and trying to kill the economy.
[00:23:56.678 --> 00:24:00.760]  America is under attack, and our president is under attack, and independent free media is under attack.
[00:24:01.340 --> 00:24:03.782]  All the censorship's in place when they make their big move.
[00:24:04.162 --> 00:24:04.662]  Get ready.
[00:24:04.682 --> 00:24:05.103]  Stay with us.
[00:24:12.979 --> 00:24:16.423]  Let me tell you one really fascinating piece here, Chris, that nobody's talking about.
[00:24:16.843 --> 00:24:23.691]  Rudy Giuliani and the comment you just made that Mike Pompeo, when he got the stuff from Giuliani, referred to it for investigation.
[00:24:24.051 --> 00:24:25.613]  I spend a lot of time in government.
[00:24:25.993 --> 00:24:30.999]  There are State Department officials who will testify, intel guys, DOD, Department of Defense people.
[00:24:31.519 --> 00:24:33.502]  All of us are sort of a brotherhood and sisterhood.
[00:24:33.982 --> 00:24:36.605]  Rudy Giuliani parachutes in from Mars.
[00:24:37.306 --> 00:24:43.792]  The people who will testify are going to look at him, including State Department officials, and say, I don't have to protect that guy.
[00:24:44.253 --> 00:24:45.854]  He didn't operate by the rules.
[00:24:46.175 --> 00:24:48.157]  He didn't do what you're supposed to do in government.
[00:24:48.577 --> 00:24:51.921]  I suspect he's worried about what the Congress will do.
[00:24:51.981 --> 00:24:56.065]  If I were him, I'd be worried about whether people in government stick a shiv in his back.
[00:24:56.105 --> 00:24:56.646]  He's in trouble.
[00:25:00.708 --> 00:25:01.308]  There you go.
[00:25:01.328 --> 00:25:05.551]  It was Phil Mudd two years ago that said government's gonna kill the president.
[00:25:05.571 --> 00:25:08.933]  Like those clips at the start of the broadcast.
[00:25:09.314 --> 00:25:11.115]  President says there's an attempted coup on him.
[00:25:11.135 --> 00:25:21.802]  You have five senators in the last three years that have openly called up Ukraine and threatened to withhold money if they didn't do politically what they wanted.
[00:25:24.267 --> 00:25:28.149]  And they've openly tried to get dirt on Trump from Ukraine, which didn't exist.
[00:25:28.209 --> 00:25:30.211]  But those are people that are under the U.S.
[00:25:30.251 --> 00:25:31.712]  control, so they'll do what they're told.
[00:25:32.232 --> 00:25:34.393]  But still, they couldn't dig any dirt up on Trump.
[00:25:35.514 --> 00:25:43.739]  Now they accuse Trump of what they themselves have done, and say, oh, this whistleblower's coming forward.
[00:25:44.980 --> 00:25:46.781]  But then it turns out that the whistleblower
[00:25:47.970 --> 00:25:50.351]  Never heard this information, and then it's not true.
