[00:00:27.375 --> 00:00:28.155]  Blast off!
[00:09:28.007 --> 00:09:28.907]  Mixed with hot water.
[00:09:29.807 --> 00:09:33.388]  And I find my chi as I host the Alex Jones Show.
[00:09:34.408 --> 00:09:35.048]  It's magic.
[00:09:36.089 --> 00:09:39.189]  It's TurboForce from InfoWarsStore.com.
[00:09:40.650 --> 00:09:40.950]  All right.
[00:09:42.170 --> 00:09:48.531]  So, now that I've got that taken care of, you can get your TurboForce at InfoWarsStore.com.
[00:09:48.911 --> 00:09:52.032]  Experience the rush of energy for yourself.
[00:09:56.670 --> 00:10:22.210]  This is really complex because my goal is to to put it widely change the world but to put it specifically is to awaken people and to just open one mind
[00:10:23.317 --> 00:10:27.898]  Open one mind's eye, open one third eye, awaken one individual at a time.
[00:10:27.979 --> 00:10:38.642]  So, when that is the goal, when that is the mission, there's different tactics and things that you do to accomplish that.
[00:10:41.058 --> 00:10:53.321]  And so, for example, going out today as a Bernie supporter to the Democrat offices so they could kick me out and throw me under the bus just to prove how the Democrats hate Bernie and he's about to get thrown under the bus by the Democrats again, how Democrats don't care about their voters.
[00:10:54.722 --> 00:10:55.642]  That's just one example.
[00:10:55.682 --> 00:10:56.402]  We'll air that later.
[00:10:56.562 --> 00:11:00.863]  But what's happening right now with Ilhan Omar is another example.
[00:11:00.903 --> 00:11:05.404]  Because I don't like Ilhan Omar.
[00:11:07.465 --> 00:11:08.005]  She's a snake.
[00:11:09.932 --> 00:11:11.893]  And I don't think she has good intentions for the West.
[00:11:13.053 --> 00:11:13.733]  And for America.
[00:11:15.434 --> 00:11:17.575]  And yes, I'm not Islamophobic.
[00:11:19.435 --> 00:11:22.016]  I'm not worried about radical Islam because of 9-11.
[00:11:22.997 --> 00:11:27.618]  No, I'm worried about radical Islam because of everything that's happened since 9-11.
[00:11:29.499 --> 00:11:32.540]  I'm worried about Muslims that want to come to the West
[00:11:33.539 --> 00:11:48.694]  After seeing the Middle East destroyed for the last 20 years, and do a little destruction of their own, like an individual in Maryland, Islamic terrorists behind planned Maryland truck attack wanted to kill as many non-Muslims as possible.
[00:11:48.734 --> 00:11:49.714]  The story is at Infowars.com.
[00:11:49.735 --> 00:11:52.978]  You're not hearing too much about that, Islamic Jihadist, are you?
[00:11:57.482 --> 00:11:58.403]  But here's the twist.
[00:12:01.423 --> 00:12:03.585]  I don't believe the official narrative of 9-11.
[00:12:05.146 --> 00:12:05.906]  Not one bit.
[00:12:07.788 --> 00:12:10.049]  Osama Bin Laden was a boogeyman.
[00:12:11.250 --> 00:12:16.214]  Radical Islamic terror was a boogeyman that's now become a self-fulfilling prophecy.
[00:12:17.515 --> 00:12:23.719]  So yeah, when you gaslight radical Islam, then it becomes a threat.
[00:12:23.839 --> 00:12:25.941]  When you let it in, it becomes a threat.
[00:12:30.609 --> 00:12:36.212]  But so, then there's Ilhan Omar, who's like both sides of the coin.
[00:12:38.534 --> 00:12:43.216]  On one hand, in fact, let's play the clip so that we can have better context here.
[00:12:43.897 --> 00:12:49.740]  Listen to what Ilhan Omar said at a Muslim event this week.
[00:12:52.522 --> 00:12:59.806]  Care was founded after 9-11, because they recognized that some people did something
[00:13:00.658 --> 00:13:05.662]  And that all of us, we're starting to lose access to our civil liberties.
[00:13:05.962 --> 00:13:07.944]  Let me translate what she's actually saying to her crowd.
[00:13:08.344 --> 00:13:13.188]  Jews did 9-11, and now Islam, or Muslims, are losing their civil liberties.
[00:13:13.489 --> 00:13:15.290]  That's what she's actually saying.
[00:13:16.011 --> 00:13:21.155]  Now she doesn't say that, because she can't say that, but her audience knows what she means.
[00:13:23.997 --> 00:13:25.418]  Now the average American doesn't know what she means.
[00:13:25.999 --> 00:13:27.700]  The average American hears that and says, wow!
[00:13:28.683 --> 00:13:37.910]  Here's a radical Muslim who doesn't believe 9-11 happened, or who doesn't believe the official narrative of 9-11.
[00:13:38.150 --> 00:13:38.651]  Well, yeah!
[00:13:38.911 --> 00:13:40.292]  We were lied to about 9-11!
[00:13:40.973 --> 00:13:41.693]  That's true!
[00:13:41.713 --> 00:13:47.678]  It doesn't take much research to learn that the official narrative of 9-11 is a bunch of bull hickey.
[00:13:48.538 --> 00:13:48.679]  Oh!
[00:13:50.860 --> 00:13:56.505]  The biggest structure fire, the biggest skyscrapers, the only skyscrapers at that time to ever come down from a fire,
[00:13:57.483 --> 00:14:00.944]  You had molten lava sitting at the base of the tower for two years.
[00:14:00.984 --> 00:14:03.865]  That's never happened before or again.
[00:14:04.265 --> 00:14:08.546]  But magically, the passports were preserved perfectly on top of the rubble.
[00:14:09.286 --> 00:14:11.546]  Oh yes, because that's how the world works.
[00:14:12.167 --> 00:14:15.687]  And that plane crash in Pennsylvania, where there wasn't a plane.
[00:14:16.068 --> 00:14:24.430]  And that plane crash in... on the Pentagon, where again, you can't find a plane.
[00:14:27.754 --> 00:14:35.676]  So, Ilhan Omar is right to insinuate that we've been lied to about 9-11.
[00:14:35.876 --> 00:14:36.476]  Absolutely.
[00:14:38.457 --> 00:14:44.578]  But now, as an American, I have to realize what's happening on a larger issue.
[00:14:45.158 --> 00:14:46.799]  And again, this is what I've seen coming.
[00:14:47.419 --> 00:14:54.421]  The clash of civilizations, the clash of cultures between Jews and Muslims is now in the West, ladies and gentlemen.
[00:14:54.721 --> 00:14:55.401]  And guess what?
[00:14:56.522 --> 00:15:03.025]  You, the average American that has nothing to do with Jews or nothing to do with Muslims, guess what?
[00:15:03.585 --> 00:15:05.106]  You're going to get tied up into it.
[00:15:05.626 --> 00:15:15.110]  Because you're going to be walking in Maryland one day and some radical Muslim is going to come up behind you in a truck and run you down.
[00:15:19.052 --> 00:15:20.893]  Again, the story is at Infowars.com.
[00:15:22.173 --> 00:15:25.055]  A radical Islamic terrorist was planning
[00:15:26.337 --> 00:15:29.921]  A truck attack in Maryland to kill as many non-Muslims as possible.
[00:15:30.341 --> 00:15:30.641]  Why?
[00:15:31.102 --> 00:15:39.110]  Because people like Ilhan Omar are here saying Muslims are losing their civil liberties because 9-11 was a lie.
[00:15:40.365 --> 00:15:42.927]  And in a certain aspect, she's right.
[00:15:43.648 --> 00:15:50.474]  But as an American, I see what comes on the other side of her approach to this, and I lose my civil liberties.
[00:15:50.735 --> 00:15:53.437]  Because I've already lost my civil liberties, you see?
[00:15:53.457 --> 00:15:57.781]  I get groped in an anal probe every time I want to fly now, thanks to 9-11.
[00:15:57.961 --> 00:16:00.303]  So we all lost our civil liberties on 9-11.
[00:16:00.444 --> 00:16:01.745]  Let's all figure out what happened.
[00:16:04.537 --> 00:16:12.380]  Hey, what happens if you try to order your favorite InfoWars Life product only to find out they're sold out?
[00:16:12.740 --> 00:16:16.322]  Yeah, I know it kind of sucks, but there is a solution.
[00:16:16.742 --> 00:16:21.644]  All you gotta do is go to InfoWarsStore.com and click on AutoShip.
[00:16:21.764 --> 00:16:22.104]  Bam!
[00:16:22.344 --> 00:16:24.545]  Problem solved just like that.
[00:16:24.905 --> 00:16:27.646]  And now you're scheduled for regular delivery.
[00:16:27.806 --> 00:16:34.089]  That means no more back orders and you'll never run out of your favorite InfoWars Life products
[00:16:34.409 --> 00:16:34.769]  Again.
[00:16:35.149 --> 00:16:35.589]  Pretty cool.
[00:16:35.849 --> 00:16:36.450]  But guess what?
[00:16:36.730 --> 00:16:37.430]  It gets better.
[00:16:37.690 --> 00:16:45.532]  When you sign up for AutoShip at InfowarsStore.com, you get an additional 10% off that product.
[00:16:46.292 --> 00:16:46.693]  Woo!
[00:16:46.893 --> 00:16:47.913]  That's what I'm talking about.
[00:16:47.933 --> 00:16:49.533]  So what are you waiting for?
[00:16:49.914 --> 00:16:51.614]  Support the InfoWar.
[00:16:52.174 --> 00:16:56.996]  Order and click on AutoShip at InfoWarsStore.com or call 1-888-253-3139.
[00:17:02.298 --> 00:17:04.259]  We all know the importance of fish oils.
[00:17:04.659 --> 00:17:10.883]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[00:17:10.903 --> 00:17:15.226]  Honor Roll is a powerful DHA fish oil formula for your child.
[00:17:15.746 --> 00:17:21.750]  Built from the ground up to support your child's development, this formula uses wild anchovy fish oil,
[00:17:22.230 --> 00:17:28.255]  Ultra-purified krill oil and wild salmon fish oil with vitamins to boost your child's mind and body.
[00:17:28.715 --> 00:17:40.245]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA, which has been shown to be essential for your child's brain growth spurts.
[00:17:40.705 --> 00:17:49.953]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[00:17:50.534 --> 00:17:54.303]  If you're looking for a formula to help your child grow, look no further.
[00:17:54.884 --> 00:17:59.416]  Try Honor Roll from InfoWars Life at InfoWarsStore.com.
[00:18:02.090 --> 00:18:07.493]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:18:07.813 --> 00:18:09.874]  Alpha Power at 50% off.
[00:18:10.435 --> 00:18:13.677]  As you age, your body can lose testosterone over time.
[00:18:13.917 --> 00:18:22.402]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:18:23.022 --> 00:18:31.227]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:18:31.767 --> 00:18:36.788]  Perfect by itself or with super male vitality in the true alpha male pack.
[00:18:37.028 --> 00:18:43.870]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:18:44.430 --> 00:18:47.711]  Let Alpha Power help bring you to the peak of your optimal health.
[00:18:48.111 --> 00:18:50.891]  Don't fall short on energy in the fight against tyranny.
[00:18:51.151 --> 00:18:58.553]  Show the world what a true alpha male looks like today with Alpha Power at 50% off only at the Info Wars store.
[00:19:02.185 --> 00:19:04.167]  Frank in North Carolina, thanks for holding so long.
[00:19:04.247 --> 00:19:04.587]  Go ahead.
[00:19:04.867 --> 00:19:07.069]  Yeah, Alec, I just have to say something, man.
[00:19:07.089 --> 00:19:10.111]  It seems like every time I turn on your broadcast, you're bragging.
[00:19:10.952 --> 00:19:12.093]  It just gets old, man.
[00:19:12.373 --> 00:19:14.094]  I'm gonna shut you down right now, okay?
[00:19:14.815 --> 00:19:16.876]  We're taking calls about your nomination.
[00:19:17.136 --> 00:19:21.119]  Do you understand they're having congressional hearings trying to shut us down?
[00:19:21.140 --> 00:19:23.641]  Do you understand I'm ringing the alarm?
[00:19:24.442 --> 00:19:26.784]  If that was happening to anybody else, I'd be freaked out.
[00:19:27.124 --> 00:19:28.245]  I mean, what's it gonna take?
[00:19:28.485 --> 00:19:29.366]  Us being shut down?
[00:19:29.606 --> 00:19:30.647]  Is that what you want, Frank?
[00:19:31.067 --> 00:19:32.108]  You know what, Alex?
[00:19:32.148 --> 00:19:33.228]  Hey, put him on pause again!
[00:19:33.248 --> 00:19:34.069]  Hey, Frank!
[00:19:34.329 --> 00:19:39.692]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:19:40.012 --> 00:19:44.294]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[00:19:44.514 --> 00:19:47.396]  I'm not gonna just stop growth and let them start pushing us backwards.
[00:19:47.656 --> 00:19:48.036]  You understand?
[00:19:48.136 --> 00:19:49.417]  I need your help, Frank!
[00:19:49.777 --> 00:19:50.938]  I need your help, Frank!
[00:19:51.899 --> 00:19:56.841]  Go to InfoWarsStore.com right now and help fund the InfoWars.
[00:19:57.782 --> 00:19:58.462]  Do you understand?
[00:19:58.482 --> 00:19:59.663]  I need your help, Frank!
[00:20:06.016 --> 00:20:12.161]  You're listening to The Alex Jones Show.
[00:20:22.149 --> 00:20:28.734]  Live from the InfoWars.com studios, you're listening to The Alex Jones Show.
[00:20:29.215 --> 00:20:32.297]  And now, your host, Owen Troyer.
[00:20:35.208 --> 00:20:37.169]  This is a real difficult one, ladies and gentlemen.
[00:20:40.131 --> 00:20:53.740]  Because right now, the clash of cultures between Jews and Muslims is hitting the West, hitting America, which is a Christian nation, mind you.
[00:20:54.981 --> 00:20:59.023]  And so, now Christian families in this Christian nation
[00:21:00.003 --> 00:21:07.045]  Are about to have their lives impacted and their lives changed because of the clash of civilizations between Jews and Muslims.
[00:21:07.905 --> 00:21:09.046]  That's where this is headed.
[00:21:09.786 --> 00:21:16.148]  We've already had multiple... You're already having multiple radical Islamic terror attacks.
[00:21:17.328 --> 00:21:22.550]  Not just happening in Europe, but in the West.
[00:21:25.310 --> 00:21:27.031]  Obviously it all goes back to 9-11 though.
[00:21:29.206 --> 00:21:30.006]  Where we were lied to.
[00:21:30.527 --> 00:21:31.367]  We were lied into war.
[00:21:33.588 --> 00:21:54.458]  And what we were told happened was a bill of goods to send us into the Middle East, to destabilize, enrich a bunch of people, bring in central banks, bring in regime change, control the new oil pipelines.
[00:21:55.699 --> 00:21:56.799]  It's pretty much all on record.
[00:21:56.819 --> 00:21:57.379]  It's all a joke.
[00:21:57.399 --> 00:21:58.240]  They do movies about it.
[00:21:59.713 --> 00:22:00.893]  So yeah, guess what?
[00:22:02.034 --> 00:22:08.555]  Then Obama gets elected, continues to bomb the Middle East for eight more years, more countries.
[00:22:09.235 --> 00:22:14.817]  You don't think those people want to kill the ones they feel are responsible?
[00:22:15.257 --> 00:22:18.678]  Whether they think it's Jews or whether they think it's Americans?
[00:22:20.838 --> 00:22:27.300]  And so we have another radical terror threat just in Maryland.
[00:22:28.652 --> 00:22:34.836]  Islamic terrorists behind planned Maryland truck attack wanted to kill as many non-Muslims as possible.
[00:22:38.478 --> 00:22:38.978]  Now again...
[00:22:39.855 --> 00:22:45.136]  I'm going to play this clip one more time and then I'm going to bury this issue and maybe we bring it up later with phone calls.
[00:22:45.836 --> 00:22:51.998]  But listen to what Ilhan Omar said, and actually I think this was actually a couple weeks ago at an Islamic event.
[00:22:52.618 --> 00:23:00.180]  Listen to what she says because this is so key and we have to face this as Americans now before it gets worse, folks.
[00:23:00.580 --> 00:23:02.341]  Here's what Ilhan Omar said about 9-11.
[00:23:02.421 --> 00:23:07.302]  Care was founded after 9-11.
[00:23:09.193 --> 00:23:18.199]  Because they recognize that some people did something, and that all of us were starting to lose access to our civil liberty.
[00:23:18.239 --> 00:23:19.039]  She means Muslims.
[00:23:20.940 --> 00:23:25.423]  And they now are bringing that war to the West, to America.
[00:23:27.124 --> 00:23:28.605]  So you better wake up, America!
[00:23:29.738 --> 00:23:39.422]  We better figure out what the hell happened on 9-11 or that's going to be used to bring the clash of civilizations from the Middle East with Jews and Muslims right here to your backyard.
[00:23:40.483 --> 00:23:43.564]  So if that's what you want, keep burying your head in the sand.
[00:23:44.785 --> 00:23:49.867]  But now all day long, all we're going to see is people pointing fingers at Ilhan Omar,
[00:23:50.970 --> 00:23:52.431]  People saying she's anti-Semitic.
[00:23:52.791 --> 00:23:54.212]  How about anti-Americans?
[00:23:54.752 --> 00:23:57.674]  Can we do something about all the anti-Americans in our government?
[00:23:57.894 --> 00:24:00.515]  I'm sick and damn tired of hearing about anti-Semites!
[00:24:02.556 --> 00:24:03.797]  How about anti-Americans?
[00:24:04.077 --> 00:24:04.898]  I'm American!
[00:24:08.580 --> 00:24:09.360]  And this is just like...
[00:24:14.679 --> 00:24:18.941]  But this is what you're gonna hear, back and forth, tit for tat, Jew, Muslim, Jew, Muslim.
[00:24:19.641 --> 00:24:22.362]  Ilhan Omar says, Stephen Miller's a white nationalist.
[00:24:22.402 --> 00:24:23.803]  I think Stephen Miller's a great American.
[00:24:23.823 --> 00:24:25.403]  I think what he's doing for this country is great.
[00:24:27.864 --> 00:24:29.005]  Oh, but see, he's Jewish.
[00:24:30.705 --> 00:24:36.187]  And so, these radical Muslims hate him.
[00:24:37.808 --> 00:24:38.928]  They blame the Jews for everything.
[00:24:39.028 --> 00:24:39.849]  They blame the Jews for 9-11.
[00:24:42.349 --> 00:24:45.471]  Which then destabilized the Middle East with American intervention.
[00:24:46.052 --> 00:24:47.072]  They blame it all on the Jews.
[00:24:47.893 --> 00:24:50.215]  Do you know America has more Jews in it than any other country?
[00:24:51.416 --> 00:24:51.616]  Yeah.
[00:24:52.396 --> 00:24:53.377]  See what's going on, folks?
[00:24:53.737 --> 00:24:54.598]  You better wake up.
[00:24:55.859 --> 00:25:00.282]  So, Ilhan Omar's right to insinuate that we were lied to about 9-11.
[00:25:01.123 --> 00:25:05.706]  We better make sure we're right in our response to what she says.
[00:25:07.047 --> 00:25:09.088]  Now, folks, here's the deal.
[00:25:10.469 --> 00:25:11.190]  It's because
[00:25:13.194 --> 00:25:17.855]  The way we approach and disseminate information is why we get banned and censored on such a mass scale.
[00:25:18.855 --> 00:25:25.416]  It's because we talk about inside jobs, it's because we talk about conspiracies, it's because we talk about government cover-ups.
[00:25:25.856 --> 00:25:29.197]  Who told you Russian collusion was all fake from the very beginning?
[00:25:29.497 --> 00:25:33.338]  Who told you they were going to plant something like the fake Russian collusion narrative the night Trump was elected?
[00:25:33.998 --> 00:25:34.658]  InfoWarfed it.
[00:25:35.658 --> 00:25:39.819]  Now I could go on and on and sit here and talk about how InfoWarfed is tomorrow's news today, but
[00:25:41.007 --> 00:25:43.208]  If you've been listening long enough, you already know that.
[00:25:44.589 --> 00:25:51.414]  But what you might not know is that we are the most censored news organization in the world, definitely in America.
[00:25:51.494 --> 00:25:53.996]  And I kind of have to laugh, and it's...
[00:25:55.967 --> 00:26:15.003]  I don't know what's behind the humor I get from this, but, you know, every day you're seeing new conservatives get banned off YouTube, other conservatives get banned off Facebook, and this, that, or the other thing, and they make a big fuss about it, and I just kind of sit here and sip on my tea, with my pinky raised, like, oh!
[00:26:15.203 --> 00:26:19.887]  Oh, you've been banned now, have you?
[00:26:20.508 --> 00:26:20.628]  Oh!
[00:26:22.149 --> 00:26:22.269]  Oh!
[00:26:22.589 --> 00:26:23.750]  You've been banned, have you?
[00:26:27.515 --> 00:26:29.216]  I guess that's none of my business, is it?
[00:26:33.219 --> 00:26:37.722]  Oh, you mean everyone else is getting banned after Infowars got banned?
[00:26:38.042 --> 00:26:38.402]  Wow!
[00:26:38.843 --> 00:26:40.284]  Who told you that was gonna happen?
[00:26:40.484 --> 00:26:41.544]  Who warned you about that?
[00:26:42.005 --> 00:26:42.905]  What did you do then?
[00:26:42.925 --> 00:26:44.967]  Ah, what you did.
[00:26:45.527 --> 00:26:47.048]  You sipped your tea and you know what you said?
[00:26:47.488 --> 00:26:48.629]  That's none of my business.
[00:26:48.869 --> 00:26:49.890]  So you know what I'm doing now?
[00:26:51.871 --> 00:26:52.792]  It's none of my business.
[00:26:56.297 --> 00:26:59.518]  Now, I'm being a little facetious in that approach, obviously.
[00:27:00.498 --> 00:27:01.558]  Because it is my business.
[00:27:02.018 --> 00:27:04.859]  And it is all of our business that free speech is under attack.
[00:27:06.199 --> 00:27:09.260]  But I just... It's just funny to me.
