[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[00:06:19.726 --> 00:06:20.386]  Please listen.
[00:06:20.626 --> 00:06:22.507]  If you don't, if you won't,
[00:06:32.734 --> 00:06:37.995]  If you fail to understand, then the same incredible terror that's menacing me will striken you!
[00:06:38.015 --> 00:06:41.216]  The function of all life is survival.
[00:06:42.536 --> 00:06:43.256]  Sleep.
[00:06:44.556 --> 00:06:45.336]  Sleep.
[00:06:46.517 --> 00:06:47.097]  Sleep.
[00:06:47.637 --> 00:06:48.097]  Oh my God!
[00:06:48.197 --> 00:06:48.597]  Oh my God!
[00:06:48.777 --> 00:06:49.317]  Oh my God!
[00:06:49.377 --> 00:06:50.117]  Lock the door!
[00:06:50.157 --> 00:06:50.617]  Lock the door!
[00:06:50.638 --> 00:06:51.218]  They're coming!
[00:06:51.558 --> 00:06:52.498]  They're coming!
[00:06:52.678 --> 00:06:53.058]  Help!
[00:06:53.398 --> 00:06:53.758]  Help!
[00:06:54.138 --> 00:06:54.818]  They're coming!
[00:06:55.058 --> 00:06:55.738]  They're coming!
[00:06:55.779 --> 00:06:56.459]  Listen to me!
[00:06:56.739 --> 00:06:57.099]  Listen!
[00:06:57.119 --> 00:06:57.639]  Help me!
[00:06:59.126 --> 00:06:59.467]  You're next!
[00:06:59.567 --> 00:06:59.687]  Please!
[00:06:59.787 --> 00:07:00.167]  Please!
[00:07:00.407 --> 00:07:00.867]  You're next!
[00:07:00.907 --> 00:07:01.768]  They're in danger!
[00:07:01.968 --> 00:07:02.809]  Please, listen to me!
[00:07:03.049 --> 00:07:03.909]  Something terrible!
[00:07:04.230 --> 00:07:04.510]  Please!
[00:07:04.890 --> 00:07:05.310]  You're next!
[00:07:05.330 --> 00:07:07.291]  Here they are!
[00:07:09.173 --> 00:07:09.733]  They're already here!
[00:07:10.033 --> 00:07:10.233]  Come!
[00:07:10.273 --> 00:07:10.954]  You're next!
[00:07:10.994 --> 00:07:11.374]  They're coming!
[00:07:11.394 --> 00:07:12.455]  They're coming!
[00:07:12.555 --> 00:07:14.496]  The seed is planted.
[00:07:16.577 --> 00:07:17.678]  Terror grows.
[00:07:17.698 --> 00:07:20.160]  Elizabeth, wake up!
[00:07:20.220 --> 00:07:21.280]  That's you when you slink!
[00:07:21.600 --> 00:07:22.861]  Sit up!
[00:07:23.001 --> 00:07:25.343]  Invasion of the Body Snatchers.
[00:07:26.798 --> 00:07:28.800]  All of a sudden they're growing like parasites.
[00:07:28.880 --> 00:07:29.900]  Is it contagious?
[00:07:30.301 --> 00:07:32.142]  It looked right at me.
[00:07:32.362 --> 00:07:35.705]  You're looking at it as if it was human.
[00:07:35.805 --> 00:07:36.485]  I'm not human.
[00:07:38.787 --> 00:07:41.789]  Now, the classic fear begins to grow.
[00:07:41.949 --> 00:07:43.831]  We're being cornered!
[00:07:43.931 --> 00:07:47.534]  In a modern masterpiece of science fiction.
[00:08:18.402 --> 00:08:20.523]  Waging war on corruption.
[00:08:21.043 --> 00:08:26.266]  It's Alex Jones, coming to you live from the front lines of the InfoWars.
[00:08:28.367 --> 00:08:34.671]  If you go up to InfoWars.com, you'll see articles put together by us.
[00:08:36.372 --> 00:08:38.893]  Videos five years ago, six years ago.
[00:08:38.913 --> 00:08:41.575]  You'll see Paul Watson's video from a couple years ago.
[00:08:42.195 --> 00:08:43.776]  Creepy Uncle Joe Biden.
[00:08:45.424 --> 00:08:50.188]  We first began to point out that Joe Biden can't keep his hands off any little girls or any women.
[00:08:50.788 --> 00:08:55.332]  Runs his fingers through their hair, kisses them, rubs their sides, rubs their buttocks.
[00:08:56.052 --> 00:09:08.642]  And if you look at the big composite image up on the front page of DrugsReport.com, you zoom in, it's all the different faces, or at least some of them, of the girls crying in one shot.
[00:09:09.858 --> 00:09:11.019]  The woman is playing a flute.
[00:09:11.119 --> 00:09:12.600]  It's probably one of the most haunting videos.
[00:09:12.960 --> 00:09:22.107]  And for several minutes, he's behind her while she's playing, rubbing her butt while he whispers God knows what in his ear.
[00:09:22.927 --> 00:09:26.930]  And she begins to cry, still playing the flute.
[00:09:29.752 --> 00:09:33.094]  There are videos of parents pulling their children away from him.
[00:09:33.435 --> 00:09:34.615]  Children recoiling.
[00:09:35.276 --> 00:09:39.319]  Him pulling women down to sit in his lap and then putting his hands on their hips.
[00:09:42.577 --> 00:09:44.578]  It's how you get in a fight with somebody.
[00:09:45.318 --> 00:09:52.841]  I mean, if somebody's been your buddy for 20 years and he pulled your wife down on his lap when he came over for a beer and started patting on her hips, you might say, hey, Bob.
[00:09:52.861 --> 00:09:55.762]  Get a little friendly there.
[00:09:57.082 --> 00:09:58.643]  Get your hands off my wife's ass.
[00:09:59.923 --> 00:10:00.564]  Excuse my French.
[00:10:01.844 --> 00:10:02.965]  That is unless you're swingers.
[00:10:03.505 --> 00:10:04.625]  Then get your wife over here.
[00:10:04.645 --> 00:10:07.506]  You're gonna have to share.
[00:10:07.526 --> 00:10:09.407]  I mean, the point is, is that
[00:10:11.596 --> 00:10:12.757]  This guy's out of control!
[00:10:14.798 --> 00:10:36.012]  And Bernie Sanders comes out, and Bernie Sanders defends him and says it only happened once, because it's on video that this very attractive Hispanic lady of the Democratic Party, running for a higher office, she's been a state rep, he starts grabbing her on the podium and kissing her and whispering in her ear and rubbing under her chin.
[00:10:37.233 --> 00:10:40.675]  I mean, if your wife's not in the mood, if she's not in a good mood,
[00:10:42.588 --> 00:10:45.310]  And you come over and start talking to your wife, she's like, I'm not in the mood, leave me alone.
[00:10:46.470 --> 00:10:49.052]  I mean, you don't just approach your wife like that.
[00:10:51.293 --> 00:10:55.015]  But, oh, just do it to random women and people's kids.
[00:10:58.898 --> 00:11:07.222]  I mean, if my wife is trying to get groceries out of the car, look, my wife loves me, as always, you know, likes me, and is a very attentive wife and very excited about me.
[00:11:07.263 --> 00:11:09.144]  But if she's getting groceries out of the car,
[00:11:10.060 --> 00:11:14.062]  And pulling the baby out of the back and I come over and grab her by the butt, which, you know, I do that kind of stuff.
[00:11:14.082 --> 00:11:15.103]  She's like, hey, knock it off.
[00:11:15.783 --> 00:11:16.584]  I'm busy right now.
[00:11:16.644 --> 00:11:17.944]  It's just not the time for it.
[00:11:18.725 --> 00:11:33.833]  Imagine you're playing the flute or you're up on a stage and Joe Biden comes up behind you and starts rubbing your face and rubbing under your chin and then whispering in your ear and then gets behind you and starts rubbing your butt.
[00:11:36.155 --> 00:11:38.096]  It's all about a power and control thing.
[00:11:39.724 --> 00:11:42.985]  And that you're in this public arena and you don't know what to do.
[00:11:45.225 --> 00:11:50.667]  And that he always walks up behind the children and starts rubbing his hands through their hair.
[00:11:53.407 --> 00:11:54.888]  Very sexually.
[00:11:57.788 --> 00:12:08.491]  Imagine if somebody at a park walked up to your 10-year-old daughter or your 5-year-old daughter and stood up behind him and then started rubbing his hands on your shoulders and rubbing the hands on through the hair.
[00:12:10.069 --> 00:12:18.464]  I mean, if the kids are running around screaming and yelling in the house like they do sometimes, and my wife's over there chopping up onions, say, for a salad.
[00:12:18.624 --> 00:12:19.145]  She's busy.
[00:12:19.746 --> 00:12:20.507]  She's not in the mode.
[00:12:22.512 --> 00:12:23.333]  of being approached.
[00:12:23.353 --> 00:12:30.416]  I don't know what it is about your wife in the kitchen or something, or doing things, but you know, they're cute, they're doing stuff, you come up behind them and start rubbing on them and kissing on them.
[00:12:30.717 --> 00:12:33.698]  And you know, most of the time she's like, okay, great, let's get in the bedroom in five minutes.
[00:12:33.758 --> 00:12:36.119]  But most of the time it's like, hey, I'm busy.
[00:12:36.660 --> 00:12:37.840]  It's just not the mode for it.
[00:12:38.521 --> 00:12:46.105]  So again, men don't treat their wives on average the way Biden treats women in public.
[00:12:52.199 --> 00:12:53.599]  So put that in your pipe and smoke it.
[00:12:54.820 --> 00:12:59.360]  And then again, it's bigger than Biden, the front runner of the Democratic Party right now, almost all polls show.
[00:13:00.081 --> 00:13:02.061]  It's that he gets away with it.
[00:13:02.461 --> 00:13:04.301]  He's been known to do this for decades.
[00:13:04.481 --> 00:13:11.543]  I know the guy who sold them the property, the wooded property right next to their bar.
[00:13:13.123 --> 00:13:17.024]  And he told me some stories, but it just fits in to everything else.
[00:13:21.337 --> 00:13:23.919]  It just fits in to everything we know about this guy.
[00:13:26.601 --> 00:13:28.602]  And how the Democratic Party is now defending him.
[00:13:28.963 --> 00:13:39.570]  Imagine if we had footage of Kavanaugh walking up to random women on stages and standing behind them and clearly rubbing on their butts and running his hands through their hair.
[00:13:39.590 --> 00:13:40.911]  We'd say, this guy's a creepozoid.
[00:13:44.214 --> 00:13:46.836]  By the way, I would never even think about doing something like this, but
[00:13:48.459 --> 00:13:51.021]  You go up and start touching on people's wives and stuff in public?
[00:13:51.561 --> 00:13:52.962]  When you know their husbands are in the audience?
[00:13:52.982 --> 00:13:54.443]  It's a good way to get your ass kicked!
[00:13:55.804 --> 00:13:56.585]  I mean, let me tell you.
[00:13:57.005 --> 00:14:04.070]  If I was sitting there and I was at some public event and I looked 20 yards away and a guy's rubbing his hands through my wife's hair and I walk over and say, is this an old boyfriend?
[00:14:04.110 --> 00:14:04.690]  What the hell?
[00:14:04.710 --> 00:14:08.153]  Of course, my wife would be like, what are you doing?
[00:14:08.173 --> 00:14:08.973]  And push the guy away.
[00:14:10.474 --> 00:14:11.995]  That's the normal instinct.
[00:14:12.015 --> 00:14:15.698]  Yeah, there he is rubbing a woman's stomach up to under her breast.
[00:14:17.567 --> 00:14:18.367]  So creepy, man.
[00:14:21.809 --> 00:14:23.189]  That's a creepy way he does it.
[00:14:23.269 --> 00:14:26.110]  I mean, I guarantee you, women, even if you were married to him, don't like that.
[00:14:26.871 --> 00:14:29.471]  So I'm going to go over all this and so much more.
[00:14:29.512 --> 00:14:31.412]  The Globals are planning to try to overthrow the president.
[00:14:32.613 --> 00:14:33.473]  We've got their next plan.
[00:14:33.493 --> 00:14:35.474]  I'm going to exclusively break that down coming up.
[00:14:35.554 --> 00:14:37.034]  Put out a special report last night on it.
[00:14:37.054 --> 00:14:38.455]  It's up here until about 8 o'clock.
[00:14:38.975 --> 00:14:42.836]  That special report, that's on Infowars.com and Newswars.com.
[00:14:43.197 --> 00:14:44.237]  And please don't forget,
[00:14:45.489 --> 00:14:49.556]  We're Lister Supported, and when you don't buy products, we don't exist.
[00:14:50.438 --> 00:14:51.359]  And it's an ongoing war.
[00:14:51.419 --> 00:14:53.302]  They've tried to shut us down, but thanks to you.
[00:14:55.268 --> 00:14:58.551]  Literally, thanks to you, we're winning the war against the globalists.
[00:14:58.572 --> 00:15:05.058]  And we've got the biggest sale of the year, 50 to 60% off all the great supplements, store-wide free shipping, double Patriot Points.
[00:15:05.619 --> 00:15:17.951]  We've already sold out of four of the best-selling items, so we had to pull those, but we've still got X2, we've still got X3, we've still got Supermetal Vitality, Super Silver Wound Gel, bodies.
[00:15:19.008 --> 00:15:21.469]  Brainforce and Infowarstore.com.
[00:15:21.809 --> 00:15:23.309]  Brainforce Plus, 60% off.
[00:15:23.329 --> 00:15:25.270]  DNA Force, 60% off.
[00:15:25.350 --> 00:15:27.210]  Knockout Sleep Aid, 60% off.
[00:15:27.250 --> 00:15:29.371]  Silver Bullet Coil Silver, 60% off.
[00:15:29.471 --> 00:15:31.612]  Body Ease Ultratumor Formula, 60% off.
[00:15:31.652 --> 00:15:33.992]  Real Red Pill Plus, it's amazing, 60% off.
[00:15:34.973 --> 00:15:36.273]  55% off all Super Blue products.
[00:15:37.625 --> 00:15:39.906]  And so much more, but you've got to take advantage of it now.
[00:15:39.946 --> 00:15:43.727]  If you've never got a product from us, they're great products, plus you're funding the InfoWars.
[00:15:43.747 --> 00:15:46.449]  So please, if you've been on the fence, take that action.
[00:15:46.809 --> 00:15:51.090]  Get a t-shirt, get a book, get a video, get some non-GMO heirloom seeds.
[00:15:51.150 --> 00:15:52.151]  Now's the time to be planting them.
[00:15:52.611 --> 00:15:56.813]  InfoWarsStore.com funds InfoWars.com.
[00:15:57.053 --> 00:15:58.173]  Tomorrow's news today.
[00:15:58.573 --> 00:15:59.374]  We'll be right back.
[00:15:59.394 --> 00:15:59.814]  Stay with us.
[00:16:02.722 --> 00:16:07.943]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:16:08.264 --> 00:16:10.324]  Alpha Power at 50% off.
[00:16:10.904 --> 00:16:14.045]  As you age, your body can lose testosterone over time.
[00:16:14.365 --> 00:16:22.847]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:16:23.468 --> 00:16:31.670]  Alpha Power's incredible ingredients can help you boost your sport performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:16:32.230 --> 00:16:37.254]  Perfect by itself or with super male vitality in the true alpha male pack.
[00:16:37.654 --> 00:16:44.359]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:16:44.900 --> 00:16:48.182]  Let Alpha Power help bring you to the peak of your optimal health.
[00:16:48.583 --> 00:16:51.305]  Don't fall short on energy in the fight against tyranny.
[00:16:51.625 --> 00:16:59.031]  Show the world what a true alpha male looks like today with Alpha Power at 50% off only at the Info Wars store.
[00:17:05.410 --> 00:17:08.092]  When it comes to rebuilding your energy, convenience is key.
[00:17:08.452 --> 00:17:14.336]  While coffee, candy, and other sugary products can give you a short boost, the crash can leave you more tired than ever.
[00:17:14.877 --> 00:17:26.906]  Turbo Force from InfoWars Life is a powerful mix-in energy packet that utilizes vitamins, amino acids, and extracts used for hundreds of years to provide you focus, clarity, and a boost of energy on the go.
[00:17:30.368 --> 00:17:34.111]  Simply take a packet, mix it into the indicated amount of water, and enjoy!
[00:17:35.905 --> 00:17:42.009]  With 14 servings per box for a two week or more supply, this is the formula to stock up on whenever you need a boost.
[00:17:43.950 --> 00:17:49.894]  Perfect for work, in the car, or at home, Turbo Force is the ultimate answer to a sluggish day.
[00:17:50.355 --> 00:17:51.796]  Don't let your day slow you down.
[00:17:52.376 --> 00:17:55.218]  Perk up with Turbo Force at infowarstore.com.
[00:18:02.574 --> 00:18:07.360]  Now, through the end of March, we are running the biggest special of this year.
[00:18:07.520 --> 00:18:10.403]  So far, it matches any other special we've ever done.
[00:18:10.423 --> 00:18:12.385]  So this is the best deal we've ever offered.
[00:18:13.046 --> 00:18:14.288]  Free shipping storewide.
[00:18:14.628 --> 00:18:16.050]  That's free shipping storewide.
[00:18:16.510 --> 00:18:17.732]  Free shipping storewide.
[00:18:18.372 --> 00:18:19.774]  50% off all the supplements.
[00:18:19.894 --> 00:18:21.876]  A bunch of other great deals as well.
[00:18:22.096 --> 00:18:23.157]  Double Patriot points.
[00:18:23.197 --> 00:18:28.362]  Instead of 5% on each order, towards your next order you get 10% right there on your profile.
[00:18:28.843 --> 00:18:29.944]  Sign up for auto ship.
[00:18:30.024 --> 00:18:31.045]  Canceling time for free.
[00:18:31.065 --> 00:18:33.788]  Get an additional 10% off on your next order.
[00:18:34.048 --> 00:18:35.589]  That's 20% off.
[00:18:36.250 --> 00:18:39.233]  You add that to 50% off and store-wide free shipping.
[00:18:39.633 --> 00:18:41.996]  Most of these products are lost leaders.
[00:18:42.196 --> 00:18:43.057]  I mean, I've explained this.
[00:18:43.077 --> 00:18:44.839]  It's one thing to ban me on a bunch of
[00:19:07.088 --> 00:19:15.879]  Social media last year saying that I beat up a 10-year-old kid and they showed a video somebody else shot in another state and just said I did it.
[00:19:17.181 --> 00:19:23.429]  And by the time they banned me everywhere, Forbes, who first reported it, took it down and retracted, but the damage was done.
[00:19:24.872 --> 00:19:41.452]  But if you think I'm gonna sit here when you run with these Instagram headlines and these Vice headlines saying Alex Jones to be taken off Instagram for anti-Semitism and then it's for commenters or for somebody's art, I'm not going to take it anymore.
[00:19:43.075 --> 00:19:45.216]  And so, the letters are gonna be sent out Monday.
[00:19:45.236 --> 00:19:47.696]  I've already got the lawyers engaged.
[00:19:48.477 --> 00:19:49.677]  And we're gonna drop the hammer on you.
[00:19:49.697 --> 00:19:51.998]  We got some other folks about to get the hammer dropped on them as well.
[00:19:52.598 --> 00:19:54.799]  They're not stopping because they got Soros money.
[00:19:56.279 --> 00:19:57.719]  All I have is you supporting us.
[00:19:58.780 --> 00:19:59.440]  That's all I have.
[00:20:06.522 --> 00:20:09.143]  You're listening to the Alex Jones Show.
[00:20:17.560 --> 00:20:25.067]  The year is 1995, and InfoWars launches the last of America's counter-globalist probes.
[00:20:25.567 --> 00:20:39.679]  In a freak mishap, InfoWars.com and Alex Jones are blown out of their trajectory into an orbit which freezes his life support systems and returns Alex Jones to Earth 25 years later.
[00:20:40.120 --> 00:20:43.563]  Transdimensionally, over the space-time continuum through full space.
[00:20:43.923 --> 00:20:48.024]  Where people aren't extremely lazy, the social engineers are there laughing.
[00:20:48.244 --> 00:20:52.266]  What we envisioned 100 years ago, 20 years ago, is now reality.
[00:20:53.046 --> 00:21:09.171]  While the society unravels, men run around totally frantic, not knowing how to be men, and women run around frantic, not knowing how to be women, and they don't understand that it's an animating contest of life, and that it's fulfilling to be informed, it's fulfilling to be involved, it's fulfilling.
[00:21:09.351 --> 00:21:10.071]  InfoWars.
[00:21:10.451 --> 00:21:11.952]  Tomorrow's news, today.
[00:21:18.632 --> 00:21:24.936]  All right, let me tell you some of the big news that's coming up.
[00:21:25.016 --> 00:21:35.522]  And again, I don't like to be gonzo journalism, but it's getting pretty crazy at this point, and I'm not even sure what's going on now.
[00:21:35.562 --> 00:21:48.130]  But, Saturday, Beto O'Rourke, Beto O'Rourke's hair really supposed to say it, but I just have fun with it, had rallies in Houston,
[00:21:49.710 --> 00:21:52.153]  in Dallas, El Paso and a bunch of places.
[00:21:52.914 --> 00:22:02.025]  And then at 1030 at night, he arrived to downtown Austin in front of the Capitol.
[00:22:03.667 --> 00:22:08.012]  And around the Capitol, there's a parking lots in areas, it's very, very dark.
[00:22:09.053 --> 00:22:09.714]  And I say that
[00:22:11.596 --> 00:22:25.641]  Because in the footage we have that we put on Infowars.com, you see some of the crazy leftists, but you can't really see that Beto is only about 70 yards from where I am standing.
[00:22:26.322 --> 00:22:30.243]  He's probably only got a crowd of about maximum 2,500.
[00:22:30.743 --> 00:22:33.204]  So the media called it 5,000-10,000.
[00:22:34.965 --> 00:22:40.007]  But I thought I could go with just three security guys and one with Owen separately.
[00:22:41.312 --> 00:22:44.794]  Up to the front.
[00:22:44.814 --> 00:22:45.594]  50 yards away or so.
[00:22:46.395 --> 00:22:46.895]  30 yards away.
[00:22:48.096 --> 00:22:50.337]  We were about 60, 70 yards to the side of the stage.
[00:22:50.377 --> 00:22:51.677]  I thought I could go up into it.
[00:22:52.418 --> 00:22:54.619]  And it was like Invasion of the Body Snatchers.
[00:22:54.639 --> 00:22:55.679]  And we have the audio of this.
[00:22:55.699 --> 00:22:56.680]  We're going to be putting out later.
[00:22:56.700 --> 00:22:58.341]  But it's so dark in the crowd.
[00:22:58.401 --> 00:22:59.201]  There's so much cussing.
[00:23:00.382 --> 00:23:02.503]  And you hear most of the voice going, oh, look, it's Alex Jones.
[00:23:02.543 --> 00:23:03.443]  Look, it's Alex Jones.
[00:23:04.024 --> 00:23:06.045]  But then there's a platform of media
[00:23:07.361 --> 00:23:09.442]  Up above me and they point and they go, it's him!
[00:23:09.662 --> 00:23:10.182]  Get him!
[00:23:10.943 --> 00:23:13.704]  And some of this audio is actually in the two videos they've put out.
[00:23:14.324 --> 00:23:16.145]  But it's just crazy.
[00:23:16.165 --> 00:23:18.486]  And then people start going, get him!
[00:23:18.606 --> 00:23:19.226]  Get him!
[00:23:19.486 --> 00:23:20.006]  Get him!
[00:23:20.607 --> 00:23:23.688]  And there's women slapping at the security people and trying to get at me.
[00:23:24.428 --> 00:23:25.609]  So we get out of the crowd.
[00:23:27.570 --> 00:23:30.531]  And we get about 70 yards away to the side.
[00:23:32.042 --> 00:23:35.543]  And then as soon as Beto gets there, I start bullhorning.
[00:23:36.223 --> 00:23:39.604]  Reportedly, you could hear it over him at many points.
[00:23:39.624 --> 00:23:40.444]  It was very effective.
[00:23:41.304 --> 00:23:49.507]  And a couple hundred people rush out of the thousands up to where I am on a little bit of an incline and start trying to physically attack us.
[00:23:50.227 --> 00:23:54.668]  And I mean foaming at the mouth like I had killed their children.
[00:23:55.688 --> 00:23:58.209]  And I'd say, Beto O'Rourke supports killing babies after they're born.
[00:23:58.916 --> 00:24:03.422]  And they would just scream, yes, we love it, we love killing babies, FU, FU.
[00:24:04.163 --> 00:24:10.132]  And just the level of vicious hate was unlike anything I'd ever seen.
[00:24:11.173 --> 00:24:15.159]  And that's before I was ever even bullhorning.
[00:24:22.003 --> 00:24:32.727]  Again, my security guys got slapped in the head, they slapped me a few times, and it was hard to get footage of any of it because it was just such a melee, they'd also come up behind you.
[00:24:33.707 --> 00:24:40.069]  But we got some of it on tape, but just to know the absolute raw hate.
[00:24:42.210 --> 00:24:46.151]  Like, I used to think it was cheesy when people would chant USA, USA, unless it was the Olympics or something.
[00:24:47.159 --> 00:24:51.102]  Because I get there's a USA version out there that means kind of US Empire launch wars.
[00:24:51.142 --> 00:24:52.123]  I don't like that USA.
[00:24:52.143 --> 00:24:53.184]  I like the real USA.
[00:24:54.085 --> 00:25:05.194]  But I learned in the last few years around leftists, their radicalization under Obama and the universities is so complete that I would say, hey, America's back.
[00:25:05.834 --> 00:25:08.536]  Trump is really getting jobs back.
[00:25:08.617 --> 00:25:14.521]  And I learned this about two years ago when I would go out to Democrat events and they would all go into a rage.
[00:25:15.529 --> 00:25:16.570]  I'm sure screaming and cussing.
[00:25:16.590 --> 00:25:26.515]  In fact, I could be in front of a moderately normal liberal cloud and I'd be speaking or bullhorning at an event that Hillary was going into or what have you.
