[00:00:17.094 --> 00:00:21.237]  Defending the Republic from enemies, foreign and domestic.
[00:03:57.494 --> 00:04:04.176]  All the documents match exactly what I said was going on because I've studied history and how they've done this before and how they've done it in other nations.
[00:04:04.196 --> 00:04:05.076]  So here's the good news.
[00:04:06.184 --> 00:04:07.385]  The car hadn't rolled yet.
[00:04:08.006 --> 00:04:09.447]  Daddy didn't have the heart attack yet.
[00:04:10.047 --> 00:04:12.129]  Your daughter didn't get hit and killed by the drunk driver yet.
[00:04:12.169 --> 00:04:21.116]  Folks, we can save the country and stop this tragedy, but we've got to get serious, and not just get conditioned by this evil, where we just accept this is what they're doing.
[00:04:21.576 --> 00:04:26.120]  We have to fully expose it, and thanks to the grace of God, the audience helped build InfoWars.
[00:04:26.640 --> 00:04:33.126]  And so we have a jump point still, under massive attack, to put out the critical talking points that can sink the NWO.
[00:04:35.819 --> 00:04:41.861]  Now when we come back, ladies and gentlemen, we're going to get into the fact that the Russian collusion has been on the Democrats the whole time.
[00:04:41.901 --> 00:04:47.922]  But not only that, now they're announcing that they decided we're going to remove the President.
[00:04:47.982 --> 00:04:49.503]  We decided we're going to remove the President.
[00:04:49.543 --> 00:04:50.243]  We're the FBI.
[00:04:50.283 --> 00:04:51.043]  We're the CIA.
[00:04:51.063 --> 00:04:52.003]  Chuck Schumer admitted it.
[00:04:52.704 --> 00:04:55.004]  They had guys go on CNN and say the government's going to kill this guy.
[00:04:55.024 --> 00:04:59.866]  I mean, folks, we're talking about a deep state, secret government trying to kill the President.
[00:04:59.886 --> 00:05:00.486]  Do you understand?
[00:05:00.606 --> 00:05:01.226]  What's going on here?
[00:05:05.692 --> 00:05:07.814]  At its regular price, it's a little over $3.
[00:05:08.775 --> 00:05:11.957]  When we have it discounted, it's at about $2.50 a piece.
[00:05:13.658 --> 00:05:17.261]  Comparable bars are between $5 and $7 a piece at Whole Foods.
[00:05:17.642 --> 00:05:18.362]  This is high-end.
[00:05:19.043 --> 00:05:22.265]  When you get one box, you get them at basically $3.
[00:05:22.305 --> 00:05:26.389]  You get them for $2.50 or so when you get it at the current launch discount.
[00:05:26.989 --> 00:05:35.435]  This took over a year to get the top manufacturing developer in the country to get it all ready and to have the manufacturing line prepared and to make this.
[00:05:35.896 --> 00:05:38.137]  It's available exclusively at InfoWarsLife.com.
[00:05:38.317 --> 00:05:38.698]  It's simple.
[00:05:38.718 --> 00:05:44.322]  You get the highest quality protein bars in two different flavors and you fund the war against the globalists.
[00:05:44.842 --> 00:05:46.865]  And the attempt that we're engaged in to take the country back.
[00:05:47.205 --> 00:05:47.626]  It's simple.
[00:05:48.126 --> 00:05:53.794]  Go shop with the good guys at InfoWarsStore.com and break the back of the globalists and get high quality super discounts.
[00:05:54.094 --> 00:06:01.103]  Or keep shopping with Jeff Bezos and Amazon and keep going to Whole Foods that are actually funding the Washington Post and the globalist attempt to destroy this country.
[00:06:01.443 --> 00:06:01.984]  It's that simple.
[00:06:02.445 --> 00:06:03.326]  InfoWarsLife.com
[00:06:10.094 --> 00:06:15.118]  From the front lines of the information war, it's Alex Jones.
[00:06:17.440 --> 00:06:33.753]  In the next two hours of the Alex Jones Show, we're going to break down a corrupt FBI colluding with CIA, Democrat, Russian agents, all the above, attempting a coup against the President of the United States.
[00:06:33.773 --> 00:06:38.836]  We're going to get into a media hoax, much like Covington Catholic
[00:06:39.713 --> 00:06:45.051]  About an attack on Jesse Smollett that now appears to be 100% staged.
[00:06:46.837 --> 00:06:55.561]  We're gonna talk about Democrats now saying they want to confiscate guns in response to Trump declaring a national emergency at the southern border where there is no debate.
[00:06:55.621 --> 00:06:57.142]  That is a national emergency.
[00:06:57.983 --> 00:07:02.145]  And then we're gonna have a bombshell report at the top of the next hour.
[00:07:02.205 --> 00:07:06.487]  The national emergency Trump declared a year ago that nobody is even talking about.
[00:07:07.227 --> 00:07:12.610]  Now Alex Jones is with me here for the first couple segments at least to help break all of this down.
[00:07:12.630 --> 00:07:14.251]  But Alex, it's honestly tough.
[00:07:15.305 --> 00:07:23.268]  To even put into words the magnitude of all these things and the fact that they're all happening in the same flashpoint.
[00:07:25.049 --> 00:07:25.569]  Absolutely.
[00:07:25.609 --> 00:07:29.070]  Let me just boil this down for how serious this is, so everybody understands.
[00:07:29.090 --> 00:07:39.774]  I got a call approximately 19 months ago from a Secret Service in Washington, D.C.
[00:07:43.323 --> 00:07:45.305]  Much of it was an off the record conversation.
[00:07:47.166 --> 00:07:47.366]  But.
[00:07:47.386 --> 00:07:57.434]  And of course I agreed for it to be off the record conversation, but I did say that at a certain point I felt that it was needed.
[00:07:57.454 --> 00:07:58.935]  I would tell the public about it.
[00:07:58.955 --> 00:08:03.298]  I also got some other visits and I'm just going to leave it at that.
[00:08:03.358 --> 00:08:04.719]  These were very serious visits.
[00:08:05.540 --> 00:08:05.960]  Because.
[00:08:08.022 --> 00:08:10.684]  This is the Secret Service was actually asking me.
[00:08:12.370 --> 00:08:18.596]  Who I thought the ringleaders were and what they should do and that they had been obviously been told to call me by the president.
[00:08:19.336 --> 00:08:20.177]  I'll just leave it at that.
[00:08:22.820 --> 00:08:37.513]  And it was because we were the ones putting together all these different individuals from the Aspen Institute and the Council on Foreign Relations and on CNN and the CIA and the FBI signaling the deep state was strong.
[00:08:38.769 --> 00:08:47.593]  Hoping that their stay-behind networks, their operatives, who were scared that they were going to go to prison for planning this coup, they were telling them, stay at your post.
[00:08:48.033 --> 00:08:48.994]  Everything's going to be okay.
[00:08:49.454 --> 00:08:50.915]  I've studied ancient war.
[00:08:50.975 --> 00:08:52.936]  I've studied World War I, World War II, Korea.
[00:08:53.256 --> 00:08:54.377]  I've studied covert action.
[00:08:54.397 --> 00:09:01.080]  I've studied how different agencies overthrow other governments, how they so fear in governments before they do the coup.
[00:09:01.340 --> 00:09:05.602]  So I was able off their own statements and able off this giant body of evidence
[00:09:06.969 --> 00:09:07.450]  We're good to go.
[00:09:26.064 --> 00:09:26.845]  Who mail it in.
[00:09:27.185 --> 00:09:38.513]  I was watching everything they said, and they were giving key pieces here, key pieces there, that like a Lego set or a jigsaw puzzle I could put together once I had the pieces.
[00:09:39.854 --> 00:09:50.882]  So the reason Trump and the Secret Service found out that I was dead on was the Democrats actually opened a CIA espionage operation against me, thinking I must be getting foreign intel to know all this.
[00:09:51.263 --> 00:09:52.163]  No, I've done my homework.
[00:09:52.183 --> 00:09:53.184]  I'm a dedicated American.
[00:09:53.524 --> 00:09:54.285]  Not traitors like them.
[00:09:55.612 --> 00:09:59.654]  And so I just want the listeners to understand, that's why they banned me and said, get me off the air.
[00:10:00.555 --> 00:10:08.259]  Because I have blown every one of their operations on air to the other intelligence agency arms that are doing other jobs and are traitors.
[00:10:08.699 --> 00:10:10.060]  And I have forced a focus
[00:10:11.022 --> 00:10:11.602]  On China?
[00:10:12.302 --> 00:10:14.303]  I've forced a focus on the national emergency.
[00:10:14.823 --> 00:10:17.964]  I've forced a focus... And this isn't the time... I'm not trying to brag here, folks.
[00:10:17.984 --> 00:10:19.304]  This is why I'm in so much danger.
[00:10:19.324 --> 00:10:21.305]  My info war is in so much danger.
[00:10:21.925 --> 00:10:30.387]  Because imagine us as like a destroyer in World War II that's, you know, sunk more tonnage than half the other submarines put together.
[00:10:30.647 --> 00:10:34.108]  The enemy's got their planes, their ships out looking for us, okay?
[00:10:34.808 --> 00:10:37.690]  And that's all I'm telling you, folks, is that it's not about us bragging.
[00:10:37.770 --> 00:10:44.255]  It's about what we've done at Infowars is the blueprint to bring these people down because we're over the target.
[00:10:44.275 --> 00:10:47.778]  So listen very, very carefully, folks, because you are what powers Infowars.
[00:10:47.798 --> 00:10:48.638]  You're the energy.
[00:10:48.678 --> 00:10:49.619]  You're everything behind it.
[00:10:49.679 --> 00:10:50.420]  I'm not just saying that.
[00:10:50.460 --> 00:10:51.381]  You are the Infowar.
[00:10:52.681 --> 00:10:54.583]  We told you Trump should declare an emergency in October.
[00:10:54.623 --> 00:10:55.343]  We thought it was coming.
[00:10:55.444 --> 00:10:55.904]  It did come.
[00:10:56.750 --> 00:11:09.775]  We told you that the Democrats were already planning an emergency in the future, an actual emergency, under civil unrest, to remove the President and to confiscate firearms, one declared by Congress and worth of the 25th Amendment.
[00:11:10.516 --> 00:11:12.597]  Over 50 articles, hundreds of times on air.
[00:11:14.187 --> 00:11:14.908]  Probably thousands.
[00:11:14.928 --> 00:11:15.568]  We laid it all out.
[00:11:15.648 --> 00:11:19.731]  Now you've seen CNN, you've seen the Washington Post, you've seen them all see how great it is.
[00:11:20.231 --> 00:11:24.253]  Big Deal and McCabe wanted to have a coup and they did wear a wire and all this stuff.
[00:11:24.273 --> 00:11:26.175]  They didn't just talk about wearing a wire, folks.
[00:11:26.455 --> 00:11:30.497]  They've been recording everything inside there since he was president-elect.
[00:11:30.577 --> 00:11:32.999]  So, the deep state got caught.
[00:11:33.917 --> 00:11:35.218]  They've committed massive crimes.
[00:11:35.739 --> 00:11:49.552]  They tried to act confident on TV, saying that they were going to remove the president so that their stay-behind networks wouldn't be scared when they keep committing the crimes and carry out the coup against the president, which does also include plans to kill him, which is still on the table.
[00:11:50.112 --> 00:11:52.334]  So all of this is swirling around.
[00:11:53.115 --> 00:11:54.116]  All of this is unfolding.
[00:11:55.457 --> 00:11:59.481]  And people have to understand that we are in the absolute death battle.
[00:12:00.342 --> 00:12:25.395]  For the future of this country, and we'll play these clips in a moment, and now we've had Nancy Pelosi, Speaker of the House, and Nadler, they had two powerful committees, the committee on the judiciary, not the judiciary committee, the committee on the judiciary, that oversees the judiciary itself, and then you also have his other so-called civil rights committee that he uses to destroy the First Amendment, the Second Amendment, and everything else.
[00:12:25.976 --> 00:12:28.217]  So you've got this demon, this monster out of New York,
[00:12:29.457 --> 00:12:29.817]  We're good to go.
[00:12:46.164 --> 00:12:57.276]  Dictatorship, beyond martial law, with the constitutional duty of our border in crisis, and the President can't get the funding he needs, he could have just done it as Commander-in-Chief and dealt with it.
[00:12:57.296 --> 00:12:59.178]  But instead, he went the route of 78 law.
[00:13:00.659 --> 00:13:07.746]  And so just the fact that they're floating these ideas shows you that they're planning to greenlight this, perhaps, in the future.
[00:13:08.647 --> 00:13:09.168]  Anytime.
[00:13:09.992 --> 00:13:21.706]  Anytime you see something like this unfolding, anytime you see them saying something this massive out in the open, it means they're really thinking about greenlighting and going forward with it.
[00:13:21.726 --> 00:13:27.012]  So first, here's a short clip of Pelosi last week, now joined by Nadler yesterday.
[00:13:28.394 --> 00:13:46.648]  Republicans have some unease about it, no matter what they say, because if the president can declare an emergency on something that he has created as an emergency, an illusion that he wants to convey, just think of what a president with different values can present to the American people.
[00:13:47.068 --> 00:13:48.730]  You want to talk about a national emergency?
[00:13:48.910 --> 00:13:51.372]  Let's talk about today, the one-year anniversary
[00:13:52.443 --> 00:13:57.107]  of another manifestation of the epidemic of gun violence in America.
[00:13:57.568 --> 00:13:58.929]  That's a national emergency.
[00:13:59.209 --> 00:14:01.511]  Why don't you declare that emergency, Mr. President?
[00:14:01.912 --> 00:14:02.612]  I wish you would.
[00:14:04.474 --> 00:14:09.658]  Now, I cut through the haze a few days ago, and I said, ladies and gentlemen, the news is focusing on her having an emergency.
[00:14:10.119 --> 00:14:13.262]  It's about guns, and I guarantee you that means confiscation.
[00:14:13.562 --> 00:14:16.124]  The network came out a day later and confirmed that.
[00:14:16.364 --> 00:14:17.766]  Here is this un-American monster.
[00:14:18.746 --> 00:14:19.987]  So, folks, there you go.
[00:14:20.007 --> 00:14:23.769]  We should probably play that clip every segment as we start today, so people understand.
[00:14:45.140 --> 00:14:48.765]  The New York Times, the Washington Post now have headlines, time to repeal the Second Amendment.
[00:14:48.925 --> 00:14:49.506]  It's on.
[00:14:49.586 --> 00:14:51.328]  They're saying, don't say mother and father.
[00:14:51.969 --> 00:14:54.031]  They are coming after everybody's speech.
[00:14:54.071 --> 00:14:55.333]  They're coming after our guns.
[00:14:55.673 --> 00:14:57.776]  They're coming after our property.
[00:14:58.196 --> 00:14:59.598]  This is about slavery.
[00:15:00.139 --> 00:15:02.462]  And America has a chance to say no, but we come back.
[00:15:03.371 --> 00:15:11.896]  The really big news, because Limbaugh points out this is a soft, not a soft coup, a silent coup, a very hardcore coup against the president.
[00:15:11.936 --> 00:15:20.260]  And I'm not mad at Limbaugh, but why is it taking him months after mainstream media admits that there was a coup plan and the documents have come out?
[00:15:20.700 --> 00:15:23.262]  Why is it only now when it's safe Limbaugh talks about it?
[00:15:23.502 --> 00:15:28.424]  Because conservatives are afraid of mainstream corporate media, and that's why they want to destroy us.
[00:15:28.945 --> 00:15:34.068]  The truth is, lots of other talk show hosts know what I know, but they're afraid to do it and hit the bar bar first.
[00:15:34.608 --> 00:15:43.733]  That's why the listeners, no matter what happens to Infowars, have to continue on with the fight and never give up, because we have the truth, we understand what's happening, and we can defeat the globalists.
[00:15:46.761 --> 00:15:56.447]  And if you really want to see how InfoWars is tomorrow's news today, next year's news today, just go watch what happened when President Donald Trump was elected and the first response at InfoWars.com.
[00:15:56.767 --> 00:16:00.269]  We told you all of this would happen the night Trump was elected.
[00:16:05.399 --> 00:16:07.521]  At its regular price, it's a little over $3.
[00:16:08.482 --> 00:16:11.664]  When we have it discounted, it's about $2.50 a piece.
[00:16:13.365 --> 00:16:16.968]  Comparable bars are between $5 and $7 a piece at Whole Foods.
[00:16:17.349 --> 00:16:18.089]  This is high-end.
[00:16:18.750 --> 00:16:21.992]  When you get one box, you get them at basically $3.
[00:16:22.032 --> 00:16:26.116]  You get them for $2.50 or so when you get it at the current launch discount.
[00:16:26.716 --> 00:16:35.146]  This took over a year to get the top manufacturer and developer in the country to get it all ready and to have the manufacturing line prepared and to make this.
[00:16:35.607 --> 00:16:37.809]  It's available exclusively at InfoWarsLife.com.
[00:16:38.030 --> 00:16:38.410]  It's simple.
[00:16:38.450 --> 00:16:44.057]  You get the highest quality protein bars in two different flavors and you fund the war against the globalists.
[00:16:44.557 --> 00:16:46.558]  And the attempt that we're engaged in to take the country back.
[00:16:46.918 --> 00:16:47.338]  It's simple.
[00:16:47.838 --> 00:16:53.501]  Go shop with the good guys at InfoWarsTore.com and break the back of the globalists and get high quality super discounts.
[00:16:53.801 --> 00:17:00.784]  Or keep shopping with Jeff Bezos and Amazon and keep going to Whole Foods that are actually funding the Washington Post and the globalist attempt to destroy this country.
[00:17:01.144 --> 00:17:01.684]  It's that simple.
[00:17:02.145 --> 00:17:03.025]  InfoWarsLife.com
[00:17:04.315 --> 00:17:07.737]  For those looking for the ultimate source of energy for their day.
[00:17:07.997 --> 00:17:08.417]  Every day.
[00:17:08.797 --> 00:17:10.858]  The Brain Synergy Combo is here.
[00:17:11.278 --> 00:17:20.663]  Combining the powerful Turbo Force and Brain Force Plus nootropic formulas, this combo has what you need to hit your maximum potential every day.
[00:17:21.043 --> 00:17:30.187]  Take the tasty tropical berry flavored Turbo Force instant drink that's with you on the go or at work to help provide you with focus, clarity, and energy.
[00:17:30.567 --> 00:17:44.055]  And to reach your full potential, hit the next generation of advanced neural activation with the BrainForce Plus Retrograde, a fan-favorite formula fueled by powerful, time-tested ingredients for a true 360 whip.
[00:17:44.695 --> 00:17:49.238]  With this combo, you can have energy wherever you need it, at home, on the go, in
[00:17:49.718 --> 00:17:51.419]  In the car and more.
[00:17:51.459 --> 00:17:59.544]  Get pure energy on tap and take advantage of old and new InfoWars powerhouse formulas with the Brain Synergy Combo.
[00:17:59.905 --> 00:18:02.827]  Head to InfoWarsStore.com today.
[00:18:03.675 --> 00:18:09.303]  We're bringing back one of the biggest fan favorite formulas we've ever offered with even better ingredients.
[00:18:09.964 --> 00:18:11.065]  Ultimate Bone Broth.
[00:18:11.526 --> 00:18:17.273]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[00:18:17.894 --> 00:18:21.319]  This incredible formula will help you get the most out of your workout.
[00:18:21.559 --> 00:18:26.543]  With the power of ultra-high quality bone broth, one of the most popular health trends on the planet.
[00:18:26.783 --> 00:18:38.611]  Built with more than seven different superfoods and crucial compounds, Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[00:18:39.172 --> 00:18:47.778]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen,
[00:18:48.178 --> 00:18:50.664]  An alfalfa herb powder to support your body.
[00:18:51.025 --> 00:18:54.211]  It's time to experience what Ultimate Bone Broth can do for you.
[00:18:55.013 --> 00:18:57.138]  Get Ultimate Bone Broth now at 50% off.
[00:19:03.738 --> 00:19:11.063]  At InfoWars, we're always looking for the very best, best-selling, highest-rated products that we can then private label and sell.
[00:19:11.423 --> 00:19:24.592]  Well, there is a national company who has FDA approval to sell their wound gel that is the strongest out there, and we private label it, and we sell it for $10 less online than they sell it at CVS and Walgreens.
[00:19:24.792 --> 00:19:29.335]  We also have another product, also produced by the same company, Immune Gargle.
[00:19:29.695 --> 00:19:33.198]  We've been selling a lot of the wound gel and a lot of the Immune Gargle.
[00:19:33.858 --> 00:19:42.463]  We're going to go from full price to 40% off on both of these best-selling products right now at InfoWarsLife.com and InfoWarsTore.com.
[00:19:42.944 --> 00:19:45.305]  This is a limited-time Immune Boost Special.
[00:19:45.726 --> 00:19:52.430]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsTore.com.
[00:19:52.910 --> 00:19:55.852]  Again, this is a limited-time Immune Boost Special.
[00:19:56.052 --> 00:20:02.556]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsTore.com.
[00:20:07.054 --> 00:20:09.662]  You're listening to The Alex Jones Show.
[00:20:24.813 --> 00:20:33.037]  From the front lines of the Information War, it's Alex Jones.
[00:20:33.457 --> 00:20:51.025]  If the President can declare an emergency today on this, on this, the Democratic President can decide that, as you mentioned, the 40,000 people a year killed in this country is a crisis and why don't we take everybody's guns away, or force everybody to register their guns, or ban all assault rifles, or do all of that.
[00:20:53.452 --> 00:20:56.495]  So, that's Natala of New York, a high-powered committee chairman.
[00:20:56.875 --> 00:21:03.160]  Echoluna Pelosi said they want to declare an emergency to override the Bill of Rights and Constitution to take your guns.
[00:21:03.200 --> 00:21:07.163]  By the way, most of the shootings in this country every year are people committing suicide.
[00:21:07.623 --> 00:21:11.466]  I'm not a pro-death guy, but, you know, you got bone cancer, lung cancer, incredible pain.
[00:21:12.287 --> 00:21:19.312]  Most of the people I've known that were older men, military vets, people that had cancer, they didn't want to spend all their money that their, you know, family had.
[00:21:19.352 --> 00:21:21.694]  They just went out on the back 40 and blew their head off.
[00:21:23.385 --> 00:21:27.386]  The point is, is that Mexico's had hundreds of thousands of dead in the last few years.
[00:21:27.406 --> 00:21:33.848]  Tens of thousands die on the border every year on the Mexico side, and Nadler was calling it nonsense.
[00:21:33.868 --> 00:21:35.008]  But here's the problem.
[00:21:36.269 --> 00:21:40.090]  I'm supposedly on a four or five day vacation, just to spend some time and try to decompress.
[00:21:40.530 --> 00:21:43.611]  I can't do it, because I know what's really going on.
[00:21:43.671 --> 00:21:45.031]  I know how important history is.
[00:21:45.051 --> 00:21:46.472]  So when I laid all that out earlier,
[00:21:47.902 --> 00:21:50.585]  Again, I want to say this for the 50,000th time, this is so critical.
[00:21:50.685 --> 00:21:52.807]  I'm not saying, oh look, we're right.
[00:21:53.307 --> 00:21:55.950]  Oh my gosh, we're usually the first to break stuff.
[00:21:55.970 --> 00:21:56.691]  Aren't we cool?
[00:21:57.626 --> 00:21:58.147]  It's not that.
[00:21:58.987 --> 00:22:04.973]  It's that they're trying to destroy us, because we're that accurate and no one can deny it, and it scares the hell out of the system.
[00:22:05.614 --> 00:22:18.727]  Because we have the answers, and we've done the studying, and Congress is listening, and the military's listening, and the police are listening, the vast majority of which are good people, and they know about the deep state now, and thank God we've been able to hang on.
[00:22:20.152 --> 00:22:26.696]  Under the attacks that have been incredible, most of which people don't even know about the last few years, so we're still here thanks to you and your prayers, folks.
[00:22:27.216 --> 00:22:30.397]  Because now the deep state is in tatters.
[00:22:30.437 --> 00:22:32.378]  They've been caught committing massive crimes.
[00:22:33.379 --> 00:22:34.179]  All of it's come out.
[00:22:34.219 --> 00:22:36.340]  It's mainstream news they were planning martial law.
[00:22:37.241 --> 00:22:40.843]  Mainstream news they were planning a coup against the president outside of impeachment.
[00:22:42.034 --> 00:22:43.355]  Threatening everybody around him.
[00:22:43.395 --> 00:22:44.335]  Threatening his family.
[00:22:44.776 --> 00:22:46.757]  Death-threatening everybody that supports him on a high level.
[00:22:47.237 --> 00:22:48.458]  You think I'm the only one they're going after?
[00:22:48.478 --> 00:22:51.460]  Listen, but it's worth it for this country.
[00:22:51.540 --> 00:22:52.020]  It's worth it.
[00:22:52.080 --> 00:22:55.182]  Our veterans go and fight in foreign countries and get their arms and legs blown off.
[00:22:55.662 --> 00:22:57.564]  And usually it's for, you know, some globalist fraud.
[00:22:57.924 --> 00:22:58.925]  This is America.
[00:22:59.525 --> 00:23:10.532]  Fighting godless Hollywood and the globalists backed up by the Chai Kams that literally want to control our psyches and our souls and literally want to destroy this once great Christian nation.
[00:23:11.112 --> 00:23:19.515]  But the good news is, their attempt at assault has caused a backlash and a major resurgence and awakening.
[00:23:19.615 --> 00:23:21.536]  America was on its deathbed.
[00:23:21.556 --> 00:23:22.576]  I'm getting chills, folks.
[00:23:22.796 --> 00:23:23.517]  This is pure truth.
[00:23:23.537 --> 00:23:24.117]  Everybody knows it.
[00:23:24.777 --> 00:23:28.258]  America was on its deathbed, and now it's fighting back from the dead.
[00:23:29.019 --> 00:23:37.882]  And we have just got to get supercharged in this fight and just absolutely spread the word and get out there on the ground demonstrating and get out on the ground at city council meetings.
[00:23:39.015 --> 00:23:57.203]  Get out on the ground at the Capitol and go talk to your congressmen and women and just get in their face and say, we know what's going on because we're relaunching the American operating system of free market capitalism and Christianity and real freedom instead of this godless, anti-family, globalist, kill babies after they're born culture of death.
[00:23:57.624 --> 00:24:00.365]  God is giving us a decision right now.
[00:24:01.374 --> 00:24:02.815]  And I think Owen actually predicted it.
[00:24:02.835 --> 00:24:07.036]  You know, my wife, God love her, puts up with all the work I do, but she's not told I'll be done in 20 minutes.
[00:24:07.076 --> 00:24:18.601]  But I'll probably need to do another segment because I can be very calm in person, but once I sit here for hours getting ready for this, writing all these notes, and start thinking about how serious this is, it literally puts this
[00:24:20.482 --> 00:24:23.484]  Well, it's the term they use at the church that's absolutely accurate.
[00:24:23.764 --> 00:24:24.724]  It puts them on my heart.
[00:24:25.125 --> 00:24:26.005]  It convicts me.
[00:24:26.726 --> 00:24:27.486]  It convicts me.
[00:24:27.626 --> 00:24:31.329]  I just get ready for war, for fighting.
[00:24:32.249 --> 00:24:34.871]  And my brain speeds up and I can see all of it.
[00:24:34.951 --> 00:24:36.512]  And folks, pray for discernment.
[00:24:36.552 --> 00:24:37.492]  You'll have a discernment.
[00:24:37.693 --> 00:24:39.934]  But our audience already has better discernment than I do.
[00:24:40.394 --> 00:24:41.215]  We take the calls.
