[00:00:22.884 --> 00:00:24.244]  September 8, 2019.
[00:04:18.960 --> 00:04:22.722]  But the Attorney General, so corrupt, so evil in California, indicted
[00:04:23.635 --> 00:04:39.749]  The men who simply went to restaurants to talk to the head of the biotech companies that were buying the live babies from abortuaries to later be harvested, they recorded them in restaurants admitting all this to who they thought were buyers.
[00:04:39.749 --> 00:04:42.632]  And then they got indicted for videotaping it.
[00:04:42.632 --> 00:04:48.217]  They got indicted for exposing the murder of children whose mothers believed that they had died.
[00:04:49.144 --> 00:04:57.203]  In the ninth month of the third trimester, they were really taken away and kept comfortable, as Governor Northam says, for the hardest.
[00:05:00.808 --> 00:05:05.170]  Banned.video is the answer to censorship.
[00:05:05.170 --> 00:05:20.696]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[00:05:20.696 --> 00:05:22.396]  We've launched it, ladies and gentlemen.
[00:05:22.396 --> 00:05:23.757]  It's now live.
[00:05:23.757 --> 00:05:25.698]  Banned.video.
[00:05:25.698 --> 00:05:29.579]  Banned.video isn't just going to be a home for Alex Jones
[00:05:31.499 --> 00:05:50.863]  We are building it to be a place where banned memes are able to be posted, and where a growing list of freedom-loving contributors are able to have a home free from being shut down, free from being censored, free from being silenced by big tech, the chi-coms, the Hollywood scum, and the globalists.
[00:05:50.863 --> 00:05:53.084]  Freedom of speech has a home.
[00:05:53.084 --> 00:05:55.604]  It's called Banned.Video.
[00:05:55.604 --> 00:05:59.365]  America and the world is fighting back against tyranny at Banned.Video.
[00:06:03.547 --> 00:06:06.248]  Waging war on corruption.
[00:06:06.248 --> 00:06:15.373]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:06:15.373 --> 00:06:25.758]  Well, my phone started ringing off the hook this morning.
[00:06:25.758 --> 00:06:29.040]  In fact, two of the biggest
[00:06:30.393 --> 00:06:32.054]  Talk show host in America.
[00:06:32.054 --> 00:06:34.335]  I mean, they're household names.
[00:06:34.335 --> 00:06:36.117]  Gave me a call.
[00:06:36.117 --> 00:06:38.058]  And they said, have you seen this?
[00:06:38.058 --> 00:06:52.507]  Have you seen the transcripts out of San Francisco, in the court, where the abortionist and others admit that they're keeping babies alive, and then harvesting their organs, and then even Stanford Research Institute and other colleges get the live babies.
[00:06:53.789 --> 00:06:58.953]  And I said, no, I haven't seen it, but I know about the particular case, the undercover video.
[00:06:58.953 --> 00:07:02.396]  I mean, I know this is done all over the country, all over the world.
[00:07:02.396 --> 00:07:06.480]  And they were just, besides themselves, asking me to send them more info.
[00:07:06.480 --> 00:07:09.302]  Now again, it's not about Alex Jones.
[00:07:09.302 --> 00:07:17.709]  It's about the fact that I understand why the general public hears me say these things and just can't believe it.
[00:07:17.709 --> 00:07:19.911]  Because you would never do something like that.
[00:07:21.462 --> 00:07:31.286]  But because you have a blind spot, because you would never do something evil and wicked and out of control, doesn't mean other people won't do it.
[00:07:31.286 --> 00:07:36.588]  Especially, history has shown, when they're wearing white lab coats.
[00:07:36.588 --> 00:07:38.709]  The Soviet Union, Nazi Germany.
[00:07:38.709 --> 00:07:46.992]  The tyranny actually began in both nations through psychologists, psychiatrists, and then medical doctors.
[00:07:48.134 --> 00:07:51.577]  Who believe the end justifies the means.
[00:07:51.577 --> 00:07:59.963]  We all know Joseph Mingela, the Nazi scientist, actually German royalty, would do horrible experiments on babies and children.
[00:07:59.963 --> 00:08:02.165]  We call him the angel of death.
[00:08:02.165 --> 00:08:05.107]  He was bad.
[00:08:05.107 --> 00:08:15.755]  But you see, the bioethics boards in the US and Bill and Melinda Gates and all these groups have been teaching us that it's time to unplug Granny, the case for killing Granny, the cover of Newsweek.
[00:08:16.877 --> 00:08:21.219]  And we're told that babies really shouldn't be humans until they're age 3.
[00:08:21.219 --> 00:08:27.561]  And later we'll air some compilations of those videos where we go to rallies for Democrats, they walk up and go, we want to kill babies.
[00:08:27.561 --> 00:08:28.882]  And we say, well, until what age?
[00:08:28.882 --> 00:08:32.763]  Well, those little suckers start talking at about age 3.
[00:08:32.763 --> 00:08:34.444]  I hate their little voices.
[00:08:34.444 --> 00:08:36.865]  You're looking at some Elizabeth Warren supporter.
[00:08:36.865 --> 00:08:43.667]  You have to understand the left is not the moral high ground bleeding hearts.
[00:08:43.667 --> 00:08:45.288]  They are the eugenicists.
[00:08:46.394 --> 00:08:52.439]  Whether it's Planned Parenthood and Margaret Sanger and all of it, they are the party of the KKK.
[00:08:52.439 --> 00:08:55.321]  They are the party of depopulation.
[00:08:55.321 --> 00:09:05.248]  They are the party of killing the brown babies, as Bernie Sanders said last week in that CNN town hall to quote, save the earth.
[00:09:05.248 --> 00:09:09.572]  So let's talk about it right now, why everybody's freaking out.
[00:09:11.457 --> 00:09:23.561]  In Texas and in California, in a concerted operation of not valiant people, but folks that have a conscience and know that people are keeping babies alive and harvesting them.
[00:09:23.561 --> 00:09:27.982]  So men, just men, I'm not a hero either, I'm just a man.
[00:09:27.982 --> 00:09:30.403]  I see stuff like that, I try to oppose.
[00:09:30.403 --> 00:09:33.583]  In fact, I'm guilty I'm not doing more.
[00:09:33.583 --> 00:09:35.064]  Seriously, I have empathy.
[00:09:36.189 --> 00:09:47.915]  And if you don't have empathy, for those that can't defend themselves, I assure you, you don't have any care about your own self, your own family, and you're going to end up reaping what you sow.
[00:09:47.915 --> 00:09:50.116]  What comes around goes around.
[00:09:50.116 --> 00:09:51.536]  Call it karma, if you will.
[00:09:51.536 --> 00:09:54.098]  It's universal.
[00:09:54.098 --> 00:10:03.822]  And you obviously don't have a connection to God, or you would be feeling the presence and the power, and you would be fearing God.
[00:10:03.822 --> 00:10:05.323]  Fearing being out of alignment.
[00:10:06.510 --> 00:10:29.491]  But regardless, a baby, when I first learned about this 30 years ago before I even got on air, and I saw the documentaries and I saw the court cases back when it was underground and on AXS TV and I was going out and protesting in abortion clinics with Catholic charities and Protestant charities and they were showing underground footage and actual footage of partial birth abortions and things that just blew me away.
[00:10:30.543 --> 00:10:38.184]  That they were harvesting the organs and that they were taking the nine-month-old and eight-month-old babies from mothers who were poor.
[00:10:38.184 --> 00:10:41.125]  They would drug them up at Planned Parenthood and other facilities.
[00:10:41.125 --> 00:10:43.485]  They would tell them, oh, yes, you had the abortion.
[00:10:43.485 --> 00:10:45.106]  Or, oh, the baby died.
[00:10:45.106 --> 00:10:59.068]  They would keep the baby alive, take it, actually put it in a soundproof box, put it in a van and drive it to a facility where they would generally just go ahead and butcher it and sell the parts for organ donation, you name it.
[00:10:59.838 --> 00:11:01.961]  Of course, these weren't donated.
[00:11:01.961 --> 00:11:05.345]  So I knew about this about 29 years ago.
[00:11:05.345 --> 00:11:06.726]  I got on air a few years later.
[00:11:06.726 --> 00:11:08.649]  I've been on air 25 years.
[00:11:08.649 --> 00:11:10.531]  And so that's why I've always talked about it.
[00:11:10.531 --> 00:11:18.360]  And then when there were all these undercover videos coming out a decade ago, six years ago, five years ago, two years ago.
[00:11:19.264 --> 00:11:20.946]  They started indicting people.
[00:11:20.946 --> 00:11:22.848]  In Texas, they were indicted.
[00:11:22.848 --> 00:11:32.880]  In Houston, in San Francisco, California, people were indicted for going into clinics, getting jobs, and showing them keeping babies alive.
[00:11:34.480 --> 00:11:36.841]  Or just taking a baby that's already born that can be adopted.
[00:11:36.841 --> 00:11:40.242]  They don't suck their brains out, because the brain's got value.
[00:11:40.242 --> 00:11:42.143]  And I'm going to read from the court transcript.
[00:11:42.143 --> 00:11:45.184]  When we come back, they put them in a tub of water.
[00:11:45.184 --> 00:11:47.584]  Those are the lucky ones that get killed on the spot.
[00:11:47.584 --> 00:11:52.926]  Kept alive a few days, a week generally, until they can ratchet up and get the highest bidder for those organs.
[00:11:52.926 --> 00:11:57.188]  Then they suck the blood out, melt the skin down, put it into collagen for women's injections.
[00:11:57.188 --> 00:11:57.988]  This is all on record.
[00:11:59.730 --> 00:12:01.731]  And so used to we got a lot of this from China.
[00:12:01.731 --> 00:12:04.451]  Now, France mainly gets it from the US.
[00:12:04.451 --> 00:12:09.953]  The US is now about to eclipse China as an exporter of human tissue from children.
[00:12:09.953 --> 00:12:10.993]  So I'm going to go over that.
[00:12:10.993 --> 00:12:12.774]  So this is who we are.
[00:12:12.774 --> 00:12:17.815]  The headlines on Infowars.com for the live show, if you'd like to share it.
[00:12:17.815 --> 00:12:22.496]  And the headline is, hell bound.
[00:12:22.496 --> 00:12:24.497]  Abortionist admit in court.
[00:12:25.441 --> 00:12:29.364]  To keeping babies alive to later harvest their organs.
[00:12:29.364 --> 00:12:30.985]  This isn't a Saw movie.
[00:12:30.985 --> 00:12:32.967]  It's not a Friday the 13th.
[00:12:32.967 --> 00:12:35.128]  It's not Alien.
[00:12:35.128 --> 00:12:36.549]  This is hell bound for destruction.
[00:12:36.549 --> 00:12:39.711]  Abortionists admit in court keeping babies alive to later harvest their organs.
[00:12:39.711 --> 00:12:43.955]  And then you read it and it's in the state superior court.
[00:12:43.955 --> 00:12:46.116]  Criminal charges.
[00:12:46.116 --> 00:12:46.636]  18 felonies.
[00:12:46.636 --> 00:12:52.261]  Two men who dared reach out, say that they were the biotech company and meet with the
[00:12:54.153 --> 00:12:56.695]  Organ broker, and they say, is it true?
[00:12:56.695 --> 00:12:59.918]  We're going to play the video coming up that you've really got live babies with still-beating hearts.
[00:12:59.918 --> 00:13:02.420]  And he's like, well, we don't like to talk about it, but yeah.
[00:13:02.420 --> 00:13:03.240]  Yeah, we've got them.
[00:13:03.240 --> 00:13:05.262]  We sell them to Stanford and we sell them to others.
[00:13:05.262 --> 00:13:08.925]  And then they go through how it's all done, but also.
[00:13:10.700 --> 00:13:14.822]  How they also keep them alive to the point when they also then just chop them up.
[00:13:14.822 --> 00:13:20.385]  Because again, under federal and state law, you're not supposed to leave the womb of the woman.
[00:13:20.385 --> 00:13:22.606]  You're not supposed to leave the vaginal canal.
[00:13:22.606 --> 00:13:23.807]  I'm sorry to grab it here.
[00:13:23.807 --> 00:13:34.092]  So they put a high-powered suction needle, a big old gauge, in the back of the head and suck the brain out to collapse the skull, under law, so that the child is dead before it leaves the mother.
[00:13:34.332 --> 00:13:36.694]  So they hold the baby up, suck the brains out.
[00:13:36.694 --> 00:13:38.196]  And I've actually watched footage of this.
[00:13:38.196 --> 00:13:39.597]  I'm not going to play it for you.
[00:13:39.597 --> 00:13:41.819]  Anybody who wants to find it, it's online.
[00:13:41.819 --> 00:13:43.781]  And I suggest you watch this.
[00:13:43.781 --> 00:13:44.862]  Okay?
[00:13:44.862 --> 00:13:45.843]  For yourself.
[00:13:45.843 --> 00:13:46.544]  So you understand.
[00:13:46.544 --> 00:13:49.867]  Remember, there's more people wanting to adopt babies every year than there are abortions.
[00:13:50.694 --> 00:13:59.881]  This is done because you can get $300,000 for a baby adopted, but that takes time and energy.
[00:13:59.881 --> 00:14:03.023]  You can get a couple hundred thousand dollars if you just chop them up there.
[00:14:03.023 --> 00:14:11.029]  If you put up their organs for the highest bidder and they're the right blood type, so there's not rejection for rare blood types, you could get $500,000, $600,000.
[00:14:11.029 --> 00:14:11.810]  Okay?
[00:14:11.810 --> 00:14:17.794]  And that's why we have videos of these people talking about the Ferraris they've got, the $5 million houses.
[00:14:20.134 --> 00:14:22.795]  This is just the local brokers, okay?
[00:14:22.795 --> 00:14:24.996]  Eating caviar and drinking $500 bottle of wine.
[00:14:24.996 --> 00:14:30.197]  So, you have to understand why we knew about this.
[00:14:30.197 --> 00:14:37.579]  And so now, the Attorney General of California, in 2015, indicted these two men.
[00:14:37.579 --> 00:14:41.000]  And people have been indicted in Illinois, in Michigan, in New York, in Texas.
[00:14:41.000 --> 00:14:43.201]  There have been indictments all over the country.
[00:14:43.201 --> 00:14:45.262]  But these two men went to restaurants.
[00:14:46.303 --> 00:14:49.085]  And just had meetings and said, OK, we've got money.
[00:14:49.085 --> 00:14:49.986]  We want live kids.
[00:14:49.986 --> 00:14:52.407]  And they said, yeah, we'll get them to you with beating hearts.
[00:14:52.407 --> 00:14:53.828]  We'll get them to you with whole heads.
[00:14:53.828 --> 00:14:58.251]  Do you want the bodies chopped up or how do you want it done?
[00:14:58.251 --> 00:15:04.615]  And then they say in court, that begs the question, Your Honor, how are these babies intact or how do they have beating hearts?
[00:15:04.615 --> 00:15:07.918]  Well, they've been kept alive because that's in their literature.
[00:15:08.717 --> 00:15:12.919]  We will deliver you the child with the heart beating.
[00:15:12.919 --> 00:15:14.679]  That's live.
[00:15:14.679 --> 00:15:17.720]  Remember what the governor of Virginia said this year.
[00:15:17.720 --> 00:15:20.562]  Seven states have now passed laws.
[00:15:20.562 --> 00:15:21.942]  Virginia's trying to.
[00:15:21.942 --> 00:15:24.263]  New York was first.
[00:15:24.263 --> 00:15:29.125]  That you can kill babies up to the ninth month, to the day they're born, and even right after birth.
[00:15:29.821 --> 00:15:30.842]  Now, why is that?
[00:15:30.842 --> 00:15:37.226]  They're trying to cover their butts from what they've already been doing, and they know this is all coming out.
[00:15:37.226 --> 00:15:39.768]  Trafficking in little babies they kept alive.
[00:15:39.768 --> 00:15:41.910]  And let's say the mother's full-blooded.
[00:15:41.910 --> 00:15:47.834]  She ought to at least know she could get half the money off that ham she grew in there, that little blood ball.
[00:15:47.834 --> 00:15:51.757]  Why aren't the mothers told, hey, you get a couple hundred thousand for your baby chopped up?
[00:15:51.757 --> 00:15:54.499]  Because they know the mother won't go along with it.
[00:15:54.499 --> 00:15:55.240]  See?
[00:15:55.240 --> 00:15:56.841]  Ha ha ha, this is so sick.
[00:15:56.841 --> 00:15:58.062]  We'll document it all straight ahead.
[00:15:59.887 --> 00:16:04.370]  Let's look at what's in the 8-Pack Power Stack at InfoWarsLife.com.
[00:16:04.370 --> 00:16:09.673]  Nootropic Brain Formula helps you stay awake and alert throughout the entire day without nasty crash.
[00:16:09.673 --> 00:16:15.596]  Green's Detox Formula contains a full daily dose of antioxidants and organic compounds for maximum health.
[00:16:15.596 --> 00:16:20.239]  Joint Support Formula gives your joints and tendons what they need to help stay healthy and strong.
[00:16:20.239 --> 00:16:24.121]  Krill Oil Formula helps fight inflammation and support a healthy heart and more.
[00:16:24.341 --> 00:16:28.826]  Energy Kickstart Formula for another boost of clean energy to keep you going strong.
[00:16:28.826 --> 00:16:31.129]  Now let's look at what the PM Pack is loaded with.
[00:16:31.129 --> 00:16:35.113]  Immune Support Formula to rebuild your body while you sleep.
[00:16:35.113 --> 00:16:39.458]  Sound Sleep Formula helps you get a better night's sleep and fall asleep faster.
[00:16:39.458 --> 00:16:40.679]  Bone Support Formula.
[00:16:40.839 --> 00:16:44.002]  Minerals and other compounds chosen to promote strong and healthy bones.
[00:16:44.002 --> 00:16:49.406]  And another dose of krill oil to supercharge your brain and your entire body as you sleep.
[00:16:49.406 --> 00:16:52.769]  I'm offering it at 65% off.
[00:16:52.769 --> 00:16:54.151]  The 8-Pack Power Stack.
[00:16:54.151 --> 00:16:55.191]  Dusk till Dawn.
[00:16:55.191 --> 00:16:55.512]  A.M.
[00:16:55.512 --> 00:16:55.992]  P.M.
[00:16:55.992 --> 00:16:56.433]  Formula.
[00:16:56.433 --> 00:16:56.933]  $39.95 at InfoWarsLife.com.
[00:17:01.144 --> 00:17:02.345]  We've had this in for two weeks.
[00:17:02.345 --> 00:17:05.709]  I've been so busy I haven't talked about it because I've been covering news.
[00:17:05.709 --> 00:17:06.950]  But it's very exciting.
[00:17:06.950 --> 00:17:09.272]  It's Super Silver Skin Cream.
[00:17:09.272 --> 00:17:10.793]  It's got all of these benefits.
[00:17:10.793 --> 00:17:11.875]  Too many to mention.
[00:17:11.875 --> 00:17:13.156]  But it's revolutionary.
[00:17:13.156 --> 00:17:14.097]  It's brand new.
[00:17:14.097 --> 00:17:14.937]  People are going to love it.
[00:17:14.937 --> 00:17:17.080]  Introducing the new Super Silver Skin Cream.
[00:17:17.080 --> 00:17:18.461]  Exclusively at infomorestore.com.
[00:17:18.461 --> 00:17:19.982]  25% off introductory price.
[00:17:19.982 --> 00:17:22.685]  The new Super Silver Skin Cream is the best of both worlds.
[00:17:22.685 --> 00:17:24.907]  It helps reduce wrinkles and keep your skin healthy.
[00:17:24.907 --> 00:17:26.709]  Super Silver Skin Cream is infused with
[00:17:26.909 --> 00:17:27.109]  I don't
[00:17:47.039 --> 00:17:47.600]  We have acid.
[00:17:47.600 --> 00:17:48.682]  We have little tubes of it.
[00:17:48.682 --> 00:17:49.644]  We have big tubes of it.
[00:17:49.644 --> 00:17:50.706]  This stuff is the real deal.
[00:17:50.706 --> 00:17:54.953]  Get Super Silver Skin Cream exclusively at Inforestore.com while supplies last.
[00:17:54.953 --> 00:17:55.895]  So please, check it out.
[00:17:55.895 --> 00:17:57.879]  The new products at Inforestore.com.
[00:17:57.879 --> 00:17:58.780]  25% off as an introductory.
[00:18:00.675 --> 00:18:02.777]  Josh in Washington, you're on the air, go ahead.
[00:18:02.777 --> 00:18:03.938]  Alex, God bless you.
[00:18:03.938 --> 00:18:06.541]  I have an idea for a new InfoWars t-shirt.
[00:18:06.541 --> 00:18:12.527]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[00:18:12.527 --> 00:18:13.128]  Ooh, yeah.
[00:18:13.128 --> 00:18:14.529]  Showing your brain getting fried.
[00:18:14.529 --> 00:18:16.391]  Then I have some comments on your supplements, man.
[00:18:16.391 --> 00:18:17.432]  Totally changed my life.
[00:18:17.432 --> 00:18:20.475]  I use TurboForce, BODY, AlphaPower, BrainForce.
[00:18:20.675 --> 00:18:21.056]  We're good.
[00:18:35.952 --> 00:18:38.313]  All of these things are known to be incredible.
[00:18:38.313 --> 00:18:45.096]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force of the CoQ10 and BioPQQ and all the rest of it.
[00:18:45.096 --> 00:18:47.617]  All of these are things that are like rocket fuel on the body.
[00:18:47.617 --> 00:18:50.758]  You take these bases together, then you have your foundation.
[00:18:50.758 --> 00:18:52.539]  Now you can build the big strong temple.
[00:18:52.539 --> 00:18:55.320]  With these products I take, I religiously remember to take them.
[00:18:55.320 --> 00:18:56.500]  It makes my life so much better.
[00:18:56.500 --> 00:18:59.281]  And then it funds the information war, which is so critical.
[00:18:59.281 --> 00:19:00.102]  Thank you so much.
[00:19:00.102 --> 00:19:00.542]  God bless you.
[00:19:01.002 --> 00:19:06.184]  And that's why we're introducing what we know is going to be a massive best-seller, Kill Force.
[00:19:06.184 --> 00:19:08.625]  Now let's look at what's in this powerful formula.
[00:19:08.625 --> 00:19:15.989]  Ashwagandha root extract, an ancient medicinal herb used for over 3,000 years to treat stress and relax the patient.
[00:19:15.989 --> 00:19:20.231]  L-theanine, a special amino acid naturally found in some tea leaves.
[00:19:20.231 --> 00:19:25.333]  The compound has been called the stress killer because of its powerful relaxation benefits.
[00:19:25.333 --> 00:19:25.633]  GABA.
[00:19:26.193 --> 00:19:34.717]  An important neurotransmitter that controls functions of the body and mind, including nervous system relaxation, GABA is a choice for many to help reduce anxiety.
[00:19:34.717 --> 00:19:37.518]  Rhodiola Rosea Root Extract.
[00:19:37.518 --> 00:19:47.783]  Found in the mountainous regions of Europe and Asia, this root is considered a super adaptogen and is believed to help the body in the fight against emotional, mental, and physical stress.
[00:19:47.783 --> 00:19:52.345]  It's time to do what I did and take action with the Chill Force Challenge at InfoWarsLive.com.
[00:20:03.233 --> 00:20:05.875]  You're listening to the Alex Jones Show!
[00:20:26.246 --> 00:20:33.048]  Every viewer, no matter how you're listening, on local radio stations, on TV stations, on the internet, then fullwords.com for this last show.
[00:20:33.048 --> 00:20:41.110]  Share this live link and say, hey, did you hear they're admitting in court abortionists and the sellers of baby parts that they're keeping babies alive.
[00:20:41.110 --> 00:20:43.991]  Isn't that a big deal?
[00:20:43.991 --> 00:20:44.731]  Yeah, it's illegal.
[00:20:46.178 --> 00:20:55.447]  It's why they're trying to pass laws saying, oh, well, the doctors and the bioethics board at the hospital, they decide whether it's viable or not and whether they resuscitate.
[00:20:55.447 --> 00:20:57.749]  Now, the baby's heart's beating.
[00:20:57.749 --> 00:21:01.513]  When they mean resuscitate, they mean whether they say the child's alive or not.
[00:21:01.513 --> 00:21:04.216]  When they say it's not alive, it is alive.
[00:21:04.216 --> 00:21:06.578]  It just goes to an area to be harvested.
[00:21:06.578 --> 00:21:09.341]  It's a legalese term that they use.
[00:21:10.934 --> 00:21:14.355]  And it's a window into how ruthless these individuals are.
[00:21:14.355 --> 00:21:18.356]  You think Jeffrey Epstein and pedophile rings is the bottom of the rat hole?
[00:21:18.356 --> 00:21:21.676]  The bottom of the spider hole?
[00:21:21.676 --> 00:21:23.677]  I've studied these people.
[00:21:23.677 --> 00:21:34.459]  So, Stem Express CEO admits selling beating baby hearts, intact baby heads, in the court hearing.
[00:21:34.459 --> 00:21:36.580]  That's LifeSiteNews.com.
[00:21:38.464 --> 00:21:53.148]  And remember, YouTube and everybody took all these videos down, from not just this group, but other groups, when they got the smoking gun evidence, people bragging about selling the beating hearts and the whole heads, and the whole bodies, unscratched.
[00:21:53.148 --> 00:22:00.931]  Because remember, you're supposed to kill the baby in the vaginal canal, under law.
[00:22:00.931 --> 00:22:07.833]  You're supposed to suck the brains out and collapse the head at the cervix point, bringing the dead baby out, then they rendered it down.
[00:22:08.991 --> 00:22:10.692]  Then they disgrace the human.
[00:22:10.692 --> 00:22:23.401]  Then they have completed the ritual after they sangriate the blood, take all the fat, put it in packages to be turned into collagen for your women to have their lips injected and other things.
[00:22:23.401 --> 00:22:27.503]  Bones are rendered down, liver, the heart, oh, those fetch the big prices.
[00:22:27.503 --> 00:22:31.106]  And you know, there's articles out there about what the wholesalers sell it for.
[00:22:31.106 --> 00:22:36.089]  By the time that liver or that heart goes in another child, you're talking $50,000, $100,000 for a heart or a kidney or a liver.
[00:22:39.341 --> 00:22:42.263]  It's unbelievable.
[00:22:42.263 --> 00:22:43.544]  Continuing.
[00:22:43.544 --> 00:22:56.034]  Oh, PETA though, who's really a transhumanist eugenicist group, who works for Dr. Peter Singer, who first said 20 years ago, kill babies up to age 3, and Down syndrome children, he said as well.
[00:22:56.034 --> 00:22:59.156]  They're now saying, make it out illegal to kill rats.
[00:22:59.156 --> 00:23:02.318]  They don't want New York City, that was in the news yesterday, to be able to kill rats.
[00:23:04.019 --> 00:23:10.022]  Remember the grandfather decades ago, Limbaugh covered it, who saw a big rat in his garden in New York.
[00:23:10.022 --> 00:23:14.204]  So he killed the rat with a hoe, and the neighbors called, and he was arrested for animal cruelty.
[00:23:14.204 --> 00:23:20.707]  See, a rat has rights, but not that human made in the image of God.
[00:23:20.707 --> 00:23:24.208]  No, we have to teach it that it's worthless.
[00:23:24.208 --> 00:23:31.912]  So let's get to the transcripts from the court case, because remember, the incredibly evil Attorney General indicted these two men for recording
[00:23:33.148 --> 00:23:35.849]  What you're about to see some excerpts of in a moment.
[00:23:35.849 --> 00:23:48.433]  But first, remember Governor Northam back in February of this year on a talk radio show where they were filming it saying, oh, you don't want the government involved.
[00:23:48.433 --> 00:23:51.514]  You want the health care provider and the mother.
[00:23:51.514 --> 00:23:53.175]  Well, that's the bioethics board.
[00:23:53.175 --> 00:23:53.935]  That's the doctors.
[00:23:55.555 --> 00:24:03.137]  Well she's all drugged up and they've got a 7, 8, 9 month old baby that's got all those hundreds of thousands of dollars of goodies.
[00:24:04.522 --> 00:24:09.123]  And so he says, we make the decision, and if she wants the baby, we resuscitate.
[00:24:09.123 --> 00:24:09.623]  Well, how's that?
[00:24:09.623 --> 00:24:11.123]  The baby's alive.
[00:24:11.123 --> 00:24:14.044]  But it magically, the legalese, now we say you're a human.
[00:24:14.044 --> 00:24:15.464]  That's how the bioethics boards work.
[00:24:15.464 --> 00:24:18.084]  They decide whether a Down syndrome person has value.
[00:24:18.084 --> 00:24:19.605]  They decide whether an old person has value.
[00:24:19.605 --> 00:24:20.885]  The state does.
[00:24:20.885 --> 00:24:21.665]  The corporations do.
[00:24:21.665 --> 00:24:24.345]  Because the new state is the corporation.
