[00:00:06.221 --> 00:00:07.101]  You found it.
[00:03:41.781 --> 00:03:42.101]  It is.
[00:03:42.602 --> 00:03:51.870]  You know, I wrote a column way back when, I think it was around the time that Sarah Huckabee Sanders was denied service at the restaurant, that what we should be doing is shunning these people.
[00:03:52.270 --> 00:03:59.437]  Shunning, shaming these people is a statement of moral indignation, that these people are not fit for polite society.
[00:03:59.817 --> 00:04:06.823]  I think any institution, University of Virginia for example, for a bit, had a relationship with Mark Short, who is now back with the administration.
[00:04:07.223 --> 00:04:07.664]  I think it's
[00:04:07.984 --> 00:04:19.072]  Absolutely abhorrent that any institution of higher learning, any news organization, or any entertainment organization that has a news outlet would hire these people.
[00:04:19.553 --> 00:04:23.736]  I also want to echo something that my friend EJ said.
[00:04:24.636 --> 00:04:28.679]  It's not only that Trump has to lose, but that all his enablers have to lose.
[00:04:29.040 --> 00:04:29.280]  They have
[00:04:29.680 --> 00:04:33.021]  We have to collectively, in essence, burn down the Republican Party.
[00:04:33.762 --> 00:04:34.922]  We have to level them.
[00:04:35.082 --> 00:04:40.785]  Because if there are survivors, if there are people who weather this storm, they will do it again.
[00:04:40.845 --> 00:04:44.946]  They will take this as confirmation that, hey, it just pays to ride the waves.
[00:04:45.006 --> 00:04:46.507]  Look at me, I've made it through.
[00:04:46.907 --> 00:04:52.409]  And so up and down the ticket, federal, state, local offices, the country has to repudiate this.
[00:04:52.869 --> 00:04:54.490]  It is not a normal administration.
[00:04:54.550 --> 00:04:58.712]  And when these people say, oh, you can't criticize us, it will return public service.
[00:04:59.332 --> 00:04:59.892]  We'll be right back.
[00:04:59.912 --> 00:05:02.273]  Stay with us.
[00:05:05.653 --> 00:05:09.274]  Donald Trump presents Real Stable Genius.
[00:05:10.314 --> 00:05:13.214]  Real Stable Genius!
[00:05:13.575 --> 00:05:17.455]  Today, we salute you, Mrs. Social Justice Warrior.
[00:05:17.575 --> 00:05:20.356]  Mrs. Social Justice Warrior!
[00:05:20.376 --> 00:05:23.076]  What do you do with a master's degree in gender studies?
[00:05:23.516 --> 00:05:26.577]  Put on a vagina hat and go fight fascism on the internet.
[00:05:26.597 --> 00:05:27.497]  Step aside!
[00:05:28.268 --> 00:05:31.111]  As soon as you wake up each day, the outrage begins.
[00:05:31.531 --> 00:05:32.713]  What the f**k did you just say?
[00:05:32.973 --> 00:05:44.705]  Your privilege is showing, and- Armed with only a keyboard, you tirelessly protect America from fake racism, and fake sexism, and fake- some other word we've never even heard of- ism.
[00:05:47.139 --> 00:05:51.343]  So, crack open a nice soy latte, Miss Purple Haired Vagina Costume Wearer.
[00:05:51.664 --> 00:05:53.526]  You live by life's two greatest rules.
[00:05:53.926 --> 00:05:54.847]  Punch Nazis.
[00:05:55.187 --> 00:05:57.430]  And everyone I don't like is a Nazi.
[00:06:10.379 --> 00:06:19.506]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:20.126 --> 00:06:21.868]  It's Tuesday, August 27th, 2019.
[00:06:23.129 --> 00:06:25.471]  I am your host, Alex Jones.
[00:06:25.751 --> 00:06:27.052]  Thank you so much for joining us.
[00:06:28.945 --> 00:06:30.345]  I mentioned this some yesterday.
[00:06:30.365 --> 00:06:34.507]  I said I'd get to it, but it's so important I'm gonna hit it right up front right now.
[00:06:35.327 --> 00:06:37.428]  You went to drugsreport.com, you saw that headline.
[00:06:38.108 --> 00:06:39.288]  Right there, bigger than Dallas.
[00:06:40.068 --> 00:06:43.029]  The post-human era is here.
[00:06:43.970 --> 00:06:46.270]  And it linked to an NBC featured story.
[00:06:47.251 --> 00:06:51.732]  And the first paragraph it says, soon humans will be extinct.
[00:06:52.772 --> 00:06:54.513]  What a fantastical statement.
[00:06:55.694 --> 00:07:07.456]  Why, Hitler just said he wanted certain groups of humans to be extinct, and we're told he was the most evil man that ever lived on the face of the Earth.
[00:07:09.156 --> 00:07:10.397]  Isn't that just amazing?
[00:07:11.297 --> 00:07:20.758]  But when it's pushed by the transhumanists, James Lovelock, why, it's a beautiful thing.
[00:07:22.319 --> 00:07:23.619]  It's a wonderful thing.
[00:07:25.393 --> 00:07:29.415]  It's something that we need to embrace as saving the Earth.
[00:07:31.276 --> 00:07:34.938]  And in this six-page article, they say it all.
[00:07:35.018 --> 00:07:48.205]  Now, when I saw the headline at NBC, when I followed the link, I knew exactly what I was going to read word for word, because I've read it 5,000 times.
[00:07:49.506 --> 00:07:53.888]  But back when I read it the first few dozen times, it was 25 years ago.
[00:07:56.817 --> 00:08:16.697]  When I first got really politically engaged and involved on air, before I read a lot of history books and done a lot of research, and I'd read Brave New World, and I'd read 1984, and then I'd read non-fiction books by those authors explaining these are future predictions of what's going to happen if we don't change course.
[00:08:17.558 --> 00:08:19.660]  Then I found out that the author of Brave New World
[00:08:21.169 --> 00:08:34.912]  He wrote it in 1932, Aldous Huxley, that his brother was the head of the World Eugenics Society, and after World War II, called it the World Transhumanist Society, and that much of their ideas had been adopted by Hitler.
[00:08:35.652 --> 00:08:38.153]  And then it starts making a lot more sense.
[00:08:38.913 --> 00:08:47.815]  And then you realize the British royal family has funded this, and IBM funded it, and the Bill and Melinda Gates Foundation has followed in those footsteps, and Warren Buffett.
[00:08:48.415 --> 00:08:49.535]  This is the religion.
[00:08:50.592 --> 00:08:51.433]  This is the club.
[00:08:52.173 --> 00:08:56.556]  And you know, I've made films on this and I've covered this for 25 years.
[00:08:57.377 --> 00:09:02.420]  But see, now it matters because now people see me lay out and predict basically everything.
[00:09:03.621 --> 00:09:12.847]  And they've gone from this being in academic papers and in academic books that cost $50, $100, $200 a piece
[00:09:17.096 --> 00:09:25.978]  And then a Reddit PhD and above level to it now being brought out into the pop culture and the front page of NBCNews.com.
[00:09:27.619 --> 00:09:42.763]  And you read this, I pledge to you that tomorrow I'm going to come in and I'm going to dedicate at least the first couple hours to this.
[00:09:44.170 --> 00:09:46.491]  I was not supposed to be here today, but I had to come in.
[00:09:48.672 --> 00:09:53.054]  I'm getting a tooth worked on, a root canal, and I've put it off too long.
[00:09:53.074 --> 00:09:54.414]  I've got to get that taken care of.
[00:09:55.354 --> 00:09:57.235]  And so I'm going to get that done.
[00:09:57.275 --> 00:10:00.937]  But tomorrow, Owen's coming in to take over.
[00:10:02.011 --> 00:10:09.214]  We've got Sargon of Akkad going to be here with us in a very important interview and also Count Dankula is back in.
[00:10:09.234 --> 00:10:10.794]  So it's just a big transmission today.
[00:10:10.834 --> 00:10:16.616]  But I had to come in just to highlight here that this is the big enchilada.
[00:10:18.497 --> 00:10:26.640]  And if you put the name Adolf Hitler on this, people would decry it and say it was the worst thing in the world, because it is.
[00:10:28.800 --> 00:10:36.086]  But because they put, oh, the environmentalists, oh, he's such the famed James Lovelock.
[00:10:37.547 --> 00:10:49.557]  Because they put it in that context, it's sold as a wonderful thing.
[00:10:50.738 --> 00:10:57.364]  And then they go into, oh, and don't worry, you're ruling elite, your superhumans are already here.
[00:10:58.550 --> 00:11:07.876]  And they're already geoengineering the Earth, and the machines that have merged with humans may decide to kill you, or they may keep you around like a potted plant.
[00:11:09.577 --> 00:11:17.982]  Well, that's like Ray Kurzweil saying, oh, once we're AI gods, we might destroy you, but we'll probably just see you as a bug, so hope we don't step on you.
[00:11:21.023 --> 00:11:25.226]  Now think about how this is the most selfish, arrogant, evil thing
[00:11:26.553 --> 00:11:29.155]  That anyone could possibly ever imagine.
[00:11:29.836 --> 00:11:30.457]  Think about that.
[00:11:31.197 --> 00:11:35.841]  That they're saying, we don't even know where humans came from, from their perspective.
[00:11:37.062 --> 00:11:43.969]  But they are going to chart for us the whole future of our supposed evolution.
[00:11:44.849 --> 00:11:49.313]  And when they first started pitching this 100 years ago, it was how it was going to empower us.
[00:11:49.914 --> 00:11:52.757]  But it was always designed to replace us.
[00:11:54.619 --> 00:12:03.143]  Because since the time of the ancient Egyptians, the so-called elites have always wanted to cheat death.
[00:12:05.845 --> 00:12:06.605]  But it was a fraud.
[00:12:06.685 --> 00:12:20.052]  They would put all their wealth, all their power into being mummified, have their wives mummified, have their dogs, their cats mummified, have models of their ships and their litters and everything put in those tombs with them, and it was all delusional.
[00:12:21.124 --> 00:12:30.570]  And to this day, we get mummified, we get embalmed, we get buried, as if keeping this body around somehow holds the spirit.
[00:12:31.691 --> 00:12:32.531]  It's blaspheming.
[00:12:33.992 --> 00:12:42.618]  It's the original sin of not recognizing the spirit that's already in us, and the fact that this is just a rose colored darkly that we wear, an earth suit.
[00:12:44.844 --> 00:12:49.745]  So they tell us that the post-human era is here, that we're all going to be gone soon.
[00:12:49.765 --> 00:12:51.925]  I'm going to read some of these quotes here in a moment.
[00:12:54.446 --> 00:12:57.007]  I've written a lot of notes here that I want to go over, but that'll be tomorrow.
[00:12:57.027 --> 00:12:59.667]  And we're just supposed to sit here and take it.
[00:13:00.247 --> 00:13:01.828]  And I know the whole history of these people.
[00:13:02.468 --> 00:13:03.348]  I know where they started.
[00:13:03.688 --> 00:13:04.608]  I know how they operate.
[00:13:04.848 --> 00:13:06.329]  I know their modern configurations.
[00:13:06.969 --> 00:13:12.750]  I knew as soon as I saw old James Lovelock's name, who's a horrible anti-human
[00:13:13.815 --> 00:13:18.199]  Overpopulation, human exterminist pusher that he'd worked with, Julian Huxley.
[00:13:18.839 --> 00:13:20.661]  I pulled up the books that they're in together.
[00:13:21.762 --> 00:13:22.882]  Again, textbooks that cost $100.
[00:13:22.922 --> 00:13:26.846]  And all the things they say.
[00:13:26.906 --> 00:13:28.847]  How they're going to put flora in the water to dumb us down.
[00:13:29.728 --> 00:13:30.589]  And make us more manageable.
[00:13:30.829 --> 00:13:32.370]  How they're going to feed us poison GMO.
[00:13:33.011 --> 00:13:34.252]  They're not saving the earth.
[00:13:34.352 --> 00:13:43.099]  They believe they're gods and the earth has to be absorbed by them like an egg from which they then emerge from.
[00:13:44.485 --> 00:13:46.766]  So remember, everything they're telling you is a lie.
[00:13:48.427 --> 00:14:08.236]  They tell you that if you're adherent to their religion, they tell you that if you accept their Luciferian religion, it's a Luciferian right, you read deeper into literature, they admit they follow Lucifer, so did one of their other top priest, 2001 Space Odyssey author, Arthur C. Clarke.
[00:14:09.737 --> 00:14:11.518]  He gave interviews and wrote essays and admitted it.
[00:14:13.319 --> 00:14:16.342]  They traveled to the Jupiter to meet Lucifer.
[00:14:17.563 --> 00:14:19.765]  Ignite the new star, the morning star.
[00:14:20.445 --> 00:14:28.012]  But, expanding on that, the New York Times said, oh look, he's a kook, he's a transhumanist.
[00:14:29.133 --> 00:14:32.536]  Jeffrey Epstein was just nobody, don't look into it.
[00:14:32.976 --> 00:14:35.739]  Yeah, he was helping head up the Albert Einstein Institute.
[00:14:37.100 --> 00:14:40.283]  And yeah, Bill Gates met with him, but won't talk about what
[00:14:41.357 --> 00:15:02.098]  They were meeting about and so did the royalty and so did Warren Buffett and so did Oprah Winfrey and so did all the other top scientists in New York at these week-long meetings that they have several times a year and he would fly around the world all these scientific institutions constantly because he was just a gopher of these people.
[00:15:03.936 --> 00:15:06.598]  They're developing human cloning, new bodies for themselves.
[00:15:06.718 --> 00:15:09.500]  It doesn't mean they've done it yet, but that's what they're doing.
[00:15:09.860 --> 00:15:13.643]  They say David Rockefeller had seven heart transplants before he died.
[00:15:14.704 --> 00:15:15.124]  At a hundred.
[00:15:15.144 --> 00:15:18.367]  Or whatever it was.
[00:15:18.647 --> 00:15:19.848]  Look at how long David Rockefeller lived.
[00:15:19.868 --> 00:15:20.428]  I think it was a hundred.
[00:15:21.389 --> 00:15:22.630]  He did break the family record.
[00:15:22.650 --> 00:15:23.871]  Nobody ever made it to a hundred and he did it.
[00:15:25.472 --> 00:15:28.554]  So of course you're ultra-rich and corrupt and a sociopath.
[00:15:28.855 --> 00:15:30.276]  All you care about is living forever.
[00:15:31.297 --> 00:15:40.062]  And then no matter which group or organization it is throughout history, they're told you must enslave your people, you must transcend humanity to live forever, you must kill them.
[00:15:41.082 --> 00:15:42.383]  And that's the Lucifer energy.
[00:15:43.183 --> 00:15:53.789]  And you read this, this is a Luciferian manuscript, and a death letter, a death order to you and your family, where they say, we're going to kill you.
[00:15:54.469 --> 00:15:55.149]  NBC News.
[00:15:55.590 --> 00:15:56.190]  You're dead.
[00:15:57.335 --> 00:16:01.376]  So enjoy the 5G, drink that fluoride, take those vaccines, and say bye bye!
[00:16:21.021 --> 00:16:23.904]  He may be America's best-known conspiracy theorist.
[00:16:24.224 --> 00:16:30.311]  Alex Jones, the far-right conspiracy theorist, radio host and conspiracy theorist Alex Jones.
[00:16:30.491 --> 00:16:35.557]  Alex Jones supported President Trump but also peddled and promoted sick conspiracy theories.
[00:16:35.717 --> 00:16:40.682]  It's really hard for me to understand how anyone can be so sick in the head.
[00:16:40.862 --> 00:16:42.985]  Alex Jones, my God, Mika, and just
[00:16:43.485 --> 00:16:43.705]  Yeah.
[00:16:43.846 --> 00:16:46.007]  Conspiracy theorist Alex Jones.
[00:16:46.208 --> 00:16:48.270]  Right-wing conspiracy theorist Alex Jones.
[00:16:48.350 --> 00:16:50.111]  Conspiracy theorist Alex Jones.
[00:16:50.351 --> 00:16:54.135]  Alex Jones has been behind several right-wing conspiracy theories.
[00:16:54.235 --> 00:16:56.377]  Right-wing conspiracy theorist Alex Jones.
[00:16:56.457 --> 00:16:59.380]  Radio host and conspiracy theorist Alex Jones.
[00:16:59.700 --> 00:17:03.584]  The captain of America's conspiracy theory mothership.
[00:17:04.392 --> 00:17:11.138]  Alex Jones espouses a litany of conspiracy theories, although he thinks that term belittles his reporting.
[00:17:11.358 --> 00:17:12.559]  The government's poisoning the water?
[00:17:12.960 --> 00:17:13.560]  Absolutely.
[00:17:13.580 --> 00:17:22.568]  I have all these other government documents where the government proposes and government think tanks propose poisoning the water to dumb down the population to make them more easily manageable.
[00:17:22.948 --> 00:17:25.349]  Oh dear, the fluoride didn't work on this one.
[00:17:25.549 --> 00:17:27.450]  He's fighting back against my takeover.
[00:17:27.810 --> 00:17:29.871]  Hurry, chemtrail him immediately!
[00:17:29.931 --> 00:17:32.992]  I've noticed what they attack me with on mainstream news.
[00:17:33.152 --> 00:17:35.893]  Jones claims your cell phones are killing you.
[00:17:36.053 --> 00:17:40.775]  Jones claims there's chemicals in the water that are lowering your fertility and confusing your sexuality.
[00:17:40.955 --> 00:17:42.896]  Jones says there's black helicopters.
[00:17:43.096 --> 00:17:44.736]  Jones says there's a world government.
[00:17:44.836 --> 00:17:46.757]  Jones says the EU is unelected.
[00:17:46.997 --> 00:17:47.277]  It is.
[00:17:47.297 --> 00:17:48.178]  On and on and on.
[00:17:48.738 --> 00:17:51.339]  And everything we're saying is out in the open.
[00:17:51.599 --> 00:17:58.023]  Kelly Prime's son, Kyle, was just 10 years old when he was diagnosed with kidney cancer in 2016.
[00:17:58.584 --> 00:18:03.927]  Five months later, Kyle's friend and classmate, Mason Faruli, developed brain cancer.
[00:18:04.047 --> 00:18:07.329]  Two more kids at the school were diagnosed this year.
[00:18:07.769 --> 00:18:19.297]  The moms believe the recent increase in cancer cases could be caused by radiation from radiofrequency, or RF waves, coming from this cell tower located on the elementary school campus.
[00:18:19.577 --> 00:18:35.088]  So think about how the LA Times and even Wired Magazine will admit there are thousands of studies that prove that wireless radiation, as it's intensified in its strength the last 30 years, and how many places it's emanating from, and especially the microwave millimeter waves.
[00:18:35.389 --> 00:18:35.909]  Cell phones!
[00:18:36.189 --> 00:18:39.491]  ...operate as microwave transmitters and receivers, transceivers.
[00:18:39.631 --> 00:18:40.712]  Now, what's a microwave do?
[00:18:40.732 --> 00:18:42.794]  It vibrates water, vibrates molecules.
[00:18:42.974 --> 00:18:47.897]  And 5G is an even more powerful form of microwave that even rattles it faster.
[00:18:47.997 --> 00:18:53.040]  That's what causes the heat, the friction of the molecules, and burns oxygen and carbon dioxide.
[00:18:53.081 --> 00:18:53.721]  You heard me right.
[00:18:54.301 --> 00:18:56.563]  5G burns the atmosphere.
[00:18:57.043 --> 00:19:02.826]  Epstein pleaded guilty to soliciting prostitution in Florida in 2008 as part of a controversial deal.
[00:19:03.347 --> 00:19:16.434]  In a civil case against the government about that deal, one accuser says she took part in an orgy on Epstein's private island in 2002 with approximately eight other young girls who appeared to be under the age of 18.
[00:19:17.134 --> 00:19:18.455]  What may have happened here?
[00:19:18.735 --> 00:19:21.637]  Just because some people want to restrict views doesn't mean they have a right to do it.
[00:19:22.378 --> 00:19:28.643]  And see, once that happens, now you can shut down the details of Bill Clinton's best buddy and the pedophile island that we've been exposing.
[00:19:28.943 --> 00:19:38.150]  Prison guards working when Epstein apparently died by suicide may have falsified reports to make it look like they were checking in on Epstein, when they were in fact not.
[00:19:38.431 --> 00:19:41.473]  I am now more suspicious than ever that this could be a homicide.
[00:19:41.613 --> 00:19:43.555]  People won't listen to me because I got too much data!
[00:19:43.835 --> 00:19:44.776]  Can you imagine what this is like?
[00:19:44.976 --> 00:19:47.378]  Alex Jones called this years ago.
[00:19:47.858 --> 00:19:48.519]  Years ago.
[00:19:48.879 --> 00:19:56.205]  He was saying that they take a lot of famous people to this island and they have all these young girls that this guy hooks them up with.
[00:19:56.265 --> 00:19:58.487]  He was talking about this years ago.
[00:19:58.607 --> 00:20:00.249]  Now it is mainstream news.
[00:20:05.893 --> 00:20:08.556]  You're listening to the Alex Jones Show.
[00:20:21.186 --> 00:20:22.686]  Alright, welcome back to reality.
[00:20:23.167 --> 00:20:25.347]  I'm Alex Jones, your host, and I want to explain something again.
[00:20:25.367 --> 00:20:29.529]  I had read all this science fiction, but also history.
[00:20:30.149 --> 00:20:32.749]  Isaac Asimov's foundation series, Frank Herbert's Dune.
[00:20:32.769 --> 00:20:34.830]  I mean, I was a voracious reader.
[00:20:35.790 --> 00:20:38.291]  But I'd read more history than science fiction.
[00:20:39.191 --> 00:20:47.494]  And then I noticed that a lot of the science fiction was based on eugenics and Plato and Hitler and just a lot of things that actually happened.
[00:20:49.935 --> 00:20:50.375]  And then I
[00:20:51.496 --> 00:20:56.739]  Went to college and learned that it was all a bunch of anti-human, anti-American, anti-free market communism.
[00:20:57.619 --> 00:21:03.242]  And then I decided to read what the actual controllers were writing and saying, the real social engineers.
[00:21:04.083 --> 00:21:07.405]  And again, at governmental, PhD level, it's all public.
[00:21:07.885 --> 00:21:09.826]  Post-human world, eugenics.
[00:21:10.626 --> 00:21:20.632]  To do it, we've got to sabotage the normal human system so that it's so unlivable, so failed, people will then beg for the new, quote, augmented or cyborg existence.
[00:21:21.892 --> 00:21:30.336]  That was in a 1978 Pentagon document that got declassified in 2000 to the Federation of American Scientists.
[00:21:30.656 --> 00:21:36.759]  It got reclassified, but I put the classified document in my film, 9-11 Dissent and Tyranny.
[00:21:39.080 --> 00:21:50.725]  And it describes humans born into tanks, and then the heat from our bodies powers the AI that then jacks into our brains for virtual reality for an AI-human interface.
[00:21:51.790 --> 00:21:55.953]  You're probably saying, wait a minute, I saw a 1999 film called The Matrix.
[00:21:56.994 --> 00:22:00.177]  You see, this is an externalization of the method.
[00:22:00.657 --> 00:22:13.947]  One hypothesis and model is that model, incomplete with aircraft that will be used to try to block the sun out in a war to kill the AI.
[00:22:14.328 --> 00:22:15.649]  It's already war-gamed all that.
[00:22:16.653 --> 00:22:21.056]  And so they'll have to send out hunter-killer robots to kill all the humans on the ground that are powered by humans.
[00:22:21.076 --> 00:22:24.238]  And you're going, wait a minute, that's another one of the Matrix movies.
[00:22:25.019 --> 00:22:25.479]  Exactly.
[00:22:26.359 --> 00:22:29.662]  And that's actually in this NBC article, how they're chemtrailing you.
[00:22:31.423 --> 00:22:43.511]  So you have to understand, since Francis Galton and since the Wedgwoods and the Huxleys and the Darwins all interbred for the British royal family to create what they believe to be superhuman,
[00:22:44.622 --> 00:22:46.362]  To try to envision the future.
[00:22:46.502 --> 00:22:54.424]  They envision computers, biometrics, everything we have was channeled to them by entities from other dimensions.
[00:22:55.484 --> 00:22:57.745]  Now you have to understand, this is not me saying this.
[00:22:57.765 --> 00:23:00.705]  You notice they don't attack me for this on the news, because they know it's their religion.
[00:23:01.265 --> 00:23:02.886]  They want me off the air because of this.
[00:23:04.846 --> 00:23:09.407]  And so they breed people that have the proper electrochemical
[00:23:12.381 --> 00:23:30.146]  Cells in their brain, just like birds can fly according to the magnetic lines, or butterflies can fly from Mexico to Canada, lay their eggs, hatch, fly back off of magnetic control.
[00:23:30.827 --> 00:23:38.309]  They bred humans to be able to inter-dimensionally interface with the entities that then sent them the messages to build all this.
[00:23:39.773 --> 00:23:41.614]  Now, again, you're getting the big secrets here.
[00:23:41.654 --> 00:23:42.555]  They don't want you to know this.
[00:23:43.095 --> 00:23:48.599]  They're rolling out what I told you 25 years ago about the planetary government, how they're going to exterminate you and your family.
[00:23:49.379 --> 00:23:51.561]  That's because they're ready to start implementing this now.
[00:23:51.781 --> 00:23:53.182]  They're getting ready to roll out this phase.
[00:23:53.682 --> 00:24:04.209]  But I'm explaining to you why they're all doing this, because they really believe they're going to be given immortality when they're given the blueprints to merge with the AI.
[00:24:05.530 --> 00:24:08.392]  So, yes, you're on a planet, you're in a real science fiction movie.
[00:24:08.732 --> 00:24:09.273]  Satan's real.
[00:24:11.007 --> 00:24:19.715]  And tomorrow when I come in, I'm going to read this whole article and then go through exhibits showing you where they actually say it and where they do it.
[00:24:19.775 --> 00:24:28.524]  But again, Darwin had visions where an entity told him about the origin of the species and how it would all work and they were all doing this.
[00:24:28.964 --> 00:24:30.405]  Let me just read you a few paragraphs from here.
[00:24:31.707 --> 00:24:35.911]  Cyborgs will replace humans and remake the world, James Lovelock says.
[00:24:37.366 --> 00:24:40.067]  Now, cyborgs are humans merging with machine.
[00:24:40.528 --> 00:24:49.492]  But again, the superclass, the real controllers, are only going to give 99.9% of people systems that totally control them, totally enslave them.
[00:24:49.912 --> 00:25:05.840]  But just as above, so below, the globalists have been deceived, just like an Egyptian pharaoh, again believing if he spent 90% of his GDP on building giant pyramids and then mummifying himself, that he would somehow live forever.
[00:25:06.735 --> 00:25:10.918]  And of course, he was building this pyramid for a completely different reason than what he was told.
[00:25:11.938 --> 00:25:13.179]  Little secrets I'll get to later.
[00:25:13.759 --> 00:25:16.321]  But cyborgs will replace humans and remake the world.
[00:25:17.602 --> 00:25:24.586]  James Lovelock says, for tens of thousands of years, humans have reigned as our planet's only intelligent, self-aware species.
[00:25:24.986 --> 00:25:26.827]  You really think we're the only thing on the planet?
[00:25:27.327 --> 00:25:31.330]  No, the Bible tells us a really bad dude with a whole legion
[00:25:32.748 --> 00:25:34.569]  Hundreds of thousands of crew are on the planet.
[00:25:35.069 --> 00:25:36.009]  Don't listen to it, though.
[00:25:36.049 --> 00:25:40.031]  It just told you about the whole world government, the cashless society, robots, nuclear weapons.
[00:25:40.051 --> 00:25:40.571]  It's all in there.
[00:25:41.772 --> 00:25:45.473]  But the rise of intelligent machines means that could soon change.
[00:25:46.574 --> 00:25:48.134]  Perhaps in our own lifetimes.
[00:25:48.194 --> 00:25:52.796]  Not long after that, Homo sapiens could vanish from the Earth entirely.
[00:25:54.797 --> 00:25:55.918]  So, we're all dead.
[00:25:56.038 --> 00:25:59.739]  But, oh, it's liberal because it goes into it to save the Earth.
[00:25:59.839 --> 00:26:01.000]  We're gonna have to die.
[00:26:02.256 --> 00:26:07.040]  And yes, like they've all told everybody, when you merge with a machine, your body has to die.
[00:26:07.420 --> 00:26:09.041]  We can't have two of you running around.
[00:26:10.002 --> 00:26:14.425]  But of course it's the ultimate con, just like the pharaohs, believing mummification made them live forever.
[00:26:15.046 --> 00:26:16.347]  They could keep their body intact.
[00:26:19.769 --> 00:26:25.654]  That's the jarring message of the new book by James Lovelock, the famed British environmentalist and futurist.
[00:26:25.874 --> 00:26:29.537]  He's not famed by real scientists, but he's worshipped by the heights of science.
[00:26:30.953 --> 00:26:35.896]  Because he brought out the Gaia hypothesis that the Earth itself has a spirit.
[00:26:36.356 --> 00:26:37.357]  Remember Final Fantasy?
[00:26:39.458 --> 00:26:48.624]  The Earth itself has a spirit that's under attack by the real devil, Jesus Christ.
[00:26:50.605 --> 00:26:52.726]  And Lucifer is the feminine spirit.
