[00:00:00.236 --> 00:00:01.857]  Come on man!
[00:06:14.219 --> 00:06:43.659]  Our love is unconditional We knew it from the start I see it in your eyes You can feel it from my heart From this time forward From here on after Let's stay the way we are right now And share all the love and laughter That a lifetime will allow
[00:06:44.770 --> 00:07:10.697]  At the bottom of the hour, I'm going to play a new compilation of the left celebrating killing little babies, calling them horrible names and reveling in their death, reveling in their chance to live a life and struggle and succeed and lose and build and create an experience.
[00:07:10.697 --> 00:07:12.318]  There couldn't be a more selfish,
[00:07:13.516 --> 00:07:16.397]  Truly wicked thing to do.
[00:07:16.397 --> 00:07:18.719]  Except celebrate it.
[00:07:18.719 --> 00:07:23.281]  But if you're gonna go to hell, might as well be first in line, huh?
[00:07:23.281 --> 00:07:28.403]  Might as well just fully commit to it and wallow in it.
[00:07:28.403 --> 00:07:34.106]  Wallow in the spiritual filth and stench.
[00:07:34.106 --> 00:07:40.249]  You know, I don't like to cover things like this here on air.
[00:07:40.249 --> 00:07:42.470]  I know the show, in many ways, would be more popular
[00:07:44.036 --> 00:07:51.717]  I came on here and made fun of AOC and Ilhan Omar and the usual suspects.
[00:07:51.717 --> 00:07:59.939]  And rebelled in John Bolton being removed and winning the special election in the Carolinas yesterday.
[00:07:59.939 --> 00:08:05.020]  And all of that's important.
[00:08:05.020 --> 00:08:08.660]  There's a lot of good things happening in this world.
[00:08:08.660 --> 00:08:11.321]  But you know, if we would just come to grips with it,
[00:08:13.260 --> 00:08:19.445]  And recognize that we're really facing classical evil.
[00:08:19.445 --> 00:08:40.980]  The stuff you read about in history books, the stuff you hear about in fairy tales, the stuff of nightmares, is our own spirit, our own subconscious, our own past, our own history, our own guts, warning us of what there is in this universe that's not good, and the fact that we need to make the conscious decision to reject it.
[00:08:40.980 --> 00:08:41.981]  And it's that decision
[00:08:43.223 --> 00:09:07.960]  That is infinitely, beyond infinity, eternally, more important than any physical wealth, any physical health, any accolades that you could ever receive.
[00:09:07.960 --> 00:09:12.003]  Nothing in this world will satisfy
[00:09:14.682 --> 00:09:16.863]  Except the spiritual.
[00:09:16.863 --> 00:09:34.691]  That's why the globalists try to always keep people in a starvation mode so they're fighting just to be able to live so that they're kept at that level of base survival so they never experience the success of being able to have a quiet moment to reflect on eternity.
[00:09:34.691 --> 00:09:41.454]  They want to keep us running on that hamster or rat wheel so distracted that by the time we die
[00:09:42.520 --> 00:09:59.354]  We never really experienced life and never touched the face of God to make that eternal decision to go with God instead of go with everything that's fallen for eternity.
[00:09:59.354 --> 00:10:00.395]  We've got a lot of guests today.
[00:10:00.395 --> 00:10:02.617]  We've got a lot of news.
[00:10:02.617 --> 00:10:09.343]  But at the bottom of the hour, we're going to play this compilation and then tomorrow we'll have even more.
[00:10:09.343 --> 00:10:10.464]  I mean, there's hours of this.
[00:10:11.544 --> 00:10:16.807]  I mean, I knew the left celebrated abortion, but I don't try to go around looking for it.
[00:10:16.807 --> 00:10:18.248]  It's just all over the place.
[00:10:18.248 --> 00:10:23.211]  And then once I asked the crew to look into it, it's just worse than I even knew.
[00:10:23.211 --> 00:10:27.473]  And of course, isn't it always worse than you know?
[00:10:27.473 --> 00:10:34.697]  This disease has been rotting behind the scenes, right beneath the surface for a while.
[00:10:34.697 --> 00:10:36.018]  And now it's coming out.
[00:10:37.284 --> 00:10:41.989]  And so that's really a good thing, that we're going to get this thing out in the open so we can tackle it.
[00:10:41.989 --> 00:10:49.917]  And it's critical that we don't become overwhelmed by it and give up and hot our head in the sand.
[00:10:51.328 --> 00:10:58.977]  I mean, it's good to pull away from the big cities, pull away from the left and where their strongholds are, and go build our own strongholds.
[00:10:58.977 --> 00:11:08.849]  But we have to go inner into their strongholds on sorties, politically, and we have to strafe them with the truth, and with justice, and with liberty.
[00:11:08.849 --> 00:11:09.530]  Never physically.
[00:11:13.100 --> 00:11:16.661]  And that's really what we are, is a mission in to this.
[00:11:16.661 --> 00:11:20.803]  I mean, I was born in Texas, been in Austin since high school.
[00:11:20.803 --> 00:11:22.783]  It was not the fetid L.A.
[00:11:22.783 --> 00:11:27.205]  toilet that it is now, both literally and spiritually.
[00:11:27.205 --> 00:11:31.446]  But that's why we're here.
[00:11:31.446 --> 00:11:33.487]  And that's why you are where you're at.
[00:11:33.487 --> 00:11:41.690]  But I just have to tell you that the abominations going on, the genetic engineering that they admit is happening now,
[00:11:43.095 --> 00:11:52.577]  It's just totally dangerous, totally insane, and creates so many issues, like, do these humanoids have rights?
[00:11:52.577 --> 00:11:53.957]  Who really controls them?
[00:11:53.957 --> 00:11:58.018]  What were they programmed to do?
[00:11:58.018 --> 00:12:07.079]  I remember hearing 20-something years ago that they'd been cloning people since the 60s, and I went and looked it up and actually found it was in mainline literature.
[00:12:07.079 --> 00:12:11.640]  Hell, I got a Time Life magazine I bought at some old magazine shop.
[00:12:13.234 --> 00:12:20.356]  When I was out in Seattle, I haven't even shown this on air yet, and it showed test tubes with human embryos in them that had been engineered in the 60s.
[00:12:20.356 --> 00:12:27.239]  So they kind of told us about it then, but people got upset, so they pulled back and said, oh, that's just fiction.
[00:12:27.239 --> 00:12:28.499]  Imagine where they are now.
[00:12:28.499 --> 00:12:30.300]  I mean, look at these headlines right here.
[00:12:30.300 --> 00:12:34.281]  Scientists create a device that can mass-produce human embryos.
[00:12:34.281 --> 00:12:38.863]  And you go in and read into it, from NPR, many of them really aren't humans.
[00:12:38.863 --> 00:12:40.383]  They're splices of 5, 6, 7, 8, 10, 100 people.
[00:12:43.789 --> 00:12:48.673]  Chinese scientists edit DNA in attempt to cure man's cancer.
[00:12:48.673 --> 00:12:49.293]  HIV.
[00:12:49.293 --> 00:12:50.855]  Boy, what could give rise out of that?
[00:12:50.855 --> 00:12:58.621]  That's out of Yahoo Finance.
[00:12:58.621 --> 00:13:01.163]  Next generation of aircraft will track your bathroom visits.
[00:13:01.163 --> 00:13:02.224]  Isn't that great?
[00:13:02.224 --> 00:13:03.985]  There's no such thing as anonymity.
[00:13:03.985 --> 00:13:08.829]  With consumer DNA tests, sperm banks reconsider long-held promise to donors.
[00:13:11.172 --> 00:13:13.012]  See, everything's about breaking promise.
[00:13:13.012 --> 00:13:14.573]  Does the new iPhone creep you out?
[00:13:14.573 --> 00:13:19.514]  Scientists grapple with tiny holes scare some people.
[00:13:19.514 --> 00:13:21.314]  Yeah, it's got like a little robot.
[00:13:21.314 --> 00:13:29.136]  See, now the robot's got two eyes on each side and little microphones and you can't turn it off and Google Nest had a hidden microphone and they admit they're always listening.
[00:13:29.136 --> 00:13:30.616]  Of course they are!
[00:13:30.616 --> 00:13:39.718]  It's all a race, militarily, to dominate and control you and make you as mentally ill and as broken as possible so they can program you.
[00:13:39.718 --> 00:13:40.738]  I mean, they admit that.
[00:13:43.885 --> 00:13:47.186]  Mosquito trials raise hopes of dengue fever.
[00:13:47.186 --> 00:13:47.326]  Sure.
[00:13:47.326 --> 00:13:50.447]  I'll tell you about that.
[00:13:50.447 --> 00:13:51.768]  And all this ties together.
[00:13:51.768 --> 00:13:58.130]  We're going to have live coverage tonight, right through now, until 11 o'clock this evening.
[00:13:58.130 --> 00:14:00.671]  Houston, we have a problem.
[00:14:00.671 --> 00:14:06.353]  The Clown World, third round of debates, this time all ten on one stage.
[00:14:06.353 --> 00:14:10.194]  Elizabeth Warren will attack DOG, the reanimated corpse that is
[00:14:11.499 --> 00:14:16.540]  Joe Biden with his bloody eyes and his strokes and his stumbling and bumbling.
[00:14:16.540 --> 00:14:18.321]  The Democrats now say he needs to step down.
[00:14:18.321 --> 00:14:21.402]  Where'd you hear that first?
[00:14:21.402 --> 00:14:22.342]  So that's all coming up.
[00:14:22.342 --> 00:14:23.162]  Texas showdown.
[00:14:23.162 --> 00:14:24.143]  Warren's new target.
[00:14:24.143 --> 00:14:25.583]  Can Biden hang on?
[00:14:25.583 --> 00:14:26.463]  DrugsReport.com.
[00:14:26.463 --> 00:14:28.404]  That's all coming up.
[00:14:28.404 --> 00:14:31.905]  And then we are going to get into so much more here today.
[00:14:31.905 --> 00:14:34.725]  India is set to carry out biggest war games near China border.
[00:14:34.725 --> 00:14:38.126]  Told you the whole cashmere thing is about proxy war with China.
[00:14:38.126 --> 00:14:38.847]  Pinscher movement.
[00:14:42.073 --> 00:14:48.779]  We're gonna tie it into a whole cornucopia and a large spectrum of news and information today.
[00:14:48.779 --> 00:14:52.262]  As best I possibly can.
[00:14:52.262 --> 00:14:52.783]  First off...
[00:14:53.971 --> 00:14:58.194]  We're also, when we come back, going to get into right-wingers are America's deadliest terrorists.
[00:14:58.194 --> 00:15:11.385]  We've got a CNN clip that went up on Infowars.com yesterday, last night, that we're going to cover coming up, where CNN puts up all these fake graphics and says white men are the terrorists, when statistically it's not even true.
[00:15:11.385 --> 00:15:20.832]  But regardless, the fact that they're trying to say that while the New York Times came out and
[00:15:22.839 --> 00:15:25.581]  Said airplanes attacked us on 9-11.
[00:15:25.581 --> 00:15:31.304]  Now obviously the official story has got big problems and there was a lot more going on there, but Islamic terror is real.
[00:15:31.304 --> 00:15:36.166]  There were people that were trying to do it, they were probably decoys, but Islamic terror is a real thing.
[00:15:36.166 --> 00:15:39.628]  To say it was airplanes is like when they said there was a truck attack, remember?
[00:15:39.628 --> 00:15:41.909]  Killed hundreds of people or whatever in France.
[00:15:41.909 --> 00:15:43.170]  They've had a bunch of attacks.
[00:15:43.170 --> 00:15:46.212]  One ran over several hundred, killed a hundred plus.
[00:15:46.872 --> 00:15:48.636]  And remember, they said a truck attacked people.
[00:15:48.636 --> 00:15:50.379]  No, this isn't Christine.
[00:15:50.379 --> 00:15:52.424]  Or this isn't Maximum Overdrive.
[00:15:52.424 --> 00:15:53.285]  This isn't Hollywood.
[00:15:53.285 --> 00:15:54.067]  It wasn't the cars.
[00:15:54.067 --> 00:15:55.951]  It wasn't a Google self-driving car.
[00:15:55.951 --> 00:15:56.732]  It was a Jotty.
[00:15:58.106 --> 00:16:09.152]  When you have a pain in the neck, a real pain in the neck, back, shoulder or legs, you now have two convenient choices to get fast relief without taking another pill.
[00:16:09.152 --> 00:16:14.955]  Because now Sunny Bay heating wraps and pillows are available at both Amazon and Wal-Mart.
[00:16:14.955 --> 00:16:15.615]  Yes.
[00:16:15.615 --> 00:16:21.478]  See Sunny Bay's four and a half to five star customer reviews on Amazon .com or Wal-Mart .com.
[00:16:21.838 --> 00:16:30.283]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support where and when you need it.
[00:16:30.283 --> 00:16:39.308]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing, hot or cold therapy to help treat temporary or chronic pain.
[00:16:39.308 --> 00:16:40.789]  And the best part, Sunny Bay
[00:16:43.550 --> 00:16:51.579]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both Amazon and Etsy.
[00:16:51.579 --> 00:16:52.360]  It's easy.
[00:16:52.360 --> 00:16:56.985]  Click Amazon or Walmart and search today for Sunny Bay.
[00:16:56.985 --> 00:16:59.408]  Hunters, anglers, campers and survivalists.
[00:16:59.608 --> 00:17:00.709]  Get back to nature.
[00:17:00.709 --> 00:17:08.032]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:17:08.032 --> 00:17:11.433]  Slingbow products are compact and models start from just 1798.
[00:17:11.433 --> 00:17:15.015]  They're perfect for your bug out bag or storing in your vehicle.
[00:17:15.015 --> 00:17:19.177]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:17:19.177 --> 00:17:23.739]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:17:23.739 --> 00:17:26.420]  Feel the thrill only at slingbow.com.
[00:17:27.000 --> 00:17:28.220]  Hi, I'm Dan Pilla.
[00:17:28.220 --> 00:17:32.142]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:17:32.142 --> 00:17:33.683]  I sued the IRS and won.
[00:17:33.683 --> 00:17:36.644]  I beat the IRS then, and I've been beating them ever since.
[00:17:36.644 --> 00:17:42.206]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:17:42.206 --> 00:17:43.406]  I can help you, too.
[00:17:43.406 --> 00:17:46.347]  If you owe taxes you can't pay, don't wait another day.
[00:17:46.347 --> 00:17:48.568]  There's no such thing as a hopeless tax case.
[00:17:48.568 --> 00:17:53.010]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[00:17:53.010 --> 00:17:55.291]  That's danpilla.com, danpilla.com.
[00:17:58.407 --> 00:18:02.629]  We sold Secret 12 for four years, and it was our number third best seller.
[00:18:02.629 --> 00:18:07.412]  We had to discontinue it because when you upgrade a formula, you are supposed to rename it.
[00:18:07.412 --> 00:18:09.654]  That new formula is Ultra 12.
[00:18:09.654 --> 00:18:14.036]  It's twice as strong as Secret 12, the very best vitamin B12 out there.
[00:18:14.036 --> 00:18:18.859]  It's got the complex system that lets your body absorb it, and it does amazing things.
[00:18:19.139 --> 00:18:20.962]  Supports healthy nerve and brain cells.
[00:18:20.962 --> 00:18:22.243]  Helps make DNA.
[00:18:22.243 --> 00:18:23.585]  Helps the body produce energy.
[00:18:23.585 --> 00:18:25.087]  Helps produce healthy blood cells.
[00:18:25.087 --> 00:18:27.089]  Essential for proper nervous system function.
[00:18:27.089 --> 00:18:28.071]  It goes on and on.
[00:18:28.071 --> 00:18:35.841]  B12 deficiency is a serious problem that can cause anemia, fatigue, weakness, constipation, weight loss, depression, poor memory loss, asthma, vision problems and low sperm count.
[00:18:36.161 --> 00:18:38.703]  Bottom line, folks, you need Ultra 12.
[00:18:38.703 --> 00:18:45.547]  It helps fund the Info War, so it's a 360 win, and it's 50% off for a limited time at InfoWarsStore.com.
[00:18:45.547 --> 00:18:50.870]  Again, we can only run the special for the next two weeks or so while supplies last.
[00:18:50.870 --> 00:18:56.113]  Ultra 12, twice as powerful, half the price, 50% off right now at InfoWarsLive.com.
[00:18:58.908 --> 00:19:06.330]  There are few things in this universe that are a sure bet, but I'm here to tell you, the products at Infowarslife.com are on.
[00:19:06.330 --> 00:19:19.594]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature, and then we make it even stronger, even better, and lower the price.
[00:19:20.134 --> 00:19:26.781]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[00:19:26.781 --> 00:19:28.543]  It sells itself.
[00:19:28.543 --> 00:19:37.312]  But, normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[00:19:37.312 --> 00:19:38.654]  Originally, obviously, from India.
[00:19:39.935 --> 00:19:50.663]  Bodies Ultimate Turmeric Formula has a 95% curcuminoid level, and it's got other natural things that help boost it, help your body absorb it, and that's why people absolutely love it.
[00:19:50.663 --> 00:19:54.906]  I'm doing this offer for people that haven't tried it yet.
[00:19:54.906 --> 00:20:01.450]  50% off on Bodies at InfoWarsLive.com.
[00:20:01.450 --> 00:20:04.092]  You're listening to the Alex Jones Show.
[00:20:09.861 --> 00:20:13.304]  The competition's paying the price!
[00:20:13.304 --> 00:20:15.606]  I'm gonna knock you out!
[00:20:15.606 --> 00:20:17.828]  Mama said knock you out!
[00:20:17.828 --> 00:20:19.269]  I'm gonna knock you out!
[00:20:19.269 --> 00:20:21.692]  Mama said knock you out!
[00:20:21.692 --> 00:20:23.613]  I'm gonna knock you out!
[00:20:23.613 --> 00:20:25.635]  Mama said knock you out!
[00:20:25.635 --> 00:20:27.697]  I'm gonna knock you out!
[00:20:27.697 --> 00:20:30.079]  Mama said knock you out!
[00:20:30.079 --> 00:20:30.439]  Storm!
[00:20:30.439 --> 00:20:32.181]  And I'm just getting warm!
[00:20:37.188 --> 00:20:42.792]  Ladies and gentlemen, we are live broadcasting worldwide, and we're going to be here until at least 11 p.m.
[00:20:42.792 --> 00:20:56.322]  tonight, and the first two debates were incredibly boring, and incredibly stupid, and unbelievably frightening how they all were trying to double down, offering free stuff, trying to go left of Mao Zedong.
[00:20:56.322 --> 00:21:00.324]  Now that said, they were so boring and horrible, they were riveting.
[00:21:00.324 --> 00:21:06.509]  But at the same time, it was very scary to look at Cory Booker and his fake smile, and always looking like he's trying to
[00:21:07.605 --> 00:21:21.043]  You know, used the bathroom when he's been constipated for six months, and then Elizabeth Warren looks like a weird meth-addicted piranha with her eyes just bugging out of her head with hate, and then you look at...
[00:21:22.065 --> 00:21:32.548]  Bernie Sanders, a 78-year-old communist that swindled colleges and ran all sorts of criminal operations and loved the Soviet Union, up there promising people stuff.
[00:21:32.548 --> 00:21:37.749]  And then the New York Times is praising Mao Zedong, saying he was a great leader.
[00:21:37.749 --> 00:21:47.332]  And AP is praising Robert Mugabe, who was like an African Hitler, said that whites should all be exterminated.
[00:21:47.332 --> 00:21:48.952]  I mean, it's crazy!
[00:21:51.308 --> 00:21:53.210]  That's mainstream media, folks.
[00:21:53.210 --> 00:21:56.253]  They support killing babies after they're born.
[00:21:56.253 --> 00:21:58.014]  They support breaking up the family.
[00:21:58.014 --> 00:22:06.322]  They support saying, don't say mother and father in elementary school entrance forms.
[00:22:06.322 --> 00:22:12.568]  They are destroying all of civilization in a total takeover.
[00:22:12.568 --> 00:22:14.870]  It's their mission.
[00:22:14.870 --> 00:22:16.412]  It's what they've been financed to do.
[00:22:17.714 --> 00:22:22.437]  You can look at it temporarily and say, well, the Chi-Coms see us as their main rival.
[00:22:22.437 --> 00:22:23.718]  They want to demoralize us.
[00:22:23.718 --> 00:22:24.978]  They want to break us down.
[00:22:24.978 --> 00:22:28.780]  The left wants to do that to further conquer us culturally, so they're allied.
[00:22:28.780 --> 00:22:32.222]  And Islam wants to take over the West, so they're allied with it.
[00:22:32.222 --> 00:22:33.943]  What a combination!
[00:22:33.943 --> 00:22:42.588]  The leftist Hollywood with the Chi-Coms and the unelected EU with Islam.
[00:22:42.588 --> 00:22:44.730]  And that's the big evil axis.
[00:22:46.030 --> 00:22:53.712]  Against what's left of Christianity, what's left of free market capitalism and the Renaissance.
[00:22:53.712 --> 00:23:01.435]  It's unbelievable to see these global, global, these global corporates doing the math, doing the numbers.
[00:23:01.435 --> 00:23:03.655]  There's 1.8 million Muslims.
[00:23:03.655 --> 00:23:10.097]  There's a billion, 400 million Chinese.
[00:23:10.097 --> 00:23:11.578]  Europe is in decline.
[00:23:11.578 --> 00:23:14.239]  The population's capitulated.
[00:23:14.239 --> 00:23:15.679]  America is in moral decline.
[00:23:18.544 --> 00:23:20.885]  We don't have a Christian culture on average anymore.
[00:23:20.885 --> 00:23:23.166]  We don't have a red, white, and blue culture.
[00:23:23.166 --> 00:23:26.267]  We don't believe in ourselves anymore.
[00:23:26.267 --> 00:23:33.350]  I see articles all over the place where the American flag, people wear American flag shirts and they're told to take them off at football games.
[00:23:33.350 --> 00:23:41.513]  Not just the Betsy Ross, but the Gadsden flag, the 50 star flag, the modern flag.
[00:23:41.513 --> 00:23:48.016]  The Ninth Circuit ruled six years ago that you can't wear an American flag in public schools or colleges.
[00:23:50.310 --> 00:23:57.672]  In 11 states that the 9th Circuit covers.
[00:23:57.672 --> 00:23:58.732]  I'm going from memory.
[00:23:58.732 --> 00:24:00.053]  Look how many states.
[00:24:00.053 --> 00:24:01.993]  Is it 9 states or 10 states?
[00:24:01.993 --> 00:24:03.594]  Last time I looked I was amazed it was so many states.
[00:24:03.594 --> 00:24:05.014]  I think it's 11.
[00:24:05.014 --> 00:24:06.614]  Is it 9 or 10?
[00:24:06.614 --> 00:24:07.255]  Please look that up for me.
[00:24:10.370 --> 00:24:11.951]  You know, you sit back and you see that.
[00:24:11.951 --> 00:24:14.454]  People followed suits in college and in high school.
[00:24:14.454 --> 00:24:17.857]  They'd wear an American flag and people say, we're offended.
[00:24:17.857 --> 00:24:20.960]  And they'd get kicked out of school for refusing to take it off.
[00:24:20.960 --> 00:24:24.303]  And then the court said, you don't wear that!
[00:24:24.303 --> 00:24:27.386]  That's beyond the Soviet Union.
[00:24:27.386 --> 00:24:34.532]  That's how far we've gone into this cult.
[00:24:34.532 --> 00:24:35.013]  Now there it is.
[00:24:36.744 --> 00:24:40.567]  1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13.
[00:24:40.567 --> 00:24:47.130]  Gosh, it's even more than I thought.
[00:24:47.130 --> 00:24:48.331]  It's 13 states.
[00:24:48.331 --> 00:24:51.873]  Jeez.
[00:24:51.873 --> 00:24:52.233]  13 states.
[00:24:52.233 --> 00:24:55.075]  You can't wear an American flag in school.
[00:24:55.075 --> 00:24:58.116]  If somebody doesn't like it.
[00:24:58.116 --> 00:24:59.117]  Let that sink in.
[00:24:59.117 --> 00:25:00.078]  I'm going to stop right there.
[00:25:00.078 --> 00:25:01.698]  I've got stacks of notes here.
[00:25:01.698 --> 00:25:02.279]  We're going to hit it all.
[00:25:04.591 --> 00:25:10.718]  Yesterday in the first hour at the end of the hour, I came on air and told the truth.
[00:25:10.718 --> 00:25:21.892]  I mean, it's a possible future that in the next year and a quarter or so, Infowars will run out of money to operate.
[00:25:21.892 --> 00:25:24.014]  We can make it through the election, maybe that's just God's will.
[00:25:25.083 --> 00:25:39.535]  I know I've got enough product that if I sell it all, I could run this place at full throttle, and even expand some into the campaign, and have our reporters on the ground for almost every major event, and really have a big, strong, powerful finish for InfoWars.
