[00:00:18.674 --> 00:00:24.037]  Ladies and gentlemen,
[00:03:08.296 --> 00:03:09.697]  And we're gonna lay these out when we come back.
[00:03:09.757 --> 00:03:10.457]  I'm gonna get to it now.
[00:03:12.258 --> 00:03:16.240]  There's one of three things going on here.
[00:03:18.101 --> 00:03:18.722]  One of three things.
[00:03:20.002 --> 00:03:20.743]  Either the president,
[00:03:22.110 --> 00:03:26.192]  He is truly a troglodyte and doesn't understand what's going on in his administration, like they say.
[00:03:30.894 --> 00:03:34.276]  Or he's working for the bad guys and knows full well what's happening.
[00:03:37.637 --> 00:03:45.801]  Or he believes that he's got to head off other big problems first before he addresses this for some reason that escapes me.
[00:03:47.822 --> 00:03:50.263]  But I'm not going to issue an ultimatum to the President.
[00:03:51.345 --> 00:03:54.287]  The president has already issued an ultimatum to himself.
[00:03:57.308 --> 00:04:02.311]  And so there's that line from a rock song, I forget who said it, but how can we sleep while our beds are burning?
[00:04:03.532 --> 00:04:05.373]  I mean, that's really what's going on here.
[00:04:05.433 --> 00:04:11.056]  So let me direct all TV viewers and radio listeners and the simulcast to DrudgeReport.com.
[00:04:11.076 --> 00:04:12.137]  We'll put that on screen, please.
[00:04:13.017 --> 00:04:16.319]  And right in the middle column,
[00:04:20.953 --> 00:04:23.314]  Right there in the middle column.
[00:04:23.614 --> 00:04:24.774]  Third article down.
[00:04:26.335 --> 00:04:27.275]  Fourth article down.
[00:04:27.815 --> 00:04:32.217]  New FCC bid to get drudge.
[00:04:32.237 --> 00:04:33.457]  They actually say get drudge.
[00:04:33.837 --> 00:04:37.839]  And that ties to the article linked below it from InfoWars.com.
[00:04:38.519 --> 00:04:46.321]  Update Pentagon to fight... Go back to stretch, please.
[00:04:47.042 --> 00:04:48.002]  Pentagon to...
[00:04:49.766 --> 00:04:50.086]  Fight.
[00:04:51.987 --> 00:04:53.908]  Viral internet content, close quote.
[00:04:54.529 --> 00:04:57.230]  So I'm gonna explain exactly why this is so huge when we come back.
[00:04:57.750 --> 00:04:58.431]  Please stay with us.
[00:05:04.150 --> 00:05:10.175]  With the daily wear and tear of the environment on our skin, it's only natural that it starts to crack and take damage.
[00:05:10.676 --> 00:05:16.721]  Wind, heat, water, and age are telltale signs that it's time to start taking care of your skin.
[00:05:17.422 --> 00:05:24.848]  With the InfoWars Super Silver Cream, you can keep your skin feeling silky smooth and begin to heal the damages of the world around you.
[00:05:25.509 --> 00:05:39.480]  Created with ingredients like coconut oil, vitamin E, and the incredible Silver Sol formula, Info Whore Silver Cream works triple duty, supporting the beautifying and protecting of the skin in a fast, non-greasy formula.
[00:05:39.600 --> 00:05:47.347]  Small and easily stored, it can support dry and damaged skin to reduce fine lines and wrinkles, while smoothing and softening calluses.
[00:05:47.567 --> 00:05:50.229]  With none of the harmful ingredients found in other formulas,
[00:05:50.589 --> 00:05:54.816]  You can be sure this silver cream is hard at work, promoting the healing of your skin.
[00:05:55.077 --> 00:05:58.743]  Don't miss out on the new Silversol Powered Can't-Miss Formula.
[00:05:59.104 --> 00:06:02.469]  Get the Info Wars Super Silver Cream today!
[00:06:10.263 --> 00:06:12.304]  Devastating globalist lies.
[00:06:12.884 --> 00:06:16.506]  Exposing the mainstream media's propaganda machine.
[00:06:17.226 --> 00:06:19.927]  Tirelessly waging war on corruption.
[00:06:20.387 --> 00:06:24.189]  From deep in the heart of FEMA Region 6 in Austin, Texas.
[00:06:24.749 --> 00:06:26.470]  Transmitting worldwide.
[00:06:27.010 --> 00:06:28.351]  It's Alex Jones.
[00:06:29.171 --> 00:06:33.253]  If you are receiving this transmission, you are the resistance.
[00:06:35.774 --> 00:06:36.694]  We see the urn.
[00:06:36.894 --> 00:06:38.415]  We've got it.
[00:06:48.712 --> 00:06:57.846]  I'm your host Alex Jones and this is going to be a very important broadcast like they all are, but this one I particularly prepared for.
[00:06:59.013 --> 00:07:07.955]  And all of this news and information before me, before you, ties together to a very clear picture of where the planet and our species is right now.
[00:07:08.715 --> 00:07:24.298]  And it's my main goal to have a discussion about our species, about our past, about our present, about our future, and to try to get you involved in caring about your own destiny and wanting to affect the larger battle space of the future human destiny or the great mission.
[00:07:25.238 --> 00:07:25.378]  Now,
[00:07:26.474 --> 00:07:37.758]  Let me begin up front that if we don't have free speech, if we don't have First Amendment, if we can be penalized and persecuted for what we say, then we are living in a true authoritarian regime.
[00:07:38.958 --> 00:07:53.042]  And if you look at reports from Discovery Channel, CNN, MSNBC, from even five, six years ago, they were critical of things in China and North Korea and other areas calling it authoritarianism, calling it oppression, calling it lies.
[00:07:54.023 --> 00:07:54.423]  But now,
[00:07:55.683 --> 00:08:03.586]  You tune in, and they're promoting persecution, violence against nationalists, against conservatives, against Christians, and others.
[00:08:03.646 --> 00:08:07.288]  They have converted to pure authoritarianism, and we know that.
[00:08:08.928 --> 00:08:09.669]  And we know why.
[00:08:09.769 --> 00:08:24.975]  They're working for a large international cartel of large corporations and banks, allied with the Communist Chinese and the EU, along with Hollywood that they own, dominating and controlling the Western world, sucking out our treasure, our energy,
[00:08:26.317 --> 00:08:33.760]  And transferring it to their globalist breakaway civilization, a new feudalist system separate from the general population.
[00:08:35.020 --> 00:08:36.261]  Now that basic statement complete.
[00:08:37.161 --> 00:08:46.185]  I am now going to address the President directly and I have no doubt this will end up getting in front of the President or he will be briefed on it because I know he's requested that.
[00:08:46.685 --> 00:08:54.848]  Let me also direct all TV and radio listeners to DrudgeReport.com, four stories down in the middle column.
[00:08:55.782 --> 00:08:59.743]  But just as important as the fourth story down in the middle column is the story above it.
[00:09:00.724 --> 00:09:03.145]  The FCC is holding a symposium.
[00:09:04.405 --> 00:09:21.511]  The goal of it is directly to censor the internet and to put artificial intelligence in charge of it and to end free speech as we know it.
[00:09:22.011 --> 00:09:23.252]  They specifically say
[00:09:25.080 --> 00:09:26.841]  That drudge is the target.
[00:09:31.303 --> 00:09:32.303]  Now, think about that.
[00:09:32.403 --> 00:09:39.987]  They are specifically saying that there is a new bid to, quote, get drudge.
[00:09:41.447 --> 00:09:43.508]  They don't even hide it.
[00:09:44.529 --> 00:09:47.270]  Of course, I'm mentioned as well.
[00:09:48.311 --> 00:09:48.871]  Why is that?
[00:09:50.232 --> 00:09:53.253]  Because if what we're saying gets out, it's over for them.
[00:09:54.502 --> 00:09:56.023]  That's why they've got to misrepresent us.
[00:09:56.624 --> 00:09:57.805]  It's why they've got to lie about us.
[00:09:57.925 --> 00:09:59.065]  We're just loyal Americans.
[00:09:59.406 --> 00:10:01.868]  This broadcast, our listeners, it's what we do.
[00:10:03.309 --> 00:10:05.310]  Now, DrudgeReport.com is linked.
[00:10:05.690 --> 00:10:07.412]  This is a participation sport.
[00:10:07.512 --> 00:10:08.833]  We're not spectators here.
[00:10:08.853 --> 00:10:10.254]  You're in the arena, ladies and gentlemen.
[00:10:11.255 --> 00:10:16.118]  In the article, Pentagon launches new program to fight viral internet content.
[00:10:16.158 --> 00:10:16.919]  They say viral.
[00:10:18.760 --> 00:10:22.143]  See, the establishment's just mad at anything they don't control.
[00:10:24.198 --> 00:10:32.324]  It's not Russian, it's not racist, it's dangerous to the establishment and they want it shut down.
[00:10:32.444 --> 00:10:35.126]  And the two articles go together like a horse and carriage.
[00:10:35.967 --> 00:10:38.549]  That's why they're right next to each other on DrugsReport.com.
[00:10:39.509 --> 00:10:42.111]  And so what I'm going to do is, I'm going to start at next segment.
[00:10:44.213 --> 00:10:45.334]  My direct message
[00:10:47.145 --> 00:10:57.811]  To the President and everybody else, but just let me make this announcement before I plunge into all the admissions, all the quotes, all the statements from them in press releases.
[00:10:58.431 --> 00:11:15.000]  The neocons and the Democrats openly have a foundation that takes money from 20 foreign countries that then is given CIA and Defense Department money, $2 billion, when Obama left.
[00:11:15.400 --> 00:11:16.321]  Most of it's already run out.
[00:11:17.998 --> 00:11:22.540]  To pay journalists to lie about yours truly and President Trump.
[00:11:22.760 --> 00:11:24.521]  Now, by the way, this is all admitted.
[00:11:24.621 --> 00:11:28.723]  I'm going to show you when their own statements in congressional hearings.
[00:11:29.723 --> 00:11:30.523]  Like, this is incredible.
[00:11:31.164 --> 00:11:39.087]  Yeah, out of one side of their mouth, they go on the national news and say, no one's censoring any nationalists or conservatives or Christians or gun owners or veterans groups.
[00:11:39.727 --> 00:11:42.468]  Then out of the other side of their mouth, they have dozens of hearings.
[00:11:42.488 --> 00:11:43.389]  We've played you the clips here.
[00:11:44.887 --> 00:11:50.451]  And the head of YouTube, you know, on a stage saying, yeah, everybody wanted us to ban Alex Jones, so we banned him.
[00:11:52.453 --> 00:11:59.158]  But they go before Congress in one hearing and say to the Republicans, we've never censored anybody, we've never fixed a search result, we've never done anything.
[00:11:59.518 --> 00:12:00.659]  We've never breathed oxygen.
[00:12:02.560 --> 00:12:10.846]  Then they go into the intelligence and the armed services committees and they openly talk about how with foreign governments,
[00:12:12.412 --> 00:12:15.615]  20 governments at least have ganged up on the American people.
[00:12:16.376 --> 00:12:16.937]  The Germans.
[00:12:18.298 --> 00:12:18.778]  The British.
[00:12:19.859 --> 00:12:20.780]  The Swedish government.
[00:12:21.841 --> 00:12:23.082]  The Saudi Arabian government.
[00:12:23.342 --> 00:12:25.965]  I'm going to read you from their own documents.
[00:12:27.106 --> 00:12:30.268]  So you talk about foreign collusion, you talk about election meddling.
[00:12:31.630 --> 00:12:37.315]  And so there's President Trump talking about Google censorship and Facebook censorship?
[00:12:37.635 --> 00:12:38.636]  It's beyond that.
[00:12:40.345 --> 00:13:00.056]  And they say in the quotes in congressional testimony that we're going to read to you, and find the videos as well, we've played them, that anything that is not establishment talking points, these are quotes, or anything not approved by these committees will not be allowed on air.
[00:13:00.437 --> 00:13:09.322]  And then they've got other quotes here that are just so astounding, they make my head spin, but we're going to go over
[00:13:11.275 --> 00:13:23.641]  All of this, where they have quotes in here, where they say the CIA and the Atlantic Council's main mission is to prevent the foment of discord.
[00:13:25.082 --> 00:13:26.342]  That's Rolling Stone, by the way.
[00:13:27.963 --> 00:13:29.604]  Quoting that from the congressional testimony.
[00:13:31.885 --> 00:13:35.046]  Now, you understand, that's saying anything they think can upset somebody.
[00:13:35.427 --> 00:13:39.188]  Like, hey, Beto O'Rourke said he's coming for your guns, he will confiscate all semiautos.
[00:13:39.469 --> 00:13:40.209]  Oh, that's fomenting.
[00:13:41.636 --> 00:13:44.397]  Hey, Hillary fell down in New York City, had a convulsion.
[00:13:44.477 --> 00:13:45.137]  Alex Jones is right.
[00:13:45.397 --> 00:13:46.197]  Oh, that's fomenting!
[00:13:47.738 --> 00:13:56.320]  Telling somebody, hey, we got delicious cheeseburgers and ice-cold Coca-Colas on sale for $2 over here at the local restaurant, that's fomenting.
[00:13:57.781 --> 00:13:59.761]  And you read it, and who do they say?
[00:14:00.222 --> 00:14:01.542]  Matt Grudge, Alex Jones.
[00:14:02.242 --> 00:14:04.483]  So cryptic, so evil, so disgusting.
[00:14:05.749 --> 00:14:13.875]  And that's because Drudge is the biggest thing out there, other than any other news outlet, directing raw traffic, and then in full force talks to the grassroots of the nation.
[00:14:14.775 --> 00:14:27.084]  And because we're loyal Americans that are also loyal to our own common sense and free market and want to live in a quasi-free country, we must be silenced because you can't buy me, and you can obviously see you can't buy Drudge.
[00:14:28.485 --> 00:14:29.526]  You can't buy Tucker Carlson.
[00:14:30.106 --> 00:14:31.207]  I know the inside baseball on that.
[00:14:31.227 --> 00:14:32.448]  They threatened to fire him, you name it.
[00:14:32.668 --> 00:14:33.709]  He won't shut up or back down.
[00:14:34.585 --> 00:14:35.405]  Same thing with Sean Hannity.
[00:14:36.606 --> 00:14:40.366]  You may disagree with this on a point or two, but we're not backing down.
[00:14:40.426 --> 00:14:41.327]  We're not selling out.
[00:14:43.107 --> 00:14:44.327]  But I gotta ask the President something.
[00:14:44.567 --> 00:14:59.371]  Do you know that there's $2 billion in government right now, and 20 foreign governments funding to make sure you lose the election, and Google's on record admitting it, and they're meeting with the FCC to do it, and threatening the families of the conservative members of the FCC?
[00:15:00.531 --> 00:15:02.572]  I know people on the FCC.
[00:15:04.232 --> 00:15:06.173]  Oh yeah, I know FCC board members.
[00:15:08.074 --> 00:15:09.816]  Yeah, I've had hour-long discussions.
[00:15:11.257 --> 00:15:12.257]  Oh, you didn't know that, did you?
[00:15:13.118 --> 00:15:14.298]  Yeah, in the last two years.
[00:15:15.079 --> 00:15:15.239]  Yeah.
[00:15:16.480 --> 00:15:18.061]  Their children get death-threatened at work.
[00:15:19.542 --> 00:15:19.962]  At school.
[00:15:21.543 --> 00:15:22.644]  Yeah, it's serious.
[00:15:24.181 --> 00:15:25.442]  Oh, you saw what happened to Scalise.
[00:15:25.802 --> 00:15:28.924]  Gotta happen to your kids, you don't get in line and help us get rid of Trump.
[00:15:29.244 --> 00:15:36.189]  So you wonder why Trump's doing so much good and proving he's the real deal, but he can't get Washington to do one-tenth of what he wants.
[00:15:36.469 --> 00:15:39.031]  It's because they're threatening to kill everybody.
[00:15:39.051 --> 00:15:41.333]  You understand now?
[00:15:42.534 --> 00:15:47.257]  Now, if you want to live under something like that, and you want to buckle and get bullied, it's only going to get worse.
[00:15:48.544 --> 00:15:49.625]  I know what to do to a bully!
[00:15:50.405 --> 00:15:53.567]  I'm gonna jump on top of them politically and I'm gonna grab them by the ears.
[00:15:54.068 --> 00:15:57.470]  And I'm gonna ram their head in the concrete till blood comes out of their eyes.
[00:15:57.690 --> 00:15:59.011]  Politically, non-violently.
[00:16:00.332 --> 00:16:01.533]  They wanna try to intimidate me?
[00:16:02.597 --> 00:16:03.377]  Attention GCN!
[00:16:21.563 --> 00:16:29.048]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[00:16:29.608 --> 00:16:45.618]  We have Dan Lyman covering InfoWars Europe, Paul Joseph Watson in the UK, Millie Weaver and Caitlin Bennett in the American heartland, and from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[00:16:46.138 --> 00:16:49.780]  We are not done winning, and with your support, we will keep winning.
[00:16:49.860 --> 00:16:50.981]  We have to keep winning!
[00:16:51.281 --> 00:16:52.623]  We have to win more!
[00:16:52.723 --> 00:16:55.065]  Go to InfoWarStore.com.
[00:16:55.105 --> 00:17:03.235]  You have gone to InfoWarStore.com and gotten books and films, supplements and t-shirts, and water filtration, air filtration, and things you need!
[00:17:09.685 --> 00:17:13.027]  We have to collectively, in essence, burn down the Republican Party.
[00:17:13.767 --> 00:17:20.811]  We have to level them because if there are survivors, if there are people who weather this storm, they will do it again.
[00:17:20.911 --> 00:17:24.974]  Jennifer Rubin, a senior writer at the Washington Post, said that if
[00:17:25.834 --> 00:17:31.156]  Conservatives and Trump supporters can weather the storm of lawsuits, harassment, death threats.
[00:17:31.236 --> 00:17:33.637]  We need to just physically burn them down.
[00:17:33.817 --> 00:17:35.717]  She says there must be no survivors.
[00:17:35.957 --> 00:17:37.338]  What do you think Infowars is?
[00:17:37.498 --> 00:17:38.718]  What do you think we're going through?
[00:17:38.818 --> 00:17:39.698]  You're the target, though.
[00:17:39.779 --> 00:17:42.319]  But I've dared to challenge their Queen Hillary.
[00:17:42.759 --> 00:17:44.820]  I dared to mobilize the population.
[00:17:45.180 --> 00:17:46.781]  You dared to mobilize the population.
[00:17:46.881 --> 00:17:47.621]  And we're here.
[00:17:47.741 --> 00:17:50.402]  And we have energized the core of the nation.
[00:17:50.442 --> 00:17:51.602]  Black, white, old, young.
[00:17:51.742 --> 00:17:53.683]  And people don't buy the propaganda anymore.
[00:17:53.823 --> 00:17:57.847]  I have so many people walk up to me and they say, you know, I didn't even used to be a fan of yours until I heard them lie about you.
[00:17:57.887 --> 00:18:01.029]  And I had to go hear what you were saying to find out why they were after you.
[00:18:01.050 --> 00:18:02.971]  And man, you've got an amazing broadcast.
[00:18:04.533 --> 00:18:06.434]  I'm shaking more hands than I've ever shook.
[00:18:07.836 --> 00:18:10.018]  I'm getting more support on the ground.
[00:18:10.998 --> 00:18:15.161]  But not financial, because it's only a core audience that actually buys the products.
[00:18:15.181 --> 00:18:23.008]  We're doing something very special, and I can tell you, this special is the very best special we've ever done, particularly with this type of sale.
[00:18:23.088 --> 00:18:24.909]  It's a type of sale we've never engaged in.
[00:18:25.069 --> 00:18:32.475]  But DNA Force Plus with PQQ, CoQ10, and everything else you need for your telomeres, your cells, energy, it's the base you need for everything.
[00:18:32.755 --> 00:18:34.797]  If you don't have this, no amount of energy drink's gonna help.
[00:18:35.057 --> 00:18:36.218]  It's the fount of it all.
[00:18:36.358 --> 00:18:40.582]  It's the very best, you name it, nootropic, antioxidant for your cells.
[00:18:40.702 --> 00:18:43.524]  It's just, and this has got a bunch of patented stuff you can make claims on.
[00:18:43.664 --> 00:18:45.146]  It's unbelievable.
[00:18:45.166 --> 00:18:45.726]  98% reviews.
[00:18:45.826 --> 00:18:46.647]  Demphorashore.com.
[00:18:46.667 --> 00:18:47.368]  Let me go further.
[00:18:47.488 --> 00:18:49.830]  Super Mel Vitality is our second bestseller.
[00:18:50.030 --> 00:18:52.852]  I don't need to sit there and tell you how great it is.
[00:18:52.952 --> 00:18:58.077]  Cold pressed herbs, wild harvested, so that they keep their psycho active.
[00:18:58.157 --> 00:18:59.358]  I mean, it's for the brain, everything.
[00:18:59.458 --> 00:19:00.619]  Libido, energy, stamina.
[00:19:00.759 --> 00:19:02.641]  Carnivore Digestive Enzymes.
[00:19:04.013 --> 00:19:08.895]  This is a product that's been popular with people that know what they're doing, but overall, not a popular product.
[00:19:09.275 --> 00:19:11.736]  I'm not going to get into what these expensive enzymes do.
[00:19:11.856 --> 00:19:15.117]  They don't just help you break down fat or break down protein in the gut.
[00:19:15.237 --> 00:19:16.557]  It does it in the intestines.
[00:19:16.617 --> 00:19:21.579]  If you want to flush out the meat you've been eating and you want to really get healthy, this is amazing.
[00:19:21.639 --> 00:19:22.379]  It's next level.
[00:19:22.479 --> 00:19:23.520]  And so guess what I'm doing?
[00:19:23.740 --> 00:19:26.401]  We are going to give it to you free.
[00:19:26.641 --> 00:19:29.462]  This is the biggest sale of these two items we've ever done.
[00:19:29.622 --> 00:19:32.763]  You get a free bottle of Carnivore with DNA Force, the 90 count one.
[00:19:33.103 --> 00:19:36.286]  And with Super Mel Vitality, you get a free bottle of the 30-count Carnivore.
[00:19:36.446 --> 00:19:43.973]  Carnivore literally is incredible, so get those today at InfoWarsStore.com or call toll-free, 888-253-3139.
[00:19:44.093 --> 00:19:49.177]  We're giving it to you free at InfoWarsStore.com or InfoWarsLife.com.
[00:19:49.398 --> 00:19:55.863]  Take advantage of those two specials on Super Mel Vitality and DNA Force Plus at InfoWarsLife.com.
[00:19:56.124 --> 00:19:57.085]  Without you, we won't be here.
[00:19:57.145 --> 00:19:58.306]  With you, we will prevail.
[00:20:05.413 --> 00:20:09.516]  Leading a frontal assault on the lies of the New World Order.
[00:20:10.036 --> 00:20:11.357]  It's Alex Jones.
[00:20:26.507 --> 00:20:34.672]  Welcome back to the most censored, demonized, lied about show in the world, for good reason.
[00:20:36.806 --> 00:20:42.428]  We do our research, we take action, we mobilize humanity, and we win, ladies and gentlemen.
[00:20:43.909 --> 00:20:51.512]  We know that we can defeat tyranny if good men and women get informed and take action.
[00:20:51.792 --> 00:20:52.793]  And we're doing it now.
[00:20:55.274 --> 00:20:57.154]  All right, let's get right into it, ladies and gentlemen.
[00:20:58.555 --> 00:21:02.997]  Sure, we all know that there's massive censorship against conservatives and against
[00:21:04.082 --> 00:21:11.226]  Nationalists and against patriots and against people that just want to be sovereign and run their own lives and that love America.
[00:21:12.086 --> 00:21:18.950]  We know that the American system threatens the globalist system that has been manifest in Communist China.
[00:21:19.090 --> 00:21:21.251]  That's what they'd like to do here and it's what they are setting up here.
[00:21:21.271 --> 00:21:23.893]  The global social score system where
[00:21:25.129 --> 00:21:38.118]  Now they're in Yahoo and Bloomberg Finance going, well it's true, all the big tech heads for a decade have been in a race to listen and record everything you do and they've all got big data banks of what you said, so you better watch your mouth.
[00:21:40.820 --> 00:21:50.888]  And Facebook came out three months ago and they said don't use Alex Jones's name and they said, we'll ban you off Facebook for anything you said in the past and watch out
[00:21:51.806 --> 00:21:53.608]  We've got blackmail on all of America.
[00:21:53.808 --> 00:21:54.469]  They actually said that.
[00:21:54.709 --> 00:21:55.169]  Go look it up.
[00:21:57.551 --> 00:21:59.954]  And Facebook came out today and said what YouTube said.
[00:22:00.394 --> 00:22:02.636]  We're experimenting with getting rid of the likes.
[00:22:04.178 --> 00:22:13.807]  Because, you know, when Obama gives a speech now, maybe a thousand people watch it on YouTube, even though they put it on the front, and it'll get thousands of dislikes to maybe five likes.
[00:22:15.154 --> 00:22:19.697]  Same thing when they put up all this anti-American, anti-God, anti-family stuff on Netflix.
[00:22:20.878 --> 00:22:25.801]  They'll get half a star out of five stars for all these sick shows.
[00:22:26.161 --> 00:22:28.963]  And so they go, oh, we're just getting rid of stars on those shows.
[00:22:29.783 --> 00:22:33.946]  So see, they're censoring it down to the level of consumer groups.
[00:22:35.365 --> 00:22:45.473]  Now are being shut down on Facebook and Twitter because they allow people to vote on whether they like to deodorant or a hairdryer or a drug they took.
[00:22:46.774 --> 00:22:55.100]  We can't have you say your daughter took a Gardasil shot and died or took a Gardasil shot and got cancer or had a convulsion.
[00:22:56.394 --> 00:22:58.135]  They're silencing everyone.
[00:22:58.815 --> 00:23:07.718]  They brought the web in, made it all where we could vote on things, share what we liked, it was open, it was free to a great extent, and now they're pulling the rug out from under us.
[00:23:07.938 --> 00:23:08.998]  They got us addicted.
[00:23:09.819 --> 00:23:19.122]  When they invented the concept of the Internet in 1962, it's called the Intergalactic Communications System.
[00:23:20.660 --> 00:23:22.941]  Wasn't built by DARPA to survive a nuclear war.
[00:23:22.981 --> 00:23:24.481]  That was propaganda later put out.
[00:23:25.041 --> 00:23:46.748]  The mainline history is it was designed, the idea, by a psychiatrist working with DARPA who wanted to track propaganda and how it affected you to then try to harness mass movements and be able to predict the future once everyone had a handheld computer that they believed you would then go interface with terminals for downloads and uploads.
[00:23:46.808 --> 00:23:47.828]  Now they just do it wireless.
[00:23:49.349 --> 00:23:52.430]  I can show you 1970s and 80s TV shows about it.
[00:23:54.291 --> 00:23:57.432]  PBS programs with futurists about how they planned it in the 60s.
[00:23:58.032 --> 00:24:00.993]  It's designed to enslave you from the beginning.
[00:24:02.874 --> 00:24:09.457]  Now, we took it away from them to a great extent, so now they're accelerating their original plan that wasn't supposed to be here for another 10 years.
[00:24:11.117 --> 00:24:12.458]  But they're going for it all now.
[00:24:12.538 --> 00:24:13.918]  It's all over the news.
[00:24:16.508 --> 00:24:38.459]  Samsung and Apple and Sharp and Google and Twitter and Amazon and every major company, more than 50, are competing to listen and watch you and sell the data to big data-crunching firms and the National Security Agency.
[00:24:38.739 --> 00:24:40.140]  They could never get away with that.
[00:24:40.981 --> 00:24:52.407]  But if they got you to opt in to YouTube and Google and Alphabet and Facebook and Twitter and all the rest, then you don't read the 20-30 pages when it gives you a software update.
[00:24:52.948 --> 00:24:55.309]  It tells you they're watching and listening.
[00:24:56.670 --> 00:25:03.013]  But now, you see, they get you addicted first, and now Google and Amazon use smart speakers for surveillance.
[00:25:03.093 --> 00:25:05.915]  Top tech investor says, Yahoo!
[00:25:09.360 --> 00:25:09.960]  All over the place.
[00:25:10.341 --> 00:25:13.202]  This weekend, it was the top story starting Friday.
[00:25:13.502 --> 00:25:14.723]  It's time to tell you now.
[00:25:14.743 --> 00:25:19.045]  Remember InfoWars telling you 20 years ago?
[00:25:22.187 --> 00:25:24.868]  It was decided at that point that I was endangering infrastructure.
[00:25:26.669 --> 00:25:34.113]  And the Pentagon was sent to have a meeting with the local radio station, despite the fact that I had the number one ratings, and I was getting national news attention.
[00:25:34.693 --> 00:25:35.554]  They fired me.
[00:25:37.022 --> 00:25:40.784]  They gave me a few months, they said, no more talk about all these things.
[00:25:43.306 --> 00:25:50.150]  Like the microphone in the Scientific Atlantic cable box that the engineer came and broke open for me and showed me.
[00:25:54.452 --> 00:25:56.473]  With the blueprints saying microphone.
[00:26:00.096 --> 00:26:02.217]  Long before you're using voice print, you see.
[00:26:03.541 --> 00:26:04.442]  But see, that was back then.
[00:26:04.482 --> 00:26:05.302]  You weren't supposed to know.
[00:26:05.322 --> 00:26:07.244]  Oh, there'd never be a microphone or camera back then.
[00:26:07.264 --> 00:26:11.287]  But now, you've been slowly conditioned to accept it.
[00:26:11.307 --> 00:26:13.508]  So I've got hundreds of articles here I'm going to go over.
[00:26:13.528 --> 00:26:31.542]  But first, when we come back, I'm already starting to get into it, my direct message to the President himself, because just Google and Facebook are where 70 percent, I got the numbers, I'll show you, of where people in the United States get their news.
[00:26:32.766 --> 00:26:37.909]  70% get their news solely from Google and Facebook.
[00:26:39.470 --> 00:26:48.816]  Now Trump, who watches TV, still thinks the Internet's like some junior Bush league, you know, lowest level minor league.
[00:26:53.279 --> 00:26:53.679]  It's not.
[00:26:54.019 --> 00:26:54.760]  It's the big leagues.
[00:26:56.448 --> 00:27:00.070]  And it controls everything that the people can see and do.
[00:27:00.671 --> 00:27:02.492]  And then the fact that Trump hasn't acted.
[00:27:02.992 --> 00:27:08.696]  They're so arrogant now, they're blocking all these political people's Twitters and Facebooks, including the leader of the Senate.
[00:27:10.157 --> 00:27:13.479]  And Democrats that aren't establishment.
[00:27:16.320 --> 00:27:17.901]  Like the good Congresswoman from Hawaii.
[00:27:21.343 --> 00:27:22.244]  And still nothing's done.
[00:27:22.984 --> 00:27:24.485]  And so now the FCC
