[00:00:16.055 --> 00:00:18.077]  Hello, stupid Americans.
[00:05:26.892 --> 00:05:38.419]  Stories like a man who claims he's a woman at a CNN town hall last night getting up and saying anyone using the wrong pronoun on me is a physical assault.
[00:05:39.700 --> 00:05:49.506]  Well, that's a man dressed up like a woman coming after reality and coming after the First Amendment.
[00:05:50.146 --> 00:05:52.228]  I could care less if the person wants to dress up
[00:05:53.766 --> 00:05:54.387]  Like a woman.
[00:05:55.388 --> 00:05:57.870]  It looks like a person that's escaped out of a lunatic asylum.
[00:05:59.532 --> 00:06:00.253]  That's their issue.
[00:06:02.015 --> 00:06:04.677]  That's what this big open free society has created is a lot of decadence.
[00:06:05.939 --> 00:06:10.664]  But I don't hate that person because they're so cool and a big fat man can put a wig on.
[00:06:11.800 --> 00:06:20.346]  What I don't want is those big fat men forcing their way in to bounce little kids on their knees, pushed by the public schools and the leftist captured churches.
[00:06:21.047 --> 00:06:25.470]  Because if a man came in and said he wants to bounce your kid on their knee, you'd say, that guy's a pervert.
[00:06:26.651 --> 00:06:27.672]  That guy's a diddler.
[00:06:28.172 --> 00:06:29.654]  That guy's probably a convicted pedophile.
[00:06:29.674 --> 00:06:30.634]  A lot of them turn out to be.
[00:06:31.615 --> 00:06:37.760]  But when they wear a costume that's even more creepy, we go, oh, it's cultural enrichment.
[00:06:37.920 --> 00:06:40.422]  And the big corporations force feed it all to us.
[00:06:42.895 --> 00:06:48.957]  So while Trump was giving his big speech last night, that's the second best I've seen him give after his U.N.
[00:06:48.997 --> 00:06:53.018]  speech, and really the guy is quite the comedian.
[00:06:53.359 --> 00:06:55.879]  He's a very talented soul.
[00:06:59.641 --> 00:07:11.545]  While I was covering that live last night here on the feeds, on the satellite and internet feeds, at Infowars.com, Ford's live show, and Bandai Video with my sidekick, my co-host, my compadre,
[00:07:12.637 --> 00:07:13.277]  Bill Johnson.
[00:07:17.599 --> 00:07:19.140]  CNN was hosting its event.
[00:07:19.960 --> 00:07:23.481]  And so, I went back and watched the archive of it last night.
[00:07:24.622 --> 00:07:31.884]  While my children safely slept in a home in the final days of America.
[00:07:31.904 --> 00:07:38.127]  While their safety slips away like grains of sand through an hourglass.
[00:07:40.657 --> 00:07:55.883]  While the once great republic slouches and collapses like a mountain in a rock slide in the sea of insanity and degeneracy, I watched as much as I could bear an hour and a half of it.
[00:07:57.483 --> 00:08:06.807]  And it was like an Olympic sport to see what free goodies they could offer, how they could smile the candidates approvingly on to the throng of
[00:08:09.130 --> 00:08:14.655]  Mental midgets and soulless degenerates dancing to Satan's tune.
[00:08:21.242 --> 00:08:24.165]  Pat Buchanan has the article out from worldendaily.com.
[00:08:25.306 --> 00:08:28.629]  Is impeachment now inevitable?
[00:08:35.339 --> 00:08:38.901]  And you look at it and you say the first whistleblower's a hoax, the second whistleblower's a hoax.
[00:08:39.981 --> 00:08:41.122]  It's all hearsay garbage.
[00:08:41.162 --> 00:08:41.982]  We have the transcript.
[00:08:43.323 --> 00:08:45.044]  But then why do you smell blood in the wind?
[00:08:49.806 --> 00:08:51.327]  I'll tell you why we smell blood in the wind.
[00:08:52.228 --> 00:08:54.429]  It's because you can smell the piss in the wind.
[00:08:54.449 --> 00:08:59.011]  And you can see the piss running down the legs of the media.
[00:08:59.031 --> 00:09:02.493]  And the piss running down the legs of Congress.
[00:09:05.765 --> 00:09:06.465]  Because they're yellow.
[00:09:08.007 --> 00:09:16.432]  Because they were bought and bred and created and pushed and put into power because they have no power because they're yes men.
[00:09:18.674 --> 00:09:24.798]  And so now like a paper mache house built out of straw
[00:09:25.714 --> 00:09:41.168]  When the big bad wolf comes along, Communist China and the big cold-blooded megacorporations with their slave factories and their cloning facilities and the big evil future they already built with our ingenuity and our money that they're just getting ready to unveil for us.
[00:09:42.133 --> 00:09:43.694]  First, they gotta demoralize us.
[00:09:44.415 --> 00:09:51.320]  First, they gotta have convicted pedophiles have children ride horsey on their erect genitals through their pants.
[00:09:52.060 --> 00:09:54.963]  First, we gotta be told babies are being kept alive and harvested.
[00:09:55.503 --> 00:10:04.550]  First, we gotta have China, everybody line up and gesticulate and prostrate themselves before them like Mark Cuban and, oh no, China's good, don't even bring up
[00:10:08.058 --> 00:10:13.240]  Self-expression at a press conference where the NBA grabs the mic away from even CNN.
[00:10:15.801 --> 00:10:19.643]  Because this is the war on freedom of expression.
[00:10:19.683 --> 00:10:21.564]  The war on everything that comes from that.
[00:10:22.584 --> 00:10:27.066]  Your businesses, your children, your life, your religion, or the lack of your spirituality.
[00:10:27.106 --> 00:10:28.767]  It's all being taken.
[00:10:29.067 --> 00:10:31.708]  This is the big globalist offensive.
[00:10:33.390 --> 00:10:43.154]  And the system has gone around and harassed and threatened and put reporters and PIs and the IRS on everybody of any prominence that supports Trump.
[00:10:43.734 --> 00:10:47.876]  Even down to people that rent or buy condos from him.
[00:10:47.916 --> 00:10:49.297]  They've all gotten FBI visits.
[00:10:51.478 --> 00:10:59.001]  And now the system looks at this big rotting facade and Trump's there with confidence trying to prop it up, but that's not enough.
[00:11:01.636 --> 00:11:09.342]  And they decide that they can huff, and they can puff, and they can blow our house down.
[00:11:10.423 --> 00:11:18.448]  In fact, this house of straw, the wolf doesn't even need to open the door, or come down the chimney, or blow it down.
[00:11:19.910 --> 00:11:29.617]  Because if the three little pigs were inside and they had any baby piglets, they would go out and feed the wolf those piglets.
[00:11:30.768 --> 00:11:35.449]  And say, eat our babies, just so you eat us later.
[00:11:37.110 --> 00:11:39.031]  Heck, the wolf even lets them pretend they're wolves.
[00:11:39.071 --> 00:11:41.972]  They kind of dress up in wolves outfits and kind of pull up.
[00:11:42.012 --> 00:11:46.173]  He doesn't give them any of the flesh, but if he's full, he takes a dump.
[00:11:46.853 --> 00:11:48.854]  Seriously, he tells the pigs, you can eat that.
[00:11:48.914 --> 00:11:50.374]  And they do, they pretend they're wolves.
[00:11:51.174 --> 00:11:52.475]  And they lick the wolf's ass.
[00:11:54.048 --> 00:11:56.309]  And then they go, and the wolf says, hey, have some more babies for me.
[00:11:56.349 --> 00:11:57.389]  I want to eat those.
[00:11:57.869 --> 00:11:58.970]  And they say, yes, boss.
[00:11:59.710 --> 00:12:08.893]  Because you see, they figured out the one way they're going to get to live is if they just keep having those babies for the wolf.
[00:12:08.933 --> 00:12:14.255]  But see, the wolf figured out how to make babies without a mommy and a daddy.
[00:12:15.424 --> 00:12:20.207]  And see, those pigs might get up and he's somewhere down the line, so let's just get rid of them all together.
[00:12:21.007 --> 00:12:23.589]  And that's the robots, that's the computers, that's the AI.
[00:12:24.329 --> 00:12:26.790]  So the pig's sitting there, thinking he's a wolf.
[00:12:27.371 --> 00:12:29.692]  And the wolf's sitting there, picking his teeth with a toothpick.
[00:12:29.712 --> 00:12:32.174]  And he says, you know what?
[00:12:33.654 --> 00:12:35.315]  I really hate your guts, pig.
[00:12:35.635 --> 00:12:36.976]  You sold out your own kind.
[00:12:37.657 --> 00:12:42.239]  When I'm done with all of them, I'm gonna slowly tear you inside out.
[00:12:42.279 --> 00:12:43.260]  How's that sound there?
[00:12:45.339 --> 00:12:47.961]  Because this is all about conquering you little pigs.
[00:12:48.101 --> 00:12:56.088]  And you know, the truth is, if you were wild boars, wolves run from wild boars because wild boars are in packs.
[00:12:57.869 --> 00:13:04.054]  And if the pigs ever act like boars, it'd be over for the wolves real quick.
[00:13:04.074 --> 00:13:07.857]  But see, people think having yellow bellies gets them ahead.
[00:13:08.237 --> 00:13:08.858]  And you know what?
[00:13:09.438 --> 00:13:12.301]  When there's not enough men to stand up, I guess it's true.
[00:13:12.501 --> 00:13:13.322]  Be a yellow belly.
[00:13:14.093 --> 00:13:16.254]  Pretend you're a wolf when you know you're not.
[00:13:17.815 --> 00:13:24.578]  But see, some of us are going to be not sheep, not pigs, not wolves, but sheepdogs.
[00:13:25.278 --> 00:13:26.298]  And we like a good fight.
[00:13:27.679 --> 00:13:29.160]  And in the end, we're going to win.
[00:13:30.020 --> 00:13:34.042]  But I just want all of you out there thinking that you're safe.
[00:13:35.482 --> 00:13:40.565]  Kissing that wolf's stinking ass to know you're damn fools.
[00:13:41.525 --> 00:13:43.426]  Got a big broadcast lined up if you want to stay with us.
[00:13:45.799 --> 00:13:51.600]  So here's what's going down on this Friday broadcast, 11th day of October 2019.
[00:13:52.320 --> 00:13:54.601]  I had several guests lined up.
[00:13:54.841 --> 00:13:57.341]  I have cancelled those guests.
[00:13:57.802 --> 00:14:00.022]  They'll probably come on the Sunday show, 4 to 6 p.m.
[00:14:00.882 --> 00:14:01.562]  They're able to come on.
[00:14:03.003 --> 00:14:07.064]  Because I want to really carve out some major time to take calls.
[00:14:09.104 --> 00:14:13.425]  So I will take calls in the
[00:14:15.565 --> 00:14:17.707]  2nd 3rd and 4th hour today.
[00:14:17.727 --> 00:14:19.048]  I'm going to host the 4th hour today.
[00:14:19.068 --> 00:14:24.072]  I don't think baggage was ready to host, but I told him to take off today.
[00:14:24.873 --> 00:14:25.694]  Usually host Fridays.
[00:14:26.214 --> 00:14:27.115]  4th hour does a great job.
[00:14:27.996 --> 00:14:35.242]  Because I need some time to take your phone calls and really go through everything and to try to be as calm and focused as I can be in.
[00:14:37.183 --> 00:14:37.664]  Layout.
[00:14:39.616 --> 00:14:49.222]  Really the lay of the land here from my perspective and I can see for miles and miles and miles and miles and I know you can see for miles and miles as well.
[00:14:49.862 --> 00:14:51.603]  That's why everybody's been so upset.
[00:14:55.425 --> 00:15:07.833]  That's why everybody's been so concerned because our worst analysis, our worst case scenarios about exactly what we're dealing with
[00:15:08.854 --> 00:15:13.157]  With the entity running the left worldwide has been confirmed.
[00:15:14.378 --> 00:15:31.252]  We're getting real close to total world government, cashless societies, wires in your head to buy and sell, the state taking your children away, if you even decide to have them, and doing really terrible things to them and bringing them towards darkness and handing them over to the spider.
[00:15:33.293 --> 00:15:36.036]  And watching your children get psychically eaten
[00:15:37.377 --> 00:15:43.438]  And watching other people's children be destroyed, why, you can really feel it, can't you?
[00:15:43.498 --> 00:15:44.278]  And you can see it.
[00:15:46.759 --> 00:15:57.201]  And you can feel God's anger mounting, and at a sick level, you kind of want to see God's judgment.
[00:15:57.241 --> 00:15:59.561]  Remember, vengeance is mine, sayeth the Lord.
[00:16:02.122 --> 00:16:02.442]  And so,
[00:16:05.913 --> 00:16:12.915]  When you watch those turned over to evil, and you see how soulless they are, you ask yourself, how could they be so deceived?
[00:16:12.935 --> 00:16:14.635]  Well, they're given over to great delusion.
[00:16:17.016 --> 00:16:22.558]  They've decided to harden their hearts, they've decided to turn themselves over, and so they have become soulless slaves.
[00:16:23.998 --> 00:16:26.279]  It's the ultimate sin to turn down the Holy Ghost.
[00:16:27.079 --> 00:16:30.340]  It's the ultimate sin to know the truth and to have God touch your heart and to turn it down.
[00:16:32.045 --> 00:16:33.786]  Everything else evil flows out of that.
[00:16:34.206 --> 00:16:37.087]  So there are many people that have already lost their souls.
[00:16:37.708 --> 00:16:39.228]  They had free will, they had souls.
[00:16:39.969 --> 00:16:41.449]  They decided to give them over.
[00:16:41.529 --> 00:16:48.032]  And so you wonder why they look so terrible, why they act so terrible, why they do things that are against their own self-interest.
[00:16:48.132 --> 00:16:53.194]  It's because the lights are home, but nobody's home.
[00:16:56.456 --> 00:16:58.877]  You know the Clint Black song?
[00:17:00.678 --> 00:17:00.898]  Still.
[00:17:02.182 --> 00:17:13.828]  Take a shower, brush your teeth, put your clothes on, strap a timepiece on your arm, get in the truck, drive down the road, but the lights are on, but nobody's home.
[00:17:15.629 --> 00:17:16.910]  But see, that's not quite right.
[00:17:18.931 --> 00:17:23.874]  Lights are on, but somebody else is home.
[00:17:28.276 --> 00:17:29.677]  And just exactly who is that?
[00:17:31.348 --> 00:17:33.309]  Just exactly what is that?
[00:17:33.329 --> 00:17:38.011]  It's a transmission.
[00:17:41.352 --> 00:17:45.114]  In fact, most of these people you call possessed, it's not even an entity.
[00:17:45.134 --> 00:17:46.835]  I've been studying it very closely.
[00:17:46.895 --> 00:17:49.496]  Most of them, it's actually a transmission.
[00:17:52.756 --> 00:17:56.398]  That's why you can go from one block to another block in places like Seattle and San Francisco.
[00:17:56.418 --> 00:17:56.899]  I've seen it.
[00:17:57.339 --> 00:17:59.700]  And the first time I saw it, I was like, step back and stumble.
[00:17:59.720 --> 00:18:00.461]  I went, what?
[00:18:00.781 --> 00:18:01.701]  I saw that in the Matrix.
[00:18:01.721 --> 00:18:02.522]  I didn't know that was real.
[00:18:03.102 --> 00:18:07.585]  Ragent Smith jumping from person to person, going after Neo and Morpheus.
[00:18:09.766 --> 00:18:12.048]  Jumps in a cop, jumps in a woman, jumps in a cab driver.
[00:18:12.068 --> 00:18:14.509]  No matter where he goes, he just jumps in another person.
[00:18:14.529 --> 00:18:16.630]  You know, there's a maid cleaning, jumps into them.
[00:18:17.791 --> 00:18:18.912]  They can just shove aside
[00:18:21.049 --> 00:18:25.072]  The consciousness is there because it's turned itself over and it just jumps, jumps, jumps.
[00:18:26.013 --> 00:18:28.015]  I was in Seattle.
[00:18:28.495 --> 00:18:29.476]  You saw a lot of it on tape.
[00:18:29.496 --> 00:18:30.697]  We were doing live feeds down there.
[00:18:30.717 --> 00:18:33.159]  People were throwing coffee on me, screaming at me, yelling at me.
[00:18:33.559 --> 00:18:37.182]  And I'd go around one block and somebody talked to me like a demon.
[00:18:37.403 --> 00:18:40.365]  And then I'd walk around another block and they'd go, yeah, I saw you over there.
[00:18:40.385 --> 00:18:40.765]  Yeah.
[00:18:40.845 --> 00:18:41.106]  Yep.
[00:18:41.166 --> 00:18:41.346]  Yep.
[00:18:41.426 --> 00:18:41.706]  It's me.
[00:18:41.726 --> 00:18:42.307]  I'm going to get you.
[00:18:42.327 --> 00:18:45.529]  I mean, and you're like, whoa, like, what is that?
[00:18:45.629 --> 00:18:47.171]  It's just a transmission.
[00:18:48.186 --> 00:18:53.710]  And if you can figure it out, where it's coming from or how to block it, you'd save the planet.
[00:18:54.270 --> 00:18:59.694]  But see, we're conscious creatures, so we already know how to turn it off.
[00:19:00.335 --> 00:19:08.200]  You have to say, you refuse it, you reject it, you denounce it, you want it out of your life, and then you've got to ask the other transmission in.
[00:19:09.181 --> 00:19:11.383]  Just like everything in the world, like wireless computers and
[00:19:12.557 --> 00:19:17.999]  Birds wirelessly communicating and following the magnetic lines of the Earth and the space winds and the bees do it.
[00:19:18.339 --> 00:19:23.901]  We're all interfacing as transceivers at every level, scientifically what we can prove.
[00:19:23.921 --> 00:19:29.083]  And then of course, unscientifically just means the areas we haven't broken into yet and we don't understand.
[00:19:29.483 --> 00:19:38.927]  And all the spectrometers and radio telescopes and mathematics now show there is all these other dimensions around us that are more powerful, holding us artificially in place.
[00:19:39.647 --> 00:19:41.348]  So now you don't really have atheists anymore.
[00:19:42.185 --> 00:19:56.037]  In Silicon Valley, they all say, okay, there is something bigger than us and smarter, and it's artificially holding us in place, and so now you read the white papers, it's we're gonna figure out how to blow a hole through it, and how we're gonna escape the prison we're in.
[00:19:57.218 --> 00:19:59.621]  Ah, so that's now mainline science.
[00:20:00.581 --> 00:20:08.849]  We've gotta get a planetary government, get humans in line, to then use technologies to punch an interdimensional hole
[00:20:12.006 --> 00:20:12.727]  Out of the prison!
[00:20:15.609 --> 00:20:20.093]  I mean, we're literally following a satanic blueprint, 110%.
[00:20:20.373 --> 00:20:25.858]  It's all manifesting, it's all real, and here we are, wondering why we've got so many problems.
[00:20:27.359 --> 00:20:34.485]  Well, just as a rule of thumb, whether you believe in the devil or not, the big boy of this world, the Chief Commander,
[00:20:37.423 --> 00:20:39.484]  Have you gone outside at night or during the day?
[00:20:39.504 --> 00:20:40.504]  You looked around where we're at?
[00:20:40.624 --> 00:20:44.446]  I mean, we're on a floating planetoid?
[00:20:46.907 --> 00:20:47.847]  You just think we got here?
[00:20:47.867 --> 00:20:49.448]  You think the Easter Bunny sent us out here?
[00:20:49.988 --> 00:20:50.889]  Maybe a Lucky Charms?
[00:20:54.790 --> 00:20:56.011]  And you got a bunch of people!
[00:20:57.295 --> 00:21:04.020]  Who didn't have parents that loved him or took care of him, and all they're looking for is a spark of energy, and they run into the devil and they go, whoa, this is energy.
[00:21:04.500 --> 00:21:08.583]  The devil goes, yeah, let me in, let me in, little pigs.
[00:21:10.604 --> 00:21:21.472]  And you let him in, man, he eats your soul, your free will, your operating system, that can dial in and plug in to infinite possibilities.
[00:21:24.113 --> 00:21:26.414]  And God's just saying, plug in, plug in.
[00:21:27.514 --> 00:21:28.234]  Please let me in.
[00:21:30.995 --> 00:21:32.435]  So how'd the devil keep people from plugging in?
[00:21:32.475 --> 00:21:37.917]  Well, they created false churches and they created false parents and all these systems to abuse people in God's name.
[00:21:38.937 --> 00:21:41.538]  So the people believe God's the devil and Satan's Jesus.
[00:21:45.259 --> 00:21:48.880]  But you look at the world and you know it's real.
[00:21:49.340 --> 00:21:50.121]  The Bible's real.
[00:21:50.381 --> 00:21:51.081]  It's all happening.
[00:21:52.222 --> 00:21:58.604]  And those potentials in children are the potential of the universe, and that's why the enemy seeks to destroy it.
[00:21:59.104 --> 00:22:06.006]  And now you see the whole world, the whole system is about hurting children, stunting them, twisting them, feeding on them.
[00:22:06.466 --> 00:22:12.267]  And anyone that participates in this is going to be destroyed for eternity.
[00:22:13.028 --> 00:22:13.628]  We'll be right back.
[00:22:13.648 --> 00:22:14.048]  Stay with us.
[00:22:15.928 --> 00:22:21.290]  Now, I've already talked big picture earlier in the last 30 minutes of the transmission, so let me get into the
[00:22:22.739 --> 00:22:40.288]  On the ground effects of the rise of evil on a planetary scale and the economic, cultural, spiritual weather report as we enter much, much more dangerous seas.
[00:22:40.308 --> 00:22:46.372]  If you think these 20-foot waves are big, waves coming are going to be 100 feet tall, 1,000 feet tall.
[00:22:50.407 --> 00:22:53.409]  And then very quickly, mass insanity is going to set in.
[00:22:53.429 --> 00:23:02.394]  And you're going to see mass suicides, and people trampling each other by the millions, and nuclear reactors melting down and exploding, and huge wars starting.
[00:23:03.914 --> 00:23:06.216]  General insanity breaking out.
[00:23:07.276 --> 00:23:09.137]  You think you've seen something so far?
[00:23:09.157 --> 00:23:17.402]  We are living in the millisecond as the King Cobra strikes and sinks its fangs into our thigh.
[00:23:19.778 --> 00:23:22.459]  Now the poison is going to flow into us.
[00:23:24.959 --> 00:23:28.780]  The initial sting is only the beginning.
[00:23:30.220 --> 00:23:34.241]  But remember, for every action, there's an equal and opposite reaction.
[00:23:38.082 --> 00:23:48.944]  So let me now do the best job I can to focus in
[00:23:54.771 --> 00:24:07.760]  On the brazen, real McCoy, corporate global takeover taking place.
[00:24:09.862 --> 00:24:12.103]  This is not a communist Chinese takeover.
[00:24:12.143 --> 00:24:23.672]  Communist China is the thoroughbred slave colony and laboratory for carrying this out and is now being used in the exploitation phase
[00:24:24.804 --> 00:24:45.848]  Once a nation's been taken over by the left-hand path, by the communists, if you'd like to call them that, they then go into the exploitation phase, using up those peoples and that nation, launching attacks on all the other surrounding nations to then take them over, then exploit them, and launch the further attack.
[00:24:46.348 --> 00:24:51.409]  Just as a virus does, going into a cell, replicating itself, the cell burst,
[00:24:52.927 --> 00:24:55.589]  Millions of viruses flood out, infecting millions of cells.
[00:24:55.949 --> 00:24:56.550]  They burst.
[00:24:57.110 --> 00:24:59.191]  Billions of viruses flood out.
[00:24:59.792 --> 00:25:00.532]  Hundreds of billions.
[00:25:00.572 --> 00:25:01.493]  Thousands of billions.
[00:25:01.573 --> 00:25:02.394]  Millions of billions.
[00:25:02.734 --> 00:25:03.374]  And you die.
[00:25:08.658 --> 00:25:14.502]  Or your body is so used to fighting all the viruses, it starts mutating in a response to try to defeat it.
[00:25:14.522 --> 00:25:15.923]  Because it doesn't want to give up.
[00:25:16.163 --> 00:25:17.645]  There's different ways you get cancer.
[00:25:18.424 --> 00:25:22.988]  From the viruses themselves, or the response of your body mutating to defeat the viruses.
[00:25:29.633 --> 00:25:38.559]  Generally, then, if you were dying of cancer when you impregnated a woman, you would transfer that mutation onto her to defeat that future mutation.
[00:25:38.579 --> 00:25:42.142]  See, the enemy knows all this, though, so they're jacking into all that.
[00:25:42.162 --> 00:25:47.907]  It's a devastating effect on our people.
[00:25:51.707 --> 00:25:55.608]  Everybody knows that they're putting cancer viruses in the vaccines and poisoning the water.
[00:25:56.949 --> 00:25:57.969]  No one even denies it anymore.
[00:25:57.989 --> 00:26:00.129]  They just go, well, there's too many of us, I guess it's best.
[00:26:00.710 --> 00:26:10.652]  Because no one wants to actually roll their sleeves up and take the government back and remove the scientific dictatorship, the technocracy as they call themselves, the technocrats, and actually save ourselves.
[00:26:12.253 --> 00:26:19.495]  Because it's just too easy to go around glad-handing each other and collecting more baubles.
[00:26:21.428 --> 00:26:22.008]  Let me do this.
[00:26:24.189 --> 00:26:28.630]  I want to open the phones up on Pat Buchanan saying, is impeachment inevitable?
[00:26:29.390 --> 00:26:33.631]  And why a lot of folks are saying that Trump could be impeached and then even removed.
[00:26:33.691 --> 00:26:35.552]  It doesn't matter that he hasn't done anything wrong.
[00:26:36.892 --> 00:26:39.013]  Not committing a crime isn't enough.
[00:26:40.353 --> 00:26:44.094]  Standing up to the deep state triggered their wrath.
[00:26:46.789 --> 00:27:09.049]  And so now if Trump doesn't go after them and it doesn't find the people that will prosecute them, then he's summoned the demon without knowing how to control it, and it's going to be eaten along with the rest of us, at least in this face.
[00:27:10.149 --> 00:27:12.692]  And that's really where the criticism of Trump comes in.
[00:27:14.042 --> 00:27:14.963]  We're finding the clip.
[00:27:15.423 --> 00:27:17.165]  I saw it last night live when I covered it.
[00:27:17.185 --> 00:27:17.985]  We'll have it next hour.
[00:27:19.307 --> 00:27:35.881]  Brad Parscale, the head of the Trump campaign, Trump singled him out and pointed at him and said, and our incredible head of our campaign, he knows everything about the internet.
[00:27:41.237 --> 00:27:42.497]  Really, we have the video somewhere.
[00:27:42.517 --> 00:27:43.137]  We ought to find it.
[00:27:43.738 --> 00:27:45.978]  Earlier this year, Trump was having a rally in Houston.
[00:27:48.559 --> 00:27:52.980]  And Owen Schroer walks up to him and says, hey, Alex Jones has been censored off the internet.
[00:27:55.661 --> 00:27:57.561]  And Brad Parscale says, who's Alex Jones?
