[00:00:12.792 --> 00:00:13.237]  Let's go!
[00:03:08.356 --> 00:03:10.557]  And that that's a good thing, and that whites are inherently bad.
[00:03:10.597 --> 00:03:12.498]  You see this everywhere.
[00:03:13.698 --> 00:03:20.962]  You see the Democratic Party bringing back the old race-based systems that was rejected by Christian conservatives and the Republican Party.
[00:03:21.322 --> 00:03:26.204]  But now the demographic has swung towards whites being a dwindling minority in just a decade.
[00:03:26.784 --> 00:03:31.046]  Already the minority in most areas, they're switching back to good old-fashioned race-based politics.
[00:03:31.687 --> 00:03:36.449]  And at least the leadership of the minority groups have almost universally got in line
[00:03:37.029 --> 00:03:41.996]  With the new KKK movement, the brown KKK movement that they run and control.
[00:03:42.437 --> 00:03:43.658]  But here's another headline today.
[00:03:44.299 --> 00:03:48.966]  White American birth rates below replacement level in every state.
[00:03:49.046 --> 00:03:50.187]  Something the left
[00:03:51.161 --> 00:03:51.661]  We're good to go.
[00:04:09.888 --> 00:04:17.154]  She's very mad because she's the traffic cop for everything, the thought police commander, the group in the future of thought control.
[00:04:17.514 --> 00:04:23.679]  She says, how dare you not send a black reporter to be the main person covering my campaign?
[00:04:25.181 --> 00:04:26.021]  How dare you?
[00:04:26.402 --> 00:04:28.223]  Unacceptable in 2019.
[00:04:28.623 --> 00:04:29.484]  Try again.
[00:04:29.704 --> 00:04:32.046]  She is your boss.
[00:04:32.867 --> 00:04:34.748]  She is in control.
[00:04:36.009 --> 00:04:37.331]  And she will tell you what to do.
[00:04:37.631 --> 00:04:38.531]  Well, how dare
[00:04:39.557 --> 00:04:41.238]  The Lakers not have all white people.
[00:04:42.358 --> 00:04:42.939]  How dare?
[00:04:43.299 --> 00:04:45.560]  Oh, see, oh, wait, don't, don't go there.
[00:04:47.101 --> 00:04:49.042]  Absolutely amazing, ladies and gentlemen.
[00:04:49.662 --> 00:04:51.163]  I mean, how about interracial porn?
[00:04:51.583 --> 00:04:55.505]  Let's have a white guy with a white lady, because you can't have, we have to have diversity in that, right?
[00:04:56.986 --> 00:04:58.006]  That's not how this works.
[00:04:58.326 --> 00:04:59.167]  It's all one way.
[00:04:59.467 --> 00:05:01.748]  Whites are bad, period, by these racist dirtbags.
[00:05:04.341 --> 00:05:05.502]  Defeat the globalists.
[00:05:06.002 --> 00:05:07.162]  Hashtag Alex Jones.
[00:05:07.722 --> 00:05:08.803]  Defeat the pedophiles.
[00:05:09.243 --> 00:05:10.343]  Hashtag Alex Jones.
[00:05:11.283 --> 00:05:15.545]  Defeat Alexandra Cortez and her mindless idiocy with hashtag Alex Jones.
[00:05:16.185 --> 00:05:19.386]  Defeat the censors with hashtag Alex Jones.
[00:05:19.986 --> 00:05:28.049]  They've tried to ban us off every platform out there but we've just gotten stronger because you've taken action with hashtag Alex Jones.
[00:05:28.989 --> 00:05:38.355]  I am patient zero in the massive banning, but you can override the censors now, and if all of our audience gets involved with hashtag Alex Jones, we are unstoppable together.
[00:05:39.035 --> 00:05:42.938]  We've already changed the world together with our laser focus.
[00:05:42.998 --> 00:05:48.901]  Do it again with hashtag Alex Jones on Twitter, on Facebook, on Google, on YouTube, everywhere.
[00:05:48.961 --> 00:05:51.783]  Call or talk radio, C-SPAN, shout it out loud in public.
[00:05:51.983 --> 00:05:53.224]  Hashtag Alex Jones.
[00:05:53.484 --> 00:05:56.526]  That's the rallying cry to restore the First Amendment.
[00:05:58.683 --> 00:06:14.630]  Creativity and the dynamic human spirit that refuses to submit!
[00:06:15.090 --> 00:06:15.730]  Big Brother.
[00:06:16.231 --> 00:06:17.451]  Mainstream media.
[00:06:18.031 --> 00:06:19.152]  Government cover-ups.
[00:06:19.912 --> 00:06:21.373]  You want to stop tyranny?
[00:06:21.613 --> 00:06:22.774]  Well, so does he.
[00:06:23.294 --> 00:06:27.976]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:31.161 --> 00:06:39.067]  Well, here we are, already halfway into the first month of 2019, and the fireworks are flying.
[00:06:39.807 --> 00:06:45.731]  The Democrats have already fired up 80-plus fake investigations of the president.
[00:06:46.512 --> 00:06:54.438]  And man, if you go to CNN.com or MSNBC's websites, all you see is Trump caught in incredible Russian collusion.
[00:06:55.987 --> 00:06:58.088]  Devastating bombshells!
[00:06:58.868 --> 00:07:02.849]  Trump hid details of his meeting with Putin.
[00:07:05.429 --> 00:07:10.431]  And then the article goes on to say, well, actually, this is something every other president does when they meet in private.
[00:07:10.451 --> 00:07:11.531]  He didn't conceal anything.
[00:07:12.411 --> 00:07:15.252]  But it's lie on top of lie on top of lie on top of lie.
[00:07:16.394 --> 00:07:21.536]  To discredit a real American president who's actually trying to be the president.
[00:07:22.196 --> 00:07:27.518]  Trump confronts the prospect of non-stop political war for survival.
[00:07:27.638 --> 00:07:28.158]  MSM.
[00:07:29.759 --> 00:07:30.199]  That's right.
[00:07:31.539 --> 00:07:34.620]  They're coming for him because he tried to stand up for the country.
[00:07:35.841 --> 00:07:43.383]  When China gets zero percent interest rates and we don't, and our own Federal Reserve calls for China to have zero but for us not to, Trump stands against it.
[00:07:43.403 --> 00:07:45.744]  And for doing that, he's a Russian agent.
[00:07:46.892 --> 00:07:50.935]  The Trump-Putin revelations tell us what we knew all along.
[00:07:54.878 --> 00:07:57.961]  Talk about empty headlines, then you read nothing.
[00:07:58.561 --> 00:08:12.973]  The best they've got is a redhead chick who sent emails to the Kremlin saying, hey, I'd like to have a job with you, pushing Russian influence, and they never gave her a job.
[00:08:13.313 --> 00:08:16.156]  And her plan was to have sex with anybody she could in D.C.
[00:08:19.651 --> 00:08:22.732]  And the best she could do was try to go to NRA events.
[00:08:24.133 --> 00:08:28.334]  And she thought maybe if she got to know the NRA, she'd get to know somebody that knew a congressman.
[00:08:28.794 --> 00:08:29.175]  Wow.
[00:08:29.335 --> 00:08:31.115]  What an incredible spy.
[00:08:32.296 --> 00:08:36.437]  Who wasn't even a spy, but Kremlin blessed.
[00:08:36.958 --> 00:08:38.618]  Notice they don't say worked for the Kremlin.
[00:08:38.878 --> 00:08:42.800]  Kremlin blessed Russian NRA operation.
[00:08:43.900 --> 00:08:44.240]  U.S.
[00:08:44.380 --> 00:08:45.941]  Intel report says.
[00:08:48.142 --> 00:08:48.902]  That's all they've got.
[00:08:52.645 --> 00:08:54.285]  Maria Butina.
[00:08:55.406 --> 00:08:56.126]  Oh my gosh.
[00:08:57.126 --> 00:08:57.846]  I'm telling you.
[00:08:58.807 --> 00:08:59.887]  It's the Red Sparrow.
[00:09:01.167 --> 00:09:03.868]  Everyone, jump underneath your tables immediately.
[00:09:06.489 --> 00:09:07.229]  Oh my gosh.
[00:09:07.249 --> 00:09:10.370]  And then you've got Robert Mueller III on tarmacs with uranium.
[00:09:11.190 --> 00:09:18.872]  So they get a sample of how good it is before they give Hillary Clinton's foundation hundreds of millions of dollars to transfer 25% of our uranium stockpile.
[00:09:19.152 --> 00:09:21.233]  And it goes on and on and on.
[00:09:23.587 --> 00:09:25.368]  It's so ridiculous.
[00:09:26.289 --> 00:09:29.491]  But let's get to the big enchilada story that I want to hit first.
[00:09:29.531 --> 00:09:34.315]  We're getting a government shutdown and Trump saying he hasn't left the White House since the shutdown began.
[00:09:34.335 --> 00:09:42.641]  And then you've got Sarah Sanders releasing photos of Democrats all over the world tweeting, partying on the beach.
[00:09:42.721 --> 00:09:48.225]  And you've got the Speaker in Hawaii at her big palace and everything's good.
[00:09:48.265 --> 00:09:52.409]  There's Trump staying in the White House the whole time trying to fix things.
[00:09:53.885 --> 00:10:01.170]  Well, there's an active FBI coup that we've been reporting on Friday, Saturday, Sunday, where... Oh!
[00:10:02.291 --> 00:10:16.182]  McCabe, the deputy director, and Rosenstein, deputy head of the Justice Department, all of them, are under criminal investigation for indictment by grand juries, something we told you a year ago, and all confirmed, in Maryland and Virginia, like we told you, specifically.
[00:10:17.102 --> 00:10:17.903]  Next year's news today.
[00:10:19.384 --> 00:10:20.585]  And then we went on from there.
[00:10:23.041 --> 00:10:27.063]  And we get into the fact that they have now spun it like, oh my gosh, the revelation.
[00:10:27.483 --> 00:10:29.804]  He was under investigation for espionage.
[00:10:30.285 --> 00:10:38.309]  Like, that proves that a bunch of political hacks investigated him for that and used that as a way to try to get any dirt they could that was non-Russia related.
[00:10:38.369 --> 00:10:39.029]  They found none.
[00:10:39.049 --> 00:10:40.870]  In Trump.
[00:10:42.251 --> 00:10:42.771]  And so now...
[00:10:44.960 --> 00:10:57.205]  They just put up the investigation itself, like it's the smoking gun, when it's the smoking gun, not of any Russian collusion, but the smoking gun of their lying to Congress, and lying to the President, and lying to the American people.
[00:10:57.245 --> 00:11:05.768]  And not just McCabe, or Strzok, or Comey, but also Mueller and the rest of them.
[00:11:06.068 --> 00:11:09.189]  These guys are going for broke.
[00:11:09.249 --> 00:11:11.770]  And now they're really hysterical, because they know.
[00:11:14.349 --> 00:11:19.053]  Trump is moving to actually try to get them prosecuted and the media acts like that's bad.
[00:11:19.553 --> 00:11:19.673]  Oh!
[00:11:20.694 --> 00:11:23.356]  The president is being a dictator.
[00:11:24.657 --> 00:11:26.679]  He's coming after us for political reasons.
[00:11:27.119 --> 00:11:28.460]  You are the FBI.
[00:11:28.500 --> 00:11:30.202]  You're not supposed to be involved politically.
[00:11:30.602 --> 00:11:32.444]  The president's the head of the executive branch.
[00:11:33.504 --> 00:11:36.907]  You better damn believe he can do whatever he wants coming after you if you've committed crimes.
[00:11:39.589 --> 00:11:39.950]  Remember.
[00:11:42.131 --> 00:11:42.732]  Crossfire.
[00:11:44.110 --> 00:11:45.911]  Hurricane, crack soap and Spygate.
[00:11:45.931 --> 00:11:51.393]  You know, let's pull up that John Bowne report from last year, from over a year ago, I mean over six months ago, in May.
[00:11:52.634 --> 00:11:53.494]  Let's get that report.
[00:11:53.514 --> 00:11:54.355]  That was powerful.
[00:11:56.136 --> 00:12:11.263]  Because just what we told you two years ago and two months ago, right when Trump was being inaugurated, the anniversary's in six days, and promising to deliver power back to the people and get jobs back and
[00:12:13.049 --> 00:12:19.893]  Pretty much fulfilled all his promises, get us out of the TPP, release all these medicines they've been suppressing for two decades in many cases.
[00:12:21.754 --> 00:12:34.481]  That day in the New York Times they said a major espionage operation had been opened up by Obama back during the campaign that Trump better watch it, he's a Russian agent, we got the proof.
[00:12:35.592 --> 00:12:43.334]  Now, we already reported that months before, but a lot of experts then went, wait a minute, you just admitted to illegally campaign manipulation and to doing all this.
[00:12:43.494 --> 00:12:44.235]  You screwed up.
[00:12:45.415 --> 00:12:46.495]  You shouldn't have reported that.
[00:12:46.795 --> 00:12:51.096]  And CNN came out and said, the source of this that the president has is Alex Jones.
[00:12:51.777 --> 00:12:54.357]  And the New York Times said the same thing, which wasn't even true.
[00:12:55.098 --> 00:12:56.998]  I simply pointed out that they'd been doing it.
[00:12:59.599 --> 00:13:03.020]  And now, over a year later, it came out that indeed they were doing it.
[00:13:04.321 --> 00:13:06.502]  So yes, this is what they're doing.
[00:13:06.522 --> 00:13:07.342]  This is what they're up to.
[00:13:07.802 --> 00:13:30.289]  But before we get to all of that, when we come back, when you study mainstream corporate media, like I do six, seven hours a day, that I've got my nose in the research, you see not just the patterns, but you'll read a New York Times, a Washington Post, a CNN, an Austin American Statesman article.
[00:13:30.729 --> 00:13:32.430]  It'll have a different name, different byline.
[00:13:33.715 --> 00:13:37.736]  But it's essentially the exact same article with a few words moved around.
[00:13:39.916 --> 00:13:41.256]  And it's because they get talking points.
[00:13:41.316 --> 00:13:44.457]  Well, it's not just talking points destroy Alex Jones, destroy Trump.
[00:13:44.877 --> 00:13:53.218]  The big talking point that was going on at universities for decades is now gushing out and metastasizing into the whole world.
[00:13:54.799 --> 00:13:56.739]  And that's that the family's bad, men are bad.
[00:13:57.139 --> 00:13:58.059]  Having children is bad.
[00:13:59.139 --> 00:14:00.760]  Having someone that stands up for you is bad.
[00:14:01.140 --> 00:14:02.220]  The state is your daddy.
[00:14:04.127 --> 00:14:10.253]  Psychologists and the American Psychological Association say traditional masculinity is bad, is harmful, and is a mental illness.
[00:14:10.733 --> 00:14:11.754]  USA Today.
[00:14:13.856 --> 00:14:14.697]  Oh, here's the new one.
[00:14:14.957 --> 00:14:19.661]  Procter & Gamble challenges men to shave their toxic masculinity in Gillette ad.
[00:14:20.482 --> 00:14:20.902]  That's right.
[00:14:21.703 --> 00:14:22.303]  You're all bad.
[00:14:23.184 --> 00:14:26.667]  Leftist French website calls for heterosexuality to be banned.
[00:14:27.728 --> 00:14:28.509]  The left cheers.
[00:14:28.949 --> 00:14:30.451]  White birth rates plummeting globally.
[00:14:31.553 --> 00:14:38.736]  It's all coming up, and that's just the latest unified propaganda everywhere.
[00:14:38.756 --> 00:14:39.976]  All right, I'm going to stop right there.
[00:14:40.777 --> 00:14:47.159]  The New Year is here, and you know they try to take our sponsors and try to shut down our shopping carts and try to just bankrupt us.
[00:14:47.659 --> 00:14:52.181]  And we were able, with the biggest sales in our history, to get the Capitol in to operate for a few months.
[00:14:52.261 --> 00:14:55.222]  But since the New Year's here, I'm sick of plugging.
[00:14:55.402 --> 00:14:56.983]  I haven't been, and we have gotten
[00:14:58.786 --> 00:15:04.079]  Way behind, despite the fact we have some great sales and great products for the new year at InfoWareStore.com.
[00:15:06.420 --> 00:15:12.783]  Our best-selling bodies, amazing Ultimate Turmeric Formula, 95% curcuminoids and other key compounds that accelerate it.
[00:15:13.184 --> 00:15:15.365]  It is the strongest ultimate formula out there.
[00:15:15.925 --> 00:15:18.626]  Super Bell Vitality, formerly our bestseller, still is.
[00:15:19.247 --> 00:15:22.468]  Great cold-pressed, wild-crafted herbs for stamina, libido, energy.
[00:15:22.909 --> 00:15:26.250]  We can no longer get the wild-crafted herbs from the supplier.
[00:15:26.791 --> 00:15:28.792]  So for now, at least, it's discontinued.
[00:15:28.872 --> 00:15:31.733]  We hope it comes back, but it's just not a product.
[00:15:31.833 --> 00:15:32.694]  It's so hard to produce.
[00:15:32.714 --> 00:15:34.355]  It's so expensive for us to get.
[00:15:34.975 --> 00:15:42.879]  It's the last run, last sure run of Super Male Superfemale Vitality at InfoWarsStore.com and InfoWarsLife.com.
[00:15:43.920 --> 00:15:45.501]  So please check out the site today.
[00:15:45.901 --> 00:15:49.003]  Books, videos, films, T-shirts, and so much more.
[00:15:49.063 --> 00:15:59.828]  Speaking of that, I have blasphemed Alexandra Cortez in the form of a T-shirt that's sure to be the new hot T-shirt for 2019 if you take action.
[00:15:59.848 --> 00:16:00.289]  Stay with us.
[00:16:07.301 --> 00:16:19.304]  Conservatively, there have been several thousand articles written in the last three years demonizing InfoWars, and yours truly, for selling high-quality supplements.
[00:16:20.481 --> 00:16:38.987]  In fact, even the Washington Post, owned by Jeff Bezos, that owns the biggest sellers of supplements in the world, even that organization has written hit pieces claiming I'm a fraud and selling snake oil when they're owned by a man who owns Amazon and Whole Foods.
[00:16:40.607 --> 00:16:42.648]  Amazon was the number one supplement seller in the world.
[00:16:43.028 --> 00:16:43.908]  Whole Foods was number two.
[00:16:44.748 --> 00:16:50.050]  He owns the number one and number two biggest supplement sellers on the planet.
[00:16:51.636 --> 00:16:57.921]  And then his publication, a weaponized disinformation op, says I'm bad and should be shut down.
[00:16:59.202 --> 00:17:12.872]  When more than 15 of the 70 products we have at Infowarslife.com are private labeled, highest quality, top of the line, that are sold at Whole Foods for higher prices.
[00:17:13.793 --> 00:17:15.835]  Think about the level of that fraud.
[00:17:16.784 --> 00:17:19.673]  And I've sent messages to these news organizations pointing that out.
[00:17:19.834 --> 00:17:20.456]  No response.
[00:17:20.676 --> 00:17:21.679]  They never want to get my comment.
[00:17:22.181 --> 00:17:23.104]  Now, why am I saying that?
[00:17:24.387 --> 00:17:24.749]  It's simple.
[00:17:25.796 --> 00:17:30.360]  We have a lot of proprietary original products, but a lot of them are also private labeled.
[00:17:30.740 --> 00:17:36.045]  Whatever already has five stars, whatever people already love, whatever's been tested to be the best.
[00:17:36.686 --> 00:17:37.927]  So we have a great product.
[00:17:38.047 --> 00:17:38.467]  You love it.
[00:17:38.527 --> 00:17:39.148]  You reorder it.
[00:17:39.528 --> 00:17:41.790]  The Globals are going to test our products, trying to find something.
[00:17:42.251 --> 00:17:44.172]  So we're going to be able to, you know, defeat all that.
[00:17:44.332 --> 00:17:45.373]  It's a 360 win.
[00:17:45.734 --> 00:17:46.394]  We defeat them.
[00:17:46.494 --> 00:17:46.875]  You win.
[00:17:46.995 --> 00:17:47.335]  I win.
[00:17:47.635 --> 00:17:48.136]  It's amazing.
[00:17:49.989 --> 00:17:54.770]  And you've seen them come after our attempts to even process credit cards and shut down InfoWarsTore.com and InfoWarsLife.com.
[00:17:54.810 --> 00:18:10.394]  I mean, it's incredible not just what frauds they are and how they're anti-free market and how they're racketeering against us, not just Jeff Bezos, but this entire system of mainstream media and mainstream corporations and banking are even worse than Bezos and Amazon.
[00:18:12.342 --> 00:18:12.842]  It's hard to believe.
[00:18:12.942 --> 00:18:15.663]  I'm just illustrating how crazy this all is.
[00:18:15.743 --> 00:18:23.246]  Now, I'm going to be cutting some informational pieces in the next few weeks that go into great depth on each one of the products.
[00:18:24.086 --> 00:18:26.327]  I've done this for some of the products, but I haven't done it in a while.
[00:18:26.347 --> 00:18:35.871]  I haven't done it for the new products because, quite frankly, it's like going to school for a college exam to try to accurately talk about how great these products are.
[00:18:35.951 --> 00:18:36.671]  But just know this.
[00:18:38.686 --> 00:18:46.811]  Whatever the attributes that Jeff Bezos and Amazon and Whole Foods are allowed to tell you about their flagship products, these are as good or better.
[00:18:47.131 --> 00:18:49.332]  These are all the top of the line, very best.
[00:18:50.072 --> 00:19:00.398]  I can't even tell you what they do and the history of it and how amazing they are because they selectively enforce and will send the FDA after us.
[00:19:01.238 --> 00:19:02.319]  You see, I'm a subhuman.
[00:19:02.419 --> 00:19:03.080]  I'm garbage.
[00:19:04.100 --> 00:19:05.741]  So Bezos can make all the claims.
[00:19:05.941 --> 00:19:07.242]  Whole Foods can make all the claims.
[00:19:08.436 --> 00:19:09.819]  Because this stuff is dynamite.
[00:19:10.421 --> 00:19:11.543]  Turmeric's dynamite.
[00:19:12.285 --> 00:19:13.949]  Iodine that's clean is dynamite.
[00:19:15.091 --> 00:19:16.775]  Super Mel Vitality, they have similar products.
[00:19:16.855 --> 00:19:17.557]  It's all dynamite.
[00:19:19.110 --> 00:19:22.972]  They can tell you how great it is and show you all the facts and tell you, because they're the elite.
[00:19:23.312 --> 00:19:24.032]  I'm just scum.
[00:19:24.653 --> 00:19:25.553]  Just like you, according to them.
[00:19:25.613 --> 00:19:28.035]  But the good news is you've seen how great these products work.
[00:19:28.395 --> 00:19:32.557]  We do break down some of the basics on each page at mforwarslife.com to see how wonderful they are.
[00:19:33.057 --> 00:19:38.140]  But experience turmeric, experience X3, experience Supramel Vitality, Supramel Vitality.
[00:19:38.320 --> 00:19:48.445]  That, by the way, is the last run of our best-selling product, Supramel Vitality, Supramel, because we can't even get the wild-crafted herbs anymore, so we can't get the supply, and I'm sick of it, so I'm discontinuing it.
[00:19:48.965 --> 00:19:49.926]  Because it's so frustrating.
[00:19:49.946 --> 00:19:53.130]  This is the last run, and it's all 50% off.
[00:19:53.270 --> 00:19:58.156]  Bodies, X3, and Supermail at mfullwarsstore.com and mfullwarslife.com.
[00:19:58.336 --> 00:19:59.257]  Thanks for your support.
[00:20:06.005 --> 00:20:08.648]  You're listening to the Alex Jones Show.
[00:20:14.975 --> 00:20:18.680]  Infowars.com is tomorrow's news.
[00:20:19.040 --> 00:20:22.264]  Today, you're listening to the Alex Jones Show.
[00:20:45.652 --> 00:21:12.253]  Okay, we are back live, and I'm going to get into the latest four articles being rolled out by national associations, dominant associations that control academia and PhD, the largest home chemical and personal care company in the world, and major governments and major publications.
[00:21:13.214 --> 00:21:19.655]  All saying men are inherently bad and facial hair is inherently rape, basically.
[00:21:21.116 --> 00:21:22.136]  That is all coming up.
[00:21:22.196 --> 00:21:23.196]  You say, well, that's insane.
[00:21:24.016 --> 00:21:24.497]  No, it's not.
[00:21:24.557 --> 00:21:26.757]  They've already lowered the fertility rate.
[00:21:27.077 --> 00:21:29.378]  They're already putting chemicals in the water to make men feminine.
[00:21:29.898 --> 00:21:32.858]  And that will soon be the majority of men will be feminine.
[00:21:33.179 --> 00:21:37.019]  They will then be organized against males that are fighting against the trend.
[00:21:37.520 --> 00:21:39.260]  This is the final divide and conquer.
[00:21:41.661 --> 00:21:43.784]  And I want to be very, very clear here.
[00:21:45.186 --> 00:21:52.998]  USA Today whitewashes it with their headline, psychologists call traditional masculinity harmful, face uproar from conservatives.
[00:21:54.100 --> 00:21:56.023]  Look at the psychological warfare in that whole thing.
[00:21:57.486 --> 00:22:01.547]  Like only conservatives think traditional masculinity is okay.
[00:22:02.267 --> 00:22:06.748]  Also it's deceptive because once he got put on it they started saying psychologist.
[00:22:06.988 --> 00:22:10.229]  Like it's one crazy psychologist so they can introduce the idea to you.
[00:22:10.609 --> 00:22:17.831]  Let's type in American Psychological Association last week as a group named it as a mental illness.
[00:22:18.891 --> 00:22:22.652]  Said it's a bad thing and their official report they put out.
[00:22:23.797 --> 00:22:29.079]  But you see how the psychology works, how once there's a backlash, they go, oh, it's just a psychologist.
[00:22:29.459 --> 00:22:30.820]  Oh, and conservatives are upset.
[00:22:31.480 --> 00:22:33.581]  Everything is a propaganda target.
[00:22:34.061 --> 00:22:34.962]  So please print me.
[00:22:35.862 --> 00:22:39.924]  The American Psychological... We'll cover this next segment, actually.
[00:22:41.744 --> 00:22:42.765]  We'll cover this all next segment.
[00:22:43.565 --> 00:22:48.707]  American Psychological Association, the official association.
[00:22:50.188 --> 00:22:50.568]  There it is.
[00:22:53.188 --> 00:23:00.171]  Traditional masculinity deemed harmful by American Psychological Association in a 36-page report.
[00:23:00.191 --> 00:23:02.152]  In fact, please print me the stinking report.
[00:23:02.172 --> 00:23:02.572]  Great job.
[00:23:03.813 --> 00:23:07.555]  This is such a big subject, I'm going to cover it next segment because I'm going to go on the attack right now.
[00:23:09.756 --> 00:23:16.539]  The globalists are doing everything they can to bully you and dominate you and tell you how to think and tell you how to operate.
[00:23:17.264 --> 00:23:22.048]  You have the American Psychological Association openly saying men being masculine is harmful, period.
[00:23:22.928 --> 00:23:29.674]  Anytime the Romans or another group conquered a group, another nation, another tribe, they killed all of the adult men.
[00:23:29.974 --> 00:23:31.195]  That's what this is.
[00:23:31.816 --> 00:23:37.160]  That's why they say teach little boys how to wear dresses, from Sweden to the United States.
[00:23:39.175 --> 00:23:40.676]  That's why they do all this.
[00:23:41.117 --> 00:23:44.300]  That's why they teach heterosexuality is bad.
[00:23:44.920 --> 00:23:48.664]  That's why Procter & Gamble and Gillette comes out and says, shave your facial hair off.
[00:23:48.704 --> 00:23:49.244]  It's bad.
[00:23:49.304 --> 00:23:49.805]  It's evil.
[00:23:50.325 --> 00:23:51.026]  It's uncouth!
[00:23:51.386 --> 00:23:52.587]  Your masculinity's evil!
[00:23:54.569 --> 00:23:56.531]  Feminists are gonna have big, bushy underarms.
[00:23:56.571 --> 00:23:57.372]  That's their beard.
[00:23:57.572 --> 00:23:58.633]  But you don't get any hair.
[00:23:58.893 --> 00:23:59.674]  They're the new boss!
[00:24:00.751 --> 00:24:03.492]  Leftist French website calls for heterosexuals to be banned.
[00:24:03.952 --> 00:24:08.553]  Leftists celebrate, and print me that article please, declining white birth rate.
[00:24:08.593 --> 00:24:09.473]  That's all over the news.
[00:24:10.733 --> 00:24:11.733]  So what's this all about?
[00:24:11.853 --> 00:24:15.714]  Dominating you, bullying you, making you submit, don't do it.
[00:24:17.355 --> 00:24:23.056]  And making it men against women, women against men, when we're the same species.
[00:24:24.292 --> 00:24:28.213]  You don't hear about male and female elephants, and female elephants want to get rid of the males.
[00:24:28.693 --> 00:24:30.853]  Or female tigers want to get rid of the males.
[00:24:30.914 --> 00:24:34.194]  Or female swordfish want to get rid of the males.
[00:24:34.694 --> 00:24:35.515]  That's insane!
[00:24:36.395 --> 00:24:37.515]  The male is her.
[00:24:37.675 --> 00:24:38.535]  She is he.
[00:24:38.815 --> 00:24:39.776]  They are the species.
[00:24:39.816 --> 00:24:40.696]  They have babies.
[00:24:41.356 --> 00:24:42.236]  That's called life!
[00:24:42.936 --> 00:24:44.297]  This is an attack on life!
[00:24:44.937 --> 00:24:46.017]  As if it's toxic!
[00:24:47.375 --> 00:24:49.598]  It's admitted it's being done to conquer you.
[00:24:49.898 --> 00:24:51.600]  It's admittedly being done to shut you down.
[00:24:51.940 --> 00:25:00.530]  It's admittedly having ads showing a guy get in the face of the other guy and say, hey, you can't talk to a girl, you've got a beard.
[00:25:03.333 --> 00:25:06.437]  But only the cool dads, see, they don't have any facial hair.
[00:25:07.651 --> 00:25:09.612]  Oh, and look, the little boys fighting with each other.
[00:25:10.193 --> 00:25:11.914]  That's because they're toxic masculinity.
[00:25:12.314 --> 00:25:12.815]  Bullying!
[00:25:13.135 --> 00:25:15.917]  Yes, the daddies need to make sure their boys are wimps.
[00:25:16.457 --> 00:25:19.940]  This is total leftist garbage, I swear on the altar of God.
[00:25:20.360 --> 00:25:23.983]  I don't hardly use any Procter & Gamble products because they're known to be toxic.
[00:25:24.543 --> 00:25:27.265]  But I'm gonna double check every label and make sure it's not a subsidiary.
[00:25:27.646 --> 00:25:31.929]  And I will never use any Gillette products again, because I do use Gillette.
[00:25:32.529 --> 00:25:33.630]  They do have decent razors.
[00:25:33.690 --> 00:25:34.792]  I've been using it for a long time.
