[00:00:01.235 --> 00:00:02.036]  Breaking news this hour.
[00:04:01.370 --> 00:04:13.243]  And if we don't face the facts and move against these criminals, they're going to be able to take over the whole civilization like they've done the Vatican, Penn State, the Boy Scouts.
[00:04:14.485 --> 00:04:16.347]  There's nothing that's safe.
[00:04:16.991 --> 00:04:20.354]  Because this is a formula of evil and corruption.
[00:04:20.394 --> 00:04:24.277]  Now, we're going to go to an investigator that I've known for two years.
[00:04:24.317 --> 00:04:25.258]  He was ready to go public.
[00:04:25.798 --> 00:04:26.999]  He's got recordings.
[00:04:27.060 --> 00:04:29.902]  He's got people admitting that they like to have sex with children.
[00:04:30.282 --> 00:04:30.903]  He's got it all.
[00:04:31.523 --> 00:04:36.648]  And I said, in this first rollout, let's just look what's hiding in plain view.
[00:04:37.634 --> 00:04:40.736]  And you're going to get a look at some of that right now.
[00:04:40.816 --> 00:04:50.641]  Then I'm going to come back in here later and go over the Clinton body count and how it ties in to these charts on the deep state that were developed by the Epoch Times.
[00:04:50.681 --> 00:04:51.742]  And they're very, very accurate.
[00:04:52.502 --> 00:04:57.105]  So whatever you do, please research this information for yourself and then share this report.
[00:04:57.125 --> 00:05:05.089]  We had to build our own network, our own satellites, our own TV systems, and Band.Video to even be able to get this out to you.
[00:05:06.298 --> 00:05:08.859]  So here is the report.
[00:05:10.134 --> 00:05:14.636]  Welcome to AviLoop, your collective buying website for anything aviation.
[00:05:15.436 --> 00:05:23.540]  We offer deals on flight lessons, pilot accessories, fuel, FBO services, charter flights, and even small aircraft.
[00:05:24.340 --> 00:05:26.441]  Our deals are usually 50-90% off.
[00:05:27.101 --> 00:05:34.024]  That means, whether you want to learn to fly, charter an airplane, or to see more girls like me, AviLoop can help.
[00:05:34.764 --> 00:05:38.026]  You can even vote for your favorite deal attendant and win special prizes.
[00:05:38.786 --> 00:05:40.309]  Our membership is completely free.
[00:05:40.950 --> 00:05:42.012]  Our deals are unbeatable.
[00:05:42.572 --> 00:05:43.494]  And there's no catch.
[00:05:44.075 --> 00:05:45.377]  So what are you waiting for, Captain?
[00:05:45.818 --> 00:05:48.222]  Subscribe to our newsletter and get in the loop.
[00:05:50.165 --> 00:05:52.989]  It's been years since I've been researching the Jeffrey Epstein case.
[00:05:53.823 --> 00:06:01.290]  And the deeper I've gone into my research, there's been bombshell after bombshell, exposing new facts and bringing more revelations to light.
[00:06:02.191 --> 00:06:10.959]  But recently, the facts that I've come across have been so especially jarring that I come to you here today, albeit in a veiled identity, to bring those facts to light.
[00:06:11.519 --> 00:06:14.861]  So that I can expose what the Epstein case has become.
[00:06:14.881 --> 00:06:21.064]  It has now transcended well beyond the facts behind the purported human trafficker into something much greater.
[00:06:21.224 --> 00:06:28.127]  Into something that's a propaganda tactic that is meant to dissuade popular opinion from uncovering the very truth itself.
[00:06:29.148 --> 00:06:40.013]  Now one important component of the Epstein network, which is limited by that memetic strategy, is the inner machinations of his network and the associates who facilitated his operation.
[00:06:41.417 --> 00:06:47.783]  One important figure in that scope is one of Epstein's victims, his former pilot, Nadia Marchenko.
[00:06:48.204 --> 00:06:59.815]  Though media has performed cursory examinations of Marchenko, a full-fledged examination of businesses which she created during and after her association with Jeffrey Epstein has been entirely neglected.
[00:07:00.496 --> 00:07:08.402]  Now, the construct of those organizations within the context of Epstein's network of associates brings about more concerning questions than answers.
[00:07:09.143 --> 00:07:21.412]  Now, by limiting public perception of the Epstein case, an inspection of Marchenko's businesses and their potential role in the underlying human trafficking operation operated by Epstein and others has yet to unfold.
[00:07:22.446 --> 00:07:24.549]  Some background on Nadia Marchenko.
[00:07:24.569 --> 00:07:34.084]  Nadia Marchenko was born in what was then Czechoslovakia in circa 1986 before coming to the United States in 2000 under the name Nadia Marchenko.
[00:07:35.438 --> 00:07:47.501]  While Marcinko and others contend that she came to the United States to pursue a modeling career, which she did eventually establish, officials in law enforcement offer a different origin of her ingratiation into Epstein's network of associates.
[00:07:48.041 --> 00:07:56.022]  Detective Joseph Ricari investigated the underlying case which led to Epstein's arrest and consequent plea deal in Florida back in 2008.
[00:07:57.183 --> 00:08:02.704]  According to Ricari's notes following an interview with another of Epstein's victims, Epstein had
[00:08:03.427 --> 00:08:06.400]  Purchased Marchenkova from her family in Yugoslavia.
[00:08:07.389 --> 00:08:10.071]  And she was purchased for the purpose of being a sex slave.
[00:08:10.611 --> 00:08:20.156]  Now, Detective Ricari's investigation also concluded that Epstein subjuncted Marcinko to sexual abuse as he began to rape her when she was only 15 years old.
[00:08:20.877 --> 00:08:27.400]  On one occasion, Epstein forced Marcinko into having sex with other victims, at least two of whom were underage.
[00:08:27.961 --> 00:08:35.485]  Now, despite the horrific abuse that Marcinko was certainly subjected to, she became deeply ingratiated into Epstein's life.
[00:08:36.045 --> 00:08:42.950]  Living with him in Palm Beach, as well as being provided other residences in New York City, as well as apparent financial support.
[00:08:43.470 --> 00:08:48.374]  Victims who were interviewed also described Marcinko as an actual enabler of Epstein's.
[00:08:49.094 --> 00:09:00.803]  Ultimately, Epstein's apparent favoritism of Marcinko was behind her becoming an FAA-licensed pilot who would ultimately go on to fly Epstein's private Gulfstream, now infamously known as the Lolita Express.
[00:09:01.834 --> 00:09:07.595]  Marcinko's role as the pilot of that aircraft conveys how deeply she was immersed into Epstein's network.
[00:09:08.276 --> 00:09:17.738]  In 2008, when Epstein was offered a non-prosecution agreement, Marcinko was granted immunity from criminal charges as a component of Epstein's plea.
[00:09:18.378 --> 00:09:26.360]  Despite the outcome of that case in 2008, Marcinko would continue to associate herself with Jeffrey Epstein as well as his brother Mark.
[00:09:27.060 --> 00:09:32.252]  Evidence of that association exists in the establishment of several businesses owned by Markchenko from 2005 to 2011.
[00:09:35.362 --> 00:09:39.924]  Welcome to AviLoop, your collective buying website for anything aviation.
[00:09:40.484 --> 00:09:48.387]  We offer deals on flight lessons, pilot accessories, fuel, FBO services, charter flights, and even small aircraft.
[00:09:48.927 --> 00:09:51.168]  Our deals are usually 50-90% off.
[00:09:51.568 --> 00:09:58.511]  That means, whether you want to learn to fly, charter an airplane, or just see more girls like me, AviLoop can help.
[00:09:59.071 --> 00:10:07.842]  Now in 2005, the first of those businesses, Global Girl Limited Liability Corporation, was incorporated with the New York Department of State's Division of Corporations.
[00:10:08.342 --> 00:10:11.206]  This is the first business which Marchinko seems to have established.
[00:10:11.706 --> 00:10:16.953]  According to Detective Ricarri's deposition as part of a case between Ghislaine Maxwell and Virginia Giffray,
[00:10:18.041 --> 00:10:28.225]  A cross-reference of surveillance on Jeffrey Epstein's Florida residence revealed that the presence of Jeffrey's brother Mark Epstein, Ghislaine Maxwell, and Nadia Marchinkova was present.
[00:10:28.725 --> 00:10:37.728]  Now, Detective Ricari's finding is particularly relevant considering it reveals that Mark Epstein was present during his brother's relationship with Marchinkova.
[00:10:38.568 --> 00:10:45.431]  Following Jeffrey Epstein's arrest, plea, and subsequent release from prison, Marchinkova would go on to found the company known as Avilu.
[00:10:46.377 --> 00:10:54.901]  The company's Certificate of Incorporation lists the delivery of service address as 301 East 66th Street in New York City, New York.
[00:10:55.401 --> 00:11:05.366]  The property of that address is notable because it's managed by Osa Properties and Osa Properties in turn is owned by Jeffrey's brother, Mark Epstein.
[00:11:07.458 --> 00:11:18.605]  Now this address was also featured on the Avalube website until recently when it was removed following a request that I had made to Mark Epstein concerning whether or not Avalube currently held a commercial lease in that building.
[00:11:19.245 --> 00:11:23.448]  According to the Avalube website, it also has a sister company named Aviatri.
[00:11:23.888 --> 00:11:31.333]  However, there is no formal business registration with the name Aviatri filed with the same office that had incorporated Avalube.
[00:11:32.754 --> 00:11:36.476]  So now we need to examine the relationship between Avalube and Aviatri.
[00:11:38.268 --> 00:11:40.251]  So it's a market relationship to say the least.
[00:11:40.571 --> 00:11:46.359]  According to Marchinko, Avaloop is a consulting firm that works with aviation companies for a multitude of reasons.
[00:11:46.419 --> 00:11:51.987]  Among those is marketing, events management, pilot contracts, and things of that nature.
[00:11:52.287 --> 00:11:54.631]  But one notable facet of Avaloop's operation
[00:11:55.191 --> 00:11:57.072]  Reveals its sister company Aviatri.
[00:11:57.132 --> 00:12:08.996]  Now this mention is present under a section of the AviLoop website that attests to its commitment to diversifying the workforce of companies in the aviation industry with more female pilots.
[00:12:09.076 --> 00:12:15.138]  Now, while AviLoop does not contain a direct contact number, the Aviatri website does list one.
[00:12:15.478 --> 00:12:22.280]  However, the voicemail that you would receive from that contact number indicates that the caller has actually reached AviLoop.
[00:12:22.600 --> 00:12:25.542]  This makes delineating between the two businesses very difficult.
[00:12:26.602 --> 00:12:34.727]  Understanding Aviatri's purpose gives you greater insight into how these companies may be an integral part of the Jeffrey Epstein Human Trafficking Network.
[00:12:34.867 --> 00:12:37.749]  Now, the purpose of Aviatri, allegedly,
[00:12:38.639 --> 00:12:41.182]  Welcome to Classic Flight Training on Obbyloop.com.
[00:12:41.202 --> 00:12:43.984]  My name is Claire and I'm your deal attendant.
[00:13:03.342 --> 00:13:09.346]  With today's deal, you can channel your inner Top Gun, climb into the cockpit, and learn to fly an airplane.
[00:13:09.906 --> 00:13:14.029]  You can even practice saying, ladies and gentlemen, this is your captain speaking.
[00:13:14.629 --> 00:13:23.655]  The flight lasts one hour under the supervision of an FAA instructor, begins with a ground school lesson, and ends with a new perspective on what you were born to do.
[00:13:23.855 --> 00:13:24.716]  Born to do.
[00:13:24.976 --> 00:13:28.298]  Clearly, your attractiveness increases with every flight under your belt.
[00:13:29.038 --> 00:13:32.461]  Just remember to wear your aviators, and pick a cool call sign, Captain.
[00:13:33.308 --> 00:13:38.952]  Ivaloop also has a dedicated YouTube channel to serve as an outlet for its marketing and promotional material.
[00:13:39.532 --> 00:13:46.897]  However, the YouTube channel simply hosts only four different promotional videos, each of which was posted in 2011.
[00:13:47.337 --> 00:13:50.460]  Each video is a monologue performed by one of three different girls.
[00:13:51.020 --> 00:14:01.327]  The monologue makes superficial references to the services which Ivaloop offers, while enticing prospective members who just want to meet more girls into signing up with the company.
[00:14:01.687 --> 00:14:08.549]  Now each girl is performing a monologue dressed in a costume-esque pilot outfit and appears to be young, if not underage.
[00:14:08.749 --> 00:14:12.090]  Clearly your attractiveness increases with every flight under your belt.
[00:14:12.490 --> 00:14:18.272]  And now for a look into why Oviloop's marketing materials are certain to arouse suspicion.
[00:14:20.718 --> 00:14:23.379]  Hi, welcome to Kohl's Flight School on Avalube.com.
[00:14:23.779 --> 00:14:25.720]  My name is Ashley and I'm your deal attendant.
[00:14:26.340 --> 00:14:32.401]  Anyone who claims that humans were not meant to fly never experienced the thrill of their own successful landing.
[00:14:32.982 --> 00:14:40.584]  If you've been bitten by the flying bug and you want to add multi-engines to your pretty green license, this is your opportunity to do it at 50% off.
[00:14:42.099 --> 00:14:43.540]  You don't see that very often.
[00:14:44.161 --> 00:14:49.746]  Today's deal includes all the necessary ground school and 15 hours of multi-engine flight training.
[00:14:50.246 --> 00:14:52.168]  Get ready to fly big boy airplanes.
[00:14:52.748 --> 00:14:57.932]  To purchase this deal, you must hold at least a private pilot license and a current medical certificate.
[00:14:58.373 --> 00:15:00.675]  Don't miss out and click on that big blue button.
[00:15:00.955 --> 00:15:01.796]  You know you want to.
[00:15:02.850 --> 00:15:07.352]  Welcome to AviLoop, your collective buying website for anything aviation.
[00:15:08.152 --> 00:15:16.255]  We offer deals on flight lessons, pilot accessories, fuel, FBO services, charter flights, and even small aircraft.
[00:15:17.055 --> 00:15:18.155]  Our deals are usually 50-90% off.
[00:15:18.195 --> 00:15:26.718]  That means, whether you want to learn to fly, charter an airplane, or to see more girls like me, AviLoop can help.
[00:15:27.479 --> 00:15:30.740]  You can even vote for your favorite deal attendant and win special prizes.
[00:15:31.500 --> 00:15:33.021]  Our membership is completely free.
[00:15:33.641 --> 00:15:34.702]  Our deals are unbeatable.
[00:15:35.283 --> 00:15:36.183]  And there's no catch.
[00:15:36.784 --> 00:15:38.084]  So what are you waiting for, Captain?
[00:15:38.525 --> 00:15:40.906]  Subscribe to our newsletter and get in the loop.
[00:15:41.166 --> 00:15:44.969]  Hi, welcome to classic flight training on obbyloop.com.
[00:15:45.489 --> 00:15:47.531]  My name is Claire and I'm your deal attendant.
[00:15:48.391 --> 00:15:54.394]  With today's deal, you can channel your inner Top Gun, climb into the cockpit, and learn to fly an airplane.
[00:15:54.955 --> 00:15:59.077]  You can even practice saying, ladies and gentlemen, this is your captain speaking.
[00:15:59.677 --> 00:16:08.622]  The flight lasts one hour under the supervision of an FAA instructor, begins with a ground school lesson, and ends with a new perspective on what you were born to do.
[00:16:09.403 --> 00:16:10.325]  And remember Top Gun?
[00:16:10.886 --> 00:16:14.232]  Clearly your attractiveness increases with every flight under your belt.
[00:16:14.953 --> 00:16:18.379]  Just remember to wear your aviators and pick a cool call sign, Captain.
[00:16:19.116 --> 00:16:23.678]  Welcome to AviLoop, your collective find website for anything aviation.
[00:16:24.238 --> 00:16:32.160]  We offer deals on flight lessons, pilot accessories, fuel, FBO services, charter flights, and even small aircraft.
[00:16:32.701 --> 00:16:34.921]  Our deals are usually 50-90% off.
[00:16:35.341 --> 00:16:42.284]  That means, whether you want to learn to fly, charter an airplane, or just see more girls like me, AviLoop can help.
[00:16:42.924 --> 00:16:46.488]  You can even vote for your favorite deal attendant and win special prizes.
[00:16:47.168 --> 00:16:51.513]  Our membership is completely free, our deals are unbeatable, and there is no catch.
[00:16:52.013 --> 00:16:53.495]  So what are you waiting for, Captain?
[00:16:54.095 --> 00:16:56.318]  Subscribe to our newsletter and get in the loop.
[00:16:57.520 --> 00:17:03.404]  Now, on their face, you could qualify those videos as just being entirely inappropriate.
[00:17:03.444 --> 00:17:14.832]  Now, within the context of a human trafficking network and a business owned by one of its associates, it might be fair to say that those videos are instead nefarious, promising to
[00:17:15.652 --> 00:17:33.349]  Give visitors the opportunity to see more girls like these, along with these sexualized costumes, makes it very difficult to believe that Aviatri or AviLoop is indeed trying to recruit aspiring female pilots for the purposes of advancing their careers.
[00:17:33.809 --> 00:17:38.494]  Now, we looked into this to the effect that we reached out to both Osa Properties
[00:17:39.094 --> 00:17:44.900]  And as well as to Avi Loop to try to get Mark Epstein or Nadia Marchenko to comment on these issues.
[00:17:45.461 --> 00:17:47.063]  It was to, of course, no avail.
[00:17:47.103 --> 00:17:57.814]  Now following an inquiry made to Mark Epstein, Jeffrey's brother and the owner of Osa Properties, Avi Loop actually removed the 301 East 66th Street, New York, New York address
[00:17:58.254 --> 00:18:00.595]  That was mentioned on its website.
[00:18:00.836 --> 00:18:10.441]  Following an inquiry made directly to AviLoop concerning its address as well as its relationship with Aviatree, the phone number listed on the Aviatree website was entirely removed.
[00:18:10.941 --> 00:18:16.544]  Changes were made to the AviLoop website as well to remove any mention of its sister company, Aviatree.
[00:18:16.904 --> 00:18:20.567]  However, those changes have since been reversed.
[00:18:20.627 --> 00:18:24.969]  Additionally, the main Aviatree website domain www.aviatree.com
[00:18:25.660 --> 00:18:25.940]  I'm good.
[00:18:47.674 --> 00:18:52.418]  Now this concludes the information that I've compiled about the businesses associated with Nadya Marchenko.
[00:18:52.558 --> 00:18:54.999]  All this information is in the public sphere.
[00:18:55.019 --> 00:18:58.102]  It's been brought to the attention of other mainstream media outlets.
[00:18:58.462 --> 00:19:01.624]  However, they've decided not to follow up on this story.
[00:19:02.005 --> 00:19:15.675]  That's what makes it so important for people who are seeing this story to search this out on their own, because it's pretty apparent that Jeffrey Epstein and his network of associates and their crimes have not died with him.
[00:19:16.431 --> 00:19:19.713]  You can even vote for your favorite deal attendant and win special prizes.
[00:19:20.434 --> 00:19:21.955]  Our membership is completely free.
[00:19:22.595 --> 00:19:23.656]  Our deals are unbeatable.
[00:19:24.237 --> 00:19:25.137]  And there's no catch.
[00:19:25.738 --> 00:19:27.039]  So what are you waiting for, Captain?
[00:19:27.059 --> 00:19:37.746]  Subscribe to our newsletter and get in the loop.
[00:19:39.928 --> 00:19:44.131]  Again, I want to thank you for caring enough to be tuned into this special report.
[00:19:44.311 --> 00:19:45.772]  And I want to remind you that
[00:19:47.096 --> 00:19:48.637]  This is not a spectator sport.
[00:19:48.697 --> 00:19:50.157]  We need men and women in the arena.
[00:19:50.737 --> 00:19:53.178]  So please research the information we lay out here.
[00:19:53.198 --> 00:20:01.521]  When you find out it's even far worse than we're saying because we're limited by time, I hope that you'll join us in researching this further and exposing it.
[00:20:01.541 --> 00:20:09.364]  But whatever you do, please share this vital report that we're here on Christmas Eve bringing you.
[00:20:10.250 --> 00:20:12.291]  Now, you saw my brief intro.
[00:20:12.791 --> 00:20:16.952]  You saw the investigator and researcher break down some of this information.
[00:20:16.972 --> 00:20:25.274]  But now we're going to get into even more and zero in on some of the cases and then also pull back and give you the 35,000 foot view.
[00:20:25.354 --> 00:20:27.894]  But one word describes this.
[00:20:28.935 --> 00:20:30.175]  Yes, you can say evil.
[00:20:31.135 --> 00:20:34.576]  Yes, you can say money, power, corruption, control.
[00:20:35.436 --> 00:20:36.696]  But there's a word that describes it.
[00:20:36.716 --> 00:20:38.477]  It has all those words in it.
[00:20:39.437 --> 00:20:40.558]  It's called slavery.
[00:20:41.278 --> 00:20:47.563]  And since the beginning of recorded history, humans have enslaved other humans.
[00:20:48.924 --> 00:20:55.429]  And then generally those civilizations begin to collapse because how we treat the least of us, we end up treating ourselves.
[00:20:55.789 --> 00:21:03.995]  And so the important takeaway for me here, before we lay out more of this information, is that Epstein is only
[00:21:06.112 --> 00:21:07.032]  A minion in this.
[00:21:07.252 --> 00:21:13.154]  And making it all about Epstein and saying he's the greatest pedophile in history is not true.
[00:21:13.794 --> 00:21:16.835]  He was just a high-level manager of these networks.
[00:21:16.875 --> 00:21:29.199]  And so to make it just about him and he's that lone monster is to cover up the reality of what's beneath the water and the larger iceberg, not just the crest of it, not just the tip of it.
[00:21:30.300 --> 00:21:34.601]  I literally have over 200 articles, Senate reports, documents in front of me.
[00:21:36.257 --> 00:21:47.586]  Where it's admitted that at an industrial scale, women and little girls and boys are being trafficked in sex slavery and also being killed in snuff films.
[00:21:48.307 --> 00:21:54.672]  So before we go back and talk to the investigator who's here in studio with me, let me just show you a few headlines that deal with this.
[00:21:55.252 --> 00:21:58.195]  Here is Wired Magazine last year celebrating my deplatforming.
[00:21:59.068 --> 00:22:06.978]  And amongst the things they say I'm being platformed for is claiming that there are large pedophile networks using it to blackmail and control people.
[00:22:06.998 --> 00:22:12.685]  And there's a black hand dragging me into the darkness.
[00:22:14.308 --> 00:22:15.209]  They're really throwing it.
[00:22:16.573 --> 00:22:17.214]  In your face.
[00:22:17.474 --> 00:22:24.259]  So remember, mainstream media has been covering this up, just like ABC News' own head investigative journalist said.
[00:22:24.579 --> 00:22:27.521]  The blackmail, the Clintons, the little girls, all of it.
[00:22:27.581 --> 00:22:30.283]  But she was ordered to shut it down.
[00:22:30.403 --> 00:22:31.024]  Here's another one.
[00:22:32.545 --> 00:22:33.406]  Washington Post.
[00:22:33.706 --> 00:22:35.027]  Oh, democracy dies in the darkness.
[00:22:35.047 --> 00:22:35.807]  Well, so do the children.
[00:22:36.208 --> 00:22:39.410]  Obama administration placed children with human traffickers.
[00:22:39.630 --> 00:22:40.331]  Senate report.
[00:22:41.499 --> 00:22:45.763]  Documents as young as two years of age, some of which were killed knowingly.
[00:22:46.463 --> 00:22:47.885]  Oh, but that's just Obama.
[00:22:48.625 --> 00:22:52.669]  The Clintons, Laura Sillsby, and Haitian human trafficking.
[00:22:53.349 --> 00:22:59.215]  She was found guilty of smuggling thousands of children out, some of which ended up dying, many of which were in rituals.
[00:22:59.295 --> 00:23:06.081]  And now she changed her name and she heads up the company that has the contract for Amber Alerts.
[00:23:07.028 --> 00:23:21.468]  Very helpful to know when people call in with alerts of where missing kids are so that the establishment, the insiders, can make any changes they need to to protect the children, I'm sure.
[00:23:23.206 --> 00:23:25.648]  Yes, ladies and gentlemen, you just heard me right.
[00:23:25.668 --> 00:23:35.434]  And then, of course, the London Guardian asked, oh, has the UN learned the lessons of thousands of women and children kidnapped and trafficked all over the world?
[00:23:35.755 --> 00:23:39.617]  No, the UN is a white slavery operation.
[00:23:39.657 --> 00:23:42.579]  Again, white slavery means sex slavery.
[00:23:42.679 --> 00:23:50.145]  So again, the AP's own report two years ago detailed tens of thousands of trafficked children all over the world, hundreds of which
[00:23:50.945 --> 00:23:52.227]  Have been found dead.
[00:23:52.427 --> 00:23:53.168]  Huge report.
[00:23:53.569 --> 00:23:54.650]  Multi-year investigation.
[00:23:55.191 --> 00:23:56.312]  Almost no coverage.
[00:23:56.713 --> 00:23:58.896]  A blip on the radar.
[00:23:59.677 --> 00:24:01.119]  So, let's expand now.
[00:24:02.694 --> 00:24:16.525]  The Zorro Ranch, where they were doing secret breeding programs, and where billionaires were traveling to supposedly impregnate young girls with the genetics of the master race.
[00:24:16.545 --> 00:24:17.326]  Here's some of the articles.
[00:24:17.766 --> 00:24:22.671]  Jeffrey Epstein wanted to turn Mexico Ranch into baby-making factory.
[00:24:23.091 --> 00:24:26.213]  Once this began to come out in the last year, we'd already exposed it.
[00:24:26.894 --> 00:24:32.140]  They all tried to limit it to Jeffrey Epstein to say he was trying to do it.
[00:24:32.461 --> 00:24:33.982]  It was about him and his babies.
[00:24:34.663 --> 00:24:40.490]  No, it was about eugenics and the National Security Study Memorandum.
[00:24:42.139 --> 00:24:51.905]  200 from Henry Kissinger to set up a world government plan to eradicate the third world population and to create a super race.
[00:24:52.746 --> 00:25:04.833]  This was being carried out at the Albert Einstein University by the shadow government headed up by Bill and Melinda Gates, Warren Buffett, Ted Turner and others like Oprah Winfrey.
[00:25:04.873 --> 00:25:05.614]  Here it is in
[00:25:06.821 --> 00:25:07.761]  NBC News!
[00:25:08.541 --> 00:25:22.425]  Top billionaires hold secret meeting and this was run by Jeffrey Epstein and they're telling you how great it was and how they were like superheroes and they admit Jeffrey Epstein was the manager of it.
[00:25:23.105 --> 00:25:24.165]  Secret of Rich Cabal?
[00:25:24.185 --> 00:25:26.206]  Meet to discuss population control.
[00:25:26.686 --> 00:25:27.426]  Wall Street Journals.
[00:25:27.486 --> 00:25:29.627]  Billionaires try to shrink world population.
[00:25:30.407 --> 00:25:31.207]  Report says.
[00:25:32.207 --> 00:25:34.008]  And who is running that as the manager?
[00:25:35.424 --> 00:25:42.312]  Jeffrey Epstein, MIT Media Lab rocked by new Jeffrey Epstein revelations.
[00:25:43.834 --> 00:25:50.662]  And again, recruiting the head of Harvard, recruiting the head of MIT, getting the key people into this group.
[00:25:51.775 --> 00:25:54.997]  Not just with underage girls having sex, but far worse.
[00:25:55.718 --> 00:25:57.259]  Human cloning research.
[00:25:57.479 --> 00:25:58.460]  All of it's going on.
[00:25:58.820 --> 00:25:59.920]  Funding this in China.
[00:26:00.301 --> 00:26:04.363]  And that's how you control society, is controlling the scientific elite.
[00:26:04.944 --> 00:26:06.405]  A lot bigger than Jeffrey Epstein.
[00:26:06.445 --> 00:26:07.646]  Here he is with Harvey Weinstein.
[00:26:08.346 --> 00:26:12.629]  And here he is with the former top Mossad operative's daughter.
[00:26:13.570 --> 00:26:19.814]  Again, their eyes wide shut style regalia at the Prince's party.
[00:26:22.162 --> 00:26:24.104]  So he was bigger than just a Mossad agent.
[00:26:24.144 --> 00:26:30.610]  He was a deep state agent in the CIA, MI6, British intelligence.
[00:26:31.711 --> 00:26:38.457]  Now, I have hundreds of these articles and now they're admitting that it was a blackmail operation.
[00:26:38.497 --> 00:26:41.619]  But again, more than just sex with underage girls.
[00:26:42.620 --> 00:26:44.342]  It's terrible that happened to the underage girls.
