[00:00:13.061 --> 00:00:24.465]  From the front lines of the information war, it's Alex Jones.
[00:03:31.820 --> 00:03:39.006]  Big enchilada broadcast, the attack on the family, the attack on humans, this anti-human future the globals are trying to build.
[00:03:39.006 --> 00:03:51.396]  Then that translates into the Canadian Supreme Court ruling, the government will take your children from you and forcibly sterilize them if they can trick them once to say they want to be transgendered.
[00:03:51.396 --> 00:03:57.120]  So no age of consent, it's not a pervert, you know, regular child molester coming to your door, it's the government.
[00:03:57.120 --> 00:03:59.962]  They trick your 7, 8, 9, 10, 12 year old, whatever the case is.
[00:04:01.035 --> 00:04:07.500]  To say they want to be under sex, they take you away from your parents and chop your huevos off.
[00:04:07.500 --> 00:04:09.302]  That is the Canadian Supreme Court.
[00:04:09.302 --> 00:04:11.984]  We'll get to all of that coming up.
[00:04:11.984 --> 00:04:19.810]  A lot of former top Olympians are coming out and saying that, you know, this is insane that men are now winning all the swimming.
[00:04:19.810 --> 00:04:22.272]  They're winning the wrestling.
[00:04:22.272 --> 00:04:25.055]  They're winning the races because they're men.
[00:04:25.922 --> 00:04:26.423]  They're men.
[00:04:26.423 --> 00:04:29.008]  You just say, oh, I'm a woman and love me.
[00:04:29.008 --> 00:04:31.752]  And then they win all the races.
[00:04:31.752 --> 00:04:33.856]  Women are saying this is an attack on women existing.
[00:04:33.856 --> 00:04:36.300]  Yes, I'm glad women are now figuring that out.
[00:04:36.300 --> 00:04:38.585]  And then we've got the big enchilada first when we come back.
[00:04:39.622 --> 00:04:42.686]  A lot of top Democrats are coming out endorsing Trump.
[00:04:42.686 --> 00:04:44.288]  There's almost no news coverage of it.
[00:04:44.288 --> 00:04:46.010]  Van Jones.
[00:04:46.010 --> 00:04:48.432]  We've got so many other people as well.
[00:04:48.432 --> 00:04:49.434]  Jon Stewart.
[00:04:49.434 --> 00:04:50.335]  That's straight ahead.
[00:04:50.335 --> 00:04:53.579]  What does this signify that highlights of CPAC?
[00:04:53.579 --> 00:04:54.820]  Censorship and CPAC.
[00:04:54.820 --> 00:04:55.761]  It's a big broadcast.
[00:04:55.761 --> 00:04:56.142]  Stay with us.
[00:05:00.831 --> 00:05:06.274]  You know, the worst part about getting old and I'm still strong at 45 is that I won't be there for my children someday.
[00:05:06.274 --> 00:05:08.055]  That's why I need to make them strong now.
[00:05:08.055 --> 00:05:09.816]  Now, I can be there for my children.
[00:05:09.816 --> 00:05:11.657]  Now, I can make them strong.
[00:05:11.657 --> 00:05:13.297]  Now, I can instruct them.
[00:05:13.297 --> 00:05:16.139]  Now, I can teach them what I've learned, but not once I'm gone.
[00:05:16.139 --> 00:05:21.262]  You think in this digital age, your word's going forever, but now they're even better at getting rid of what you said they were before.
[00:05:21.262 --> 00:05:26.064]  It's so much easier to burn video or text or languages now that we have high-tech book
[00:05:26.124 --> 00:05:26.844]  Burning isn't it?
[00:05:26.844 --> 00:05:30.487]  But I have joined my will to the resistance.
[00:05:30.487 --> 00:05:31.507]  I can't be destroyed now.
[00:05:31.507 --> 00:05:36.870]  As long as I realize I've done right, and as long as the people know the truth, and you can't be destroyed either.
[00:05:36.870 --> 00:05:46.135]  As long as you bind yourself to something and commit to it, and go through the fire for it, there is a magic that then takes place that transcends space and time.
[00:05:46.135 --> 00:05:50.398]  When you commit, be a word of mouth, or to pray for us, or to spread our articles and videos,
[00:05:50.578 --> 00:05:53.759]  That overrides everything the enemy's doing.
[00:05:53.759 --> 00:06:03.641]  So please now, commit to support InfoWars however you can, and realize your provision to InfoWars is your own provision.
[00:06:03.641 --> 00:06:06.282]  Waging war on corruption.
[00:06:06.282 --> 00:06:11.523]  It's Alex Jones, coming to you live from the front lines of the InfoWars.
[00:06:27.239 --> 00:06:35.664]  Our government has been publicly funding human-animal hybrids for 40 years.
[00:06:35.664 --> 00:06:49.272]  But now, they're publicly putting it in the newspaper, and they've extended contracts to continue human-mice hybrids for organ harvesting.
[00:06:49.272 --> 00:06:54.815]  HHS extends contract to make humanized mice with aborted baby parts for another 90 days.
[00:06:57.227 --> 00:06:58.548]  We're going to be getting to that.
[00:06:58.548 --> 00:06:59.869]  And again, why do they do it?
[00:06:59.869 --> 00:07:08.796]  Because once they mix the genetics of an animal with a human, then they can say the human has no rights.
[00:07:08.796 --> 00:07:15.681]  That's going to tie into Governor Ralph Northam, who said that they keep babies alive and harvest their organs.
[00:07:17.481 --> 00:07:20.902]  When he got in trouble, they had it in his file that he was in blackface.
[00:07:20.902 --> 00:07:25.983]  They activated that to go ahead and distract from what he was doing at that point.
[00:07:25.983 --> 00:07:33.925]  So, we're going to go behind the shadow government, behind the breakaway civilization, here today to tell all that.
[00:07:33.925 --> 00:07:45.648]  Also, the Democrat Party, basically funded by the Chi-Coms, the Globalists, and others, they have come out, and as I told you they would do, because they'd actually admitted this before,
[00:07:46.618 --> 00:07:55.021]  It was in more like party emails and communications that we got, but wasn't really publicly announced, but it was publicly admitted.
[00:07:55.021 --> 00:08:03.384]  To launch 80 plus investigations as soon as the Mueller report comes out, which is set to come out any day now.
[00:08:03.384 --> 00:08:08.986]  And they're going to go after everybody under the sun, none of it Russia related.
[00:08:08.986 --> 00:08:13.107]  Democrats prepare for end of Robert Mueller probe with new investigations.
[00:08:15.182 --> 00:08:23.209]  And then we've got the amazing speech, record long, two hour plus speech of Trump at CPAC.
[00:08:23.209 --> 00:08:26.291]  Very eloquent, very powerful.
[00:08:26.291 --> 00:08:29.594]  Shows you how much energy the 72-year-old has.
[00:08:29.594 --> 00:08:32.897]  Then the bad side of that, Laura Loomer is joining us next hour.
[00:08:32.897 --> 00:08:39.863]  She's top story on RightHandSideReport.com, investigative journalist, conservative.
[00:08:39.863 --> 00:08:41.564]  Laura Loomer got
[00:08:44.161 --> 00:08:53.786]  Thrown out because she saw Oliver Darcy, the CNN Thought Police Commissar, and she went over and said, how dare you brag, you take people off the internet.
[00:08:53.786 --> 00:08:55.446]  Well, he complained about her and had her thrown out.
[00:08:55.446 --> 00:08:58.188]  I mean, this guy is like God.
[00:08:58.188 --> 00:09:03.791]  No one watches him, no one likes him, but he wants your website or you're taking off Twitter or Facebook or YouTube.
[00:09:03.791 --> 00:09:04.251]  It happens.
[00:09:04.251 --> 00:09:05.331]  I mean, the arrogance.
[00:09:05.331 --> 00:09:08.153]  And she politely talked to this slime bag.
[00:09:08.153 --> 00:09:12.255]  But Right Wing Watch, run by the Southern Poverty Law Center, an offshore criminal organization,
[00:09:13.157 --> 00:09:15.758]  I complained about it so she was thrown out.
[00:09:15.758 --> 00:09:17.438]  So she'll be joining us.
[00:09:17.438 --> 00:09:19.278]  That's all coming up.
[00:09:19.278 --> 00:09:26.280]  But the first big thing I want to get to is incredibly exciting.
[00:09:26.280 --> 00:09:39.482]  And I've been trying to really cogitate on it and figure out exactly what it means.
[00:09:39.482 --> 00:09:42.283]  It's basically Democrats leaving the sinking ship
[00:09:43.746 --> 00:09:44.606]  What am I talking about?
[00:09:44.606 --> 00:09:49.848]  I'm talking about Van Jones coming out and admitting that Trump's done a great job
[00:10:09.551 --> 00:10:22.637]  With criminal justice reform and that governors and Republican states are the only ones to be cutting crime while cutting prison populations and not giving black people longer sentences than white people.
[00:10:22.637 --> 00:10:26.859]  I mean, Van Jones finally either shows he's got a soul
[00:10:28.508 --> 00:10:34.689]  Or he realizes that the Republicans and all the internal polling everywhere else are winning, and so now he wants to jump ship.
[00:10:34.689 --> 00:10:41.531]  Because when he said, oh, I'm not going to join your party yet, he signals he's about to become a Republican.
[00:10:41.531 --> 00:10:46.712]  Maybe it's bad to be a propagandist, a mercenary for the globalists.
[00:10:46.712 --> 00:10:52.013]  And then the left called for his destruction.
[00:10:52.013 --> 00:10:52.974]  He's a racist.
[00:10:52.974 --> 00:10:54.654]  He's a demon now for doing this.
[00:10:56.067 --> 00:10:57.588]  And then we got Jon Stewart.
[00:10:57.588 --> 00:10:58.508]  This got no attention.
[00:10:58.508 --> 00:11:10.555]  Jon Stewart came out and endorsed Trump for actually getting all the congressional fundings that have been bipartisanly blocked for decades to take care of the firefighters, police, and others who breathe the deadly dust.
[00:11:10.555 --> 00:11:13.136]  Hundreds of millions of dollars have been blocked from them.
[00:11:13.136 --> 00:11:14.177]  He endorsed Trump.
[00:11:14.177 --> 00:11:15.817]  That got zero attention.
[00:11:15.817 --> 00:11:18.419]  They didn't come out and demonize Jon Stewart.
[00:11:18.419 --> 00:11:19.679]  He said, he did a press conference.
[00:11:19.679 --> 00:11:20.760]  I want attention.
[00:11:20.760 --> 00:11:22.601]  I want this to be out.
[00:11:22.601 --> 00:11:23.662]  Trump's doing a great job.
[00:11:23.662 --> 00:11:24.142]  No coverage.
[00:11:26.547 --> 00:11:27.828]  A lot of other examples of that.
[00:11:27.828 --> 00:11:36.852]  So Trump's doing a lot of stuff that is super revolutionary and incredibly common sense, but he's not getting any support for it.
[00:11:36.852 --> 00:11:44.415]  But those of us that have supported Trump doing the right thing, all we get is demonization and lies and attacks.
[00:11:44.415 --> 00:11:45.316]  I support the president.
[00:11:45.316 --> 00:11:46.957]  I think he's done a great job in many ways.
[00:11:46.957 --> 00:11:48.517]  He's done a bad job on some things.
[00:11:48.517 --> 00:11:49.138]  Nobody's perfect.
[00:11:50.305 --> 00:11:57.996]  When I went on Joe Rogan's podcast, that's now the second biggest in history, said to be the largest podcast in the world within about three days of current growth rates.
[00:11:57.996 --> 00:12:04.144]  It's up about 20-something million views right now on iTunes and on YouTube, not to count other platforms.
[00:12:04.144 --> 00:12:05.185]  It's over 20 million right now.
[00:12:07.000 --> 00:12:12.143]  I just said I resent Trump because the way the media frames it, he becomes my identity.
[00:12:12.143 --> 00:12:23.828]  When I was promoting populism, nationalism, anti-globalism, free market systems before Trump ever rode in on the wave, I'm not against Trump, it's just that I'm not Donald Trump.
[00:12:23.828 --> 00:12:32.933]  And I don't mind being attacked for supporting Trump, it's just that I cover so many other things than what Trump's involved in.
[00:12:34.193 --> 00:12:39.916]  And the left thinks if they can destroy me, they destroy Trump, and they don't understand even what's going on.
[00:12:39.916 --> 00:12:41.737]  So that's coming up as well.
[00:12:41.737 --> 00:12:52.702]  But when we come back, I'll get into why I think Jon Stewart and Van Jones have endorsed Trump and said he's doing the right thing.
[00:12:52.702 --> 00:12:56.184]  And what I think that portends in the future.
[00:12:56.184 --> 00:13:02.487]  And then we're going to get into the really bad news.
[00:13:04.158 --> 00:13:10.744]  The Supreme Court of Canada has ruled that the state will take your children from you.
[00:13:10.744 --> 00:13:12.706]  England already does this.
[00:13:12.706 --> 00:13:15.149]  Many European states do it as well.
[00:13:15.149 --> 00:13:19.012]  If they can convince your autistic or mentally retarded child they're really a boy or girl when they're not,
[00:13:19.838 --> 00:13:25.001]  Because they want, the eugenicists back to Hitler want to sterilize mentally retarded or autistic kids.
[00:13:25.001 --> 00:13:39.611]  So they convince them and tell them they're stars, if they get sterilized, and then they convince your mentally retarded child or autistic child to be sterilized, then they're taken and sterilized, and the Supreme Court's ruled they can take your child and sterilize them, and you can't say anything.
[00:13:40.652 --> 00:13:44.255]  So it's serious eugenics child abuse on record.
[00:13:44.255 --> 00:13:47.218]  We have the whole diagram and it's just being done.
[00:13:47.218 --> 00:13:55.246]  We've turned our children over the biggest predators in society and it's a sin before God and it's very, very dangerous.
[00:13:55.246 --> 00:13:57.628]  So that's coming up as well.
[00:13:57.628 --> 00:13:59.129]  And a lot of other clips I haven't mentioned.
[00:13:59.129 --> 00:14:00.331]  So that's what's happening today.
[00:14:01.440 --> 00:14:05.123]  Uh, that said, I have something very exciting to announce.
[00:14:05.123 --> 00:14:12.688]  You know, for over a year, I told you we were doing our last run of X2, the purest, cleanest, best iodine up until that point.
[00:14:12.688 --> 00:14:13.189]  Because...
[00:14:14.733 --> 00:14:19.758]  It's not out of the ocean like other iodines that are then bound to other compounds.
[00:14:19.758 --> 00:14:21.580]  It's pure deep earth crystals.
[00:14:21.580 --> 00:14:28.847]  You got to jump through DEA hoops because it's so pure and they can use it as a derivative in drug manufacturing.
[00:14:28.847 --> 00:14:32.110]  Iodine is a key electrochemical processor in the body.
[00:14:32.110 --> 00:14:35.634]  You must have it to live like oxygen or water.
[00:14:37.404 --> 00:14:43.906]  And so I played guts ball with the manufacturers and people that develop it and bring it out.
[00:14:43.906 --> 00:14:47.387]  And it's been sold out for about almost three months.
[00:14:47.387 --> 00:14:51.169]  But we have now had the same company, the original X2.
[00:14:52.469 --> 00:14:53.170]  We're good to go.
[00:15:10.839 --> 00:15:14.621]  Get yours today at InfoWarsStore.com or InfoWarsLife.com.
[00:15:14.621 --> 00:15:15.182]  Pre-order it.
[00:15:15.182 --> 00:15:15.962]  You'll get it first.
[00:15:15.962 --> 00:15:17.103]  It'll be in in a week.
[00:15:17.103 --> 00:15:18.544]  Ships out within a week and a half.
[00:15:18.544 --> 00:15:27.049]  Learn about the history of iodine, how iodine led to a 15-point higher IQ average once the government added a crappy type, just a salt.
[00:15:27.049 --> 00:15:33.053]  It's something that's not often talked about by so-called mainstream experts, but the power of iodine is shown throughout modern history.
[00:15:36.095 --> 00:15:44.178]  So again, in the early 1920s, it was found that just adding iodine, the sea salt and iodine deficiency resulted in a staggering 15-point IQ increase.
[00:15:44.178 --> 00:15:45.479]  This is way beyond that.
[00:15:45.479 --> 00:15:49.741]  Find out the truth at Infowarslife.com or Infowarsstore.com.
[00:15:49.741 --> 00:15:51.101]  X2 is back.
[00:15:51.101 --> 00:15:53.182]  Thousands and thousands of five-star reviews.
[00:15:53.182 --> 00:15:54.242]  X2 is back.
[00:15:54.242 --> 00:15:55.223]  Thank God.
[00:15:55.223 --> 00:15:56.503]  X3 is excellent as well.
[00:15:56.503 --> 00:16:00.225]  Infowarsstore.com.
[00:16:00.225 --> 00:16:03.286]  Our grandparents, the great-grandparents, they canned food.
[00:16:03.286 --> 00:16:04.847]  During the falls, they'd have it during the winter.
[00:16:06.212 --> 00:16:09.177]  And that's what I'm talking about at MFootwearStore.com.
[00:16:09.177 --> 00:16:13.224]  With MFootwear Select, it's the full spectrum of my patron supply.
[00:16:14.798 --> 00:16:23.943]  Most respected companies out there, but because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[00:16:23.943 --> 00:16:29.285]  But I want to be a market leader, and I want you to have storable food, so it's a total win-win.
[00:16:29.285 --> 00:16:31.567]  We have those incredible sell prices back.
[00:16:31.567 --> 00:16:35.068]  InfoWareStore.com on InfoWare Select storable foods.
[00:16:35.068 --> 00:16:36.549]  They've got special diet foods.
[00:16:36.549 --> 00:16:40.551]  They've got three-month supplies, year supplies, week emergency supplies.
[00:16:40.551 --> 00:16:42.752]  They've got so many great products there.
[00:16:42.752 --> 00:16:43.833]  Maybe you've got a three-year supply.
[00:16:44.313 --> 00:16:46.296]  If stuff happens, you can feed your whole block.
[00:16:46.296 --> 00:16:48.820]  It's up to us to be self-sufficient.
[00:16:48.820 --> 00:16:53.827]  You're buying War Bonds, bringing you great products, and together, with God's help, we are unstoppable.
[00:16:53.827 --> 00:16:59.215]  InfoWareStore.com and InfoWare Select, high-quality, storable foods powered by my Patriot Supply.
[00:16:59.676 --> 00:17:01.617]  Patriots are on the go.
[00:17:01.617 --> 00:17:06.338]  Hard-working Americans need high-quality energy when they're on the run.
[00:17:06.338 --> 00:17:16.422]  And ladies and gentlemen, we have spent years working with top developers to come out with the highest quality protein bar in vanilla coconut and chocolate peanut butter at InfoWarsLife.com.
[00:17:16.422 --> 00:17:20.944]  This is a high-end bar sold for up to six, seven dollars at Whole Foods.
[00:17:20.944 --> 00:17:23.825]  Normally we sell it for three dollars a piece when you get it in the box.
[00:17:24.485 --> 00:17:28.228]  But with the discount we're running right now as an introductory offer, it's $2.40 a bar.
[00:17:28.228 --> 00:17:31.772]  No one can top that, and it funds Liberty and the fight against the Globalists.
[00:17:31.772 --> 00:17:35.035]  With 15 grams of protein and so much more, they're amazing.
[00:17:35.035 --> 00:17:44.643]  Secure your box of high-quality InfoWars Life protein bars today, and you will be impressed, and you will reorder them, and you will help fund the operation to break the Globalists back.
[00:17:44.643 --> 00:17:45.484]  It's up to you.
[00:17:45.484 --> 00:17:45.864]  It's easy.
[00:17:46.425 --> 00:17:46.605]  Thank you.
[00:18:02.931 --> 00:18:12.319]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:18:12.319 --> 00:18:23.369]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:18:23.749 --> 00:18:29.672]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:18:29.672 --> 00:18:41.178]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:18:41.178 --> 00:18:49.362]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:18:49.362 --> 00:18:51.543]  It's time to take care of your morning routine.
[00:18:51.843 --> 00:18:57.751]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:19:05.532 --> 00:19:07.894]  The Real Red Pill Plus, ladies and gentlemen.
[00:19:07.894 --> 00:19:11.317]  Our team is constantly on the lookout for newer and better ways to improve our products.
[00:19:11.317 --> 00:19:17.703]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[00:19:17.703 --> 00:19:23.208]  The Real Red Pill Plus is an all-new version of the Powerhouse Reglanone product.
[00:19:23.208 --> 00:19:30.895]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[00:19:31.335 --> 00:19:37.778]  A powerful pregnenone base, the Real Red Pill, has quickly become one of our fellow InfoWars favorite products.
[00:19:37.778 --> 00:19:48.144]  Now, with an extra proprietary energy blend inside, including green tea extract, yerba mate, leaf extract, and more, you can get that extra pick-me-up, all supporting your mind and body in a healthy way.
[00:19:48.144 --> 00:19:50.925]  It's got all the great stuff that Real Red Pill has.
[00:19:50.925 --> 00:19:52.866]  It's also got the boost in it.
[00:19:52.866 --> 00:19:56.148]  Get the Real Red Pill Plus at InfoWarsStore.com.
[00:20:03.315 --> 00:20:13.542]  You're listening to the Alex Jones Show.
[00:20:13.542 --> 00:20:18.546]  Rallying patriots worldwide in defense of human liberty.
[00:20:18.546 --> 00:20:20.047]  It's Alex Jones.
[00:20:39.531 --> 00:20:51.841]  So Jon Stewart, the God, the Lord, the King of the Democrats, comes out and endorses Trump in Phoenix in front of a whole press conference almost a week ago.
[00:20:51.841 --> 00:20:55.965]  Got no coverage except on Fox in Phoenix and says,
[00:20:57.864 --> 00:21:25.379]  Trump has done a great job of the Justice Department, taking the hundreds of millions of dollars that both parties wouldn't give, that was voted over a decade ago, to the first responders, their families, those that died of cancer, those that have cancer, from the World Trade Center attack, because they never wanted to admit it, that lower Manhattan got toxified, and Trump has turned that money loose, just like he's doubled the number of visits at the
[00:21:26.860 --> 00:21:27.340]  V.A.
[00:21:27.340 --> 00:21:27.921]  for veterans.
[00:21:27.921 --> 00:21:28.741]  Doesn't mean the V.A.'
[00:21:28.721 --> 00:21:32.383]  's perfect, but Trump's really trying to fix the bureaucracy.
[00:21:32.383 --> 00:21:44.109]  And so Jon Stewart comes out and says, Trump's done a great job, and it gets zero attention except for Breitbart and Infowars.com and Fox News.
[00:21:44.109 --> 00:21:45.230]  Ian Phoenix.
[00:21:45.230 --> 00:21:48.051]  Even Fox News National, that I know of, didn't care.
[00:21:48.051 --> 00:21:48.291]  Why?
[00:21:48.291 --> 00:21:50.372]  Because they're not going to attack Jon Stewart.
[00:21:50.372 --> 00:21:52.954]  They're just going to ignore Jon Stewart.
[00:21:52.954 --> 00:21:53.474]  Here's that clip.
[00:21:55.035 --> 00:21:56.276]  I'm going to say this now.
[00:21:56.276 --> 00:21:57.116]  Are the cameras on?
[00:21:57.116 --> 00:21:59.498]  Is everybody on me?
[00:21:59.498 --> 00:22:06.283]  The Trump Justice Department is doing an excellent job administrating this program.
[00:22:06.283 --> 00:22:10.085]  The claims are going through faster and the awards are coming through.
[00:22:10.085 --> 00:22:15.769]  The Trump Justice Department
[00:22:17.899 --> 00:22:19.739]  I don't know about anything else.
[00:22:19.739 --> 00:22:22.180]  I'm not going to comment on anything else.
[00:22:22.180 --> 00:22:28.921]  But see, that makes Jon Stewart, whose brother is the head of the Dow Jones Industrial Average and very powerful, makes Jon Stewart the high authority.
[00:22:28.921 --> 00:22:30.482]  Like, he waves a wand.
[00:22:30.482 --> 00:22:32.902]  He tells you when Trump's good.
[00:22:32.902 --> 00:22:34.723]  But why is he doing it?
[00:22:34.723 --> 00:22:38.783]  Because all his peers and people around him know that Trump's trying to turn the U.S.
[00:22:38.783 --> 00:22:39.924]  economy on.
[00:22:39.924 --> 00:22:42.224]  They know he's trying to do a better trade deal with China.
[00:22:42.224 --> 00:22:46.105]  They know globalism's been one-sided about selling America out.
[00:22:47.369 --> 00:22:49.090]  About conquering us.
[00:22:49.090 --> 00:22:51.692]  About bringing us to heel.
[00:22:51.692 --> 00:22:55.015]  So he understands where the tea leaves are, and he's starting to jump ship.
[00:22:55.015 --> 00:22:57.797]  Now let's move on to Van Jones.
[00:22:57.797 --> 00:23:04.522]  Van Jones is the big Black Lives Matter guy, why he says when cops get shot, you know, it's their fault because they're racists.
[00:23:04.522 --> 00:23:08.665]  Van Jones is the guy caught peddling division in this nation.
[00:23:08.665 --> 00:23:12.268]  Caught doing all sorts of evil things, so why would he suddenly go to CPAC?
[00:23:14.611 --> 00:23:25.576]  And say that, well, it's Republican governors that are actually cutting prison populations and lowering crime by keeping hardened criminals and releasing non-violent criminals.
[00:23:25.576 --> 00:23:32.798]  So the old model is, fill up the prisons with lots of people, take non-violence, turn them into violence by getting trained by hardened criminals.
[00:23:32.798 --> 00:23:40.422]  How about we just keep real hardened criminals, bank robbers, murderers, child molesters, rapists, and let other people non-violent go?
[00:23:40.422 --> 00:23:43.463]  Well, a bunch of Republican states have done that, and they've lowered crime,
[00:23:44.932 --> 00:23:48.495]  And they've lowered the prison population and they've saved money.
[00:23:48.495 --> 00:23:58.603]  So Van Jones comes out and says, wow, you've stolen my identity, you've stolen my position, you've stolen my issue.
[00:23:58.603 --> 00:24:01.566]  But wait, Van Jones, you're just an idiot.
[00:24:01.566 --> 00:24:04.348]  It was the Republicans that passed the Civil Rights Act.
[00:24:04.348 --> 00:24:06.750]  It was Republicans that always tried to do prison reform.
[00:24:06.750 --> 00:24:11.915]  It was the Clintons in 94 that got the crime bill passed that gave blacks triple the Senate's.
[00:24:13.007 --> 00:24:17.655]  Of whites and funded federalization of prisons to build all these prisons.
[00:24:17.655 --> 00:24:22.544]  So you're acting like, oh, Republicans have just gotten smart and they're just now doing the right thing.
[00:24:22.544 --> 00:24:24.908]  No, you're part of the KKK party.
[00:24:26.089 --> 00:24:31.133]  You're part of the party where Hillary said blacks are animals that have to be brought to heel, super predators.
[00:24:31.133 --> 00:24:35.076]  You're part of the party of the KKK.
[00:24:35.076 --> 00:24:39.999]  Doesn't mean Republicans haven't been blue bloods and established like the Bushes and gone along with it.
[00:24:39.999 --> 00:24:48.446]  But you don't sit up there when the Republicans do the right thing and then wave a wand and go, well, it's Christians and it's libertarians in the party.
[00:24:48.446 --> 00:24:49.747]  Yeah, you know who we are.
[00:24:50.629 --> 00:24:51.330]  We have a soul.
[00:24:51.330 --> 00:24:52.891]  We're not for sale.
[00:24:52.891 --> 00:24:53.872]  You're for sale.
[00:24:53.872 --> 00:24:54.852]  You're for the Democrats.
[00:24:54.852 --> 00:25:01.838]  And you know Democrats are waking up, so you want to come and act like you waved the wand and say, you Republicans are pretty good on this.
[00:25:01.838 --> 00:25:04.600]  We go, oh, thank you, sir.
[00:25:04.600 --> 00:25:05.761]  Thank you.
