[00:00:09.586 --> 00:00:11.450]  Yeah.
[00:03:42.813 --> 00:03:46.957]  Saying that Apple Music will shut down any songs about Tiananmen Square.
[00:03:46.977 --> 00:03:49.680]  Yeah, that is the partnership.
[00:03:50.460 --> 00:03:51.822]  This global partnership.
[00:03:52.002 --> 00:03:54.084]  It is a global move of tyranny.
[00:03:54.504 --> 00:03:58.208]  The move against free speech is metastasizing very rapidly.
[00:03:58.228 --> 00:04:01.031]  It's like a very fast spreading cancer.
[00:04:02.571 --> 00:04:04.533]  And President Trump needs to come out against these guys.
[00:04:04.553 --> 00:04:15.321]  Yeah, it's good if he gets Brennan and Clapper, but he's going to have to go much deeper, much broader against this dark global government that is already in place.
[00:04:16.862 --> 00:04:27.471]  And that includes the United States Intelligence Agency, allied with the British, the Australians, New Zealanders and the Canadians, the Five Eyes movement.
[00:04:28.715 --> 00:04:32.519]  Those people are conspiring together, working with the globalists to help to enable China.
[00:04:32.539 --> 00:04:40.588]  They're going to bring that same pattern of censorship and population control to us, and we cannot allow this to continue.
[00:04:40.628 --> 00:04:42.691]  We cannot allow it to stand.
[00:04:42.711 --> 00:04:44.192]  All right, stay with us.
[00:04:44.212 --> 00:04:44.773]  We'll be right back.
[00:04:44.833 --> 00:04:48.938]  Paul Joseph Watson, then Alex Jones, and I'll be back later on in the hour.
[00:05:03.794 --> 00:05:07.995]  Here's to the crazy ones.
[00:05:08.796 --> 00:05:10.156]  The misfits.
[00:05:10.976 --> 00:05:11.476]  The rebels.
[00:05:12.817 --> 00:05:13.577]  The troublemakers.
[00:05:14.817 --> 00:05:16.658]  The round pegs in the square holes.
[00:05:16.858 --> 00:05:21.179]  The ones who see things differently.
[00:05:21.219 --> 00:05:26.901]  They're not fond of rules, and they have no respect for the status quo.
[00:05:27.001 --> 00:05:31.762]  You can quote them, disagree with them, glorify or vilify them,
[00:05:32.685 --> 00:05:35.467]  But the only thing you can't do is ignore them.
[00:05:36.907 --> 00:05:41.990]  And while some may see them as the crazy ones, we see genius.
[00:05:43.671 --> 00:05:50.515]  Because the people who are crazy enough to think they can change the world are the ones who do.
[00:06:10.186 --> 00:06:16.772]  Live from the Infowars.com studios, you're listening to The Alex Jones Show.
[00:06:17.252 --> 00:06:20.996]  And now, your host, Paul Joseph Watson.
[00:06:25.046 --> 00:06:29.311]  And we are live on this live edition of the Alex Jones Show.
[00:06:29.571 --> 00:06:36.620]  I'm here just for this segment to go over the latest Julian Assange news which obviously David has been talking about at length.
[00:06:37.641 --> 00:06:42.948]  New development since his arrest obviously this morning at the Ecuadorian Embassy in London.
[00:06:44.153 --> 00:06:50.055]  Axios reports Julian Assange charged by US with conspiracy to hack government computer.
[00:06:50.535 --> 00:06:56.056]  So now they're basically trying to get around this idea that he was arrested for journalism, which he was.
[00:06:56.396 --> 00:07:07.559]  If you zoom out and look at the bigger picture, this is basically the culmination of a one decade plus almost revenge campaign by the deep state against Wikileaks against Julian Assange.
[00:07:08.524 --> 00:07:20.073]  But now they're claiming, because he encouraged Chelsea Manning to collect information from hacking a computer, which again, punish the leaker, don't punish the publisher.
[00:07:20.113 --> 00:07:29.220]  That's why this sets such a nightmare precedent for freedom of the press, because they're punishing the publisher, the journalist, in this entire scenario.
[00:07:29.640 --> 00:07:32.843]  Of course that causes no concern whatsoever to the mainstream media,
[00:07:33.553 --> 00:07:38.515]  Because they're never going to get into trouble for that because they never criticize the deep state.
[00:07:38.595 --> 00:07:42.257]  In fact, they parrot the deep state at every available opportunity.
[00:07:43.177 --> 00:07:50.861]  And to that point, the ACLU wrote earlier today, quote, the ACLU actually being good on an issue for a change.
[00:07:51.625 --> 00:08:03.310]  Any prosecution by the United States of Mr Assange for WikiLeaks publishing operations would be unprecedented and unconstitutional and would open the door to criminal investigations of other news organizations.
[00:08:03.770 --> 00:08:16.296]  The reason other news organizations aren't concerned about that and the reason they're celebrating and applauding the arrest of Assange is because those news organizations aren't interested in telling the truth.
[00:08:17.478 --> 00:08:23.280]  They don't only ignore the crimes of the Deep State, they parrot their talking points on a regular basis.
[00:08:23.780 --> 00:08:40.867]  So that's why the likes of CNN, MSNBC and others are not concerned about the impact on freedom of the press, on freedom of speech, because again, they're never going to take that risk of publishing information which offends or criticises the Deep State.
[00:08:41.460 --> 00:08:50.869]  As you see, the only time when the left, the establishment left, gets fully behind any action by the Trump administration is when it serves the interests of the deep state.
[00:08:50.909 --> 00:08:59.678]  It happened with Syria twice during those two instances of military interventionism by the Trump administration, again going against what Trump ran on.
[00:09:00.296 --> 00:09:13.274]  Those were the only times when the likes of Rachel Maddow, anyone at CNN, anyone at MSNBC actually supported Donald Trump and his administration when it served the interest of the deep state.
[00:09:14.216 --> 00:09:14.937]  You've also got
[00:09:15.894 --> 00:09:23.341]  The wider perspective of this happening in the United Kingdom, obviously he wasn't just arrested for skipping bail back in 2012.
[00:09:24.181 --> 00:09:34.891]  Now we have learned, and it's now official, that he was arrested because he is about to be extradited to the United States of America, where he could disappear into a black hole for the rest of eternity.
[00:09:36.477 --> 00:09:50.980]  So you have a situation in the United Kingdom where it's literally a country that ignores and eventually looks like it will annul the result of the democratic vote with Brexit, which still hasn't happened and there's been yet another delay.
[00:09:51.020 --> 00:09:54.760]  They've kicked the can down the road now to the end of October.
[00:09:55.520 --> 00:10:01.241]  We were supposed to leave the European Union based on the democratic vote that we had nearly three years ago.
[00:10:01.261 --> 00:10:04.702]  We were supposed to leave the European Union at the end of last month.
[00:10:04.762 --> 00:10:04.922]  Now,
[00:10:05.908 --> 00:10:12.171]  At the earliest, that's probably not going to happen until the end of October, if it happens at all, because they're just going to keep on kicking the can down the road.
[00:10:13.111 --> 00:10:22.755]  So we have a country that ignores the results of democratic votes, and we have a country that arrests journalists and whistleblowers in the case of Julian Assange.
[00:10:22.856 --> 00:10:25.477]  In other words, it's not a free country.
[00:10:27.518 --> 00:10:28.478]  You also have the point
[00:10:30.342 --> 00:10:33.403]  Donald Trump's just tweeted about Brexit, which we just flashed up there.
[00:10:34.164 --> 00:10:36.205]  So at least he's on the offensive on that.
[00:10:37.105 --> 00:10:53.313]  We also have the point that most of the people celebrating, justifying the arrest of Julian Assange today are the exact same people who blathered hysterically about Russian collusion for the past two plus years and were proven spectacularly wrong.
[00:10:54.099 --> 00:11:09.691]  These were the same people that claimed the Trump administration was protecting Julian Assange from extradition because, again, he was part of this grand conspiracy with Russia to hack into and release the pedestrian emails, no evidence for which existed for that.
[00:11:10.772 --> 00:11:13.654]  So, again, they wanted their cake and they wanted to eat it.
[00:11:13.694 --> 00:11:16.637]  They said that Assange was part of the Trump-Russia collusion conspiracy.
[00:11:17.319 --> 00:11:27.943]  Now Assange, having not been extradited under Obama for years and years, has been extradited basically on the orders of the Trump administration, or at least the deep state which stands behind it.
[00:11:29.844 --> 00:11:30.864]  So what is it to be?
[00:11:30.884 --> 00:11:37.007]  They've been proven spectacularly the wrong time and time again about Russian collusion for the past two years plus.
[00:11:37.754 --> 00:11:45.137]  Now they're celebrating and justifying with legalese Julian Assange's arrest and we're supposed to trust their judgment.
[00:11:45.257 --> 00:11:47.478]  No, I'm not going to trust their judgment.
[00:11:48.618 --> 00:12:01.523]  Of course the reason most people on the left who have been infected by Trump derangement syndrome are celebrating and cheering Assange's arrest for the crime of doing journalism is because they're still butthurt about the election
[00:12:02.205 --> 00:12:08.348]  Two and a half years later, they're still butthurt about Hillary Clinton losing, they still blame Julian Assange for his defeat.
[00:12:08.708 --> 00:12:25.195]  So all concerns about freedom of the press, about journalists being arrested and extradited and potentially tortured and put in a hole for releasing truthful information, goes out of the window, because again, Trump Derangement Syndrome eliminates all reason.
[00:12:26.596 --> 00:12:31.478]  In fact, Michael Tracy tweeted this earlier, one of the few honest people on the left with principles,
[00:12:32.850 --> 00:12:48.526]  He said he cannot adequately express his burning contempt for media hacks and Twitter charlatans who spent three years pretending to care about Trump's attacks on press freedom by which they mostly meant his sarcastic quips to Jim Acosta but cheer the arrest of Assange.
[00:12:49.289 --> 00:12:51.991]  Of course, that's the narrative we've had for the past two years plus.
[00:12:52.311 --> 00:12:53.912]  Democracy dies in darkness.
[00:12:54.213 --> 00:12:57.495]  Trump is assaulting the free press by being mean to Jim Acosta.
[00:12:57.875 --> 00:13:09.524]  Oh, but when an actual journalist gets arrested and faces torture and faces being in a hole for the rest of eternity, the rest of his life, no, that's just fine because Hillary Clinton.
[00:13:09.884 --> 00:13:12.206]  Again, they've got no principles whatsoever.
[00:13:13.987 --> 00:13:16.729]  You've got Malcolm Dance over at MSNBC applauding.
[00:13:18.436 --> 00:13:21.878]  With literal hand claps in his tweet, the arrest of a journalist.
[00:13:23.059 --> 00:13:37.429]  Glenn Greenwald tweeted this, the security state agents for NBC, MSNBC cheering the Trump administration for arresting Assange because they're authoritarians who only pretend to care about press freedom when it advances their partisan interests.
[00:13:37.969 --> 00:13:41.932]  This is what happens when news outlets merge with the US government.
[00:13:42.332 --> 00:13:45.795]  But it's not just media outlets on the left that are applauding this,
[00:13:46.624 --> 00:14:03.517]  Basically, apart from Judge Andrew Napolitano, who rightly called Assange a hero and said that this was trumped up, phony and ridiculous, Fox News for the past four or five hours has had commentator after commentator trotted out cheering this arrest once again.
[00:14:04.078 --> 00:14:06.840]  So again, they have no principles whatsoever.
[00:14:07.180 --> 00:14:14.886]  As soon as WikiLeaks and Julian Assange is not useful to their partisan agenda anymore on the right, they dump him.
[00:14:15.558 --> 00:14:24.523]  In fact, there was one Fox News commentator who was literally calling him a rapist, even though those charges were completely dismissed, lying about him from wall to wall.
[00:14:24.883 --> 00:14:41.893]  The Daily Caller, and whether this was some idiot staffer who was going to be fired or whatever, or whether they're going to delete the tweet, they haven't deleted it yet, they basically made a big joke about it and said that Julian Assange, because he did look like a prisoner of war, because he's been mistreated, his health concerns haven't been
[00:14:42.722 --> 00:14:45.544]  Attended to for the past seven years, he's barely seen sunlight.
[00:14:45.804 --> 00:14:48.425]  They were joking about him not knowing what year it was.
[00:14:49.366 --> 00:14:53.609]  And now they're getting ratioed on Twitter for that incredibly dumb tweet.
[00:14:53.729 --> 00:15:00.173]  Hopefully it was just some idiot staffer, but if that is the position of the Daily Caller, then I've lost all respect for the Daily Caller.
[00:15:00.613 --> 00:15:05.616]  Because like Fox News, like NBC, they also have no consistent principles.
[00:15:07.139 --> 00:15:11.542]  So in summary Assange exposed the war crimes committed at the behest of neocon warmongers.
[00:15:11.962 --> 00:15:19.728]  It was those war crimes, it was the deliberate targeting of journalists in Iraq and other countries that harmed America's reputation, not Wikileaks.
[00:15:20.708 --> 00:15:31.796]  Now the exposure of those war crimes was perfectly in line with the non-interventionist, non-military adventurism, America first policy that Trump first ran on.
[00:15:32.256 --> 00:15:35.719]  So now the only conclusion, and this from what I've seen on Twitter,
[00:15:36.613 --> 00:15:44.397]  And elsewhere is the consensus opinion amongst Trump's base is that Trump must now pardon Julian Assange.
[00:15:44.817 --> 00:15:51.460]  Will Trump side with the deep state that has sought to sabotage and undermine his presidency for the past two years plus?
[00:15:51.801 --> 00:15:57.864]  Or will he side with his base, his supporters, and pardon Julian Assange and do the right thing?
[00:15:57.964 --> 00:15:59.244]  That's going to wrap it up for this segment.
[00:15:59.264 --> 00:16:02.226]  David Knight will be back in the next Frankie News Info Wars.
[00:16:02.806 --> 00:16:08.714]  In a time where your body is constantly under attack by outside toxins, irregularity can be a nightmare.
[00:16:08.934 --> 00:16:15.102]  That's why InfoWars Life created Regulize Complete to relieve intestinal issues in a gentle way.
[00:16:15.443 --> 00:16:17.926]  Often a result of poor diet and lifestyle habits.
[00:16:18.146 --> 00:16:21.570]  An occasionally constipated colon can cause massive problems.
[00:16:21.870 --> 00:16:28.057]  Our researchers combined ancient ingredients traditionally used to combat these issues in an affordable way.
[00:16:28.337 --> 00:16:34.384]  Other harsh, stimulant laxatives can create massive discomfort in trying to solve intestinal issues.
[00:16:34.904 --> 00:16:41.887]  But Regulize Complete was made to be taken in a daily overnight colon cleanse to help you reach optimal gut and colon health.
[00:16:42.147 --> 00:16:49.029]  Our gentle, natural laxative, unlike other laxative products, our low dose is safe enough for year-round consumption.
[00:16:49.209 --> 00:16:53.591]  Don't let intestinal distress and occasional constipation get the jump on you.
[00:16:54.071 --> 00:17:01.514]  Start your colon cleansing for a healthier, happier gut today with Regulize Complete, available at infowarestore.com.
[00:17:11.924 --> 00:17:20.328]  By leaps and by bounds, the number one best-selling supplement family in the world is energy drinks and energy supplements.
[00:17:20.948 --> 00:17:30.993]  But they are riddled with dyes and toxins and synthetic caffeines and other chemicals that sure get you a quick boost, but burn out in just a few hours and have terrible side effects.
[00:17:31.033 --> 00:17:39.537]  We have developed, hands down from our research, the most powerful, healthy energy drink pre-workout and beyond system in the world.
[00:17:40.401 --> 00:17:41.361]  There's nothing else like it.
[00:17:41.721 --> 00:17:42.762]  You must experience it.
[00:17:42.882 --> 00:17:44.782]  It is a total game changer.
[00:17:44.882 --> 00:17:49.224]  And it comes in easy to use packets to mix it with fruit juice or water, whatever you'd like.
[00:17:49.884 --> 00:17:51.324]  Warning though, it's very, very strong.
[00:17:51.404 --> 00:17:52.384]  It lasts 10 hours.
[00:17:52.885 --> 00:17:59.026]  So take a half packet the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[00:17:59.566 --> 00:18:01.067]  TurboForce at m4slive.com.
[00:18:02.383 --> 00:18:08.365]  The scientists at Infowars Life have created a powerful formula for inflammatory support and joint support.
[00:18:08.766 --> 00:18:11.367]  Discover the power of ancient medicine with Bades.
[00:18:11.967 --> 00:18:15.408]  Bades contains one of the most potent forms of turmeric available.
[00:18:15.668 --> 00:18:19.950]  Turmeric has been used for thousands of years and is one of the most studied herbals today.
[00:18:20.370 --> 00:18:23.612]  It is well known in traditional medicine for its soothing properties.
[00:18:24.532 --> 00:18:34.763]  Our pure turmeric extract plus piperine from Black Pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[00:18:35.524 --> 00:18:44.073]  Regular turmeric root from the store only contains 1-5% of active ingredients, but our turmeric root extract contains over 95% of the active ingredients.
[00:18:45.715 --> 00:18:54.248]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme to work synergistically for full body support.
[00:18:54.768 --> 00:18:59.055]  Try Bodies today at InfoWarsLife.com or call us at 1-888-253-3139.
[00:19:05.482 --> 00:19:14.769]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:19:15.249 --> 00:19:26.277]  Based off hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and wake-up America Patriot Blend coffee.
[00:19:26.957 --> 00:19:32.581]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:19:33.121 --> 00:19:44.749]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:19:44.969 --> 00:19:48.951]  You can even choose to start your morning healthier with the Immune Support Blend.
[00:19:49.231 --> 00:19:52.874]  Infused with a powerful blend to support your immune response and stamina,
[00:19:53.194 --> 00:19:55.416]  It's time to take care of your morning routine.
[00:19:55.436 --> 00:20:01.901]  Get a bag of Patriot Blunt coffee to support the show while enhancing your morning routine at InfoWarStore.com.
[00:20:06.484 --> 00:20:09.266]  You're listening to the Alex Jones Show.
[00:20:14.250 --> 00:20:15.871]  I'm picking up a fake transmission.
[00:20:16.031 --> 00:20:18.073]  I think it's Alex Jones calling.
[00:20:23.290 --> 00:20:24.831]  But here's the good news, chumps.
[00:20:26.592 --> 00:20:32.856]  You think you're gonna assassinate Trump, or shoot down the independent media, and bully a bunch of us into going along with you?
[00:20:34.858 --> 00:20:36.038]  I'd like reserve power.
[00:20:36.139 --> 00:20:38.260]  How long from being willing to not fight?
[00:20:38.280 --> 00:20:39.801]  Twenty-one at this point.
[00:20:40.021 --> 00:20:45.384]  And only the dumbest morons buy into your SJW globalist George Soros droppings.
[00:20:45.465 --> 00:20:46.125]  Stabilizer.
[00:20:46.285 --> 00:20:47.186]  Emergency reserve.
[00:20:47.246 --> 00:20:50.067]  Hillary Clinton and the New World Order and Michael Moore.
[00:20:50.128 --> 00:20:52.069]  Go back to Haiti, where you came from.
[00:20:53.385 --> 00:20:56.847]  We're awake, and you're not putting us back in the coma!
[00:20:56.907 --> 00:20:58.367]  You got that, Jack?
[00:20:58.407 --> 00:20:59.088]  You're done!
[00:20:59.608 --> 00:21:00.688]  It's over, worldwide!
[00:21:02.089 --> 00:21:02.449]  Get him back!
[00:21:02.469 --> 00:21:09.652]  Get him back!
[00:21:09.792 --> 00:21:13.694]  If you are receiving this transmission, you are the Resistance.
[00:21:18.627 --> 00:21:19.628]  I will tell you this.
[00:21:20.348 --> 00:21:28.153]  Russia, if you're listening, I hope you're able to find the 30,000 emails that are missing.
[00:21:29.114 --> 00:21:32.916]  I think you will probably be rewarded mightily by our press.
[00:21:33.797 --> 00:21:34.758]  Let's see if that happens.
[00:21:34.778 --> 00:21:35.338]  That'll be next.
[00:21:35.358 --> 00:21:35.718]  Yes, sir.
[00:21:36.659 --> 00:21:45.545]  Aging a lot more than seven years, looking like a hermit who's been locked up for most of their life in solitary confinement, a defiant
[00:21:47.179 --> 00:22:03.046]  Julian Assange was carried from the Ecuadorian embassy where he's been for more than seven years into a waiting government black bag van where he then disappeared so that the UK government can extradite this hero to the United States.
[00:22:04.467 --> 00:22:10.330]  Seven years of solitary confinement for exposing the giant illegal surveillance state
[00:22:11.272 --> 00:22:14.675]  The Deep State has been using to dominate and control the American people.
[00:22:15.035 --> 00:22:18.378]  Not giving up US secrets that hurt any of our real operations, no.
[00:22:18.818 --> 00:22:26.705]  But exposing the treason of the Democratic Party working with Communist China and others to surveil and spy on the American people.
[00:22:27.785 --> 00:22:29.026]  Now, let's remember something.
[00:22:30.123 --> 00:22:30.984]  I'll play the clip in a moment.
[00:22:31.564 --> 00:22:40.071]  President Trump famously, about four months before the election in 2016, said, I don't know who has the rest of Hillary's 30,000 emails.
[00:22:40.711 --> 00:22:41.712]  But that's not the issue.
[00:22:42.433 --> 00:22:48.678]  It's the fact that she had them illegally on a server, and that she was letting other governments get onto that server.
[00:22:49.018 --> 00:22:52.340]  So I don't care who has the emails, whether it's Russia.
[00:22:52.621 --> 00:22:54.022]  If Russia's got them, release them.
[00:22:54.862 --> 00:22:55.643]  He's absolutely right.
[00:22:56.604 --> 00:22:57.885]  She's committed the crime.
[00:22:59.326 --> 00:23:03.208]  She's been exposed, and so she now needs to get in trouble.
[00:23:03.988 --> 00:23:20.655]  But instead, she's a member of the establishment, like Clapper and Brennan and all the rest of them, who illegally spied on the Trump campaign, then lied to Congress about it, while the whole time illegally leaking the twisted, classified information.
[00:23:21.596 --> 00:23:24.177]  Something they accuse Assange of doing.
[00:23:25.197 --> 00:23:50.025]  If you look at the compendium of what Julian Assange has done and what WikiLeaks has done since then, it's been a clearinghouse for intelligence agents and others in our own government that are upset about Vault 7 and all the other incredible revelations that have come out of the CIA planting things on people's computers, of the government trying to create race wars, of all the things we see carried out every day on CNN.
[00:23:51.604 --> 00:24:16.863]  Wikileaks gave us a backstage pass to see what the swamp was up to, and we owe much of the freedom this country is now beginning to enjoy, and the criminal referrals of the deep state that Congressman Nunes has put forward, and Trump openly talking about how there need to be indictments and criminal charges against the people that tried to engage in a coup against the president and against the people.
[00:24:18.624 --> 00:24:20.505]  So yes, President Trump must
[00:24:21.957 --> 00:24:24.158]  Must give Julian Assange a pardon.
[00:24:25.178 --> 00:24:39.841]  The grand jury that we know indicted him years ago and the courts need to absolutely reconsider what they've done because you can't have a president saying, I don't care who's got the emails, I don't care who's got the evidence of criminal activity.
[00:24:40.501 --> 00:24:47.923]  It's basic whistleblowing to override the system when the system's using secrecy to expand their criminal operations.
[00:24:48.723 --> 00:24:54.171]  The checks and balances out there are brave men and women that will release information.
[00:24:54.792 --> 00:24:56.955]  Like Daniel Ellsberg and the Pentagon Papers.
[00:24:57.456 --> 00:24:59.119]  The government knew Vietnam was lost.
[00:24:59.419 --> 00:25:01.081]  They knew we weren't allowed to win it.
[00:25:02.199 --> 00:25:07.645]  And it was Daniel Ellsberg releasing that information that allowed that war to come to an end.
[00:25:07.905 --> 00:25:13.171]  And of course he did it with authorization of large sectors of the intelligence community.
[00:25:13.752 --> 00:25:18.196]  Just like in the last 10 years, Assange has done the same thing.
[00:25:19.249 --> 00:25:22.911]  The truth is, the leaks aren't coming from the Russians, ladies and gentlemen.
[00:25:23.372 --> 00:25:26.113]  They're coming from people inside our own government that are patriots.
[00:25:26.413 --> 00:25:31.977]  William Benny, technical head of the NSA, he never leaked information to the public.
[00:25:32.637 --> 00:25:36.239]  No, he simply went and testified secretly to Congress, legally and lawfully.
[00:25:36.539 --> 00:25:37.460]  They SWAT teamed him.
[00:25:38.020 --> 00:25:38.801]  They poisoned him.
[00:25:39.241 --> 00:25:40.082]  He lost his legs.
[00:25:40.882 --> 00:25:41.562]  And the list goes.
[00:25:42.803 --> 00:25:43.844]  On and on and on.
[00:25:43.944 --> 00:25:49.870]  Mr. Drake and so many others are heroes and we should realize that and understand that.
[00:25:50.390 --> 00:25:56.576]  And everyone that's taken action against the deep state and spoken out against the Clintons and their crime syndicate are heroes as well.
[00:25:57.216 --> 00:26:05.403]  All of you the listeners that have spoken out and spread the word at church and school and work and in the streets who've been persecuted and yelled at and in some cases fired.
[00:26:06.144 --> 00:26:07.605]  You are not victims.
[00:26:08.306 --> 00:26:09.968]  You are targets because you're effective.
[00:26:10.248 --> 00:26:11.009]  You're telling the truth.
[00:26:11.609 --> 00:26:14.812]  You are active in this country, in this world, making it a better place.
[00:26:15.092 --> 00:26:15.833]  So I'll say it again.
[00:26:17.254 --> 00:26:20.677]  Julian Assange is a hero by every yardstick.
[00:26:21.498 --> 00:26:28.505]  And I know that the, quote, intelligence communities are worried about illegal leaks in the future if we hold up leakers as heroes.
[00:26:29.721 --> 00:26:35.027]  But the truth is, each leaker will be judged according to what it is they brought forward.
[00:26:35.127 --> 00:26:38.471]  Were they just a leaker for political gain or power or money?
[00:26:38.932 --> 00:26:48.543]  Or were they people that had a conscience and knew that what was going on was wrong and stepped up to the plate to make the world a more open, free society?
[00:26:49.144 --> 00:27:02.329]  Because the real crime is the Deep State and Big Tech working together with the Chi-Coms and others, and Google disrespecting our government and our people and our Pentagon so much that it's openly moved to China and thrown its lot in with them.
[00:27:03.429 --> 00:27:10.231]  These authoritarians don't respect us, ladies and gentlemen, because they've used our open, free society to burrow in and destroy us from within.
[00:27:10.251 --> 00:27:17.014]  And if we persecute the heroes in our society to do the right thing, we don't deserve to be a free nation.
[00:27:18.038 --> 00:27:22.962]  We don't deserve to call ourselves Americans.
[00:27:23.903 --> 00:27:25.305]  President Trump has no choice.
[00:27:26.686 --> 00:27:32.631]  And we've seen mixed signals out of his lawyers and others, some arguing that Assange is a hero, some arguing that Assange is a criminal.
[00:27:33.352 --> 00:27:35.294]  And if Trump listens to the neocons, they'll throw
[00:27:36.510 --> 00:27:39.512]  The key away after that door slammed back on Julian Assange.
[00:27:40.492 --> 00:27:55.080]  But President Trump could easily look at the case, point out that almost all of it was actually legitimate whistleblowing, point out that it wasn't criminal leaking, and then find a few areas that perhaps shouldn't have been released and say time served.
[00:27:56.220 --> 00:27:59.742]  Assange has already spent more time in prison than Bradley Manning.
[00:28:02.544 --> 00:28:04.865]  AKA Chelsea Manning.
[00:28:06.092 --> 00:28:11.575]  And again, it's time that he be released and given the hero's welcome he deserves.
[00:28:12.435 --> 00:28:13.576]  Trump doesn't have a choice.
[00:28:14.456 --> 00:28:20.399]  If Trump doesn't do this, how will anybody else in the future know that they do the right thing and already go through hell?
[00:28:21.533 --> 00:28:23.514]  The good people, good men and women won't stand with him.
[00:28:24.454 --> 00:28:39.560]  The good news is, despite he's really aged and looks like a hermit, the man from the high tower, the man put in solitary confinement, the man of, well really, solitude, Julian Assange, was defiant and was speaking out.
[00:28:40.161 --> 00:28:43.702]  And if you listen as he's shoved to the van, he's talking about Trump.
[00:28:45.283 --> 00:28:50.125]  Julian Assange did not want to be an island unto himself, but he's been made that.
[00:28:51.098 --> 00:28:52.139]  He's already been in prison.
