[00:00:30.834 --> 00:00:31.954]  It's Sunday, August 25th.
[00:05:51.293 --> 00:05:57.140]  You live by life's two greatest rules, punch Nazis, and everyone I don't like is a Nazi.
[00:05:57.200 --> 00:06:02.888]  Donald Trump, President Forever, Washington D.C.
[00:06:11.537 --> 00:06:14.240]  You found it, the tip of the spear.
[00:06:14.801 --> 00:06:19.647]  It is the Alex Jones Show with Owen Troyer.
[00:06:31.608 --> 00:06:33.529]  It's Sunday, August 25th, 2019.
[00:06:35.671 --> 00:06:37.472]  This is the Alex Jones Show.
[00:06:37.932 --> 00:06:45.216]  Owen Troyer filling in for Alex today, but we've got a couple of great guests that are going to be in studio.
[00:06:45.336 --> 00:06:59.765]  Sargon of Akkad is going to be in studio with me today on the Alex Jones Show, and then also Count Dankula will be in studio with Alex tomorrow, and they will be filing some other videos and reports for your viewing pleasure exclusively
[00:07:00.606 --> 00:07:08.368]  At InfoWars.com and InfoWars.com only because, you know, they've banned us off Twitter and Facebook and YouTube.
[00:07:09.808 --> 00:07:18.970]  And then those accounts that they let post InfoWars stuff still, they just shadow ban them, take away their view counts, make sure nobody can see their stuff.
[00:07:18.990 --> 00:07:20.551]  But, oh, you still have an account.
[00:07:20.851 --> 00:07:22.231]  It's just nobody sees it.
[00:07:23.351 --> 00:07:26.972]  And sure, it all came out via Google whistleblowers.
[00:07:27.032 --> 00:07:29.973]  In fact, many of them have been in studio or on air with us now.
[00:07:31.400 --> 00:07:37.143]  And everything that we reported on going on with the social media and internet censorship has come true.
[00:07:37.183 --> 00:08:00.635]  Now, there's so many developing news stories from Hong Kong and Taiwan and China where we have a crew in Hong Kong, to what's happening with the renaissance in the West, what's happening with the deep state having to expose itself to try to remain in power, and how this shockwave
[00:08:02.390 --> 00:08:10.635]  Of a nationalist renaissance that was the election of Donald Trump has now gone worldwide.
[00:08:11.675 --> 00:08:17.919]  And so everybody's hopping on board this revolution now because finally one man has just been brave enough to embark.
[00:08:17.939 --> 00:08:19.520]  That doesn't mean Trump is perfect.
[00:08:19.780 --> 00:08:23.943]  It means finally a figurehead bucking the system is here.
[00:08:25.684 --> 00:08:30.887]  Finally a figurehead that is so hated by the establishment is here.
[00:08:31.949 --> 00:08:35.232]  And is not willing to back down.
[00:08:37.575 --> 00:08:44.141]  And so that's what's going worldwide with Boris Johnson and the Brexit, with everything happening in Hong Kong and other places.
[00:08:48.125 --> 00:08:52.289]  And we sit here as one of the most censored news organizations in the West.
[00:08:52.449 --> 00:08:52.809]  Why?
[00:08:52.949 --> 00:08:56.433]  Because we told you it was all going to happen.
[00:08:59.434 --> 00:09:05.478]  And so we've got all these crazy videos coming up, but you know, what the mainstream media is doing to President Trump right now is honestly criminal.
[00:09:06.039 --> 00:09:10.742]  And it's reached a point of insanity that we've not yet seen before.
[00:09:10.782 --> 00:09:18.748]  Now, we're going to get into all the Hong Kong news, we've got a lot of developing news stories right here, a ton of video clips to get to, Sargon of Akkad coming up in studio.
[00:09:20.149 --> 00:09:21.970]  But you have a CNN panel
[00:09:24.770 --> 00:09:26.930]  Now they've gone, you know, where do you start?
[00:09:26.950 --> 00:09:29.391]  Well, Trump talks inappropriately about women.
[00:09:29.411 --> 00:09:30.091]  Well, that didn't work.
[00:09:30.111 --> 00:09:31.571]  Okay, let's say he rapes women.
[00:09:31.611 --> 00:09:32.572]  Well, Trump rapes women.
[00:09:32.612 --> 00:09:34.772]  Okay, well, you're already proven liars.
[00:09:34.912 --> 00:09:35.632]  Nobody believes that.
[00:09:35.652 --> 00:09:39.673]  Well, Trump's tax returns are going to bring him down, so they release the tax returns.
[00:09:39.713 --> 00:09:40.353]  Eh, nothing there.
[00:09:40.373 --> 00:09:42.093]  I mean, it just goes on and on.
[00:09:42.113 --> 00:09:43.134]  I mean, name the names.
[00:09:43.474 --> 00:09:44.854]  Manafort would bring down Trump.
[00:09:44.934 --> 00:09:45.314]  He didn't.
[00:09:47.574 --> 00:09:48.875]  Cohen would bring down Trump.
[00:09:48.915 --> 00:09:49.255]  He didn't.
[00:09:49.415 --> 00:09:50.455]  Stormy Daniels.
[00:09:50.495 --> 00:09:50.775]  Nothing.
[00:09:52.332 --> 00:09:56.656]  And then it's, he's a racist, he's a bigot, he's KKK, he's Nazi.
[00:09:58.397 --> 00:10:01.920]  And you think, well, maybe that's about as far as they can go, right?
[00:10:01.960 --> 00:10:07.565]  I mean, calling someone a racist, a Nazi, a KKK leader, I mean, this is about as far as you can go.
[00:10:08.565 --> 00:10:09.006]  Oh no!
[00:10:12.349 --> 00:10:12.869]  Oh no!
[00:10:14.050 --> 00:10:16.972]  CNN has actually gone farther.
[00:10:17.473 --> 00:10:18.334]  You ask, how?
[00:10:19.960 --> 00:10:30.468]  Well here is the clip of CNN now saying that Trump has murdered more people than every communist dictator that is responsible for millions and millions of deaths.
[00:10:30.989 --> 00:10:37.434]  Listen to what CNN, they've now gone beyond racist, beyond Nazi, beyond the pale.
[00:10:38.695 --> 00:10:49.544]  They've totally untethered from any sense of reality and this is a CNN panel saying that Trump is now a mass murderer the likes of every communist dictator that ever lived.
[00:10:52.008 --> 00:10:56.873]  Well, I think that medicalizing politics has three very dire consequences.
[00:10:57.874 --> 00:11:00.997]  The first is that it stigmatizes the mentally ill.
[00:11:01.537 --> 00:11:03.219]  I've known thousands of patients.
[00:11:03.339 --> 00:11:07.763]  Almost all of them have been well-behaved, well-mannered, good people.
[00:11:08.063 --> 00:11:09.144]  Trump is none of these.
[00:11:09.825 --> 00:11:16.511]  Lumping the mentally ill with Trump is a terrible insult to the mentally ill, and they have enough problems and stigma as it is.
[00:11:17.432 --> 00:11:28.421]  The second issue is that calling Trump crazy hides the fact that we're crazy for having elected him, and even crazier for allowing his crazy policies to persist.
[00:11:29.101 --> 00:11:35.447]  Trump is as destructive a person in this century as Hitler, Stalin, and Mao were in the last century.
[00:11:35.887 --> 00:11:39.150]  He may be responsible for many more million deaths than they were.
[00:11:39.870 --> 00:11:44.952]  He needs to be contained, but he needs to be contained by attacking his policies.
[00:11:44.972 --> 00:11:47.053]  Just pause that shot right there and look at that.
[00:11:47.093 --> 00:11:47.714]  No, no, go back.
[00:11:47.734 --> 00:11:48.474]  Just look at this panel.
[00:11:51.855 --> 00:11:57.478]  Just look at this panel of limp-necked... I mean, this is unbelievable.
[00:11:57.538 --> 00:11:58.478]  I can't believe what I just heard.
[00:11:59.419 --> 00:12:03.921]  This is a CNN guest of Brian Stelter's, Pennywise.
[00:12:05.542 --> 00:12:08.263]  You know, the guy... This is how Brian Stelter gets a guest on air.
[00:12:09.033 --> 00:12:11.775]  Come on the air with me, the popcorn's ready!
[00:12:12.596 --> 00:12:13.817]  You smell the peanuts?
[00:12:14.538 --> 00:12:15.699]  We're all gonna flow!
[00:12:16.359 --> 00:12:18.061]  Just come on Brian Stelter!
[00:12:18.941 --> 00:12:21.223]  Tell him Trump murders millions of people!
[00:12:21.243 --> 00:12:25.607]  I mean, it's like... See, where do they go next?
[00:12:25.707 --> 00:12:26.688]  That's the question everybody asks.
[00:12:28.274 --> 00:12:29.135]  So where do they go next?
[00:12:29.175 --> 00:12:34.880]  Now they're saying Trump is worse than a man who's murdered millions and millions of people.
[00:12:34.900 --> 00:12:37.022]  In fact, they're saying his policies are going to do that now on CNN.
[00:12:37.602 --> 00:12:38.843]  This is CNN.
[00:12:39.204 --> 00:12:40.285]  Who did CNN just hire?
[00:12:40.345 --> 00:12:44.688]  Was it Andrew McCabe, the disgraced FBI agent?
[00:12:44.869 --> 00:12:45.309]  Oh!
[00:12:48.432 --> 00:12:49.593]  This is CNN.
[00:12:49.873 --> 00:12:51.715]  Reliable Sources with Brian Stelter.
[00:12:52.115 --> 00:12:52.735]  And don't worry.
[00:12:54.025 --> 00:13:04.972]  All of our fake news is yet to bring down Trump, so we're gonna take it to the next level, and we're going to say that Donald Trump has murdered hundreds of millions, and he must be brought into justice.
[00:13:05.593 --> 00:13:06.393]  So, that's what they said.
[00:13:06.653 --> 00:13:07.754]  It starts with mental illness.
[00:13:08.955 --> 00:13:09.995]  Trump is mentally ill.
[00:13:10.676 --> 00:13:11.216]  No, he's not.
[00:13:12.097 --> 00:13:12.937]  You're mentally ill.
[00:13:12.957 --> 00:13:20.082]  I mean, if we're gonna be... I mean, let's be real, like, all jokes aside, if anyone is mentally ill, it's Brian Stelter.
[00:13:24.721 --> 00:13:29.883]  I mean, Donald Trump took a drug test and he was on what?
[00:13:30.503 --> 00:13:33.104]  I think it was like some kidney prescription or something.
[00:13:33.124 --> 00:13:33.945]  He had a couple prescriptions.
[00:13:33.965 --> 00:13:38.226]  I wonder what Brian Stelter takes before he goes on air.
[00:13:39.087 --> 00:13:40.507]  Or Rachel Maddow.
[00:13:40.827 --> 00:13:43.188]  You don't think maybe there's some prescription drugs in there?
[00:13:43.368 --> 00:13:44.068]  Hey, I don't know!
[00:13:44.769 --> 00:13:48.510]  You guys sit on air and say Trump's mentally ill all day and he's responsible for hundreds of millions of people.
[00:13:48.830 --> 00:13:50.531]  I'm starting to think you're mentally ill!
[00:13:54.824 --> 00:14:00.545]  We're going to get through all of the big news and all of the headlines at InfoWars.com coming up here.
[00:14:02.766 --> 00:14:10.268]  So I have been on a vacation for the last week, and I totally check out normally when I do this.
[00:14:10.308 --> 00:14:16.289]  So I'm a little rusty coming on air here, but the good news is the crew brought me some TurboForce.
[00:14:17.449 --> 00:14:18.570]  And this is the real deal.
[00:14:18.590 --> 00:14:20.510]  A lot of people say, oh, you know, oh, it's a gimmick.
[00:14:20.570 --> 00:14:21.270]  You just do it on air.
[00:14:21.310 --> 00:14:21.670]  No, no, no.
[00:14:22.211 --> 00:14:23.371]  I do this on air because
[00:14:24.921 --> 00:14:27.662]  I take the TurboForce when I need a hit of energy.
[00:14:27.722 --> 00:14:28.623]  So this is no joke.
[00:14:30.703 --> 00:14:38.626]  And anybody who uses it knows how powerful this formula is for a boost of energy that lasts hours.
[00:14:40.787 --> 00:14:43.068]  So I gotta take some TurboForce because I'm a little rusty.
[00:14:44.549 --> 00:14:46.850]  I need to get a little extra focus, a little extra energy here.
[00:14:46.870 --> 00:14:50.391]  So I'm gonna take some TurboForce from InfoWarsTore.com.
[00:14:50.451 --> 00:14:52.512]  And you know, I realize this.
[00:14:54.161 --> 00:15:00.986]  Today, because we pretty much don't even play commercials anymore on our breaks at Infowars.com slash show.
[00:15:01.907 --> 00:15:05.630]  So it's like instead of like saying after these commercials, no, it's after these news reports.
[00:15:05.650 --> 00:15:07.751]  We're playing like bombshell news reports and during breaks.
[00:15:08.151 --> 00:15:09.893]  So this is the only time we really plug here.
[00:15:11.206 --> 00:15:13.908]  And we say, please support us at InfoWarsTore.com.
[00:15:13.928 --> 00:15:14.769]  But you know, I realized something.
[00:15:15.189 --> 00:15:19.593]  Support yourself by going to InfoWarsTore.com and getting some of the great supplements.
[00:15:19.874 --> 00:15:25.518]  Support your own DNA by going to InfoWarsTore.com and getting the DNA Force Plus.
[00:15:25.839 --> 00:15:35.007]  Support your own energy and stamina by getting the Turbo Force from InfoWarsTore.com and not the sugary, loaded up with high fructose corn syrup
[00:15:35.427 --> 00:15:37.269]  It tastes like gasoline energy drinks.
[00:15:37.329 --> 00:15:38.010]  I can't stand those.
[00:15:38.370 --> 00:15:39.891]  I like the taste of TurboForce.
[00:15:39.932 --> 00:15:46.738]  In fact, it's so good, you drink one packet of TurboForce, you're like, want another and another, but you can't because then you're gonna be jumping off the walls.
[00:15:47.039 --> 00:15:48.580]  You already got enough energy from the one packet.
[00:15:48.600 --> 00:15:51.984]  So, I'm taking my TurboForce from InfowarsStore.com right now.
[00:15:52.704 --> 00:15:54.906]  During this break, go to InfowarsStore.com.
[00:15:54.986 --> 00:15:58.870]  Support yourself by getting the great supplements at InfowarsStore.com.
[00:16:03.908 --> 00:16:10.934]  The power structure started out with Nazis and other unsavory groups that banned them first to set the precedent.
[00:16:12.075 --> 00:16:20.563]  But now they've moved on to popular populists like the Yellow Vest Movement, like Tommy Robinson, like Gavin McGinnis, like Laura Loomer.
[00:16:21.264 --> 00:16:24.106]  The whole spectrum of people that are independent and are effective.
[00:16:24.767 --> 00:16:28.090]  There's an attempt to shut that down because they want to control the narrative.
[00:16:29.219 --> 00:16:45.283]  And if that is successful and continuing, it's really a giant electronic iron curtain that Churchill talked about 70 years ago, dropping down across the entire planet, and it's only going to intensify.
[00:16:45.343 --> 00:16:48.404]  So this is a desperate gamble.
[00:16:49.424 --> 00:16:52.825]  Or gambit that's being played by the establishment.
[00:16:53.085 --> 00:16:54.345]  And I don't think it's going to be successful.
[00:16:54.925 --> 00:17:06.188]  I believe in the people, but to have the establishment misrepresent who you are, create a straw man that ban you and then take you down, I don't see that as a position of strength.
[00:17:06.248 --> 00:17:11.130]  I see that as a real position of weakness, and I think it's going to backfire.
[00:17:11.870 --> 00:17:14.230]  Because most people don't do this one time.
[00:17:14.250 --> 00:17:15.691]  And
[00:17:17.999 --> 00:17:20.681]  In the final equation, I'm in fours.
[00:17:21.742 --> 00:17:28.746]  And what I've done is already... We have changed the course of human destiny in a big way.
[00:17:28.967 --> 00:17:34.350]  And so if I did one of those things in my life, I would feel fulfilled.
[00:17:34.971 --> 00:17:37.352]  Like I had really done what I was supposed to.
[00:17:38.393 --> 00:17:40.074]  So I intend to continue on.
[00:17:40.854 --> 00:17:42.295]  I continue to try to change the world.
[00:17:43.096 --> 00:17:47.359]  But my dream is to be able to stop what I'm doing.
[00:17:49.375 --> 00:17:51.698]  In the next five years or so.
[00:17:52.820 --> 00:17:54.322]  Because you can't do this forever.
[00:17:54.342 --> 00:17:59.348]  And politically I've hit the zeitgeist four times.
[00:18:00.550 --> 00:18:03.213]  Four times we've already changed the course of the planet.
[00:18:04.218 --> 00:18:08.181]  And I think it's almost bad luck to go for a fifth or a sixth time.
[00:18:08.942 --> 00:18:11.284]  So, it's not that I don't want to fight.
[00:18:11.444 --> 00:18:12.145]  I want to fight.
[00:18:12.205 --> 00:18:19.551]  But it's almost boorish or greedy or pig-like to continue to think that you're supposed to.
[00:18:19.571 --> 00:18:21.893]  Because most people don't do this one time.
[00:18:23.554 --> 00:18:24.815]  Well, four times.
[00:18:26.316 --> 00:18:26.877]  Four times.
[00:18:28.258 --> 00:18:32.261]  We have changed the course of human destiny in a big way.
[00:18:34.915 --> 00:18:44.822]  I just want the fifth time to warn everybody about the tyranny and the censorship and see humanity respond and then step back and fade into shadows.
[00:18:45.583 --> 00:18:46.824]  That's really my goal.
[00:18:47.724 --> 00:18:50.306]  But I've got a sneaking suspicion that that's not going to happen.
[00:18:51.147 --> 00:18:55.950]  And I think I'm probably going to change paradigms 10 times, 20 times.
[00:18:56.811 --> 00:18:58.932]  So nobody else will do it.
[00:18:59.412 --> 00:18:59.953]  So I've got to do it.
[00:19:06.107 --> 00:19:08.728]  It's just heavy, heavy, heavy.
[00:19:09.548 --> 00:19:12.729]  Make no mistake, it's... We're not in Kansas anymore.
[00:19:13.590 --> 00:19:14.570]  We're not in Kansas anymore.
[00:19:14.590 --> 00:19:19.351]  If you have a corrupt media, you don't have a democracy.
[00:19:22.312 --> 00:19:25.073]  I don't think we've seen division like this in America since Vietnam.
[00:19:25.113 --> 00:19:26.514]  Because it's a form of fascism.
[00:19:27.618 --> 00:19:31.079]  The High Court will examine free speech rights and social media.
[00:19:31.179 --> 00:19:37.922]  Multiple online platforms have now taken down content associated with Alex Jones and InfoWars.
[00:19:42.504 --> 00:19:45.965]  First they come for Alex Jones, everyone else like Davos would fall.
[00:19:54.128 --> 00:19:55.349]  We're not in Kansas anymore.
[00:19:58.084 --> 00:19:59.065]  You can't watch this.
[00:19:59.426 --> 00:20:02.830]  The movie available now at InfoWarsStore.com.
[00:20:06.454 --> 00:20:09.097]  You're listening to the Alex Jones Show.
[00:20:18.769 --> 00:20:21.131]  The answer to 1984 is 1776.
[00:20:21.612 --> 00:20:27.057]  You're listening to the Alex Jones Show.
[00:20:27.518 --> 00:20:30.721]  And now, your host, Owen Troyer.
[00:20:31.642 --> 00:20:40.471]  Welcome back to the Alex Jones Show.
[00:20:43.425 --> 00:20:48.768]  I'm just peeling through all of the news right now, but it's really the same story.
[00:20:50.829 --> 00:20:53.690]  And that is, the world is changing.
[00:20:57.612 --> 00:21:00.274]  The New World Order has failed.
[00:21:02.035 --> 00:21:09.519]  So, really, it just comes down to where are the ships going to fall at the end of all of this.
[00:21:10.834 --> 00:21:14.237]  Trump, President Trump has been meeting with world leaders today.
[00:21:16.179 --> 00:21:20.803]  He agreed to a trade deal with Prime Minister Abe of Japan.
[00:21:20.823 --> 00:21:27.809]  And I believe he was also talking to Emmanuel Macron about some trade deals as well.
[00:21:29.930 --> 00:21:36.096]  He's been hammering Fox News, says Donald Brazil gives Crooked Hillary the questions and now she's on Fox News.
[00:21:37.421 --> 00:21:45.389]  Hey, President Trump, let's not forget that Fox News was pretty much anti-Trump until the RNC.
[00:21:45.729 --> 00:21:49.013]  Fox News did not get you elected, President Trump.
[00:21:49.994 --> 00:21:53.077]  No, in fact, Fox News tried to keep you from being elected.
[00:21:54.258 --> 00:21:57.001]  I think maybe the President is remembering that.
[00:21:58.732 --> 00:21:59.973]  The President also tweeted this out.
[00:22:00.013 --> 00:22:11.638]  The question I was asked most today by fellow world leaders who think the USA is doing so well and is stronger than ever before happens to be, Mr. President, why does the American media hate your country so much?
[00:22:12.518 --> 00:22:15.219]  Why are they rooting for it to fail?
[00:22:18.241 --> 00:22:22.923]  You know, it really is the fake news media, I think,
[00:22:25.876 --> 00:22:33.480]  It really is the fake news media, I think, that has most people just stunned and bewildered at what the hell is really going on.
[00:22:33.500 --> 00:22:39.804]  Because, unless you understand the backdrop, the fake news media doesn't really make any sense.
[00:22:39.824 --> 00:22:43.065]  You're saying, yeah, why are these people lying about you all day long?
[00:22:43.125 --> 00:22:45.166]  Why do these people want to see a civil war in this country?
[00:22:45.627 --> 00:22:46.807]  Why do they stage things?
[00:22:46.847 --> 00:22:48.048]  Why do they lie about things?
[00:22:48.068 --> 00:22:49.809]  Why do they attack people?
[00:22:54.131 --> 00:22:54.712]  Why do they do this?
[00:22:55.032 --> 00:22:56.573]  April Ryan is now going to get sued?
[00:22:57.294 --> 00:23:01.798]  Because she basically had a bodyguard take someone out?
[00:23:02.258 --> 00:23:02.699]  Physically?
[00:23:11.226 --> 00:23:12.667]  Well, yeah.
[00:23:12.927 --> 00:23:20.514]  The violence against Trump supporters is going to be an exclusive story tomorrow, but this is what the media has done.
[00:23:21.783 --> 00:23:22.623]  And you say, well why?
[00:23:23.084 --> 00:23:23.904]  Who are these people?
[00:23:23.964 --> 00:23:24.784]  Why are they doing this?
[00:23:26.965 --> 00:23:30.487]  Yeah, there's something else going on and people are finally starting to see it.
[00:23:31.507 --> 00:23:39.471]  Like Jeffrey Epstein getting offed right in front of everybody's eyes and then we're just told, oh it was suicide.
[00:23:41.051 --> 00:23:41.912]  Suicide, huh?
[00:23:43.692 --> 00:23:44.493]  Suicide.
[00:23:45.233 --> 00:23:45.853]  Nobody's buying it.
[00:23:47.674 --> 00:23:48.514]  Nobody's buying.
[00:23:49.135 --> 00:23:49.355]  You know,
[00:23:50.640 --> 00:23:53.943]  They do Women for Trump events across this country.
[00:23:55.124 --> 00:23:57.366]  They have Women for Trump events.
[00:23:59.028 --> 00:24:00.789]  All these different chapters, all these different cities.
[00:24:02.170 --> 00:24:03.191]  And they have speaking events.
[00:24:04.452 --> 00:24:05.954]  And they get more people.
[00:24:06.734 --> 00:24:07.715]  Trump doesn't even go.
[00:24:07.755 --> 00:24:11.198]  I mean, maybe he's been to one or two, but this isn't even... The Trumps aren't there.
[00:24:12.860 --> 00:24:14.541]  No one from the Trump administration is there.
[00:24:15.447 --> 00:24:18.770]  It's literally just Women for Trump independently organizing.
[00:24:19.530 --> 00:24:24.914]  They get more people to show up at a Women for Trump event than you have at a Biden rally.
[00:24:25.775 --> 00:24:27.336]  And he's apparently leading the polls.
[00:24:27.937 --> 00:24:29.338]  Nobody's buying it.
[00:24:29.578 --> 00:24:32.480]  Elizabeth Warren can't fill a high school gymnasium.
[00:24:33.961 --> 00:24:35.102]  Women for Trump can!
[00:24:35.763 --> 00:24:39.105]  And that's without any politicians being there for a speaking event.
[00:24:39.826 --> 00:24:40.646]  Kamala Harris?
[00:24:41.007 --> 00:24:42.348]  These people are total failures!
[00:24:46.002 --> 00:24:47.443]  Even Fox News Poll says.
[00:24:49.324 --> 00:24:53.547]  Four Democrats beating Trump in New Hampshire.
[00:24:53.867 --> 00:24:57.670]  Where Joe Biden, what was he, in New Hampshire and thinks he's in Vermont?
[00:24:58.230 --> 00:24:59.551]  And this is the guy that's supposed to be running?
[00:24:59.932 --> 00:25:03.134]  Oh, oh, but see, remember what Alex Jones told you?
[00:25:03.174 --> 00:25:05.255]  He said something is wrong with Joe Biden.
[00:25:05.636 --> 00:25:07.197]  This was months before all of it came out.
[00:25:07.957 --> 00:25:08.918]  Now it's mainstream news.
[00:25:09.198 --> 00:25:11.279]  He doesn't know what city he's in.
[00:25:11.299 --> 00:25:13.301]  He can't even talk during a debate.
[00:25:14.977 --> 00:25:15.697]  He's out of control.
[00:25:15.717 --> 00:25:19.059]  Remember how you said, does Trump want to win?
[00:25:19.199 --> 00:25:20.400]  Does Biden want to win?
[00:25:20.420 --> 00:25:23.121]  I don't think Trump really wants to win.
[00:25:23.161 --> 00:25:25.122]  He's literally like losing billions of dollars.
[00:25:26.302 --> 00:25:27.423]  Yeah, Trump doesn't want to win.
[00:25:27.443 --> 00:25:29.584]  He's just like sacrificing it all, this guy.
[00:25:30.324 --> 00:25:31.085]  What a strategy!
[00:25:31.385 --> 00:25:32.886]  Let's see how it works out for him, Cotton!
[00:25:33.783 --> 00:25:34.704]  And then here's Biden.
[00:25:35.144 --> 00:25:36.886]  Can't even finish a debate question.
[00:25:37.126 --> 00:25:38.788]  Can't even know what city he's in.
[00:25:38.868 --> 00:25:41.070]  Fumbling and bumbling and stammering and stuttering.
[00:25:41.090 --> 00:25:42.411]  He doesn't know what the heck's going on.
[00:25:42.611 --> 00:25:47.876]  Can't even keep his hands off the children, even after it goes viral, all these videos of him groping kids.
[00:25:48.517 --> 00:25:49.718]  Does Biden want to win?
[00:25:49.738 --> 00:25:53.821]  Uh-oh, but remember...
[00:25:55.811 --> 00:26:07.562]  Remember that old dog that they just won't... You know, or maybe it's like the old dog that you took out back to the woodshed and, you know, it's like, alright, you know, that's it.
[00:26:08.563 --> 00:26:10.665]  It's a tough life, and then the dog comes back!
[00:26:11.345 --> 00:26:13.047]  Except the dog's name is Hillary Clinton!
[00:26:14.983 --> 00:26:16.164]  And she's fundraising.
[00:26:17.065 --> 00:26:19.907]  And none of these Democrats are doing well in the polls.
[00:26:20.167 --> 00:26:20.928]  They know it's fake.
[00:26:20.948 --> 00:26:22.009]  They know they have no popularity.
[00:26:22.849 --> 00:26:30.896]  You don't think Democrats see Donald Trump's rallies with 30,000 people and then see their rallies with 30 and think, oh, crap.
[00:26:31.877 --> 00:26:32.157]  Oh, yeah.
[00:26:32.617 --> 00:26:33.418]  But they're total frauds.
[00:26:33.438 --> 00:26:34.259]  They'll never let you on.
[00:26:34.679 --> 00:26:40.604]  So, but, you know, we don't even mention the fact that you've still got all these investigations going on to the spying illegally that Obama did.
[00:26:42.073 --> 00:26:46.736]  You're about to have antitrust investigations opened into Google.
[00:26:48.497 --> 00:26:54.921]  The guests that were on the Alex Jones Show just this week are probably going to be testifying in front of Congress before the end of the year.
[00:26:56.061 --> 00:27:03.426]  Now, we've got just over a year before the 2020 election, and the Democrats
[00:27:05.310 --> 00:27:14.535]  Have about six months, maybe seven or eight, to really figure out who their candidate is going to be, and they are lost in the wilderness without a map.
[00:27:16.776 --> 00:27:18.437]  But don't worry, folks.
