[00:00:04.182 --> 00:00:05.923]  Firm suspicions at Veritas.
[00:05:44.878 --> 00:05:46.339]  Love the Soviet Union!
[00:05:46.980 --> 00:05:47.921]  Camilla Harris!
[00:05:48.121 --> 00:05:49.362]  And so many more!
[00:05:49.842 --> 00:05:51.163]  It's the greatest show on Earth!
[00:05:51.564 --> 00:05:55.306]  Head into polewars.com forward slash show with live coverage next week!
[00:05:56.067 --> 00:06:03.031]  Wednesday and Thursday night.
[00:06:06.592 --> 00:06:08.793]  Waging war on corruption.
[00:06:09.294 --> 00:06:14.536]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:15.837 --> 00:06:24.041]  The quickening is here.
[00:06:25.623 --> 00:06:29.165]  The best way to explain it is this, as I tend to do now on a routine basis.
[00:06:30.406 --> 00:06:36.610]  I've been on air 25 years plus now.
[00:06:36.630 --> 00:06:37.710]  25 years.
[00:06:39.791 --> 00:06:47.796]  And I would say maybe once in the first five years would I say this is the most important broadcast we've ever done.
[00:06:47.816 --> 00:06:54.160]  And then about 10 years ago I might say it once a year.
[00:06:55.794 --> 00:06:57.916]  About five years ago I'd say it about once a month.
[00:06:59.178 --> 00:07:06.486]  And now I say it about every week because each broadcast is just covering what's happening in the world and the developments are incredible.
[00:07:07.507 --> 00:07:10.970]  Gene-edited babies that are humanoids and aren't even human.
[00:07:11.471 --> 00:07:12.052]  They're not human.
[00:07:13.322 --> 00:07:15.163]  That have up to five parents.
[00:07:15.603 --> 00:07:18.663]  Humanoids have already been born in China for years.
[00:07:18.743 --> 00:07:20.364]  They've been born here for a long time.
[00:07:21.244 --> 00:07:23.625]  A lot of this got declassified more than 20 years ago.
[00:07:24.105 --> 00:07:26.366]  There are human clones walking around all over the place.
[00:07:26.946 --> 00:07:30.347]  But now it's all admitted in mainstream news.
[00:07:31.207 --> 00:07:37.248]  And I didn't even cover it yesterday when it was in the Associated Press on the Sunday show.
[00:07:37.669 --> 00:07:38.889]  It didn't even rate
[00:07:43.634 --> 00:08:02.178]  15,000 to 13,000 square miles of government-controlled mountains in West Virginia, where no cell phones are allowed, and where they're doing cancer studies, amongst other insane things, trying to make contacts with space aliens.
[00:08:03.638 --> 00:08:09.020]  By the way, if you just tune in to your radio listener and that sounds insane, yeah, it's the establishment, they're insane, they're mad scientists.
[00:08:09.340 --> 00:08:11.020]  The land where the internet ends, New York Times.
[00:08:13.223 --> 00:08:19.385]  They admit the article, what it really is, is a refuge for people that are getting sick from electromagnetic radiation that's man-made.
[00:08:19.985 --> 00:08:21.205]  Like ultra-rich people!
[00:08:21.546 --> 00:08:22.526]  And they admit all that!
[00:08:27.788 --> 00:08:34.870]  I have literally dozens of articles that are so bombshell every day, I could spend the entire 3-4 hours on it.
[00:08:36.150 --> 00:08:38.391]  I spent almost the entire Sunday show just on this.
[00:08:40.219 --> 00:08:42.140]  Here's the problem with a quickening like this.
[00:08:42.580 --> 00:08:45.962]  You'd think everybody would wake up when this big system emerges.
[00:08:46.002 --> 00:08:52.545]  That's not what happens in psychological warfare, as I had one of the heads of the big three megabanks privately tell me.
[00:08:54.386 --> 00:08:58.148]  Hard to believe it's now 14 years ago.
[00:08:59.429 --> 00:09:00.269]  Private conversation.
[00:09:00.649 --> 00:09:01.970]  Told you the conversation many times.
[00:09:02.310 --> 00:09:03.491]  Won't go back into the details.
[00:09:04.611 --> 00:09:07.893]  He said, Alex, you think they're going to adapt and fight it?
[00:09:08.033 --> 00:09:09.254]  They're going to adapt to it.
[00:09:10.660 --> 00:09:13.301]  You don't adapt and overcome, you adapt and submit.
[00:09:15.241 --> 00:09:16.481]  You're a fool not to join us.
[00:09:18.142 --> 00:09:20.962]  The fact that you can see it means you should be with us.
[00:09:21.322 --> 00:09:22.243]  You can't help him.
[00:09:22.743 --> 00:09:29.224]  And the disdain he had for the general public, it was like a Howard Beale network conversation.
[00:09:30.304 --> 00:09:31.385]  Let's play that next segment.
[00:09:33.725 --> 00:09:34.685]  So here's what's going to happen.
[00:09:35.346 --> 00:09:37.066]  I'm not going to cover this piece of news.
[00:09:40.652 --> 00:09:41.712]  Until the bottom of the hour.
[00:09:42.773 --> 00:09:44.393]  And I don't even do it to build suspense.
[00:09:45.834 --> 00:09:49.835]  I have trouble catching my breath with the news we have.
[00:09:50.875 --> 00:09:56.437]  And then the constant feeling of not being good enough to be bringing you something like this.
[00:10:00.039 --> 00:10:09.862]  Because it's like you come to your neighbors whose kid's been kidnapped for a week, and you find out where the child is and they're safe, and you tell your neighbors
[00:10:11.365 --> 00:10:13.446]  And they don't even care.
[00:10:15.087 --> 00:10:16.167]  There's kind of that letdown.
[00:10:17.868 --> 00:10:23.910]  Where we just bring you so many bombshells, the Liberty Movement brings you so many bombshells, and you fight so hard to tell people.
[00:10:26.371 --> 00:10:30.433]  And the general public is the grassroots exposing all this tyranny.
[00:10:31.493 --> 00:10:35.615]  And other people act like you're the weirdo because you care.
[00:10:36.495 --> 00:10:38.116]  Now we're not bitching and complaining.
[00:10:39.514 --> 00:10:41.035]  We're just pointing out a phenomenon.
[00:10:41.595 --> 00:10:50.659]  And I'm saying, we have got to really get aggressive with people, authoritatively.
[00:10:52.159 --> 00:10:56.581]  And not back down to the left when they try to bully us, or try to make us be quiet.
[00:10:57.381 --> 00:10:58.442]  We have to say, hey!
[00:10:59.162 --> 00:11:00.483]  You're the one being enslaved!
[00:11:00.643 --> 00:11:01.423]  I'm your friend!
[00:11:01.903 --> 00:11:03.644]  You've been conditioned and brainwashed!
[00:11:04.645 --> 00:11:06.025]  This is bigger than both of us!
[00:11:06.605 --> 00:11:07.746]  And you better listen to me!
[00:11:10.046 --> 00:11:15.308]  But instead of spending our time on the sheeple, some can be reached.
[00:11:15.408 --> 00:11:16.688]  Don't feel bad when they don't listen.
[00:11:16.728 --> 00:11:22.891]  Who matters is decision makers, most of which are on the fence and are ready to be awakened.
[00:11:22.991 --> 00:11:39.297]  And that's why in WikiLeaks and other documents, the globalists admit, we played the clip last segment, they want InfoWars shut down because they found that managers and decision makers and leaders listen to me.
[00:11:40.444 --> 00:11:41.965]  And it's not a confidence issue.
[00:11:42.365 --> 00:11:43.846]  I know what I'm talking about here.
[00:11:43.866 --> 00:11:49.669]  And that's why Wired Magazine and the New York Times and all of them have said, he must be destroyed.
[00:11:50.069 --> 00:11:52.370]  He is the man's name that must not be spoken.
[00:11:52.870 --> 00:11:54.351]  He must be taken off the air.
[00:11:54.751 --> 00:11:56.492]  Because I believe in a pro-human future.
[00:11:56.872 --> 00:11:59.053]  And I believe you can be motivated to take action.
[00:11:59.093 --> 00:12:01.675]  And I believe you're not a piece of crap.
[00:12:02.215 --> 00:12:05.557]  And I believe if you're aware of this, you will adapt and overcome it!
[00:12:06.317 --> 00:12:09.899]  Not adapt and go away and submit and die!
[00:12:13.766 --> 00:12:15.127]  Bottom of the hour, I'm gonna hit it.
[00:12:16.528 --> 00:12:20.812]  And when I got up this morning at 6 a.m.
[00:12:20.852 --> 00:12:24.294]  and our lead producer Daria had text messaged me this article.
[00:12:25.235 --> 00:12:39.146]  The fact that James O'Keefe was on and I watched the entire 25-minute report and it brought up a hundred other pieces of evidence we had or more but it was devastating.
[00:12:40.503 --> 00:12:52.153]  So the headline on Infowars.com and Newswars.com for the live feed of the show with the audio and video feeds posted so you can share it more easily on Facebook and Twitter and YouTube and Google and everywhere else.
[00:12:52.533 --> 00:12:54.275]  Newswars.com is better to share.
[00:12:54.535 --> 00:12:57.317]  They don't censor or block that as much or penalize you for it.
[00:12:57.537 --> 00:12:59.239]  But use your text message, use your email.
[00:12:59.539 --> 00:13:01.361]  This needs to go mega viral.
[00:13:03.234 --> 00:13:03.975]  Breaking news!
[00:13:04.095 --> 00:13:07.757]  Project Veritas blows Google censorship conspiracy.
[00:13:08.057 --> 00:13:09.819]  And they admit it's a conspiracy on video.
[00:13:10.259 --> 00:13:14.182]  Thousands working in tandem to suppress your vote and steal the election.
[00:13:14.762 --> 00:13:15.703]  Election meddling!
[00:13:15.963 --> 00:13:19.586]  Not by the Ruskies, but by the Googlers.
[00:13:21.687 --> 00:13:22.828]  Sounds like a Batman villain.
[00:13:23.068 --> 00:13:23.729]  The Googler.
[00:13:24.289 --> 00:13:25.270]  Breaking news!
[00:13:25.390 --> 00:13:30.854]  Project Veritas blows Google censorship conspiracy wide open.
[00:13:32.312 --> 00:13:38.714]  Project Veritas reveals staggering proof that Google is a giant election meddling factory.
[00:13:40.415 --> 00:13:41.075]  I wrote that headline.
[00:13:41.095 --> 00:13:41.855]  I think we should change it.
[00:13:42.095 --> 00:13:42.395]  Army.
[00:13:44.756 --> 00:13:45.396]  It's an army.
[00:13:46.357 --> 00:13:47.657]  Meddling technocracy?
[00:13:47.797 --> 00:13:48.077]  Hmm.
[00:13:48.577 --> 00:13:50.318]  Factory technocracier army.
[00:13:53.106 --> 00:13:54.888]  Giant election meddling system.
[00:13:54.988 --> 00:13:55.368]  That's it.
[00:13:55.468 --> 00:13:55.848]  System.
[00:13:56.429 --> 00:13:57.310]  Change that to system.
[00:13:57.830 --> 00:14:04.295]  So Project Veritas reveals staggering proof that Google is a giant election meddling weapon system.
[00:14:04.456 --> 00:14:04.976]  That's it.
[00:14:05.496 --> 00:14:06.417]  Weapon system.
[00:14:07.058 --> 00:14:08.299]  Share this with everyone.
[00:14:09.680 --> 00:14:10.361]  Well guess what?
[00:14:10.681 --> 00:14:11.782]  You're a weapon system.
[00:14:13.362 --> 00:14:23.341]  And if you simply decide to go get the article on InfoWars.com, yeah, let's just post the whole Veritas article and video under our live feed on the live feed article.
[00:14:23.422 --> 00:14:24.183]  That's the key!
[00:14:25.208 --> 00:14:34.956]  And let's hammer that sucker out with HUMET, human intelligence, over the machines, over the AI, and let's crush the Google censors!
[00:14:35.637 --> 00:14:46.225]  My God, when you watch this video that goes on for 25 minutes, because they always put out the unedited so they can't claim it's edited, they've won federal court cases where they claim they doctored video, and Veritas won.
[00:14:48.147 --> 00:14:49.107]  Veritas won.
[00:14:50.188 --> 00:14:51.910]  And when we get to this video, bottom of the hour,
[00:14:53.951 --> 00:15:00.973]  I mean, it is the top people at Google just bragging, Trump ain't winning in 2020, nothing like this is ever happening.
[00:15:01.293 --> 00:15:02.794]  We call this fairness.
[00:15:03.714 --> 00:15:04.774]  Everything with him is inversion.
[00:15:04.874 --> 00:15:07.975]  Total censorship, lying about it to Congress, is fairness.
[00:15:08.476 --> 00:15:13.457]  And they talk about how they lie to Congress on video, and how Congress can do nothing to stop them.
[00:15:13.777 --> 00:15:16.418]  They go, they may try, but we're not gonna stop.
[00:15:17.819 --> 00:15:20.539]  Just like Democrats in government don't follow the President's orders.
[00:15:21.320 --> 00:15:22.160]  It's mutiny!
[00:15:23.414 --> 00:15:24.114]  On the bounty!
[00:15:26.335 --> 00:15:27.836]  And they're all weak and arrogant.
[00:15:27.856 --> 00:15:31.417]  They had to get dishonorable trash trained in the universities to do this.
[00:15:31.777 --> 00:15:33.337]  It's all coming up, bottom of the hour.
[00:15:33.657 --> 00:15:35.258]  Start your engines!
[00:15:38.919 --> 00:15:40.580]  And I've got all the backstory on it, too.
[00:15:40.600 --> 00:15:42.520]  And then James O'Keefe joins us.
[00:15:44.021 --> 00:15:45.481]  Loaded for bear.
[00:15:46.822 --> 00:15:47.442]  In the third hour.
[00:15:49.051 --> 00:15:54.256]  This is the time for all of you to fire the bat signal and get this article out and circumvent them.
[00:15:54.456 --> 00:15:55.857]  It's at NewsWars.com.
[00:15:56.197 --> 00:15:57.258]  NewsWars.com.
[00:15:57.579 --> 00:15:58.599]  NewsWars.com.
[00:15:58.900 --> 00:15:59.901]  NewsWars.com.
[00:16:00.161 --> 00:16:01.102]  NewsWars.com.
[00:16:02.728 --> 00:16:08.652]  Ladies and gentlemen, welcome to the greatest show on earth, Clown World.
[00:16:10.133 --> 00:16:18.038]  20 socialist, globalist, communist candidates, all in one spot for two nights only.
[00:16:18.439 --> 00:16:24.022]  And you're gonna have uncensored, unbridled, pure analysis like no one else can do it.
[00:16:24.363 --> 00:16:30.587]  Clown World, the greatest comedy show on earth, two nights only, 20 candidates and tons of laughs.
[00:16:31.207 --> 00:16:32.949]  June 26th and 27th.
[00:16:32.989 --> 00:16:35.271]  Coverage starts at 7 p.m.
[00:16:35.771 --> 00:16:38.814]  at InfoWars.com forward slash show.
[00:16:39.354 --> 00:16:40.935]  It's the greatest show on earth.
[00:16:41.396 --> 00:16:46.860]  A bunch of parasites, bitching and complaining, working for the Chi-Coms to overthrow America.
[00:16:47.321 --> 00:16:54.147]  Join us next Wednesday and Thursday for Clown World, the biggest show on earth!
[00:16:54.887 --> 00:16:55.947]  I'm not Alex Jones.
[00:16:56.308 --> 00:16:56.848]  I'm P.T.
[00:16:56.868 --> 00:16:57.208]  Barnum.
[00:16:57.588 --> 00:16:58.468]  I love the Democrats.
[00:16:58.888 --> 00:17:04.150]  Beto O'Rourke says the world's ending in 11 years and the borders should be open.
[00:17:04.410 --> 00:17:05.751]  There's so many other clowns.
[00:17:06.011 --> 00:17:11.773]  Cory Booker says pay reparations, even if 98% of whites didn't have ancestors that owned slaves.
[00:17:11.793 --> 00:17:14.394]  And then we move on to Pocahontas.
[00:17:14.654 --> 00:17:18.175]  She's whiter than anybody ever known in history, but it's okay.
[00:17:18.195 --> 00:17:18.955]  She's a fraud.
[00:17:19.235 --> 00:17:20.216]  And then Joe Biden.
[00:17:20.556 --> 00:17:23.277]  Well, Joe Biden loves segregationists and
[00:17:23.937 --> 00:17:24.638]  Bernie Sanders says,
[00:17:53.797 --> 00:18:01.682]  Thursday, for coverage of the Democratic Tonight's Debates, the greatest clown show on earth, at InfoWars.com forward slash show.
[00:18:02.535 --> 00:18:07.778]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:18:08.098 --> 00:18:08.658]  Alpha Power.
[00:18:09.158 --> 00:18:12.340]  As you age, your body can lose testosterone over time.
[00:18:12.600 --> 00:18:21.144]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:18:21.524 --> 00:18:29.688]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:18:30.288 --> 00:18:35.249]  Perfect by itself or with super male vitality in the true alpha male path.
[00:18:35.709 --> 00:18:42.370]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:18:42.930 --> 00:18:46.191]  Let Alpha Power help bring you to the peak of your optimal health.
[00:18:46.611 --> 00:18:49.232]  Don't fall short on energy in the fight against tyranny.
[00:18:49.672 --> 00:18:53.412]  Show the world what a true alpha male looks like today with Alpha Power.
[00:18:53.712 --> 00:18:56.213]  Head to infowarsstore.com today.
[00:19:02.839 --> 00:19:08.707]  Infowars and free speech and your right to speech has been under unprecedented attack the last year or so.
[00:19:09.488 --> 00:19:13.533]  It's Orwellian, it's biblical, it's authoritarian, it's insane.
[00:19:14.174 --> 00:19:17.919]  And I keep trying to judge, engage, when is the right time
[00:19:18.800 --> 00:19:24.107]  To have to stumble up on deck as the captain of this operation and say, hey, we're sinking.
[00:19:24.668 --> 00:19:28.673]  I've begged for your support before and thanks for keeping us afloat, but this is the real S.O.S.
[00:19:28.773 --> 00:19:34.862]  If you don't buy a bunch of products and spread the word and keep fighting, InfoWars will be shut down, not just crippled.
[00:19:35.680 --> 00:19:36.520]  And so we've reached that point.
[00:19:37.320 --> 00:19:39.141]  It'll make the enemy happy, but, you know, whatever.
[00:19:39.201 --> 00:19:40.961]  We have withstood so many of their attacks.
[00:19:41.301 --> 00:19:43.382]  We've gone through so much because of your support.
[00:19:43.882 --> 00:19:44.902]  You have been there.
[00:19:45.242 --> 00:19:49.983]  But let me tell you, they are pissed they haven't been successful, and they're giving us their full assault.
[00:19:50.043 --> 00:19:55.645]  So we need your prayers, your financial support, and your word of mouth now at Infowars.com.
[00:19:56.185 --> 00:19:56.845]  It's your fight.
[00:19:57.165 --> 00:20:01.466]  Decide whether or not you want Infowars to continue, because we could be shut down.
[00:20:06.423 --> 00:20:09.244]  You're listening to the Alex Jones Show.
[00:20:34.552 --> 00:20:35.852]  We have all the proof
[00:20:37.703 --> 00:20:49.993]  Google, Facebook, Twitter, and their subsidiaries, and the rest of Silicon Valley, because they all want to be bought by Google, so they all do whatever they're told by Google, and Facebook, and Apple, as well as Twitter.
[00:20:50.893 --> 00:21:05.225]  Those big four gobble up thousands of companies a year, sometimes for 20 times what the company's worth, and their price-earnings ratio, to control and set up an oligopoly, a cartel, a linkage of monopolies.
[00:21:06.328 --> 00:21:11.210]  So whether you're on the internet or aren't, everything you do in your life is affected by this.
[00:21:11.771 --> 00:21:17.793]  And if they can manipulate that entire system and control the information, they rule it all.
[00:21:18.394 --> 00:21:19.454]  That really goes without saying.
[00:21:19.474 --> 00:21:22.876]  But remember the Republicans in the 2018 election?
[00:21:23.716 --> 00:21:25.917]  Not just in California, it turned out in other states.
[00:21:26.577 --> 00:21:30.579]  The entire Republican Party was listed as the Nazi Party.
[00:21:30.599 --> 00:21:33.861]  And that their affiliation was the Nazis.
[00:21:35.031 --> 00:21:36.272]  Google said it was a mistake.
[00:21:37.152 --> 00:21:39.313]  Once they got caught, it had been up for months.
[00:21:40.074 --> 00:21:44.536]  But the internal videos all show the perjury to Congress.
[00:21:45.777 --> 00:21:50.399]  The thuggish arrogance that they would not even work with the Pentagon on AI but give it to China.
[00:21:51.760 --> 00:21:55.262]  They would lie to Congress and surveil everyone and then lie about that.
[00:21:55.982 --> 00:21:57.523]  It's all going to come home to roost.
[00:21:58.783 --> 00:22:02.485]  But the President's greatest failure is that he has not yet taken action.
[00:22:02.525 --> 00:22:03.186]  He says he will.
[00:22:04.946 --> 00:22:06.347]  He's taking action against the colleges.
[00:22:06.387 --> 00:22:07.108]  That's a clear cut.
[00:22:08.509 --> 00:22:13.373]  Now Texas and other states are taking action.
[00:22:16.796 --> 00:22:18.097]  It's an amazing time to be alive.
[00:22:19.919 --> 00:22:21.040]  An amazing time to be alive.
[00:22:24.022 --> 00:22:26.264]  But we have to stand together.
[00:22:29.627 --> 00:22:30.908]  The media made jokes about it.
[00:22:31.588 --> 00:22:33.230]  Late night comedy made jokes about it.
[00:22:35.356 --> 00:22:37.537]  Chick-fil-A, owned by a Christian.
[00:22:38.177 --> 00:22:39.218]  They're closed on Sunday.
[00:22:42.979 --> 00:22:44.980]  They've been boycotted for a decade by the liberals.
[00:22:45.360 --> 00:22:49.462]  It's made their company become the most successful fast food chain in the country.
[00:22:49.842 --> 00:22:50.523]  Others are failing.
[00:22:54.144 --> 00:22:55.225]  It's funny, it's conservative.
[00:22:55.625 --> 00:22:56.285]  Quick service.
[00:22:57.025 --> 00:22:57.646]  Nice people.
[00:22:58.286 --> 00:22:59.066]  Super professional.
[00:22:59.927 --> 00:23:01.467]  And it's some of the better fast food out there.
[00:23:01.487 --> 00:23:02.828]  One of the only places I'll eat fast food.
[00:23:04.764 --> 00:23:09.946]  Cities like Austin and others were banning it in airports because it's conservative.
[00:23:10.466 --> 00:23:15.587]  Cities were saying, who could be on city property that's really public property?
[00:23:17.188 --> 00:23:26.010]  So the governor had to get a law passed so that Chick-fil-A could pay for a stall at the airport.
[00:23:28.151 --> 00:23:31.732]  When they've got all these empty stalls at the Austin airport, just waiting for renters.
[00:23:32.862 --> 00:23:33.863]  Oh wait, you're Christian?
[00:23:34.724 --> 00:23:36.145]  Oh sorry, you can't have a stall.
[00:23:36.505 --> 00:23:38.647]  Think about how far they've already gone.
[00:23:40.308 --> 00:23:45.653]  But a mom and pop shop don't want to make a cake of two guys holding hands and kissing or whatever.
[00:23:46.914 --> 00:23:49.997]  They take it all the way to the Supreme Court to bully that little group of people.
[00:23:50.257 --> 00:23:51.318]  Quite frankly, I'm a libertarian.
[00:23:52.412 --> 00:23:54.854]  I'd say, yeah, go ahead and bake their cake, but that's a mom-and-pop.
[00:23:54.894 --> 00:23:59.677]  And the Supreme Court said, smaller little mom-and-pop things have a right for the religious things.
[00:23:59.697 --> 00:24:05.861]  But when you get into big, giant institutions and organizations, you can crush an entire belief system.
[00:24:07.202 --> 00:24:14.627]  Christianity's seen persecution of it, according to the UN, double in the last 20 years, and then just in the last five, it's more than doubled again.
[00:24:16.328 --> 00:24:17.368]  That's quadruple.
[00:24:18.109 --> 00:24:19.270]  That's exponential.
[00:24:20.498 --> 00:24:22.459]  It's open season on Christians everywhere.
[00:24:23.219 --> 00:24:36.726]  I saw in my stacks yesterday and today, without even looking for it, without even trying to go search engine it, attacks on churches in the U.S.
[00:24:36.866 --> 00:24:38.067]  and in Europe by Muslims.
[00:24:39.928 --> 00:24:41.649]  Imagine if a Christian attacked a mosque.
[00:24:41.969 --> 00:24:43.530]  It'd be all over the news.
[00:24:47.271 --> 00:24:47.752]  Incredible.
[00:24:49.633 --> 00:24:50.113]  Next level.
[00:24:52.020 --> 00:24:52.560]  Outrageous.
[00:24:54.601 --> 00:24:57.102]  But that's what's going on.
[00:24:58.243 --> 00:25:03.105]  Yeah, Germany sees 30 anti-Christian attacks in two months alone.
[00:25:03.425 --> 00:25:05.886]  They estimate only 1 out of 10 reports get reported.
[00:25:07.666 --> 00:25:16.250]  And everybody knows about attacks on colleges and dorms against black people and Jews.
[00:25:16.290 --> 00:25:18.751]  Of course, it's always in the front page of the paper.
[00:25:18.811 --> 00:25:20.251]  It turns out 99% of them are staged.
[00:25:23.166 --> 00:25:23.326]  Yeah.
[00:25:25.426 --> 00:25:28.407]  There's hardly ever anybody really burns a cross in somebody's yard.
