[00:00:00.369 --> 00:00:01.250]  It's a whole hoax.
[00:13:40.033 --> 00:13:42.054]  We have our ambassadors here.
[00:13:42.114 --> 00:13:43.855]  We have Mike Pence here.
[00:13:44.989 --> 00:13:50.451]  Why are we the only ones that give the big money to the Ukraine?
[00:13:51.472 --> 00:13:52.972]  We give money to Ukraine.
[00:13:53.793 --> 00:13:55.774]  And it's bothered me from day one.
[00:13:55.834 --> 00:13:57.274]  And you have plenty of people just here.
[00:13:58.155 --> 00:14:00.816]  I say, how come it's always the United States that gets ripped?
[00:14:01.896 --> 00:14:04.237]  Frankly, Ukraine, we want to help them.
[00:14:04.657 --> 00:14:05.918]  And I do like the new president.
[00:14:05.938 --> 00:14:06.618]  You know why I like him?
[00:14:06.638 --> 00:14:07.398]  Because he was honest.
[00:14:07.438 --> 00:14:10.840]  Because he said there was no pressure at all exerted on me.
[00:14:12.008 --> 00:14:12.508]  Meaning him.
[00:14:13.209 --> 00:14:14.630]  By the President of the United States.
[00:14:14.670 --> 00:14:15.130]  He said it.
[00:14:15.210 --> 00:14:17.231]  By the way, that one sentence should stop this.
[00:14:17.711 --> 00:14:20.133]  But he said there was no pressure exerted.
[00:14:20.533 --> 00:14:21.654]  But you don't have to ask him.
[00:14:21.754 --> 00:14:23.295]  All you have to do is read the transcript.
[00:14:23.475 --> 00:14:24.636]  Read the telephone call.
[00:14:25.656 --> 00:14:27.998]  But what I was having a problem with are two things.
[00:14:28.058 --> 00:14:33.561]  Number one, Ukraine is known, before him, for tremendous corruption.
[00:14:34.261 --> 00:14:34.742]  Tremendous.
[00:14:35.142 --> 00:14:37.163]  More than just about any country in the world.
[00:14:38.164 --> 00:14:41.586]  In fact, they're rated one of the most corrupt countries in the world.
[00:14:42.642 --> 00:14:49.348]  And I don't like giving money to a country that's that corrupt.
[00:14:49.368 --> 00:15:00.777]  Number two, I said the following, and I said this loud and clear to everybody, and in fact Rob Portman backed me up, and there's nobody more honorable than Rob Portman of Ohio.
[00:15:01.858 --> 00:15:03.739]  Because he called up, please let the money go.
[00:15:05.606 --> 00:15:13.211]  I hate being the country that's always giving money when Ukraine helps Europe and the European countries far more than they help us.
[00:15:13.972 --> 00:15:16.373]  They're like a wall between Russia and Europe.
[00:15:16.393 --> 00:15:17.214]  They're like a wall.
[00:15:17.274 --> 00:15:19.956]  They're a big, wide, beautiful wall.
[00:15:21.192 --> 00:15:23.154]  And he said, you know what, but it's important.
[00:15:23.794 --> 00:15:25.235]  In fact, he came out and he said that.
[00:15:25.255 --> 00:15:26.316]  That was my only reason.
[00:15:26.917 --> 00:15:29.018]  Because I don't like being the sucker country.
[00:15:29.139 --> 00:15:31.440]  We were the sucker country for years and years.
[00:15:31.460 --> 00:15:32.982]  We're not the sucker country anymore.
[00:15:33.662 --> 00:15:37.185]  But I gave the money because Rob Portman and others called me and asked.
[00:15:37.886 --> 00:15:39.327]  But I don't like to be the sucker.
[00:15:39.447 --> 00:15:42.229]  And European countries are helped far more than we are.
[00:15:42.890 --> 00:15:45.272]  And those countries should pay more to help Ukraine.
[00:15:46.061 --> 00:15:51.666]  And please remember the President's last remarks, that we are a great democracy.
[00:15:52.287 --> 00:15:55.349]  We are a great, the United States is a great democracy.
[00:15:55.890 --> 00:16:00.994]  And I'm airing what I'm airing because we are in fact a democracy.
[00:16:02.436 --> 00:16:12.285]  And if the press were straight and honest and forthright and tough, we would be a far greater nation.
[00:16:14.187 --> 00:16:19.191]  We would be a far greater when we don't have the CNNs of the world who are corrupt people.
[00:16:19.251 --> 00:16:20.412]  Thank you very much everybody.
[00:16:36.391 --> 00:16:40.914]  You're down here thinking you can tame Texas and conquer us and destroy us like California.
[00:16:41.214 --> 00:16:44.596]  You think you can turn us into your disarmed slaves?
[00:16:45.396 --> 00:16:49.679]  Beto O'Rourke, you're well known for fantasizing and writing essays about murdering children.
[00:16:49.979 --> 00:16:52.900]  And you even got away with a hit and run and burglary.
[00:16:53.481 --> 00:16:55.082]  You're a dirty criminal.
[00:16:55.522 --> 00:16:59.244]  You've got your own bodyguards because you're hooked into that billionaire wife of yours.
[00:16:59.704 --> 00:17:02.166]  How dare you try to demonize American gun owners?
[00:17:02.586 --> 00:17:07.207]  Just in case you didn't know, this country was founded when the Redcoats came to take the guns in 1775.
[00:17:07.507 --> 00:17:09.388]  That's why we got July 4th.
[00:17:09.448 --> 00:17:14.709]  So I'm going to tell you what George Washington and the Continental Congress told King George III.
[00:17:15.069 --> 00:17:18.930]  You're not getting our firearms because we're free men, you little piece of crap!
[00:17:19.490 --> 00:17:25.572]  America and the world's glad, though, that you finally got the guts to admit your plan with the rest of those scumbag Democrats.
[00:17:26.112 --> 00:17:28.052]  Beto O'Rourke, you're on notice!
[00:17:28.472 --> 00:17:31.013]  You're not getting our firearms, ever, scumbag!
