[00:00:19.714 --> 00:00:21.275]  Hello, welcome.
[00:12:12.693 --> 00:12:14.814]  He's Bernie Sanders is going to say, I don't.
[00:12:16.055 --> 00:12:23.781]  Then he replies, then he does, at real Donald Trump, is fanning the flames of white supremacy.
[00:12:23.781 --> 00:12:25.243]  We must stop him.
[00:12:25.243 --> 00:12:36.812]  If anyone is fanning the flames of white supremacy, if anyone is doing the white supremacy, keeping this whole racial division going, it is the liberal left.
[00:12:36.812 --> 00:12:41.216]  So if we can go to that video, this is number eight, number eight on the chart.
[00:12:46.462 --> 00:12:49.944]  I am concerned about the rise of any group of hate.
[00:12:49.944 --> 00:12:55.548]  Whether it's white supremacy, I am very concerned about it.
[00:12:55.548 --> 00:12:57.870]  He's a savage killer.
[00:12:57.870 --> 00:13:08.298]  My administration believes our city should be safe havens for Americans, not sanctuaries for criminals.
[00:13:08.298 --> 00:13:10.239]  So, let me break in.
[00:13:10.239 --> 00:13:11.160]  If you listen to the rhetoric.
[00:13:11.160 --> 00:13:12.061]  Pause it real quick, right there.
[00:13:13.004 --> 00:13:18.292]  For some reason when President Trump said it should be sanctuary for Americans and not criminals,
[00:13:19.611 --> 00:13:23.372]  And they're suggesting that he's a white supremacist for saying that.
[00:13:23.372 --> 00:13:25.333]  Do you see the disconnect?
[00:13:25.333 --> 00:13:30.794]  Do you see how people are not realizing that they're being blatantly lied to?
[00:13:30.794 --> 00:13:32.435]  I mean, it's right there.
[00:13:32.435 --> 00:13:33.835]  How is it possible?
[00:13:33.835 --> 00:13:48.800]  Another prime example is when President Trump said black people living in these rat infested cities like Baltimore, all of a sudden you have people saying that President Trump is being racist because he's telling black people, you don't have to live this way.
[00:13:49.641 --> 00:13:51.251]  Is anyone else okay with that?
[00:13:51.251 --> 00:13:52.498]  I don't think so.
[00:13:52.498 --> 00:13:53.323]  Okay, let's go back to it.
[00:13:55.897 --> 00:14:03.463]  If you listen to the rhetoric from the president, you would think that every person of color is somehow a gang member or ready to rape and to kill and to plunder.
[00:14:03.463 --> 00:14:05.165]  And that's simply not the case.
[00:14:05.165 --> 00:14:06.446]  But it's good politically, however.
[00:14:06.446 --> 00:14:11.630]  It's very useful for autocrats to demonize and project all these social ills upon the other.
[00:14:11.630 --> 00:14:16.274]  When you have 15,000 people marching up, you have two or three border security people.
[00:14:16.274 --> 00:14:18.376]  How do you stop these people?
[00:14:18.376 --> 00:14:19.256]  You can't.
[00:14:19.256 --> 00:14:19.657]  There's no...
[00:14:23.635 --> 00:14:26.797]  That's only in the panhandle, you can get away with that statement.
[00:14:26.797 --> 00:14:27.918]  Okay, pause it.
[00:14:27.918 --> 00:14:40.346]  So the gentleman before that said that President Trump is using this calling all black people, people of color, rapists and thugs and terrorists or, you know, criminals.
[00:14:41.513 --> 00:14:51.645]  When President Trump was referring to the people that's coming across the border that's taking our children, that's causing all this violence, he's talking about MS-13, he's talking about these gangs.
[00:14:51.645 --> 00:14:57.052]  They know very well who President Trump is referring to, but they take it and they spin it
[00:14:57.552 --> 00:15:06.675]  And they're talking about, well, President Trump does this because it's very good politically for him to do this, to try to drum up his base, to try to drum up support, because people want to hear this.
[00:15:06.675 --> 00:15:11.877]  No one wants the chaos that's happening on the border to be taking place at all, except for the left.
[00:15:11.877 --> 00:15:19.920]  The only people that gain are the only people that stand to benefit from the chaos that's happening on the border and across America.
[00:15:20.720 --> 00:15:24.744]  Is the left, because without the chaos, the left has nothing.
[00:15:24.744 --> 00:15:39.637]  That's the only reason why they keep talking about racism, white supremacy, division in this country, because without that, they have nothing, nothing, nothing, but they keep doing it over and over.
[00:15:39.637 --> 00:15:41.799]  My name is Will Johnson.
[00:15:41.799 --> 00:15:43.380]  I am sitting in for Alex.
[00:15:43.380 --> 00:15:45.302]  He will be back at the bottom of the hour.
[00:15:45.302 --> 00:15:46.443]  Please stay tuned.
[00:15:46.443 --> 00:15:47.624]  We've got a lot more coming.
[00:15:59.448 --> 00:16:00.668]  Hi, I'm Dan Pilla.
[00:16:00.668 --> 00:16:04.590]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:16:04.590 --> 00:16:06.131]  I sued the IRS and won.
[00:16:06.131 --> 00:16:09.092]  I beat the IRS then, and I've been beating them ever since.
[00:16:09.092 --> 00:16:14.294]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:16:14.654 --> 00:16:15.855]  I can help you, too.
[00:16:15.855 --> 00:16:18.777]  If you owe taxes you can't pay, don't wait another day.
[00:16:18.777 --> 00:16:20.998]  There's no such thing as a hopeless tax case.
[00:16:20.998 --> 00:16:25.441]  Call 800-34-NO-TAX or go to my website, DanPilla.com.
[00:16:25.441 --> 00:16:27.142]  That's DanPilla.com.
[00:16:27.142 --> 00:16:29.163]  DanPilla.com.
[00:16:29.163 --> 00:16:31.825]  Attention GCN self-reliance listeners.
[00:16:31.825 --> 00:16:40.190]  If you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[00:16:40.350 --> 00:16:49.656]  Bill Hyde here, and I want to tell you about a huge sale with historically low prices on our PPX Microgrid system that's going to let you produce an endless supply of electricity off the grid.
[00:16:49.656 --> 00:16:54.940]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[00:16:54.940 --> 00:17:07.128]  Because of the flooding, we've had to move a lot of our inventory to a temporary location, and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[00:17:07.128 --> 00:17:08.389]  So here's what you should do right now.
[00:17:08.389 --> 00:17:10.350]  Check out the PPX Microgrid system.
[00:17:10.530 --> 00:17:11.110]  That's right.
[00:17:28.576 --> 00:17:31.197]  Hunters, anglers, campers, and survivalists.
[00:17:31.197 --> 00:17:32.317]  Get back to nature.
[00:17:32.317 --> 00:17:39.618]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:17:39.618 --> 00:17:43.019]  Slingbow products are compact and models start from just $17.98.
[00:17:43.019 --> 00:17:46.600]  They're perfect for your bug out bag or storing in your vehicle.
[00:17:46.600 --> 00:17:50.760]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:17:50.760 --> 00:17:55.341]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:17:55.341 --> 00:17:58.002]  Feel the thrill only at slingbow.com.
[00:18:00.282 --> 00:18:01.603]  Let's talk to Marcus in New York.
[00:18:01.603 --> 00:18:02.403]  Marcus, you're on the air.
[00:18:02.403 --> 00:18:02.963]  Thanks for holding.
[00:18:02.963 --> 00:18:03.484]  Hey, Alex.
[00:18:03.484 --> 00:18:06.305]  Yeah, I just want to say your show is a breath of fresh air.
[00:18:06.305 --> 00:18:12.429]  I talk to a lot of people here out in New York City, and one thing I can tell you is that almost nobody agrees with these wars.
[00:18:12.429 --> 00:18:21.234]  I think that the neocons are trying desperately to get Trump to go to a war because they know that that's the only way that they could defeat him in the eyes of the public approaching 2020.
[00:18:21.234 --> 00:18:21.974]  That's it.
[00:18:21.974 --> 00:18:25.036]  I mean, if Trump buys into this, it'll be the end of his presidency.
[00:18:25.036 --> 00:18:27.897]  It's the only way I think he can be defeated other than assassinating him.
[00:18:27.897 --> 00:18:29.178]  It's a time to be praying, my friend.
[00:18:29.338 --> 00:18:30.098]  I agree entirely.
[00:18:30.098 --> 00:18:35.541]  And the last thing I just want to say, Alex, is I know they're trying to shut you down, but the reinforcements have arrived, man.
[00:18:35.541 --> 00:18:38.322]  I would love to see you on air until you're 80 years old.
[00:18:38.322 --> 00:18:40.383]  I would love to see what you're talking about when you're 80.
[00:18:40.383 --> 00:18:49.648]  But if they do shut you down, know you've gone into this war, you've won a lot of battles, and there are a lot of people like myself and many others who are going to continue.
[00:18:49.648 --> 00:18:51.548]  We're going to keep fighting in the info war.
[00:18:51.548 --> 00:18:58.031]  And even if something does happen to you or your show, know for a fact that you've gotten a lot of people fired up for liberty.
[00:18:58.031 --> 00:18:58.972]  Thank you, sir, for calling.
[00:19:00.219 --> 00:19:13.412]  Thomas Jefferson predicted, over 240 years ago, that when our republic was in trouble in the future, it'd be the farmers that were close to the ground, close to reality, who actually worked for a living, that would end up saving the nation.
[00:19:13.412 --> 00:19:16.315]  And today, the communist Chinese have banned all U.S.
[00:19:16.315 --> 00:19:21.720]  farming goods a week ago, and we've seen massive increases in polls, support for the president,
[00:19:22.361 --> 00:19:26.926]  And what he's doing in this trade war wants China to put pressure on our farmers.
[00:19:26.926 --> 00:19:27.946]  That's beautiful.
[00:19:27.946 --> 00:19:29.868]  Americans aren't going to be bullied.
[00:19:29.868 --> 00:19:31.470]  And we aren't going to back down.
[00:19:31.470 --> 00:19:39.057]  So to the Joaquin Cruises and the Hillary Clintons of the world that want to intimidate people and tell us to back down, we're never going to give up.
[00:19:39.057 --> 00:19:41.379]  And all you've done is awaken the human spirit.
[00:19:41.379 --> 00:19:45.563]  And the human spirit lives at Infowars.com and Newswars.com.
[00:19:45.563 --> 00:19:46.504]  And I'm asking listeners,
[00:19:47.265 --> 00:19:51.388]  Whatever you do, spread those links because we are the light in the dark of the night.
[00:19:51.388 --> 00:19:52.488]  We are the resistance.
[00:19:52.488 --> 00:20:03.275]  We are 1776 worldwide.
[00:20:03.275 --> 00:20:06.117]  You're listening to the Alex Jones Show.
[00:20:31.360 --> 00:20:32.321]  All right, welcome back.
[00:20:32.321 --> 00:20:37.964]  SimpleWars.com.
[00:20:37.964 --> 00:20:42.947]  Will Johnson, UnitedAmericaFirst.com, guest host sitting in for Alex.
[00:20:42.947 --> 00:20:48.070]  He is on vacation, but like I said earlier, he is never on vacation.
[00:20:48.070 --> 00:20:49.150]  He's always working hard.
[00:20:50.882 --> 00:20:51.142]  I think?
[00:21:12.954 --> 00:21:21.218]  I guess it was maybe two weeks ago where they said it was 36% of the black community now supports President Trump.
[00:21:21.218 --> 00:21:24.019]  Can you imagine that?
[00:21:24.019 --> 00:21:24.079]  36%!
[00:21:24.079 --> 00:21:28.261]  So all they're thinking is, okay, we have to change this number.
[00:21:28.261 --> 00:21:33.263]  We can't have people believing that President Trump is for the American people.
[00:21:33.263 --> 00:21:40.787]  You know, one thing that I've noticed, and I've always noticed this from the past, that every time you have a white person
[00:21:41.943 --> 00:21:42.943]  Yes, there it is.
[00:21:42.943 --> 00:21:52.086]  Every time you have a white person that does something, be it, and I'm using President Trump in this example, but it's happened in the past, in history.
[00:21:52.086 --> 00:21:58.949]  Every time you have a white person that does something and black people benefit, guess what they do?
[00:21:58.949 --> 00:22:03.210]  They say he's a white supremacist, or they say he's being racist.
[00:22:03.210 --> 00:22:04.770]  It happens every single time.
[00:22:07.569 --> 00:22:11.492]  Or, if they don't call you white supremacist and take you out, look at what they did to Abe Lincoln.
[00:22:11.492 --> 00:22:13.874]  You know, he freed the slaves.
[00:22:13.874 --> 00:22:15.615]  They took him out.
[00:22:15.615 --> 00:22:18.337]  They can't have those type of scenarios.
[00:22:18.337 --> 00:22:22.561]  They can't have people like President Trump helping black people and going around.
[00:22:22.561 --> 00:22:24.202]  What has President Trump done?
[00:22:25.325 --> 00:22:32.472]  Name one thing that he has done that would validate saying that he is a white supremacist.
[00:22:32.472 --> 00:22:33.554]  Because, oh, wait a minute.
[00:22:33.554 --> 00:22:34.835]  Charlottesville, right?
[00:22:34.835 --> 00:22:35.475]  Charlottesville.
[00:22:35.475 --> 00:22:38.799]  He said there were good people on both sides.
[00:22:38.799 --> 00:22:43.644]  I wish they would stop saying that there's no Democrats that are good on both sides.
[00:22:43.644 --> 00:22:47.668]  I mean, I wish they would say that because there has to be at least one Democrat that's good on that side.
[00:22:47.668 --> 00:22:48.409]  You get my point.
[00:22:49.912 --> 00:22:54.299]  But they keep saying that he's talking about all the white supremacists, good people on both sides.
[00:22:54.299 --> 00:22:58.525]  As if white people on the right are not good.
[00:22:58.525 --> 00:23:01.550]  You have to pay attention to exactly how they're doing this.
[00:23:01.550 --> 00:23:02.752]  And you know what, for the most part,
[00:23:03.556 --> 00:23:22.100]  Majority of the American people, they're either not even paying attention to this craziness, or if they are, the people that have brain cells left, they're not even saying, you know what, they're acknowledging that what the left is doing is completely crazy, and it does not go along with rational thinking.
[00:23:22.100 --> 00:23:23.761]  The American people are not dumb!
[00:23:24.841 --> 00:23:28.245]  The American people are not stupid, but for some reason you have the left.
[00:23:28.245 --> 00:23:35.013]  They believe that the American people don't understand what they're doing.
[00:23:35.013 --> 00:23:40.980]  For another example, and I'm not going to go into great detail on it, but Epstein, they believe that the American people
[00:23:42.500 --> 00:23:46.182]  One even questioned, how did Epstein die?
[00:23:46.182 --> 00:23:49.143]  Or all of these different things that took place during that.
[00:23:49.143 --> 00:23:56.306]  They expect, my point in that, is that they expect the American people to just go along with it and not even question it.
[00:23:56.306 --> 00:23:57.106]  This is what happened.
[00:23:57.106 --> 00:23:58.507]  This is what took place.
[00:23:58.507 --> 00:24:00.587]  Okay, so I have another video I want to play.
[00:24:00.587 --> 00:24:03.348]  This is of Cory Booker, okay?
[00:24:03.348 --> 00:24:05.769]  Or I like to say Cory Booger.
[00:24:05.769 --> 00:24:06.570]  This is going to be number 10.
[00:24:07.785 --> 00:24:16.126]  I want to play this clip of Corey where he's trying to act like he's not the racist or he's not sponsoring it.
[00:24:16.126 --> 00:24:17.407]  But that's exactly what they do.
[00:24:17.407 --> 00:24:23.248]  The Democrats sponsor, they advocate for it, they push for it, they want the division.
[00:24:23.248 --> 00:24:24.928]  Without it, they have nothing.
[00:24:24.928 --> 00:24:27.788]  Okay, so let's go to this clip, number 10.
[00:24:27.788 --> 00:24:36.850]  We can't let these conversations devolve into the impotent simplicity of who is or isn't a racist.
[00:24:38.291 --> 00:25:01.750]  Because if the answer to the question, do racism and white supremacy exist, is yes, then the real question isn't who is or isn't a racist, but who is and isn't doing something about it.
[00:25:01.750 --> 00:25:04.873]  This is a question that has a deep moral resonance.
[00:25:05.998 --> 00:25:11.540]  It's not enough to say I'm not a racist, we must be anti-racism.
[00:25:11.540 --> 00:25:14.741]  Because there's no neutrality in this fight.
[00:25:14.741 --> 00:25:19.522]  You are either an agent of justice or you are contributing to the problem.
[00:25:19.522 --> 00:25:21.983]  Okay, pause it right there.
[00:25:21.983 --> 00:25:25.544]  So you're either an agent or you're contributing to the problem.
[00:25:25.544 --> 00:25:34.767]  I would have to say that every single one of these politicians up on the hill that are Democrats, leftists, and there's some rhinos in there, because they don't say anything.
[00:25:35.635 --> 00:25:37.637]  They're contributing to all of this.
[00:25:37.637 --> 00:25:39.139]  They're the ones that's creating this.
[00:25:39.139 --> 00:25:41.922]  AOC, Rashida Tlaib, Ilhan Omar.
[00:25:41.922 --> 00:25:48.529]  They're like the four, and I can't even recall, what's the other lady's name?
[00:25:48.529 --> 00:25:49.650]  Presley.
[00:25:49.650 --> 00:25:56.036]  They're all, and Mark Dice, he coined the term, the fascist four.
