[00:00:01.488 --> 00:00:02.088]  You got it.
[00:23:26.396 --> 00:23:32.060]  He goes on to say they shouldn't do it gently, that they are under Chicom control.
[00:23:32.060 --> 00:23:37.363]  And that it's a well-known fact in Silicon Valley, they're actively working to bring down the US.
[00:23:37.363 --> 00:23:46.249]  Obama and Hillary authorized the deal eight years ago.
[00:23:46.249 --> 00:23:51.753]  Peter Thiel, investigate Google for treason, aiding Chinese military, spies infiltrated.
[00:23:53.035 --> 00:23:55.737]  Now, that's a fact, by the way.
[00:23:55.737 --> 00:23:57.679]  And I've laid all the evidence out ad nauseam.
[00:23:57.679 --> 00:24:03.963]  If you want to know why I got smashed first, it's called leadership.
[00:24:03.963 --> 00:24:07.706]  Leadership.
[00:24:07.706 --> 00:24:18.955]  Everyone that we talked to that attended the conference on censorship at the White House Thursday said, Infowars raised the alarm first, and that was the leadership.
[00:24:20.247 --> 00:24:21.930]  Well, the truth is that's not accurate.
[00:24:21.930 --> 00:24:29.365]  Matt Drudge raised the alarm first a decade ago and then four years ago in this studio standing right there off-camera.
[00:24:31.836 --> 00:24:41.919]  It is about credit because we need to give people credit that are trailblazers and have the will to hit the barbed wire first and take the attacks that you see above ground and below ground.
[00:24:41.919 --> 00:24:46.200]  Because believe me, for any attack you see on the surface, it's real fun behind the scenes.
[00:24:46.200 --> 00:24:46.760]  But you know what?
[00:24:46.760 --> 00:24:48.020]  It is fun.
[00:24:48.020 --> 00:24:51.701]  Because we're going to expose the globalists trying to bring in authoritarianism.
[00:24:51.701 --> 00:24:56.142]  It always looks like evil is going to win until good people stand up and then it reverses.
[00:24:56.142 --> 00:24:57.843]  And we're in that reversal period right now.
[00:24:59.130 --> 00:25:06.996]  But I specifically, in the weeks leading up, every day hammered Google and Apple.
[00:25:06.996 --> 00:25:15.321]  And I laid out how they'd moved to China, how they gave all their codes to it, how they officially put their main servers there, and the Apple code keys.
[00:25:15.321 --> 00:25:22.246]  So of course Tim Cook at Apple and the heads of Google all got together and said, we gotta shut this son of a bitch up.
[00:25:22.246 --> 00:25:23.047]  Guess what?
[00:25:23.047 --> 00:25:25.789]  I sat in my living room with my father a month before.
[00:25:27.156 --> 00:25:30.405]  And I said, Father, I have had a vision.
[00:25:30.405 --> 00:25:35.759]  And my vision, a mathematical, a key algorithm, HUMET system.
[00:25:37.185 --> 00:25:51.281]  Where I said, I'm going to press the attack and call for their arrest, and they're gonna ban me, and out of that, we will be at the fulcrum point to have even more influence with real thinkers as we go into this, because I envision total bannings within a year of everybody else.
[00:25:51.281 --> 00:25:53.584]  Why shouldn't I just be first up front?
[00:25:53.584 --> 00:25:55.826]  He said, if you think you know what you're doing, execute.
[00:25:55.826 --> 00:25:57.087]  And I executed!
[00:25:57.688 --> 00:26:00.669]  And it's all unfolding as we have foreseen it.
[00:26:00.669 --> 00:26:03.389]  Now, I say that not as some weird metaphysical thing.
