[00:00:00.089 --> 00:00:01.070]  GAMER CONDITIONING!
[00:02:13.875 --> 00:02:31.352]  A theme has emerged from the president and from his advisors and from patriots that are in the Pentagon and also from a lot of former actual CIA counterterrorism experts and people that have been in the field and been in command of large operations, not leftist pencil pushing.
[00:02:31.352 --> 00:02:35.056]  That's the other CIA we've been battling the last few years trying to get the country back.
[00:02:36.873 --> 00:02:54.243]  It's emerged that it is confirmed, and Congress is even set to have hearings on this, on the attempted coup against Trump, that there is still an ongoing embedded group of criminals being directed by Obama, Hillary, and others, and that they are still trying to overthrow Trump and destroy the First Amendment.
[00:02:54.243 --> 00:02:57.766]  They're allied with big tech and the Communist Chinese.
[00:02:57.766 --> 00:03:01.268]  And so it's now coming out that Biden has gotten billions
[00:03:02.088 --> 00:03:08.553]  To his sons, that's B with a B, not millions, from communist Chinese state-run companies.
[00:03:08.553 --> 00:03:12.956]  Joe Biden should have obviously be arrested for treason and tried and dealt with accordingly.
[00:03:12.956 --> 00:03:14.297]  But it's all hiding in plain view.
[00:03:14.297 --> 00:03:27.868]  That's why they're fighting so hard and won't give up, because they've gotten so far down the rathole, they drug this country so deep down the rathole, that they still believe they can snatch victory from the jaws of defeat.
[00:03:29.238 --> 00:03:31.301]  So it's all coming out.
[00:03:31.301 --> 00:03:33.023]  The chickens are coming home to roost.
[00:03:33.023 --> 00:03:36.227]  We have Rosenstein resigning yesterday.
[00:03:36.227 --> 00:03:38.249]  We have the head of the Air Force Academy, obviously.
[00:03:38.249 --> 00:03:44.297]  A lot of evidence shows involved staging those racial events for political correctness and mind control being removed.
[00:03:44.637 --> 00:03:48.658]  We have the head of Gitmo being removed, and I'm told that a lot more is about to happen.
[00:03:48.658 --> 00:03:53.539]  The heads are going to start rolling in a big, fat, juicy way.
[00:03:53.539 --> 00:03:59.960]  Larry C. Johnson, formerly with the CIA and covert operations, he'll be in a bunch of other operations.
[00:03:59.960 --> 00:04:02.501]  He'll be joining us to get into this ongoing coup.
[00:04:02.501 --> 00:04:12.323]  We're going to play clips from a powerful report that's in a Paul Joseph Watson report up at newswars.com and infowars.com that we'll play when we come back that I hope you'll share with everyone you know.
[00:04:13.283 --> 00:04:27.033]  Former CIA officer warns leftist violence is going to get very, very bad over the next two years, that it's being concerted and driven by deep state in bed groups, and that they're planning to overthrow the president and planning to kill police en masse.
[00:04:27.033 --> 00:04:33.858]  And that's former CIA officer Kevin Shipp, who's an expert in counterterrorism, warns that leftist violence is about to hit.
[00:04:34.538 --> 00:04:46.148]  And of course that is very evident, but we're just here reporting the facts, why they want us off air, so they believe they have air superiority in the information war, when they launched these attempted coups that have already failed.
[00:04:46.148 --> 00:04:48.270]  But when they don't first succeed, they try and try again.
[00:04:48.270 --> 00:04:49.671]  We're winning!
[00:04:49.671 --> 00:04:52.773]  We're winning, but the enemy can still take us out!
[00:04:52.773 --> 00:04:56.616]  That's why we've got to intensify efforts against the globalists now!
[00:04:56.616 --> 00:04:57.317]  Everyone!
[00:04:57.317 --> 00:04:58.138]  Full effort now!
[00:05:00.560 --> 00:05:13.970]  I've been doing a lot of research into Google and YouTube censorship, and I've noticed that there's one type of video that is the most censored, the most buried, the most suppressed.
[00:05:13.970 --> 00:05:25.018]  And that's the videos where you saw in 2016 election night, all the arrogant leftist authoritarians, like the Young Turks and others, get so butthurt when Trump won.
[00:05:26.323 --> 00:05:28.244]  They don't want us to have that victory.
[00:05:28.244 --> 00:05:32.266]  They don't want us to remember what political action did.
[00:05:32.266 --> 00:05:36.628]  And that's why the globalists, Hillary and others, are trying to shut InfoWars down.
[00:05:36.628 --> 00:05:40.891]  This is a fight about taking your speech away, not just my speech.
[00:05:40.891 --> 00:05:43.172]  About taking your very sovereignty away.
[00:05:43.172 --> 00:05:44.553]  This country is in a war!
[00:05:45.470 --> 00:05:56.158]  So again, I want to thank you for what you've done, but I want to remind you, if you don't spread the articles and videos, and if you don't financially get the great products we have and fund us, and the 360 win, we're dead in the water.
[00:05:56.158 --> 00:06:05.305]  I'm in your hands, you're in my hands, InfoWarsStore.com, thank you!
[00:06:05.305 --> 00:06:09.268]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.864 --> 00:06:23.394]  If you are receiving this transmission, you are the resistance.
[00:06:23.394 --> 00:06:32.041]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:33.311 --> 00:06:59.949]  Hi, Larry C. Johnson worked in the CIA for many years in counter-terrorism, and he's going to be joining us coming up in the next hour, hour number two, and he said rightly that we are in the middle of a civil war in this country, and that globalist forces, the Chi-Coms and others, are financing the left in an attempt to overthrow, an attempt for just the federal government to come back into being, and not be a globalist viceroy, or a globalist governor.
[00:07:00.809 --> 00:07:06.152]  Also, the exact same thing is being said, because we're all looking at the same page, the same information, the same truth.
[00:07:06.152 --> 00:07:29.723]  Former CIA officer in counter-terrorism warns leftist violence is going to get very, very bad over the next two years, that we're in the middle of a civil war inside the government, that leftist forces are trying to create a physical civil war, and that Antifa and others have been lazing police departments, that is, preparing, doing dry run attacks, to have a massive rollout and mass blood in the streets, decapitating local government.
[00:07:30.283 --> 00:07:33.744]  Ahead of a coup to remove Trump at the federal level.
[00:07:33.744 --> 00:07:41.427]  And then they're going to try to activate mainly black communities that the left has been trying to brainwash into burning down cities.
[00:07:41.427 --> 00:07:46.529]  And that's actually come out in Alexander Soros documents that we got two years ago.
[00:07:46.529 --> 00:07:51.971]  And that ties into another big article here today admitting that Netflix is trying to create racial division.
[00:07:51.971 --> 00:07:54.672]  So is all of the Hollywood combine.
[00:07:54.672 --> 00:07:56.673]  So that is all coming up today.
[00:07:56.673 --> 00:07:59.174]  Yes, we've been beating the globalists so far.
[00:08:00.454 --> 00:08:13.106]  All over the world in nationalism and populism coming back, but that doesn't mean that they don't have a major left hook ready for us and aren't planning all sorts of violence and basically asymmetrical warfare.
[00:08:13.106 --> 00:08:17.430]  Now Paul Joseph Watson wrote about this for newswars.com and infowars.com.
[00:08:17.950 --> 00:08:18.170]  I think?
[00:08:48.751 --> 00:08:52.173]  What do you think people should do with what's going on?
[00:08:52.173 --> 00:08:55.255]  What's the danger for we the people in all this?
[00:08:55.255 --> 00:08:57.917]  I mean, you say there's going to be a rough and wild summer.
[00:08:57.917 --> 00:09:02.700]  You know, you got Donald Trump making sure all Americans are armed.
[00:09:02.700 --> 00:09:04.822]  And what's the danger for we the people?
[00:09:05.542 --> 00:09:09.664]  The danger for we the people right now is the dark left.
[00:09:09.664 --> 00:09:11.345]  And dark left violence.
[00:09:11.345 --> 00:09:26.451]  Because as these arrests, these indictments, first of all, begin to come out, and as the players are called out, the violence on, I call it the dark left, is going to increase to the point where it's going to be very, very bad.
[00:09:26.451 --> 00:09:30.833]  There's going to be beatings, there's probably going to be shootings, there's probably going to be shootings at police.
[00:09:30.833 --> 00:09:34.615]  And the dark left seeing this, knowing that this didn't work,
[00:09:35.155 --> 00:09:42.079]  I think there's going to be a lot of violence, if you want to call it the left, there's going to be a lot of violence coming from the left in the next year or two.
[00:09:42.079 --> 00:10:02.491]  Americans, this is one of the reasons that they need to exercise their Second Amendment right, which I do quite a bit actually, is because of what the left is going to do with these findings and the fact that this could be the death knell for what is now the Democratic Party and certainly the death knell of this coup and the death knell of the dark left's attempt to take over
[00:10:02.931 --> 00:10:04.353]  Our constitution and culture.
[00:10:04.353 --> 00:10:10.479]  They're going to see that and they're going to bring exponentially bring up their violence and Americans need to arm themselves.
[00:10:10.479 --> 00:10:12.141]  They need to protect themselves against that.
[00:10:13.320 --> 00:10:24.611]  Speaking of defending yourself against violence, there is a unedited 18 minute video up on InfoWars.com that we cannot show you here because it would take hours to bleep out all the cuss words.
[00:10:24.611 --> 00:10:37.382]  But we do have a short video we're going to play, next segment, of the young reporter being viciously attacked by Antifa and knocking down six of them before the police come over and arrest Antifa.
[00:10:38.203 --> 00:10:47.271]  Who literally are a bunch of live action role players out in the real world until they run into patriots and get knocked on their asses.
[00:10:47.271 --> 00:10:51.134]  So, a journalist defending himself against Antifa mob attack?
[00:10:51.134 --> 00:10:55.618]  Believe me, this is a video that you want to watch.
[00:10:55.618 --> 00:10:57.179]  If you're a radio listener, it's on Infowars.com.
[00:10:57.179 --> 00:11:00.162]  We're going to come back and get into that report.
[00:11:00.162 --> 00:11:01.003]  But let's pull back here.
[00:11:03.084 --> 00:11:05.025]  Yes, they have the meth heads.
[00:11:05.025 --> 00:11:17.150]  Yes, the left has all the entitled professors and all the entitled people that thought they'd be the ruling class, that thought that they would rule America, that thought that this was their time under Hillary to make their move and take over.
[00:11:17.150 --> 00:11:22.873]  But now, because it's failed in going down the proverbial historical drainage ditch into the gutter,
[00:11:23.954 --> 00:11:27.037]  They are getting even more angry and more pissed.
[00:11:27.037 --> 00:11:31.982]  But emblematically, look at Hillary, evil and crone-like.
[00:11:31.982 --> 00:11:35.226]  Look at Obama, a Mr. Trendy Nobody.
[00:11:35.226 --> 00:11:38.970]  Look at Biden, who can hardly talk and slurs his words.
[00:11:38.970 --> 00:11:41.412]  He's on so many drugs and so many medications.
[00:11:42.233 --> 00:11:45.495]  These are decadent, narcissistic drug addicts.
[00:11:45.495 --> 00:11:46.596]  They're easy to beat.
[00:11:46.596 --> 00:11:49.038]  You just have to call their bluff.
[00:11:49.038 --> 00:11:58.164]  So here's old man Joe, nothing against being an old man, but he's the one always saying he can kick Trump's ass, slurs his way through first speech as presidential candidate.
[00:11:58.164 --> 00:12:02.267]  So this is the sleepy, creepy, weak Joe Biden.
[00:12:02.267 --> 00:12:05.310]  This is the best they can muster against Trump.
[00:12:05.310 --> 00:12:05.630]  Here it is.
[00:12:06.520 --> 00:12:16.065]  All my time in public life since I've gotten involved, the country wasn't built by Wall Street bankers, CEOs, and hedge fund managers.
[00:12:16.065 --> 00:12:19.326]  If the enterprise hits hard times, everybody took a hit.
[00:12:19.326 --> 00:12:27.410]  Union workers, the UAW took incredible cuts in their future and their pensions and the like to get GM working.
[00:12:27.410 --> 00:12:29.131]  They also got that last year.
[00:12:30.615 --> 00:12:31.856]  I want to start this over.
[00:12:31.856 --> 00:12:35.437]  Today, I want to tell you welcome to McDonald's.
[00:12:35.437 --> 00:12:37.298]  My name is Joe Biden.
[00:12:37.298 --> 00:12:38.178]  May I help you?
[00:12:38.178 --> 00:12:43.941]  I stole $2 billion in Ukraine from my son and $3 billion from the Chinese that bought me.
[00:12:43.941 --> 00:12:45.161]  But that's okay.
[00:12:45.161 --> 00:12:47.582]  I told you I'm against Wall Street bankers.
[00:12:47.582 --> 00:12:52.985]  That's why 98% of the Wall Street banker money went to Hillary and none of it went to Trump.
[00:12:53.545 --> 00:12:58.168]  And that's why I get all the big Wall Street money and Trump don't.
[00:12:58.168 --> 00:13:00.090]  But I think you're stupid like me.
[00:13:00.090 --> 00:13:06.114]  In fact, maybe Hillary takes on kind of an urban accent when she's in front of blacks.
[00:13:06.114 --> 00:13:08.115]  So does AOC.
[00:13:08.115 --> 00:13:12.258]  So maybe he just thinks that these union workers are mentally retarded.
[00:13:12.258 --> 00:13:12.998]  Maybe that's why.
[00:13:12.998 --> 00:13:14.960]  I'm not making fun of retarded people.
[00:13:14.960 --> 00:13:16.241]  I'm really worried about Biden.
[00:13:16.241 --> 00:13:18.442]  Did he just have a big stroke?
[00:13:18.442 --> 00:13:20.704]  He's up to terms about Wall Street.
[00:13:20.704 --> 00:13:21.584]  Let's go back to him.
[00:13:23.326 --> 00:13:32.871]  All my time in public life since I've gotten involved, the country wasn't built by Wall Street bankers, CEOs, and hedge fund managers.
[00:13:32.871 --> 00:13:36.133]  If the enterprise hit hard times, everybody took a hit.
[00:13:36.133 --> 00:13:38.895]  Union workers, the UAW took incredible
[00:13:39.595 --> 00:13:44.218]  Cuts in their future and the pensions in the left to get GM working.
[00:13:44.218 --> 00:13:49.842]  They also got that last year and try to cut wages or freeze wages for their people.
[00:13:49.842 --> 00:13:53.164]  Right today, the same is happening in big hospital systems.
[00:13:53.164 --> 00:13:54.545]  I have yet to rethink.
[00:13:55.365 --> 00:13:58.966]  How we define what constitutes a successful economy.
[00:13:58.966 --> 00:14:02.627]  Folks in America don't think their children are going to have the same standard of living they had.
[00:14:02.627 --> 00:14:04.348]  The same standard we may have.
[00:14:04.348 --> 00:14:05.748]  Dignity be maintained.
[00:14:05.748 --> 00:14:07.209]  I got beer for the Chinese!
[00:14:07.209 --> 00:14:08.289]  That's why they do that?
[00:14:08.289 --> 00:14:14.111]  It means investing much more in medical research to conquer devastating diseases like cancer.
[00:14:14.111 --> 00:14:15.972]  And then to kill the babies after they born.
[00:14:15.972 --> 00:14:19.233]  God bless you all and may God protect our troops.
[00:14:19.233 --> 00:14:19.853]  Our troops?
[00:14:19.853 --> 00:14:21.034]  Our swoops?
[00:14:21.034 --> 00:14:22.134]  God protect our swoops?
[00:14:24.403 --> 00:14:26.305]  I mean, that's literally non-manipulated video.
[00:14:26.305 --> 00:14:28.607]  If you're a radio listener, it's even worse watching it.
[00:14:28.607 --> 00:14:31.549]  Because he has to put on that tough guy fake talk act all the time.
[00:14:31.549 --> 00:14:33.851]  But it gets a little bit tiring.
[00:14:33.851 --> 00:14:35.313]  Porky Pig meets PCP.
[00:14:40.504 --> 00:14:57.770]  Oh, by the way, when we come back, we'll also get into all the big, massive reports coming out in the Wall Street Journal and Fox News, everything you already heard here years ago, that Joe Biden got $3 billion through his sons for the Chinese government, directly from the Chai cops.
[00:14:57.770 --> 00:15:04.512]  I mean, arrest him, indict his ass, haul him up in front of a jury, and then give him
[00:15:06.792 --> 00:15:08.934]  The penalty you get for traitors.
[00:15:08.934 --> 00:15:15.518]  Seriously, if this country's ever going to heal, we need to have due process and it needs to be carried out.
[00:15:15.518 --> 00:15:19.701]  And then Joe Biden needs to be led to the gallows pole.
[00:15:19.701 --> 00:15:21.522]  After conviction, I wish no violence against him.
[00:15:21.522 --> 00:15:23.144]  That would turn him into a martyr.
[00:15:23.144 --> 00:15:26.026]  I want him like the Nazis at Nuremberg.
[00:15:26.026 --> 00:15:28.167]  I want him given a trial.
[00:15:28.167 --> 00:15:29.908]  And I want him and Hillary and all the rest of them.
[00:15:29.908 --> 00:15:30.589]  You know what?
[00:15:30.589 --> 00:15:31.509]  Let me be magnanimous.
[00:15:31.509 --> 00:15:32.250]  I don't want that.
[00:15:32.250 --> 00:15:33.351]  That'd make him a martyr too.
[00:15:33.351 --> 00:15:36.073]  How about a nice prison sentence for you?
[00:15:37.216 --> 00:15:40.297]  How about we send him to a Chinese slave work camp?
[00:15:40.297 --> 00:15:42.458]  Always running his mouth against America.
[00:15:42.458 --> 00:15:44.278]  Hello, I'm Joe Biden.
[00:15:44.278 --> 00:15:48.959]  I've been selling America out for a long time, and I'm gonna keep doing it.
[00:15:48.959 --> 00:15:57.342]  When we come back, watch a crowd of wraith-like, what appear to be meth-mouthed bandits attack a reporter and get their asses kicked.
[00:15:59.615 --> 00:16:00.875]  Maybe not today.
[00:16:00.875 --> 00:16:02.156]  Maybe not tomorrow.
[00:16:02.156 --> 00:16:05.897]  But soon, you'll need a plan and place to survive.
[00:16:05.897 --> 00:16:06.977]  Forget bunkers.
[00:16:06.977 --> 00:16:08.818]  You're not a live underground gopher.
[00:16:08.818 --> 00:16:10.518]  You need Survivalist Camps.
[00:16:10.518 --> 00:16:18.321]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[00:16:18.321 --> 00:16:19.321]  Bold statement?
[00:16:19.321 --> 00:16:20.321]  You bet.
[00:16:20.321 --> 00:16:22.802]  See them now at survivalistcamps.com.
[00:16:22.802 --> 00:16:25.003]  That's survivalistcamps.com.
[00:16:25.003 --> 00:16:28.164]  Trust your family's survival to survivalistcamps.com.
[00:16:29.520 --> 00:16:31.502]  Heart disease is on the rise.
[00:16:31.502 --> 00:16:36.807]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:16:36.807 --> 00:16:38.388]  But the symptoms are there.
[00:16:38.388 --> 00:16:46.756]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:16:46.756 --> 00:16:52.442]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:16:52.602 --> 00:16:54.443]  My blood pressure has normalized.
[00:16:54.443 --> 00:16:56.604]  My diabetes has totally improved.
[00:16:56.604 --> 00:17:01.105]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:01.105 --> 00:17:03.286]  I recommend Heart and Body Extract to everyone.
[00:17:03.286 --> 00:17:11.149]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:11.189 --> 00:17:13.532]  Order your two-month supply today by calling 866-295-5305.
[00:17:13.532 --> 00:17:13.872]  That's 866-295-5305.
[00:17:13.872 --> 00:17:15.795]  Or order online at HBextract.com.
[00:17:15.795 --> 00:17:17.777]  Heart and Body Extract, 866-295-5305.
[00:17:17.777 --> 00:17:18.658]  Or HBextract.com.
[00:17:28.630 --> 00:17:34.992]  The United States of Empire is a book that claims the United States is the empire of the world.
[00:17:34.992 --> 00:17:38.033]  George Washington had warned us against foreign wars.
[00:17:38.033 --> 00:17:43.955]  The United States of Empire shows that World Wars I and II left England broken.
[00:17:43.955 --> 00:17:47.736]  Its former colony, the U.S., had to save the empire.
[00:17:47.736 --> 00:17:48.996]  Was there ever a vote?
[00:17:48.996 --> 00:17:50.357]  Who do we fight for?
[00:17:50.357 --> 00:17:56.558]  The Deep State began with World War I. The United States of Empire by James Dunn.
[00:17:56.558 --> 00:17:57.979]  Available at Amazon Books.
[00:18:02.891 --> 00:18:12.302]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:18:12.302 --> 00:18:23.335]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:18:23.715 --> 00:18:29.639]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:18:29.639 --> 00:18:41.146]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:18:41.146 --> 00:18:49.331]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:18:49.331 --> 00:18:51.512]  It's time to take care of your morning routine.
[00:18:51.812 --> 00:18:57.604]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com
[00:19:00.405 --> 00:19:07.028]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[00:19:07.028 --> 00:19:10.490]  As you age, your body can lose testosterone over time.
[00:19:10.490 --> 00:19:19.394]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:19:19.394 --> 00:19:27.538]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:19:28.158 --> 00:19:33.579]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[00:19:33.579 --> 00:19:40.821]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:19:40.821 --> 00:19:44.502]  Let Alpha Power help bring you to the peak of your optimal health.
[00:19:44.502 --> 00:19:47.543]  Don't fall short on energy in the fight against tyranny.
[00:19:47.543 --> 00:19:51.604]  Show the world what a True Alpha Male looks like today with Alpha Power.
[00:19:51.604 --> 00:19:54.105]  Head to InfoWarsStore.com today.
[00:20:03.346 --> 00:20:21.741]  You're listening to the Alex Jones Show!
[00:20:21.741 --> 00:20:26.685]  Crashing through the lies and disinformation, it's Alex Jones!
[00:20:46.448 --> 00:20:50.230]  There is no true escape.
[00:20:50.230 --> 00:20:53.671]  I'm Elemental!
[00:20:53.671 --> 00:20:56.232]  My sight is clean!
[00:20:56.232 --> 00:20:58.993]  I am perpetual!
[00:20:58.993 --> 00:21:01.554]  I keep the country free!
[00:21:01.554 --> 00:21:01.835]  Woo!
[00:21:04.207 --> 00:21:06.988]  Alright, let's get serious here, folks.
[00:21:06.988 --> 00:21:10.530]  These are just some of the reports on Infowars.com.
[00:21:10.530 --> 00:21:12.751]  And there isn't any directive here.
[00:21:12.751 --> 00:21:22.615]  We actually look at what's happening, what the intel is, our own personal research on the street, all the experts and guests we're talking to as the intelligence emerges.
[00:21:22.615 --> 00:21:26.817]  Okay, so, I don't call Paul Watson up and say, report on this, or I don't tell the crew, report on that.
[00:21:26.817 --> 00:21:30.459]  Sometimes I say, go cover this Trump rally, or, you know, go cover this Hillary event, or whatever.
[00:21:32.134 --> 00:21:34.820]  Obviously defend the Second Amendment, defend human life.
[00:21:34.820 --> 00:21:37.765]  I mean, if you don't support that stuff, you don't want to work at InfoWars.
[00:21:38.996 --> 00:22:00.062]  But it's totally emerged that Antifa, funded by the Ford Foundation, funded by Soros, Alexander Soros is really taking over now, running things for his dad, that they're planning violence all over the United States and at the border, where people are trying to just defend the total collapse that's taken place.
[00:22:00.062 --> 00:22:02.563]  FBI report, Antifa activists
[00:22:03.928 --> 00:22:08.355]  Scheme with drug cartel associates to staged armed rebellion at U.S.
[00:22:08.355 --> 00:22:09.257]  border.
[00:22:09.257 --> 00:22:09.978]  What do you think?
[00:22:09.978 --> 00:22:14.445]  The troops being disarmed and the Mexican government incursions of the U.S.
[00:22:14.445 --> 00:22:14.846]  are about.
[00:22:14.846 --> 00:22:18.392]  It's all about getting in our face, probing, seeing what we'll put up with.
[00:22:19.568 --> 00:22:22.809]  And that ties into all these tweets that Trump has put out about this.
[00:22:22.809 --> 00:22:27.890]  The coyotes and drug cartels are in total control of the Mexico side of the southern border.
[00:22:27.890 --> 00:22:32.111]  They have labs nearby where they make drugs to sell them into the US.
[00:22:32.111 --> 00:22:37.153]  Mexico, one of the most dangerous countries in the world, must eradicate this problem now.
[00:22:37.153 --> 00:22:37.873]  Also stop...
[00:22:38.905 --> 00:22:43.727]  The march to the United States, which just a few months ago the Democrats didn't say even existed.
[00:22:43.727 --> 00:22:48.748]  Now they have to admit it and now the Democrats know their own constituents are turning against them over this.
[00:22:48.748 --> 00:22:52.469]  So now they're going, OK, there is a border crisis, but Trump created it.
[00:22:52.469 --> 00:22:54.370]  Of course you did.
[00:22:54.370 --> 00:23:02.432]  If the Democrats don't give us the votes to change our weak, ineffective and dangerous immigration laws, we must fight hard to vote them out.
[00:23:02.432 --> 00:23:03.353]  Trump went on to say in 2020.
[00:23:05.680 --> 00:23:09.323]  But all of that now dovetails with this latest footage.
[00:23:09.323 --> 00:23:18.370]  In fact, maybe we should put a compilation together of all the times, there's hundreds of these videos, where Antifa walks over and hits a woman in the head with a bike lock.
[00:23:18.370 --> 00:23:22.013]  And then like 20 dudes just grab her and she just disappears.
[00:23:22.013 --> 00:23:30.861]  Like the last episode of Game of Thrones where the zombies climb over the parapet walls and then grab somebody and they just disappear being chewed into pieces.
[00:23:30.861 --> 00:23:33.143]  You see that footage at Berkeley of the woman trying to get into here.
[00:23:34.614 --> 00:23:40.857]  Milo Yiannopoulos speak, and they first hit her and she's bleeding and crying, she holds on to a gate, they grab her and she goes, ahhh!
[00:23:40.857 --> 00:23:51.421]  Into the dark, and they just boil over her, and bruises all over her, cuts all over her, it's just men stomp her and stomp her, and other women get in and kick her in the face.
[00:23:51.421 --> 00:23:54.243]  The opposite of chivalry, the opposite of honor.
[00:23:54.243 --> 00:23:56.624]  Treating women like absolute crap.
[00:23:56.624 --> 00:23:59.205]  Bullies, ganging up on people, being anti-free speech.
[00:24:00.606 --> 00:24:06.933]  But then there's the hundreds of videos of one lone man or maybe two men standing up to 10, 15, 20 of them.
[00:24:06.933 --> 00:24:08.014]  Tommy Robinson did it.
[00:24:08.014 --> 00:24:09.415]  Fought nine of them.
[00:24:09.415 --> 00:24:13.260]  Knocked five or six down to the ground before they got on top of him and started stomping him.
[00:24:13.260 --> 00:24:15.322]  When the police came, Tommy was the bad guy.
[00:24:15.322 --> 00:24:17.184]  Even though it was all on footage.
[00:24:17.184 --> 00:24:18.806]  He was just trying to leave a McDonald's.
[00:24:20.216 --> 00:24:22.197]  Well, now there's new footage.
[00:24:22.197 --> 00:24:25.320]  And boy, let me tell you, the police report's out.
[00:24:25.320 --> 00:24:29.723]  He knocked out four or five more of them after the camera got disconnected.
[00:24:29.723 --> 00:24:31.484]  They broke the camera, but he got the tape.
[00:24:31.484 --> 00:24:34.947]  The full 18 minutes of video is up on InfoWars.com.
[00:24:34.947 --> 00:24:37.089]  I want to get this journalist on the show.
