[00:00:00.345 --> 00:00:01.546]  Sue him!
[00:05:17.731 --> 00:05:27.616]  Presidential candidate Jim Webb defended the Second Amendment rights of Americans during the first Democratic debate and he actually called out his fellow politicians on their hypocrisy.
[00:05:27.616 --> 00:05:35.600]  There are people at high levels in this government who have bodyguards 24 hours a day, 7 days a week.
[00:05:35.600 --> 00:05:40.602]  The average American does not have that and deserves the right to be able to protect their family.
[00:05:40.882 --> 00:05:45.627]  And Webb's point echoes recent comments made by media pioneer Matt Drudge.
[00:05:45.627 --> 00:05:47.048]  I challenge Hillary.
[00:05:47.048 --> 00:05:48.850]  Take away your Secret Service.
[00:05:48.850 --> 00:05:50.131]  Dismiss them.
[00:05:50.131 --> 00:05:50.972]  I dare you.
[00:05:50.972 --> 00:05:52.173]  Obama, same thing.
[00:05:52.173 --> 00:05:53.975]  Leave the White House unguarded, Obama.
[00:05:53.975 --> 00:05:56.157]  You know what would happen in 30 seconds?
[00:05:56.157 --> 00:05:58.119]  Both of those people would no longer be on planet Earth.
[00:05:58.419 --> 00:06:01.242]  Read more now at InfoWars.com.
[00:06:01.242 --> 00:06:06.387]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:06:06.387 --> 00:06:12.512]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:06:12.512 --> 00:06:17.297]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:06:17.297 --> 00:06:20.860]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:06:20.860 --> 00:06:22.442]  No needles, no injections.
[00:06:22.822 --> 00:06:28.749]  Secure your Revolutionary Secret 12 Formula right now at Infowarslife.com or call 888-253-3139.
[00:06:28.749 --> 00:06:35.576]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:06:35.576 --> 00:06:39.721]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:06:39.721 --> 00:06:42.744]  We have now procured the most high quality and potent forms
[00:06:42.984 --> 00:06:43.305]  We're good.
[00:07:00.968 --> 00:07:10.054]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:07:10.054 --> 00:07:18.460]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:18.460 --> 00:07:23.343]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:23.343 --> 00:07:26.725]  Discover and try a bag of the Patriot Blend 100% Organic Coffee.
[00:07:28.206 --> 00:07:29.006]  We're good to go.
[00:07:52.196 --> 00:07:53.277]  You've got it.
[00:07:53.277 --> 00:07:55.878]  This transmission is coming to you.
[00:07:55.878 --> 00:07:57.219]  Waging war on corruption.
[00:07:57.219 --> 00:08:02.222]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:25.135 --> 00:08:32.097]  Ladies and gentlemen, it is Thursday, the 15th day of October 2015.
[00:08:32.097 --> 00:08:37.718]  I'm your host, Alex Jones, and we have a very full broadcast today.
[00:08:37.718 --> 00:08:49.100]  But many times when I come in here and go over the news that I'm going to be covering, there is a dizzying feeling because there's so much.
[00:08:49.100 --> 00:08:52.541]  Like, what's important news versus what's just sensational?
[00:08:53.703 --> 00:08:55.583]  And interesting.
[00:08:55.583 --> 00:09:01.805]  And sometimes things are really important, but they're also sensational.
[00:09:01.805 --> 00:09:03.345]  And I've talked a lot about this.
[00:09:03.345 --> 00:09:06.906]  15 years ago, I might have one over-the-top insane story out of 100.
[00:09:06.906 --> 00:09:14.928]  Now I've probably got 75 out of 200 articles that are just so over-the-top, I can't even believe it.
[00:09:19.033 --> 00:09:27.618]  And then, every few months, the past was every few years, but now it's every few months, a group of stories come together.
[00:09:27.618 --> 00:09:47.368]  And with my knowledge and understanding of governmental systems worldwide, but particularly here in the United States, the tumblers basically click into place, the safe door opens, and you can really see what's inside.
[00:09:50.717 --> 00:10:06.690]  And a group of stories the last two weeks come together in a confluence that is so important.
[00:10:06.690 --> 00:10:19.460]  I am having trouble feeling even worthy to try to describe to you how absolutely confirming this is.
[00:10:21.576 --> 00:10:32.485]  And it shakes me to my absolute core.
[00:10:32.485 --> 00:10:49.518]  In fact, this news is so important that when I saw it this morning before the show, and it connected into everything else we already know, I almost went and
[00:10:51.670 --> 00:11:00.895]  To David Knight's office and said, please put on your sports jacket, grab all the news you're researching, you're doing the show.
[00:11:00.895 --> 00:11:15.083]  So that I could get with Paul Watson or myself and a word processor and pull all these links together, put this together, write an article, put out an emergency alert, and really make a big deal out of it.
[00:11:15.083 --> 00:11:17.365]  Because if I just come up here at the start of the show,
[00:11:19.628 --> 00:11:28.472]  And mention some of these stories and tell everybody it's really important and tell everybody please get this information out.
[00:11:28.472 --> 00:11:33.294]  It won't go viral.
[00:11:33.294 --> 00:11:40.138]  If I say we've got a big announcement in a couple days and I build it up, which I don't do that folks.
[00:11:40.138 --> 00:11:45.280]  I always say coming up and I'll just tell you right then what the news is because I just want to get it out.
[00:11:52.898 --> 00:12:20.243]  So what I am here trying to do is make a big deal out of this and really get people who are lost in the haze of all the news, myself included, I'm not on some high mountain here, that we can really look at the situation we're in and really see that the worst case scenario analyses that we've come up with and many others have now come up with, concurrent breakdowns basically,
[00:12:23.115 --> 00:12:28.999]  Is so horrible.
[00:12:28.999 --> 00:12:36.504]  And it confirms our worst, our worst, not fears, our worst long-term projections.
[00:12:36.504 --> 00:12:47.771]  Because we're not long-term projecting now, we're in 2015.
[00:12:47.771 --> 00:12:51.434]  I am not trying to be dramatic here.
[00:12:52.628 --> 00:13:00.313]  This is dramatic.
[00:13:00.313 --> 00:13:15.422]  Richard walked in this morning and he said, you know, you've been covering the Safe Cities Initiative and the UN Treaty.
[00:13:15.422 --> 00:13:17.644]  We know it's tied to the TPP on law enforcement.
[00:13:21.650 --> 00:13:23.231]  Here's the headline from a few weeks ago.
[00:13:23.231 --> 00:13:30.254]  Obama administration and UN announced global police force to fight extremism in US.
[00:13:30.254 --> 00:13:37.158]  Now we have this new article out today from UPI that no one is covering.
[00:13:37.158 --> 00:13:44.441]  Justice Department creates domestic terrorism unit.
[00:13:44.441 --> 00:13:47.763]  And then we have their press releases on it and we have an hour and a half
[00:13:48.908 --> 00:14:18.097]  video that we're watching and going over with the Southern Poverty Law Center and the ADL basically running the Justice Department creating their own basically Bolshevik police force and they say and they link to the previous Homeland Security reports that we received and leaked years ago
[00:14:19.016 --> 00:14:21.018]  Five different ones.
[00:14:21.018 --> 00:14:28.523]  Saying that the number one terror enemy is patriots, veterans, gun owners, conservatives, libertarians.
[00:14:28.523 --> 00:14:45.276]  And saying that they are going to federalize local police and make their main mission persecuting veterans, returning veterans, gun owners, conservatives, Christians.
[00:14:45.276 --> 00:14:46.858]  And you see the beginnings of it
[00:14:47.984 --> 00:15:09.653]  With 15 people charged in Georgia for being at a park with rebel battle flags and American flags, and in the indictment, which is, again, at the state level, but the feds are involved, it says the flags were threatening.
[00:15:09.653 --> 00:15:12.934]  And you add all this together, they are intending
[00:15:17.645 --> 00:15:35.412]  To start a war in the United States with the American people, they will guaranteed stage false flags to be blamed on us, and they will guaranteed try to round up and arrest Americans en masse.
[00:15:35.412 --> 00:15:37.352]  They're moving to do it.
[00:15:37.352 --> 00:15:41.034]  I know in my gut, and I can see all the facts, they intend to do it.
[00:15:41.034 --> 00:15:42.915]  There's no doubt now.
[00:15:42.915 --> 00:15:44.135]  They are insane.
[00:15:44.135 --> 00:15:45.215]  They are going for broke.
[00:15:45.215 --> 00:15:46.376]  They are crazy.
[00:15:49.130 --> 00:15:50.711]  Hitler was crazy going into Russia.
[00:15:50.711 --> 00:15:58.515]  Napoleon was crazy going into areas and places that he couldn't defeat.
[00:15:58.515 --> 00:16:02.037]  This is the nature of power.
[00:16:02.037 --> 00:16:07.760]  And we have megalomaniacs running the show that hate us, the better cleaners.
[00:16:07.760 --> 00:16:11.842]  They hate us because we don't commit crime at any rate that's measurable.
[00:16:11.842 --> 00:16:13.443]  They hate us because we produce so much wealth.
[00:16:14.585 --> 00:16:16.086]  They hate us because we're strong.
[00:16:16.086 --> 00:16:18.068]  They hate us because we're good.
[00:16:18.068 --> 00:16:23.394]  They hate us because they know that we're not criminals like them.
[00:16:23.394 --> 00:16:29.319]  I told you that they were going to start indicting Republican leadership that was patriots.
[00:16:29.319 --> 00:16:36.046]  They have indicted two of Rand Paul's staffers.
[00:16:36.046 --> 00:16:38.028]  They're calling it payments for endorsements.
[00:16:42.697 --> 00:16:49.781]  No, the Campaign for Liberty, other organizations, that's what they do is they give money to libertarian candidates to build a movement.
[00:16:49.781 --> 00:16:59.045]  And the Republican and Democratic parties have circled the wagons against the Tea Party because the Tea Party is taking over the Republican Party.
[00:16:59.045 --> 00:17:02.487]  We've removed the Speaker.
[00:17:02.487 --> 00:17:04.028]  We're trying to get a good Speaker in.
[00:17:04.028 --> 00:17:05.849]  That would be like getting a good President in.
[00:17:05.849 --> 00:17:07.369]  It's just as important.
[00:17:07.369 --> 00:17:08.310]  Just as important.
[00:17:12.588 --> 00:17:17.431]  This is a quiet, peaceful revolution, trying to take our country back the right way.
[00:17:17.431 --> 00:17:23.914]  And I'm telling you right now, Ron Paul's on next week, but they are trying to find anything to indict.
[00:17:23.914 --> 00:17:26.275]  Rand Paul.
[00:17:26.275 --> 00:17:29.137]  Ron Paul.
[00:17:29.137 --> 00:17:30.638]  Governor Abbott.
[00:17:30.638 --> 00:17:33.639]  They've already indicted the Texas Attorney General.
[00:17:33.639 --> 00:17:36.621]  I told you they got the feds on me.
[00:17:36.621 --> 00:17:37.782]  Why do you think Drudge was here?
[00:17:39.192 --> 00:17:44.193]  Judges have been told by Supreme Court Justice and others that it's coming.
[00:17:44.193 --> 00:17:47.414]  They've been told.
[00:17:47.414 --> 00:17:51.695]  This is white knuckle time, folks.
[00:17:51.695 --> 00:17:55.837]  And if they get away with indicting Rand Paul and Ron Paul, I told you they're real.
[00:17:55.837 --> 00:17:56.737]  People want to bash them.
[00:17:56.737 --> 00:17:59.878]  They got fake libertarian whisper campaigns against them all day long.
[00:17:59.878 --> 00:18:00.658]  That's government run.
[00:18:00.658 --> 00:18:02.198]  Just like they have it against me.
[00:18:02.198 --> 00:18:04.099]  Because they know they got our phones tapped, folks.
[00:18:04.099 --> 00:18:05.299]  They know our families.
[00:18:05.299 --> 00:18:06.479]  They know we're for real.
[00:18:06.479 --> 00:18:08.320]  They know that we'll go all the way.
[00:18:09.974 --> 00:18:11.836]  We're the real deal, folks.
[00:18:11.836 --> 00:18:14.238]  And they know it.
[00:18:14.238 --> 00:18:18.662]  And they've got... The White House is ordering the FBI to find something.
[00:18:18.662 --> 00:18:20.484]  They've been investigating me for two years.
[00:18:20.484 --> 00:18:22.506]  They can't do it.
[00:18:22.506 --> 00:18:30.254]  The FBI, for all its problems, has a organizational resistance to the total destruction of the country.
[00:18:30.254 --> 00:18:34.598]  And I was told about a year ago they were going to create a Justice Department special unit
[00:18:36.018 --> 00:18:49.701]  That will basically command local police forces and will take control of special units that they're creating within the ATF, the BATF, within the FBI, within the hostage rescue team, all of it.
[00:18:49.701 --> 00:18:58.082]  And this is the equivalent of a Hitlerian brown shirt takeover in America.
[00:18:58.082 --> 00:19:00.943]  And they're making their move with a coup inside the government.
[00:19:02.182 --> 00:19:03.863]  To really take over.
[00:19:03.863 --> 00:19:07.827]  They've got the central banks, they've got the regulators, they've got a lot of that in place.
[00:19:07.827 --> 00:19:19.276]  But now, they are creating the federal police, commissar, political police, NKVD style units.
[00:19:19.276 --> 00:19:24.621]  And believe me, it's not just going to be indictments, it's not just going to be arrests.
[00:19:24.621 --> 00:19:27.623]  They have obviously large assassination teams.
[00:19:28.553 --> 00:19:31.456]  They have been canvassing the U.S.
[00:19:31.456 --> 00:19:41.528]  military and mercenaries, but there is a boycott within those groups to commit murders against patriots in the United States.
[00:19:41.528 --> 00:19:48.496]  But they are canvassing and trying to line up large shadow government forces
[00:19:50.612 --> 00:19:57.979]  Similar to how the Nazis tried to get Smedley Butler to have a coup, well this isn't Nazis doing it, it's communists and big banks.
[00:19:57.979 --> 00:19:59.541]  It's just unbelievable.
[00:19:59.541 --> 00:20:00.041]  It is unbelievable.
[00:20:01.647 --> 00:20:06.070]  Most of us already know that taking a fish oil supplement to boost omega-3s is a good idea.
[00:20:06.070 --> 00:20:10.112]  But did you know that about 60% of Americans are actually deficient in omega-3s?
[00:20:10.112 --> 00:20:17.477]  Did you know that most fish oil products contain only about 25% omega-3s and the remaining 75% is undesirable fish fat?
[00:20:17.477 --> 00:20:22.740]  Heck, did you know that more than 90% of fish oil supplements sold in the USA are not even made here?
[00:20:22.740 --> 00:20:31.185]  If you want to boost your omega-3s using the finest American-made fish oil, check out Nutrigold fish oil supplements on www.fishoil.best.
[00:20:31.425 --> 00:20:36.769]  Nutrigold fish oils are independently 5-star certified and guaranteed to be exceptionally pure.
[00:20:36.769 --> 00:20:38.390]  That means no more fish burps.
[00:20:38.390 --> 00:20:44.454]  Best of all, just one Nutrigold fish oil capsule contains more omega-3s than four standard fish oil capsules.
[00:20:44.454 --> 00:20:54.681]  Go to www.fishoil.best or call 888-920-1497 and use promo code BESTFISHOIL to get a free one-month supply.
[00:20:54.681 --> 00:20:58.163]  That's www.fishoil.best or call 888-920-1497.
[00:21:01.765 --> 00:21:03.105]  What are you listening to?
[00:21:03.105 --> 00:21:05.846]  Have you tried the Doug Stephan 24-7 Listen Line?
[00:21:05.846 --> 00:21:06.506]  It's easy.
[00:21:06.506 --> 00:21:09.087]  Just punch in 605-477-3712.
[00:21:09.087 --> 00:21:12.308]  No apps, no data, no internet needed.
[00:21:12.308 --> 00:21:14.749]  And no extra cost if you have unlimited minutes.
[00:21:14.749 --> 00:21:16.229]  Call now.
[00:21:16.229 --> 00:21:16.929]  605-477-3712.
[00:21:16.929 --> 00:21:20.470]  Now you can listen to Doug Stephan when you want.
[00:21:20.470 --> 00:21:23.451]  Bookmark the Doug Stephan 24-7 Listen Line number today.
[00:21:23.451 --> 00:21:23.711]  605-477-3712.
[00:21:23.711 --> 00:21:24.071]  Got it?
[00:21:24.071 --> 00:21:24.251]  Call 605-477-3712.
[00:21:31.089 --> 00:21:40.513]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:21:40.513 --> 00:21:44.935]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:21:44.935 --> 00:21:51.038]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:21:51.038 --> 00:21:53.819]  Buy now at DefenderShield.com.
[00:21:53.819 --> 00:21:56.200]  For 10% off, use promo code GCN.
[00:21:56.200 --> 00:21:59.742]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:00.731 --> 00:22:08.833]  There are hundreds of silver products on the market today, but there's nothing like the astonishing health benefits of the multi-patented One Silver Solution.
[00:22:08.833 --> 00:22:14.695]  Boost your immune system at a great price with our Silver Solution liquid, starting at $12.95 a bottle.
[00:22:14.695 --> 00:22:17.576]  Now available in regular and extra strength.
[00:22:17.576 --> 00:22:20.036]  That's half the price of the leading competitors.
[00:22:20.036 --> 00:22:25.818]  Call 844-USE-SILVER for your free catalog, or go to onesilversolution.com.
[00:22:25.818 --> 00:22:27.758]  Onesilversolution.com.
[00:22:27.758 --> 00:22:29.979]  There is only one silver solution.
[00:22:30.439 --> 00:22:31.300]  We're good to go!
[00:23:00.057 --> 00:23:04.598]  KDArmor.com is your one-stop shop for the most affordable body armor period.
[00:23:04.598 --> 00:23:08.999]  With packages starting at $169.99 and free shipping on every order.
[00:23:08.999 --> 00:23:10.860]  Why would you go anywhere else?
[00:23:10.860 --> 00:23:15.181]  KD offers soft armor and rifle threat rated armor up to level 4.
[00:23:15.181 --> 00:23:18.902]  Go to KDArmor.com and get your body armor today while you still can.
[00:23:18.902 --> 00:23:24.524]  Mention this ad and receive a free water purification kit for a limited time with any body armor package.
[00:23:24.524 --> 00:23:26.124]  Go to KDArmor.com.
[00:23:26.124 --> 00:23:28.285]  That's KDArmor.com.
[00:23:28.285 --> 00:23:29.105]  Come and take it.
[00:23:30.771 --> 00:23:32.512]  Silver products on the market today.
[00:23:32.512 --> 00:23:37.813]  But there's nothing like the astonishing health benefits of the multi-patented One Silver Solution.
[00:23:37.813 --> 00:23:41.695]  Boost your immune system at a great price with our Silver Solution liquid.
[00:23:41.695 --> 00:23:43.696]  Starting at $12.95 a bottle.
[00:23:43.696 --> 00:23:46.577]  Now available in regular and extra strength.
[00:23:46.577 --> 00:23:49.017]  That's half the price of the leading competitors.
[00:23:49.017 --> 00:23:52.399]  Call 844-USE-SILVER for your free catalog.
[00:23:52.399 --> 00:23:54.819]  Or go to onesilversolution.com.
[00:23:54.819 --> 00:23:56.760]  Onesilversolution.com.
[00:23:56.760 --> 00:23:58.981]  There is only one Silver Solution.
[00:24:15.464 --> 00:24:23.576]  Yeah, Strange Days have found us.
[00:24:23.576 --> 00:24:26.620]  They're going to destroy us.
[00:24:45.086 --> 00:24:54.674]  A multinational banking cartel that operates as organized crime has taken over basically about 70% of the planet.
[00:24:54.674 --> 00:24:58.398]  It's got tentacles into Russia, tentacles into China.
[00:24:58.398 --> 00:25:04.883]  China is probably even just as bad or worse a predator group than the Anglo-American establishment.
[00:25:04.883 --> 00:25:12.410]  Russia was captured by the Anglo-American establishment through the Bolshevik disease and is halfway pulled itself away from the entity.
[00:25:13.755 --> 00:25:25.447]  And so is being besieged by economic warfare and destabilization foundations within.
[00:25:25.447 --> 00:25:32.274]  But Russia still is strongman mafia corruption, but it's angelic compared to the eugenicist.
[00:25:32.274 --> 00:25:36.438]  The Russians are not putting fluoride in their water and cancer viruses in their vaccine for their public.
[00:25:40.003 --> 00:25:46.105]  And when they bring down the Russians, there'll be nothing else standing against them.
[00:25:46.105 --> 00:25:47.125]  Except the American people.
[00:25:47.125 --> 00:25:56.247]  And that's why we're under attack.
[00:25:56.247 --> 00:25:59.788]  And the globalist secret weapon is the radical Muslims.
[00:25:59.788 --> 00:26:01.009]  They're going to turn them loose everywhere.
[00:26:03.177 --> 00:26:18.403]  In Germany, we told you about this yesterday, but this is RT, German parents outraged that school children have to make beds, cook for refugees, retirees are being thrown out of their homes, and the quote, immigrants and migrants are being given them.
[00:26:18.403 --> 00:26:24.726]  The Express reports refugees taunt police with selfies showing stolen goods, but they can't be arrested.
[00:26:24.726 --> 00:26:27.447]  They've been told that they are above the law by the French Federal Police.
[00:26:29.107 --> 00:26:30.968]  Now, you think this is over the top.
[00:26:30.968 --> 00:26:36.252]  No, this is meant to break the will.
[00:26:36.252 --> 00:26:42.516]  You can rape women, you can tell women that they can't, you know, wear short skirts in Germany at Oktoberfest.
[00:26:42.516 --> 00:26:47.780]  But if you protest against it, you'll be arrested.
[00:26:47.780 --> 00:26:50.202]  This is the leftist system of tyranny.
[00:26:50.202 --> 00:26:53.204]  The exact same system you see in Germany is what they're going to have here.
[00:26:56.420 --> 00:27:07.548]  And when they activate the Justice Department units that are already in place, those teams are going to run the false flags in phase one.
[00:27:07.548 --> 00:27:21.919]  To then have a huge media frenzy and hysteria projecting the school, the federal building, the police station, the statehouse that gets hit by a quote, patriot truck bomb.
[00:27:24.505 --> 00:27:41.018]  Except they know we're on our toes, and we're aware of this, and so I said when they start trying to indict Ron Paul, Rand Paul, myself, Matt Drudge, you may not think Rush Limbaugh's a good guy, but they're going to go after him too.
[00:27:41.018 --> 00:27:48.184]  When they make that move, they've already started to indict News Corp, so they went and made a deal, joined the Democrats two years ago.
[00:27:48.184 --> 00:27:49.205]  The indictments got dropped.
[00:27:50.540 --> 00:27:53.922]  The Republican leadership said, look, just give us money, let us go along with you.
[00:27:53.922 --> 00:27:55.803]  They're going to be set up in the end and take it out as well.
[00:27:55.803 --> 00:27:58.744]  They're going to go with a one-party deal here.
[00:27:58.744 --> 00:28:05.807]  They'll still be somewhat of a Republican party, but it's going to be limited.
[00:28:05.807 --> 00:28:06.768]  This is the takeover.
[00:28:06.768 --> 00:28:07.968]  This is America falling.
[00:28:07.968 --> 00:28:10.109]  This is it.
[00:28:10.109 --> 00:28:14.171]  And they will just start arresting people for rebel flags, then Gadsden flags.
[00:28:14.171 --> 00:28:16.112]  They'll say someone's feelings were hurt.
[00:28:16.112 --> 00:28:17.873]  Oops, you resisted the police, you got killed.
[00:28:22.042 --> 00:28:26.366]  You know, how dare the Patriots, you know, have blown up that school?
[00:28:26.366 --> 00:28:31.411]  They'll hit some tearjerker target.
[00:28:31.411 --> 00:28:35.495]  And I just don't want to sit here and watch this happen.
[00:28:35.495 --> 00:28:40.120]  I know the military is beside itself knowing about this.
[00:28:40.120 --> 00:28:43.904]  Military's not perfect, but killing America really gets to even the high-level brass.
[00:28:45.487 --> 00:28:50.568]  They know that they've been removing actual military men and they've been putting politicians in.
[00:28:50.568 --> 00:28:53.349]  This has never before been done at this level.
[00:28:53.349 --> 00:29:00.191]  They have culled massive numbers of people.
[00:29:00.191 --> 00:29:05.732]  The purge accelerates.
[00:29:05.732 --> 00:29:07.693]  I'm going to stay here through this.
[00:29:07.693 --> 00:29:08.713]  I'm not going to evacuate.
[00:29:11.738 --> 00:29:13.479]  Because if we give in to them, they're going to win.
[00:29:13.479 --> 00:29:16.902]  There's a very good chance they've bitten off way more than they can chew.
[00:29:16.902 --> 00:29:27.951]  If we get the word out about this plan, and about how they're making a federal, international, domestic force on the ground, running your local cities, bypassing the states.
[00:29:27.951 --> 00:29:33.235]  This is the feds, the globalists, through the feds, taking over the states.
[00:29:33.235 --> 00:29:34.776]  At the city level.
[00:29:34.776 --> 00:29:40.781]  With their politically correct, community organizing, UN, federal forces.
[00:29:42.862 --> 00:29:49.325]  And they, I mean, they say, they say in this hour and a half video that their enemy is the Patriots, the Tea Party, and they're coming for us.
