[00:00:16.067 --> 00:00:16.231]  Hmm.
[00:04:49.560 --> 00:05:04.145]  Now, of course, in response to this, the Turkish Prime Minister banned the media from reporting about it, and all 13 of the soldiers who were involved with this search have been charged with espionage, and they're facing 20-year prison terms.
[00:05:04.525 --> 00:05:05.566]  So, what's the big deal?
[00:05:06.966 --> 00:05:23.291]  In this unauthorized search that they were tipped off via military officials, they discovered 45 to 55 missiles or rockets, 30 to 40 crates of ammunition, including mortar rounds, and anti-aircraft ammunition.
[00:05:23.892 --> 00:05:28.013]  So that is a very big deal, and here is our writer Kit Daniels with more.
[00:05:29.295 --> 00:05:31.456]  This is Kit Daniels with Infowars.com.
[00:05:32.037 --> 00:05:38.400]  Recently, the Prime Minister of Turkey, which is a NATO country, was caught by his own military smuggling guns to ISIS in Syria.
[00:05:38.821 --> 00:05:39.721]  Now, why would he do that?
[00:05:40.301 --> 00:05:46.225]  For one thing, Turkey is predominantly Sunni Muslim, whereas Syria is Shiite Muslim.
[00:05:46.525 --> 00:05:49.527]  And there's been a centuries-old conflict between Sunnis and Shiites.
[00:05:50.147 --> 00:05:56.311]  Also, Syria rivals Turkey as a place to put a strategic oil pipeline running from Russia to the West.
[00:05:57.171 --> 00:06:08.078]  Now, if this pipeline is worth billions of dollars, maybe even trillions of dollars, and it would be to NATO's benefit if the pipeline was run through Turkey so they could geopolitically isolate Russia if they wanted to.
[00:06:09.039 --> 00:06:23.949]  So, this is why you see Turkey openly funding, arming, training ISIS as part of their proxy war to topple the Syrian government so they can go into Syria, take the oil, then install a public regime that promotes their own agenda.
[00:06:24.509 --> 00:06:26.671]  Once again, this is Kit Daniels with Infowars.com.
[00:06:27.771 --> 00:06:39.977]  Now, if you want to know even more about this, just go to the article, Kit Daniel's article, it's up there, InfoWars.com, Turkey's Prime Minister Caught Arming Al-Qaeda, and you can click on an interview that we did with Siebel Edmonds.
[00:06:40.137 --> 00:06:41.137]  She's a whistleblower.
[00:06:41.517 --> 00:06:48.560]  She exposed, a long time ago, how the West was using Turkey as an operator in false flag war of terror.
[00:06:48.620 --> 00:06:52.802]  She goes on to describe how Osama Bin Laden had ties to the CIA.
[00:06:53.102 --> 00:06:56.324]  Basically, the same exact characters, the same exact
[00:06:56.804 --> 00:07:15.163]  History repeating itself and go there get a history lesson on this false flag and then you can see that it's the exact same thing that is currently happening today and also goes on to really explain how it's completely insane that they're talking about arming the rebels once again.
[00:07:15.763 --> 00:07:20.087]  Now stick around because coming up I've got an explosive interview with Mark Passio.
[00:07:20.127 --> 00:07:24.250]  He's going to talk with me about occultism and mind control.
[00:07:24.610 --> 00:07:29.775]  But before that, find out what we told you about the police state.
[00:07:29.835 --> 00:07:34.779]  We predicted it a decade ago and now it is in the mainstream news.
[00:07:36.660 --> 00:07:39.241]  Every year we make resolutions to lose weight and get in shape.
[00:07:39.341 --> 00:07:40.501]  And the truth is, it's hard.
[00:07:40.761 --> 00:07:42.222]  Even with diet and exercise.
[00:07:42.422 --> 00:07:47.464]  Because of toxic food in our environment that is stressing our bodies more than ever before.
[00:07:47.604 --> 00:07:54.447]  Working with experts in nutrition and biochemistry, I found that super high quality nutraceuticals, in addition to my diet and exercise,
[00:07:54.767 --> 00:07:56.749]  Worthy answers that synergistically worked.
[00:07:56.990 --> 00:08:03.537]  I can see the drastic changes every day with the amount of weight I've lost, my increased stamina, and more of a twinkle in my eye.
[00:08:03.838 --> 00:08:09.765]  That's why we are now so excited to launch the InfoWars Life Resolution Pack, combining three essential formulations.
[00:08:10.245 --> 00:08:14.510]  Oxygen-based cleanser oxy powder, the secret 12 bioavailable vitamin B12,
[00:08:15.211 --> 00:08:24.722]  And your choice of super female or super male vitality now all available at a discounted price to you and your family to bring in the new year and make 2015 a true success.
[00:08:25.102 --> 00:08:27.004]  That's Infowarslife.com or 888-253-3139.
[00:08:27.024 --> 00:08:30.388]  2015 is the year to do it and it all starts at Infowarslife.com.
[00:08:48.084 --> 00:08:51.885]  City of Austin tap water versus filtered City of Austin tap water.
[00:08:52.305 --> 00:08:53.465]  I can like taste dirt in it.
[00:08:53.545 --> 00:08:54.666]  God knows what's in this.
[00:08:54.826 --> 00:08:55.786]  This isn't up to taste.
[00:08:55.826 --> 00:08:57.407]  Tastes like Austin water?
[00:08:57.687 --> 00:08:58.547]  Yeah, it does.
[00:08:58.607 --> 00:09:02.768]  These people just sampled City of Austin tap water straight from the faucet.
[00:09:03.068 --> 00:09:09.110]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[00:09:09.170 --> 00:09:10.010]  High quality H2O.
[00:09:10.610 --> 00:09:11.650]  That one is better.
[00:09:11.690 --> 00:09:12.691]  Tastes like nothing.
[00:09:12.951 --> 00:09:14.351]  Yep, I know what good water tastes like.
[00:09:14.431 --> 00:09:14.951]  It's good water.
[00:09:15.031 --> 00:09:23.574]  Most tap water contains added substances, like fluoride, chlorine, Monsanto's deadly pesticide, glyphosate, and many others.
[00:09:23.974 --> 00:09:31.476]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[00:09:31.756 --> 00:09:34.237]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:09:35.077 --> 00:09:37.178]  It has that processed flavor to it.
[00:09:37.518 --> 00:09:47.143]  The ProPure® G2.0 filtration system removes these deadly substances and many more, leaving only fresh tasting, deliciously clean water.
[00:09:47.483 --> 00:09:48.603]  Okay, this is very tasty.
[00:09:48.623 --> 00:09:49.624]  It's good water.
[00:09:50.311 --> 00:09:50.731]  Refreshing.
[00:09:51.152 --> 00:09:51.532]  It's good!
[00:09:52.073 --> 00:09:54.414]  Go to InfoWarsStore.com today.
[00:09:54.795 --> 00:09:58.638]  Use promo code WATER and save 10% off your Pro Pure purchase.
[00:09:59.138 --> 00:10:02.461]  Again, that's InfoWarsStore.com or call 1-888-253-3139.
[00:10:18.500 --> 00:10:37.857]  Well, no doubt tonight's State of the Union address is going to feature Obama calling for tighter cybersecurity legislation, and he's probably not going to talk about their surveillance state, and he's definitely not going to be talking about the fact that cops don't even need a warrant to see inside your home.
[00:10:38.297 --> 00:10:41.419]  Now we told you about this more than a decade ago, but here it is.
[00:10:41.920 --> 00:10:43.541]  At least 50 U.S.
[00:10:43.621 --> 00:10:54.809]  law enforcement agencies have secretly equipped their officers with radar devices that allow them to effectively peer through the walls of houses to see whether anyone is inside.
[00:10:55.269 --> 00:10:56.490]  These agencies include the FBI,
[00:10:56.610 --> 00:10:57.930]  FBI and the U.S.
[00:10:57.990 --> 00:11:08.373]  Marshals Service, they began deploying the radar systems more than two years ago with little notice to the courts, no public disclosure of when or how they would be used.
[00:11:08.793 --> 00:11:12.674]  Now, these radars work like finely tuned motion detectors.
[00:11:13.015 --> 00:11:25.258]  They use radio waves to zero in on movements as slight as human breathing from a distance of more than 50 feet, and they can detect whether anyone is inside of a moving house, where they are,
[00:11:25.918 --> 00:11:27.659]  And whether they are moving.
[00:11:28.139 --> 00:11:32.920]  And there's a pretty good diagram of exactly how these things are working.
[00:11:33.320 --> 00:11:37.942]  Now, the agent's use of the radars was largely unknown until December.
[00:11:38.322 --> 00:11:46.784]  This is because a federal appeals court in Denver said that officers had used one before they entered a man's house in order to issue an arrest warrant.
[00:11:47.045 --> 00:11:52.906]  The judges there expressed alarm because they used this technology without first getting a search warrant.
[00:11:53.146 --> 00:11:54.887]  Obviously, this raises grave
[00:11:55.307 --> 00:11:56.948]  Fourth Amendment questions.
[00:11:57.468 --> 00:12:07.171]  And they also say, you know, the technology then was hardly new because federal contract records show the Marshall Service began buying these radars in 2012.
[00:12:07.251 --> 00:12:08.351]  They've spent about $180,000 on them.
[00:12:11.412 --> 00:12:26.538]  Ah, but see, if you'll recall, Alex Jones and all of the rest of us here at the InfoWars crew were called crazy because we were telling you about this technology more than a decade ago in Police State 2 and Police State 3.
[00:12:28.639 --> 00:12:35.542]  Straight out of the Running Man, right here in New York, we have police state surveillance blimps that are sponsored by Fujifilm.
[00:12:36.062 --> 00:12:36.883]  This is only the beginning.
[00:12:37.123 --> 00:12:48.648]  In the future, every major city will have a high-altitude blimp tethered to a cable with ground-penetrating radar that looks right through your walls and gives the government a black-and-white image of the inside of your home.
[00:12:49.269 --> 00:12:51.390]  This entire war on terror is truly
[00:12:52.430 --> 00:12:57.573]  A pretext to launch a military industrial complex takeover of the entire society.
[00:12:57.854 --> 00:13:01.616]  Everything is now going to shift into prisons and surveillance and security.
[00:13:01.656 --> 00:13:05.018]  We're going out of the free market economy into the fascist economy.
[00:13:05.458 --> 00:13:08.701]  The elite has used socialism to consolidate the people's wealth.
[00:13:09.041 --> 00:13:15.545]  Now that it's under their control, they're going to phase out all of the programs for the population and it's all going to corporate welfare.
[00:13:16.005 --> 00:13:16.986]  This is the new America.
[00:13:17.346 --> 00:13:18.167]  Sound weapons.
[00:13:18.667 --> 00:13:21.169]  Police in black ski masks with automatic machine guns.
[00:13:22.009 --> 00:13:27.292]  And yes, helicopters swarming around surveillance blimps right here in New York City.
[00:13:27.812 --> 00:13:37.918]  And only in the new corporate fascist America would we have a blimp for police state purposes that is sponsored by a major company.
[00:13:38.239 --> 00:13:42.041]  And we found out that Fuji gave free bikes to all the police, and guess why?
[00:13:42.381 --> 00:13:43.161]  They sold the U.S.
[00:13:43.181 --> 00:13:51.906]  government, a bunch of different city governments, or trying to sell other city governments, these high-tech imaging systems, these face-scanning systems to recognize who we are.
[00:13:51.966 --> 00:13:55.767]  So our face becomes a national ID card, and Fuji is on the cutting edge of that.
[00:13:58.288 --> 00:14:01.350]  In the past, football teams had sponsors, or baseball teams.
[00:14:01.930 --> 00:14:04.671]  Then it was named stadiums after phone companies.
[00:14:04.691 --> 00:14:06.112]  Southwestern, Bell, Nextel.
[00:14:06.192 --> 00:14:09.134]  Now, we have the Fuji-sponsored NYPD blimp.
[00:14:14.002 --> 00:14:14.482]  Follow the blimp.
[00:14:14.502 --> 00:14:15.643]  The blimp just flew over.
[00:14:15.663 --> 00:14:16.424]  Follow that blimp.
[00:14:16.464 --> 00:14:17.004]  Don't lose him.
[00:14:17.444 --> 00:14:19.005]  They're using that blimp for surveillance.
[00:14:19.025 --> 00:14:20.386]  We always know where the protests are at.
[00:14:21.747 --> 00:14:22.427]  There it is, sir.
[00:14:22.527 --> 00:14:23.228]  Follow that blimp.
[00:14:23.648 --> 00:14:25.389]  What do you guys think of the new security blimp?
[00:14:32.176 --> 00:14:34.418]  I want to know how you get qualified to drive the blimp.
[00:14:34.458 --> 00:14:35.979]  It says Fuji and NYPD.
[00:14:36.039 --> 00:14:36.619]  Yes it does.
[00:14:36.639 --> 00:14:38.941]  I want to go to blimp school because I want to fly the blimp.
[00:14:38.981 --> 00:14:42.023]  So is Fuji now with the police department or are you guys renting it?
[00:14:42.123 --> 00:14:43.124]  I think we're renting it, you know?
[00:14:43.144 --> 00:14:44.284]  Renting the blimp?
[00:14:44.344 --> 00:14:44.564]  Yeah.
[00:14:44.585 --> 00:14:45.665]  Believe it or not, right?
[00:14:45.685 --> 00:14:49.588]  I heard a story that the police in some of their helmets have cameras.
[00:14:50.288 --> 00:14:51.409]  That I've never heard.
[00:14:51.549 --> 00:14:53.210]  I saw it on Fox.
[00:14:53.310 --> 00:14:53.551]  Yeah.
[00:14:53.591 --> 00:14:54.531]  That's kind of crazy.
[00:14:54.551 --> 00:14:56.172]  What about the big sound wave guns?
[00:14:56.192 --> 00:14:56.673]  Where are those?
[00:14:57.493 --> 00:15:00.136]  Now we're going to look at biometrics, the cashless society control grid.
[00:15:08.814 --> 00:15:12.257]  You'll be satellite tracked and taxed to drive an automobile.
[00:15:12.997 --> 00:15:16.240]  You're talking about 65 cents a mile during peak times.
[00:15:16.520 --> 00:15:20.604]  The federal government is preparing and pushing the states to implement this system.
[00:15:21.584 --> 00:15:29.731]  We're talking about RFID tracker chips and the money and almost all products you buy at the store that will track and trace what you do.
[00:15:30.332 --> 00:15:36.677]  The Cold War era echelon system is being beefed up to listen to every phone call, read every fax and email,
[00:15:36.957 --> 00:15:39.338]  Track all purchases made by Americans.
[00:15:40.079 --> 00:15:41.760]  And meanwhile the border stays wide open.
[00:15:42.300 --> 00:15:46.382]  This is about total taxation, total control, total surveillance.
[00:15:46.882 --> 00:15:48.483]  So I want you to understand this.
[00:15:48.903 --> 00:15:51.225]  You're going to be taxed and traced and followed.
[00:15:51.545 --> 00:15:52.505]  They want to make it the law.
[00:15:52.525 --> 00:15:54.346]  Satellite tracking systems in all your cars.
[00:15:54.727 --> 00:15:56.908]  The hardware and software is already in all the new cars.
[00:15:57.128 --> 00:15:58.669]  Just have the interface plugged in.
[00:15:58.689 --> 00:16:00.430]  We're only a few years away from this.
[00:16:00.810 --> 00:16:06.393]  Your television sets that may have digital cable hooked into them are watching in detail what you watch.
[00:16:06.673 --> 00:16:08.575]  They've got face scanning cameras on the streets.
[00:16:08.795 --> 00:16:15.320]  They're going into the grocery stores, following and tracking what you're doing, building detailed psychological algorithms on you.
[00:16:16.281 --> 00:16:20.425]  They're face scanning you and thumb scanning you to get driver's license now.
[00:16:21.265 --> 00:16:23.027]  Almost all the 50 states have implemented this.
[00:16:23.067 --> 00:16:24.148]  There's just a few that haven't.
[00:16:24.708 --> 00:16:30.413]  That's where they get the face scan and the thumb scan to match against you at the grocery store or at the mall.
[00:16:31.234 --> 00:16:33.696]  But all of this is happening while our borders are wide open.
[00:16:34.116 --> 00:16:38.157]  And on top of that, we have the Pentagon saying, we're going to watch all Americans.
[00:16:38.937 --> 00:16:43.418]  Now, that's the hallmark of Mexico, or Russia, or Guatemala, or Communist China.
[00:16:43.738 --> 00:16:46.399]  You have the Army, the military, watching the people.
[00:16:47.319 --> 00:16:54.581]  And for those of you who are watching this program many years from now, I want you to understand that you're going to have more terrorism come out of all this.
[00:16:54.801 --> 00:17:02.663]  Because the very military industrial complex that is now enslaving and taking control of the people, are the ones that stand to gain from more terrorism.
[00:17:03.283 --> 00:17:07.507]  The evidence clearly shows they are instituting and carrying out the terrorism.
[00:17:07.688 --> 00:17:14.935]  That is small compartmental units of this behemoth federal government that is becoming an inferior world government.
[00:17:15.075 --> 00:17:19.520]  Most people in government are good throughout the pyramid, but that key cabal at the top
[00:17:20.560 --> 00:17:25.524]  Controls and set the policy for the entire beehive type society.
[00:17:26.345 --> 00:17:36.194]  So understand maximum surveillance, maximum big brother tracking and tracing that dwarfs the nightmare vision of George Orwell in 1984.
[00:17:36.294 --> 00:17:38.576]  It's more akin to a
[00:17:39.196 --> 00:17:42.239]  THX-1138 matrix-like system.
[00:17:42.879 --> 00:17:44.621]  The chains are being poured.
[00:17:44.701 --> 00:17:48.324]  We're being put into this brave new world.
[00:17:48.344 --> 00:17:55.490]  And people need to face the scope of this electronic straitjacket that's being projected against you and your family.
[00:17:56.210 --> 00:18:05.895]  My friends, they've now announced, way back in 2002, that the Scientific Atlantic cable boxes, the digital cable boxes, watch what you watch.
[00:18:05.935 --> 00:18:07.176]  They don't just watch you physically.
[00:18:07.636 --> 00:18:08.917]  No, no, they pierce your mind.
[00:18:09.197 --> 00:18:10.998]  They build psychological algorithms.
[00:18:11.378 --> 00:18:13.499]  Every part of the show is cue scored.
[00:18:13.760 --> 00:18:17.081]  The psychological rating, the ads are even scored.
[00:18:17.141 --> 00:18:23.345]  And it all goes back and computers go through that data, just like cookies when you surf the internet, but with more detail.
[00:18:24.286 --> 00:18:24.786]  It's worse than 1984.
[00:18:24.826 --> 00:18:29.967]  It doesn't just see what you're physically doing, it builds detailed psychological profiles of you.
[00:18:31.007 --> 00:18:35.468]  There's satellite tracker systems already in all the new cars, ready for the hubs to be plugged in.
[00:18:35.648 --> 00:18:38.689]  The federal government is announcing that they want to do this.
[00:18:38.869 --> 00:18:40.109]  They're preparing the states.
[00:18:40.329 --> 00:18:42.249]  We're only a few years away from it.
[00:18:42.430 --> 00:18:45.530]  They're standardizing it and promoting it as a safety feature.
[00:18:45.790 --> 00:18:49.931]  It'll track, trace, turn your car off, tax the living daylights out of you.
[00:18:51.161 --> 00:18:53.083]  Face scanning cameras in the grocery stores.
[00:18:53.443 --> 00:18:54.524]  Just total control.
[00:18:54.604 --> 00:18:55.826]  Every email, every fax.
[00:18:56.146 --> 00:18:57.587]  Everything you do, tracked and traced.
[00:18:58.388 --> 00:19:03.453]  And the symbol is New World Order, with an all-seeing, burning red eye, radiating the Earth.
[00:19:04.434 --> 00:19:06.556]  Big Brother will be watching America.
[00:19:07.337 --> 00:19:10.240]  Giant information matrix to track movements.
[00:19:11.886 --> 00:19:16.109]  Federal regulators ease restrictions on technology that can see through walls.
[00:19:16.369 --> 00:19:17.610]  This is all their system.
[00:19:17.910 --> 00:19:24.974]  They say they're going to have hover drones watching us at all times, and they've been giving the technology to police for five years.
[00:19:25.234 --> 00:19:28.336]  It's a crisp black and white image of everything you do in your home.
[00:19:28.356 --> 00:19:32.339]  You're going to look through four feet of concrete, and that's just what they're giving police now.
[00:19:33.920 --> 00:19:35.801]  FBI spy planes patrol U.S.
[00:19:36.121 --> 00:19:37.522]  and use systems to look through your walls.
[00:19:39.219 --> 00:19:40.139]  And it continues.
[00:19:40.279 --> 00:19:41.300]  You are a suspect.
[00:19:41.660 --> 00:20:01.808]  William Safire of the New York Times says, every purchase you make with a credit card, every magazine subscription you buy, medical prescription you fill, every website you visit, email you send or receive, every academic grade you receive, every bank deposit you make, every trip you book, every event you attend, all these transactions, communications, will go into what the Defense Department describes as a virtual centralized grand database.
[00:20:02.208 --> 00:20:03.829]  And then it says it will also add all
[00:20:04.964 --> 00:20:06.325]  Private stuff for that.
[00:20:06.505 --> 00:20:08.045]  And you know why they're throwing this in your face?
[00:20:08.385 --> 00:20:10.846]  As a chilling effect, so you don't stand up against them.
[00:20:11.107 --> 00:20:12.047]  Let me give you a little secret.
[00:20:12.507 --> 00:20:14.308]  They can listen to everything we do.
[00:20:14.848 --> 00:20:15.968]  They don't have personnel.
[00:20:16.429 --> 00:20:17.709]  They had 10 million people.
[00:20:18.149 --> 00:20:22.631]  They couldn't read all the billions of faxes and emails and letters, even with keyword software.
[00:20:22.971 --> 00:20:32.015]  So they don't have personnel to actually implement this, unless you accept all this evil, accept torture, accept this mind warp, and go along with it.
[00:20:32.375 --> 00:20:33.556]  They need you to play along.
[00:20:33.916 --> 00:20:34.877]  You can stop this.
[00:20:34.897 --> 00:20:37.519]  But if you do play along, go ahead and serve them.
[00:20:37.840 --> 00:20:41.603]  They're going to absolutely ruin your life and your children's life.
[00:20:42.063 --> 00:20:45.326]  They seem to go after folks that serve them even more.
[00:20:45.686 --> 00:20:47.568]  It's like God allows it to happen or something.
[00:20:47.628 --> 00:20:49.169]  I've just observed it for years.
[00:20:49.769 --> 00:20:53.933]  Airline security experts want to know what you have in your heart.
[00:20:54.333 --> 00:20:55.694]  Forget about what's in your suitcase.
[00:20:55.874 --> 00:20:57.156]  What the government really wants to know is
[00:20:58.096 --> 00:20:59.897]  Whether you have evil in your mind.
[00:21:00.637 --> 00:21:08.721]  And by the way, they now in Boston Logan Airport have put a NASA brain scanner in and four other airports have put it in.
[00:21:08.961 --> 00:21:09.961]  It's total quackery.
[00:21:10.121 --> 00:21:13.063]  They've proven the old-fashioned lie detectors are fraud.
[00:21:13.083 --> 00:21:14.523]  They've already proven that.
[00:21:14.924 --> 00:21:17.245]  Now they go, oh, the brain scanner says you're a terrorist.
[00:21:17.505 --> 00:21:18.485]  It shows you're with them.
[00:21:18.525 --> 00:21:19.746]  It actually says this.
[00:21:20.666 --> 00:21:21.927]  The computer says you're guilty.
[00:21:21.987 --> 00:21:22.647]  I mean, think about that.
[00:21:24.019 --> 00:21:25.099]  Road cameras raise arrest.
[00:21:25.119 --> 00:21:27.940]  Push to take number plate scanners nationwide.
[00:21:28.120 --> 00:21:31.621]  From England to the U.S., they're scanning your license plates as you drive.
[00:21:31.641 --> 00:21:33.922]  A hot car.
[00:21:33.982 --> 00:21:35.962]  See, it was just for traffic reports.
[00:21:36.022 --> 00:21:38.263]  Now it's, oh, we're going to use it for law enforcement.
[00:21:38.603 --> 00:21:38.723]  Yeah.
[00:21:38.743 --> 00:21:39.483]  See how that works?
[00:21:40.503 --> 00:21:41.764]  They won't put cameras on the border.
[00:21:42.164 --> 00:21:43.344]  And the border is being dissolved.
[00:21:43.884 --> 00:21:44.964]  Always remember that key point.
[00:21:44.984 --> 00:21:47.285]  They're getting rid of the national sovereignty.
[00:21:48.463 --> 00:21:49.343]  Now it's just road cameras.
[00:21:49.363 --> 00:21:50.504]  They focus on terrorism.
[00:21:50.564 --> 00:21:57.426]  See, they've got watches and they've got the tips program where your cable guy and your phone man paddle on you and your neighbors do.
[00:21:58.306 --> 00:22:03.447]  And now four New Jersey school districts test the kids and they come into school for drug residue.
[00:22:03.788 --> 00:22:10.730]  Bars in New York and in London are testing your hands to see if you've taken drugs before you go into the bar.
[00:22:10.770 --> 00:22:12.730]  I mean, it's just, it's nuts!
[00:22:12.930 --> 00:22:13.870]  It's just crazy!
[00:22:14.091 --> 00:22:15.171]  They go, oh, it's voluntary!
[00:22:16.231 --> 00:22:17.592]  Also, in-car boxes.
[00:22:17.652 --> 00:22:19.312]  Safety measure or spy tactic?
[00:22:19.652 --> 00:22:22.173]  Now, admit, all these little boxes are already in all your cars.
[00:22:22.793 --> 00:22:28.135]  By the way, Homeland Security's hooked into these private billboards all over that tune into what you're listening to.
[00:22:28.155 --> 00:22:33.117]  Did you know that your radios in your car, AM and FM, actually transmit at a low level?
[00:22:33.457 --> 00:22:35.958]  And now Homeland Security tunes into what you're listening to.
[00:22:36.758 --> 00:22:38.839]  High-tech billboards tune into driver's taste.
[00:22:39.799 --> 00:22:41.741]  And it says, the billboard is listening.
[00:22:42.121 --> 00:22:44.583]  San Francisco Chronicle, ABC News.
[00:22:44.824 --> 00:22:45.364]  Here's another one.
[00:22:45.424 --> 00:22:46.105]  Business Week.
[00:22:46.325 --> 00:22:48.026]  Will your TV become a spy?
[00:22:48.447 --> 00:22:54.712]  Hollywood wants every new digital set to include a monitoring device that tracks back and reports to them.
[00:22:55.553 --> 00:23:04.119]  It seems it's an everyday occurrence to have the National Guard out for, quote, safety checkpoints being conducted with local police.
[00:23:04.799 --> 00:23:09.442]  Also in the April 10th, 2000 edition of Around Iowa.
[00:23:10.303 --> 00:23:21.931]  It seems they're having to propagandize the local public via the papers and condition them that it's okay to have the military out in police uniforms and dressed as civilians.
[00:23:22.311 --> 00:23:24.993]  Oh, that's not a telltale sign of the secret police.
[00:23:25.693 --> 00:23:31.496]  But don't worry, it says questions have been raised about the use of plainclothes Iowa National Guard troops.
[00:23:31.956 --> 00:23:36.018]  But Major Michael Coon, a lawyer for the National Guard, he says there's no problem.
[00:23:36.418 --> 00:23:39.159]  While he says Congress says that it's A-OK.
[00:23:39.919 --> 00:23:44.181]  Well, I guess they've scrapped posse commentatus and we're going the way of Mexico or Russia.
[00:23:44.661 --> 00:23:47.062]  How can any serious American watch this?
[00:23:47.502 --> 00:23:50.784]  Anyone that has an even basic grasp of human history?
