[00:00:00.379 --> 00:00:00.544]  Let's go.
[00:04:23.131 --> 00:04:24.592]  I'm your Lord and Savior, Barack Obama.
[00:04:24.672 --> 00:04:25.232]  I said so.
[00:04:26.113 --> 00:04:27.574]  I'm going to rename this mountain.
[00:04:27.674 --> 00:04:29.175]  I'm going to shut down these power plants.
[00:04:29.555 --> 00:04:32.777]  I'm going to open the border because I'm King Obama.
[00:04:34.318 --> 00:04:35.539]  Well, first it's 10,000.
[00:04:35.579 --> 00:04:35.919]  Now it's 85,000.
[00:04:36.520 --> 00:04:38.101]  Then it'll be a million.
[00:04:38.121 --> 00:04:39.001]  Then it'll be 2 million.
[00:04:39.021 --> 00:04:40.022]  Then it'll be 5 million.
[00:04:40.242 --> 00:04:41.083]  Then it'll be 10 million.
[00:04:41.103 --> 00:04:41.923]  Then it'll be 20 million.
[00:04:41.943 --> 00:04:42.744]  Then it'll be 30 million.
[00:04:43.264 --> 00:04:49.829]  It's 40 million illegals right now in the country, running around arrogant, thinking everybody's there to serve them, thinking everybody screwed them over.
[00:04:50.789 --> 00:04:52.170]  It's all a complete joke.
[00:04:52.290 --> 00:04:52.930]  What a joke.
[00:04:53.591 --> 00:04:55.032]  So that's... Oh, but don't worry.
[00:04:55.092 --> 00:05:02.636]  During the Emmy Awards, they attacked Donald Trump as racist because he doesn't want to pay for everybody to come here and have their babies for free, even though nobody else does that.
[00:05:02.656 --> 00:05:08.140]  And of course, Saudi Arabia, financing all this, won't take one of these darling little refugees.
[00:05:10.020 --> 00:05:14.021]  Alex Jones harassed by TSA over jar of grape jelly.
[00:05:14.141 --> 00:05:19.763]  That's right, radio host Alex Jones had another run-in with the TSA after agents searched his bag and found a jar of grape jelly.
[00:05:19.923 --> 00:05:25.425]  Jones said he went through the airport body scanner and a physical pat-down, but the TSA agents insisted upon searching his bags.
[00:05:25.685 --> 00:05:31.367]  After finding the jar of grape jelly, the agents told Jones he was lucky they would still allow him to fly after such a violation.
[00:05:31.607 --> 00:05:37.969]  Jones recapped on the Sunday show, they searched me for 35 minutes and I barely made my plane, and they got such enjoyment out of it.
[00:05:38.149 --> 00:05:43.430]  Meanwhile, last week, federal air marshals were under investigation for filming sex with a prostitute while on duty.
[00:05:43.650 --> 00:05:54.113]  The two air marshals based in Chicago allegedly used government-issued phones to record their own sexual encounters with a prostitute and then shared them on their personal email accounts, which they connected to their work phones, according to the TSA.
[00:05:54.253 --> 00:05:57.954]  And remember, TSA demands the highest standards of integrity and professionalism.
[00:05:58.194 --> 00:06:01.957]  Let's hope if there's a hijacking and air marshals are aboard, they pull out the right gun.
[00:06:02.197 --> 00:06:05.239]  Rob Dew, reporting for InfoWars.com and InfoWars Nightly News.
[00:06:05.459 --> 00:06:08.581]  Thanks to everyone out there who supported us during Operation Money Bomb 2015.
[00:06:09.922 --> 00:06:14.846]  Introducing Secret 12, the new InfoWars Life Vitamin B12 formulation.
[00:06:15.066 --> 00:06:20.948]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:06:21.168 --> 00:06:25.770]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:06:25.970 --> 00:06:29.311]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:06:29.531 --> 00:06:31.111]  No needles, no injections.
[00:06:31.511 --> 00:06:36.633]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[00:06:39.914 --> 00:06:44.095]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:06:44.275 --> 00:06:48.236]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:06:48.416 --> 00:06:53.198]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:53.378 --> 00:06:57.899]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:06:58.039 --> 00:07:01.360]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:07:01.500 --> 00:07:04.801]  Now available in our limited first run at Infowarslife.com.
[00:07:04.961 --> 00:07:06.801]  That's Infowarslife.com or call 888-253-3139.
[00:07:09.622 --> 00:07:18.650]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:07:18.710 --> 00:07:26.797]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:27.117 --> 00:07:31.799]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:31.980 --> 00:07:38.703]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:38.783 --> 00:07:45.846]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:45.947 --> 00:07:52.810]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:52.970 --> 00:07:57.334]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:57.454 --> 00:08:00.717]  Available in original or with our immune support infusion blend.
[00:08:00.837 --> 00:08:06.983]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:07.143 --> 00:08:08.824]  Available at InfoWarsLife.com
[00:08:20.516 --> 00:08:24.920]  It's 11.59 at Radio Free America, and this is Uncle Sam with music and the truth until dawn.
[00:08:25.520 --> 00:08:29.124]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[00:08:29.544 --> 00:08:31.125]  The chair is against the wall.
[00:08:31.606 --> 00:08:33.247]  The chair is against the wall.
[00:08:33.828 --> 00:08:35.509]  John has a long mustache.
[00:08:35.829 --> 00:08:37.471]  John has a long mustache.
[00:08:37.871 --> 00:08:40.573]  It's 12 o'clock, Americans, another day closer to victory.
[00:08:40.713 --> 00:08:44.837]  And for all of you out there on or behind the lines, this is your song.
[00:08:50.726 --> 00:08:52.147]  But they took a lot of people away.
[00:08:52.607 --> 00:08:54.488]  People that they thought were gonna make trouble for them.
[00:08:54.728 --> 00:08:57.349]  People that had guns and things they wanted, they just took them away.
[00:08:57.929 --> 00:08:58.209]  Where?
[00:08:59.310 --> 00:09:01.130]  Re-education camps, that's what they call it.
[00:09:01.411 --> 00:09:09.354]  So part of it is we have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize kids belong to whole communities.
[00:09:09.614 --> 00:09:13.536]  I have decided we really need camps for adults.
[00:09:18.811 --> 00:09:21.414]  I'm a sorry citizen.
[00:09:21.474 --> 00:09:23.016]  I refuse to recognize you guys.
[00:09:33.309 --> 00:09:35.050]  What kind of a situation in the U.S.
[00:09:35.110 --> 00:09:36.231]  would you see that happening?
[00:09:36.271 --> 00:09:40.853]  We've got a lot of constitutionless and a lot of people that stockpile weapons.
[00:09:40.953 --> 00:09:49.097]  Plus you have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
[00:09:50.738 --> 00:09:56.601]  These people are radicalized and they don't support the United States and they're disloyal to the United States.
[00:09:56.741 --> 00:10:01.304]  It's our right and our obligation to segregate them from the normal community.
[00:10:08.066 --> 00:10:10.427]  That's what we're doing here, and let's not kid about it.
[00:10:10.628 --> 00:10:15.410]  We're building a domestic army because the government is afraid of its own citizens.
[00:10:15.691 --> 00:10:16.711]  Put your gun down, really?
[00:10:18.893 --> 00:10:23.295]  Rallying patriots worldwide in defense of human liberty.
[00:10:23.876 --> 00:10:25.416]  It's Alex Jones.
[00:10:25.717 --> 00:10:27.678]  Are you some kind of a constitutionalist?
[00:10:30.393 --> 00:10:35.497]  So these people who hold themselves out to be patriots are not.
[00:10:35.917 --> 00:10:38.219]  They're nothing more than domestic terrorists.
[00:10:38.720 --> 00:10:42.583]  If you are receiving this transmission, you are the resistance.
[00:10:55.524 --> 00:11:03.667]  Ladies and gentlemen, we are broadcasting worldwide on this September 21st, 2015 worldwide transmission.
[00:11:03.707 --> 00:11:09.129]  Former Governor of Minnesota Jesse Ventura will be joining us to talk election 2016.
[00:11:09.829 --> 00:11:16.012]  My friend Pat Riley, who just traveled extensively through Eastern Europe and Turkey, saw shocking
[00:11:17.234 --> 00:11:25.227]  uh... events via the precious darling migrants uh... refugees as they're called including
[00:11:26.624 --> 00:11:31.709]  Mock suicide attempts staged to make the public donate money.
[00:11:32.470 --> 00:11:42.800]  And we've seen the migrants staging dead bodies of children, throwing children on railroad tracks, attacking reporters, and then running from them so they can be tripped, and then say that they're victims.
[00:11:43.381 --> 00:11:44.762]  The list goes on and on.
[00:11:44.802 --> 00:11:48.246]  In Europe, if you get smacked upside the head by a big rock,
[00:11:49.992 --> 00:11:52.153]  And you criticize it, you are arrested.
[00:11:52.733 --> 00:11:56.094]  The former Stasi secret police have been reactivated.
[00:11:56.114 --> 00:11:57.694]  That's mainstream German news.
[00:11:58.054 --> 00:12:04.196]  They now work for Facebook and alert the government if you criticize the open borders for 5,000 euro fines.
[00:12:04.256 --> 00:12:05.716]  That's over $5,000 and or 120 days in jail.
[00:12:05.736 --> 00:12:06.057]  Unbelievable.
[00:12:15.492 --> 00:12:19.495]  Meanwhile, McDonald's is leading the effort to promote migrant aid.
[00:12:19.856 --> 00:12:27.061]  Oh, McDonald's is always pushing taking your guns, opening your borders, a true world government organization.
[00:12:28.302 --> 00:12:32.766]  Thousands more migrants pour into Austria as 13 drowned off Turkey.
[00:12:36.522 --> 00:12:39.204]  Saudi Arabia has still not taken one single refugee.
[00:12:39.644 --> 00:12:43.126]  Refugee crisis to test EU at summit of divided leaders.
[00:12:43.566 --> 00:12:46.408]  The eastern countries are being criticized for not taking more.
[00:12:46.668 --> 00:12:49.430]  You've only taken 3-4 million in the last year.
[00:12:50.356 --> 00:12:58.962]  You should take them, advertise everything's free, so 20 million come, and then 50 million, and then 100 million, because it's your job to pay for it.
[00:12:59.363 --> 00:13:08.189]  And the Swedes have to house people in their homes, the government's proposing, and they're raising new taxes across the EU to pay for it, because it's your job.
[00:13:08.470 --> 00:13:13.073]  No one else is in the world, but Europe and America's job to pay for everything.
[00:13:14.854 --> 00:13:16.476]  And now you see the guilt society.
[00:13:18.777 --> 00:13:19.518]  Now you see it.
[00:13:21.593 --> 00:13:25.315]  Eastern European leaders in war of words as migrants pour across borders.
[00:13:25.335 --> 00:13:25.916]  Reuters.
[00:13:30.078 --> 00:13:32.399]  Meanwhile, look at this headline.
[00:13:32.800 --> 00:13:33.480]  Not a joke.
[00:13:33.620 --> 00:13:37.482]  Saudi Arabia chosen to head UN Rights Panel.
[00:13:37.522 --> 00:13:45.267]  That'd be like hiring a top pedophile to guard children.
[00:13:46.227 --> 00:13:48.769]  It'd be like hiring Jerry Sandusky
[00:13:50.182 --> 00:13:52.363]  To run a children's orphanage.
[00:13:52.443 --> 00:13:53.823]  Well, I guess he did kind of run one.
[00:13:53.843 --> 00:13:54.524]  That's the whole point.
[00:13:56.104 --> 00:13:57.545]  The Fox guarding the hen house.
[00:13:57.965 --> 00:14:02.367]  Fury after Saudi Arabia chosen to head key UN Human Rights Panel.
[00:14:03.827 --> 00:14:07.589]  Saudi Arabia is basically like North Korea with trillions in oil.
[00:14:09.350 --> 00:14:10.630]  Total freakville.
[00:14:10.770 --> 00:14:11.530]  Totally corrupt.
[00:14:11.550 --> 00:14:15.312]  Their people aren't that corrupt, but their government is an absolute joke.
[00:14:16.598 --> 00:14:21.901]  We have a teenager sentenced to death by crucifixion for taking part in anti-government protests in Saudi Arabia.
[00:14:22.982 --> 00:14:28.525]  Criticizing the government and illegally possessing a firearm.
[00:14:31.047 --> 00:14:33.689]  Faces death, the Mirror reports.
[00:14:35.810 --> 00:14:42.174]  But don't worry, they don't let women drive cars and they'll execute you for teaching the gospel, but they're our ally, our gallant ally.
[00:14:43.578 --> 00:14:47.621]  Meanwhile, Kerry again says we would accept 85,000 refugees next year.
[00:14:47.921 --> 00:14:52.664]  See, first it's 10,000, then it's 85,000, then it's a million.
[00:14:52.905 --> 00:14:54.165]  That's how they get you ready for it.
[00:14:54.406 --> 00:14:56.607]  Just standard psychological warfare tactic.
[00:14:57.868 --> 00:14:58.689]  That's out of AP.
[00:14:59.289 --> 00:15:01.551]  Rand Paul blames Hillary for refugee crisis.
[00:15:01.571 --> 00:15:04.052]  Yes, she helped quarterback destabilizing the Middle East.
[00:15:04.473 --> 00:15:05.173]  Absolutely true.
[00:15:05.413 --> 00:15:06.354]  That's from the Hill newspaper.
[00:15:06.714 --> 00:15:08.716]  Rand Paul is on target.
[00:15:09.116 --> 00:15:11.598]  15,000 more refugees to be resettled in the U.S.
[00:15:11.678 --> 00:15:12.138]  on top of the 85,000.
[00:15:14.400 --> 00:15:17.882]  Donald Trump says it wasn't the Swedes who blew up the World Trade Center.
[00:15:18.962 --> 00:15:20.303]  You have extremist Muslims.
[00:15:20.343 --> 00:15:21.744]  They are a class by themselves.
[00:15:21.764 --> 00:15:25.586]  He's being called racist for claiming that jihadist terror is Muslim.
[00:15:26.126 --> 00:15:26.826]  Well, it is.
[00:15:28.367 --> 00:15:33.310]  You know, I didn't follow the kid with the clock who said he built a clock to take it to school.
[00:15:33.690 --> 00:15:36.932]  It turns out his dad is a top activist who's pulled stunts before.
[00:15:36.952 --> 00:15:41.094]  And within hours of it happening, the White House, you know, wants the kid to come to the White House.
[00:15:42.202 --> 00:15:51.129]  It turns out he didn't build the clock, it's just the guts of a digital clock from the 70s, and he wouldn't respond and tell them it was a clock to cause the freakout.
[00:15:52.230 --> 00:15:56.614]  That's why cops took him in, was because they wanted to know if it was basically like a bomb threat.
[00:15:57.695 --> 00:15:58.575]  Hoax exposed!
[00:15:58.655 --> 00:16:04.180]  Muslim student Ahmed Mohammed's briefcase clock is 1970s digital alarm clock.
[00:16:05.109 --> 00:16:06.710]  A total staged event.
[00:16:06.730 --> 00:16:14.556]  I don't normally agree with Bill Maher, but coming up we have that clip, we're going to be playing it, where he says, look, it didn't look like a clock.
[00:16:15.977 --> 00:16:22.522]  You've got him showing it to people, wires hanging out of it, looks like something out of a movie on purpose, in my opinion.
[00:16:24.583 --> 00:16:26.384]  But this is how they stage everything.
[00:16:27.230 --> 00:16:34.313]  Of course, Obama didn't have any of the families killed at the recruiting centers by jihadists to the White House to speak to them.
[00:16:34.933 --> 00:16:35.434]  No, no, no.
[00:16:38.515 --> 00:16:39.916]  And that ties into the next story.
[00:16:39.956 --> 00:16:42.537]  I'm going to tell more coming up later in the hour.
[00:16:43.517 --> 00:16:46.638]  I went to check into some syndication while I was there.
[00:16:46.658 --> 00:16:52.001]  That's why it worked perfectly for the TV show slash radio show, but also
[00:16:54.582 --> 00:16:54.842]  I think so.
[00:17:08.297 --> 00:17:08.457]  Yeah.
[00:17:28.499 --> 00:17:31.183]  The squash and the peppers and the things I bought here.
[00:17:31.203 --> 00:17:33.546]  And my briefcase was half full of produce.
[00:17:33.566 --> 00:17:34.307]  That's what I do.
[00:17:34.587 --> 00:17:35.608]  I'm into farmer's markets.
[00:17:36.229 --> 00:17:37.070]  They said, well, you can't have it.
[00:17:37.090 --> 00:17:37.531]  It's a liquid.
[00:17:37.551 --> 00:17:40.635]  And I said, well, actually, it's grape jelly, but it's a solid.
[00:17:43.319 --> 00:17:44.099]  And I said, whatever.
[00:17:44.740 --> 00:17:47.941]  They said, well, we're going to have to search you and do all this stuff to you again.
[00:17:48.322 --> 00:17:49.282]  And it went on and on.
[00:17:49.302 --> 00:18:01.329]  And it's just such a joke, this baptism of slavery, this induction into serfdom, this training that I'm a criminal and I'm a person that's guilty until proven slave.
[00:18:01.989 --> 00:18:03.750]  Not innocent until proven guilty.
[00:18:03.790 --> 00:18:05.671]  Not even guilty until proven innocent.
[00:18:05.931 --> 00:18:07.972]  I'm always suspect.
[00:18:08.072 --> 00:18:09.513]  I'm guilty, guilty, guilty.
[00:18:11.792 --> 00:18:16.733]  And so after they'd gone through all this rigmarole, they wanted to put me in the body scanner.
[00:18:16.993 --> 00:18:18.654]  And I'd already been basically patted down.
[00:18:18.674 --> 00:18:26.816]  And I did it because I was wanting to go ahead and see what the scanner was like after five years of demonstrating against it and protesting.
[00:18:27.536 --> 00:18:31.177]  I've talked on air about maybe going ahead and doing it just to experience it so I could speak about it.
[00:18:33.037 --> 00:18:35.998]  And then, oh, they got real mad and said, something's in your back pocket.
[00:18:36.438 --> 00:18:38.798]  And I said, well, you told me to go in there with my boarding pass.
[00:18:39.659 --> 00:18:41.039]  They're all laughing at me and stuff.
[00:18:42.560 --> 00:19:00.467]  And I just realized how much trouble this country's in, but especially because the people in Omaha, I guess, are so conformist that they thought it was really cute to have me there 30 minutes and they waited till the last minute and said, you're going to miss your flight.
[00:19:00.487 --> 00:19:01.347]  You're going to miss your flight.
[00:19:01.987 --> 00:19:03.708]  I said, fine, just makes the story bigger.
[00:19:05.333 --> 00:19:09.997]  And then finally they're announcing my name over the loudspeaker as Southwest had the door open.
[00:19:10.037 --> 00:19:11.578]  They closed it when I walked in.
[00:19:11.998 --> 00:19:13.840]  The flight took off five minutes late.
[00:19:14.140 --> 00:19:16.562]  Southwest waited for me, to their credit.
[00:19:17.943 --> 00:19:24.629]  And I flew back to Austin, Texas, crammed in amongst the rest of the proletariat and coach.
[00:19:27.331 --> 00:19:34.416]  And while I was, while they were taking off, I was sending the photos to Buckley and the audio file of my report while it's taxiing.
[00:19:35.262 --> 00:19:40.845]  I followed the report yesterday that aired on the news about an hour after I followed it.
[00:19:40.865 --> 00:19:42.406]  So great job to the crew getting that out.
[00:19:42.706 --> 00:19:44.667]  The story is up on InfoWars.com.
[00:19:45.247 --> 00:19:49.650]  I had the headline, TSA security alert over grape jelly.
[00:19:50.310 --> 00:19:51.851]  That's the headline I wanted, but whatever.
[00:19:51.871 --> 00:19:53.532]  Paul Watson has the headline.
[00:19:54.472 --> 00:19:57.415]  Alex Jones harassed by TSA over a jar of grape jelly.
[00:19:57.956 --> 00:20:00.318]  And some people are saying, what'd you do, pull a stunt on purpose?
[00:20:00.798 --> 00:20:08.185]  No, I just forget I'm not in a free country, and I'm in a hurry getting out of my motel, and I just stuck the produce and the grape jelly in my bag.
[00:20:08.225 --> 00:20:09.287]  I'm sorry, I'm such a criminal.
[00:20:10.356 --> 00:20:14.597]  Most of us already know that taking a fish oil supplement to boost omega-3s is a good idea.
[00:20:14.778 --> 00:20:18.699]  But did you know that about 60% of Americans are actually deficient in omega-3s?
[00:20:18.839 --> 00:20:26.021]  Did you know that most fish oil products contain only about 25% omega-3s, and the remaining 75% is undesirable fish fat?
[00:20:26.201 --> 00:20:31.223]  Heck, did you know that more than 90% of fish oil supplements sold in the USA are not even made here?
[00:20:31.443 --> 00:20:39.386]  If you want to boost your omega-3s using the finest American-made fish oil, check out Nutrigold fish oil supplements on www.fishoil.best.
[00:20:40.146 --> 00:20:45.350]  Nutrigold fish oils are independently 5-star certified and guaranteed to be exceptionally pure.
[00:20:45.490 --> 00:20:46.931]  That means no more fish burps.
[00:20:47.111 --> 00:20:52.995]  Best of all, just one Nutrigold fish oil capsule contains more Omega-3s than four standard fish oil capsules.
[00:20:53.175 --> 00:21:03.241]  Go to www.fishoil.best or call 888-920-1497 and use promo code BESTFISHOIL to get a free one-month supply.
[00:21:03.402 --> 00:21:06.864]  That's www.fishoil.best or call 888-920-1497.
[00:21:10.426 --> 00:21:16.089]  It's time to build your own emergency food stockpile with the industry leader, MyPatriotSupply.
[00:21:16.650 --> 00:21:22.233]  Once you try them, you'll know why so many Americans like you have made them part of their emergency preparedness plan.
[00:21:22.813 --> 00:21:27.396]  Experience the MyPatriotSupply difference today with this unbelievable offer.
[00:21:27.856 --> 00:21:32.999]  Right now, a four-week food supply is only $99, and that includes free shipping.
[00:21:33.259 --> 00:21:35.220]  That's 50% off the online price.
[00:21:35.720 --> 00:21:39.201]  Call 800-274-3070 to claim yours.
[00:21:39.642 --> 00:21:41.642]  Limit two per caller while supplies last.
[00:21:42.103 --> 00:21:47.865]  This offer isn't available online, so you want to make sure and grab this opportunity to get prepared today.
[00:21:47.885 --> 00:21:52.607]  800-274-3070 to get your four-week food supply for the incredible price of only $99, and it'll be shipped to you completely free.
[00:21:58.849 --> 00:22:02.252]  Call 800-274-3070 right now.
[00:22:02.532 --> 00:22:07.276]  That's 800-274-3070 to claim yours while supplies last.
[00:22:07.616 --> 00:22:08.177]  Don't wait.
[00:22:08.477 --> 00:22:09.378]  Call today.
[00:22:09.838 --> 00:22:16.163]  My name is Bill Bonner, and I'm the president of the largest private news and research network in the world.
[00:22:16.563 --> 00:22:21.507]  And I paid for this airtime because I have an important message to the American people.
[00:22:22.048 --> 00:22:23.169]  There's a change coming.
[00:22:23.789 --> 00:22:25.191]  I've made predictions like this before.
[00:22:25.271 --> 00:22:26.813]  Thing is, I was right then too.
[00:22:41.773 --> 00:22:45.715]  A few years ago, I warned that housing prices would collapse.
[00:22:46.195 --> 00:22:46.675]  They did.
[00:22:47.275 --> 00:22:51.717]  Before that, I warned that dot-com companies would crash.
[00:22:52.337 --> 00:22:52.818]  They did.
[00:22:53.498 --> 00:22:56.779]  Those who listened had a chance to save themselves.
[00:22:57.340 --> 00:22:59.340]  But this has nothing to do with the stock market.
[00:22:59.721 --> 00:23:00.901]  This will affect us all.
[00:23:01.221 --> 00:23:03.262]  You can watch the video for free right now.
[00:23:03.642 --> 00:23:04.082]  I think so.
[00:23:20.947 --> 00:23:21.207]  I think so.
[00:23:39.628 --> 00:23:44.530]  MyPatriotSupply is making the choice to get prepared easier and more affordable than ever.
[00:23:44.990 --> 00:23:48.771]  For a limited time, a four-week emergency food supply is just $99.
[00:23:48.851 --> 00:23:49.912]  That's 50% off the online price.
[00:23:49.932 --> 00:23:51.232]  Call 800-276-4010 to claim yours.
[00:23:51.272 --> 00:23:53.673]  Limit two per caller while supplies last.
[00:23:53.853 --> 00:23:54.493]  Get prepared today.
[00:23:54.533 --> 00:23:57.774]  Call 800-276-4010 today for your $99 four-week food emergency supply.
[00:24:33.945 --> 00:24:46.502]  Well, the mainstream corporate globalist media three months ago began announcing that Russia was to abandon Syria to Jihad, Saudi Arabian, Qatari, NATO forces made up of Al-Qaeda and ISIS.
[00:24:47.915 --> 00:24:53.298]  We, of course, reported that the Russians were moving more ships and weapons in, that more aircraft were landing.
[00:24:53.798 --> 00:25:06.024]  The Russians are building at least three airfields, one of them a forward air base, to deliver helicopters and air support with marine forces as well as Russian spetsnaz or special forces.
[00:25:06.724 --> 00:25:09.005]  Spetsnaz just means Special Forces, period, in Russian.
[00:25:09.306 --> 00:25:12.107]  Both Marine and Army Special Forces.
[00:25:12.507 --> 00:25:14.789]  This is an exclusive report in English language.
[00:25:15.129 --> 00:25:19.351]  It is only in the Russian news as of now or at InfoWars.com.
[00:25:19.752 --> 00:25:21.813]  Top story, InfoWars.com.
[00:25:22.313 --> 00:25:25.055]  Russian Marines battle ISIS in Syria.
[00:25:25.655 --> 00:25:30.138]  ISIS militants attack Russian airbase, according to Russian media.
[00:25:31.428 --> 00:25:39.257]  Russian Marines clash with ISIS in Syria on Sunday according to Russian media.
[00:25:39.998 --> 00:25:43.262]  During the fight, the Marines allegedly killed several militants.
[00:25:52.612 --> 00:25:57.493]  That is, migrants, and captured others in a racist action, I would add.
[00:25:57.553 --> 00:25:59.014]  According to CNN, I'm being sarcastic.
[00:25:59.334 --> 00:26:03.415]  During the fight, the Marines allegedly killed several of the peaceniks.
[00:26:03.475 --> 00:26:03.835]  I'm sorry.
[00:26:04.095 --> 00:26:08.496]  During the fight, the Marines allegedly killed several militants and captured others.
