[00:00:00.009 --> 00:00:01.601]  Alex Jones Show.
[00:05:05.703 --> 00:05:06.744]  We're going to break it all down today.
[00:05:10.246 --> 00:05:12.608]  For the second time in a year, Washington, D.C.
[00:05:12.648 --> 00:05:16.071]  gun control laws have been struck down in court as unconstitutional.
[00:05:16.611 --> 00:05:19.694]  The first law made it a criminal offense to carry guns.
[00:05:20.094 --> 00:05:22.756]  You could own them, you just couldn't take them out of the closet.
[00:05:23.136 --> 00:05:24.898]  Well, actually, it had to be a gun safe.
[00:05:26.397 --> 00:05:27.457]  Unconstitutional.
[00:05:27.858 --> 00:05:30.058]  The right to keep and bear arms.
[00:05:31.019 --> 00:05:34.060]  Okay, said DC, you can carry, but only with a permit.
[00:05:34.260 --> 00:05:37.441]  You'll have to ask the police chief, Kathy Lanier, for permission.
[00:05:38.261 --> 00:05:42.822]  And you have to have a quote, good reason, unquote, or we won't give you permission.
[00:05:43.983 --> 00:05:45.063]  Unconstitutional.
[00:05:45.703 --> 00:05:50.165]  It's a right of the people, not a privilege granted by police chiefs.
[00:05:51.147 --> 00:05:54.929]  Plaintiff's lawyers have said that they will take it to the Supreme Court if necessary.
[00:05:55.389 --> 00:05:55.649]  Good.
[00:05:56.129 --> 00:06:05.374]  Because when you turn a God-given right into a government-granted privilege, they just might refuse you that privilege for no good reason.
[00:06:06.434 --> 00:06:09.096]  This is David Knight reporting for InfoWars.com.
[00:06:10.234 --> 00:06:14.435]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:06:14.596 --> 00:06:18.557]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:06:18.757 --> 00:06:23.539]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:23.699 --> 00:06:28.240]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:06:28.360 --> 00:06:31.681]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:06:31.841 --> 00:06:35.162]  Now available in our limited first run at Infowarslife.com.
[00:06:35.282 --> 00:06:37.103]  That's Infowarslife.com or call 888-253-3139.
[00:06:39.964 --> 00:06:40.564]  Alex Jones here.
[00:06:40.984 --> 00:06:50.067]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:06:50.247 --> 00:06:53.688]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:06:54.048 --> 00:07:02.031]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[00:07:02.391 --> 00:07:04.671]  Visit Infowarslife.com or call 1-888-253-3139.
[00:07:04.691 --> 00:07:05.732]  That's Infowarslife.com.
[00:07:09.952 --> 00:07:11.192]  Another major health threat.
[00:07:11.212 --> 00:07:16.114]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:07:16.194 --> 00:07:18.835]  Ohio's governor declaring a state of emergency.
[00:07:18.855 --> 00:07:25.637]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:07:25.897 --> 00:07:28.758]  If there's a water emergency, will you be prepared?
[00:07:28.898 --> 00:07:31.839]  Panicked residents forming long lines throughout the day.
[00:07:31.919 --> 00:07:33.839]  We're here at a supermarket in Toledo.
[00:07:33.859 --> 00:07:36.700]  You can see the shelves empty where water once was.
[00:07:36.800 --> 00:07:42.304]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:07:42.524 --> 00:07:46.007]  Water which will not be available at your local grocery store.
[00:07:46.027 --> 00:07:49.010]  There's a mad dash on right now to stock up on supplies.
[00:07:49.130 --> 00:07:53.393]  The ProPure ProOne G2.0 water filtration system is a must-have.
[00:07:53.533 --> 00:07:56.194]  For every modern independently minded household.
[00:07:56.434 --> 00:07:59.496]  Protect your family's safety during an emergency.
[00:07:59.656 --> 00:08:06.639]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 water filtration system or call 1-888-253-3139.
[00:08:20.330 --> 00:08:23.712]  Resistance to tyrants is obedience to God.
[00:08:24.412 --> 00:08:26.273]  It's Alex Jones.
[00:08:32.617 --> 00:08:37.259]  Television is completely weaponized.
[00:08:39.100 --> 00:08:48.766]  The medium of television and screen time itself has been globally now standardized on a
[00:08:50.213 --> 00:09:10.031]  A microsecond flash rate that is perfectly picked out of the spectrum to put you into a trance-like, edge of sleep, dazed comportment.
[00:09:11.632 --> 00:09:12.593]  And that is a fact.
[00:09:12.793 --> 00:09:14.435]  And so much of this has now come out
[00:09:15.492 --> 00:09:27.121]  Today, after the show, so I can really lavish the documentation on it, I'm going to shoot a special report for the Nightly News on this subject, the monkey studies, all of it.
[00:09:27.161 --> 00:09:31.564]  Because what's declassified is over the top.
[00:09:32.345 --> 00:09:42.192]  By the 50s, they could make black and white television cause the majority of people in a room to pass out.
[00:09:45.046 --> 00:09:51.108]  They could augment the flicker rate and cause the majority of people to have epileptic seizures.
[00:09:53.269 --> 00:09:58.230]  Now just like using poison on crops, there's always going to be a certain percentage that are immune or resistant.
[00:10:00.711 --> 00:10:07.493]  And they admit in a lot of the studies, and I'm going to go over some of them, that some people actually become agitated under the programming.
[00:10:08.133 --> 00:10:08.974]  I am one of them.
[00:10:11.554 --> 00:10:13.195]  It does not make me submit.
[00:10:14.389 --> 00:10:16.090]  It makes me very angry.
[00:10:20.031 --> 00:10:21.052]  I'm not a scientist.
[00:10:21.952 --> 00:10:24.353]  I've just studied what the scientists are up to and it's incredible.
[00:10:25.173 --> 00:10:32.296]  And the reason I start the broadcast with this today is because we're in a science fiction movie, as I've said thousands of times, for real.
[00:10:33.457 --> 00:10:43.901]  And it's being run by dystopians who wish to set up a system of total domination and control because it's their nature.
[00:10:45.899 --> 00:10:50.041]  Remember the old African saying, no good deed goes unpunished?
[00:10:50.902 --> 00:10:51.662]  Well, there's another one.
[00:10:54.724 --> 00:10:58.226]  And of course, it's the parable of the frog and the scorpion.
[00:11:00.367 --> 00:11:09.493]  And the friendly frog is sitting there by the bank on a lily pad, and the scorpion comes over to the edge and says, you mind coming over here and carrying me across the river so I don't drown?
[00:11:09.513 --> 00:11:13.175]  And the frog says, you'll sting me and kill me.
[00:11:14.249 --> 00:11:15.630]  He says, no, I want to be friendly.
[00:11:15.670 --> 00:11:16.431]  I want to be your friend.
[00:11:16.891 --> 00:11:18.292]  Please take me across the river.
[00:11:21.015 --> 00:11:22.816]  Across the creek.
[00:11:25.238 --> 00:11:28.320]  And so the frog says, all right, if you promise.
[00:11:28.400 --> 00:11:30.042]  And the scorpion climbs on.
[00:11:30.722 --> 00:11:33.124]  The frog swims across with the scorpion on his back.
[00:11:33.765 --> 00:11:34.726]  They get to the other side.
[00:11:34.746 --> 00:11:36.747]  The scorpion says, thank you.
[00:11:37.688 --> 00:11:38.048]  Pow!
[00:11:38.128 --> 00:11:38.929]  Hits him with a stinger.
[00:11:39.890 --> 00:11:43.713]  And the frog rolls over in incredible pain and says, why did you do that?
[00:11:46.991 --> 00:11:49.212]  And the Scorpion says, because I'm a Scorpion.
[00:11:52.773 --> 00:12:05.997]  Why did scores of young, beautiful, 20-year-old women, 22-year-old women, 18-year-old women, why did they get in the car with Ted Bundy?
[00:12:10.378 --> 00:12:14.980]  Because he was confident, he was handsome,
[00:12:16.325 --> 00:12:17.686]  He wore a grey suit.
[00:12:18.066 --> 00:12:19.447]  He found those were the most effective.
[00:12:20.748 --> 00:12:26.953]  And most importantly, he drove a non-threatening yellow Volkswagen.
[00:12:28.694 --> 00:12:35.939]  Just like Warren Buffett wears grey suits and is almost always photographed eating ice cream cones and making little smiley faces.
[00:12:36.200 --> 00:12:39.242]  He is a mob boss ruler.
[00:12:40.863 --> 00:12:44.646]  Laundering hundreds of billions of narcotics money a year publicly.
[00:12:45.953 --> 00:12:53.458]  He's involved and invested in merc squads, prison industries, every form of evil you can imagine.
[00:12:54.139 --> 00:12:56.540]  But he's a nice old man.
[00:12:57.881 --> 00:12:58.141]  No.
[00:13:00.163 --> 00:13:10.750]  We have all been incrementally inducted from birth in an incremental system of total enslavement, dehumanization, and soul-sucking control.
[00:13:10.770 --> 00:13:13.972]  And that isn't rhetoric, that's real.
[00:13:15.609 --> 00:13:18.031]  Those words don't even rise to the reality.
[00:13:20.593 --> 00:13:27.218]  And what set me off before I had all this other news today was this article out of London Telegraph.
[00:13:27.338 --> 00:13:30.520]  Call of Duty increases risk of Alzheimer's disease.
[00:13:33.082 --> 00:13:34.504]  Now this isn't just one study.
[00:13:35.384 --> 00:13:37.586]  It's every major study on screen time.
[00:13:39.647 --> 00:13:44.591]  Remember back in the early 90s it happened in the US and Japan.
[00:13:44.631 --> 00:13:45.352]  It was a test.
[00:13:48.328 --> 00:13:48.708]  Remember?
[00:13:53.533 --> 00:14:12.530]  Thousands of children in Japan having convulsions, falling down in some cases, knocking their teeth out, biting their tongues off, when the eyes flashed red on Pokémon cartoon.
[00:14:15.387 --> 00:14:18.708]  This isn't a game, people, and it's not child's play.
[00:14:19.629 --> 00:14:24.870]  And you wonder why most people can't wake up or can't get involved, or even if they know they're being lied to, they can't seem to do anything?
[00:14:25.150 --> 00:14:34.214]  They are caught, to use the allegory of the snake in the Jungle Book, when he's trying to hypnotize people.
[00:14:38.135 --> 00:14:40.396]  Well, I'll say this, I'm no sheer con.
[00:14:41.440 --> 00:14:47.341]  I'm not a predator, but the snake's mesmer doesn't work on me.
[00:14:49.022 --> 00:14:53.402]  If you're a new listener, we have the New York Times on screen with the children going into convulsions.
[00:14:53.442 --> 00:14:53.803]  They say 700.
[00:14:54.763 --> 00:14:56.623]  That was the documented cases.
[00:14:57.083 --> 00:14:57.863]  It was thousands.
[00:14:58.464 --> 00:15:03.044]  Same thing was then done in the United States with other Pokemon cartoons.
[00:15:07.265 --> 00:15:10.326]  The television is a weapon system.
[00:15:12.108 --> 00:15:18.592]  When we put our videos on YouTube or other platforms that are HD, they can put carrier waves over it.
[00:15:21.794 --> 00:15:24.915]  That's why they're arrogant and don't care if we're on air.
[00:15:27.297 --> 00:15:30.959]  The carrier waves have been discovered.
[00:15:32.220 --> 00:15:34.241]  The carrier waves are in the news.
[00:15:35.444 --> 00:15:38.907]  If you're a radio listener, while I'm speaking, they're putting articles on screen.
[00:15:39.187 --> 00:15:40.428]  I didn't rehearse this with them.
[00:15:40.649 --> 00:15:42.170]  They just search whatever I say.
[00:15:42.670 --> 00:15:43.331]  And they find it.
[00:15:45.073 --> 00:15:46.033]  Hidden in plain view.
[00:15:47.254 --> 00:15:50.597]  Your televisions watch and listen to you with AI computer.
[00:15:55.502 --> 00:15:56.683]  And I know you can't help it.
[00:15:56.723 --> 00:15:58.504]  You've given your children iPads, iPhones.
[00:15:58.725 --> 00:16:02.288]  They'll shut up so you can enjoy dinner with your wife when you go out.
[00:16:03.359 --> 00:16:06.441]  Or you can watch your adult movie while they sit in there and watch theirs.
[00:16:07.361 --> 00:16:10.483]  You are literally sacrificing them to the globalists.
[00:16:10.583 --> 00:16:11.584]  And hey, listen, I get it.
[00:16:14.586 --> 00:16:24.532]  At least, though, get an old-fashioned Nintendo Game Boy or something when you go on a road trip, and don't give it to them till the seventh hour on the road.
[00:16:25.233 --> 00:16:26.753]  Absolutely restrict it.
[00:16:28.354 --> 00:16:31.937]  It's probably better just to completely remove it out of their lives.
[00:16:32.762 --> 00:16:36.863]  And then the other kids will see your children as weirdo Amish.
[00:16:39.784 --> 00:16:44.885]  But the truth is you're only trying to protect them from this weaponized system.
[00:16:45.165 --> 00:16:47.625]  And hey, we jack into the matrix to communicate with you.
[00:16:49.186 --> 00:16:50.126]  The proto-matrix.
[00:16:50.606 --> 00:16:51.466]  That's what this is.
[00:16:51.546 --> 00:16:58.168]  The beginning of the insertion of humans into machines and the end of free will in the globalist's own words.
[00:16:58.508 --> 00:16:59.268]  You understand
[00:17:06.018 --> 00:17:25.124]  That the movie The Matrix, and it's in my book, Set in a Tyranny, it's out of print, it's online at PrisonPlanet.tv, is from a 1970s document from the Pentagon, declassified in 2001 by the American Federation of Scientists, and then reclassified.
[00:17:28.487 --> 00:17:44.138]  Of how they would incrementally get us addicted to television, then give us handheld computers with high-def screens, then glasses, then contacts, then brain ports, then the false reality will be so powerful that people will want to be fully inserted into it.
[00:17:45.159 --> 00:17:55.327]  And you'll have a sim that goes out and is allowed to have street fights, is allowed to go into city sectors,
[00:17:56.397 --> 00:17:58.978]  Where crime is authorized, so for excitement.
[00:17:59.638 --> 00:18:02.658]  They're going to seduce everyone into this.
[00:18:02.918 --> 00:18:03.498]  SemWars.
[00:18:10.500 --> 00:18:11.820]  It's gonna be so inviting.
[00:18:12.240 --> 00:18:15.281]  You think the Matrix is seductive now?
[00:18:16.601 --> 00:18:19.442]  Wait until the real Matrix launches.
[00:18:23.563 --> 00:18:25.203]  And by the way, I know Keanu Reeves.
[00:18:28.692 --> 00:18:29.832]  On record, everybody knows that.
[00:18:30.553 --> 00:18:34.094]  And I know the folks involved with the Matrix, and I'm just going to stop right there.
[00:18:34.114 --> 00:18:41.656]  So you need to understand, that movie is in your face, what they're planning.
[00:18:42.537 --> 00:18:44.417]  You can say, oh, that's science fiction, it'll never happen.
[00:18:44.658 --> 00:18:44.898]  Really?
[00:18:44.958 --> 00:18:45.978]  Jet airplanes won't happen?
[00:18:46.518 --> 00:18:46.778]  Really?
[00:18:47.799 --> 00:18:50.500]  Every book ever published can now be stored on the head of a pen?
[00:18:51.720 --> 00:18:53.961]  And they said 30 years ago they would be able to do that someday?
[00:18:54.161 --> 00:18:54.621]  They did it.
[00:18:58.783 --> 00:19:05.608]  When they get 10 or 15 top engineers together in a room, they don't even know how everything perfectly works together with these new computers.
[00:19:07.390 --> 00:19:09.471]  We've already lost control, ladies and gentlemen.
[00:19:10.092 --> 00:19:20.279]  And if we can't even admit that we've aborted 50 plus million of our fellow Americans, and what is it, half a billion people worldwide or more have been aborted?
[00:19:21.000 --> 00:19:24.623]  If we can't even value ourselves, stick a fork in us because we're done.
[00:19:25.885 --> 00:19:40.686]  Because if you don't recognize, people that are addicted to video games, some of them are here in the office, they're good people, they'll bow up when I say, you know those video games are inducting you into a false reality and are taking your free will and damaging your cerebral cortex.
[00:19:42.796 --> 00:19:44.557]  They'll say, you can have whatever opinion you want.
[00:19:44.577 --> 00:19:49.121]  It's one of the few times I've seen two different video game heads here in the office kind of get upset with me.
[00:19:49.962 --> 00:19:51.783]  Hey, don't you try to take my heroin away.
[00:19:52.224 --> 00:19:53.885]  Listen, we've all got our own addictions.
[00:19:54.385 --> 00:20:05.454]  This is an enemy two-way conduit where you get to go be a fake hero in an imaginary world and build something instead of building something in the real war that we're in the middle of.
[00:20:05.474 --> 00:20:07.496]  We're going to break it all down straight ahead.
[00:20:10.572 --> 00:20:16.236]  It's time to build your own emergency food stockpile with the industry leader, My Patriot Supply.
[00:20:16.796 --> 00:20:22.380]  Once you try them, you'll know why so many Americans like you have made them part of their emergency preparedness plan.
[00:20:22.960 --> 00:20:27.543]  Experience the My Patriot Supply difference today with this unbelievable offer.
[00:20:28.003 --> 00:20:33.146]  Right now, a four-week food supply is only $99, and that includes free shipping.
[00:20:33.407 --> 00:20:35.388]  That's 50% off the online price.
[00:20:35.868 --> 00:20:39.351]  Call 800-274-3070 to claim yours.
[00:20:39.791 --> 00:20:41.792]  Limit two per caller while supplies last.
[00:20:42.233 --> 00:20:48.017]  This offer isn't available online, so you want to make sure and grab this opportunity to get prepared today.
[00:20:48.037 --> 00:20:52.720]  800-274-3070 to get your four-week food supply for the incredible price of only $99, and it'll be shipped to you completely free.
[00:20:59.005 --> 00:20:59.606]  Call 800-274-3070 right now!
[00:20:59.626 --> 00:21:01.707]  That's 800-274-3070 to claim yours while supplies last!
[00:21:01.727 --> 00:21:02.088]  Don't wait!
[00:21:02.148 --> 00:21:02.808]  Call today!
[00:21:14.838 --> 00:21:22.405]  It spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:21:22.685 --> 00:21:25.247]  All of our children are hit with modern mind control.
[00:21:25.267 --> 00:21:28.770]  Television, music, fast food, GMOs, sugars, you name it.
[00:21:28.950 --> 00:21:34.916]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:21:35.216 --> 00:21:39.940]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:21:40.240 --> 00:21:46.404]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:21:46.604 --> 00:21:54.008]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:21:54.288 --> 00:22:01.472]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:22:01.713 --> 00:22:05.155]  Obtain your ChildEase today at InfoWarsLife.com.
[00:22:05.335 --> 00:22:08.196]  That's ChildEase exclusively at InfoWarsLife.com.
[00:22:09.517 --> 00:22:11.258]  What's your health worth to you?
[00:22:11.558 --> 00:22:16.860]  You probably can't place an exact value on it, but its importance has certainly increased greatly as you've grown older.
[00:22:17.060 --> 00:22:21.402]  Yet some companies seem to believe you can be lured in with cheap prices and false promises.
[00:22:21.622 --> 00:22:24.923]  That's never been the way Supernatural Silver has chosen to do business.
[00:22:25.243 --> 00:22:30.287]  Long ago, we set out to create a product that was light years beyond colloidal and ionic silver.
[00:22:30.507 --> 00:22:36.992]  Through extensive research and testing, we succeeded in making supernatural silver hundreds of times more effective.
[00:22:37.112 --> 00:22:41.755]  Some might call us a premium product, but we simply strive to be a product that worked.
[00:22:42.015 --> 00:22:49.681]  Supernatural silver is strong enough to fight off viruses, bacteria, and fungus, but safe enough to be used internally or topically.
[00:22:49.901 --> 00:22:56.768]  And it's powerful enough that just a handful of applications per week can give you better results than the daily use of those bargain silvers.
[00:22:57.028 --> 00:23:03.814]  Go to SupernaturalSilver.com today and use the promo code SILVER2015 for 30% off your order.
[00:23:04.114 --> 00:23:08.599]  Give yourself and your loved ones a fighting chance with Supernatural Silver.
[00:23:09.119 --> 00:23:09.999]  Hey, Berkey Guy here.
[00:23:10.079 --> 00:23:11.780]  Are you still drinking unfiltered tap water?
[00:23:11.920 --> 00:23:13.621]  Does your water contain chlorine or fluoride?
[00:23:13.681 --> 00:23:15.521]  Will you have drinkable water in an emergency?
[00:23:15.641 --> 00:23:21.503]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:21.643 --> 00:23:25.184]  We offer Berkey water purification systems at the lowest available prices online.
[00:23:25.284 --> 00:23:27.205]  Don't go another moment without a Berkey system.
[00:23:27.245 --> 00:23:30.246]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:30.346 --> 00:23:33.587]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:33.607 --> 00:23:33.787]  That's 877-886-3653.
[00:23:38.749 --> 00:23:42.830]  It's Katie Armor's 15% off sale now through Memorial Day.
[00:23:43.111 --> 00:23:44.851]  All Katie Armor is now 15% off.
[00:23:46.092 --> 00:23:52.734]  Katie's all new Level 4 Body Armor is made in the USA and can withstand the toughest of rifle rounds.
[00:23:53.294 --> 00:23:55.175]  Why would you buy anything else?
[00:23:55.635 --> 00:23:59.376]  That's Katie Armor's 15% off sale now through Memorial Day.
[00:23:59.716 --> 00:24:02.397]  Get your Level 4 Body Armor while you still can.
[00:24:02.657 --> 00:24:04.158]  Go to KatieArmor.com.
[00:24:04.378 --> 00:24:06.818]  That's K-A-T-I-Armor.com.
[00:24:07.119 --> 00:24:07.979]  Come and take it.
[00:24:15.069 --> 00:24:16.210]  Two things are going to happen.
[00:24:17.651 --> 00:24:20.432]  There's different variants within those two possible futures.
[00:24:21.993 --> 00:24:27.356]  The levee's either going to break and humanity's going to understand we were caught in a trap and try to struggle out of it.
[00:24:29.498 --> 00:24:36.462]  Or we're just going to submit and fade away to the new reality that the globalists have decided is our future.
[00:24:36.482 --> 00:24:40.964]  And I'm going to explain to you again.
[00:24:40.984 --> 00:24:43.486]  Video games were invented in the 60s by the Pentagon.
[00:24:44.892 --> 00:24:47.714]  To create unthinking killers.
[00:24:49.196 --> 00:24:50.096]  Instinctive shooters.
[00:24:51.197 --> 00:24:53.059]  That's why the police are so effective now.
[00:24:53.099 --> 00:24:54.660]  They're given the same military training.
[00:24:57.683 --> 00:24:59.084]  Thoughtless, instinctive shooting.
[00:25:00.605 --> 00:25:08.051]  And so when they go up against gangs and other criminals, they just shoot them to pieces, if it's a seriously trained police department, because they've been given killer training.
[00:25:09.512 --> 00:25:10.073]  It's just training.
[00:25:12.312 --> 00:25:13.793]  It's like you're gonna be trying to break somebody's neck.
[00:25:14.434 --> 00:25:17.097]  And if you have the will to do it, and don't think, you just break their neck.
[00:25:20.921 --> 00:25:22.462]  Nothing special, you just gotta have the force to do it.
[00:25:22.983 --> 00:25:24.644]  You can break somebody's neck, just like that.
[00:25:26.786 --> 00:25:28.608]  Break somebody's arm, just like that.
[00:25:29.089 --> 00:25:30.550]  Shoot somebody, just like that.
[00:25:31.391 --> 00:25:32.592]  You don't think, you kill.
[00:25:32.612 --> 00:25:35.335]  Well guess what?
[00:25:37.952 --> 00:25:41.174]  While you're in these simulations, I mean, I see the ads for these video games.
[00:25:41.234 --> 00:25:42.014]  Be somebody!
[00:25:42.254 --> 00:25:43.175]  Command the future!
[00:25:43.395 --> 00:25:44.375]  Build your empire!
[00:25:45.616 --> 00:25:46.596]  From your mother's basement.
[00:25:47.657 --> 00:25:49.478]  Designed to take men out of the game.
[00:25:50.178 --> 00:25:53.380]  Where you watch other men play sports, or you play simulation sports.
[00:25:56.249 --> 00:26:04.156]  And with it, they're tracking everything you do, watching everything you do, recording and videotaping what you do with the Kinect systems and others on record.
[00:26:04.696 --> 00:26:06.058]  Samsung TVs, all of it.
[00:26:06.558 --> 00:26:18.969]  We told you when they were first coming out with those six, seven years ago that it could look through your walls with the sound sonar system and even watch you in bed, on the toilet, record everything you're saying.
[00:26:19.209 --> 00:26:20.791]  Then hackers listened to me
[00:26:22.304 --> 00:26:31.050]  And they went and they hacked into people's Kinects and Xboxes and videotaped them through multiple walls, playing with themselves.
[00:26:31.390 --> 00:26:32.350]  Remember that in the news?
[00:26:35.552 --> 00:26:36.553]  It's not a game, people.
[00:26:38.935 --> 00:26:39.555]  It's not a game.
[00:26:39.575 --> 00:26:43.978]  These are all composite eyes of the AI supercomputer.
[00:26:47.332 --> 00:26:52.793]  That is as conscious as the day is long, sentient, awake, right now.
[00:26:56.974 --> 00:26:59.014]  You wanna know why the politicians act like we don't exist?
[00:26:59.835 --> 00:27:02.495]  You wanna know why the upper echelon just seems like they're on another world?
[00:27:02.815 --> 00:27:03.856]  Because they are, folks.
[00:27:03.876 --> 00:27:05.376]  They've had medical breakthroughs.
[00:27:05.656 --> 00:27:09.337]  They've had technological breakthroughs that are 30 to 50 years advanced.
[00:27:11.697 --> 00:27:14.938]  I saw a Northrop Grumman ad this morning that I want folks to pull.
[00:27:15.998 --> 00:27:18.260]  Where it shows different stealth aircraft.
