[00:00:08.697 --> 00:00:12.100]  This is Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:03:52.755 --> 00:03:54.076]  But here's Wired Magazine.
[00:03:54.356 --> 00:03:56.798]  Why did vaccinated people get measles at Disneyland?
[00:03:57.159 --> 00:03:58.680]  Blame the unvaccinated.
[00:03:59.300 --> 00:04:02.403]  And this is medical arrogance at its finest right here.
[00:04:02.443 --> 00:04:07.467]  They claim because people aren't getting the vaccine that they're making the vaccinated people sick.
[00:04:07.887 --> 00:04:11.991]  Which just defies logic because supposedly if you're vaccinated, you're protected from the disease.
[00:04:12.571 --> 00:04:15.174]  But that's not the case, and we find that time and time again.
[00:04:15.475 --> 00:04:22.624]  And it's hard to find these, and that's why we really make a big deal out of it when we do see it, when we see people admitted that, hey, they were vaccinated, but they still got the disease.
[00:04:22.904 --> 00:04:29.152]  We need to make note of this, because they tell you time and time again that you should inject these foreign substances into your bodies, and it's going to protect you.
[00:04:29.372 --> 00:04:34.534]  We have to keep these people honest, because the CDC, that's their job, is to get more people vaccinated.
[00:04:34.614 --> 00:04:35.494]  That's the program.
[00:04:35.775 --> 00:04:39.476]  Because most of these CDC heads are former Big Pharma employees.
[00:04:39.936 --> 00:04:40.736]  And this is the whole thing.
[00:04:40.776 --> 00:04:47.779]  When I interviewed Dr. Sherry Tinpenny years ago, went up to her office, and she said, you know, Rob, this is what I think it is.
[00:04:47.979 --> 00:04:54.582]  I think that the reason they push these vaccines, especially on these young kids, is so they become lifelong customers.
[00:04:55.262 --> 00:04:58.044]  Because they're gonna see these other problems crop up.
[00:04:58.084 --> 00:05:05.230]  They may not have a serious adverse reaction, but they'll get something like allergies, or they'll get earaches, or they'll get tonsillitis.
[00:05:05.510 --> 00:05:08.913]  Something that keeps them coming back for more medical care.
[00:05:09.833 --> 00:05:16.578]  Over a hundred years ago, eugenicist social planners said that they'd use mind-altering drugs to control the population.
[00:05:18.080 --> 00:05:24.985]  By 2007, more than 20 percent of the US population were on some type of prescription antidepressant.
[00:05:27.486 --> 00:05:39.066]  But in the case of foster children, a sector where the state has total control, at least two-thirds are forced to take a cocktail made up of, on average, seven psychotropic drugs.
[00:05:40.945 --> 00:06:01.561]  Chairman of the Texas Society of Psychiatric Physicians, Joe Burkett, testified before the Statehouse Select Committee hearing on psychotropic drugs in foster care and shocked the public when he said that two-thirds of foster children in Texas had been placed on psychiatric drugs because they were very, very sick from a bad gene pool.
[00:06:02.982 --> 00:06:05.123]  A lot of these kids come from bad gene pools.
[00:06:05.964 --> 00:06:08.406]  They don't have stable parents making good decisions.
[00:06:09.497 --> 00:06:14.741]  Besides the gene pools, they've then been traumatized by abuse, neglect, and problems, and then they've been traumatized by separation.
[00:06:14.761 --> 00:06:16.383]  All those things predispose to mental illness.
[00:06:16.923 --> 00:06:29.594]  One thing that I really like and I'm amazed by when I put out these vaccine reports is the number of people that get on the message board and actually add other clues and links to things that other people can read.
[00:06:30.194 --> 00:06:31.936]  Because I don't have time to put it all on one report.
[00:06:31.956 --> 00:06:33.437]  There's just not enough time in the day.
[00:06:33.757 --> 00:06:35.819]  So I really do appreciate when people put their links down there.
[00:06:35.859 --> 00:06:36.639]  And let's have a debate.
[00:06:36.720 --> 00:06:38.001]  I'm all for an open, honest debate.
[00:06:38.641 --> 00:06:44.845]  You know, a lot of people sent this Penn & Teller thing, where they had them throwing bowling balls at little targets made up of children.
[00:06:45.485 --> 00:06:51.449]  And the ones that were vaccinated were protected from the bowling balls, and the other ones weren't, so they were getting mowed down.
[00:06:52.089 --> 00:06:59.254]  And a lot of the statistics that they're reporting, yeah, all these diseases were coming down, but they were coming down before the vaccines were ever introduced.
[00:06:59.594 --> 00:07:04.997]  They never show the beginning of these graphs, like when you see polio coming down to here, and then the vaccine's introduced, and it drops down to here.
[00:07:05.397 --> 00:07:06.578]  It was already on its way out.
[00:07:06.978 --> 00:07:07.679]  That's because of
[00:07:08.459 --> 00:07:14.922]  Modern hygiene techniques, modern plumbing, people not sleeping in their clothes over and over again days on end.
[00:07:15.302 --> 00:07:19.083]  It's a whole lot of things that caused these diseases to go down.
[00:07:19.504 --> 00:07:27.027]  So let's end here with this one article from VAC Truth that I encourage you to go and look at the other source articles that they put in here because it's amazing.
[00:07:27.347 --> 00:07:31.949]  Studies prove without a doubt that unvaccinated children are far healthier than their vaccinated peers.
[00:07:33.450 --> 00:07:39.156]  A 1992 immunization awareness study, IAS, conducted a survey to examine the health of New Zealand's children.
[00:07:39.596 --> 00:07:44.822]  Unsurprisingly, the results of their study indicate that unvaccinated children were far healthier than vaccinated children.
[00:07:45.540 --> 00:07:51.122]  So they interviewed about 245 families, nearly 500 children participated in this survey.
[00:07:51.502 --> 00:07:52.242]  Here's what they found.
[00:07:53.063 --> 00:08:03.526]  92% of the children requiring tonsillectomy operation had received the measles vaccination, indicating that vaccination for measles may have made some of the children susceptible to tonsillitis.
[00:08:04.046 --> 00:08:07.628]  But then it goes into another study that was even more in-depth back in 2011 in Germany.
[00:08:08.928 --> 00:08:16.970]  In September 2011, German researchers carried out a long-range study, surveyed a total of 8,000 unvaccinated children from the ages of 0 to 19.
[00:08:17.810 --> 00:08:25.112]  So the kids that were vaccinated, 4.7% suffered from asthma, 10.7% suffered from hay fever, 13.2% suffered from neurodermatitis.
[00:08:25.452 --> 00:08:30.954]  With the unvaccinated children, you had asthma at 2.5%, hay fever at 3%, and neurodermatitis at 7%.
[00:08:31.254 --> 00:08:35.295]  Nearly half compared to the vaccinated children.
[00:08:36.516 --> 00:08:39.781]  And these aren't big health conditions, but these are things that determine quality of life.
[00:08:40.782 --> 00:08:47.992]  I wonder if the CDC has conducted or facilitated a study comparing vaccinated children with unvaccinated children yet.
[00:08:48.232 --> 00:08:48.733]  Have you done that?
[00:08:50.140 --> 00:08:53.443]  We have not studied vaccinated versus unvaccinated.
[00:08:54.384 --> 00:08:55.045]  Never mind.
[00:08:55.065 --> 00:08:55.725]  Stop there.
[00:08:55.805 --> 00:08:57.167]  That was the meaning of my question.
[00:08:57.207 --> 00:08:59.148]  You wasted two minutes of my time.
[00:08:59.168 --> 00:08:59.709]  Now look at this.
[00:09:00.209 --> 00:09:03.733]  Other conditions found to be almost non-existent in unvaccinated children.
[00:09:04.273 --> 00:09:06.655]  With dyslexia, it was 0.21 percent.
[00:09:07.256 --> 00:09:09.678]  Speech delay or articulation problems, 0.38 percent.
[00:09:10.959 --> 00:09:15.462]  Sensory Processing Disorder 0.28% Anxiety 0.25% Depression 0.12% Bedwetting 0.12% Celiac Disease 0.12% Gluten Sensitivity 0.41% GERD 0.06%
[00:09:28.092 --> 00:09:29.013]  I want to leave you with this.
[00:09:29.073 --> 00:09:31.234]  This last from the CDC.
[00:09:31.254 --> 00:09:37.278]  This is on their own website and this is talking about identified prevalence of autism spectrum disorder.
[00:09:37.799 --> 00:09:41.261]  In 2000 in the United States we were 1 in 150.
[00:09:41.301 --> 00:09:47.105]  And now in 2010, well now we're five years later so I bet it's even worse, it was 1 in 68.
[00:09:47.285 --> 00:09:54.450]  I've seen a chart that ranks the longevity of the 30 nations
[00:09:58.277 --> 00:10:03.065]  with the best mortality rates in the world, starting with Iceland, Sweden, Singapore, and on down.
[00:10:03.746 --> 00:10:04.607]  We didn't even make the top 30.
[00:10:04.928 --> 00:10:05.729]  We're the 34th.
[00:10:06.230 --> 00:10:12.641]  And ironically, we require more vaccinations than any other country that's healthier, has a less mortality rate than us.
[00:10:13.717 --> 00:10:26.486]  Do you see any correlation whatsoever, either one of you, to the 34th worst mortality rate and the most vaccinations to the ones with the least required vaccinations and the lowest mortality rate?
[00:10:26.987 --> 00:10:30.709]  There are many factors obviously involved in longevity for any country.
[00:10:30.729 --> 00:10:32.691]  The one thing we do know about vaccinations
[00:10:33.311 --> 00:10:40.457]  is that they are among the major public health reasons why generations today live much longer than in previous generations.
[00:10:40.517 --> 00:10:45.101]  They are perhaps the most successful public health movement in the world.
[00:10:45.161 --> 00:10:48.303]  Nobody's talking about or against vaccinations.
[00:10:48.643 --> 00:10:59.192]  We're talking about thimerosal in vaccinations and multiple bomb blasts of vaccinations in a short period of time.
[00:10:59.807 --> 00:11:01.230]  Thank you, Mr. Chairman.
[00:11:11.223 --> 00:11:18.849]  You really need to do the research on vaccinations and we need to pressure these vaccine companies out there to do the obvious research.
[00:11:19.269 --> 00:11:20.610]  Let's look at all the problems.
[00:11:20.630 --> 00:11:25.014]  Let's not look at these carefully clinical studies that are paid for by the vaccine companies.
[00:11:25.034 --> 00:11:26.735]  Let's get some independent studies in there.
[00:11:26.935 --> 00:11:29.177]  Let's demand that our government do these independent studies.
[00:11:29.417 --> 00:11:31.819]  Let's demand that the CDC do these independent studies.
[00:11:32.159 --> 00:11:36.622]  Let's stop taking the vaccine company's word that everything is safe and effective, because it's not.
[00:11:36.742 --> 00:11:37.502]  We know it's not.
[00:11:37.822 --> 00:11:40.004]  And we can see these things time and time again.
[00:11:40.284 --> 00:11:44.106]  So it's time to start holding their feet to the fire and making them accountable for what they're doing.
[00:11:44.667 --> 00:11:45.967]  They have blanket immunity now.
[00:11:46.027 --> 00:11:51.711]  There's these vaccine courts that pay out the damages, but the vaccine companies never have to admit culpability.
[00:11:51.791 --> 00:11:53.132]  It's time to end stuff like this.
[00:11:54.155 --> 00:11:57.838]  If you like reports like these, please consider becoming a member of PrisonPlanet.TV.
[00:11:57.898 --> 00:12:00.260]  We're still running our biggest special ever.
[00:12:00.541 --> 00:12:06.826]  For $29.95, you can become a member of PrisonPlanet.TV for a whole year and share your username and password with up to 20 people.
[00:12:07.267 --> 00:12:09.989]  And remember, you've got to work on your immune system.
[00:12:10.129 --> 00:12:18.497]  That is what's going to protect you from these diseases, not hocus pocus from the vaccine community, especially those out there who are profiting from making the vaccines themselves.
[00:12:18.939 --> 00:12:26.785]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:12:27.066 --> 00:12:29.167]  All the major networks are state-run.
[00:12:29.308 --> 00:12:31.950]  We are partnering this year with the NFL.
[00:12:32.010 --> 00:12:36.113]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[00:12:36.433 --> 00:12:39.576]  MSNBC tells us that our children belong to the state.
[00:12:39.596 --> 00:12:46.862]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:12:47.022 --> 00:12:58.107]  The brainwashing media machine has been turned up on high and it's time for humanity to double down on the true people's media and strike back against the tyrants that are destroying our civilization with their lies and fraud.
[00:12:58.287 --> 00:12:59.668]  We are the resistance.
[00:12:59.948 --> 00:13:01.289]  You are the resistance.
[00:13:01.669 --> 00:13:03.190]  You are the info war.
[00:13:03.410 --> 00:13:07.512]  It is more important than ever to realize that we are not the alternative media.
[00:13:07.712 --> 00:13:09.353]  We are the true media.
[00:13:09.513 --> 00:13:12.094]  The establishment dinosaur press is dying.
[00:13:12.214 --> 00:13:15.776]  We are in an information war and we are losing that war.
[00:13:15.956 --> 00:13:20.061]  Join us at Infowarsnews.com and PrisonPlanet.tv.
[00:13:20.301 --> 00:13:23.144]  Members can share their memberships with up to 11 people.
[00:13:23.264 --> 00:13:30.832]  By subscribing, you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[00:13:31.133 --> 00:13:32.855]  Join us at PrisonPlanet.tv.
[00:13:34.076 --> 00:13:36.999]  This is Alex Jones for InfoWarsLife.com.
[00:13:37.159 --> 00:13:39.100]  The latest in preparedness is now here.
[00:13:39.301 --> 00:13:45.266]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:13:45.486 --> 00:13:50.490]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:13:50.571 --> 00:13:55.255]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[00:13:55.455 --> 00:13:59.959]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:14:00.239 --> 00:14:08.644]  The InfoWarsLife Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:14:08.844 --> 00:14:10.805]  This is not a low-grade formula.
[00:14:10.985 --> 00:14:22.111]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[00:14:22.171 --> 00:14:29.595]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today.
[00:14:29.835 --> 00:14:33.460]  And find other amazing supplements at infowarslife.com
