[00:00:09.130 --> 00:00:14.972]  Rob Dew reporting for InfoWars Nightly News and InfoWars.com with another vaccine report.
[00:02:11.841 --> 00:02:15.905]  Furthermore, in both of these, they said seniors were always the least protected.
[00:02:16.385 --> 00:02:25.491]  But if you go to flu.gov, which is a website run by our federal government, because your immune system weakens as you age, adults age 65 and older are more susceptible to the flu.
[00:02:25.531 --> 00:02:28.512]  It is important seniors get their flu vaccine.
[00:02:29.013 --> 00:02:34.316]  It seems seniors, children, and pregnant women are their targeted groups for flu vaccination.
[00:02:34.376 --> 00:02:37.158]  But they've known it hasn't worked for elderly people for a long time.
[00:02:37.198 --> 00:02:43.061]  In fact, here in 2013, USA Today reported flu vaccine barely worked in people 65 and older.
[00:02:44.182 --> 00:02:56.353]  This season's flu vaccine was completely ineffective in people 65 and older, which could explain why rates of hospitalization and death have been the highest ever recorded for that age group, according to early estimates released by the Centers for Disease Control and Prevention.
[00:02:56.514 --> 00:03:00.717]  For those 65 and older, though, it helped in just 9% of the cases.
[00:03:01.078 --> 00:03:08.605]  But even back in 2013, they knew if you got the flu shot two years in a row, your chances of getting the flu increased.
[00:03:09.105 --> 00:03:12.586]  Effectiveness of flu vaccine raises more red flags.
[00:03:12.626 --> 00:03:14.786]  This is dated 3-26-2013.
[00:03:14.806 --> 00:03:19.467]  The influenza vaccine was 62% effective among people who did not receive a flu shot in the prior year.
[00:03:19.887 --> 00:03:26.548]  In comparison, vaccine effectiveness among those who did get the flu shot in the previous year was substantially lower at negative 45%.
[00:03:26.708 --> 00:03:33.049]  So you're almost a 50% chance of getting sick from the flu if you got the vaccine in two years.
[00:03:33.069 --> 00:03:34.710]  That would have been 2013 and 2012 flu seasons.
[00:03:36.730 --> 00:03:50.933]  In 2010, PLOS Medicine published an analysis of Canadian epidemiological studies suggesting that people who had received seasonal flu shots the year before the 2009 H1N1 pandemic had an increased risk of becoming infected with pandemic swine flu.
[00:03:51.193 --> 00:03:59.395]  A second study in 2009 identified similar associations between previous vaccination and pandemic H1N1 illness in a military population.
[00:03:59.815 --> 00:04:04.417]  Between April 21st and May 8th, a total of 97 patients developed the H1N1 virus.
[00:04:04.557 --> 00:04:09.980]  Of these 63 people, 66% had received the influenza vaccination in the previous 12 months.
[00:04:10.240 --> 00:04:15.502]  In comparison, only 40% of patients without H1N1 virus had no history of vaccination.
[00:04:15.902 --> 00:04:21.165]  And when you're in the military, as Joe Biggs and others have pointed out, you really don't get a say in what you get to put in your body.
[00:04:21.545 --> 00:04:23.466]  In fact, you get no say whatsoever.
[00:04:23.506 --> 00:04:27.888]  They tell you to line up and they give you whatever flu shot that year they think you need.
[00:04:28.348 --> 00:04:30.910]  And look what happens when the Armed Forces does get herd immunity.
[00:04:31.190 --> 00:04:31.891]  Here we are, February 24, 2015.
[00:04:33.532 --> 00:04:35.774]  CDC admits flu vaccine does not work.
[00:04:36.154 --> 00:04:39.197]  Influenza outbreak on fully vaccinated Navy ship.
[00:04:39.837 --> 00:04:47.424]  The CDC published a report documenting an influenza outbreak which occurred among fully vaccinated Navy personnel aboard the USS Arden, a U.S.
[00:04:47.484 --> 00:04:50.866]  Navy minesweeper moored in San Diego, California while conducting training.
[00:04:51.727 --> 00:04:54.068]  And here's the CDC's reports from February 2014.
[00:04:55.409 --> 00:04:59.431]  Influenza outbreak in a fully vaccinated population, USS Ardent, February 2014.
[00:05:01.252 --> 00:05:07.055]  Naval Health Research Center determined that 20 specimens were Influenza A, of which 18 were subtype H3N2.
[00:05:08.556 --> 00:05:17.519]  The HA gene sequence of the outbreak isolate was 99% identical to the strains circulating during the 2013-2014 influenza season and antigenically similar to the H3N2 component of the 2013-2014 influenza vaccine.
[00:05:17.539 --> 00:05:19.860]  At the time of the outbreak, 99% of the crew had received influenza vaccine.
[00:05:29.404 --> 00:05:30.164]  And now we go back in time to 2011.
[00:05:30.204 --> 00:05:34.987]  The Centers for Infectious Disease Research and Policy, or CIDRAP, released this article, Flu Vaccine Efficacy, Time to Revise Public Messages.
[00:05:56.417 --> 00:06:05.044]  And they're basically reporting on a Lancet article, and they found little or no evidence of the 70 to 90% efficacy for most population groups, which is what they always say.
[00:06:05.344 --> 00:06:07.426]  The flu vaccine is 70 to 90% effective.
[00:06:07.866 --> 00:06:09.487]  They found nothing of the sort in that.
[00:06:09.767 --> 00:06:13.810]  In fact, they found that it was close to 59% in adults younger than 65.
[00:06:14.591 --> 00:06:15.712]  And we know what happens once you get 65.
[00:06:17.173 --> 00:06:19.875]  And now I want to end with a couple articles from Mercola.com.
[00:06:19.895 --> 00:06:23.217]  The first one is in 2012 and the second one's in 2010.
[00:06:23.517 --> 00:06:24.158]  Here's the first.
[00:06:24.318 --> 00:06:30.122]  Analysis finds flu vaccine efficacy lacking as flu vaccines are suspended across Europe and Canada.
[00:06:30.502 --> 00:06:31.062]  That's right.
[00:06:31.182 --> 00:06:40.889]  In this article it talks about several different companies in many countries in Europe and then in Canada where they actually suspended the flu vaccine because of problems with the lots.
[00:06:41.269 --> 00:06:44.871]  But remember the group CIDRAP, the Center for Infectious Disease Research and Policy?
[00:06:45.151 --> 00:06:47.033]  Well, their director had this to say back in 2012.
[00:06:48.453 --> 00:06:51.475]  Michael T. Osterham is questioning the effectiveness of the vaccine.
[00:06:51.535 --> 00:06:54.037]  We have overpromoted and overhyped this vaccine.
[00:06:54.177 --> 00:06:55.838]  It does not protect as much as promoted.
[00:06:55.998 --> 00:06:57.019]  It's all a sales job.
[00:06:57.099 --> 00:06:58.880]  It's all public relations.
[00:06:59.775 --> 00:07:02.417]  And what do we see every year during the flu season?
[00:07:02.457 --> 00:07:09.363]  We see lots of commercials and specials everywhere and signage and all the drugstores are encouraging everyone to get that flu vaccine.
[00:07:09.703 --> 00:07:11.285]  Of course, it looks like it's overhyped.
[00:07:11.405 --> 00:07:13.226]  We've been telling you that for many years now.
[00:07:13.647 --> 00:07:19.392]  And now, through a multitude of research and articles, we're finally being vindicated with this news.
[00:07:20.492 --> 00:07:26.234]  And now let's look back in 2012, where the flu vaccine was being banned in several European countries and Canada.
[00:07:26.734 --> 00:07:30.336]  October 17th, Vaccine Maker Crucial, a unit of U.S.
[00:07:30.376 --> 00:07:38.359]  drugmaker Johnson & Johnson, suspended delivery of 2.36 million doses of their seasonal flu vaccine headed for Italy and other European countries.
[00:07:38.959 --> 00:07:39.759]  But that's not all.
[00:07:40.019 --> 00:07:46.262]  On October 24th, Italy banned the sale and use of four flu vaccines manufactured by Novartis.
[00:07:46.842 --> 00:07:52.344]  Switzerland, Spain, Germany, Austria, and France also banned these vaccines.
[00:07:52.944 --> 00:08:03.228]  And then on October 27th, Canada suspended the sale and use of Novartis flu vaccines sold under the names Fluad and AgriFlu, which are both manufactured in Italy.
[00:08:04.209 --> 00:08:15.263]  But even as far back as 2010, there was plenty of evidence that the flu shots were not safe and definitely not effective, as they claim in all the ads and pomp and circumstance.
[00:08:15.543 --> 00:08:20.690]  Here it is Mercola, 2010, April 8th, more proof flu shots don't work.
[00:08:21.090 --> 00:08:26.272]  And I'll take you down to the middle of the article under the section evidence showing flu shots don't work.
[00:08:26.792 --> 00:08:35.735]  After reviewing five studies conducted between 1997 and 2009, the results show that vaccination campaigns had no effect on the number of confirmed influenza cases.
[00:08:36.175 --> 00:08:49.420]  They also concluded that vaccinating staff has no proven impact on reducing the number of related pneumonia cases or pneumonia-linked deaths, which, by the way, count for the vast majority of what the CDC counts as flu deaths.
[00:08:50.200 --> 00:09:01.954]  And it lists the five studies, two in 2008, one in 2007, one in 2006, and another in 2010, which show that the vaccines are not effective.
[00:09:02.875 --> 00:09:05.618]  That's why they have to put out this big advertising campaign.
[00:09:05.638 --> 00:09:08.482]  That's to get you conditioned that you have to get the flu shot.
[00:09:09.158 --> 00:09:10.538]  This is all part of their scheme.
[00:09:10.939 --> 00:09:12.519]  And what happens after you get the flu shot?
[00:09:12.539 --> 00:09:14.940]  Well, you're going to get sick, and then you're going to need to get more treatment.
[00:09:15.340 --> 00:09:19.081]  Yet we've seen children die this year from the same strain that they were vaccinated against.
[00:09:19.601 --> 00:09:21.442]  Other people have had debilitating conditions.
[00:09:22.022 --> 00:09:22.682]  It's scary.
[00:09:22.742 --> 00:09:24.843]  And are you going to take that risk with your health?
[00:09:25.283 --> 00:09:34.506]  The pro-vaccine hysteria has reached such a fevered pitch that we now have state reps making jokes about being vaccine brain damaged like this.
[00:09:35.866 --> 00:09:36.286]  Anyway.
[00:09:39.515 --> 00:09:42.877]  Because I got destroyed my brain when I was vaccinated.
[00:09:42.977 --> 00:09:43.237]  No.
[00:09:44.698 --> 00:09:45.598]  No, no, no, no.
[00:09:45.638 --> 00:09:47.459]  Let's be a little more serious.
[00:09:48.239 --> 00:09:49.660]  But I don't think it's a laughing matter.
[00:09:49.920 --> 00:09:54.242]  Especially when you see evidence in videos of people who have been damaged by vaccines.
[00:09:54.302 --> 00:09:55.343]  And I've seen a lot of them.
[00:09:55.563 --> 00:09:57.704]  But this one really hurts the most.
[00:09:58.956 --> 00:10:01.157]  Hello, my name is Sue Latour.
[00:10:01.177 --> 00:10:02.518]  This is my daughter, Kimberly.
[00:10:02.859 --> 00:10:06.041]  Kimberly is a vaccine injury child.
[00:10:06.341 --> 00:10:10.283]  She was nine weeks old when she had her initial shot.
[00:10:11.024 --> 00:10:13.966]  We are very blessed to have her as good as she is.
[00:10:15.805 --> 00:10:24.972]  She has mental retardation, she has seizures, and she has autistic tendencies and a lot of autism that showed up when she was probably 18 months old.
[00:10:25.673 --> 00:10:28.235]  She has had thousands of seizures over the years.
[00:10:28.835 --> 00:10:32.839]  We also were able to win a suit for her.
[00:10:34.740 --> 00:10:36.702]  Money doesn't compensate loss of life.
[00:10:37.605 --> 00:10:38.806]  What happens if you get the flu?
[00:10:39.086 --> 00:10:40.307]  You get sick for a few days.
[00:10:40.888 --> 00:10:44.811]  If you work on a healthy immune system, you'll get through this stuff A-OK.
[00:10:45.172 --> 00:10:50.076]  And I encourage you to check out some of the products at Infowarslife.com that can help you strengthen your immune system.
[00:10:51.448 --> 00:10:55.330]  It's what I do, and I didn't get the flu this year, nor did I get the flu shot.
[00:10:55.750 --> 00:11:02.674]  In fact, I've never gotten the flu shot, and I think I've only had the flu once in all that time that I've never gotten the flu shot since I've been 18 years old.
[00:11:03.214 --> 00:11:06.296]  Anyway, this is Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:11:06.816 --> 00:11:09.258]  Please consider becoming a member of PrisonPlanet.tv.
[00:11:09.298 --> 00:11:13.620]  It's your subscription that helps us spread the message that the pro-vaxxers
[00:11:13.800 --> 00:11:14.861]  They just hate to see.
[00:11:14.922 --> 00:11:16.043]  They hate this information.
[00:11:16.083 --> 00:11:16.984]  They hate to see it out there.
[00:11:17.325 --> 00:11:20.589]  So it's up to you to give this information out to all the people you know.
[00:11:20.950 --> 00:11:21.911]  And let the debate begin!
[00:11:22.312 --> 00:11:23.774]  I'm ready to debate anytime.
[00:11:24.014 --> 00:11:24.635]  Thanks for watching.
[00:11:25.874 --> 00:11:31.636]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:11:31.957 --> 00:11:36.258]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:11:36.558 --> 00:11:44.282]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:11:44.522 --> 00:11:49.744]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:11:50.024 --> 00:11:52.485]  Sourced from top leading manufacturers.
[00:11:52.625 --> 00:12:04.536]  To ensure a concentrated level of bioactive ingredients extracted directly from the wild herb and sealed in easy-to-use capsules, you will no longer need to endure the burning of liquid oregano on the tongue.
[00:12:04.877 --> 00:12:11.103]  Wild-crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:12:11.463 --> 00:12:16.469]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:12:16.629 --> 00:12:20.133]  Now available in our limited first run at Infowarslife.com.
[00:12:20.353 --> 00:12:22.276]  That's Infowarslife.com or call 888-253-3139.
