[00:00:00.009 --> 00:00:01.175]  The Alex Jones Show!
[00:06:25.891 --> 00:06:26.731]  But for how long?
[00:06:27.031 --> 00:06:33.293]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:06:33.673 --> 00:06:36.494]  Infidel Body Armor just won't quit.
[00:06:38.032 --> 00:06:41.133]  When cells become toxic, they die early and aging sets in.
[00:06:41.453 --> 00:06:49.477]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:06:49.697 --> 00:06:54.719]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:06:55.119 --> 00:06:57.400]  You want the best that's out there at the lowest price anywhere?
[00:06:57.640 --> 00:06:59.441]  We now have the synergistic solution.
[00:06:59.761 --> 00:07:03.943]  Secure your DNA force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:07:08.126 --> 00:07:09.367]  Another major health threat.
[00:07:09.387 --> 00:07:14.289]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:07:14.369 --> 00:07:17.010]  Ohio's governor declaring a state of emergency.
[00:07:17.050 --> 00:07:23.812]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:07:24.073 --> 00:07:26.934]  If there's a water emergency, will you be prepared?
[00:07:27.054 --> 00:07:30.015]  Panicked residents forming long lines throughout the day.
[00:07:30.095 --> 00:07:32.016]  We're here at a supermarket in Toledo.
[00:07:32.056 --> 00:07:34.857]  You can see the shelves empty where water once was.
[00:07:34.957 --> 00:07:40.478]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:07:40.698 --> 00:07:44.159]  Water which will not be available at your local grocery store.
[00:07:44.179 --> 00:07:47.180]  There's a mad dash on right now to stock up on supplies.
[00:07:47.280 --> 00:07:54.382]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:07:54.602 --> 00:07:57.662]  Protect your family's safety during an emergency.
[00:07:57.822 --> 00:08:04.084]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[00:08:04.224 --> 00:08:05.004]  Or call 1-888-253-3139.
[00:08:05.404 --> 00:08:19.170]  You are listening to an InfoWars.com Frontline Report.
[00:08:19.250 --> 00:08:20.271]  It's Alex Jones.
[00:08:27.907 --> 00:08:30.610]  Welcome to the Alex Jones Show on this Tuesday, March 10, 2015.
[00:08:31.270 --> 00:08:33.492]  It is a huge news-breaking day.
[00:08:33.973 --> 00:08:37.716]  We've got some major moves happening, trying to ban ammunition.
[00:08:38.156 --> 00:08:41.719]  We have some different moves that are being made by Senate Republicans.
[00:08:42.100 --> 00:08:46.184]  We've got gain-of-function experiments out of control by the CDC.
[00:08:46.224 --> 00:08:50.447]  We've got Russian people are angrier at the U.S.
[00:08:50.487 --> 00:08:51.388]  than they have ever been.
[00:08:51.408 --> 00:08:54.251]  And joining us now is Alex Jones to break this down.
[00:08:55.111 --> 00:08:55.631]  That's right.
[00:08:55.771 --> 00:08:59.214]  Again, I'm co-hosting here from the road today with David Knight.
[00:08:59.314 --> 00:09:05.377]  I'll be back tomorrow as well with David Alex Jones coming to you from Texas, the Texas coast.
[00:09:05.417 --> 00:09:11.421]  David Knight coming to you from TheInfoWars.com, news studios in Austin, Texas, and broadcasting worldwide.
[00:09:11.781 --> 00:09:15.344]  There is so much to cover, so much to go over today.
[00:09:16.164 --> 00:09:22.531]  The first thing I want to break down, before I get into all the other news, is this is going to be a Second Amendment-centered transmission.
[00:09:23.171 --> 00:09:31.760]  When we open the phones up towards the end of this hour and throughout the entire broadcast today, after that, I want to hear what you're planning to do to defeat the move to take our guns.
[00:09:32.361 --> 00:09:43.311]  And I want to hear what you're planning to do to get a hold of these criminal politicians to let them know they're going to be held accountable and that they're not going to use a bunch of wordsmithing and manipulation to hide what they're doing.
[00:09:43.931 --> 00:09:46.413]  Obama has promised to destroy the Second Amendment.
[00:09:48.035 --> 00:09:49.256]  His criminal attorney general.
[00:09:50.509 --> 00:09:51.650]  We're good to go.
[00:10:15.786 --> 00:10:16.167]  On record.
[00:10:16.307 --> 00:10:16.848]  Globalism.
[00:10:16.868 --> 00:10:17.549]  To make us dependent.
[00:10:18.891 --> 00:10:19.592]  Outside of law.
[00:10:20.374 --> 00:10:21.175]  The carbon taxes.
[00:10:21.235 --> 00:10:21.936]  Outside of law.
[00:10:22.297 --> 00:10:24.781]  The shutting down of the rest of our infrastructure.
[00:10:24.901 --> 00:10:25.682]  Outside of law.
[00:10:25.922 --> 00:10:29.428]  We have the President launching military operations outside of Congress and outside of law.
[00:10:30.472 --> 00:10:48.161]  We have the President engaging in selective enforcement via Obamacare against his political enemies, engaged in IRS witch hunts on record against whole political classes they don't like, with MSNBC traitorously admitting that they are targeting conservatives and saying, good, go after the Tea Party with the IRS.
[00:10:48.721 --> 00:10:53.844]  Not even the Nazis openly got on the radio and said, go take all of our enemies' money.
[00:10:53.884 --> 00:10:54.504]  They just did it.
[00:10:55.700 --> 00:10:57.961]  So this is the beginning of economic embargo.
[00:10:58.401 --> 00:11:05.905]  We have articles out of Nevada, this isn't out of England, where parents can't adopt children if they have concealed carry permits.
[00:11:06.425 --> 00:11:13.669]  You see, we are the new Jews, the new gypsies, the new underclass.
[00:11:14.089 --> 00:11:20.492]  If you're white, if you're libertarian, if you're conservative, you are open, free game for the new totalitarians
[00:11:21.092 --> 00:11:27.135]  To exercise these operations on us, but then once they're done, they're going to move on to everybody as well.
[00:11:27.215 --> 00:11:31.117]  But this is the game being played right now.
[00:11:32.377 --> 00:11:33.258]  Epic news.
[00:11:33.338 --> 00:11:39.121]  And again, I use that word a lot because what we're seeing is gargantuan power grabs.
[00:11:40.191 --> 00:11:42.333]  of the Internet, of you name it.
[00:11:42.473 --> 00:11:52.720]  Now the Republicans are proposing, and look out, they're proposing abolishing the ATF, but that only means like they abolished the Border Patrol and just put it under ice six years ago.
[00:11:53.201 --> 00:11:59.965]  No, they are moving for a long time ATF under the DEA and the FBI.
[00:11:59.985 --> 00:12:06.830]  We're going to be talking about that with David Knight here in just a moment to give them the incredible reach of informants and power
[00:12:07.631 --> 00:12:17.517]  To now totally criminalize gun owners with a bunch of invisible regulations and red tape to then throw people in jail for bullets, for gun accessories, you name it.
[00:12:17.577 --> 00:12:27.023]  The real reign of terror that Bloomberg and others promised that was microcosm in California the last three years with the Bloomberg headline, gun confiscations began in California.
[00:12:27.523 --> 00:12:28.084]  It's coming.
[00:12:28.304 --> 00:12:30.927]  The veterans aren't able to buy guns in many cases now.
[00:12:30.987 --> 00:12:32.888]  No crimes, no record, no nothing.
[00:12:33.249 --> 00:12:33.629]  It's here.
[00:12:33.689 --> 00:12:37.493]  Totalitarianism via bureaucracy, incrementally being turned up.
[00:12:37.933 --> 00:12:41.157]  At a certain point, even if you're incrementally turning it up, it starts to boil.
[00:12:41.917 --> 00:12:44.740]  Here's the articles on InfoWars.com right now.
[00:12:44.760 --> 00:12:48.984]  52 senators, and we need to be hammering this on InfoWars.com, and we are.
[00:12:50.199 --> 00:12:55.184]  Fifty-two Senators warned of sweeping ammo bans, say Second Amendment is quote, at risk.
[00:12:55.804 --> 00:12:56.505]  Absolutely.
[00:12:56.585 --> 00:13:01.950]  The plan has always been to be able to ban one type of rifle ammo, claiming it can kill cops.
[00:13:01.970 --> 00:13:03.052]  Well, of course it can kill cops.
[00:13:04.153 --> 00:13:06.895]  And then, I mean, any ammo can kill somebody.
[00:13:07.356 --> 00:13:10.419]  And then expanding it out basically to everything.
[00:13:12.797 --> 00:13:15.981]  52 Senators warn of sweeping ammo bans, say Second Amendment at risk.
[00:13:16.361 --> 00:13:30.579]  A majority in both the Senate and the House, 52 Senators, 238 House members have joined to oppose the Obama administration's move, well let's see them actually do something, to ban a popular type of ammo used in upselling AR-15 rifles.
[00:13:31.980 --> 00:13:35.261]  And pistols because it pierces police body armor.
[00:13:35.981 --> 00:13:52.284]  A week after House members led by Judiciary Committee Representative Bob Goodlatte, if I say that right, sent a letter of opposition to the Bureau of Alcohol, Tobacco, Firearms and Explosives Senate Judiciary Committee Chairman Senator Chuck Grassley echoed that in his own letter signed by 51 others.
[00:13:52.704 --> 00:13:56.285]  We're going to be reading some of what they had to say coming up but
[00:13:57.461 --> 00:14:05.166]  If you add this into the entire attack profile, the entire constellation of what's happening, it shows that the enemy is very confident.
[00:14:05.526 --> 00:14:06.367]  Well, they shouldn't be.
[00:14:06.447 --> 00:14:08.028]  In every poll number, they're plunging.
[00:14:08.649 --> 00:14:09.929]  They're in deep political trouble.
[00:14:09.989 --> 00:14:11.530]  Hillary's in big trouble.
[00:14:11.631 --> 00:14:12.751]  Obama's in big trouble.
[00:14:13.432 --> 00:14:20.536]  You read the news headlines, even his own faithful are losing faith in their Messiah, the Lord and Savior, Barack Hussein Obama, to quote Jamie Foxx.
[00:14:21.117 --> 00:14:22.318]  So why are they so confident?
[00:14:23.069 --> 00:14:47.650]  Because they have globalist backing, they have an agenda, they have staged terror up their sleeve, new big wars up their sleeve, economic crises up their sleeve, and most importantly, they have traitorous Republicans like John Boehner and others protecting the entire agenda, keeping Obamacare in place as it rapes the American people and breaks our financial back and destroys our healthcare system and federalizes it as a new enforcement spy grid.
[00:14:48.391 --> 00:14:57.653]  Breaking the country's back, ending sovereignty, ending the borders, saying, you know, worldwide, CNN Everyday has articles, come to America, it's all free, ha ha!
[00:14:57.974 --> 00:15:06.036]  The land of milk and honey, the Golden Valley, the heaven, heaven on earth, Fantasy Island, it's all free, ha ha!
[00:15:06.476 --> 00:15:08.356]  I mean, it is just red level.
[00:15:08.416 --> 00:15:10.317]  The country is melting down.
[00:15:11.437 --> 00:15:11.537]  Yes.
[00:15:28.446 --> 00:15:31.067]  We need indictments for Fast and Furious.
[00:15:31.187 --> 00:15:34.969]  We need to get on the offense because we're on the defense.
[00:15:35.229 --> 00:15:40.812]  And the best offense is, ladies and gentlemen, to take action, to tell the truth, and to not back down.
[00:15:40.872 --> 00:15:41.972]  So they've been attacking us.
[00:15:42.312 --> 00:15:44.253]  The best defense is an aggressive offense.
[00:15:44.553 --> 00:15:46.434]  We don't have any more time.
[00:15:46.594 --> 00:15:48.175]  Our worst fears have been confirmed.
[00:15:48.375 --> 00:15:52.377]  We're dealing with a red-level, hardcore, scientific, global,
[00:15:52.657 --> 00:15:53.097]  We're good to go.
[00:16:08.889 --> 00:16:09.630]  In America.
[00:16:38.789 --> 00:16:39.430]  We're good to go.
[00:16:42.597 --> 00:16:43.237]  Absolutely, Alex.
[00:16:43.257 --> 00:16:52.942]  You know, there's a group of pro-lifers who are very upset with John Boehner because he promised that he was going to pass a late-term abortion bill in January.
[00:16:52.962 --> 00:16:54.863]  Of course, he hasn't done that like he hasn't done anything else.
[00:16:54.883 --> 00:16:56.043]  So they're going to Capitol Hill.
[00:16:56.483 --> 00:16:58.304]  They said they're going to sit at his office.
[00:16:58.344 --> 00:16:59.705]  They're going to get arrested, whatever.
[00:17:00.245 --> 00:17:02.266]  People need to get upset about these issues.
[00:17:02.326 --> 00:17:04.027]  And of course, that's a key issue.
[00:17:04.187 --> 00:17:06.708]  So is the takedown of the Second Amendment.
[00:17:07.288 --> 00:17:10.950]  My take on this was positive yesterday because
[00:17:11.610 --> 00:17:16.735]  Alex, we see so many different bureaucracies that are trying to expand their territory.
[00:17:16.755 --> 00:17:18.656]  Look at the FCC going over the internet.
[00:17:19.237 --> 00:17:20.898]  There's power grabbing by different agencies.
[00:17:21.058 --> 00:17:21.539]  Absolutely.
[00:17:21.619 --> 00:17:31.728]  Anthony Gucciardi talked about how the FTC, the Federal Trade Commission, is trying to extend its authority over the internet by going through the ad portals, essentially.
[00:17:32.208 --> 00:17:37.252]  And so we see all these organizations, these bureaucracies that exist permanently.
[00:17:37.572 --> 00:17:39.073]  They're not elected by the people.
[00:17:39.113 --> 00:17:40.434]  They're not accountable to the people.
[00:17:40.714 --> 00:17:42.555]  And so we have absolutely no control.
[00:17:42.836 --> 00:17:48.419]  We can have a comment period where we can send them our comments about their proposed legislation.
[00:17:48.439 --> 00:17:49.820]  They don't have to listen to us.
[00:17:49.940 --> 00:17:51.642]  If they don't listen to us, there's nothing we can do.
[00:17:51.702 --> 00:17:53.183]  If you look at what the FCC just did,
[00:17:53.683 --> 00:17:56.724]  They just passed this legislation without even having no comment.
[00:17:56.984 --> 00:17:57.644]  Nobody can see it.
[00:17:57.724 --> 00:18:01.566]  Not even the congressmen have seen it a week after they've passed this.
[00:18:01.606 --> 00:18:08.408]  So, when I looked at this and said, when he said, let's eliminate the ATF, my first reaction was, absolutely.
[00:18:08.428 --> 00:18:09.969]  That's what I would do if I was there.
[00:18:10.029 --> 00:18:11.049]  I would go on the offensive.
[00:18:11.109 --> 00:18:16.491]  I would say, let's shut down these bureaucracies that have metastasized into their own little separate empires.
[00:18:17.529 --> 00:18:23.495]  I think the only positive thing that would come out of this, he's going to move the functionality, as you pointed out, to the FBI, to the DEA.
[00:18:23.995 --> 00:18:26.037]  It could be more ruthlessly enforced.
[00:18:26.578 --> 00:18:29.080]  And we know, of course, that the FBI has set people up with false flags.
[00:18:29.100 --> 00:18:30.482]  We just talked to Barrett Brown yesterday.
[00:18:31.431 --> 00:18:37.014]  About how the FBI brought all kinds of false charges against him, misconstrued Twitter statements that he'd made.
[00:18:37.274 --> 00:18:40.556]  He said, we no longer have a rule of law, we have a rule of law enforcement.
[00:18:40.996 --> 00:18:42.277]  And of course, that would continue.
[00:18:42.937 --> 00:18:54.624]  But on the other hand, we would get rid of this upper echelon of ATF management that's been responsible for Fast and Furious, that is working with Obama to create a situation where they totally bypass this.
[00:18:54.904 --> 00:18:55.184]  Absolutely.
[00:18:55.204 --> 00:19:00.027]  Neuter Congress and neuter the Second Amendment by going after ammunition, and Obama has been going after ammunition
[00:19:00.367 --> 00:19:02.269]  From the very beginning, and that's the serious point.
[00:19:21.784 --> 00:19:23.886]  People put on a no-fly list to be able to buy guns.
[00:19:24.206 --> 00:19:25.227]  No judge, no jury.
[00:19:25.247 --> 00:19:30.112]  So we're going to this extrajudicial system, whether it's the internet or whether it's borders.
[00:19:31.032 --> 00:19:34.035]  We are moving to a completely dictatorial model.
[00:19:34.075 --> 00:19:37.819]  The good news is Hillary Clinton may not be able to survive what's happening.
[00:19:38.479 --> 00:19:40.921]  The sense is the people are very angry, very upset.
[00:19:41.221 --> 00:19:44.523]  The worm is politically turning, not just here, but all over the world.
[00:19:44.543 --> 00:19:50.968]  But I totally agree with you, David, that this is a very important time for everyone to be aware of what's happening and to get aggressive.
[00:19:51.168 --> 00:19:52.089]  And let's expand on that.
[00:19:52.649 --> 00:20:03.437]  When the Republicans didn't have a majority in the Senate, but they had a smaller majority in the House last year, 2014, they were able to pass a partial birth abortion ban in the House.
[00:20:03.717 --> 00:20:04.477]  The Senate killed it.
[00:20:04.718 --> 00:20:06.339]  Now we have the Senate, have the House.
[00:20:06.779 --> 00:20:07.780]  They have no excuse.
[00:20:08.260 --> 00:20:13.464]  It's no secret that government and big business buy in bulk and get huge discounts not available to the little guy.
[00:20:13.804 --> 00:20:14.365]  Until now.
[00:20:14.965 --> 00:20:20.849]  Introducing a breakthrough crowd-buying website where people can join together, buy in bulk, and get massive discounts on millions of popular products.
[00:20:21.210 --> 00:20:22.531]  It's TogetherSave.com.
[00:20:22.551 --> 00:20:23.712]  TogetherSave.com.
[00:20:23.792 --> 00:20:30.817]  You can save 20, 30, or even 50% off tablets, smartphones, cars, appliances, textbooks, sports equipment, video games, and much more.
[00:20:31.097 --> 00:20:31.918]  All with free delivery.
[00:20:32.238 --> 00:20:32.778]  Check it out.
[00:20:32.979 --> 00:20:34.019]  TogetherSave.com.
[00:20:34.119 --> 00:20:37.022]  Visit now and start group buying today at TogetherSave.com.
[00:20:38.746 --> 00:20:39.486]  Hey, Boomer!
[00:20:39.726 --> 00:20:43.067]  I learned in school today that 60% of our bodies are made of water.
[00:20:43.167 --> 00:20:44.747]  Good thing we have the Berkey system.
[00:20:44.847 --> 00:20:46.607]  It's the cleanest, best water ever.
[00:20:46.787 --> 00:20:52.288]  Mom says it's because the Berkey filtration system cleans out the bad stuff and leaves only pure, delicious water.
[00:20:52.628 --> 00:20:53.389]  I know, right?
[00:20:53.469 --> 00:20:54.409]  You love it, too!
[00:20:54.769 --> 00:20:56.089]  Yeah, I'm thirsty, too.
[00:20:56.209 --> 00:20:57.109]  Let's go get some!
[00:20:57.249 --> 00:20:58.930]  Get Berkey clean water by calling 877-886-3653.
[00:20:58.990 --> 00:20:59.270]  That's 877-886-3653.
[00:20:59.330 --> 00:21:00.210]  Or visit GoBerkey.com.
[00:21:07.699 --> 00:21:10.301]  It's time to kick some ash.
[00:21:10.741 --> 00:21:13.103]  Because cigarettes have met their match.
[00:21:13.263 --> 00:21:15.885]  Smokers are switching to Vapriate e-liquid by Le Cig.
[00:21:15.965 --> 00:21:19.227]  Because when you kick ash, you kick tar and smelly smoke, too.
[00:21:19.587 --> 00:21:27.533]  Le Cig smokes to competition with real people customer service, a seven-day satisfaction guarantee, and same-day fast free shipping.
[00:21:27.753 --> 00:21:30.415]  Become a vapor today at lecig.com.
[00:21:30.675 --> 00:21:33.257]  Spelled L-E-C-I-G dot com.
[00:21:33.477 --> 00:21:34.818]  Le Cig e-cigarettes.
[00:21:35.078 --> 00:21:35.979]  Kick some ash.
[00:21:37.287 --> 00:21:38.628]  Attention Alex Jones listeners.
[00:21:38.768 --> 00:21:46.213]  When you're on the road or have limited data or Wi-Fi, now you can listen to Alex Jones unfiltered and untapped at no extra charge on this non-federal phone number.
[00:21:46.233 --> 00:21:46.953]  1-605-562-5136.
[00:21:47.454 --> 00:21:52.717]  Try it now to listen to Alex Jones 24-7 at no extra cost or data charges.
[00:21:52.817 --> 00:21:54.078]  These are not on federal lines.
[00:21:54.258 --> 00:21:56.800]  These are lines located on Indian reservations off the grid.
[00:21:56.920 --> 00:21:58.081]  Call 1-605-562-5136.
[00:21:58.461 --> 00:22:01.323]  No smartphones or internet needed.
[00:22:01.463 --> 00:22:04.025]  To hear Alex Jones untapped and off the grid, just call 1-605-562-5136.
[00:22:07.507 --> 00:22:16.300]  As the New World Order continues to tighten its grip on every facet of our lives, we're all asking ourselves, how can we maintain our independence?
[00:22:17.121 --> 00:22:18.202]  The answer is clear.
[00:22:18.683 --> 00:22:20.666]  Get prepared and you get prepared now.
[00:22:21.266 --> 00:22:23.830]  Now the only question left is where do we begin?
[00:22:24.711 --> 00:22:26.512]  My Patreon supply is here to help.
[00:22:26.953 --> 00:22:33.797]  Call 800-247-3070 to get started with your 72-hour emergency food supply for only $10.
[00:22:33.837 --> 00:22:36.759]  We're even covering the cost of shipping.
[00:22:37.320 --> 00:22:41.542]  Are you willing to rely on the government and FEMA in the event of an emergency?
[00:22:42.483 --> 00:22:49.188]  Call 800-274-3070 to get started with your 72-hour emergency food supply for only $10.
[00:22:50.429 --> 00:22:55.813]  You won't be able to find this deal online, and there is a strict limit of 4 per caller, so don't wait!
[00:22:56.093 --> 00:22:56.453]  Call now!
[00:22:56.473 --> 00:22:56.513]  800-274-3070.
[00:22:56.533 --> 00:22:56.814]  That's 800-274-3070.
[00:22:56.834 --> 00:22:57.214]  Call right now!
[00:23:06.943 --> 00:23:13.145]  Usually the older one gets, the less you are able to absorb amino acids and the less you are able to repair the 100 trillion cells of your body.
[00:23:13.705 --> 00:23:17.466]  As a result, you'll have less energy, your tissues will shrink, and you'll become wrinkled.
[00:23:18.086 --> 00:23:21.047]  An older person will typically injure more easily and heal more slowly.
[00:23:21.588 --> 00:23:22.188]  Not fun!
[00:23:22.728 --> 00:23:30.530]  However, if you can consume a protein powder that is easier to absorb, then you may be able to gain back some strength, muscle, and speed of recovery.
[00:23:31.110 --> 00:23:35.892]  One World Whey is a highly digestible whey protein powder that may be the perfect answer for you.
[00:23:36.212 --> 00:23:37.032]  My name is Errol.
[00:23:37.373 --> 00:23:38.713]  I'm 74 years old.
[00:23:38.914 --> 00:23:41.315]  You know, the taste of One World Whey is amazing.
[00:23:41.495 --> 00:23:48.959]  I play pickleball, and since taking One World Whey and your Trace Mineral Supplement, I have more energy and recover faster from my working out.
[00:23:49.339 --> 00:23:55.403]  I used to take another grass-fed whey protein powder, but now I'm getting much better results using One World Whey.
[00:23:55.643 --> 00:23:55.923]  Call 888-988-3325.
[00:23:55.943 --> 00:23:56.303]  That's 888-988-3325.
[00:23:56.323 --> 00:23:57.404]  Or visit OneWorldWhey.com.
[00:24:19.233 --> 00:24:32.636]  I'm Alex Jones coming to you from the road.
[00:24:32.656 --> 00:24:39.077]  We've got David Knight, InfoWars Natalie News Anchor, co-hosting the broadcast with us from Austin, Texas.
[00:24:40.057 --> 00:24:43.878]  And I'm really glad that David brought up
[00:24:45.069 --> 00:24:58.331]  In conjunction with this whole Second Amendment story, this whole Second Amendment move, I mean it's really happening, that at the same time the Republicans had the votes in the House and Senate.
[00:24:59.440 --> 00:25:02.302]  And could have banned partial birth abortion, but didn't do it.
[00:25:02.762 --> 00:25:04.524]  They could repeal Obamacare.
[00:25:04.564 --> 00:25:05.945]  They won't even change any of it.
[00:25:06.385 --> 00:25:07.646]  They could control our borders.
[00:25:07.686 --> 00:25:08.426]  They won't do it.
[00:25:08.487 --> 00:25:17.953]  Last week they sent Obama, during Netanyahu's speech, an admitted distraction now, the blank check to just do whatever he wants with Homeland Security, no strings attached.
[00:25:18.173 --> 00:25:20.115]  Because Congress passes the money and says what it's for.
[00:25:20.495 --> 00:25:21.276]  But you say, you know what?
[00:25:21.576 --> 00:25:22.617]  Here's a blank check, baby.
[00:25:23.924 --> 00:25:25.666]  Here's over a hundred billion dollars.
[00:25:25.747 --> 00:25:27.308]  Just do whatever you want, have fun.
[00:25:28.009 --> 00:25:29.010]  It's all yours.
