[00:00:11.886 --> 00:00:12.446]  Good afternoon.
[00:06:02.895 --> 00:06:04.517]  Here we go, folks, I'm being assaulted!
[00:06:04.557 --> 00:06:10.781]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:06:10.901 --> 00:06:16.806]  Is this another false flag stage attack to take our civil liberties and put more homeless security by sticking their hands down on the streets?
[00:06:16.946 --> 00:06:20.708]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:06:20.908 --> 00:06:23.810]  And that's what PrisonPlanet.TV is designed to do.
[00:06:23.990 --> 00:06:31.995]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:06:32.255 --> 00:06:34.316]  What we see now is a war against reality.
[00:06:34.356 --> 00:06:35.397]  It's a war against the truth.
[00:06:35.757 --> 00:06:44.509]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:06:44.729 --> 00:06:47.152]  Visit InfoWarsNews.com today.
[00:06:47.373 --> 00:06:51.679]  Become a member, share your membership, and help take the info war to the next level.
