[00:00:13.487 --> 00:00:15.388]  Joe Biggs here with Infowars.com.
[00:05:23.038 --> 00:05:24.218]  The VA's Data Center!
[00:05:25.319 --> 00:05:44.426]  I mean that's something that literally makes my blood boil to know that we're going to put some artificial intelligent computer in there that's not really intelligent because in order to have intelligence I think you also have to have a bit of human emotion as well to be able to make good sound decisions when regarding people's lives.
[00:05:45.126 --> 00:05:49.149]  Now, what they want to use this for is to help treat PTSD patients.
[00:05:49.569 --> 00:05:58.495]  Now, I'm pretty sure IBM Watson never deployed to Iraq, Afghanistan, Vietnam, Korea, Panama, wherever, ever.
[00:05:59.436 --> 00:06:04.920]  I doubt that very much, but what I do know about IBM Watson, I'm going to tell you in this upcoming report.
[00:06:05.080 --> 00:06:07.321]  Focus, and three, two, one.
[00:06:11.038 --> 00:06:14.039]  Tonight, IBM, friend or foe?
[00:06:14.979 --> 00:06:24.543]  IBM has been announced as the winner of a long-term VA contract to modernize the electronic health records management system for the embattled VA.
[00:06:25.123 --> 00:06:32.526]  IBM will utilize the latest technology to provide up-to-the-minute care for veterans all across this great country.
[00:06:33.086 --> 00:06:34.468]  The VA released a statement.
[00:06:34.748 --> 00:06:49.309]  We are serious about the health of our nation's heroes and are sparing no expense to update, modernize, and create an efficient system to diagnose and provide real-time health care solutions for those who have served our country.
[00:06:49.830 --> 00:07:04.360]  We thank IBM, a company that has a long history providing cutting-edge information technology solutions, for stepping in and providing leadership and experience that will be valuable to our country and save taxpayers money.
[00:07:05.981 --> 00:07:06.341]  Hold on.
[00:07:07.322 --> 00:07:08.202]  This isn't who we are.
[00:07:09.523 --> 00:07:09.683]  No.
[00:07:10.124 --> 00:07:11.745]  Give me those freaking cue cards, man!
[00:07:14.480 --> 00:07:14.880]  You know what?
[00:07:15.621 --> 00:07:16.521]  You know what's going to happen with this?
[00:07:16.541 --> 00:07:20.603]  You know what the implications are of this Watson program that's going to come up?
[00:07:21.444 --> 00:07:32.430]  It's a computer that they're going to use to replace the doctors at the VA, to do the death panels that have been going on, to help take away human emotion from making those decisions.
[00:07:32.830 --> 00:07:34.411]  This is something that's got to change.
[00:07:34.671 --> 00:07:40.635]  This is ridiculous, and I'm Joe Biggs with InfoWars.com, and I'm not going to f***ing take it anymore.
[00:07:42.543 --> 00:07:46.164]  I'm standing outside of the Veterans Affairs Center in Austin, Texas.
[00:07:46.644 --> 00:07:51.765]  This will be the proving ground for IBM's brand new technology, Watson.
[00:07:52.025 --> 00:07:59.447]  Now what that is, is a supercomputer that will have all of your medical records, admin records, and many other things downloaded into it.
[00:07:59.787 --> 00:08:06.168]  They want to use this machine to replace the doctors that have had death panels going on at the VA for years now.
[00:08:06.608 --> 00:08:12.610]  Newly released documents expose more explicitly the details of IBM's pivotal role in the Holocaust.
[00:08:13.171 --> 00:08:21.894]  All six phases, identification, expulsion from society, confiscation, ghettoization, deportation, and even extermination.
[00:08:22.674 --> 00:08:36.519]  Moreover, the documents portray with crystal clarity the personal involvement and micromanagement of IBM President Thomas J. Watson and the company's co-planning and co-organizing of Hitler's campaign to destroy the Jews.
[00:08:37.240 --> 00:08:48.344]  Why is the Department of Veterans Affairs awarding IBM with a large contract to bring in Watson, a new technology that will be used to replace doctors in an already failing VA health system?
[00:08:49.264 --> 00:08:53.829]  Why are they naming it after Thomas J. Watson, the founder and president of IBM?
[00:08:54.210 --> 00:09:03.179]  Did you know this man was responsible for making the machines that created punch cards with a coding system to label and eventually kill thousands of Jews?
[00:09:03.640 --> 00:09:08.806]  This machine would generate codes to be tattooed on prisoners in Hitler's concentration camps.
[00:09:09.286 --> 00:09:16.559]  This man committed genocide by any standard and IBM and the VA want to throw it in our face clear as day and name it after that monster.
[00:09:16.879 --> 00:09:19.063]  If this doesn't piss you off, I don't know what will.
[00:09:20.063 --> 00:09:30.825]  Hitler was so impressed with what Watson had done for the Third Reich that he awarded him with a special award, created specifically for the occasion, to honor extraordinary service by a foreigner.
[00:09:31.425 --> 00:09:39.307]  The medal was the Order of the German Eagle with Star, bedecked with swastikas, and was to be worn on a sash over Watson's cold, dead heart.
[00:09:39.487 --> 00:09:42.588]  Why do they want to put a machine in charge of your health, you might ask yourself?
[00:09:43.513 --> 00:09:54.022]  They do it so this pre-programmed evil robot can make the life or death decisions about you, the veteran, instead of the doctors that have received so much flack from the VA scandal over the last year.
[00:09:54.623 --> 00:10:02.430]  This helps take human emotions away and also allows the medical personnel to use Watson as a scapegoat should any problems arise, like death.
[00:10:03.393 --> 00:10:09.919]  Watson will be a new form of medical AI technology used to run the death panels already in place at the VA.
[00:10:10.360 --> 00:10:14.443]  How soon will it be until this technology moves over into civilian healthcare?
[00:10:14.724 --> 00:10:16.545]  Will you be a victim of Watson's wrath?
[00:10:17.286 --> 00:10:20.009]  This is also happening in another area of the government.
[00:10:20.409 --> 00:10:25.234]  They now want to replace humans that fly drones and make them fully autonomous.
[00:10:25.874 --> 00:10:28.096]  And many pilots were also claiming PTSD.
[00:10:28.897 --> 00:10:33.901]  Once you take the human aspect out of dealing with healthcare and war, things become even more evil.
[00:10:34.041 --> 00:10:37.724]  Who is going to check the morals of the men and women who program these machines?
[00:10:38.164 --> 00:10:42.388]  How do we know the machines will be told to act ethical and make the right decisions?
[00:10:43.068 --> 00:10:43.669]  Well, there you have it.
[00:10:43.689 --> 00:10:49.714]  That is the new Watson technology that's going to run the death panels at the already failing VA healthcare system.
[00:10:50.034 --> 00:10:54.738]  Now I have a vision of how this Watson technology will be implemented when you walk into the VA.
[00:10:55.018 --> 00:10:56.299]  Let's go in here and take a look.
[00:11:05.385 --> 00:11:05.665]  Next.
[00:11:06.466 --> 00:11:12.729]  What's going on?
[00:11:12.749 --> 00:11:13.369]  Alright, ride on.
[00:11:13.389 --> 00:11:25.575]  Alright, uh, Watson has determined you need to step into the medical chamber.
[00:11:26.136 --> 00:11:26.876]  So, uh, go ahead.
[00:11:49.884 --> 00:11:50.134]  Next!
