[00:00:00.563 --> 00:00:01.823]  What's his name?
[00:10:03.197 --> 00:10:04.737]  A foot of water.
[00:10:04.737 --> 00:10:10.539]  So the Texas drought has been officially over since the last flood, but it's really on right now.
[00:10:10.539 --> 00:10:14.560]  And of course, many areas of the country are also being hit by massive amounts of rain.
[00:10:14.560 --> 00:10:16.380]  And they're saying this is climate change.
[00:10:16.380 --> 00:10:17.020]  And yes, it is.
[00:10:17.020 --> 00:10:20.541]  It's just not man-made.
[00:10:20.541 --> 00:10:23.962]  Or man-made influences are less than 1%.
[00:10:23.962 --> 00:10:31.324]  Almost every major study from NASA, astrophysicists, meteorologists shows that.
[00:10:31.324 --> 00:10:32.484]  Change is constant.
[00:10:33.735 --> 00:10:39.436]  First they said there was going to be global freezing by the 80s and the 60s.
[00:10:39.436 --> 00:10:40.797]  Club of Rome, the UN.
[00:10:40.797 --> 00:10:52.999]  We need global taxes to manipulate the different human outputs to cause warming to stop the freezing.
[00:10:52.999 --> 00:11:01.421]  And that was more reasonable because we know there's 10,000 year cycles and we were pretty much set by about this time to start going into a cold cycle.
[00:11:04.036 --> 00:11:08.579]  They were growing grapes 3,000 years ago in Scotland and making wine.
[00:11:08.579 --> 00:11:12.342]  They had been doing that a long time.
[00:11:12.342 --> 00:11:20.428]  So, it's been actually cooling, a lot of studies show, in the long term, about thousands of years.
[00:11:20.428 --> 00:11:24.611]  Not, oh, it was hotter in the 70s and 80s and 90s and now it's going to get cooler.
[00:11:24.611 --> 00:11:26.773]  Not the many cycles, but in the larger cycles.
[00:11:29.124 --> 00:11:31.125]  But the sun is the main driver of climate.
[00:11:31.125 --> 00:11:35.006]  I don't care if the UN passes resolutions saying it doesn't affect climate.
[00:11:35.006 --> 00:11:36.087]  It's the main driver.
[00:11:36.087 --> 00:11:38.608]  And the only thing that's constant is change.
[00:11:38.608 --> 00:11:41.489]  So first it's freezing, global cooling.
[00:11:41.489 --> 00:11:44.350]  Then by the late 80s it's global warming.
[00:11:44.350 --> 00:11:47.952]  Because we were in a little warming uptick.
[00:11:48.846 --> 00:11:50.487]  In the larger cycle.
[00:11:50.487 --> 00:12:00.452]  And then when it started cooling again in the last 15 years, first the increase in temperature slowed, then it stopped, now it's been declining for about a decade.
[00:12:00.452 --> 00:12:03.194]  That's numbers across the world, on average.
[00:12:03.194 --> 00:12:12.139]  But there's some record high temps, some record low temps, always in all the little micro-climates around the world.
[00:12:12.139 --> 00:12:16.261]  So now they just say, you know what, we can't lose if we say climate change.
[00:12:19.008 --> 00:12:38.119]  With all the huge news I've got today, I open up with that because Vladimir Putin has come out in a speech and in a Politburo statement that we have linked on Infowars.com, red-linked, because this is such a big deal.
[00:12:38.119 --> 00:12:42.902]  Putin, anthropogenic climate change is a geostrategic weapon.
[00:12:43.834 --> 00:12:52.219]  Globalists want to undermine Russia's thriving energy sector and every other country's energy sector or private energy sector not controlled by the globalists.
[00:12:52.219 --> 00:12:55.201]  And Putin 100% hits the nail on the head.
[00:12:55.201 --> 00:12:57.983]  No other major political leader will do this.
[00:12:57.983 --> 00:13:02.806]  Russia have been even going along with the fraud, but now they're breaking with the globalists on every front.
[00:13:04.906 --> 00:13:12.308]  And that's why it's good to have division and national sovereignty because it creates natural firewalls to tyranny.
[00:13:12.308 --> 00:13:18.311]  You don't want one ring to rule them all.
[00:13:18.311 --> 00:13:24.513]  One ring to find them and in the darkness basically bind them.
[00:13:24.513 --> 00:13:34.316]  Because then there's no checks and balances, there's nowhere to flee, there's no one to say no, there's no opposition, there's no diversity, there's total centralization.
[00:13:36.977 --> 00:13:37.738]  So, we'll see.
[00:13:37.738 --> 00:13:39.019]  We're going to call Leanne right now.
[00:13:39.019 --> 00:13:43.224]  I meant to tell you guys to do that and see if she's going to be able to make it in.
[00:13:43.224 --> 00:13:49.011]  A lot of folks are not here and that's because a lot of roads are closed and it is dangerous getting here.
[00:13:49.011 --> 00:13:51.935]  So, if folks choose not to come in, that's fine.
[00:13:51.935 --> 00:13:55.880]  Folks are here to run the critical infrastructure and I'm obviously here to broadcast.
[00:13:58.263 --> 00:14:04.207]  Host today, regardless, but there is climate change taking place right now.
[00:14:04.207 --> 00:14:15.654]  You can read Texas settlers accounts in the 1830s of rivers hundreds of feet out of their banks and then how two years later it wouldn't rain more than a couple times.
[00:14:15.654 --> 00:14:17.976]  That's what Texas weather does.
[00:14:17.976 --> 00:14:22.018]  That's why the west of Texas is a arid desert.
[00:14:22.018 --> 00:14:24.780]  The central area is a mix of scrub brush and
[00:14:26.323 --> 00:14:33.788]  Live oaks and the east resembles a jungle in many areas with 200-foot pine trees.
[00:14:33.788 --> 00:14:36.390]  This is the diversity of the climate.
[00:14:36.390 --> 00:14:39.612]  That's why we have such a diverse climate and topography.
[00:14:39.612 --> 00:14:48.278]  It's because Texas is so large and is affected by weather from the north, weather from the south, weather from the gulf, weather from the east.
[00:14:48.278 --> 00:14:49.559]  But they're on the news this morning.
[00:14:50.819 --> 00:14:59.907]  Watching television this morning while I was exercising saying, local leaders are saying this is why we need to move forward with initiatives to tackle climate change.
[00:14:59.907 --> 00:15:02.730]  Today's rain!
[00:15:02.730 --> 00:15:08.475]  It's like voodoo, like telling the villagers, do what the witch doctor says or the sun won't come back tomorrow.
[00:15:13.188 --> 00:15:18.234]  Ted Cruz, of course, came out during the debate and said, climate change is not science, it is religion.
[00:15:18.234 --> 00:15:24.681]  And speaking of that, I want to play a few minutes of the disgusting questions from the debate.
[00:15:24.681 --> 00:15:31.128]  We played a lot of these yesterday, but this is the twisted questions, the attack dog questions, the clearly biased questions.
[00:15:32.571 --> 00:15:55.518]  That were given by the three so-called journalistic panelists that were quizzing and interrogating the larger panel of Republican presidential first-tier adult table candidates, not the other kids table candidates that had their earlier debate as well.
[00:15:55.518 --> 00:15:57.659]  And then, budget buster!
[00:15:57.659 --> 00:16:00.880]  Senate passes debt and spending hike in dead of night.
[00:16:00.880 --> 00:16:01.500]  When don't they?
[00:16:03.550 --> 00:16:04.851]  China warns U.S.
[00:16:04.851 --> 00:16:09.913]  against minor incidents that could spark war, close quote.
[00:16:09.913 --> 00:16:11.094]  I mentioned this, but here it is.
[00:16:11.094 --> 00:16:18.798]  Putin, man-made climate change is a geo-strategic weapon against industrialized nations, absolutely.
[00:16:18.798 --> 00:16:21.619]  That is just some of what is coming up today.
[00:16:21.619 --> 00:16:23.720]  More on the political correctness front.
[00:16:23.720 --> 00:16:29.663]  Student accused of promoting gang culture for wearing American flag t-shirt.
[00:16:29.663 --> 00:16:31.765]  I've actually seen this flag sold in stores.
[00:16:31.765 --> 00:16:32.365]  I don't really like
[00:16:35.026 --> 00:16:40.190]  The California flag that much, but with the bear being an American flag, it looks pretty cool.
[00:16:40.190 --> 00:16:41.430]  And that has been banned.
[00:16:41.430 --> 00:16:42.751]  And this is happening all over the country.
[00:16:42.751 --> 00:16:44.613]  You say, oh, that's just a few extreme examples.
[00:16:44.613 --> 00:16:45.914]  No, it's not.
[00:16:45.914 --> 00:16:47.875]  Probably have 15 of these every day.
[00:16:47.875 --> 00:16:49.956]  Not wearing blackface this Halloween.
[00:16:49.956 --> 00:16:51.498]  This is not a joke, folks.
[00:16:51.498 --> 00:16:54.760]  North Carolina State worries you may be Hitler.
[00:16:57.011 --> 00:16:57.331]  I don't know.
[00:17:15.175 --> 00:17:17.616]  You are disparaging black slaves.
[00:17:17.616 --> 00:17:22.577]  They will appropriate all language and make it illegal for you to communicate.
[00:17:22.577 --> 00:17:23.978]  This is checkmate.
[00:17:23.978 --> 00:17:25.198]  This is Ingsoc.
[00:17:25.198 --> 00:17:27.259]  This is George Orwell's top warning.
[00:17:27.259 --> 00:17:28.719]  This is the real deal.
[00:17:28.719 --> 00:17:31.940]  Let's go to this compilation of the pieces.
[00:17:31.940 --> 00:17:38.142]  Live from the University of Colorado in Boulder, the Republican Presidential Debate.
[00:17:38.888 --> 00:18:00.861]  Mr. Trump, you've done very well in this campaign so far by promising to build a wall and make another country pay for it, send 11 million people out of the country, cut taxes $10 trillion without increasing the deficit, and make Americans better off because your greatness would replace the stupidity and incompetence of others.
[00:18:00.861 --> 00:18:01.481]  Let's be honest.
[00:18:03.471 --> 00:18:05.793]  Is this a comic book version of a presidential campaign?
[00:18:05.793 --> 00:18:06.673]  No, it's not a comic book.
[00:18:06.673 --> 00:18:10.135]  And it's not a very nicely asked question the way you say that.
[00:18:10.135 --> 00:18:12.937]  When they say you act like you hate your job, do you?
[00:18:12.937 --> 00:18:20.241]  This is another example of the double standard that exists in this country between the mainstream media and the conservative media.
[00:18:20.241 --> 00:18:26.105]  The questions that have been asked so far in this debate illustrate why the American people don't trust the media.
[00:18:30.987 --> 00:18:33.688]  This is not a cage match.
[00:18:33.688 --> 00:18:35.049]  And you look at the questions.
[00:18:35.049 --> 00:18:37.050]  Donald Trump, are you a comic book villain?
[00:18:37.050 --> 00:18:38.970]  Ben Carson, can you do math?
[00:18:38.970 --> 00:18:41.812]  John Kasich, will you insult two people over here?
[00:18:41.812 --> 00:18:43.892]  Marco Rubio, why don't you resign?
[00:18:43.892 --> 00:18:46.053]  Jeb Bush, why have your numbers fallen?
[00:18:46.053 --> 00:18:50.195]  How about talking about the substantive issues people care about?
[00:18:50.195 --> 00:18:56.558]  They paid $7 million to settle a deceptive marketing lawsuit in Texas, and yet your involvement continued.
[00:18:56.558 --> 00:18:56.738]  Why?
[00:18:57.873 --> 00:18:59.415]  Well, that's easy to answer.
[00:18:59.415 --> 00:19:01.116]  I didn't have an involvement with them.
[00:19:01.116 --> 00:19:02.698]  That is total propaganda.
[00:19:02.698 --> 00:19:06.821]  To be fair, you were on the homepage of their website with the logo over your shoulder.
[00:19:06.821 --> 00:19:10.265]  If somebody put me on their homepage, they did it without my permission.
[00:19:10.265 --> 00:19:13.828]  Does that not speak to your vetting process or judgment in any way?
[00:19:13.828 --> 00:19:20.174]  No, it speaks to the fact that I don't know that it's going on.
[00:19:20.174 --> 00:19:21.135]  See, they know.
[00:19:24.401 --> 00:19:29.323]  You have been very critical of Mark Zuckerberg of Facebook who has wanted to increase the number of these H1Bs?
[00:19:29.323 --> 00:19:31.484]  I was not at all critical of him.
[00:19:31.484 --> 00:19:36.606]  Where did I read this and come up with this that you were... Probably, I don't know, you people write this stuff, I don't know where you...
[00:19:39.346 --> 00:19:46.872]  Governor Huckabee, you've written about the huge divide in values between middle America and the big coastal cities like New York and Los Angeles.
[00:19:46.872 --> 00:19:53.297]  As a preacher as well as a politician, you know that presidents need the moral authority to bring the entire country together.
[00:19:53.297 --> 00:19:57.020]  Folks, we'll be back with more of Stay With Us.
[00:19:57.020 --> 00:19:57.761]  I'm Alex Jones.
[00:19:57.761 --> 00:19:58.542]  It's Friday.
[00:20:03.086 --> 00:20:07.727]  Earthquake, floods, winter storms, prolonged power outages, or war.
[00:20:07.727 --> 00:20:12.008]  Each of us have had that moment when we recognize that we need to be better prepared.
[00:20:12.008 --> 00:20:13.388]  We typically do the same thing.
[00:20:13.388 --> 00:20:16.408]  We start with food storage, then we address the need for water.
[00:20:16.408 --> 00:20:18.629]  But have you considered heat storage?
[00:20:18.629 --> 00:20:20.829]  I'm talking about staying warm in the cold.
[00:20:20.829 --> 00:20:23.109]  Here are some things for you to consider.
[00:20:23.109 --> 00:20:24.770]  How will I keep my family warm?
[00:20:24.770 --> 00:20:27.250]  The standard answers are firewood, coal, or propane.
[00:20:27.250 --> 00:20:31.311]  But the problem with that, if you need to be on the move, is you can't take it with you.
[00:20:32.131 --> 00:20:33.252]  Another concern?
[00:20:33.252 --> 00:20:37.235]  There may come a time when you need to stay warm without smoke, like in times of war.
[00:20:37.235 --> 00:20:39.817]  There may even come a time when you can't burn fuel.
[00:20:39.817 --> 00:20:43.800]  The answers may be simpler and less costly than you think.
[00:20:43.800 --> 00:20:46.602]  For these answers, go to FortressClothing.com.
[00:20:46.602 --> 00:20:51.246]  Again, FortressClothing.com has the answers to your heat storage dilemma.
[00:20:51.246 --> 00:20:53.267]  Don't get stuck in the cold.
[00:20:53.267 --> 00:20:54.909]  FortressClothing.com.
[00:20:54.909 --> 00:20:56.250]  You'll never be cold again.
[00:21:00.014 --> 00:21:01.635]  You can feel it in the air.
[00:21:01.635 --> 00:21:03.156]  Jack Frost is near.
[00:21:03.156 --> 00:21:08.018]  Seasons are changing, and it's time to start reinforcing your body's natural defenses.
[00:21:08.018 --> 00:21:15.463]  To help you get started, we're giving you 15% off the highly rated Ancient Defense Herbal Immunity Formula at InfoWarsLife.com.
[00:21:15.463 --> 00:21:16.483]  That's 15% off the already low
[00:21:18.444 --> 00:21:19.545]  $19.95 price.
[00:21:19.545 --> 00:21:30.232]  By using our proprietary processing technique, Ancient Defense combines the power of ancient wisdom and modern science with a hand-selected blend of more than 14 different herbs and extracts.
[00:21:30.232 --> 00:21:40.179]  With echinacea, elderberry, ginger root, peppermint leaf, and many others, it's easy to see why I take Ancient Defense during the fall and winter season and also give it to my children.
[00:21:40.179 --> 00:21:44.462]  Again, Ancient Defense at m4warslife.com is already very affordable.
[00:21:44.642 --> 00:21:52.207]  But for a limited time, you get an additional 15% off when you visit Infowarslife.com and start aiding your body in its natural defense.
[00:21:52.207 --> 00:21:54.829]  Visit Infowarslife.com or call toll free 888-253-3139.
[00:21:54.829 --> 00:21:55.389]  Ancient Defense.
[00:22:00.652 --> 00:22:02.213]  We've all heard the news stories.
[00:22:02.213 --> 00:22:03.334]  Another shooting.
[00:22:03.334 --> 00:22:05.055]  And they're getting worse.
[00:22:05.055 --> 00:22:08.618]  That's why Infidel Body Armor introduces Infidel Fridays.
[00:22:08.618 --> 00:22:13.622]  Exclusive 24-hour insider deals to save you money and possibly save your life.
[00:22:13.622 --> 00:22:16.925]  Make it a favorite when you log on to InfidelBodyArmor.com.
[00:22:16.925 --> 00:22:22.789]  Then be sure to visit each and every Infidel Friday to get special insider pricing, but for 24 hours only.
[00:22:22.789 --> 00:22:24.731]  That's InfidelBodyArmor.com.
[00:22:24.731 --> 00:22:27.453]  Infidel Body Armor just won't quit.
[00:22:29.358 --> 00:22:38.263]  Silver has always been nature's very own antibiotic, and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[00:22:38.263 --> 00:22:39.364]  Silver Lungs.
[00:22:39.364 --> 00:22:46.668]  With the addition of our unique lung delivery system, respiratory infections are targeted directly, where traditional oral administration simply cannot reach.
[00:22:46.668 --> 00:22:52.691]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[00:22:52.691 --> 00:22:56.834]  See the Silver Lungs generator and lung delivery system at SilverLungs.com.
[00:22:56.834 --> 00:22:58.555]  That's SilverLungs.com.
[00:22:59.295 --> 00:23:02.801]  You wouldn't go swimming with sharks without a cage, would you?
[00:23:02.801 --> 00:23:03.202]  Hey!
[00:23:03.202 --> 00:23:04.544]  Has anyone seen Larry?
[00:23:05.802 --> 00:23:10.304]  It's in our nature to protect ourselves, especially when protection is simple and affordable.
[00:23:10.304 --> 00:23:16.587]  That's why IDStronghold.com has been providing affordable RFID protection for over 10 years.
[00:23:16.587 --> 00:23:26.892]  IDStronghold wallets protect you from electronic pickpockets who pass near you with a scanner and steal your credit and debit card info, as well as data from other cards containing RFID chips.
[00:23:26.892 --> 00:23:35.156]  IDStronghold.com, the original maker of shielded wallets, is a technology company, so we understand how to best protect you against intrusive radio waves.
[00:23:35.436 --> 00:23:41.679]  ID Stronghold wallets are designed to block RFID signals, open or closed, no matter where on the wallet you put your cards.
[00:23:41.679 --> 00:23:47.881]  Most other RFID wallets on the market were designed with only fashion in mind and don't shield properly, if at all.
[00:23:47.881 --> 00:23:53.763]  If you're shopping for your next wallet, be sure to get the protection you deserve by going to idstronghold.com.
[00:23:53.763 --> 00:23:57.405]  Because getting anything else is like being the next victim in a Jaws movie.
[00:24:15.108 --> 00:24:18.811]  That's right, escape from the prison planet.
[00:24:18.811 --> 00:24:24.534]  Clutch bringing us in.
[00:24:24.534 --> 00:24:28.996]  50,000 unstoppable watts.
[00:24:28.996 --> 00:24:29.717]  Another great song.
[00:24:31.292 --> 00:24:43.375]  Let me go ahead and just go to Senator Rand Paul in a filibuster trying to stop the passage in the Senate of what already passed the House last night.
[00:24:43.375 --> 00:24:46.336]  144-page bill amounts to $558 million in spending per page.
[00:24:53.444 --> 00:24:54.405]  Budget buster.
[00:24:54.405 --> 00:24:59.130]  Senate passes debt and spending hike in the dead of the night.
[00:24:59.130 --> 00:25:02.673]  Democrats and Republicans working together.
[00:25:02.673 --> 00:25:09.099]  And this new language allows them to basically just keep expanding it without having to have these public votes for the next two years.
[00:25:12.679 --> 00:25:20.661]  So extremely draconian, very Weimar Republic, very Zimbabwe hyperinflation-ish.
[00:25:20.661 --> 00:25:24.942]  That's the flavor of where this is going and the smell of it as well.
[00:25:24.942 --> 00:25:27.163]  Obama wins!
[00:25:27.163 --> 00:25:27.623]  U.S.
[00:25:27.623 --> 00:25:31.224]  debt limit budget truce through end of presidency.
[00:25:32.185 --> 00:25:35.727]  And again, that's about a year and a half, and then it doesn't come back up for another six months.
[00:25:35.727 --> 00:25:38.048]  So that's two years, roughly.
[00:25:38.048 --> 00:25:38.288]  U.S.
[00:25:38.288 --> 00:25:52.855]  President Obama, early Friday, won congressional passage of legislation that lifted the threat of default on government debt through the end of his presidency and the budget blueprint, easing strict spending caps through September 2017.
[00:25:52.855 --> 00:25:57.938]  Easing the spending caps on our hemorrhaging country.
[00:25:57.938 --> 00:25:59.999]  It'll go well above $20 trillion now.
[00:26:01.564 --> 00:26:07.409]  But don't worry, we have that clip somewhere where Obama says, raising the debt limit doesn't raise the debt limit.
[00:26:07.409 --> 00:26:13.574]  And he sits there with a straight face like saying, sticking your finger in a light socket doesn't hurt.
[00:26:13.574 --> 00:26:17.337]  Or hammering your thumb with a hammer doesn't hurt.
[00:26:17.337 --> 00:26:19.299]  Or sticking your hand in a wood chipper feels good.
[00:26:19.299 --> 00:26:21.520]  It's good for you.
[00:26:21.520 --> 00:26:23.962]  And if you built your business, you didn't build it.
[00:26:23.962 --> 00:26:27.285]  And you can keep your doctor with Obamacare and it's free as well.
[00:26:27.285 --> 00:26:30.568]  And there are no penalties and there are no death panels, even though it's all admitted now.
[00:26:33.140 --> 00:26:37.483]  So this country's being maneuvered towards total bankruptcy by design.
[00:26:37.483 --> 00:26:45.367]  You see the dependency, you see the dumbing down, you see the entitled, arrogant masses of collectivists and their globalist masters.
[00:26:45.367 --> 00:26:48.629]  What a disgusting conflagration!
