[00:00:04.400 --> 00:00:07.581]  Who is Cy Hirsch and why does what he says matter?
[00:02:50.658 --> 00:03:09.061]  And who also is a high-level Council on Foreign Relations member was interviewed back in April of 2002 and said that Bin Laden was dead and that was on ice and that in the future he would be used at a politically expedient time to bolster the government in the eyes of the people.
[00:03:09.421 --> 00:03:11.001]  He died of Marfan syndrome.
[00:03:11.642 --> 00:03:12.282]  Bush Jr.
[00:03:12.302 --> 00:03:12.982]  knew about it.
[00:03:13.022 --> 00:03:14.922]  The intelligence community knew about it.
[00:03:15.022 --> 00:03:21.924]  CIA had already sent a position way before under the Clinton administration to see him at the American hospital in Dubai.
[00:03:22.424 --> 00:03:26.065]  He was already very sick from Marfan syndrome and he was already dying.
[00:03:26.185 --> 00:03:27.365]  So nobody had to kill him.
[00:03:27.505 --> 00:03:30.366]  He had Al-Zawahiri who was the physician with him.
[00:03:30.766 --> 00:03:32.087]  Who is still a physician.
[00:03:32.227 --> 00:03:33.267]  I don't know where he is.
[00:03:33.628 --> 00:03:35.489]  But we knew he was already dead by 9-11.
[00:03:35.669 --> 00:03:40.071]  It was very clear that he was dying at Tora Bora.
[00:03:40.131 --> 00:03:41.112]  He probably died.
[00:03:41.192 --> 00:03:44.754]  Tommy Franks, General, said accidentally that he died.
[00:03:50.930 --> 00:03:51.351]  I think so.
[00:04:08.772 --> 00:04:14.817]  Other questions also persist, such as why the narrative and timeline of the raid has changed multiple times.
[00:04:15.097 --> 00:04:23.645]  Why the White House initially claimed that situation room photos showed Obama watching the raid live when in fact there was a blackout on the live feed.
[00:04:24.025 --> 00:04:34.874]  And why neighbors in the immediate area surrounding the compound said with absolute certainty that they had never seen Bin Laden and that they knew of no evidence whatsoever to suggest he lived there.
[00:04:35.094 --> 00:04:39.435]  You know that if somebody new comes in your street, in your area, you always know.
[00:04:39.855 --> 00:04:42.756]  The next house is my other house, which I rented to my cousin friend.
[00:04:43.336 --> 00:04:46.037]  I never seen anything like that, and that's why I can't believe that.
[00:04:46.517 --> 00:04:48.238]  And to be honest, it's not true.
[00:04:48.698 --> 00:04:56.180]  Osama, maybe some other people, but Osama is not a, you know, the bird who came, fly, went to the inside, because this is restricted area.
[00:04:56.880 --> 00:05:01.782]  When we came out from outside to come here to, always army will say, where's your ID card?
[00:05:02.102 --> 00:05:02.863]  So it's not believed.
[00:05:02.883 --> 00:05:13.850]  They were pounding Pakistani civilians and poor hapless villagers there with their drone attacks, with the hell fires and with their Reaper missiles.
[00:05:14.410 --> 00:05:25.398]  So they have caused something like 2,500 casualties when the man that they were hunting was actually hiding in one of the urban centers of Pakistan.
[00:05:25.438 --> 00:05:25.798]  Now this is
[00:05:26.338 --> 00:05:41.373]  Well, Mark, if you want to believe what I call a Lewis Carroll fairy tale, that Bin Laden, who the most hunted man since 2002 in the world, decided the one safe place to live is in a compound 40 miles from the main capital of Pakistan.
[00:05:41.573 --> 00:05:42.834]  I'm sorry it goes against the grain.
[00:05:42.874 --> 00:05:47.259]  I've been doing this all my life, you know, and all I can tell you is I understand the consequences.
[00:05:47.279 --> 00:05:49.561]  I've been a reporter, as you know, for 50 years in this town.
[00:05:49.861 --> 00:05:53.565]  Not everything turns out the way you think it's going to turn out also, even in your own career.
[00:05:53.585 --> 00:05:58.510]  I mean... I would argue that a lot of the stories I wrote pretty much were pretty much on mark.
[00:06:08.579 --> 00:06:14.585]  What do you think about the FBI saying that there's a terror alert on Monday about a potential forklift situation?
[00:06:14.605 --> 00:06:17.968]  The police are shoving people, shoving Alex, shoving the crowd.
[00:06:18.048 --> 00:06:19.670]  Here we go folks, I'm being assaulted!
[00:06:19.710 --> 00:06:25.916]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:06:26.056 --> 00:06:31.942]  Is this another false flag stage attack to take our civil liberties and put more homeless security by sticking their hands down on the streets?
[00:06:32.102 --> 00:06:35.844]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:06:36.045 --> 00:06:38.946]  And that's what PrisonPlanet.TV is designed to do.
[00:06:38.966 --> 00:06:47.132]  If you watch, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:06:47.412 --> 00:06:49.453]  What we see now is a war against reality.
[00:06:49.513 --> 00:06:50.554]  It's a war against the truth.
[00:06:50.914 --> 00:06:59.663]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:06:59.863 --> 00:07:02.305]  Visit InfoWarsNews.com today.
[00:07:02.525 --> 00:07:06.830]  Become a member, share your membership, and help take the info war to the next level.
