[00:00:08.345 --> 00:00:12.428]  Much research points to the widespread existence of unconscious bias.
[00:09:15.829 --> 00:09:25.031]  And if you go back 20 years ago, I weighed 180 pounds, I jogged 6 miles every other day, I lifted weights 5 days a week, I could swim 2-3 miles.
[00:09:25.771 --> 00:09:28.652]  Then I discovered the New World Order, the globalists, their agenda.
[00:09:29.632 --> 00:09:31.193]  I started an access television show.
[00:09:31.634 --> 00:09:35.016]  Shortly after that, I was able to get a local radio show.
[00:09:35.496 --> 00:09:40.320]  I was so dedicated to my work, and hanging around with radio guys, that I began drinking.
[00:09:40.900 --> 00:09:43.782]  I began smoking cigars, and then even cigarettes.
[00:09:44.223 --> 00:09:49.927]  I transformed from looking like a white Bruce Lee, to looking like a Jabba the Hutt.
[00:09:51.141 --> 00:09:58.367]  It was my friend Tommy Pallotta, a film producer, he said, Alex, you're killing yourself not caring about your body.
[00:09:58.667 --> 00:10:00.609]  You're going to end up having a heart attack when you're 50 years old.
[00:10:00.909 --> 00:10:01.650]  You got to stop.
[00:10:02.030 --> 00:10:06.975]  And so I began a journey five years ago to shed the almost 100 pounds.
[00:10:07.375 --> 00:10:09.797]  The first three years I lost about 25 pounds.
[00:10:10.257 --> 00:10:11.258]  It was super hard.
[00:10:11.619 --> 00:10:16.523]  I started taking super male vitality and saw dramatic results in just a few weeks.
[00:10:16.843 --> 00:10:24.189]  When I added to the mix the key products developed by Dr. Group for Infowarslife.com, the results were incredible.
[00:10:24.630 --> 00:10:30.595]  The problem was, though, I'd never been a vitamin and mineral and supplement taker before, so I kept forgetting to do it.
[00:10:30.915 --> 00:10:35.299]  Just a month and a half ago, I asked the crew to take a photo of me in the same lighting
[00:10:35.959 --> 00:10:45.966]  To see what I could do in just a month and a half by taking the Oxy Powder, by taking the Survival Shield X2, and the other InfoWarsLife.com products, to see if it accelerated it.
[00:10:46.426 --> 00:10:46.986]  And it did.
[00:10:47.387 --> 00:10:49.768]  This is what happened in just 45 days.
[00:10:49.808 --> 00:11:02.757]  We took this photo back there in the back office, and I'd already lost a lot of weight, but I lost another 6 pounds with the Oxy Powder and the other products at InfoWarsLife.com, and this photo was just taken a few days ago.
[00:11:03.991 --> 00:11:06.092]  And it wasn't just the acceleration of weight loss.
[00:11:06.393 --> 00:11:11.136]  My muscle mass increased along with my stamina and overall energy and libido.
[00:11:12.128 --> 00:11:16.750]  Take the Infowarslife.com challenge today and transform your body.
[00:11:17.150 --> 00:11:19.851]  I'm getting back to where I was 20 years ago.
[00:11:20.071 --> 00:11:25.052]  We've got to get our temple straight before we can go out and fight the globalists, and that's what these products have helped me do.
[00:11:25.353 --> 00:11:28.834]  Check them out today at Infowarslife.com, or give our crew a call.
[00:11:29.014 --> 00:11:31.975]  They can answer all your questions or tell you about any of the specials at 888-253-3139.
[00:11:35.496 --> 00:11:42.106]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of super male or super female vitality.
