[00:00:00.373 --> 00:00:00.919]  Alex Jones Show!
[00:04:44.879 --> 00:04:49.342]  That's what he should have said, not ban all Muslims, period.
[00:04:50.933 --> 00:04:58.622]  I mean, what do you got, Muslims flying in from Israel or flying in from, you know, flying in from Jordan or something, you know, own houses or businesses here.
[00:04:58.642 --> 00:04:59.183]  You can't do that.
[00:04:59.563 --> 00:05:04.730]  But anyone not vetted properly from a war-torn zone, you're banned.
[00:05:05.470 --> 00:05:09.075]  And everybody in the government that's been allowing them in under Obama's orders are culpable.
[00:05:09.898 --> 00:05:18.903]  The Huffington Post is calling for the government to seize all firearms, saying that micro and mini efforts to destroy the Second Amendment are not working.
[00:05:19.203 --> 00:05:25.727]  The Post reads, given that even micro gun control measures will be effectively blocked by the NRA and its allies.
[00:05:26.027 --> 00:05:29.810]  And that promoting many measures will be potentially effective is misleading.
[00:05:30.071 --> 00:05:32.933]  Progressives may as well go for the big enchilada.
[00:05:33.113 --> 00:05:34.735]  Call for domestic disarmament.
[00:05:34.895 --> 00:05:39.059]  Write to George Washington University Professor of International Relations.
[00:05:39.399 --> 00:05:48.307]  The professor would also have Congress pass legislation making gun manufacturers liable for the harm done with their products and outlaw the sale of ammunition.
[00:05:48.567 --> 00:05:51.970]  If the current political climate is any indication, this will not happen.
[00:05:52.190 --> 00:05:57.775]  The professor does not detail how more than 300 million firearms in the United States would be confiscated.
[00:05:57.975 --> 00:06:04.760]  He also does not address the fact that forced disarmament will lead to the death of police and otherwise law-abiding citizens.
[00:06:05.040 --> 00:06:08.923]  You can find more reports on InfoWars.com
[00:06:09.824 --> 00:06:17.971]  We have been fighting this war tirelessly with you at our side, day in and day out, exposing the ludicrous lies and criminal operations of the globalists.
[00:06:18.171 --> 00:06:20.153]  And we're starting to see big effects.
[00:06:20.494 --> 00:06:22.035]  And the word is getting out.
[00:06:22.375 --> 00:06:24.277]  The globalists want to make us dependent.
[00:06:24.457 --> 00:06:27.880]  And as Napoleon famously said, an army marches on its stomach.
[00:06:28.200 --> 00:06:33.165]  Ammunition, food, and supplies form the backbone of any offensive, including the Info War.
[00:06:33.685 --> 00:06:36.588]  And our enemies admit they're losing the Info War.
[00:06:37.008 --> 00:06:40.451]  We are in an information war, and we are losing that war.
[00:06:40.631 --> 00:06:46.836]  With this in mind, we have held strong to our principles and the decision to refuse any money from globalists or government.
[00:06:47.136 --> 00:06:53.861]  We are funding our crusade against tyranny the old-fashioned way, with pure free-market, free-will capitalism.
[00:06:54.141 --> 00:06:56.383]  Visit Infowarsstore.com today, or call 888-253-3139.
[00:06:58.945 --> 00:07:03.470]  And take advantage of free shipping right through December 18th and get your order before Christmas.
[00:07:03.850 --> 00:07:09.096]  May God bless you and your family and keep us strong as we forge ahead in this battle for humanity.
[00:07:09.736 --> 00:07:12.739]  A clean, toxic-free body is the foundation of true health.
[00:07:12.960 --> 00:07:14.702]  Deep Cleanse by Infowarslife.com
[00:07:15.282 --> 00:07:22.010]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:22.290 --> 00:07:27.476]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:07:27.616 --> 00:07:36.606]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanze doesn't hold back.
[00:07:37.026 --> 00:07:45.653]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:45.913 --> 00:07:52.838]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[00:07:52.998 --> 00:07:58.382]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best.
[00:07:58.662 --> 00:08:04.113]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[00:08:04.293 --> 00:08:06.237]  That's Infowarslife.com or call 888-253-3139.
[00:08:10.427 --> 00:08:10.967]  We've got it.
[00:08:11.007 --> 00:08:17.451]  This transmission is coming to you.
[00:08:17.531 --> 00:08:19.632]  Waging war on corruption.
[00:08:21.894 --> 00:08:27.637]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:29.998 --> 00:08:35.642]  Well, I'm going to say it here clear for everyone, because I actually agree with what Donald Trump has said.
[00:08:36.982 --> 00:08:39.444]  We do need to have a total and complete shutdown
[00:08:41.614 --> 00:08:48.077]  Of everyone coming from a long list of nations who have not been properly vetted.
[00:08:49.817 --> 00:09:03.563]  And the federal government will allow people in with fake passports, fake names, fake addresses, like the Saudi Arabian jihad princess, who was clearly involved in the attacks in San Bernardino last week, leading her husband in the killing of 14 people.
[00:09:04.997 --> 00:09:07.258]  They want to use this to take our Second Amendment.
[00:09:07.438 --> 00:09:09.219]  That's been announced by the Supreme Court, by the way.
[00:09:09.719 --> 00:09:11.280]  Devastatingly bad news coming up.
[00:09:12.620 --> 00:09:14.021]  They are coming after our freedom.
[00:09:14.061 --> 00:09:23.225]  They are trying to put citizens in no-fly list, no-gun-by list, extra-judicially, while bringing in hundreds of thousands
[00:09:24.740 --> 00:09:35.346]  Of, quote, migrants and not telling governors where they're being deposited, telling governors they don't care of the Refugee Act, states that governors have to be appraised and have to agree to it.
[00:09:35.746 --> 00:09:36.827]  That's being violated.
[00:09:37.327 --> 00:09:39.408]  So many laws are being violated right now.
[00:09:39.708 --> 00:09:41.189]  They're just letting these people in.
[00:09:41.529 --> 00:09:49.754]  Planes are landing on record at JFK with 144 people on board with no IDs two weeks ago, and they just let them in.
[00:09:51.325 --> 00:09:53.948]  This has reached crazy town proportions.
[00:09:54.328 --> 00:09:55.569]  That's what's radical.
[00:09:56.730 --> 00:09:57.591]  That's what's bad.
[00:09:58.712 --> 00:10:12.846]  If somebody puts cyanide in the local water district tanks and you don't know exactly where that cyanide was sent or how many people it will affect, you shut off the water system.
[00:10:13.871 --> 00:10:16.872]  You don't just tell folks to boil the water, you shut it off.
[00:10:17.412 --> 00:10:39.180]  And if you've got 80% or more being military-age men with fake passports, and our government knows it's fake, and the EU government knows it's fake, and is letting them in to attack, so our governments can take the guns and declare civil emergencies, emergency powers, that's a fancy name for martial law.
[00:10:41.481 --> 00:10:42.601]  If that's being done,
[00:10:45.683 --> 00:10:46.624]  You shut it off.
[00:10:47.004 --> 00:10:51.426]  Now, the litmus test, he would say, is are you a Muslim?
[00:10:51.466 --> 00:11:01.992]  Well, radical Islamicists are on record, and the Quran states that if you are in the land of the profane, of the enemy, of the heathen, of the unwashed,
[00:11:03.473 --> 00:11:04.934]  Then you can say you're not a Muslim.
[00:11:04.974 --> 00:11:08.495]  So that litmus test is not the way to go.
[00:11:08.855 --> 00:11:11.616]  The litmus test is Congress moves.
[00:11:12.156 --> 00:11:13.077]  The states move.
[00:11:14.037 --> 00:11:16.358]  Lawsuits, indictments, impeachment.
[00:11:17.558 --> 00:11:23.060]  Not just against the President, but ICE and the different agencies following the orders.
[00:11:23.740 --> 00:11:24.801]  The Customs Department.
[00:11:25.782 --> 00:11:34.106]  The heads of it, who are all a bunch of former Ford Foundation people that want open borders that are globalist on record, they all need to be impeached right now.
[00:11:34.827 --> 00:11:39.449]  The government has the borders open without vetting people and is bringing them in.
[00:11:39.649 --> 00:11:41.670]  They've turned off the vetting by design.
[00:11:43.451 --> 00:11:45.933]  They will not tell the governors where the people are being taken.
[00:11:46.823 --> 00:12:00.297]  Well, I know where 300 from Syria and Iraq, almost all of them Sunni, to Anderson High School, where I went to high school for two years in 1991 and 1992, 20 plus years ago, where I went to high school 25 years ago.
[00:12:06.564 --> 00:12:10.786]  They have 300 refugees in the last month.
[00:12:10.806 --> 00:12:12.827]  600 in Austin alone.
[00:12:13.167 --> 00:12:14.468]  And that's the numbers they're giving us.
[00:12:14.688 --> 00:12:18.510]  We keep discovering the numbers are 3, 4, 5, even 10 times higher.
[00:12:18.670 --> 00:12:20.931]  They follow an algorithm they've used in Europe.
[00:12:21.331 --> 00:12:22.572]  They call it 10,000, it's 100,000.
[00:12:22.852 --> 00:12:24.973]  They call it 100,000, it's a million.
[00:12:25.253 --> 00:12:26.654]  They call it a million, it's 4 million.
[00:12:28.095 --> 00:12:31.096]  And Jakari Jackson has reported on this extensively.
[00:12:31.176 --> 00:12:34.438]  Migrants flood Austin Texas schools is the headline if you want to see the video.
[00:12:37.398 --> 00:12:38.119]  This is a big deal.
[00:12:38.979 --> 00:12:49.567]  And in an inverted reality, Trump comes out and says what most people are thinking, including Shiite Muslims and others that are being exterminated all over the world by radical Sunnis.
[00:12:51.089 --> 00:12:55.993]  You think they let Sunnis into Iraq?
[00:12:56.892 --> 00:12:58.273]  You think they'd let them into Syria?
[00:12:58.293 --> 00:13:12.119]  I mean, Syria was majority Sunni, but they were the non-radical type who were being killed by, again, the Islamofascists, and that's what they are, that's a good term for them, out of Saudi Arabia that is conquering right now.
[00:13:12.779 --> 00:13:19.822]  And Obama and the EU criminals want to bring in a checkmate-level group who can destabilize and attack
[00:13:21.030 --> 00:13:27.837]  Every major town and every major city with commando-style sleeper cell raids any time they want.
[00:13:28.137 --> 00:13:31.020]  This is one of the major globalist takedown operations.
[00:13:31.040 --> 00:13:42.410]  And as I told you four years ago with Benghazi, three and a half plus years ago, as I told you every show since then, they will start shooting down airliners with Stinger missiles, with MPADs.
[00:13:43.362 --> 00:13:49.866]  They will start taking down other aircraft with anti-tank weapons that will also be very useful against helicopters.
[00:13:50.787 --> 00:13:54.729]  They will start attacking, they will start bombing planes, and it's begun.
[00:13:55.650 --> 00:14:08.798]  And the major clerics of Saudi Arabia in the last month and a half have called for asymmetrical attacks with knives, guns, or improvised explosive devices against Western and Christian targets.
[00:14:10.953 --> 00:14:25.727]  And they think we're so dumb, they'll use it to take our guns, and our freedoms, and blame everyone in general, because we're fair, we don't discriminate, everyone loses their rights here in this authoritarian system.
[00:14:25.747 --> 00:14:32.214]  No, anyone associated with radical Jihad Wahhabist groups should obviously now go under surveillance.
[00:14:33.393 --> 00:14:40.941]  Because you've been brought in, you're part of a group, sworn to do this, it is your religion to conquer Islam itself, and then the world.
[00:14:42.403 --> 00:14:42.883]  They say that.
[00:14:42.963 --> 00:14:44.285]  We will take control of Islam.
[00:14:44.525 --> 00:14:45.326]  We are Islam.
[00:14:45.806 --> 00:14:46.787]  They are the radicals.
[00:14:47.528 --> 00:14:48.890]  They are the firebrands.
[00:14:48.930 --> 00:14:50.111]  They are the shock troops.
[00:14:50.471 --> 00:14:52.834]  They are the cancer.
[00:14:54.298 --> 00:15:02.925]  That has been allowed in so that the command and control system gets more no-bid contracts and gets to invade more countries that aren't even the countries that are attacking us.
[00:15:03.225 --> 00:15:05.106]  You notice they're on the news saying take out Assad.
[00:15:05.366 --> 00:15:10.851]  It's his fault this is happening when our own government, NATO, ran this whole operation against Syria criminally.
[00:15:13.793 --> 00:15:20.318]  So Donald Trump is correct when he says we've got to cut it off total and complete.
[00:15:22.540 --> 00:15:27.063]  The brash way he put it will be good red meat for the grassroots out there that's sick of rolling over.
[00:15:27.463 --> 00:15:30.585]  But it'll be spun as un-American and as unfair.
[00:15:30.845 --> 00:15:35.247]  Well, if they're not doing vetting of the people, then you do have to shut it all off.
[00:15:35.588 --> 00:15:40.811]  Not because they're Muslim, but because we don't know who's radical or a sleeper cell.
[00:15:41.671 --> 00:15:51.517]  And so the bigger issue is, until the government vets people properly, which the FBI admits they're not allowed to do, they admit that's not happening, before Congress a month ago and last week.
[00:15:52.332 --> 00:15:53.212]  We played the hearings.
[00:15:54.693 --> 00:16:00.416]  So Trump needs to add the caveat and say the media needs to follow my full statement.
[00:16:00.797 --> 00:16:02.117]  We're not vetting these people.
[00:16:02.157 --> 00:16:03.478]  They're being brought in en masse.
[00:16:06.160 --> 00:16:12.223]  Now we need to completely shut it off until it's fixed and until people can be investigated.
[00:16:13.902 --> 00:16:16.144]  That's very simple, and that's the federal law.
[00:16:16.865 --> 00:16:22.030]  I know Trump came out a few months ago and said we should let them, refugees in, because he's talking about Christians.
[00:16:23.392 --> 00:16:24.793]  It's the right thing to do, they're being killed.
[00:16:25.554 --> 00:16:28.417]  And I criticized him, and others did, and he backed off that real fast.
[00:16:28.477 --> 00:16:34.343]  And I'm going to reach out today, because he's got some advisors there that are okay.
[00:16:34.823 --> 00:16:36.845]  People like Stone really know what they're doing.
[00:16:37.936 --> 00:16:42.999]  And, you know, he needs to be, obviously, tweaked this a little bit, but they're going to really try to use it against him.
[00:16:43.219 --> 00:16:45.920]  He can't apologize for him now that it's out there.
[00:16:45.940 --> 00:16:47.141]  He's got to double down, obviously.
[00:16:47.161 --> 00:16:48.501]  That's why people like Trump.
[00:16:49.862 --> 00:16:51.343]  But let's go over the evidence here.
[00:16:51.543 --> 00:17:03.329]  Until they vet these people and don't criminally let folks in with fake names and fake passports and fake addresses, we need to block everyone coming in from these countries.
[00:17:07.898 --> 00:17:13.961]  And now they're reporting CNN selectively edits Donald Trump's Muslim registry comments to make him look like an anti-Muslim bigot.
[00:17:14.321 --> 00:17:15.042]  It's being reported.
[00:17:16.102 --> 00:17:17.283]  And they've already done that.
[00:17:18.423 --> 00:17:22.245]  So the point is, he just needs to continue to expose how they spin everything.
[00:17:22.826 --> 00:17:23.586]  Let's continue.
[00:17:24.586 --> 00:17:31.850]  One Christian out of 236 Syrian refugees admitted since Paris attacks to the United States.
[00:17:32.310 --> 00:17:32.831]  One Christian.
[00:17:33.151 --> 00:17:37.133]  See, they won't let the Christians in because that's the targeted group by the little Sunnis.
[00:17:38.260 --> 00:17:39.040]  By the Wahhabists.
[00:17:39.440 --> 00:17:53.963]  So these are the little darlings that went on jihad pilgrimage to go murder some innocent Muslims and Christians, many of them, and take their property, and now they failed so they're allowed to enter into Europe and then the United States.
[00:17:54.283 --> 00:17:56.924]  And then Obama won't vet them because he knows it's all completely fake.
[00:17:57.224 --> 00:17:58.004]  Truly sickening.
[00:17:59.665 --> 00:18:00.945]  And then we get to pay for all their kids.
[00:18:02.702 --> 00:18:08.798]  Over 35,000 issued same fiancé visa as San Bernardino shooter.
[00:18:11.129 --> 00:18:11.889]  See how that works?
[00:18:12.529 --> 00:18:15.310]  His darling little, little death mistress.
[00:18:15.830 --> 00:18:18.210]  Oh, I'm sorry, I showed her and her headdress.
[00:18:18.571 --> 00:18:20.091]  That's, that's demonizing Muslims.
[00:18:20.111 --> 00:18:24.392]  Well, that's what radical Muslims have their women, or orthodox Muslims have their women wear.
[00:18:24.412 --> 00:18:27.312]  I mean, this is, MSNBC says it's bad to show it.
[00:18:28.072 --> 00:18:31.273]  Yes, because you said so, Melissa Harris Perry, and I better do what you say.
[00:18:31.573 --> 00:18:35.234]  I better put my tail between my legs and roll over on the ground like a little puppy.
[00:18:36.357 --> 00:18:40.180]  When you say so, and then urinate on myself because you're my master.
[00:18:40.240 --> 00:18:40.920]  You said so!
[00:18:41.400 --> 00:18:42.281]  Oh my gosh!
[00:18:42.841 --> 00:18:44.923]  Oh boy, I better do what you say!
[00:18:46.684 --> 00:18:51.007]  Muslim migrants beat, rapes North Dakota woman while chanting Allah Akbar.
[00:18:51.307 --> 00:18:57.551]  The police say, they have surveillance footage of all of it, drug her into the bathroom, began beating her and raping her.
[00:18:58.212 --> 00:19:01.434]  The police came and he said, Allah Akbar, she's my wife.
[00:19:01.714 --> 00:19:02.435]  Well, I never knew him.
[00:19:03.657 --> 00:19:09.112]  And began, and then they busted down the door, and there she was, and it's being defended by the family.
[00:19:10.385 --> 00:19:15.167]  I mean, after all, you got the imam of Jerusalem and all these other Muslim leaders saying they are weak.
[00:19:15.507 --> 00:19:17.887]  The Americans, the Europeans, take them, take their women!
[00:19:18.088 --> 00:19:21.609]  Take them now!
[00:19:21.709 --> 00:19:25.170]  I mean, you can't even make up that stereotype.
[00:19:25.410 --> 00:19:28.051]  We are coming, weak Europeans, for your women!
[00:19:28.371 --> 00:19:29.011]  We will have them!
[00:19:29.811 --> 00:19:32.592]  They will soon wear the hajib and will do as we say!
[00:19:32.612 --> 00:19:34.433]  And then I mean, he's like,
[00:19:38.274 --> 00:19:40.175]  How dare Donald Trump say block the Muslims?
[00:19:40.775 --> 00:19:43.176]  And that's a dumbed down way to say it, but the public gets that.
[00:19:43.956 --> 00:19:46.317]  It's shut it off till the vetting process happens.
[00:19:48.178 --> 00:19:48.918]  Unbelievable.
[00:19:49.439 --> 00:19:50.479]  Muslim migrants.
[00:19:51.639 --> 00:19:52.820]  You mean another Wahhabist?
[00:19:52.840 --> 00:19:54.901]  That's, turns out that's who this guy is from Somalia.
[00:19:55.801 --> 00:19:58.102]  Yelling Allah Akbar, cause that's why he's allowed to rape a woman.
[00:19:58.342 --> 00:19:58.762]  Over and over again.
[00:19:59.002 --> 00:19:59.563]  Allah Akbar!
[00:19:59.863 --> 00:20:00.423]  Allah Akbar!
[00:20:00.763 --> 00:20:01.023]  Allah!
[00:20:01.203 --> 00:20:03.704]  I punch you in the nose, I pull your dress off!
[00:20:03.804 --> 00:20:04.325]  Allah Akbar!
[00:20:04.685 --> 00:20:06.005]  Ah, you stupid Americans!
[00:20:06.105 --> 00:20:06.725]  Ah ha ha ha ha!
[00:20:06.846 --> 00:20:07.966]  Ah ha ha ha ha!
[00:20:10.017 --> 00:20:13.018]  My name is Bill Bonner, and I have an important message.
[00:20:13.319 --> 00:20:18.501]  Right now, the highest levels of government are struggling against an inevitable crisis.
[00:20:18.821 --> 00:20:20.722]  But they're about to lose control.
[00:20:21.102 --> 00:20:26.085]  When this happens, it will rip our country apart in ways you never imagined.
[00:20:26.405 --> 00:20:30.867]  From where we shop, to the doctors you visit, and the family you want to protect.
[00:20:30.987 --> 00:20:33.029]  Look, I've made predictions like this before.
[00:20:33.389 --> 00:20:36.892]  A few years ago, I warned that the housing prices would collapse.
[00:20:37.232 --> 00:20:41.315]  Before that, I warned that dot-com companies would crash, and they did.
[00:20:41.755 --> 00:20:47.280]  Those who listened had a chance to save themselves, but this has nothing to do with the stock market.
[00:20:47.460 --> 00:20:48.881]  This will affect us all.
[00:20:49.341 --> 00:20:52.824]  I've posted a free video at DollarDanger.com.
[00:20:54.045 --> 00:21:00.288]  Maybe you'll disagree with my conclusions, but first you need to watch this video and see the facts for yourself.
[00:21:00.428 --> 00:21:06.310]  You can watch the video for free right now by going to DollarDanger.com.
[00:21:06.551 --> 00:21:08.551]  Again, that's DollarDanger.com.
[00:21:10.092 --> 00:21:13.333]  This holiday season, give your loved ones the gift of preparedness.
[00:21:13.513 --> 00:21:20.316]  Food Insurance, America's most trusted provider of freeze-dried emergency food, is offering weekly specials throughout November and December.
[00:21:20.476 --> 00:21:23.998]  With these unheard-of savings, the time to prepare your family is now.
[00:21:24.218 --> 00:21:28.439]  Our meals are delicious, nutritious, and come with a guaranteed 25-year shelf life.
[00:21:28.560 --> 00:21:34.202]  We're so confident you'll love our meals that we're sending a free freeze-dried meal to every listener of this program.
[00:21:34.322 --> 00:21:37.603]  Go to foodinsurance.com and request your free meal today.
[00:21:37.783 --> 00:21:38.944]  That's foodinsurance.com.
[00:21:40.148 --> 00:21:40.929]  This is Dan Pilla.
[00:21:40.949 --> 00:21:42.450]  Do you owe the IRS money you can't pay?
[00:21:42.750 --> 00:21:44.051]  Are tax debts crippling you?
[00:21:44.411 --> 00:21:46.732]  I've defended people from the IRS for over 30 years.
[00:21:47.233 --> 00:21:49.074]  I've helped thousands and I can help you too.
[00:21:49.514 --> 00:21:53.577]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:21:54.037 --> 00:21:57.740]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:21:57.980 --> 00:22:01.422]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:22:01.742 --> 00:22:02.143]  Call 800-34-NO-TAX.
[00:22:02.163 --> 00:22:03.804]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:22:09.298 --> 00:22:18.626]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:18.726 --> 00:22:23.049]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:23.149 --> 00:22:28.914]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:29.255 --> 00:22:31.977]  Buy now at DefenderShield.com.
[00:22:32.037 --> 00:22:34.279]  For 10% off, use promo code GCN.
[00:22:34.439 --> 00:22:37.962]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:38.945 --> 00:22:42.907]  With a new year coming, it's time for a new way to look at weapon storage.
[00:22:43.208 --> 00:22:46.329]  Safes can't be accessed quickly and racks are unsafe for children.
[00:22:46.449 --> 00:22:48.951]  Covert Cabinets are the next level in home defense.
[00:22:49.011 --> 00:22:54.414]  They fit seamlessly into any home's decor and they provide quick access to firearms while keeping them uniquely hidden.
[00:22:54.474 --> 00:22:55.274]  Covert Cabinets.
[00:22:55.355 --> 00:22:57.035]  The ideal hidden storage solution.
[00:22:57.076 --> 00:22:58.476]  Custom made in the USA.
[00:22:58.576 --> 00:23:04.020]  Covert Cabinets are an elegant and practical alternative to the bulky and obvious storage systems of the past.
[00:23:04.100 --> 00:23:06.241]  Find out more at CovertCabinets.com.
[00:23:06.281 --> 00:23:07.542]  That's CovertCabinets.com.
[00:23:08.717 --> 00:23:09.597]  Hey, Berkey Guy here.
[00:23:09.677 --> 00:23:11.378]  Are you still drinking unfiltered tap water?
[00:23:11.518 --> 00:23:13.198]  Does your water contain chlorine or fluoride?
[00:23:13.278 --> 00:23:15.119]  Will you have drinkable water in an emergency?
[00:23:15.239 --> 00:23:21.101]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:21.241 --> 00:23:24.762]  We offer Berkey Water Purification Systems at the lowest available prices online.
[00:23:24.862 --> 00:23:26.803]  Don't go another moment without Berkey Systems.
[00:23:26.823 --> 00:23:29.843]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:29.943 --> 00:23:33.184]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:33.204 --> 00:23:33.385]  That's 877-886-3653.
[00:23:38.326 --> 00:23:39.827]  Are you looking to sell body armor?
[00:23:40.007 --> 00:23:42.849]  Want to make extra money selling body armor at your local gun shows?
[00:23:42.949 --> 00:23:46.531]  With low minimum buys and great returns, KD Armor is the answer.
[00:23:46.611 --> 00:23:48.292]  Make money in your spare time.
[00:23:48.312 --> 00:23:55.416]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
