[00:00:00.190 --> 00:00:01.838]  Offend Liberty Worldwide!
[00:05:35.009 --> 00:05:39.735]  Which is to say, if criminals expect you to be unarmed, they're more likely to attack you.
[00:05:40.156 --> 00:05:44.422]  Not to mention the fact that much of this violence is linked to gangs or drug activity.
[00:05:44.922 --> 00:05:51.771]  Meaning that for all the gun buybacks and anti-gun commercials, criminals just haven't decided to turn in their firearms.
[00:05:52.572 --> 00:05:57.359]  And I understand that police have many responsibilities and they can't be every place at once.
[00:05:57.700 --> 00:06:01.585]  But that's why you have a Second Amendment so you'll be able to protect yourself.
[00:06:02.146 --> 00:06:05.691]  You can find more reports on InfoWars.com
[00:06:09.460 --> 00:06:12.442]  A clean, toxic-free body is the foundation of true health.
[00:06:12.722 --> 00:06:22.368]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:06:22.668 --> 00:06:27.911]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:06:27.991 --> 00:06:36.856]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:06:37.156 --> 00:06:45.778]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:06:46.018 --> 00:06:52.980]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:06:53.120 --> 00:06:59.241]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:06:59.501 --> 00:07:04.245]  If you wish to find Deep Cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:07:04.425 --> 00:07:06.527]  That's InfoWarsLife.com or call 888-253-3139.
[00:07:06.787 --> 00:07:13.313]  Alex Jones here with a very important news alert for InfoWars listeners.
[00:07:13.593 --> 00:07:26.985]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world, so prices are going up and it's very hard to secure it.
[00:07:27.125 --> 00:07:35.873]  We have been able to secure a limited supply of the Pure Deep Earth Crystals and have now been able to produce more Survival Shield Nascent Iodine X2.
[00:07:35.913 --> 00:07:37.674]  This is the good halogen.
[00:07:37.774 --> 00:07:40.517]  This is the opposite of the bad halogens like fluoride.
[00:07:40.837 --> 00:07:52.628]  Now we at InfoWarsLife.com are bringing you the only source of clean, pure, 99.99 Ultra Pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[00:07:52.848 --> 00:07:54.109]  Watch the informational videos
[00:07:54.309 --> 00:08:00.557]  At Infowarslife.com, discover how transformational pure iodine can be for you and your family.
[00:08:00.757 --> 00:08:01.678]  Folks, this isn't hype.
[00:08:01.818 --> 00:08:04.922]  Read the reviews for yourself at Infowarslife.com or call 888-253-3139.
[00:08:24.696 --> 00:08:26.917]  Waging war on corruption.
[00:08:27.337 --> 00:08:32.580]  It's Alex Jones coming to you live from the front lines of the InfoWars.
[00:08:45.527 --> 00:08:48.309]  Monday through Friday from 11 a.m.
[00:08:48.329 --> 00:08:48.809]  to 2 p.m.
[00:08:48.849 --> 00:08:49.970]  Central, we're here live.
[00:08:50.670 --> 00:08:51.711]  It's InfoWars Live.
[00:08:53.246 --> 00:08:56.428]  I'm your host Alex Jones.
[00:08:56.928 --> 00:09:01.911]  We return weeknight 7 o'clock central with the InfoWars Nightly News.
[00:09:01.991 --> 00:09:03.852]  Then Sundays 4 to 6 p.m.
[00:09:03.872 --> 00:09:07.794]  with the abbreviated live broadcast 4 to 6 p.m.
[00:09:07.834 --> 00:09:08.234]  central.
[00:09:09.875 --> 00:09:16.018]  World Bank Chief Economist warns the private run-for-profit Federal Reserve to delay rate rise.
[00:09:17.810 --> 00:09:19.571]  Peter Schiff says everybody's got it wrong.
[00:09:19.591 --> 00:09:20.872]  They're not going to raise the rates.
[00:09:20.912 --> 00:09:22.133]  He says they're going to leave them the same.
[00:09:22.593 --> 00:09:23.433]  I tend to agree with him.
[00:09:23.473 --> 00:09:29.257]  All the indicators show that, especially with China further devaluing their currency and beginning to dump U.S.
[00:09:29.317 --> 00:09:29.877]  Treasuries.
[00:09:31.959 --> 00:09:34.380]  Upwards of $115 billion in the last week.
[00:09:35.881 --> 00:09:41.664]  That is only going to make the Federal Reserve want to continue to race to devalue as well, in my opinion.
[00:09:43.986 --> 00:09:45.847]  Obviously, anything's possible with these globalists.
[00:09:45.867 --> 00:09:47.228]  They throw so many curveballs.
[00:09:48.524 --> 00:09:49.484]  They could do a mix too.
[00:09:49.504 --> 00:09:56.746]  They've been talking about giving central banks free money still with 0% interest, but then raising it for the public in the prime interest rate.
[00:09:56.786 --> 00:09:59.286]  So that's probably what you're going to see.
[00:09:59.306 --> 00:10:11.129]  In fact, we've kind of already seen that really, where from what I've seen in the business publications, talking to business people, talking to private individuals, credit started to go up in a lot of sectors.
[00:10:12.649 --> 00:10:13.929]  Interest rates have been going up.
[00:10:13.949 --> 00:10:15.989]  So I think I kind of just answered our own question right there.
[00:10:16.750 --> 00:10:18.110]  Hillary has said she's sorry.
[00:10:19.192 --> 00:10:21.252]  For illegally having secret emails.
[00:10:21.952 --> 00:10:26.653]  Well, why did the head of the EPA have to stand down two years ago when she got caught using secret ones?
[00:10:27.093 --> 00:10:33.694]  Because it violates the National Security Act and it violates the Freedom of Information Act.
[00:10:35.155 --> 00:10:36.455]  The Open Records Act.
[00:10:37.235 --> 00:10:37.935]  Three acts.
[00:10:39.655 --> 00:10:40.616]  They're all felonies.
[00:10:42.416 --> 00:10:45.536]  She now says that it was a mistake, an interview on ABC News.
[00:10:46.117 --> 00:10:48.077]  Donald Trump has made a shocking
[00:10:49.105 --> 00:10:49.566]  statement.
[00:10:51.068 --> 00:10:54.673]  We have to accept migrants here because they're living in hell in Syria.
[00:10:56.236 --> 00:10:57.878]  There are people living in hell all over the world.
[00:10:57.998 --> 00:10:59.501]  I don't have to accept them or pay for them.
[00:11:01.107 --> 00:11:20.651]  If I want to give money to dig wells in Africa, or I want to give money to the Heifer Project, as I've been given for more than 12 years, to buy cows for African villages, or if I want to buy medical tables and medical beds for people in Central America, which I've done, and if I want to give money to the Salvation Army, which I've done.
[00:11:20.671 --> 00:11:22.652]  I mean, I don't talk about my charity, but I'll go ahead and talk about it.
[00:11:24.246 --> 00:11:27.027]  I don't tithe to churches, establishment whorehouses.
[00:11:27.527 --> 00:11:28.727]  If I found a good church, I would.
[00:11:28.787 --> 00:11:29.948]  There are some good ones out there.
[00:11:30.508 --> 00:11:38.791]  I tithe directly to charities that I know give upwards of 85 percent, that's a good metric, to the actual people.
[00:11:39.331 --> 00:11:40.431]  With no strings attached.
[00:11:40.471 --> 00:11:51.235]  I have to go do major research that they're not forcing inoculations or they're not focusing a particular socialist worldview attached to that money you're giving to then politically take over those areas.
[00:11:52.312 --> 00:11:52.933]  You want to give money?
[00:11:52.953 --> 00:11:54.034]  Give it to Salvation Army.
[00:11:54.815 --> 00:12:01.763]  So, I give way more money than probably anybody statistically that I know of.
[00:12:03.685 --> 00:12:05.687]  And I do it because I have a job to do that.
[00:12:05.727 --> 00:12:10.953]  If I'm for low taxes, and if I'm for a small government, then I'm supposed to give.
[00:12:11.974 --> 00:12:13.216]  And that's what built this country.
[00:12:15.959 --> 00:12:18.341]  And so, I actually try to help people.
[00:12:19.102 --> 00:12:26.028]  In fact, I try to get into all the charity I've given, all the organizations I've been involved in, and, you know, the sponsoring of children and all the rest of it.
[00:12:27.549 --> 00:12:35.577]  The problem is, it's a minefield to not have your money used to basically put them into a psychological and spiritual prison.
[00:12:36.357 --> 00:12:38.739]  Because, yeah, they'll buy them breakfast and shoes.
[00:12:39.633 --> 00:12:43.116]  But then, are you getting the full story of what happens with those charities?
[00:12:43.136 --> 00:12:46.678]  That's something I've been wanting to do, is do research on charities.
[00:12:47.439 --> 00:12:58.167]  Nobody's perfect, no charity's perfect, but to try to create basically a section on the side of charities that we've researched and that we believe are some of the better charities.
[00:12:58.648 --> 00:13:00.689]  United Way and the Red Cross
[00:13:01.850 --> 00:13:03.891]  Are some of the most evil organizations in the world.
[00:13:04.491 --> 00:13:07.432]  Doesn't mean if you volunteer for the Red Cross, you're bad in a hurricane.
[00:13:07.452 --> 00:13:08.673]  A lot of good folks volunteer.
[00:13:09.053 --> 00:13:09.873]  That's their front.
[00:13:10.393 --> 00:13:21.038]  About half the money in both groups goes to gun control, teaching your kids all sorts of horrible things in school, open borders, globalism, world government, you name it.
[00:13:21.378 --> 00:13:22.618]  And that's all come out in the news.
[00:13:23.039 --> 00:13:24.259]  But I'm already digressing.
[00:13:25.540 --> 00:13:28.881]  You give your money to those organizations, you are insane.
[00:13:30.908 --> 00:13:35.770]  I told you before it was ever in the news about the Clinton Foundation being an organized crime operation.
[00:13:36.310 --> 00:13:37.571]  They're heavily involved with the Bushes.
[00:13:38.411 --> 00:13:48.515]  It is despicable when there's a hurricane or a earthquake in Haiti and then the Bushes are up there on TV with Clinton going, give money to our foundations.
[00:13:48.935 --> 00:13:53.977]  We're combining our foundations so they can pay for private jets and hotels and houses.
[00:13:54.057 --> 00:13:55.138]  I mean, it's a sick joke.
[00:13:56.624 --> 00:14:01.485]  I don't care if they paid for jet flights and hotels, but that ought to be 10% of the money.
[00:14:02.085 --> 00:14:06.326]  A healthy charity doesn't spend more than 15% on overhead.
[00:14:06.426 --> 00:14:07.166]  That's just a fact.
[00:14:07.747 --> 00:14:09.887]  So that's a good metric right there of a charity.
[00:14:10.467 --> 00:14:12.448]  If they're spending 20, 30, 40%, look out.
[00:14:15.268 --> 00:14:17.649]  Now I've got all this world news and I'm digressing here.
[00:14:20.714 --> 00:14:26.401]  They are banning in Germany and in Poland and other areas publicly criticizing wide open borders.
[00:14:26.842 --> 00:14:28.284]  That's called living in a dictatorship.
[00:14:28.784 --> 00:14:35.793]  You're going to accept millions of people running around screaming, you know, at the top of their lungs that it's everything free, carjacking, robbing.
[00:14:36.434 --> 00:14:37.916]  I mean, the videos are legion.
[00:14:38.897 --> 00:14:41.078]  And if you criticize it, we're going to arrest you.
[00:14:41.978 --> 00:14:43.318]  Boy, the EU is really free.
[00:14:43.699 --> 00:14:49.160]  Associated Press, the latest Polish authorities ban anti-migrant rally.
[00:14:49.680 --> 00:14:50.741]  You're migrants!
[00:14:52.301 --> 00:14:54.842]  If I want to go to Saudi Arabia, I got to have a visa.
[00:14:54.882 --> 00:14:57.563]  If I want to show up and get on welfare there, they'll laugh at you.
[00:14:59.283 --> 00:15:01.304]  They're not taking any of the migrants.
[00:15:04.929 --> 00:15:07.492]  But if you want to criticize it, they're going to arrest you.
[00:15:07.812 --> 00:15:11.876]  And now in England, and the rest of the UK, you try to criticize it, the police arrest you.
[00:15:12.597 --> 00:15:15.039]  Oh, what free countries you live in!
[00:15:16.601 --> 00:15:28.793]  You are captured by a criminal organization, a mafia, a narcotics, child trafficking, sex trafficking, snuff film trafficking, globalist system.
[00:15:30.148 --> 00:15:33.751]  You look into NATO, you look into Interpol, you look into these groups.
[00:15:33.831 --> 00:15:35.512]  I mean, they are the worst of the worst.
[00:15:35.872 --> 00:15:37.093]  They are Spectre.
[00:15:37.393 --> 00:15:38.954]  They are Cobra.
[00:15:38.974 --> 00:15:46.560]  I want to play Jacari Jackson's great intro he did on the allegory of Cobra in the real world.
[00:15:47.501 --> 00:15:51.864]  And I make the point that major newspapers have made jokes out of that I think Cobra's real.
[00:15:52.584 --> 00:15:55.887]  No, in the video I say the allegory of Cobra is real.
[00:15:57.759 --> 00:16:06.404]  Secret organization in and out of government, arms trafficking, drugs trafficking, money laundering, wearing masks, corporate board meetings, hiding who they are.
[00:16:06.824 --> 00:16:13.748]  The globalists always symbolize themselves as a hydra, a snake, an octopus.
[00:16:16.429 --> 00:16:17.210]  That's who they are.
[00:16:20.772 --> 00:16:23.213]  And so the new movie, James Bond's coming out.
[00:16:23.693 --> 00:16:26.415]  It's all about the Vatican and secret societies and Spectre.
[00:16:28.083 --> 00:16:30.344]  What do you think the Bilderberg Group and Club of Rome are?
[00:16:32.345 --> 00:16:33.365]  They are Spectre.
[00:16:34.305 --> 00:16:35.446]  They're beyond Spectre.
[00:16:37.166 --> 00:16:45.290]  They've been putting fluoride in the west water for 60 years, knowing it's a chemical warfare agent.
[00:16:48.171 --> 00:16:51.412]  They're feeding us GMO they know creates mass birth defects.
[00:16:53.271 --> 00:16:56.532]  They know neurological disorders are up several thousand percentage points.
[00:16:56.812 --> 00:16:58.653]  So is type 1 and type 2 diabetes.
[00:16:58.973 --> 00:17:00.774]  Breast cancer is up many-fold.
[00:17:01.574 --> 00:17:05.096]  Lung cancer in women is up seven-fold, even though smoking's gone down.
[00:17:10.818 --> 00:17:14.520]  Do you have the nerve and the will to investigate and find out this is true?
[00:17:17.581 --> 00:17:22.283]  Or do you want to go quietly into the night and basically be exterminated?
[00:17:26.226 --> 00:17:29.367]  Because let me tell you, as I've said, you're not in Kansas anymore.
[00:17:29.387 --> 00:17:30.908]  This is the real deal.
[00:17:33.209 --> 00:17:53.659]  Now that said, I've been trying to think how to quantify this best to explain that our national symbol, our national identity is having chips on our shoulders and racially freaking out and everyone making excuses for what they do because of what class or sex or supposed race they are.
[00:17:55.293 --> 00:18:00.919]  And I look at the headlines today, barber shop fined for refusing to cut woman's hair.
[00:18:00.979 --> 00:18:03.581]  They just said, lady, we don't do women's hair.
[00:18:03.601 --> 00:18:04.582]  We don't have the curlers.
[00:18:04.622 --> 00:18:06.424]  We don't, we don't dye hair.
[00:18:06.964 --> 00:18:08.406]  We don't, we just cut hair.
[00:18:10.428 --> 00:18:12.950]  And they fined him, saying it was discrimination.
[00:18:15.373 --> 00:18:17.695]  I guess you can't have a fraternal order of men or women.
[00:18:18.991 --> 00:18:22.012]  Marine Corps Women in Combat Experiment gets mixed results.
[00:18:22.532 --> 00:18:23.353]  Washington Post.
[00:18:23.913 --> 00:18:25.574]  They're not going to have humans in combat soon.
[00:18:25.594 --> 00:18:26.854]  That's why they're putting the women in now.
[00:18:26.874 --> 00:18:27.655]  They're phasing it out.
[00:18:27.955 --> 00:18:29.795]  They're sabotaging the human system.
[00:18:35.138 --> 00:18:40.620]  Football players who rammed ref claim he made racial slurs.
[00:18:41.560 --> 00:18:45.322]  Folks, I played football in one of the most un-racist areas.
[00:18:46.906 --> 00:18:52.429]  You're gonna find, even when I played football, is the football field where half the people on average are black.
[00:18:53.189 --> 00:18:54.650]  I mean, it's just ridiculous.
[00:18:55.831 --> 00:18:58.852]  And there's no evidence that they made these slurs.
[00:18:58.892 --> 00:19:09.378]  They physically attacked the ref, speared him in the back, which can kill somebody, and then they're saying that it's because he said something racial.
[00:19:15.101 --> 00:19:16.162]  Racial slurs.
[00:19:19.873 --> 00:19:27.636]  So, and of course these kids go watch movies about discrimination in the 40s and 50s and stuff and baseball and it becomes their identity.
[00:19:27.656 --> 00:19:32.878]  They relive football players and baseball players having racist things said to them.
[00:19:33.179 --> 00:19:37.320]  They relive that, they go out, and then if you don't like the ref's call, you just attack them.
[00:19:39.601 --> 00:19:40.922]  Could be called attempted murder.
[00:19:41.422 --> 00:19:44.863]  Somebody's not wearing pads to hit them in the kidneys full on with your helmet.
[00:19:46.584 --> 00:19:48.545]  And then even the coach is defending it.
[00:19:49.517 --> 00:19:51.038]  This is just the breakdown of society.
[00:19:51.098 --> 00:19:52.220]  Total thug society.
[00:19:55.302 --> 00:19:58.285]  And then meanwhile, the new James Bond is going to be politically correct.
[00:19:58.786 --> 00:20:01.368]  And the new James Bond movie will be the one coming up next.
[00:20:01.748 --> 00:20:05.652]  And the new novels will be lectured by women on how being a man is bad.
[00:20:06.573 --> 00:20:07.394]  This is all coming up.
[00:20:09.861 --> 00:20:14.102]  Most of us already know that taking a fish oil supplement to boost omega-3s is a good idea.
[00:20:14.283 --> 00:20:18.184]  But did you know that about 60% of Americans are actually deficient in omega-3s?
[00:20:18.344 --> 00:20:25.526]  Did you know that most fish oil products contain only about 25% omega-3s and the remaining 75% is undesirable fish fat?
[00:20:25.706 --> 00:20:30.728]  Heck, did you know that more than 90% of fish oil supplements sold in the USA are not even made here?
[00:20:30.948 --> 00:20:38.911]  If you want to boost your omega-3s using the finest American-made fish oil, check out Nutrigold fish oil supplements on www.fishoil.best.
[00:20:39.651 --> 00:20:44.875]  Nutrigold fish oils are independently 5-star certified and guaranteed to be exceptionally pure.
[00:20:44.995 --> 00:20:46.436]  That means no more fish burps.
[00:20:46.616 --> 00:20:52.500]  Best of all, just one Nutrigold fish oil capsule contains more omega-3s than four standard fish oil capsules.
[00:20:52.680 --> 00:21:02.766]  Go to www.fishoil.best or call 888-920-1497 and use promo code BESTFISHOIL to get a free one-month supply.
[00:21:02.907 --> 00:21:06.389]  That's www.fishoil.best or call 888-920-1497.
[00:21:09.771 --> 00:21:12.393]  If survivalist housing has been in your plans, get ready.
[00:21:12.633 --> 00:21:16.455]  We're bringing our Kimberline range camps to you February 6th through 14th.
[00:21:16.675 --> 00:21:19.377]  The Great American Outdoor Show in Harrisburg, Pennsylvania.
[00:21:19.597 --> 00:21:26.221]  Get an up-close look at some of our most popular Kimberline models, or visit survivalistcamps.com to pre-order a camp.
[00:21:26.421 --> 00:21:28.703]  We'll bring it to the show and save you the cost of shipping.
[00:21:29.023 --> 00:21:31.204]  It's the perfect time to get that camp you've wanted.
[00:21:31.445 --> 00:21:38.349]  Go to survivalistcamps.com, then plan on joining us at the Great American Outdoor Show in February in Harrisburg, Pennsylvania.
[00:21:39.595 --> 00:21:43.656]  By now, you know the smart way to buy emergency food storage is calories per dollar.
[00:21:43.796 --> 00:21:46.977]  Ready Supply Foods sells you 50% more food for your money.
[00:21:47.177 --> 00:21:50.978]  GMO-free, 25-year shelf life, great tasting and free shipping.
[00:21:51.318 --> 00:21:54.159]  You need 2,000 calories per day under ideal conditions.
[00:21:54.339 --> 00:21:57.859]  Most 30-day kits don't have enough calories to sustain you for more than a week.
[00:21:58.039 --> 00:22:00.520]  They just don't have enough nutrition to do the job.
[00:22:00.700 --> 00:22:03.821]  See the comparisons for yourself at ReadySupplyFoods.com.
[00:22:03.921 --> 00:22:05.981]  We're the new leader in value and quality.
[00:22:06.361 --> 00:22:08.422]  Go to ReadySupplyFoods.com today.
[00:22:10.754 --> 00:22:14.516]  Thousands of people seeking home security get ripped off every day.
[00:22:14.736 --> 00:22:18.498]  And the home security industry wants you to believe that's your only option.
[00:22:18.778 --> 00:22:23.961]  They've got hordes of salesmen out there trying to scare you into signing one of their long-term contracts.
[00:22:24.241 --> 00:22:28.844]  You get stuck writing huge checks month after month with no way out.
[00:22:29.144 --> 00:22:32.366]  It's robbery by contract and it can cost you thousands.
[00:22:32.666 --> 00:22:34.727]  But there's a better way to protect your home.
[00:22:35.087 --> 00:22:36.648]  SimpliSafe Home Security.
[00:22:36.908 --> 00:22:38.549]  SimpliSafe has no contracts.
[00:22:38.929 --> 00:22:39.209]  None!
[00:22:39.490 --> 00:22:42.031]  You'll get award-winning 24-7 protection.
[00:22:42.291 --> 00:22:47.375]  Security professionals watching over your home, ready to instantly send police to the rescue.
[00:22:47.615 --> 00:22:52.319]  For just $14.99 per month, that's less than half what most companies charge.
[00:22:52.539 --> 00:22:54.220]  Protect your home the smart way.
[00:22:54.440 --> 00:23:01.065]  Visit SimpliSafeDefense.com today for an exclusive 10% offer and get a free keychain remote worth $25.
[00:23:02.145 --> 00:23:04.747]  Only when you go to SimpliSafeDefense.com.
[00:23:05.087 --> 00:23:06.909]  SimpliSafeDefense.com.
[00:23:09.039 --> 00:23:09.920]  Hey, Berkey Guy here.
[00:23:10.020 --> 00:23:11.721]  Are you still drinking unfiltered tap water?
[00:23:11.841 --> 00:23:13.543]  Does your water contain chlorine or fluoride?
[00:23:13.603 --> 00:23:15.444]  Will you have drinkable water in an emergency?
[00:23:15.564 --> 00:23:21.449]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:21.569 --> 00:23:25.112]  We offer Berkey water purification systems at the lowest available prices online.
[00:23:25.212 --> 00:23:27.134]  Don't go another moment without a Berkey system.
[00:23:27.174 --> 00:23:30.196]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:30.296 --> 00:23:33.539]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:33.559 --> 00:23:33.739]  That's 877-886-3653.
[00:23:38.783 --> 00:23:40.625]  Healthy, organic, fresh fish.
[00:23:40.845 --> 00:23:42.766]  Robust, mouth-watering vegetables.
[00:23:43.107 --> 00:23:43.927]  All from your home.
[00:23:44.127 --> 00:23:45.308]  It's called Aquaponics.
[00:23:45.569 --> 00:23:50.032]  This brilliant, self-sustaining protein and veggie system is perfect for year-round growing.
[00:23:50.212 --> 00:23:52.414]  Know exactly where your food is coming from.
[00:23:52.674 --> 00:23:56.397]  Aquaponicsource.com is the one-stop shop for all your needs.
[00:23:56.658 --> 00:24:00.120]  Fish, fish food, plumbing, full systems, classes and more.
[00:24:00.280 --> 00:24:01.662]  Learn to build your own system.
[00:24:01.982 --> 00:24:05.885]  Go to aquaponicsource.com for a free guide to aquaponics.
[00:24:06.105 --> 00:24:07.486]  That's aquaponicsource.com.
[00:24:12.958 --> 00:24:15.439]  Don't worry, this show is documented.
[00:24:15.959 --> 00:24:18.700]  Alex Jones, on the GCN Radio Network.
[00:24:19.120 --> 00:24:22.641]  I fell into a burning ring of fire.
[00:24:23.061 --> 00:24:27.083]  I went down, down, down, and the flames went higher.
[00:24:27.703 --> 00:24:29.504]  And it burns, burns, burns.
[00:24:29.584 --> 00:24:34.665]  Well, the Ayatollah Khomeini says Israel won't survive the next 25 years.
[00:24:36.346 --> 00:24:39.267]  Taking to Twitter, Iranian leader says Zionists won't find...
[00:24:41.164 --> 00:24:56.171]  So that is Iran's response to the West trying to work with them.
[00:24:56.231 --> 00:24:59.273]  And you gotta ask, what is Obama's real endgame here?
[00:25:01.694 --> 00:25:03.175]  And I don't want to attack Iran.
[00:25:03.255 --> 00:25:05.596]  I don't want to destabilize Syria to try to bring down Iran.
[00:25:05.916 --> 00:25:07.116]  I don't want to have war with Iran.
[00:25:07.156 --> 00:25:10.158]  I want prosperity for the Persian people.
[00:25:11.966 --> 00:25:18.452]  Upwards of 75% in international polls don't like the ruling Shiite rulers.
[00:25:21.375 --> 00:25:23.777]  But Saudi Arabia is the majority of Islam.
[00:25:24.378 --> 00:25:25.499]  It controls Mecca.
[00:25:25.599 --> 00:25:32.446]  It controls the Wahhabist sect that is taking over Sunni religion.
