[00:00:00.596 --> 00:00:03.207]  You're listening to The Alex Jones Show.
[00:04:27.097 --> 00:04:42.107]  With cotton in their ears to the lowly voices all around them, the globalists are hastily playing their cards as the Eurozone, the demon child conceived in the back rooms of the 1955 Bilderberg meetings, spirals out of control.
[00:04:42.367 --> 00:04:44.569]  John Bound for InfoWars.com
[00:04:45.909 --> 00:04:55.697]  As it was designed to do, and we return the top story, they're calling to end all national sovereignty that's left in the EU as the answer to the EU crisis.
[00:04:56.177 --> 00:05:00.761]  Then the EU itself will collapse and enter the open planetary government.
[00:05:01.181 --> 00:05:06.826]  But only after a five to ten year worldwide depression and orchestrated civil unrest.
[00:05:07.266 --> 00:05:08.047]  I'm Alex Jones.
[00:05:10.237 --> 00:05:14.979]  There's no doubt that our country is in serious trouble right now.
[00:05:15.720 --> 00:05:20.582]  And if you're wondering how on earth we ever got in this situation, well I'll tell you how.
[00:05:21.102 --> 00:05:26.605]  When the Democrats showed their true colors, you got angry and you elected Republicans.
[00:05:27.125 --> 00:05:32.368]  And then when the Republicans showed their true colors, you got angry and elected Democrats.
[00:05:32.808 --> 00:05:42.897]  And when anyone suggested to you that both parties were corrupt and that neither side were looking out for your best interest, you acted like they were crazy.
[00:05:43.477 --> 00:05:51.184]  But the real definition of crazy is doing the same thing over and over again and expecting different results.
[00:05:51.684 --> 00:05:57.591]  That's why it is vitally important that you wake up, America, and break the matrix.
[00:05:57.972 --> 00:06:02.917]  Infowars.com, PrisonPlanet.tv, and the Alex Jones Show.
[00:06:03.338 --> 00:06:05.741]  Because there's a war on for your mind.
[00:06:08.996 --> 00:06:28.559]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused probably 30, 40 firearms manufacturers over the years.
[00:06:28.719 --> 00:06:29.160]  Well then,
[00:06:29.480 --> 00:06:33.143]  About six months ago, we get contacted by Head Down Firearms.
[00:06:33.403 --> 00:06:34.784]  hdfirearms.com.
[00:06:35.084 --> 00:06:43.290]  Owned and run by a bunch of former Navy SEALs, Special Ops people, they're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[00:06:43.510 --> 00:06:47.252]  It's always about security, whether it's for yourself, your wife, your loved ones.
[00:06:47.452 --> 00:06:49.734]  Go to their website, hdfirearms.com.
[00:06:49.834 --> 00:06:54.057]  Buy right off their website, and they'll just send it to the FFL dealer of your choice.
[00:06:54.257 --> 00:06:58.360]  You can pick it up at the gun show, you can pick it up at a local sporting goods store, whatever you do,
[00:06:58.760 --> 00:07:01.721]  Get your Head Down firearm today.
[00:07:01.942 --> 00:07:06.324]  The spirit of 1776 lives at Head Down Firearms.
[00:07:06.444 --> 00:07:08.345]  HDfirearms.com.
[00:07:08.985 --> 00:07:11.426]  Infowarslife.com.
[00:07:11.606 --> 00:07:12.647]  Check it out today.
[00:07:13.107 --> 00:07:18.730]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none.
[00:07:18.850 --> 00:07:20.911]  And that's what you'll find at Infowarslife.com.
[00:07:21.471 --> 00:07:38.175]  We have rejected literally hundreds of products from the InfoWarsLife line because they are not of the very highest quality, or because they're not 100% organic, or because they don't pass all of the strictest toxicology tests there are that we have listed at InfoWarsLife.com.
[00:07:38.315 --> 00:07:49.217]  Whether it's survival shield nascent iodine, or DNA force, super male vitality, super female vitality, lung cleanse, fluoride shield, oxy powder, I believe
[00:07:49.397 --> 00:07:49.937]  We're good.
[00:08:19.426 --> 00:08:22.807]  Resistance to tyrants is obedience to God.
[00:08:23.507 --> 00:08:25.647]  It's Alex Jones.
[00:08:27.767 --> 00:08:48.511]  The internet designed by DARPA is a real-world, real-time interface meant to track every activity of every human on the planet in real time to be able to predict the future and also manipulate the outcomes of future events.
[00:08:51.101 --> 00:08:55.923]  It is designed to blackmail and control and suppress the population.
[00:08:58.264 --> 00:09:11.249]  The last 20 years, as we've seen the internet go from being something that only techies were involved in, since the 70s, to being ubiquitous in every home and every appliance,
[00:09:12.998 --> 00:09:23.523]  Well, simply the rollout of the Trojan horse, glistening and beautiful, coming through the gates with rose petals being thrown before its wheels.
[00:09:26.004 --> 00:09:38.170]  But now, in the dead of night, as the world hurdles into a new dark age, a trap door in the belly is opening, and out is pouring the true payload of the Internet.
[00:09:40.031 --> 00:09:40.691]  I want to be clear.
[00:09:40.751 --> 00:09:42.552]  Technology is a double-edged sword.
[00:09:43.052 --> 00:09:46.694]  Technology in the hands of good people is a good thing.
[00:09:48.375 --> 00:09:49.836]  I'm the opposite of a troglodyte.
[00:09:52.297 --> 00:09:59.680]  But the way it's been designed and the way the system's been set up is dehumanizing.
[00:10:01.581 --> 00:10:09.245]  There's a lot of examples of this today that I'm going to be going over at the bottom
[00:10:11.218 --> 00:10:11.878]  Of the hour.
[00:10:13.559 --> 00:10:14.179]  Like this one.
[00:10:14.279 --> 00:10:14.559]  Oops!
[00:10:14.679 --> 00:10:16.999]  Cheating website Ashley Madison hacked.
[00:10:18.880 --> 00:10:26.882]  Hackers are threatening to out millions of users, 30 plus million, of Ashley Madison, the dating site for married cheaters.
[00:10:30.563 --> 00:10:31.583]  37 million clients.
[00:10:40.154 --> 00:10:41.995]  I read the news every day, intensely.
[00:10:43.116 --> 00:10:44.137]  Constantly, basically.
[00:10:45.999 --> 00:10:48.060]  And you know, you can also go to the statistics.
[00:10:48.200 --> 00:10:53.725]  Almost all data breaches are by the big banks, the government, and mega-sites.
[00:10:56.407 --> 00:11:02.832]  And then they're the very groups always calling for the cashless society.
[00:11:04.813 --> 00:11:06.974]  And to be 100% dependent on technology.
[00:11:07.334 --> 00:11:09.995]  What happens when there's a giant X-Flare that hits the satellites?
[00:11:10.315 --> 00:11:11.836]  What happens when there's a Carrington event?
[00:11:13.037 --> 00:11:17.098]  And we're totally dependent on GPS and robot cars and automation.
[00:11:18.099 --> 00:11:22.381]  Already you see the jobs disappearing because of it, as if it's a foregone conclusion.
[00:11:22.921 --> 00:11:29.104]  We could have built a global architecture and a design model to put humans at the center
[00:11:30.043 --> 00:11:38.387]  of technology to empower and enlighten us, and instead, the globalists openly admit, it's being set up to make us obsolete.
[00:11:41.088 --> 00:11:43.569]  Planned obsolescence for humanity.
[00:11:46.590 --> 00:11:54.814]  And that's the big governing system of our world, governed by the Hungarian-German royal family,
[00:11:59.301 --> 00:12:22.496]  slash Romanian royal family that married in with the Rothschilds the last 200 years and controls much of the planet's wealth, a good two-thirds of it, and is tax-exempt wearing crowns in front of us and being worshipped by every tabloid on the surface of the planet.
[00:12:24.755 --> 00:12:37.358]  And then it comes out, her uncle and her dad and her and all of them hailing Hitler, as if it's news that Edward VIII was going to be set up as the Nazi king of the EU, a German princeling.
[00:12:38.939 --> 00:12:47.881]  And they're talking about arresting whoever released the film footage of her and her Nazi salute.
[00:12:51.360 --> 00:12:54.921]  Well, I mean, this was a program so that her uncle could take over.
[00:12:54.941 --> 00:13:07.666]  Hitler planned to put Edward VIII first on the throne of England, and then on the throne of the EU, and then the throne of the world.
[00:13:07.686 --> 00:13:16.529]  And they have a whole laid out plan, how they'd put fluoride in your water, how they developed biometrics in 1860.
[00:13:19.110 --> 00:13:20.110]  And you gotta hand it to them.
[00:13:20.151 --> 00:13:20.871]  I mean, they're smart.
[00:13:21.571 --> 00:13:22.572]  Devilishly cunning.
[00:13:25.753 --> 00:13:37.819]  And how do you get a public who doesn't even understand the basics of history or the branches of government to understand what they're facing?
[00:13:39.399 --> 00:13:42.781]  Right next to Hitler in the gray trench coat, Edward VIII.
[00:13:45.182 --> 00:13:46.543]  On screen with Adolf Hitler.
[00:13:47.887 --> 00:13:48.907]  At the eagle's nest.
[00:13:53.970 --> 00:13:56.871]  I mean, it's even in the BBC, the EU was a Nazi project.
[00:13:57.851 --> 00:14:11.357]  And let's be clear, the Nazis were one vehicle to establish planetary government, who were then set up by the even more cunning elites,
[00:14:12.785 --> 00:14:23.148]  And used to bring in the United States and the UK elites as the saviors of the world and Bretton Woods with the control of the new global currency, the dollar.
[00:14:24.388 --> 00:14:30.450]  And now we come to the beginning, the beginning of the end of the dollar and the new global SDR.
[00:14:31.331 --> 00:14:39.333]  And I've told you for about 18 years of my 20, that the plan of the Trilateral Commission would be to create three super regions
[00:14:43.718 --> 00:15:00.984]  Merge them through crises, and now the EU is saying get rid of all sovereignty that's left, end all sovereignty in the local countries, transfer it all into the super state, and that will fix the problems.
[00:15:01.024 --> 00:15:03.205]  That's what the French president and others are saying.
[00:15:05.506 --> 00:15:11.748]  Then the EU itself will be completely imploded, and the great planetary regime will be brought in on the back of it.
[00:15:12.810 --> 00:15:20.313]  But first they're going to engineer world social unrest and divide and conquer infighting the likes of which this rock has never seen.
[00:15:21.213 --> 00:15:24.234]  But let's go to the latest Mark Dice video on Infowars.com.
[00:15:25.354 --> 00:15:28.595]  Liberals signed petition to support white privilege tax.
[00:15:29.976 --> 00:15:34.317]  And that ties into Obama and his secret race initiative database.
[00:15:35.037 --> 00:15:35.898]  That ties into
[00:15:37.321 --> 00:15:42.367]  The announcement, if you're disabled on social security, you will have your guns taken.
[00:15:42.987 --> 00:15:44.809]  It was on Infowars.com Saturday.
[00:15:45.430 --> 00:15:46.932]  It's in the LA Times today.
[00:15:48.843 --> 00:15:51.125]  It's all starting, so get ready.
[00:15:51.425 --> 00:15:52.265]  Here's that report.
[00:16:18.943 --> 00:16:25.286]  Well, this is something that we've been trying to do for a while, just to help out with the equality of print, birth date, and a signature.
[00:16:25.306 --> 00:16:36.431]  The white privilege tax is just a small 1% tax on the Caucasians, on their income, and that money will be used to help some of the minority programs, the minority communities.
[00:16:37.092 --> 00:16:39.513]  It'll just help even the playing field, don't you think?
[00:16:40.493 --> 00:16:42.674]  Yeah, I just don't see it getting tough.
[00:16:42.754 --> 00:16:45.016]  Well, we're trying everything we can, and we'll see.
[00:16:45.136 --> 00:16:48.077]  Your signature should help support that quite a bit.
[00:16:48.197 --> 00:16:49.538]  So, thanks for supporting that.
[00:16:49.558 --> 00:16:50.419]  Alright, take care.
[00:16:50.639 --> 00:16:51.099]  Race, are you?
[00:16:51.659 --> 00:16:52.420]  I'm Puerto Rican.
[00:16:52.560 --> 00:16:52.820]  Okay.
[00:16:53.340 --> 00:16:55.762]  We're trying to implement the, you know, white privileges.
[00:16:55.782 --> 00:17:08.329]  A lot of Americans, when they're white, they're born into this white privilege, and so we're implementing a new, just a 1% tax on the Caucasians, just to use that money to fund programs in the minority communities.
[00:17:08.909 --> 00:17:11.590]  Would you help to support the White Privilege Tax?
[00:17:11.690 --> 00:17:13.571]  Just print your name there.
[00:17:14.491 --> 00:17:14.792]  Print.
[00:17:15.432 --> 00:17:16.792]  Birthday and a signature.
[00:17:18.213 --> 00:17:25.936]  The white Americans are born under this white privilege and to help make everything more equal, we're just going to implement the White Privilege Tax.
[00:17:25.996 --> 00:17:28.077]  Just the 1% on the Caucasians.
[00:17:28.837 --> 00:17:32.719]  Use that money and redistribute it into minority communities.
[00:17:32.919 --> 00:17:35.960]  I appreciate you supporting that tax.
[00:17:36.281 --> 00:17:36.861]  Thank you so much.
[00:17:38.376 --> 00:17:53.211]  I'm trying to help out with some of the minority community programs and increase funding by implementing a white privilege tax, just a 1% tax on the Caucasians, which will then be redistributed into helping some of the minority communities.
[00:17:53.552 --> 00:17:55.314]  Well, but actually I'm not from here.
[00:17:56.174 --> 00:18:05.781]  This is really just an you don't even need to be a resident It's basically just to go to the City Council and say hey, we've got a hundred thousand signatures They won't cross-reference or anything and really help out quite a bit.
[00:18:05.801 --> 00:18:15.428]  So in other words tax a white man Yeah, it's the white privilege tax to sort of offset the inequality that we experience as white people being born into white privilege
[00:18:16.689 --> 00:18:23.591]  It's just a 1% income tax on white people to be redistributed to some of the minority communities and programs.
[00:18:23.671 --> 00:18:25.072]  I really appreciate you supporting that.
[00:18:25.092 --> 00:18:26.272]  Did you sign too?
[00:18:26.612 --> 00:18:27.092]  Signature?
[00:18:27.633 --> 00:18:29.513]  Yeah, name, birthdate, and the signature on there too.
[00:18:29.713 --> 00:18:31.474]  Thanks for supporting that white tax.
[00:18:32.274 --> 00:18:38.516]  The white privilege tax, just a small 1% on the Caucasians to help fund programs in the minority community.
[00:18:38.736 --> 00:18:41.717]  We're going to take that silver spoon out of the white people's mouths.
[00:18:41.737 --> 00:18:42.977]  We're going to put it back into yours.
[00:18:43.017 --> 00:18:44.418]  You guys deserve that.
[00:18:45.598 --> 00:18:46.419]  Yeah, but you know what?
[00:18:46.879 --> 00:18:51.982]  I have enjoyed the white privilege myself, so I'm trying to give back to the African-American community with the white privilege tax.
[00:18:52.182 --> 00:18:53.723]  Thank you, appreciate that.
[00:18:53.844 --> 00:18:58.407]  It's a new white privilege tax on the Caucasians' income.
[00:18:58.447 --> 00:18:59.347]  It's just an extra 1%.
[00:18:59.767 --> 00:19:00.788]  That's terrible!
[00:19:01.329 --> 00:19:04.451]  That's awful!
[00:19:04.551 --> 00:19:05.011]  What the f***?
[00:19:06.188 --> 00:19:08.250]  Thank you, I appreciate that bro.
[00:19:08.670 --> 00:19:21.959]  Implement the white privilege tax just to help make everybody more equal so the Caucasians will just have a 1% tax added to their income which will help fund programs in the minorities and in the inner cities.
[00:19:22.800 --> 00:19:27.623]  Just a quick birthdate or print your name, birthdate and a signature.
[00:19:28.184 --> 00:19:32.207]  You know, when white people are born in America, they're born into this white privilege.
[00:19:33.287 --> 00:19:35.728]  This program is going to implement the white privilege tax.
[00:19:35.748 --> 00:19:42.872]  It's just the 1% onto Caucasian income, which will be redistributed into the minority communities.
[00:19:42.992 --> 00:19:46.073]  So I appreciate you supporting that for equality.
[00:19:46.574 --> 00:19:47.114]  Thank you so much.
[00:19:51.356 --> 00:20:01.261]  So apparently these mentally enslaved morons think that in order to fight racism, they're going to implement a racist policy by taxing white people.
[00:20:03.163 --> 00:20:11.588]  You have benefited from white privilege from being in America, so we're trying to give back to the minority communities to implement a white privilege tax.
[00:20:11.889 --> 00:20:12.769]  It's just a 1%... Hold on.
[00:20:12.789 --> 00:20:14.090]  This is a joke?
[00:20:14.710 --> 00:20:16.111]  It's just a 1% tax.
[00:20:16.912 --> 00:20:23.196]  A lot of Caucasians experience white privilege being born in America white, so we're trying to... Thank you.
[00:20:23.256 --> 00:20:24.076]  I appreciate you.
[00:20:24.096 --> 00:20:25.937]  We're trying to... You're the kind of white dude I like.
[00:20:26.358 --> 00:20:26.858]  Thank you.
[00:20:26.958 --> 00:20:27.759]  I'm on your side.
[00:20:27.899 --> 00:20:29.320]  I love white dudes.
[00:20:29.400 --> 00:20:29.780]  I'm white.
[00:20:30.640 --> 00:20:33.841]  I'm German.
[00:20:35.021 --> 00:20:55.787]  We're trying to give back to offset things so we're implementing a new white privilege tax basically to help kind of bring down and offset the white privilege we're implementing extra 1% tax on the Caucasians which will be redistributed to help minority community programs so just print their
[00:20:56.867 --> 00:20:58.468]  Print birthday and a signature.
[00:21:00.470 --> 00:21:08.395]  Well, the white people are beneficiaries of the white privilege institutional racism in this country.
[00:21:09.556 --> 00:21:09.976]  He knows.
[00:21:10.557 --> 00:21:13.739]  And so the white privilege tax, it's just a small 1% tax.
[00:21:14.980 --> 00:21:15.260]  Yeah.
[00:21:15.460 --> 00:21:16.320]  On the Caucasians.
[00:21:16.340 --> 00:21:17.781]  So I appreciate you supporting that, bro.
[00:21:17.801 --> 00:21:21.402]  No, honestly, that's cool that you're promoting, you're aware of that kind of stuff going on.
[00:21:21.722 --> 00:21:22.282]  Yeah, dude.
[00:21:22.362 --> 00:21:24.162]  It's just a small 1% white privilege tax.
[00:21:24.182 --> 00:21:24.502]  It's awesome.
[00:21:24.542 --> 00:21:25.283]  They can deal with that.
[00:21:25.303 --> 00:21:26.063]  I appreciate it.
[00:21:26.103 --> 00:21:35.545]  You know, white privilege, Americans, white Caucasians have benefited from the institutional racism in America and we're trying to implement a new, it's a white privilege tax.
[00:21:35.585 --> 00:21:36.045]  It's just 1% tax.
[00:21:36.125 --> 00:21:38.106]  I don't want to tax you guys.
[00:21:38.186 --> 00:21:39.906]  It's just a 1% tax on the Caucasians.
[00:21:39.986 --> 00:21:42.287]  If it wasn't about you guys, we wouldn't have all of this.
[00:21:43.379 --> 00:21:44.880]  Well, it's time to give back.
[00:21:44.940 --> 00:21:46.000]  What are you talking about?
[00:21:46.060 --> 00:21:49.262]  It's just a 1% tax on the Caucasians to help you.
[00:21:49.302 --> 00:21:50.822]  You're joking.
[00:21:51.182 --> 00:21:52.003]  We are joking.
[00:21:52.023 --> 00:21:54.524]  There's Jay Lenard, Jay Fowler.
[00:21:55.124 --> 00:21:59.906]  Hey, thank you for not being so stupid.
[00:22:00.226 --> 00:22:02.667]  Thank you for not being racist.
[00:22:02.948 --> 00:22:04.968]  We're trying to fight racism by being racist.
[00:22:05.008 --> 00:22:07.089]  How do people actually sign anything?
[00:22:07.209 --> 00:22:09.010]  Oh, they want to just tax the white man?
[00:22:11.111 --> 00:22:14.952]  We're going to fight racism by being racist.
[00:22:15.032 --> 00:22:19.693]  Alright, the full video is up on InfoWars.com and MarkDice.com as well.
[00:22:19.713 --> 00:22:21.773]  There's a little bit more there.
[00:22:21.793 --> 00:22:23.334]  I skipped the network break.
[00:22:25.354 --> 00:22:33.576]  Imagine Martin Luther King, who said we should be colorblind and judgeable by the content of their character and their deeds, which is common sense.
[00:22:36.215 --> 00:22:39.498]  Imagine Martin Luther King watching a spectacle like that.
[00:22:39.999 --> 00:22:42.661]  But that's what modern political correctness is.
[00:22:44.683 --> 00:22:48.166]  And the truth is, the West has a very long, wicked history.
[00:22:49.587 --> 00:22:54.992]  But even the big liberal Jim Morrison said, the West is the best, in one of his songs.
[00:22:57.034 --> 00:22:59.116]  And I don't even know, I'd say the West is the best.
[00:22:59.156 --> 00:23:01.879]  I mean, maybe the best at limited freedom.
[00:23:03.854 --> 00:23:30.282]  Because other societies and cultures, even if they had an elite that was cultured, and that had science, didn't really want to progress, whether it was China, or Japan, or Mesoamerica, or Africa, or the Middle East, because the ruling elite had set up feudalism, and they didn't want an upwardly mobile middle class.
[00:23:31.650 --> 00:23:49.378]  And by the way, it was the same thing for almost a thousand years during what they call the Dark Ages in Europe, where the elite did not want progress and would basically kill anybody that engaged in mathematics, research, herbology, anything.
[00:23:51.119 --> 00:23:53.940]  So the truth is, people act the same all over the world.
[00:23:55.961 --> 00:23:59.743]  And it's very easy for historians to point at problems in Western culture
[00:24:01.536 --> 00:24:05.279]  And then not go study other cultures that did the exact same stuff.
[00:24:05.759 --> 00:24:07.321]  Every culture human-sacrificed.
[00:24:07.821 --> 00:24:09.542]  Every culture sacrificed their children.
[00:24:10.083 --> 00:24:12.305]  Every culture started wars with their neighbors and robbed them.
[00:24:12.785 --> 00:24:15.107]  Every culture played off tribal differences.
[00:24:16.528 --> 00:24:30.099]  Whether it was one African tribe killing another, or one Mesoamerican tribe killing the other, or one Germanic and Gallic tribe killing each other in Europe, it's been the same story over and over again.
[00:24:30.139 --> 00:24:31.000]  And I'm not for war.
[00:24:33.032 --> 00:24:34.713]  But it was necessity.
[00:24:34.993 --> 00:24:40.895]  Inventions basically created out of necessity.
[00:24:41.295 --> 00:24:42.996]  They say necessity is the mother of invention.
[00:24:43.816 --> 00:24:52.620]  And so Europe had all these endless wars, complex wars, and a lot of technology did get developed up until the Renaissance.
[00:24:52.660 --> 00:24:56.201]  The only technology that was allowed was basically military.
[00:24:57.922 --> 00:24:58.502]  If you study
[00:25:00.421 --> 00:25:07.987]  People like Leonardo da Vinci and others, they couldn't make money painting or sculpting like they could coming up with war machines.
[00:25:09.989 --> 00:25:11.610]  And then the middle class started to form.
[00:25:12.371 --> 00:25:13.932]  A lot of factors went into that.
[00:25:15.233 --> 00:25:19.637]  There was a black plague that wiped out most of the elites in the cities.
[00:25:21.769 --> 00:25:46.856]  For the first time in a thousand years, labor was valued, and so people were valued again, and so an attitude that humans weren't ugly and bad was embraced, and we saw the greatest period over the next 450 years of innovation, invention, and light coming into the world that this planet's ever seen.
[00:25:48.649 --> 00:25:59.091]  And now if you read the Club of Rome, Council on Foreign Relations, UN, Ecoscience, or turn on television, it's the world without people!
[00:26:00.072 --> 00:26:02.952]  How much better we'd be without humans?
[00:26:08.574 --> 00:26:17.956]  To destroy our life force, to destroy the idea that humans have any value, to destroy
[00:26:19.554 --> 00:26:19.978]  That innate?
[00:26:21.118 --> 00:26:30.161]  Upward mobility, master builder, designer, creator, spark that humans have in their heart and in their minds.
[00:26:30.982 --> 00:26:49.049]  So that we'll just abdicate our responsibility and our birthright and hand it over to the technological technocrats and say, you know what, we are ugly and bad, we'll just fight with each other here in the dirt and watch civilization unravel and collapse and not rise to the challenge
[00:26:50.069 --> 00:26:51.510]  and see humanity go to the stars.
[00:26:52.071 --> 00:27:00.096]  We agree with you that we're an ugly, brokeback species that isn't even worth moving into the next millennium or even to the next century.
[00:27:01.157 --> 00:27:02.778]  And so we're going to let you run the show.
[00:27:09.923 --> 00:27:19.370]  How did the British Empire, ruled by European royalty, come about
[00:27:21.792 --> 00:27:25.194]  In the 1850s, with the current plan we live under today.
[00:27:25.955 --> 00:27:29.657]  I made a film about it, End Game, a blueprint for global enslavement.
[00:27:30.017 --> 00:27:38.102]  I've talked a lot about Francis Galton and George Bernard Shaw later, and all these different type characters.
[00:27:39.463 --> 00:27:40.243]  Charles Darwin.
[00:27:41.964 --> 00:27:49.389]  And the limited pop representation that the public's given.
[00:27:50.379 --> 00:27:51.820]  Even the so-called intelligentsia.
[00:27:54.162 --> 00:28:12.737]  But what really happened is European elites were challenged by the giant middle class and the fast growth of innovation and technological development and the open dissemination of information and a public that within 200 years of the invention of the printing press
[00:28:14.758 --> 00:28:19.101]  was voraciously accelerating their understanding of the world.
[00:28:19.921 --> 00:28:30.208]  The rock stars of the age were trailblazers, inventors, men of honor, women of honor, and it was just too much for the establishment to handle.
[00:28:30.808 --> 00:28:38.933]  And so they openly went to scientists and said, we're going to buy you all off, develop mind technologies of mind war, as it was called in the 1880s.
[00:28:41.368 --> 00:28:48.673]  To bring people back into enslavement, back into an agrarian society, back into feudalism.
[00:28:51.135 --> 00:29:04.484]  And that's what Agenda 21 and the UN and UNESCO and all of this is, and they admit it, is a new dark age for all of us, with our numbers massively reduced, with the elite
[00:29:06.914 --> 00:29:15.741]  Living in high-tech, breakaway civilization, technological reservations, above the law, tax-exempt, with diplomatic immunity.
[00:29:16.382 --> 00:29:21.126]  In their castles, in their techno-castles, feeding on us outside the gates.
[00:29:22.847 --> 00:29:27.411]  And I know that I make that announcement and basically break that down about once a week.
[00:29:29.659 --> 00:29:32.300]  But that's because no one else is saying it but them.
[00:29:32.820 --> 00:29:35.121]  They're saying what I'm saying, but from their perspective.
[00:29:35.842 --> 00:29:40.884]  And so the public needs to understand the great challenge we face and why we're being divided and conquered right now.
[00:29:42.444 --> 00:29:44.365]  Now when we return, I'll get into the big news.
[00:29:44.946 --> 00:29:47.287]  The EU dictatorship goes into overdrive.
[00:29:48.267 --> 00:29:57.271]  Then the latest on the situation in Chattanooga with protesters on the street saying, how dare you cover up that it was a radical Islamic attack.
[00:29:58.410 --> 00:30:01.411]  We're on the march, the empire's on the run.
[00:30:01.431 --> 00:30:05.113]  Alex Jones and the GCN Radio Network.
[00:30:09.214 --> 00:30:11.735]  Let's talk about the real war on women.
[00:30:12.236 --> 00:30:16.177]  First wave feminism was a noble cause, but modern feminists?
[00:30:16.577 --> 00:30:16.717]  Ha!
[00:30:17.098 --> 00:30:25.021]  Well, instead of fighting for, say, paid and protected maternity leave, they want to ban words, shirts, and manspreading.
[00:30:25.481 --> 00:30:26.142]  Come on!
[00:30:26.482 --> 00:30:33.667]  That's cultural Marxism, which asserts that culture and language is responsible for oppressing women and not the state.
