[00:00:08.140 --> 00:00:09.542]  Bilderberg, 2015.
[00:08:27.509 --> 00:08:48.622]  This morning at Infowars.com and PrisonPlanet.com Bilderberg 2015 to focus on rebranding authoritarianism and in the article and in the video piece that accompanies it he lays out their secret and their public agenda that are pretty much one and the same.
[00:08:48.622 --> 00:08:54.686]  We're going to play that detailed report that really deserves a lot of attention here in just a moment.
[00:09:00.219 --> 00:09:11.242]  Then we're going to be talking to our reporters from Austria at the bottom of the hour, Rob Dew and Josh Owens, about the major developments that have been unfolding.
[00:09:11.242 --> 00:09:19.205]  There is huge international coverage now of Bilderberg, with headlines like, just who exactly is going to Bilderberg meeting?
[00:09:21.288 --> 00:09:27.851]  Bilderberg, who's missing from the guest list for this year's most exclusive gathering, London Telegraph?
[00:09:27.851 --> 00:09:37.156]  And those are just some of the English speaking papers, the English language papers that are breaking it down.
[00:09:37.156 --> 00:09:49.583]  It is all over the German, Austrian, Spanish, Greece, Russian, you name it, pointing out that it's violating all sorts of federal laws in our country and others to have politicians meeting to set policy in secret.
[00:09:50.774 --> 00:09:55.738]  Every country has laws against this for obvious reasons.
[00:09:55.738 --> 00:09:56.779]  Because there's no record.
[00:09:56.779 --> 00:10:04.805]  Just like there's a congressional record, or even if there's a secret committee, there's got to be a record of what was discussed, and then 20 years later, it's supposed to be released.
[00:10:04.805 --> 00:10:11.490]  Because obviously, operating in secret, you can and will have internal takeovers.
[00:10:11.490 --> 00:10:13.952]  You've got people sitting over trillions of dollars of budgets,
[00:10:15.586 --> 00:10:22.870]  And they're secret, and they can keep reclassifying stuff 50, 60 years out as they do now.
[00:10:22.870 --> 00:10:25.391]  It's just absolutely criminal.
[00:10:25.391 --> 00:10:28.193]  Here's Paul Watson's report, and we'll get into all the other news.
[00:10:28.193 --> 00:10:37.638]  The Bilderberg Group has released its full participant list and agenda for the 2015 Elitist Confab days before it's set to begin in Austria.
[00:10:37.638 --> 00:10:43.161]  But as ever, the topics up for discussion are so vague as to almost be meaningless.
[00:10:43.681 --> 00:10:49.364]  And we know that many of the most sensitive topics never appear on the list in the first place.
[00:10:49.364 --> 00:10:53.126]  So what's the real agenda of Bilderberg 2015?
[00:10:53.126 --> 00:10:59.770]  For a start, it's unusual that Bilderberg is taking place after the G7 conference.
[00:10:59.770 --> 00:11:01.491]  It's normally the other way around.
[00:11:01.491 --> 00:11:07.314]  This suggests that Bilderberg's role in not only setting the consensus, but making the final call
[00:11:07.734 --> 00:11:11.036]  ...on many of these issues will be pivotal this year.
[00:11:11.036 --> 00:11:25.986]  The intense security surrounding the Interalpen Hotel, with our reporters Rob Dew and Josh Owens already having been harassed numerous times by police, illustrates how paranoid Bilderberg are about keeping the details of their agenda under wraps.
[00:11:26.346 --> 00:11:30.867]  Artificial intelligence will be one of the core discussion topics at Bilderberg 2015.
[00:11:30.867 --> 00:11:45.411]  And one of the most interesting newbies in terms of Bilderberg attendees is undoubtedly Regina Duggan, former DARPA director and now Google executive, and a pioneer of ingestible ID microchips.
[00:11:45.891 --> 00:12:08.763]  Duggan, along with Google Chairman Eric Schmidt and Demis Hassabis, Vice President of Engineering for Google DeepMind, will scheme with global powerbrokers on how to grease the skids for public acceptance and adoption of Big Brother technology that otherwise wouldn't look out of place in a dystopian sci-fi thriller.
[00:12:08.763 --> 00:12:14.806]  This all ties into Bilderberg's overarching goal of rebranding authoritarianism.
[00:12:14.986 --> 00:12:24.934]  As a result of endless money printing and growing wealth inequality, the global elite has created the preconditions for widespread riots and civil unrest.
[00:12:24.934 --> 00:12:28.997]  We already had a taste of this with Ferguson and Baltimore.
[00:12:28.997 --> 00:12:39.445]  Now the wealthy are buying safe rooms and secret hideaways in remote locations as they prepare to hunker down for the next stage of the economic collapse.
[00:12:39.645 --> 00:12:52.890]  And Bloomberg is now reporting that Johan Rupert, the billionaire owner of Cartier, is worried about artificial intelligence and robots replacing human workers, causing class warfare and social disorder.
[00:12:52.890 --> 00:12:56.331]  Make no mistake, Bilderberg wants class warfare.
[00:12:56.331 --> 00:13:00.333]  They want riots, because this allows the elite to exploit the chaos
[00:13:00.973 --> 00:13:07.637]  Pose as the saviours and introduce the solution of statist and economic totalitarianism.
[00:13:07.637 --> 00:13:16.702]  And if you want to get a true insight into what motivates Bilderberg, look no further than the guy who calls the shots, Henry Kissinger.
[00:13:16.702 --> 00:13:22.905]  All the other Bilderberg attendees bar David Rockefeller show deference to the National Security Advisor.
[00:13:22.905 --> 00:13:27.128]  Kissinger has always been an aggressive advocate of real politic.
[00:13:27.828 --> 00:13:35.173]  An amoral, Machiavellian form of diplomacy and policymaking which eschews morality and ethical considerations.
[00:13:35.173 --> 00:13:46.060]  And of course, Kissinger has been implicated in numerous war crimes, crimes against humanity, kidnap, torture and murder in places like Chile, Cambodia and East Timor.
[00:13:46.060 --> 00:13:55.687]  But what's most alarming is the fact that the 92-year-old Kissinger still advises the Obama administration today.
[00:13:56.167 --> 00:14:11.887]  He's been lobbying for years for regime change in Syria, which may at some stage be achieved as a result of ISIS, created partly as a result of the US arming other jihadist groups in the region, taking over half the country.
[00:14:11.887 --> 00:14:14.871]  Something the Syrian rebels could never accomplish.
[00:14:15.211 --> 00:14:33.831]  Under the guise of stopping terror financing to ISIS, which only seems to have become stronger since the US and others began officially targeting the terror organisation, Bilderberg will discuss imposing harsher bank restrictions, eviscerating whatever financial privacy we have left.
[00:14:34.452 --> 00:14:40.756]  As well as a coordinated EU crackdown on the sale of precious metals.
[00:14:40.756 --> 00:14:44.838]  This ties in to the wider war on cash.
[00:14:44.838 --> 00:14:50.921]  Numerous voices have recently called for eliminating physical currency altogether.
[00:14:50.921 --> 00:14:59.626]  Giving central banks and governments the power to directly control your finances under the justification of preventing an economic collapse.
[00:15:00.246 --> 00:15:12.129]  At its most authoritarian extreme, this means having to obtain government permission every time you withdraw or spend a moderately large sum of money.
[00:15:12.129 --> 00:15:18.811]  France is already set to introduce laws in September which will restrict French citizens from making cash payments over €1,000.
[00:15:20.851 --> 00:15:24.974]  Bilderberg is set to intensify this crackdown on cash.
[00:15:24.974 --> 00:15:39.284]  Preventing Greece from ditching the euro and stacking the deck against the EU referendum outvote in the United Kingdom will also be a core centrepiece of Bilderberg's agenda going forward over the next 12 months.
[00:15:39.284 --> 00:15:44.547]  The EU and the single currency is a pet project of Bilderberg.
[00:15:44.547 --> 00:15:48.230]  If that pillar of world government begins to crumble,
[00:15:48.730 --> 00:16:00.292]  It undermines the rest of the architecture of global government, including TPP, which again, despite not being on the official list, will be discussed by Bilderberg members.
[00:16:00.292 --> 00:16:06.934]  TPP could also be used to sneak through draconian climate change regulations under the radar.
[00:16:06.934 --> 00:16:16.716]  Bilderberg is scheming ways of how to bypass Congress and directly implement the post-industrial revolution that they've been pushing for over a decade.
[00:16:17.256 --> 00:16:28.879]  These measures, if fully implemented, will bankrupt the United States, cost millions of jobs, and force the country into de-industrialised debt slavery.
[00:16:28.879 --> 00:16:41.642]  Geopolitically, Bilderberg will also put pressure on recalcitrant European countries, like Austria, to further isolate Russia while encouraging the arming of Kiev-backed militias.
[00:16:42.222 --> 00:16:52.510]  Don't be surprised to see a major confrontation between NATO and the US before the end of the year as a result of this agenda.
[00:16:52.510 --> 00:17:01.897]  After slamming the G7 as authoritarian rule, China has also been completely frozen out of representation at Bilderberg 2015.
[00:17:01.897 --> 00:17:08.743]  The hegemonic importance of targeting Beijing's influence in the South China Sea, again,
[00:17:09.403 --> 00:17:16.167]  Potentially risking a devastating confrontation will be emphasized at Bilderberg 2015.
[00:17:16.167 --> 00:17:20.670]  Another topic up for discussion is the US presidential election.
[00:17:20.670 --> 00:17:34.298]  Let's not forget that Bilderberg almost certainly acted as kingmaker back in 2008 when both Barack Obama and Hillary Clinton were strongly rumored to have paid a visit to the conference in Chantilly, Virginia.
[00:17:34.298 --> 00:17:37.100]  The attendance of Jim Messina of the Messina Group
[00:17:37.580 --> 00:17:48.323]  The organization that ran Obama's 2012 re-election campaign proves that Hillary is Bilderberg's pick for 2016.
[00:17:48.323 --> 00:17:52.084]  Messina is now advising Hillary Clinton.
[00:17:52.084 --> 00:18:05.568]  His presence at Bilderberg will be focused around ensuring none of Hillary's potential challengers get the big bucks from the innumerable transnational banks and corporations that will be represented
[00:18:07.689 --> 00:18:13.013]  So in summary, Bilderberg's 2015 talking points and agenda for the next 12 months.
[00:18:36.468 --> 00:18:42.853]  Moving towards the abolition of cash and imposing economic totalitarianism.
[00:18:42.853 --> 00:18:48.537]  Discrediting the Out campaign for the United Kingdom's EU referendum.
[00:18:48.537 --> 00:18:55.562]  Rebranding authoritarianism in anticipation of the coming economic collapse.
[00:18:55.562 --> 00:18:59.765]  Finalising the TPP as the next pillar of global government.
[00:19:00.799 --> 00:19:06.314]  Dismantling China and the BRICS country's ability to challenge the unipolar system.
[00:19:07.501 --> 00:19:22.069]  Selling artificial intelligence and Big Brother surveillance as trendy and cool in order to fool the general public into adopting technology that will eviscerate their financial livelihoods and personal privacy.
[00:19:22.069 --> 00:19:31.134]  So that's what we know so far about the real agenda behind Bildberg 2015, with more leaks and information to come.
[00:19:31.134 --> 00:19:36.277]  I'll be travelling out to Austria to join InfoWars reporters Rob Dew and Josh Owens
[00:19:36.937 --> 00:19:45.784]  So be sure to check out the other videos on this channel and the Alex Jones Channel as we lead the coverage for Bilderberg 2015.
[00:19:45.784 --> 00:19:48.406]  That's right.
[00:19:48.406 --> 00:19:50.248]  Excellent job Paul Joseph Watson.
[00:19:50.248 --> 00:19:51.148]  He's now in Austria.
[00:19:51.148 --> 00:19:52.149]  He's now on the ground.
[00:19:52.149 --> 00:19:57.613]  He may even be joining us coming up here in about 10 minutes from our live feed on top of the hotel.
[00:19:57.613 --> 00:19:59.295]  It's all coming up.
[00:19:59.295 --> 00:20:00.456]  He deserves a Pulitzer Prize.
[00:20:01.474 --> 00:20:07.720]  It's time to build your own emergency food stockpile with the industry leader, MyPatriotSupply.
[00:20:07.720 --> 00:20:13.886]  Once you try them, you'll know why so many Americans like you have made them part of their emergency preparedness plan.
[00:20:13.886 --> 00:20:18.931]  Experience the MyPatriotSupply difference today with this unbelievable offer.
[00:20:18.931 --> 00:20:24.336]  Right now, a four-week food supply is only $99, and that includes free shipping.
[00:20:24.336 --> 00:20:26.298]  That's 50% off the online price.
[00:20:26.778 --> 00:20:30.680]  Call 800-274-3070 to claim yours.
[00:20:30.680 --> 00:20:33.141]  Limit two per caller while supplies last.
[00:20:33.141 --> 00:20:38.944]  This offer isn't available online, so you want to make sure and grab this opportunity to get prepared today.
[00:20:38.944 --> 00:20:43.627]  800-274-3070 to get your four-week food supply for the incredible price of only $99, and it'll be shipped to you completely free.
[00:20:49.910 --> 00:20:50.531]  Call 800-274-3070 right now.
[00:20:50.531 --> 00:20:53.053]  That's 800-274-3070 to claim yours while supplies last.
[00:20:53.053 --> 00:20:53.974]  Don't wait, call today!
[00:21:02.284 --> 00:21:12.069]  katiarmor.com is your one-stop shop for the most affordable body armor period with packages starting at $169.99 and free shipping on every order.
[00:21:12.069 --> 00:21:16.291]  Kati offers soft armor and rifle threat rated armor up to level 4.
[00:21:16.291 --> 00:21:20.893]  Go to katiarmor.com and get your body armor today while you still can.
[00:21:20.893 --> 00:21:26.296]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[00:21:26.296 --> 00:21:29.057]  That's katiarmor.com.
[00:21:29.057 --> 00:21:29.938]  Come and take it!
[00:21:30.518 --> 00:21:38.602]  There are hundreds of silver products on the market today, but there's nothing like the astonishing health benefits of the multi-patented One Silver Solution.
[00:21:38.602 --> 00:21:44.484]  Boost your immune system at a great price with our Silver Solution liquid, starting at $12.95 a bottle.
[00:21:44.484 --> 00:21:47.365]  Now available in regular and extra strength.
[00:21:47.365 --> 00:21:49.806]  That's half the price of the leading competitors.
[00:21:49.806 --> 00:21:55.609]  Call 844-USE-SILVER for your free catalog, or go to onesilversolution.com.
[00:21:55.609 --> 00:21:57.550]  Onesilversolution.com.
[00:21:57.550 --> 00:21:59.751]  There is only one silver solution.
[00:22:00.373 --> 00:22:02.155]  Honey, it's time for dinner.
[00:22:02.155 --> 00:22:04.017]  What are you doing over there on your computer?
[00:22:04.017 --> 00:22:05.498]  I'm shopping for a new wallet.
[00:22:05.498 --> 00:22:07.020]  Mine is falling apart.
[00:22:07.020 --> 00:22:13.206]  Hey, did you know there's a company called ID Stronghold that makes shielded wallets to prevent electronic pickpocketing?
[00:22:13.206 --> 00:22:16.429]  Oh, I didn't realize there was such a thing as electronic pickpocketing.
[00:22:16.429 --> 00:22:16.950]  What is that?
[00:22:17.270 --> 00:22:26.798]  Well, apparently many of the new credit and debit cards being issued have radio chips inside them called RFID to transmit our banking information to card readers when we pay.
[00:22:26.798 --> 00:22:35.526]  Unfortunately, a bad guy can also get one of these readers and go around the city scanning people, collecting their credit card numbers and personal information without us knowing it.
[00:22:35.526 --> 00:22:36.146]  Wow!
[00:22:36.146 --> 00:22:37.467]  That sounds scary.
[00:22:37.467 --> 00:22:41.931]  Since you're getting a new wallet anyway, you should definitely get an ID Stronghold shielded wallet.
[00:22:41.931 --> 00:22:42.752]  Are they more expensive?
[00:22:43.172 --> 00:22:43.693]  No.
[00:22:43.693 --> 00:22:51.381]  In fact, I can get a shielded leather wallet from IDStronghold.com for the same price or less than regular unshielded wallets from other stores.
[00:22:51.381 --> 00:22:52.562]  Sounds great!
[00:22:52.562 --> 00:22:55.185]  My wallet isn't falling apart yet, but let me pick one out too.
[00:22:55.185 --> 00:22:59.270]  I want to be protected and these wallets at IDStronghold.com look fantastic!
[00:22:59.770 --> 00:23:00.730]  Hey, Berkey Guy here.
[00:23:00.730 --> 00:23:02.571]  Are you still drinking unfiltered tap water?
[00:23:02.571 --> 00:23:04.312]  Does your water contain chlorine or fluoride?
[00:23:04.312 --> 00:23:06.272]  Will you have drinkable water in an emergency?
[00:23:06.272 --> 00:23:12.255]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:12.255 --> 00:23:15.896]  We offer Berkey water purification systems at the lowest available prices online.
[00:23:15.896 --> 00:23:17.857]  Don't go another moment without a Berkey system.
[00:23:17.857 --> 00:23:20.958]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:20.958 --> 00:23:24.219]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:24.219 --> 00:23:24.399]  That's 877-886-3653.
[00:23:30.765 --> 00:23:40.550]  KDArmor.com is your one-stop shop for the most affordable body armor period with packages starting at $169.99 and free shipping on every order.
[00:23:40.550 --> 00:23:44.772]  KD offers soft armor and rifle throat rated armor up to level 4.
[00:23:44.772 --> 00:23:49.354]  Go to KDArmor.com and get your body armor today while you still can.
[00:23:49.354 --> 00:23:54.777]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[00:23:54.777 --> 00:23:57.538]  That's KDArmor.com.
[00:23:57.538 --> 00:23:58.419]  Come and take it!
[00:24:13.394 --> 00:24:22.300]  We are on the march, the globalists are on the run, but they're fleeing forward trying to accelerate and cement their plans that are in deep trouble.
[00:24:22.300 --> 00:24:29.745]  In the process of trying to establish an open fascist planetary government, they are endangering the entire globe.
[00:24:29.745 --> 00:24:35.288]  And we've got more economists, more experts coming out saying they believe we're going to have World War III,
[00:24:37.110 --> 00:24:46.336]  The owner of Alibaba, arguably bigger than Amazon, is coming out saying he thinks World War III is coming and it's a good thing.
[00:24:46.336 --> 00:24:53.760]  This shows the delusional, crazy town stuff that's starting to go on with these elites.
[00:24:53.760 --> 00:25:02.305]  I don't care how many mansions you've got or how many underground bunkers or jet copters or how many mistresses these people may have.
[00:25:02.305 --> 00:25:05.748]  World War III is something the planet probably won't survive, much less you.
[00:25:07.503 --> 00:25:10.545]  But they're megalomaniacs, and they've lost connection to reality.
[00:25:10.545 --> 00:25:16.148]  I mean, Hitler wasn't a novice.
[00:25:16.148 --> 00:25:24.072]  He was a combat vet of World War I, but he still became delusional and bit off more than he could chew.
[00:25:24.072 --> 00:25:35.058]  I mean, he had 70 million Germans total, and he thought he was going to take over billions of people.
[00:25:35.058 --> 00:25:35.698]  Gave it a good go.
[00:25:37.892 --> 00:25:41.793]  But the delusion soon wore off.
[00:25:41.793 --> 00:25:46.255]  And these elites today, I mean, almost every elite ends up getting crazy at the end of an empire.
[00:25:46.255 --> 00:25:48.356]  And they always start wars, they end up losing.
[00:25:48.356 --> 00:25:51.437]  And now we have this happen, it's goodbye!
[00:25:51.437 --> 00:25:57.379]  Goodbye, we'll be the dead planet!
[00:25:57.379 --> 00:26:03.141]  I mean, life will reconstitute itself and creep back, who knows how many hundreds of thousands of years it'll take.
[00:26:04.363 --> 00:26:10.267]  Bacteria and insects and things will continue on, but goodbye planet Earth.
[00:26:10.267 --> 00:26:14.289]  For all intents and purposes, they want to trash this sucker out big time.
[00:26:14.289 --> 00:26:25.316]  Like a spoiled rock band throwing television sets off the 25th floor.
[00:26:25.316 --> 00:26:29.118]  In the second hour, I'm going to cover the geopolitical news, the economic news.
[00:26:29.118 --> 00:26:31.500]  It's all very intense.
[00:26:33.268 --> 00:26:35.370]  We're going to hit Bilderberg this hour.
[00:26:35.370 --> 00:26:44.918]  Then, in the third hour, Trends Forecaster Gerald Cilente joins us with his latest trend projections, his take on Bilderberg, the TPP, and more.
[00:26:44.918 --> 00:26:46.359]  Always enjoy having Gerald Cilente on.
[00:26:46.359 --> 00:26:49.922]  His new Trends Journal is out.
[00:26:49.922 --> 00:26:51.503]  Spring edition.
[00:26:51.503 --> 00:26:55.567]  Liars, cowards, freaks, and fools spend a while.
[00:26:55.567 --> 00:26:57.689]  Welcome to the Presidential Reality Show.
[00:27:01.459 --> 00:27:04.081]  Let me just give you some of the headlines that are here.
[00:27:04.081 --> 00:27:12.266]  I've probably said this 500, 600 times in the last four years that they would end up sending Al-Qaeda into Syria and other areas.
[00:27:12.266 --> 00:27:16.689]  They were then given the weapons in Benghazi and then they will end up attacking the West.
[00:27:16.689 --> 00:27:18.770]  That'll be used to take our liberties.
[00:27:18.770 --> 00:27:25.215]  When they shoot up a shopping mall or a high school or a convention center, I predicted that.
[00:27:26.445 --> 00:27:29.267]  The calls will be to restrict our Second Amendments.
[00:27:29.267 --> 00:27:30.968]  Well, it wasn't hard to predict this.
[00:27:30.968 --> 00:27:34.170]  The London Independence Day.
[00:27:34.170 --> 00:27:35.570]  ISIS dirty bomb.
[00:27:35.570 --> 00:27:42.234]  Jihadists have seized enough radioactive material to build their first WMD.
[00:27:42.234 --> 00:27:50.059]  When our own government created this organization and changed their name to ISIS to confuse the public when the military said they wouldn't be part of it.
[00:27:51.715 --> 00:28:07.783]  But it's now been, not just leaked, but Defense Intelligence confirmed those documents a month ago and declassified that they quote, predicted that arming the rebels would create a Salafist state in the area.
[00:28:07.783 --> 00:28:11.365]  So they kind of hedged their bet and complained at the time and said, we don't want to do this.
[00:28:11.365 --> 00:28:12.446]  Was that moral?
[00:28:12.446 --> 00:28:13.847]  Was it Machiavellian?
[00:28:13.847 --> 00:28:15.427]  Whatever, it's the same thing.
[00:28:15.427 --> 00:28:18.769]  Our criminal government armed Al Qaeda.
[00:28:18.769 --> 00:28:20.090]  And then changed their name to confuse the public.
[00:28:23.257 --> 00:28:25.518]  Coming up, we're going to get to Syrian rebels.
