[00:00:03.322 --> 00:00:05.182]  Gear up!
[00:01:56.755 --> 00:01:58.896]  The video's up on Infowars.com.
[00:01:58.896 --> 00:02:01.858]  Bilderberg police defend tyrannical checkpoints.
[00:02:01.858 --> 00:02:06.860]  Reporter confronts Austrian police at security checkpoint.
[00:02:06.860 --> 00:02:09.122]  And Dew gets out and goes over and starts talking to them.
[00:02:11.246 --> 00:02:21.913]  Guaranteed, and I know they're watching live as well, guaranteed they're going to try to claim that Dubh was secretly recording him or something when he clearly is there in a public place.
[00:02:21.913 --> 00:02:23.554]  No perception of privacy.
[00:02:23.554 --> 00:02:24.915]  I've checked Austrian laws.
[00:02:24.915 --> 00:02:27.697]  They're the same as ours under common law.
[00:02:27.697 --> 00:02:33.621]  But they always project that you're a criminal because they're protecting known, real criminals.
[00:02:33.621 --> 00:02:36.583]  Let me explain something to the Austrian police watching right now.
[00:02:40.620 --> 00:02:43.203]  This is what your masters don't want.
[00:02:43.203 --> 00:02:45.225]  London Guardian.
[00:02:45.225 --> 00:02:46.707]  The front of the London Guardian.
[00:02:46.707 --> 00:02:48.429]  Forget the G7 Summit.
[00:02:48.429 --> 00:02:51.552]  Bilderberg is where the big guns go.
[00:02:51.552 --> 00:02:52.613]  Do you see this?
[00:02:52.613 --> 00:02:55.737]  Do you hear this, Austrian feds?
[00:02:55.737 --> 00:02:56.678]  Forget the G7.
[00:02:56.678 --> 00:02:58.480]  Bilderberg is where the big guns go.
[00:02:58.480 --> 00:03:00.582]  And we're there like normal people.
[00:03:01.601 --> 00:03:05.963]  Reporting on the group that brags they created the Euro, the TPP, and all of it.
[00:03:05.963 --> 00:03:14.968]  Where they're like normal people that don't want to be conquered by a bunch of people that resemble Spectre from an Ian Fleming novel.
[00:03:14.968 --> 00:03:15.848]  We're normal.
[00:03:15.848 --> 00:03:26.434]  You can try to invert reality with myself who has no criminal record, my reporters who have no criminal record, and who have an upstanding history of breaking real, hardcore, global news.
[00:03:27.591 --> 00:03:35.654]  So go ahead and push it, and show everybody what tyrants you are, and it's going to blow up politically in your face.
[00:03:35.654 --> 00:03:40.375]  And we know, you know, you've got plenty of arrogance over there, and that's fine.
[00:03:40.375 --> 00:03:46.898]  But we're here defending ourselves and our sovereignty, and you should be wanting to defend your country's sovereignty from this usurpation.
[00:03:46.898 --> 00:03:49.799]  Because you've been conquered before by the Nazis.
[00:03:49.799 --> 00:03:52.780]  I don't believe the Globalist Conspiracy is a Nazi conspiracy.
[00:03:53.976 --> 00:04:03.002]  But the European Union, on record, was a project of Adolf Alois Hitler of Austria.
[00:04:03.002 --> 00:04:10.507]  That is a Nazi project, 1937, promoted the year before that at the Olympic Games, on record.
[00:04:10.507 --> 00:04:16.231]  And a Nazi helped establish it when it was set up, Prince Bernhard.
[00:04:16.231 --> 00:04:17.492]  And others.
[00:04:17.492 --> 00:04:22.415]  So, your country is being conquered again by the very same people that conquered your nation in 1939.
[00:04:24.437 --> 00:04:25.518]  1940.
[00:04:25.518 --> 00:04:29.665]  And you're here, acting like goons, trying to frustrate free speech.
[00:04:29.665 --> 00:04:32.489]  But the globalists have already failed.
[00:04:32.489 --> 00:04:33.371]  London Guardian.
[00:04:33.371 --> 00:04:34.913]  Forget the G7 Summit.
[00:04:34.913 --> 00:04:36.376]  Bilderberg is where the big guns go.
[00:04:38.590 --> 00:04:43.996]  Big business set to lobby politicians for the future of EU at Bilderberg Group meeting.
[00:04:43.996 --> 00:04:45.498]  London Independent.
[00:04:45.498 --> 00:04:47.861]  It's all over French, German, Dutch news.
[00:04:47.861 --> 00:04:55.109]  It's not in US news except for InfoWars.com and DrugsReport.com is linking to that and breaking the blockade.
[00:04:55.109 --> 00:04:57.012]  We'll be back doing our job being journalists.
[00:04:59.747 --> 00:05:03.651]  Checkpoints, harassment, and Cobra Commandos.
[00:05:03.651 --> 00:05:06.915]  This is not your granddaddy's smoke-filled room.
[00:05:06.915 --> 00:05:10.038]  This is Bilderberg 2015.
[00:05:10.038 --> 00:05:18.107]  Every year, the Bilderberg Confab tweaks its efforts to lock out the media, deny transparency, and keep its agenda secret.
[00:05:19.068 --> 00:05:34.843]  Similar to the 6.2-mile exclusion zone around the radioactive Chernobyl plant, Austrian Federal Police have set up a similar-sized zone to keep the public away from the hotel where over 150 world leaders will meet in secret.
[00:05:34.843 --> 00:05:44.012]  InfoWars reporters were stopped at a checkpoint, had their vehicles searched, and even had police come to the front door of their hotel room.
[00:05:44.692 --> 00:05:51.879]  All in the name of keeping their cameras away from the 150 world leaders attempting to meet in secret.
[00:05:51.879 --> 00:05:56.944]  We'll have continual coverage of Bilderberg on the Alex Jones Channel on YouTube.
[00:05:58.653 --> 00:06:01.275]  InfoWarsLife.com.
[00:06:01.275 --> 00:06:02.776]  Check it out today.
[00:06:02.776 --> 00:06:08.541]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none.
[00:06:08.541 --> 00:06:11.163]  And that's what you'll find at InfoWarsLife.com.
[00:06:11.163 --> 00:06:18.228]  We have rejected literally hundreds of products from the InfoWarsLife line because they are not of the very highest quality.
[00:06:18.908 --> 00:06:21.390]  Or because they're not 100% organic.
[00:06:21.390 --> 00:06:27.993]  Or because they don't pass all of the strictest toxicology tests there are that we have listed at Infowarslife.com.
[00:06:27.993 --> 00:06:38.879]  Whether it's survival shield nascent iodine, or DNA force, super male vitality, super female vitality, lung cleanse, fluoride shield, oxy powder, I believe
[00:06:39.079 --> 00:06:39.640]  We're good to go.
[00:06:58.649 --> 00:07:03.834]  Alex Jones here with Infowarslife.com Consumer Alert Report.
[00:07:03.834 --> 00:07:11.160]  Many of you are aware that around the world, most populations are woefully deficient in clean forms of iodine.
[00:07:11.160 --> 00:07:19.248]  The good news is, our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[00:07:19.248 --> 00:07:20.229]  The bad news is,
[00:07:20.549 --> 00:07:28.232]  For the first time in more than a year, supplies at Infowarslife.com of Survival Shield X2 Nascent Iodine are running low.
[00:07:28.232 --> 00:07:33.034]  But what's even more serious is the supply of these Deep Earth Crystals.
[00:07:33.034 --> 00:07:40.398]  That exclusive 999 pure source is proprietary and only available to Infowarslife.com.
[00:07:40.398 --> 00:07:43.279]  And that supply is running low and is in question.
[00:07:43.519 --> 00:07:50.510]  That's why it's more important than ever to secure your current and longtime supply of Survival Shield Nascent Iodine X2 today.
[00:07:50.510 --> 00:07:54.496]  Available exclusively at InfoWarsLife.com or by calling toll-free 888-253-3139.
[00:08:04.884 --> 00:08:08.706]  We now take you live to the Central Texas Command Center.
[00:08:08.706 --> 00:08:15.829]  In the heart of the resistance, you're listening to the Alex Jones Show!
[00:08:15.829 --> 00:08:18.970]  It is Tuesday, ladies and gentlemen.
[00:08:18.970 --> 00:08:22.692]  The ninth day of June, 2015.
[00:08:22.692 --> 00:08:26.293]  I'm your host, Alex Jones.
[00:08:36.314 --> 00:08:47.962]  If you go to InfoWars.com, there's an article by Kurt Nemo titled, Bilderberg Orders Cops to Harass Journalists, Voice Your Opposition.
[00:08:47.962 --> 00:08:54.267]  And Paul Watson in the UK about the travel to Austria is writing an update on this.
[00:08:54.267 --> 00:09:03.514]  The federal police came to the Lodge Hotel that InfoWars.com reporters Josh Owens and Rob Dew were staying at.
[00:09:04.994 --> 00:09:21.425]  They were down the mountain at Telth and were upset, the hotel owner said, and were looking for them because of their, quote, YouTube videos and wanted to see their passport and other, quote, papers.
[00:09:21.425 --> 00:09:22.705]  Papers, please!
[00:09:22.705 --> 00:09:24.427]  But they don't say please.
[00:09:24.427 --> 00:09:30.971]  Already at a checkpoint yesterday, they pull up and the police are bugging their eyes out murderously.
[00:09:31.969 --> 00:09:37.571]  Like Rob New and Josh Owens had just been caught with dead babies in the back of the car.
[00:09:37.571 --> 00:09:45.755]  All part of the pure intimidation of you don't come here, you don't cover the 150 flaming bad guys.
[00:09:45.755 --> 00:09:51.838]  Even mainstream news is now likening it to a Mafia 2.0.
[00:09:51.838 --> 00:09:54.919]  Is now likening it to a Spectre meeting.
[00:09:56.519 --> 00:09:58.179]  Guys covering their faces.
[00:09:58.179 --> 00:09:59.660]  Black helicopters landing.
[00:09:59.660 --> 00:10:01.320]  Private jets coming in.
[00:10:01.320 --> 00:10:02.960]  Armored limousines.
[00:10:02.960 --> 00:10:05.861]  And six and a half miles away.
[00:10:05.861 --> 00:10:07.861]  I was corrected by Rob Doo last night.
[00:10:07.861 --> 00:10:11.602]  Six and a half miles away.
[00:10:11.602 --> 00:10:13.703]  They have the first checkpoints on the roads.
[00:10:13.703 --> 00:10:15.583]  Just roads going out of the town.
[00:10:15.583 --> 00:10:16.983]  Roads going other directions.
[00:10:16.983 --> 00:10:17.924]  Major roads.
[00:10:17.924 --> 00:10:18.844]  You pull up.
[00:10:18.844 --> 00:10:19.544]  We have video of this.
[00:10:19.544 --> 00:10:21.184]  We're about to play it if you're a radio listener.
[00:10:21.184 --> 00:10:22.305]  Go to Infowars.com.
[00:10:22.305 --> 00:10:23.205]  You can see it.
[00:10:23.205 --> 00:10:24.205]  And PrisonPlanet.com.
[00:10:25.580 --> 00:10:36.224]  And you pull up and there's federal police with big trucks blocking the road with checkpoints set up searching your vehicles.
[00:10:36.224 --> 00:10:40.665]  If you have a private party and someone threatens it, we're going to protect it.
[00:10:40.665 --> 00:10:44.146]  No, you're not.
[00:10:44.146 --> 00:10:51.089]  These cops' eyes are shaking and bugging out of their heads crazily.
[00:10:51.089 --> 00:10:52.209]  And to Dew's credit,
[00:10:53.914 --> 00:10:59.256]  After the guy really smarts off and runs off, dude gets out and goes over and starts talking to him.
[00:10:59.256 --> 00:11:05.719]  Because it's hard to have some guy bow up to you for no reason and not want to put them in their place.
[00:11:05.719 --> 00:11:06.319]  Here's the deal.
[00:11:06.319 --> 00:11:08.700]  We can't get a hold of our reporters right now.
[00:11:08.700 --> 00:11:10.861]  I talked to them 30 minutes ago.
[00:11:10.861 --> 00:11:14.002]  They were going to do a live feed.
[00:11:14.002 --> 00:11:17.183]  And I'm told we now have them on the phone.
[00:11:17.183 --> 00:11:18.824]  We're going to ascertain what's happening there.
[00:11:18.824 --> 00:11:21.225]  Yes, yes, we'll go phone if we can't do Skype.
[00:11:25.151 --> 00:11:27.672]  But the Globalists are losing right now.
[00:11:27.672 --> 00:11:29.033]  TPP is unraveling.
[00:11:29.033 --> 00:11:32.015]  It's in deep trouble.
[00:11:32.015 --> 00:11:33.235]  Sure, they'll try to pass it again.
[00:11:33.235 --> 00:11:37.458]  We'll fight it again.
[00:11:37.458 --> 00:11:40.179]  These are tectonic forces of good and evil throughout history, folks.
[00:11:40.179 --> 00:11:42.780]  People think, we beat it nine times, but they're back again.
[00:11:42.780 --> 00:11:44.581]  They're gonna win.
[00:11:44.581 --> 00:11:45.262]  No!
[00:11:45.262 --> 00:11:46.903]  We have to want it more than they do.
[00:11:46.903 --> 00:11:48.944]  It's like a four-quarter football game here.
[00:11:48.944 --> 00:11:50.765]  And by the way, we're in the fourth quarter tied.
[00:11:51.843 --> 00:11:54.045]  Fourth quarter's starting, baby.
[00:11:54.045 --> 00:11:55.946]  And for it's all the marbles.
[00:11:55.946 --> 00:12:00.509]  Everything.
[00:12:00.509 --> 00:12:04.471]  Forget the G7 Summit, Bilderberg is where the big guns go.
[00:12:04.471 --> 00:12:08.054]  London Guardian.
[00:12:08.054 --> 00:12:08.894]  London Independent.
[00:12:08.894 --> 00:12:13.417]  Big business set to lobby politicians on the future of the EU at Bilderberg Group meeting.
[00:12:13.417 --> 00:12:15.459]  They go on to basically say it's illegal.
[00:12:17.589 --> 00:12:29.921]  All over, the Spanish, and the Dutch, and the Greek, and the Italian, and the Austrian, and the UK, they're reporting on Bilderberg saying it's criminal.
[00:12:29.921 --> 00:12:40.992]  Here in the US, zero coverage but InfoWars.com and PrisonPlanet.com and other quote alternative media that's bigger than most mainstream media set side-by-side against each outlet.
[00:12:42.970 --> 00:12:45.792]  And DrudgeReport.com helping get it out, linking to our stories.
[00:12:45.792 --> 00:12:52.416]  That's the only groups covering this because mainline conservatives got up for years and said this didn't exist.
[00:12:52.416 --> 00:13:03.842]  Because if you ever admit there's shadowy groups pulling the strings, we'll stop focusing on the puppets and start focusing on the controllers, and then there goes your New World Order down the toilet.
[00:13:03.842 --> 00:13:08.345]  Down the you-know-what-er.
[00:13:08.345 --> 00:13:10.166]  And as we know, all toilets lead to the White House.
[00:13:12.253 --> 00:13:13.854]  Forget the G7 Summit.
[00:13:13.854 --> 00:13:14.795]  They don't like this.
[00:13:14.795 --> 00:13:16.436]  Bilderberg is where the big guns go.
[00:13:16.436 --> 00:13:26.123]  You've already failed, Federal Police, in covering up the criminal meeting, the Spectre meeting, going on in your town.
[00:13:26.123 --> 00:13:40.694]  And oh no, we have to have the police blocking all the entrance roads, the subroads, coming into the main road, because we can't have the public seeing the black sedans and the diplomatic plated vehicles going to meet in secret.
[00:13:41.513 --> 00:13:44.816]  I mean, this is upside-down planet.
[00:13:44.816 --> 00:13:48.559]  This is upside-down world.
[00:13:48.559 --> 00:13:55.704]  Here's what I wanted to ask the Federal Police, and if you go to our article on Infowars.com, Kurt Nimmo says, voice your opposition.
[00:13:55.704 --> 00:13:58.767]  I totally agree with him.
[00:13:58.767 --> 00:14:06.273]  We have all the phone numbers up there, especially if you live in Europe, live in Austria, in surrounding areas, you've got to call them.
[00:14:08.038 --> 00:14:15.202]  And say the world is watching, what are you doing trampling free speech for war criminals like Henry Kissinger?
[00:14:15.202 --> 00:14:20.284]  Give us a break!
[00:14:20.284 --> 00:14:29.629]  And we've got the state police number, the federal police number, the traffic information center, the federal police number.
[00:14:31.118 --> 00:14:34.521]  They're all there with the country codes, everything.
[00:14:34.521 --> 00:14:37.783]  Call the public relations offices and say, how dare you?
[00:14:37.783 --> 00:14:51.635]  Because now the story is going to be about the secret group of fat cats, the secret group of fat cats meeting and then wanting to keep the peasants back six and a half miles.
[00:14:51.635 --> 00:14:56.378]  And then when the peasants dare put up YouTube videos showing the checkpoints,
[00:14:57.458 --> 00:15:05.983]  Police with their eyes bugging out, basically stormed the hotel, guaranteed trying to get our reporters kicked out of it.
[00:15:05.983 --> 00:15:16.790]  And then once they've got them kicked out, like we've seen before, then they won't let them up the road within two miles of the hotel.
[00:15:16.790 --> 00:15:20.372]  And they've told them, you are not to go on any of the National Park trails.
[00:15:20.372 --> 00:15:23.594]  They're harassing people that are skiing, people that are hiking.
[00:15:23.594 --> 00:15:25.175]  This was going on a week and a half ago.
[00:15:25.175 --> 00:15:26.276]  This was in Austrian papers.
[00:15:28.376 --> 00:15:31.517]  In the middle of a tourist destination.
[00:15:31.517 --> 00:15:32.718]  This is a tourist town.
[00:15:32.718 --> 00:15:34.519]  A tourist region.
[00:15:34.519 --> 00:15:36.160]  The Alps.
[00:15:36.160 --> 00:15:38.581]  You're not welcome with the leader!
[00:15:38.581 --> 00:15:40.782]  When the Führer's come to town!
[00:15:40.782 --> 00:15:43.003]  Gruppenführer is in town!
[00:15:43.003 --> 00:15:46.724]  You little scum do not come show it!
[00:15:46.724 --> 00:15:48.605]  It's done in secret!
[00:15:48.605 --> 00:15:51.186]  Project of Adolf Hitler!
[00:15:51.186 --> 00:15:52.087]  Ein Volk!
[00:15:52.087 --> 00:15:52.947]  Ein Reich!
[00:15:52.947 --> 00:15:54.788]  Ein Führer!
[00:15:54.788 --> 00:15:55.789]  Sickening!
[00:15:55.789 --> 00:15:56.509]  Well, guess what?
[00:15:57.537 --> 00:16:00.558]  You failed miserably in your attempt.
[00:16:00.558 --> 00:16:04.820]  And your attempt to smash free speech is only making it explode right now.
[00:16:04.820 --> 00:16:05.921]  You watch.
[00:16:05.921 --> 00:16:10.143]  What you're doing will now be in scores of newspapers.
[00:16:10.143 --> 00:16:11.843]  And will only draw more interest.
[00:16:11.843 --> 00:16:16.305]  And what was the only way we'd fail, ladies and gentlemen?
[00:16:16.305 --> 00:16:19.987]  The only way we'd fail is by not going and showing their tyranny.
[00:16:19.987 --> 00:16:22.548]  Because they always act like the criminal scum they are.
[00:16:22.548 --> 00:16:26.270]  You're not allowed to look Hillary Clinton in the eyes on record at Goldberg.
[00:16:29.960 --> 00:16:32.581]  They treat everyone like total filth.
[00:16:32.581 --> 00:16:35.281]  And their minions treat the people like filth.
[00:16:35.281 --> 00:16:37.082]  This is what they think of you.
[00:16:37.082 --> 00:16:38.902]  Unbelievable!
[00:16:38.902 --> 00:16:45.364]  Let's go to Rob Dew and Josh Owens, reporting from telephone, because Skype is down right now.
[00:16:45.364 --> 00:16:52.406]  Tell us where you are in the surrounding area, and report on the police and what you're planning.
[00:16:52.406 --> 00:16:58.207]  Alright, hey Alex, this is Rob Dew reporting live from Misson, Austria, just right next door to Tulsa.
[00:16:58.886 --> 00:17:03.427]  Even smaller, Hamlet, we have a second hotel here just in case.
[00:17:03.427 --> 00:17:08.169]  We got this actually because it had better Wi-Fi and then all of a sudden the Wi-Fi seems to be acting screwy.
[00:17:08.169 --> 00:17:09.829]  Very interesting.
[00:17:09.829 --> 00:17:15.231]  But today we were down in Telf interviewing people, asking them what they thought about Bilderberg.
[00:17:15.231 --> 00:17:17.732]  Most of the older people didn't want to talk to us.
[00:17:17.732 --> 00:17:19.632]  A lot of the younger kids were interested in Bilderberg.
[00:17:19.632 --> 00:17:21.453]  A lot of them didn't know what it was.
[00:17:21.453 --> 00:17:24.374]  But during all that, I got a call from the hotel manager.
[00:17:25.274 --> 00:17:27.235]  Uh, at the Rompenhof, where we're staying.
[00:17:27.235 --> 00:17:28.095]  We have a cabin up there.
[00:17:28.095 --> 00:17:32.037]  It's the one that's real close to Golderberg, uh, to where the Interhoppen is.
[00:17:32.037 --> 00:17:35.159]  And he called and he wanted to know if, uh, we could pay in full on Wednesday.
[00:17:35.159 --> 00:17:38.000]  I said, yeah, you know, we have no problem, you know, paying up, whatever.
[00:17:38.000 --> 00:17:41.781]  And he goes, well, he goes, also, uh, the police were here looking for you.
[00:17:41.781 --> 00:17:42.722]  I said, really?
[00:17:42.722 --> 00:17:44.143]  I said, we already talked to the police.
[00:17:44.143 --> 00:17:45.223]  We showed them our passports.
[00:17:45.223 --> 00:17:51.806]  Why did, you know, he goes, yeah, uh, these might've been, I don't know if they were different or not, but they were asking about YouTube videos.
[00:17:52.364 --> 00:17:54.666]  And I'm kind of speaking in his broken dialect.
[00:17:54.666 --> 00:17:58.589]  He was, you know, talking in a German accent with English.
[00:17:58.589 --> 00:18:00.851]  And I said, YouTube videos, okay, that's interesting.
[00:18:00.851 --> 00:18:04.093]  I said, we're, you know, is it the same police that are in the parking lot?
[00:18:04.093 --> 00:18:05.975]  Because I'll just go up and talk to him when we come back up.
[00:18:05.975 --> 00:18:08.557]  He goes, no, they came from a different area.
[00:18:08.557 --> 00:18:12.400]  I think these are more like, like your FBI or something.
[00:18:12.400 --> 00:18:16.763]  So that tells me that it could be the Cobra special operators that are here.
[00:18:16.763 --> 00:18:18.645]  There's at least 24 of them that we know of.
[00:18:21.127 --> 00:18:22.748]  By the way, we're not joking.
[00:18:22.748 --> 00:18:28.631]  These are like Special Forces people that reside in a castle and they call themselves Cobra Security.
[00:18:28.631 --> 00:18:31.552]  You cannot make this up.
[00:18:31.552 --> 00:18:32.112]  Right.
[00:18:32.112 --> 00:18:36.975]  And maybe they saw our report John Bound did on Cope and didn't like that.
[00:18:36.975 --> 00:18:41.157]  Or maybe they saw the report of showing the checkpoint and they didn't like that.
[00:18:41.157 --> 00:18:42.458]  They don't like our free speech.
[00:18:42.458 --> 00:18:46.540]  They can go straight to hell with all the other fascist scum.
[00:18:48.086 --> 00:18:48.846]  That's how I feel.
[00:18:48.846 --> 00:18:52.547]  The guy tried to call me out for videotaping the checkpoint.
[00:18:52.547 --> 00:18:59.689]  And I said, listen, you're out here doing something, you know, you're out here supposedly for this event that doesn't start till Thursday.
[00:18:59.689 --> 00:19:00.849]  And he goes, well, we're the police.
[00:19:00.849 --> 00:19:02.529]  We, you know, we have to do this.
[00:19:02.529 --> 00:19:07.471]  And he was trying to justify their tyrannical existence, what they were doing.
[00:19:09.853 --> 00:19:12.476]  After this interview, I plan on going back down into Tulsa.
[00:19:12.476 --> 00:19:15.159]  I'm going to go to the local police and contact them.
[00:19:15.159 --> 00:19:19.104]  I'm just going to go into the police station and say, hey, I heard you guys are looking for me.
[00:19:19.104 --> 00:19:21.266]  And we'll see where it goes from there.
[00:19:21.266 --> 00:19:27.894]  But it's very disconcerting that putting up a YouTube video is going to get you a visit from the police here in Austria.
[00:19:29.622 --> 00:19:33.243]  Well, it shows that Bilderberg has incredible power and is in deep trouble.
[00:19:33.243 --> 00:19:37.784]  I want to come back and have you narrate with us for radio listeners the video of the checkpoint.
[00:19:37.784 --> 00:19:39.365]  There's audio as well.
[00:19:39.365 --> 00:19:42.325]  And this guy was bugging his eyes out at you, Rob.
[00:19:42.325 --> 00:19:45.226]  I mean, I would only look at somebody like that if I wanted to attack him.
[00:19:45.226 --> 00:19:49.027]  I mean, was he not bugging his eyes out at you?
[00:19:49.027 --> 00:19:52.588]  We're going to talk to Dew when we come back on the other side of this quick break.
[00:19:52.588 --> 00:19:54.048]  He may have lost that phone connection.
[00:19:54.048 --> 00:19:55.249]  We'll see what's happening.
[00:19:55.249 --> 00:19:55.669]  Stay with us.
[00:20:00.325 --> 00:20:00.786]  We're good to go.
[00:20:22.006 --> 00:20:24.468]  That's 50% off the online price.
[00:20:24.468 --> 00:20:28.391]  Call 800-274-3070 to claim yours.
[00:20:28.391 --> 00:20:30.853]  Limit two per caller while supplies last.
[00:20:30.853 --> 00:20:36.638]  This offer isn't available online, so you want to make sure and grab this opportunity to get prepared today.
[00:20:36.638 --> 00:20:41.321]  800-274-3070 to get your four-week food supply for the incredible price of only $99, and it'll be shipped to you completely free.
[00:20:47.606 --> 00:20:49.508]  Call 800-274-3070 right now.
[00:20:49.508 --> 00:20:56.374]  That's 800-274-3070 to claim yours while supplies last.
[00:20:56.374 --> 00:20:57.234]  Don't wait.
[00:20:57.234 --> 00:20:58.115]  Call today.
[00:20:58.115 --> 00:21:03.419]  Healthy elimination is essential to high energy, a cheerful mood, and prevention of disease.
[00:21:03.419 --> 00:21:08.284]  Some of the founders of our modern holistic health thinking state that disease begins in a toxic colon.
[00:21:08.284 --> 00:21:15.750]  A toxic intestinal tract is the foundation for virtually all degenerative disease, and a clean and well-moving intestinal tract is the foundation of health.
[00:21:15.970 --> 00:21:18.632]  I just want to say that you folks have an amazing product.
[00:21:18.632 --> 00:21:23.116]  I've taken whey protein products for years and I've never noticed results I have with your product.
[00:21:23.116 --> 00:21:26.299]  I've suffered with thoughts of constipation most of my life.
[00:21:26.299 --> 00:21:30.443]  Within a few days of taking One World Whey, I noticed a dramatic change.
[00:21:30.443 --> 00:21:34.547]  Also in the past few years, I've experienced symptoms associated with diabetes.
[00:21:34.547 --> 00:21:37.970]  I feel horrible when I've had too much sugar and I've been getting the foot pain as well.
[00:21:38.590 --> 00:21:39.890]  Call 888-988-3325 or visit OneWorldWay.com
[00:21:59.585 --> 00:22:04.607]  KDArmor.com is your one-stop shop for the most affordable body armor period.
[00:22:04.607 --> 00:22:09.369]  With packages starting at $169.99 and free shipping on every order.
[00:22:09.369 --> 00:22:13.591]  KD offers soft armor and rifle threat rated armor up to level 4.
[00:22:13.591 --> 00:22:18.173]  Go to KDArmor.com and get your body armor today while you still can.
[00:22:18.173 --> 00:22:23.595]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[00:22:23.595 --> 00:22:26.356]  That's KDArmor.com.
[00:22:26.356 --> 00:22:27.217]  Come and take it!
[00:22:27.697 --> 00:22:37.003]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:22:37.003 --> 00:22:37.783]  This capitalism?
[00:22:37.783 --> 00:22:43.967]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:22:43.967 --> 00:22:47.649]  Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[00:22:47.649 --> 00:22:48.570]  Call for your copy 800-686-2237.
[00:22:48.570 --> 00:22:49.991]  It's time to understand the system.
[00:22:49.991 --> 00:22:50.311]  Call 800-686-2237.
[00:22:50.311 --> 00:22:50.591]  That's 800-686-2237.
[00:22:57.335 --> 00:22:58.296]  Hey, Berky Guy here.
[00:22:58.296 --> 00:23:00.139]  Are you still drinking unfiltered tap water?
[00:23:00.139 --> 00:23:01.881]  Does your water contain chlorine or fluoride?
[00:23:01.881 --> 00:23:03.844]  Will you have drinkable water in an emergency?
[00:23:03.844 --> 00:23:09.851]  The Berky Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:09.851 --> 00:23:13.376]  We offer Berky Water Purification Systems at the lowest available prices online.
[00:23:13.496 --> 00:23:15.438]  Don't go another moment without Berkey System.
[00:23:15.438 --> 00:23:18.560]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:18.560 --> 00:23:23.124]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:23.124 --> 00:23:26.947]  That's 877-886-3653.
[00:23:26.947 --> 00:23:35.654]  Silver has always been nature's very own antibiotic, and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[00:23:35.854 --> 00:23:36.935]  Silver Lungs.
[00:23:36.935 --> 00:23:44.242]  With the addition of our unique lung delivery system, respiratory infections are targeted directly, where traditional oral administration simply cannot reach.
[00:23:44.242 --> 00:23:50.287]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
