[00:00:00.009 --> 00:00:01.439]  The Alex Jones Show!
[00:02:41.305 --> 00:02:44.047]  Your existence is evil.
[00:02:45.068 --> 00:02:45.809]  And I'm not kidding.
[00:02:45.849 --> 00:02:47.110]  I'm going to play the newscast.
[00:02:47.150 --> 00:02:49.871]  We're with a straight face on Bancroft Television.
[00:02:50.771 --> 00:02:51.852]  This is the transabled.
[00:02:52.032 --> 00:03:14.463]  And I told you that the gouging out of the eyeballs, the chopping of the genitals off, the chopping of the arms and legs off, is super trendy and is spreading all over the world right now, and taxpayers must pay for it all, and the housing of what they call... I'm not even going to tell you what they call it, but people live in boxes with their arms and legs cut off and then wear diapers.
[00:03:15.513 --> 00:03:19.595]  And then the trendies dance around, and it's their religious sacrament.
[00:03:20.396 --> 00:03:23.197]  And I'm not kidding when I talk about this.
[00:03:23.258 --> 00:03:25.079]  This is what you've got to accept.
[00:03:25.139 --> 00:03:26.199]  You're bigoted and you're hateful.
[00:03:27.060 --> 00:03:32.003]  And Nambla, of course, is out saying, give us your six-year-olds or you're not trendy and you're racist.
[00:03:32.083 --> 00:03:33.964]  And this is where it's all going.
[00:03:34.064 --> 00:03:35.985]  Oh, and by the way, our story's on DrudgeReport.com.
[00:03:37.389 --> 00:03:39.509]  They didn't do this just in one photo, they did it in two.
[00:03:40.070 --> 00:03:43.210]  I discovered this on Sunday and I wanted to have an article written about it.
[00:03:43.230 --> 00:03:45.651]  I didn't get around to telling the writers what we were going to do it.
[00:03:45.711 --> 00:03:48.011]  Because I found another photo shop where they did it as well.
[00:03:48.071 --> 00:03:52.732]  But they thought it was a little too much to remove his three black moles.
[00:03:53.552 --> 00:03:54.733]  They even removed his moles.
[00:03:55.513 --> 00:03:58.493]  I guess those were too black because the guy is mixed race.
[00:03:59.054 --> 00:04:00.814]  He didn't kill folks because he was black and white.
[00:04:00.834 --> 00:04:03.475]  He killed them because he was a psychopathic anti-christian trendy.
[00:04:06.050 --> 00:04:22.997]  CNN saying oh it's an accident you know that's just what we didn't really do that on purpose where they took a guy that clearly looks like he's part African and part Caucasian and part Hispanic or something and they turned him as white as a piece of tissue paper.
[00:04:24.025 --> 00:04:25.826]  He looks like Casper the Friendly Ghost.
[00:04:26.266 --> 00:04:28.327]  Like he's about to float through a wall or something.
[00:04:28.767 --> 00:04:32.269]  Casper the Friendly Ghost, friendliest ghost you know.
[00:04:32.609 --> 00:04:38.411]  He goes into the school with stolen guns that he got illegal and shoots all the Christians.
[00:04:38.672 --> 00:04:40.252]  So it's the Christian Conservatives fault.
[00:04:40.492 --> 00:04:42.713]  Obama loves you, because Casper said so.
[00:04:42.733 --> 00:04:47.015]  Excuse me, I'm just going a little too crazy here looking at this.
[00:04:47.656 --> 00:04:48.876]  So, that's all coming up.
[00:04:48.996 --> 00:04:52.638]  Hillary says she's the most transparent person in history.
[00:04:56.084 --> 00:04:57.266]  I'm not even going to respond to that.
[00:04:57.286 --> 00:04:58.228]  It's got some bad news.
[00:04:58.569 --> 00:05:00.413]  Deal reached on Pacific Rim trade pact.
[00:05:01.876 --> 00:05:03.920]  Of course, they pitch it like it's a trade deal.
[00:05:03.980 --> 00:05:06.445]  It's a total world government being aligned right now.
[00:05:08.649 --> 00:05:10.649]  Kit Daniels, Infowars.com.
[00:05:10.810 --> 00:05:15.311]  CNN reportedly altered the photo of the biracial organ shooter to make him look more white.
[00:05:15.551 --> 00:05:17.991]  That's a shocking revelation, so let me repeat that.
[00:05:18.211 --> 00:05:23.793]  CNN apparently doctored the photo of the biracial organ shooter, Christopher Mercer, to make people think he's Caucasian.
[00:05:23.973 --> 00:05:32.535]  Mercer uploaded a selfie to social media, but when CNN used the photo in its news broadcast, Mercer's skin tone had dramatically changed to that of a white man.
[00:05:32.735 --> 00:05:37.016]  Furthermore, CNN did not show photos of Mercer's mother, who is African-American.
[00:05:37.236 --> 00:05:43.059]  And the network also didn't report that Mercer was involved in a school play, which contradicts the media's claim that he was a loner.
[00:05:43.259 --> 00:05:44.099]  Why would they do that?
[00:05:44.299 --> 00:05:50.442]  Because a biracial Oregon shooter does not fit into the establishment's propaganda that mass shooters are white racist men.
[00:05:50.642 --> 00:05:57.986]  They also don't want you to know that Mercer was associated with the Black Lives Matter movement, because it would be a political nightmare for Obama if the public knew the truth.
[00:05:58.246 --> 00:06:04.629]  It'd be hard for him to demand more gun control if more people started to realize that President Obama is fueling racial division across the U.S.
[00:06:04.849 --> 00:06:08.091]  Once again, this is Kit Daniels with Infowars.com and PrisonPlanet.tv.
[00:06:08.551 --> 00:06:13.993]  Your liver can be full of fatty deposits, built-up toxins, and even dangerous objects known as liver stones.
[00:06:14.294 --> 00:06:25.659]  We worked with the top developers in the field of detox to take tried and true herbs and other compounds known to safely cleanse the liver and fuse it with the latest research and technological development on
[00:06:25.819 --> 00:06:28.821]  Concentrating these ingredients to give you the maximum effect.
[00:06:29.002 --> 00:06:36.828]  LiverShield is the only liver support product on the market that uses a patented Spigyrex blend of powerful organic herbs that support detoxification.
[00:06:37.008 --> 00:06:42.492]  And when you visit InfoWarsLife.com, see the instructional video on how to do a six-day liver detox.
[00:06:42.572 --> 00:06:45.955]  This isn't a game, and let me tell you, the results are dramatic.
[00:06:46.135 --> 00:06:50.139]  LiverShield is totally organic and made of the safest, high-quality herbs.
[00:06:50.279 --> 00:06:54.162]  But that said, you need to consult your physician before you do the full detox.
[00:06:54.582 --> 00:06:58.566]  LiverShield can also be used daily by itself for overall upkeep of the liver.
[00:06:58.706 --> 00:07:03.711]  Secure your LiverShield today exclusively at InfoWarsLife.com for the lowest price available.
[00:07:03.771 --> 00:07:05.773]  That's InfoWarsLife.com or call 888-253-3139.
[00:07:05.873 --> 00:07:07.074]  I want more candy!
[00:07:07.094 --> 00:07:08.075]  I want more video games!
[00:07:08.635 --> 00:07:09.016]  Why?
[00:07:09.096 --> 00:07:09.316]  Why?
[00:07:09.696 --> 00:07:10.417]  Why?
[00:07:11.698 --> 00:07:21.085]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:07:21.426 --> 00:07:23.967]  All of our children are hit with modern mind control.
[00:07:24.128 --> 00:07:27.510]  Television, music, fast food, GMOs, sugars, you name it.
[00:07:27.690 --> 00:07:33.715]  Young humans have not yet developed their nervous system and are being hammered daily by globulous concoctions.
[00:07:34.015 --> 00:07:38.859]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:07:39.139 --> 00:07:45.302]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:07:45.522 --> 00:07:53.005]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:07:53.265 --> 00:08:00.528]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:08:00.808 --> 00:08:04.249]  Obtain your ChildEase today at InfoWarsLife.com.
[00:08:04.409 --> 00:08:07.351]  That's ChildEase exclusively at InfoWarsLife.com.
[00:08:21.485 --> 00:08:26.447]  From the front lines of the Information War, it's Alex Jones!
[00:08:52.349 --> 00:09:01.634]  We have a congressman joining us at the start of the next hour who is involved in a leadership battle or who will be the next Speaker of the House.
[00:09:01.714 --> 00:09:03.495]  Couldn't be a more important subject.
[00:09:03.535 --> 00:09:06.317]  Congressman Daniel Webster will be popping in.
[00:09:08.098 --> 00:09:16.603]  We are obviously going to be covering the massive military developments and escalation of proxy war taking place in the Middle East via Syria.
[00:09:19.062 --> 00:09:23.444]  The TPP has been reached globally.
[00:09:24.324 --> 00:09:25.564]  The agreement has been reached.
[00:09:25.584 --> 00:09:29.346]  The Washington Post is reporting, but will remain secret from the public.
[00:09:35.088 --> 00:09:37.189]  Thought I'd pause on that one.
[00:09:37.809 --> 00:09:44.812]  Also, this little tidbit out of the New York Post, Delta Force considered staging fake hijacking after 9-11.
[00:09:48.370 --> 00:09:59.475]  Well, the truth is, there was a staged attack on an aircraft by Muttalib to bring in the naked body scanners, and we know that was staged.
[00:09:59.535 --> 00:10:05.238]  We know the CIA put the drugged youth on the aircraft so the firecracker could go off in his pants.
[00:10:05.778 --> 00:10:13.702]  Not so they could stop radical Islamic extremism, but so they could roll out the police state checkpoints against the American people while leaving the borders wide open.
[00:10:16.698 --> 00:10:19.078]  They've never caught one terrorist with all the TSA garbage.
[00:10:19.419 --> 00:10:31.581]  Now the TSA was out for the Pope in three different cities, setting up checkpoints up to five miles away and not letting cars travel on the streets anywhere after 9.30 p.m.
[00:10:34.361 --> 00:10:42.023]  Jakari Jackson and David Knight had to walk, I think they said four plus miles, to their hotel.
[00:10:43.629 --> 00:10:44.850]  With their bags and equipment.
[00:10:45.470 --> 00:10:46.291]  In America.
[00:10:46.911 --> 00:10:48.772]  Because their plane landed at 9 o'clock at night.
[00:10:50.293 --> 00:10:53.775]  And they ran into military and TSA and border patrol.
[00:10:54.415 --> 00:10:56.136]  But none of them were on the border itself.
[00:10:57.657 --> 00:10:58.497]  That's coming up.
[00:11:01.559 --> 00:11:06.182]  Let me just read you some of the political correctness headlines today.
[00:11:07.614 --> 00:11:13.538]  Lesbian Swedish Bishop wants Christian crosses removed from churches to please Muslims.
[00:11:15.119 --> 00:11:22.845]  Replace the symbols with making and marking the direction of Mecca.
[00:11:24.706 --> 00:11:27.228]  So replace the crosses with Islamic symbols.
[00:11:27.788 --> 00:11:30.770]  To be politically correct, because your Christian culture is hurtful.
[00:11:33.672 --> 00:11:34.353]  Here's another one.
[00:11:35.578 --> 00:11:40.859]  Feminists fall for 4chan troll campaign by peeing themselves.
[00:11:45.201 --> 00:11:56.524]  4chan, the popular hacking site, put out the meme that feminists should urinate on themselves to prove that they're true feminists and of course they did it and posted the photos of themselves doing it in mass.
[00:11:57.264 --> 00:11:59.485]  Let's continue with the political correctness news.
[00:12:00.545 --> 00:12:04.486]  CNN turns mixed-race Oregon shooter into a white man.
[00:12:05.319 --> 00:12:07.200]  That story is on DrudgeReport.com.
[00:12:07.380 --> 00:12:07.560]  L.A.
[00:12:07.600 --> 00:12:17.004]  Times claims Mercer was a white supremacist even though he was an admitted leftist who lived with his mommy and hated Christians.
[00:12:18.084 --> 00:12:25.527]  But now a guy that was part black and part white was turned white, and go back to it, his nose was made smaller.
[00:12:26.328 --> 00:12:28.149]  What, did he visit Michael Jackson's surgeon?
[00:12:31.210 --> 00:12:33.711]  Oh, but CNN now is saying it's an accident.
[00:12:35.498 --> 00:12:36.498]  It's an accident.
[00:12:37.999 --> 00:12:41.479]  And in other photos, they've been lightening his skin as well.
[00:12:41.960 --> 00:12:42.800]  And then you compare them.
[00:12:46.581 --> 00:12:48.581]  And then Obama is out blaming gun owners.
[00:12:48.641 --> 00:12:56.403]  Hillary has said that she's going to never relent, that's a quote, in the eradication of the Second Amendment.
[00:12:58.524 --> 00:12:59.324]  Oh, but it gets better.
[00:13:00.603 --> 00:13:06.125]  Just a few minutes before I went on air, Richard, one of the crew members, walked in and said, you never covered this, I noticed.
[00:13:06.165 --> 00:13:07.106]  Did you know about it?
[00:13:08.066 --> 00:13:18.250]  And I did know about it, but it's one of those things where I do most of my research at home, at my home office, and then I just tend to forget once I get up here to pull it back up.
[00:13:18.310 --> 00:13:23.172]  I tend to send instant messages over to the crew of stories, but
[00:13:24.491 --> 00:13:30.095]  Obama administration and UN announced global police force to fight extremism in the U.S.
[00:13:30.575 --> 00:13:32.396]  That's Breitbart from the 29th.
[00:13:32.436 --> 00:13:33.777]  We're talking six days ago.
[00:13:33.817 --> 00:13:35.078]  I didn't cover it.
[00:13:35.118 --> 00:13:35.678]  Excuse me.
[00:13:36.338 --> 00:13:37.399]  I'm glad you pointed it out.
[00:13:37.419 --> 00:13:39.340]  I mean, people call up sometimes and go, why did you cover this?
[00:13:39.360 --> 00:13:41.061]  Because I didn't know so much.
[00:13:41.101 --> 00:13:41.722]  I don't know everything.
[00:13:41.742 --> 00:13:42.762]  I don't know a lot of stuff, folks.
[00:13:42.802 --> 00:13:44.844]  It's so much worse than I always say.
[00:13:45.244 --> 00:13:47.505]  Nine times out of 10, we're not exaggerating.
[00:13:47.525 --> 00:13:48.586]  It's worse than we're saying.
[00:13:51.630 --> 00:13:55.473]  That's what's crazy about it, is that it sounds like I'm exaggerating sometimes here.
[00:13:55.893 --> 00:13:58.835]  They are having the Stasi reactivated in Europe.
[00:14:00.296 --> 00:14:00.957]  In Germany.
[00:14:04.059 --> 00:14:07.042]  Because in the news today, they're officially turning it back on.
[00:14:07.102 --> 00:14:15.268]  Not just hiring former Stasi, just that Facebook's hiring former Stasi themselves, who then call the Stasi, this new German directorate made up of Stasi,
[00:14:16.152 --> 00:14:18.494]  Who then take your children away.
[00:14:19.034 --> 00:14:19.995]  That was in the news yesterday.
[00:14:20.015 --> 00:14:21.677]  We can pull that up from InfoWars.com.
[00:14:21.937 --> 00:14:24.619]  It links to mainstream German newspapers.
[00:14:26.741 --> 00:14:43.815]  Where, with a straight face, they say that the German bar is basically ordering people to be on the lookout who criticize open borders and that the children need to be taken from the parents.
[00:14:44.838 --> 00:14:47.059]  Because they're being taught cultural xenophobia.
[00:14:47.679 --> 00:14:54.822]  I mean, this is ultra-massive totalitarianism, so over-the-top it makes my mind spin.
[00:14:58.604 --> 00:15:05.287]  But before I hit any of this incredible news, that's just some, that's just some, I covered three stacks here.
[00:15:05.367 --> 00:15:13.150]  I've got nine other stacks, nine other stacks I haven't even mentioned to you, that are just as insane.
[00:15:15.290 --> 00:15:27.576]  I want to explain why it's all happening today, because this is the key, one of many keys, but one of the key keys, the skeleton key, to understand why they're doing all this.
[00:15:29.217 --> 00:15:44.284]  When half the public is dying of cancer by 2030, and that's even in British newspapers, when half the newborn babies by 2030 or so have neurological disorders, autism spectrum disorders,
[00:15:45.575 --> 00:15:47.196]  This is the current CDC projection.
[00:15:48.236 --> 00:15:49.156]  One in three by 2025.
[00:15:51.577 --> 00:15:59.640]  When almost everyone you know is dead or dying or being kept alive by bizarre transmutagenic genetic engineering.
[00:15:59.660 --> 00:16:06.922]  So we're going to have to give up our humanity just to live because the globalists have treatments and cures for everything they're deploying against us.
[00:16:07.922 --> 00:16:09.683]  The stuff we see now is 50-year-old medicine.
[00:16:10.555 --> 00:16:17.899]  They're going to accelerate the rollout of life extension, you name it, and incredible designer drugs where the public won't care.
[00:16:17.919 --> 00:16:26.424]  It is going to be a total war on consciousness getting us ready for the singularity, the merger with machines, and the new creation.
[00:16:28.865 --> 00:16:32.407]  The globalists want to be God, they want to play God, they believe they're becoming gods.
[00:16:33.436 --> 00:16:34.457]  Every one of them says this.
[00:16:34.497 --> 00:16:41.783]  They have huge conferences where tens of thousands of billionaires and millionaires and rich people and stars go at closed resorts.
[00:16:42.323 --> 00:16:46.466]  You know, William Shatner comes and speaks and, you know, it's all exciting.
[00:16:46.526 --> 00:16:47.027]  It's fun.
[00:16:47.287 --> 00:16:48.428]  They're not even bad people.
[00:16:48.468 --> 00:16:51.170]  They're the level below the very top.
[00:16:52.591 --> 00:16:54.052]  They're the ones seduced in.
[00:16:54.092 --> 00:16:55.754]  And why wouldn't you be for life extension?
[00:16:56.514 --> 00:17:01.758]  Why wouldn't you be to be, you know, let in to all this advanced CIA
[00:17:04.386 --> 00:17:07.709]  Drugs, and everything else the elite have to offer.
[00:17:09.831 --> 00:17:13.514]  I mean, it's hard to not sell out to this satanic system.
[00:17:14.815 --> 00:17:19.318]  Believe me, I've got an idea, and I know some of the things they've got, and it's tempting.
[00:17:22.101 --> 00:17:24.803]  Very, very tempting, but I know it kills the soul.
[00:17:25.664 --> 00:17:29.547]  And I know it's a trap, and down the road, it is nothing but total darkness.
[00:17:33.305 --> 00:17:58.041]  But the reason they're doing this, the reason they are advertising the craziest stuff and pushing the weirdest things in the National Post in Canada saying taxpayers should pay for people to have their arms and legs cut off, and you're a trans-abled phobic
[00:17:59.218 --> 00:18:07.004]  Redneck if you don't want to pay to have somebody's arms and legs cut off and pay to have them kept in a government facility in a box so that their lover can come have sex with them.
[00:18:08.466 --> 00:18:15.311]  And I'm sorry to have to talk about stuff like this but this is the next wave to be force-fed down our throats.
[00:18:18.273 --> 00:18:24.719]  And so that's why they've got to normalize all this craziness so that things are so scrambled so that there's not any
[00:18:26.872 --> 00:18:27.213]  Rudder.
[00:18:27.833 --> 00:18:29.095]  Where anything goes.
[00:18:29.915 --> 00:18:32.999]  So we won't care when our neighbors are being drug off to a FEMA camp.
[00:18:34.099 --> 00:18:38.640]  So we won't care if they're putting psychotropics in all the kids' school lunches.
[00:18:38.700 --> 00:18:40.460]  That's what's being announced in the next phase.
[00:18:41.241 --> 00:18:44.261]  So we won't care when we're buying and selling with biometrics.
[00:18:44.701 --> 00:18:50.642]  So we won't care when half the people on the block are dying of cancer or neurological disorders.
[00:18:51.143 --> 00:18:54.603]  It's just got to be totally insane, whacked out wild.
[00:18:55.083 --> 00:18:57.704]  You're not going to have tax rebates for having kids.
[00:18:58.164 --> 00:19:02.265]  You're going to have tax rebates for gouging your eyeballs out with hot pokers.
[00:19:04.980 --> 00:19:07.041]  And they just put it on the news with a straight face.
[00:19:08.361 --> 00:19:09.782]  Burn your eyes out with Drano.
[00:19:09.922 --> 00:19:10.502]  It's sexy.
[00:19:10.582 --> 00:19:11.143]  It's cool.
[00:19:11.643 --> 00:19:15.064]  These people are poor, sad folks, but this is who they really are.
[00:19:15.445 --> 00:19:16.425]  You need to accept it.
[00:19:17.566 --> 00:19:24.409]  But, you also got a lot of a man come in the restroom with you because they feel like they're a woman.
[00:19:25.469 --> 00:19:29.891]  But, a normal heterosexual relationship is oppressive of women and should be banned.
[00:19:32.020 --> 00:19:43.149]  It is the injection of mass mental illness with rudderless, mindless, dumbed down, domesticated people raised by liberals.
[00:19:44.190 --> 00:19:49.475]  Now these new people are just begging for death, begging for destruction.
[00:19:49.775 --> 00:19:53.979]  Their religion is hating themselves and getting a hold of your children.
[00:19:55.400 --> 00:20:00.084]  And it's just to lay the groundwork for us to fall like an old rotten dead tree in a high wind.
[00:20:01.181 --> 00:20:04.144]  Because the mass extermination of the general public comes after this.
[00:20:04.544 --> 00:20:06.065]  This is just the softening up phase.
[00:20:06.226 --> 00:20:07.307]  We'll break it down on the other side.
[00:20:08.848 --> 00:20:13.072]  Most of us already know that taking a fish oil supplement to boost omega-3s is a good idea.
[00:20:13.272 --> 00:20:17.175]  But did you know that about 60% of Americans are actually deficient in omega-3s?
[00:20:17.336 --> 00:20:21.539]  Did you know that most fish oil products contain only about 25% omega-3s, and the remaining 75% is undesirable fish fat?
[00:20:24.682 --> 00:20:29.704]  Heck, did you know that more than 90% of fish oil supplements sold in the USA are not even made here?
[00:20:29.904 --> 00:20:38.408]  If you want to boost your Omega-3s using the finest American-made fish oil, check out Nutrigold fish oil supplements on www.fishoil.best.
[00:20:38.608 --> 00:20:43.810]  Nutrigold fish oils are independently 5-star certified and guaranteed to be exceptionally pure.
[00:20:43.970 --> 00:20:45.430]  That means no more fish burps.
[00:20:45.591 --> 00:20:51.473]  Best of all, just one Nutrigold fish oil capsule contains more Omega-3s than four standard fish oil capsules.
[00:20:51.653 --> 00:21:01.697]  Go to www.fishoil.best or call 888-920-1497 and use promo code BESTFISHOIL to get a free one month supply.
[00:21:01.877 --> 00:21:05.359]  That's www.fishoil.best or call 888-920-1497.
[00:21:08.945 --> 00:21:09.705]  Wait a minute!
[00:21:09.946 --> 00:21:14.748]  Don't spend a dime on emergency food storage until you visit ReadySupplyFoods.com.
[00:21:15.229 --> 00:21:23.493]  If you're interested in getting the most high-quality food for your money, then see our comparison page where we list all the companies and rank them by value for your dollar.
[00:21:23.974 --> 00:21:28.897]  You'll see that ReadySupply Foods sells 50% more food for your money than any other company.
[00:21:29.337 --> 00:21:33.299]  GMO-free, 25-year shelf life, great tasting and free shipping.
[00:21:33.699 --> 00:21:37.401]  Make an informed decision by going to ReadySupplyFoods.com today!
[00:21:38.502 --> 00:21:40.343]  Who's among the worst at keeping your data private?
[00:21:40.484 --> 00:21:43.966]  The Electronic Frontier Foundation Privacy Report says it's AT&T.
[00:21:44.226 --> 00:21:50.290]  AT&T customers need to know this when calling the Alex Jones 24-7 listen line at 1-605-562-9000.
[00:21:50.471 --> 00:21:51.471]  Big Brother is listening.
[00:21:51.711 --> 00:21:55.714]  No apps, no data, no internet needed, and no extra cost if you have unlimited minutes.
[00:21:55.894 --> 00:22:00.117]  Call the Alex Jones 24-7 listen line on any phone, but please don't use AT&T.
[00:22:00.237 --> 00:22:02.939]  For everyone else, bookmark Alex Jones listen line number today.
[00:22:02.959 --> 00:22:03.199]  1-605-562-9000.
[00:22:03.240 --> 00:22:03.460]  That's 1-605-562-9000.
[00:22:08.303 --> 00:22:14.627]  My name is Bill Bonner and I'm the president of the largest private news and research network in the world.
[00:22:15.007 --> 00:22:19.970]  And I paid for this airtime because I have an important message to the American people.
[00:22:20.491 --> 00:22:24.493]  There's a change coming that the government isn't telling you about.
[00:22:25.033 --> 00:22:28.896]  This change has deep implications for life in America.
[00:22:29.336 --> 00:22:33.579]  From where you shop, to the doctors you visit, and the family you want to protect.
[00:22:34.159 --> 00:22:36.920]  Look, I've made predictions like this before.
[00:22:37.301 --> 00:22:39.522]  Thing is, I was right then, too.
[00:22:40.242 --> 00:22:44.184]  A few years ago, I warned that housing prices would collapse.
[00:22:44.664 --> 00:22:45.164]  They did.
[00:22:45.744 --> 00:22:50.187]  Before that, I warned that dot-com companies would crash.
[00:22:50.807 --> 00:22:51.287]  They did.
[00:22:51.967 --> 00:22:55.249]  Those who listened had a chance to save themselves.
[00:22:55.829 --> 00:22:57.810]  But this has nothing to do with the stock market.
[00:22:58.190 --> 00:22:59.351]  This will affect us all.
[00:22:59.691 --> 00:23:01.752]  You can watch the video for free right now.
[00:23:08.115 --> 00:23:16.820]  Silver has always been nature's very own antibiotic, and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[00:23:17.020 --> 00:23:17.941]  Silver lungs!
[00:23:18.101 --> 00:23:25.245]  With the addition of our unique lung delivery system, respiratory infections are targeted directly, where traditional oral administration simply cannot reach.
[00:23:25.405 --> 00:23:31.268]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[00:23:31.428 --> 00:23:35.492]  See the Silver Lungs generator and lung delivery system at SilverLungs.com.
[00:23:35.552 --> 00:23:37.374]  That's SilverLungs.com.
[00:23:37.674 --> 00:23:39.496]  Healthy, organic, fresh fish.
[00:23:39.736 --> 00:23:41.658]  Robust, mouth-watering vegetables.
[00:23:41.999 --> 00:23:42.819]  All from your home.
[00:23:43.020 --> 00:23:44.201]  It's called Aquaponics.
[00:23:44.461 --> 00:23:48.926]  This brilliant, self-sustaining protein and veggie system is perfect for year-round growing.
[00:23:49.126 --> 00:23:51.268]  Know exactly where your food is coming from.
[00:23:51.548 --> 00:23:55.273]  Aquaponicsource.com is the one-stop shop for all your needs.
[00:23:55.534 --> 00:23:58.979]  Fish, fish food, plumbing, full systems, classes and more.
[00:23:59.159 --> 00:24:00.541]  Learn to build your own system.
[00:24:00.861 --> 00:24:04.767]  Go to aquaponicsource.com for a free guide to aquaponics.
[00:24:04.987 --> 00:24:06.609]  That's aquaponicsource.com.
[00:24:15.241 --> 00:24:26.227]  We're playing this for Bancroft Television to analyze how mainstream media is mainlining the trans-abled movement to mutilate or man yourself all at taxpayer expense.
[00:24:26.627 --> 00:24:28.088]  Here is part of the sickening report.
[00:24:31.946 --> 00:24:33.047]  B.I.I.D.
[00:24:33.387 --> 00:24:37.548]  means that you have a need to be disabled in some way.
[00:24:37.709 --> 00:24:40.550]  In my case, it was a need to go blind.
[00:24:41.250 --> 00:24:44.952]  Nine years ago, Jewel took the drastic decision to blind herself.
[00:24:45.512 --> 00:24:47.413]  And she researched the method she would use.
[00:24:48.333 --> 00:24:53.434]  I found that lye is very painful, although it does get the job done.
[00:24:53.814 --> 00:25:00.736]  I found that drain cleaner is little less painful, although it does a lot of damage to the eye.
[00:25:01.036 --> 00:25:05.497]  Because drain cleaner was easily available to me, I went with that.
[00:25:05.897 --> 00:25:13.258]  She found a psychologist willing to help her, and after two weeks of working together to make sure she was ready, they carried out Jewel's plan.
[00:25:13.718 --> 00:25:16.759]  I laid down on the sofa, and he sat next to me.
[00:25:17.699 --> 00:25:19.660]  Two drops into each eye.
[00:25:20.020 --> 00:25:22.502]  My eyes were screaming.
[00:25:22.522 --> 00:25:27.865]  I had some drain cleaner going down my cheek, burning my skin.
[00:25:27.885 --> 00:25:32.927]  In the moment, all I could think of was, I'm going blind.
[00:25:33.247 --> 00:25:34.008]  It's going to be okay.
[00:25:34.848 --> 00:25:42.395]  After waiting half an hour to make sure the damage was done, the psychologist took Jewel to hospital where doctors fought to save her sight.
[00:25:42.915 --> 00:25:54.625]  When I woke up the following day, I was joyful until I turned on my back, opened my eyes and could see the TV screen.
[00:25:55.265 --> 00:25:59.569]  I was so enraged and I thought that it hadn't worked.
[00:26:00.089 --> 00:26:09.924]  Then, over about six months, the sight in both eyes slowly went away.
[00:26:10.524 --> 00:26:12.147]  I was so happy.
[00:26:12.167 --> 00:26:15.411]  I felt that this was who I was supposed to be.
[00:26:15.492 --> 00:26:16.173]  Okay, that's enough.
[00:26:18.166 --> 00:26:20.348]  And that's Barcroft Television out of the UK.
[00:26:20.368 --> 00:26:21.829]  It's worldwide.
