[00:00:06.583 --> 00:00:08.144]  Oh, baby!
[00:06:10.269 --> 00:06:18.132]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:06:18.132 --> 00:06:19.273]  But for how long?
[00:06:19.273 --> 00:06:25.895]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:06:25.895 --> 00:06:28.716]  Infidel Body Armor just won't quit.
[00:06:30.347 --> 00:06:34.949]  The average person's life is filled with unexpected challenges.
[00:06:34.949 --> 00:06:41.353]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:06:41.353 --> 00:06:50.738]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:06:50.738 --> 00:06:55.540]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[00:07:00.157 --> 00:07:07.359]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:07:07.359 --> 00:07:16.981]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:07:16.981 --> 00:07:24.963]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[00:07:25.263 --> 00:07:34.909]  Infowarslife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at Infowarslife.com.
[00:07:34.909 --> 00:07:41.774]  Now Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:07:42.034 --> 00:07:52.077]  Now more than ever it's important to stock up on high quality silver bullet from Infowarslife.com and to help others during Christmas by teaching them about the powerful benefits of silver.
[00:07:52.077 --> 00:07:56.438]  Secure your silver bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[00:07:56.438 --> 00:07:56.918]  Total Commitment 2015.
[00:07:56.918 --> 00:07:58.379]  A decision is being made by the President
[00:08:10.283 --> 00:08:13.285]  And the Joint Chiefs in the War Room at the Pentagon.
[00:08:13.285 --> 00:08:20.189]  And when they realize there is no possibility of recalling the wing, there will be only one course of action only.
[00:08:20.189 --> 00:08:21.089]  Total commitment.
[00:08:21.089 --> 00:08:22.330]  Total commitment.
[00:08:22.330 --> 00:08:25.912]  Mandry, do you recall what Clemenceau once said about war?
[00:08:25.912 --> 00:08:30.155]  No, I didn't think I'd notice that, no.
[00:08:30.155 --> 00:08:33.697]  He said war was too important to be left to the generals.
[00:08:33.697 --> 00:08:38.680]  When he said that, 50 years ago, he might have been right.
[00:08:38.680 --> 00:08:39.160]  But today,
[00:08:40.558 --> 00:08:43.700]  War is too important to be left to politicians.
[00:08:43.700 --> 00:08:51.663]  They have neither the time, the training, nor the inclination for strategic thought.
[00:08:51.663 --> 00:08:55.765]  Resistance to tyrants is obedience to God.
[00:08:55.765 --> 00:08:57.986]  It's Alex Jones.
[00:08:57.986 --> 00:09:02.688]  We're doing something a little different here today.
[00:09:02.688 --> 00:09:05.150]  It is the first day of 2015.
[00:09:05.150 --> 00:09:06.070]  We made it.
[00:09:06.070 --> 00:09:06.850]  Can you believe it?
[00:09:06.850 --> 00:09:07.911]  By the grace of God.
[00:09:08.991 --> 00:09:10.973]  This is going to be an amazing year.
[00:09:10.973 --> 00:09:14.075]  The good, the bad, and the ugly will all show its ugly head.
[00:09:14.075 --> 00:09:23.103]  This is a really old interview from a long time ago, from back in 2001, and the audio quality's not that good.
[00:09:23.103 --> 00:09:29.848]  But it's Charlton Heston from the archives, then David DeRothschild on the hot seat, and more coming up today.
[00:09:29.848 --> 00:09:32.350]  I'm Alex Jones, your host, and fullwars.com.
[00:09:37.140 --> 00:09:38.161]  I don't say that lightly.
[00:09:38.161 --> 00:09:54.050]  I mean, everybody knows who Charlton Heston is, and it really made the socialist, um, in-the-culture war, as Mr. Heston calls it, angry when he stepped up at the plate a couple years ago, back into the Second Amendment fight, and now his new book is amazing, The Courage to be Free.
[00:09:54.050 --> 00:10:01.574]  Why did you decide to get back, uh, really involved in the Second Amendment fight at the forefront, and to, uh, write this new book, The Courage to be Free?
[00:10:02.094 --> 00:10:09.516]  Well, of course I've been involved with the Second Amendment, you could say, since I was a little kid shooting deer up in Michigan.
[00:10:09.516 --> 00:10:26.760]  But then I became involved more seriously with the Bill of Rights, and I came to see the importance of defending every one of the twelve articles of the Bill of Rights, of which the second is the right to keep and bear arms.
[00:10:26.760 --> 00:10:30.761]  And we had a lot of success with it in the last election.
[00:10:31.923 --> 00:10:45.428]  Well, we see the mainstream media, the controlled propaganda arms is what I call them, and I think they've shown themselves to deserve that title, convincing a lot of people that the average American isn't for the Second Amendment.
[00:10:45.428 --> 00:10:58.813]  But if you can explain to people the basics of how it's there to defend us from the street thug, the government thug, or to put food on the table, not to mention just as a sporting enjoyment and heritage, most people are actually for it.
[00:11:00.013 --> 00:11:02.514]  John Ashcroft right now, they're trying to confirm him.
[00:11:02.514 --> 00:11:07.016]  I think he would be a good... I think he will be confirmed.
[00:11:07.016 --> 00:11:10.297]  I think he will make a fine Attorney General.
[00:11:10.297 --> 00:11:13.698]  Certainly a far better one than John Abrino.
[00:11:13.698 --> 00:11:14.398]  Absolutely.
[00:11:14.398 --> 00:11:16.099]  That wouldn't be too hard to do.
[00:11:16.099 --> 00:11:25.302]  But Mr. Kennedy, who I really don't think has any room to talk, with all the skeletons in his closet, began to attack... There's no one in the U.S.
[00:11:25.302 --> 00:11:26.163]  Senate that has more...
[00:11:27.023 --> 00:11:30.245]  More skeletons in his closet than Kennedy.
[00:11:30.245 --> 00:11:31.726]  He should be ashamed of himself.
[00:11:31.726 --> 00:11:32.587]  He really should.
[00:11:32.587 --> 00:11:35.608]  I worked for his older brother.
[00:11:35.608 --> 00:11:36.849]  I voted for him.
[00:11:36.849 --> 00:11:39.771]  I campaigned for him.
[00:11:39.771 --> 00:11:42.833]  But Teddy Kennedy is another piece of work entirely.
[00:11:44.882 --> 00:12:08.649]  But anyway, to return to the question of the Second Amendment, there are, for example, now 41 states that have concealed carry laws, meaning that if you pass a background check, show that you have no felony convictions of any kind, show that you demonstrate that you know how to use a firearm safely,
[00:12:09.529 --> 00:12:17.512]  You can then get a permit to carry a concealed carry weapon under your arm or wherever.
[00:12:17.512 --> 00:12:20.333]  And that's something I don't want to do because I don't fear it.
[00:12:20.333 --> 00:12:23.955]  I've used too many pistols in too many movies.
[00:12:23.955 --> 00:12:25.315]  They're kind of heavy to carry.
[00:12:25.315 --> 00:12:34.459]  But anyway, the point is that in every one of the 42 states where there is concealed carry laws, one
[00:12:35.439 --> 00:12:39.600]  The murder rate, the crime rate, too.
[00:12:39.600 --> 00:12:44.381]  Never mind the murder rate, the crime rate has dropped significantly.
[00:12:44.381 --> 00:12:47.282]  Significantly in every one of those states.
[00:12:47.282 --> 00:12:48.503]  Why?
[00:12:48.503 --> 00:12:53.804]  Because, of course, most people who have this permit don't carry all the time.
[00:12:53.804 --> 00:12:57.205]  But the point is, the bad guys don't know who's carrying and who isn't.
[00:12:58.065 --> 00:13:02.968]  So that is, of course, you don't need to have to carry them.
[00:13:02.968 --> 00:13:12.634]  You know, I have to say, much as I admired his big brother, I think Teddy Kennedy is one of the worst members of the U.S.
[00:13:12.634 --> 00:13:14.235]  Senate.
[00:13:14.235 --> 00:13:18.098]  I really feel that.
[00:13:18.098 --> 00:13:20.759]  He shoots his mouth off and he has the right to do so.
[00:13:20.759 --> 00:13:21.360]  He's a U.S.
[00:13:21.360 --> 00:13:22.320]  Senator.
[00:13:22.320 --> 00:13:23.381]  But he is not a good one.
[00:13:24.622 --> 00:13:27.823]  Well, I think they show their hatred for the Second Amendment.
[00:13:27.823 --> 00:13:32.926]  You talk about a culture war a lot in your newest book, and of course, in your eloquent speeches.
[00:13:32.926 --> 00:13:40.569]  I almost fell over when I saw you on one of the NRA news shows when you said, you can take it from my cold, dead hand.
[00:13:40.569 --> 00:13:42.530]  You raised up that musket.
[00:13:42.530 --> 00:13:45.931]  The old musket, yeah.
[00:13:45.931 --> 00:13:47.092]  That worked out very well.
[00:13:48.220 --> 00:13:52.386]  But I think, you know, I can give you any number of examples.
[00:13:52.386 --> 00:14:02.561]  For example, do you know the largest and fastest growing group of purchasers of small handguns in the country?
[00:14:02.561 --> 00:14:03.222]  Single women.
[00:14:04.105 --> 00:14:05.266]  Of course.
[00:14:05.266 --> 00:14:10.709]  They're women with permanently absent husbands who have two or three kids.
[00:14:10.709 --> 00:14:20.736]  They're trying to support, they want to spend some time with them, so that means they have to be there when they're home from school, which means they have to work, make a living, because their husband's long gone.
[00:14:21.872 --> 00:14:22.673]  I don't know.
[00:14:42.256 --> 00:14:48.959]  And how dare this corrupt government, those running it, especially the Democrats, tell women they don't have that right?
[00:14:48.959 --> 00:14:55.321]  I'm sure you've heard that the Solicitor General has said that the Second Amendment, Mr. Heston, does not extend to individuals.
[00:14:55.321 --> 00:14:58.583]  Yeah, I've read that, but of course that's not true.
[00:14:58.583 --> 00:15:04.285]  Every one of the Founding Fathers, those wise old dead white guys that invented the country,
[00:15:05.197 --> 00:15:14.545]  Every one of them is elaborately on record, at the time, about the importance of the Second Amendment and the meaning of the Second Amendment.
[00:15:14.545 --> 00:15:18.068]  It is simply impossible to deny that.
[00:15:18.068 --> 00:15:25.454]  And the efforts of the anti-gun mob are just suspicious.
[00:15:26.647 --> 00:15:29.450]  You're talking about the Federalist Papers documenting the Truman Tent?
[00:15:29.450 --> 00:15:30.772]  Yes, of course.
[00:15:30.772 --> 00:15:33.455]  And the Bill of Rights itself, and the Federalist Papers.
[00:15:33.455 --> 00:15:38.561]  But also, while they were drafting the Bill of Rights, they, uh...
[00:15:40.680 --> 00:15:46.784]  They went, they wrote, every one of them wrote papers on this.
[00:15:46.784 --> 00:15:48.906]  As you say, one of the Federalist Papers.
[00:16:10.580 --> 00:16:11.040]  I think so.
[00:16:31.278 --> 00:16:37.860]  Both, two of those men, both Hitler and Mussolini, were elected by democratic procedure.
[00:16:37.860 --> 00:16:44.843]  And then we get to Pol Pot and Laurent Kabila, who was killed just the day before yesterday, I believe.
[00:16:44.843 --> 00:16:48.004]  I thank God we're not missing.
[00:16:48.004 --> 00:16:53.906]  And, um, Marci Tung, and, of course, Fidel Castro.
[00:16:57.461 --> 00:16:59.203]  It's fair to call them that.
[00:16:59.203 --> 00:17:06.071]  Every one of them, their first act on taking office, including the two that were elected democratically, their first thing...
[00:17:13.554 --> 00:17:14.915]  Absolutely, Mr. Heston.
[00:17:14.915 --> 00:17:16.895]  Again, Charlton Heston, ladies and gentlemen.
[00:17:16.895 --> 00:17:26.638]  In fact, I've looked at the actual numbers, and accountants and others have, and the states with the highest taxes have the most egregious gun control.
[00:17:26.638 --> 00:17:28.719]  I don't think that's an accident.
[00:17:28.719 --> 00:17:29.959]  No, I don't think so either.
[00:17:29.959 --> 00:17:33.520]  It's the firm intent of the liberal left, no question.
[00:17:34.020 --> 00:17:37.982]  Well, how can they even get away with the term liberal, meaning they're into freedom?
[00:17:37.982 --> 00:17:45.326]  I see the so-called liberal left militarizing the police, building prisons everywhere, and going after good people's guns.
[00:17:45.326 --> 00:17:53.470]  Well, of course, originally, the idea of being a liberal meant a certain concern for the rights of the individual.
[00:17:53.470 --> 00:17:55.291]  Now it doesn't mean anything like that.
[00:17:55.291 --> 00:17:57.112]  Now it means the rights of the government.
[00:17:58.072 --> 00:18:01.253]  And we have to constantly stand against that.
[00:18:01.253 --> 00:18:11.957]  Well, the left has really had a problem coming after you because on the subject of, you know, the God-given rights of black people in this country, you were right out there at the forefront fighting.
[00:18:11.957 --> 00:18:15.219]  When there were real environmental problems, you were out there at the forefront fighting.
[00:18:15.219 --> 00:18:17.819]  And now they're like, what is Heston doing?
[00:18:17.819 --> 00:18:19.520]  He's out there fighting for the Second Amendment.
[00:18:19.520 --> 00:18:20.200]  How dare him?
[00:18:20.200 --> 00:18:27.363]  I actually saw some guys on one of the big classic movie shows bad-mouthing you before they aired
[00:18:27.863 --> 00:18:46.610]  I have to tell you, the other day on Martin Luther King Day I was invited by CORE to attend a banquet and I was the principal speaker and they gave me a bust of Dr. King, which having spent as much time
[00:18:51.158 --> 00:18:53.464]  So it's really hard for them to attack your record.
[00:18:53.464 --> 00:18:57.275]  I mean, this really is another human right to be able to defend ourselves.
[00:18:57.275 --> 00:18:57.876]  Absolutely.
[00:19:03.266 --> 00:19:07.387]  Last question, where do you see the fight in the next two years?
[00:19:07.387 --> 00:19:13.048]  I think it's critical if the Socialists, known as the Democrats, win control of the House and the Senate.
[00:19:13.048 --> 00:19:19.849]  We could even, in four years, have the first gentleman, Bill, back in the White House with Hillary as the President.
[00:19:19.849 --> 00:19:23.510]  No, we couldn't get Mr. Clinton back.
[00:19:23.510 --> 00:19:26.030]  That would be against the Constitution.
[00:19:26.030 --> 00:19:29.931]  Yeah, 22nd Amendment, but he'll still be back in the White House as the first gentleman.
[00:19:29.931 --> 00:19:30.451]  See the joke?
[00:19:31.144 --> 00:19:34.706]  Yeah, do you think Mrs. Clinton can be elected?
[00:19:34.706 --> 00:19:36.888]  I don't think so.
[00:19:36.888 --> 00:19:37.568]  I'm not sure.
[00:19:37.568 --> 00:19:40.730]  Well, we're going to have to work on that, aren't we?
[00:19:40.730 --> 00:19:43.772]  I'm glad to see the NRA getting more hardcore.
[00:19:43.772 --> 00:19:44.892]  Yeah, we've got to do it.
[00:19:44.892 --> 00:19:46.553]  It's too important.
[00:19:46.553 --> 00:19:53.898]  We've tried to keep out of that fight, but I think this last election proved that it was important to stay with it.
[00:19:53.898 --> 00:19:55.419]  Every American should vote.
[00:20:05.463 --> 00:20:09.290]  And we are joined by David Mayer de Rothschild.
[00:20:09.290 --> 00:20:14.460]  Al Gore, of course, is kicking off a string of global concerts this weekend on 777.
[00:20:17.319 --> 00:20:40.127]  And the man who's written the official book that is the accompaniment to this meant for elementary grade school children is David Mayer de Rothschild, born in 1978, a British adventurer, I love that title, an environmentalist who is the head of Adventure Ecology, an expedition group raising awareness about climate change
[00:20:40.647 --> 00:20:48.392]  He is the youngest of the three children of Sir Evelyn de Rothschild of the Rothschild Banking Family of England.
[00:20:48.392 --> 00:20:55.316]  One of the arrows shooting out across the planet, invigorating everything.
[00:20:55.316 --> 00:20:58.097]  Mr. Rothschild, thank you for coming on the show with us today.
[00:20:58.097 --> 00:21:00.359]  Thank you for having me on the show.
[00:21:00.359 --> 00:21:02.160]  That's quite an introduction there.
[00:21:02.160 --> 00:21:03.100]  Thank you.
[00:21:03.100 --> 00:21:03.841]  You bet.
[00:21:03.841 --> 00:21:06.362]  Now, I've got a new poll out here.
[00:21:08.431 --> 00:21:16.378]  A Mori poll shows that most people in the UK remain unconvinced about warnings that our climate is being affected by global warming.
[00:21:16.378 --> 00:21:24.085]  What is the science proving that man-made global warming A is real and B will cause cataclysmic problems?
[00:21:25.285 --> 00:21:34.667]  I think the report you really need to be looking at was a report that was released at the beginning of the year by the IPCC, which is the Intergovernmental Panel on Climate Change.
[00:21:34.667 --> 00:21:40.328]  It's made up of two and a half thousand scientists from around the world, all in the field of climatic studies.
[00:21:40.328 --> 00:21:41.968]  These are the brains, basically.
[00:21:41.968 --> 00:21:45.129]  These are the guys who have been looking at this stuff for a very long time.
[00:21:45.129 --> 00:21:49.430]  You know, they come together, they put this report together, and there was a unanimous
[00:21:50.410 --> 00:21:54.012]  No, no, no.
[00:21:54.012 --> 00:22:07.319]  Mr. Rothschild, a whole bunch of people, hundreds of them have gone public saying that they were included and asked their opinion in research but that many of them never said that they agreed with man-made global warming or its causative effects.
[00:22:09.380 --> 00:22:12.183]  I think that if you read the report, they actually do.
[00:22:12.183 --> 00:22:16.686]  They come out and they say... No, they say their names were added falsely to that report.
[00:22:16.686 --> 00:22:18.968]  Are you aware of that global controversy?
[00:22:18.968 --> 00:22:21.150]  It's been in hundreds of newspapers.
[00:22:21.150 --> 00:22:28.936]  I think the fact of the matter is that this type of argument about whether global warming exists or not is a waste of time.
[00:22:31.678 --> 00:22:40.572]  Now, we all know last year that the media got caught, a National Geographic, an un-propaganda channel got caught, showing images of polar bears saying, look at them, they're stranded on ice.
[00:22:40.572 --> 00:22:44.257]  All of Earth's species are threatened.
[00:22:44.257 --> 00:22:46.000]  Some may disappear forever.
[00:22:48.132 --> 00:22:49.874]  Polar bears can swim 200 miles.
[00:22:49.874 --> 00:22:51.155]  You and I both know that.
[00:22:51.155 --> 00:22:56.359]  But you know the dumb public that the globalists are always hoodwinking doesn't know that.
[00:22:56.359 --> 00:23:00.343]  And you've got new IMAX programs and new Disney programs coming up.
[00:23:00.343 --> 00:23:02.404]  Look at the drowning polar bears.
[00:23:02.404 --> 00:23:04.666]  They're all dying because the ice is melting.
[00:23:04.666 --> 00:23:08.870]  Everyone knows that the glaciers expand and contract and are collapsing continually.
[00:23:11.402 --> 00:23:12.043]  What's your point?
[00:23:12.043 --> 00:23:14.344]  I think you still haven't even answered.
[00:23:41.522 --> 00:23:42.282]  It's not bizarre.
[00:23:42.282 --> 00:23:43.723]  Do you think I make any money out of this?
[00:23:43.723 --> 00:23:57.445]  And of course I should bring up to Mr. Rothschild that the polar ice caps of Mars are receding at several miles a year, much faster than ours, and that the moons of Saturn and Jupiter are melting.
[00:23:57.445 --> 00:24:02.246]  In fact, several of their moons were ice and are now liquid seas.
[00:24:02.246 --> 00:24:06.727]  Now, how are SUVs causing that, David Rothschild?
[00:24:06.727 --> 00:24:08.848]  That's because those planets are closer to the sun, my friend.
[00:24:10.232 --> 00:24:15.016]  No, Jupiter and Saturn are not closer to the Sun, neither is Mars.
[00:24:15.016 --> 00:24:24.183]  Yes, I think you'll find, right, that the very simple matter, and what I wanted to say, and this is my final point, and then I'll let you continue with your line that global warming doesn't exist.
[00:24:24.183 --> 00:24:31.729]  I find it very sad that we're still in a day and age where there is a certain mentality or a certain sector that wants to deny that these things are happening.
[00:24:32.089 --> 00:24:36.332]  And you say, you know, you say you don't believe that human beings are responsible for climate change.
[00:24:36.332 --> 00:24:39.453]  That's fine, and I respect your opinion, I respect your views.
[00:24:39.453 --> 00:24:46.417]  I think, though, that you have to realize, if you look at the science, forget your taxation theory, because actually it's not taxation.
[00:24:46.417 --> 00:24:56.003]  What it's trying to do, the taxation that is sitting there, is one tiny fragment of saying that the polluters of our planet, the companies that are excessively polluting,
[00:24:56.323 --> 00:25:02.407]  The only way that they will respond and listen is if they're incentivized through a tax scheme to stop them polluting.
[00:25:02.407 --> 00:25:04.229]  And that tax scheme isn't in your pocket.
[00:25:04.229 --> 00:25:06.791]  That is the company's, the exons of this world.
[00:25:06.791 --> 00:25:12.915]  The companies that are going out there and needlessly polluting our water systems, our natural systems.
[00:25:12.915 --> 00:25:19.440]  I think it's sad, sir, that you can, you know, I appreciate and respect people's views on both sides of the argument.
[00:25:19.440 --> 00:25:20.841]  That's what a debate is about.
[00:25:20.841 --> 00:25:24.103]  And I appreciate your views in taking this debate to me.
[00:25:24.543 --> 00:25:29.507]  But I would also say that it's sad because what you're doing here is giving people a false sense of hope.
[00:25:29.507 --> 00:25:32.289]  Our planet is in a seriously bad way right now.
[00:25:32.289 --> 00:25:44.659]  And if we continue to put out this rhetoric which says this doesn't exist, which you are doing and you are promoting, then all it's going to do is delay the situation that is going to cause more problems for your children, for my children, and the future of this planet.
[00:25:44.659 --> 00:25:46.561]  You're saying we need to have a stable climate.
[00:25:46.561 --> 00:25:48.122]  Sir, the planet's never had a stable climate.
[00:25:48.122 --> 00:25:49.143]  The planet hasn't.
[00:25:49.143 --> 00:25:50.524]  For the last 12,000 years, we've been in a very
[00:25:53.810 --> 00:25:58.293]  Very stable comparatively to the four and a half billion years the planet's been around.
[00:25:58.293 --> 00:26:01.675]  Period of climatic systems, our systems are being incredibly stable.
[00:26:01.675 --> 00:26:05.317]  I agree with you, we need carbon as a driver of life, I'm not denying that.
[00:26:05.317 --> 00:26:09.360]  You know, we have huge pockets of reserves of carbon which are under the
[00:26:09.600 --> 00:26:10.320]  We're good to go.
[00:26:35.932 --> 00:26:39.197]  To balance that, our oceans are incredibly precarious.
[00:26:39.197 --> 00:26:42.781]  They absorb 40% of our world's atmospheric carbon.
[00:26:42.781 --> 00:26:43.702]  Oh, I agree with that.
[00:26:43.702 --> 00:26:44.563]  I agree with that.
[00:26:44.563 --> 00:26:46.065]  And our temperatures get warmer.
[00:26:46.065 --> 00:26:47.807]  Let me just say this, David.
[00:26:47.807 --> 00:26:50.431]  So you're tying together plankton blooms,
[00:26:50.971 --> 00:26:55.416]  And different differentials in with carbon dioxide itself.
[00:26:55.416 --> 00:27:07.550]  And isn't the different, and it's not just one tax, I mean, they're now tying the different environmental movements that, oh, we need a tax on more than one child, which really is a one-child policy.
[00:27:07.550 --> 00:27:12.295]  So we already see this whole move to restrict carbon really a tax on life, a tax on breathing.
[00:27:13.235 --> 00:27:15.377]  I don't think it's attacks on life and attacks on breathing.
[00:27:15.377 --> 00:27:17.959]  I think the fact of the matter is, we have one planet.
[00:27:17.959 --> 00:27:19.480]  We don't have a spare one.
[00:27:19.480 --> 00:27:29.428]  We know that our systems and, you know, whatever you want to call it, whether you want to call it a cyclical change, whether you want to call it global warming, you know, everyone has their own opinion.
[00:27:29.428 --> 00:27:33.571]  And I think the fact of the matter is, for me personally, the time for debate is over.
[00:27:33.571 --> 00:27:37.434]  This is no longer about does it exist, does it not exist, who's doing what, who's not.
[00:27:38.014 --> 00:27:49.084]  As we keep on talking, the planet, the very thing that supports us... So we need to just stop thinking and just agree it's happening and go do whatever Al Gore says and just world government will save us.
