[00:00:00.009 --> 00:00:00.511]  Alex Jones Show!
[00:04:48.171 --> 00:04:53.475]  When we come back, we're also going to be talking about the new Supreme Court decision on Obamacare.
[00:04:53.495 --> 00:04:54.416]  We've got Obama Trade.
[00:04:54.736 --> 00:04:56.898]  We've got extensions of Obamacare.
[00:04:56.958 --> 00:04:57.398]  Stay with us.
[00:04:57.538 --> 00:04:59.120]  We're going to break that down for you when we get back.
[00:05:09.528 --> 00:05:15.753]  If Fast Track passes today, secret trade treaties with Asian and European nations will be unstoppable.
[00:05:16.374 --> 00:05:23.640]  As Senator Sessions, who has done more than anyone else to expose the secret Asian treaty, has said... It is a breathtaking event.
[00:05:24.120 --> 00:05:28.624]  Basically the same language used to start the European Union.
[00:05:28.984 --> 00:05:30.766]  This is not a trade deal.
[00:05:31.146 --> 00:05:33.148]  It is a deal made by traders.
[00:05:33.428 --> 00:05:44.017]  Who are putting not just our economy, but our food, our medicine, our internet, our sovereignty in the hands of multinational corporations and a transnational committee.
[00:05:44.277 --> 00:05:47.900]  Why do we have to create a transnational union?
[00:05:48.240 --> 00:05:55.907]  It will be a living agreement with powers to discipline and set rules outside the powers of the United States Congress.
[00:05:56.187 --> 00:05:59.010]  Some senators have felt the heat and have switched their vote.
[00:05:59.290 --> 00:06:00.311]  Call them today.
[00:06:00.652 --> 00:06:04.436]  Demand that they not surrender our economy and our sovereignty.
[00:06:04.836 --> 00:06:07.459]  For more information, go to Infowars.com.
[00:06:07.779 --> 00:06:08.400]  I'm David Knight.
[00:06:09.542 --> 00:06:16.485]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:06:16.745 --> 00:06:26.168]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:06:26.428 --> 00:06:33.314]  Now, Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:06:33.795 --> 00:06:41.261]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[00:06:41.622 --> 00:06:44.905]  We set out to bring you the very best at the lowest price.
[00:06:45.305 --> 00:06:49.989]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[00:06:50.269 --> 00:06:54.333]  In these times, it's essential to have high-quality, loyal silver on hand.
[00:06:54.673 --> 00:06:57.395]  No survival chest is complete without Silver Bullet.
[00:06:57.735 --> 00:07:00.638]  Exclusively available at Infowarslife.com.
[00:07:00.838 --> 00:07:05.161]  Secure your Silver Bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[00:07:09.372 --> 00:07:10.593]  Another major health threat.
[00:07:10.633 --> 00:07:15.535]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:07:15.615 --> 00:07:18.236]  Ohio's governor declaring a state of emergency.
[00:07:18.276 --> 00:07:25.058]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:07:25.319 --> 00:07:28.180]  If there's a water emergency, will you be prepared?
[00:07:28.300 --> 00:07:31.261]  Panicked residents forming long lines throughout the day.
[00:07:31.341 --> 00:07:33.262]  We're here at a supermarket in Toledo.
[00:07:33.282 --> 00:07:36.103]  You can see the shelves empty where water once was.
[00:07:36.203 --> 00:07:41.705]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:07:41.925 --> 00:07:45.426]  Water which will not be available at your local grocery store.
[00:07:45.446 --> 00:07:48.427]  There's a mad dash on right now to stock up on supplies.
[00:07:48.527 --> 00:07:55.629]  The ProPure ProOne G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:07:55.849 --> 00:07:58.910]  Protect your family's safety during an emergency.
[00:07:59.070 --> 00:08:05.332]  Go to infowarsstore.com today to purchase your ProPure ProOne G2.0 Water Filtration System.
[00:08:05.492 --> 00:08:06.172]  Or call 1-888-253-3139.
[00:08:06.212 --> 00:08:20.318]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:08:34.088 --> 00:08:35.353]  Welcome back to the Alex Jones Show.
[00:08:35.433 --> 00:08:36.095]  I'm David Knight.
[00:08:36.135 --> 00:08:40.871]  Your host today is Alex, pointed out in the clip that we played in the first segment.
[00:08:41.909 --> 00:08:44.271]  The TPA has passed.
[00:08:44.311 --> 00:08:46.233]  It passed yesterday evening, of course.
[00:08:46.293 --> 00:08:47.534]  They knew that was going to pass.
[00:08:47.574 --> 00:08:49.656]  They had it worked out on the Senate schedule.
[00:08:49.696 --> 00:08:53.819]  They said that they were going to hold the vote at 5.33 p.m.
[00:08:54.700 --> 00:08:57.062]  Not 5.30, 5.33 p.m.
[00:08:57.762 --> 00:09:00.485]  They've had a very detailed playbook to get this through.
[00:09:01.065 --> 00:09:02.787]  They've managed to distract the public.
[00:09:02.807 --> 00:09:04.288]  The public just isn't interested.
[00:09:04.328 --> 00:09:07.490]  They've got too many entertainment issues that are out there, too many
[00:09:08.564 --> 00:09:13.148]  Things like racism, the charges that are going on, and there's real racism.
[00:09:13.168 --> 00:09:19.133]  We need to talk about it, but what's going on with the Confederate flag, we're going to talk about that later in the show as well.
[00:09:19.193 --> 00:09:23.657]  But they've managed to keep people distracted while this is going through.
[00:09:23.737 --> 00:09:26.860]  They had this precisely planned as to what they were going to do.
[00:09:26.880 --> 00:09:28.702]  The vote the day before was to shut
[00:09:29.162 --> 00:09:29.562]  Cloture.
[00:09:29.682 --> 00:09:32.704]  To make sure there wasn't going to be any debate.
[00:09:33.124 --> 00:09:36.166]  There wasn't going to be any filibuster going on with this.
[00:09:36.386 --> 00:09:38.867]  This is what's happened the entire way through.
[00:09:39.588 --> 00:09:45.150]  Everything that the Senate and the House have done is to accelerate the process.
[00:09:45.651 --> 00:09:51.414]  And so we see this thing and it's actually America that's going downhill like some kind of a soapbox derby.
[00:09:51.994 --> 00:09:54.296]  Where the gravity is gradually picking up.
[00:09:54.677 --> 00:09:56.118]  We're gradually accelerating.
[00:09:56.398 --> 00:09:59.121]  Every single step of this has been to accelerate it.
[00:09:59.161 --> 00:10:06.527]  Now they have still not passed the TPP or the TTIP or any of these other traps that they're working on.
[00:10:07.503 --> 00:10:08.464]  We haven't passed those yet.
[00:10:08.884 --> 00:10:18.351]  But as this thing picks up momentum, it is going to be increasingly hard, because of the inertia of this, to try to turn this thing around to stop it.
[00:10:18.411 --> 00:10:23.934]  Because everything about this trade promotion fast-track bill was set up to make sure that it could not be stopped.
[00:10:23.994 --> 00:10:24.995]  That was the design of it.
[00:10:25.636 --> 00:10:29.718]  The fundamental lie at the bottom of all this was that it was not a treaty.
[00:10:29.758 --> 00:10:33.401]  Because a treaty would require 67 votes in the Senate.
[00:10:33.421 --> 00:10:35.062]  The House would not even be involved in that.
[00:10:35.102 --> 00:10:35.903]  That's the process.
[00:10:36.957 --> 00:10:38.158]  But they did it anyway.
[00:10:38.878 --> 00:10:40.800]  They conveniently ignored that it's a treaty.
[00:10:41.681 --> 00:10:44.022]  Senator Sessions, who looked at this, said it is a treaty.
[00:10:44.042 --> 00:10:46.444]  He pointed out a lot of things that are going to be problems with it.
[00:10:46.825 --> 00:10:48.246]  Now, the TPP is hidden.
[00:10:48.466 --> 00:10:49.787]  The TTIP is hidden.
[00:10:49.807 --> 00:10:50.908]  We've had some leaks of those.
[00:10:50.988 --> 00:10:56.792]  We know precisely, however, what is in this trade promotion authority, this fast-track process that they've run through.
[00:10:57.533 --> 00:10:58.994]  Some of the issues that they're going to do with this.
[00:10:59.054 --> 00:11:06.220]  Now, they're not going, whenever they've got this treaty that they've been working on in secret with corporate lobbyists for years, when they're done with that,
[00:11:06.880 --> 00:11:14.869]  They're going to bring it to the legislative bodies, and they're going to say, we're not going to go through the usual process.
[00:11:14.910 --> 00:11:18.213]  Typically a bill, remember Schoolhouse Rocks?
[00:11:18.253 --> 00:11:19.875]  They talked about how a bill becomes a law.
[00:11:19.995 --> 00:11:26.283]  You know, you take it to a committee, the committee takes a look at it, they recommend it to the floor for a vote, the leader recommends it to the floor for a vote.
[00:11:26.323 --> 00:11:26.964]  No, none of that.
[00:11:28.237 --> 00:11:39.022]  The fast-tracked authority says that once they present us with this document, or present the Congress with the document, they will take it immediately to the floor, no less than 45 days.
[00:11:39.042 --> 00:11:41.723]  They can take it sooner, but no more than 45 days.
[00:11:42.023 --> 00:11:43.444]  It doesn't have to go through the committee.
[00:11:43.844 --> 00:11:45.365]  It doesn't have to go through the leader.
[00:11:45.425 --> 00:11:48.466]  They can accelerate the process, but they cannot slow it down.
[00:11:48.966 --> 00:11:52.868]  Once it goes to the floor, there will be no filibuster by the Senate.
[00:11:53.528 --> 00:11:57.370]  There will be debate, but limited to 20 hours.
[00:11:57.870 --> 00:11:58.251]  20 hours.
[00:11:59.151 --> 00:12:00.652]  No more than 20 hours.
[00:12:01.232 --> 00:12:10.477]  There will be no amendments made to it by the legislative bodies, our representatives, theoretically, who had nothing to do with writing it.
[00:12:10.557 --> 00:12:12.298]  They will not be able to amend it.
[00:12:13.179 --> 00:12:20.503]  Once it is passed, however, as Senator Sessions has pointed out, it will be infinitely malleable.
[00:12:21.544 --> 00:12:30.726]  There will be a transnational council committee that is part of these trade agreements, these trade treaties.
[00:12:31.466 --> 00:12:35.247]  They will be able to amend it, they will be able to add China to it if they wish.
[00:12:36.147 --> 00:12:40.868]  That's important because it was sold to us as a check against Chinese power.
[00:12:40.888 --> 00:12:48.970]  We needed to make common markets with these Asian economies so that we could have a counterbalance to China.
[00:12:49.980 --> 00:12:51.341]  They don't want to counterbalance to China.
[00:12:51.361 --> 00:12:52.402]  They'll bring China in.
[00:12:52.782 --> 00:12:56.906]  China's going to continue selling their slave goods to Walmart.
[00:12:56.926 --> 00:12:59.808]  Of course, they won't be making Confederate flags, I guess, anymore in China.
[00:13:00.429 --> 00:13:02.230]  But they will still use their slaves.
[00:13:03.411 --> 00:13:08.415]  Walmart will be able to disavow any outright ownership of the slaves.
[00:13:08.455 --> 00:13:09.476]  They don't have to take care of them.
[00:13:09.516 --> 00:13:12.178]  They evidently don't have to take responsibility for them.
[00:13:12.639 --> 00:13:18.844]  They'll bring them in and you'll buy their slave goods because they have run all the mom-and-pop stores out of business across the country.
[00:13:19.741 --> 00:13:27.893]  But this is going to be a situation, once these trade partnerships, they used to call them agreements, until they passed them.
[00:13:27.953 --> 00:13:30.858]  You know, when they passed NAFTA, NAFTA was a trade agreement.
[00:13:31.238 --> 00:13:34.043]  But once they passed it, it became a treaty.
[00:13:35.250 --> 00:13:45.414]  When you look at these investor state arbitration processes that are established by these multinational economic treaties that they're putting through, and we have those already in place.
[00:13:45.454 --> 00:13:47.094]  We have those in place in the European Union.
[00:13:47.114 --> 00:13:48.575]  We have them in place in NAFTA.
[00:13:48.595 --> 00:13:51.076]  It's not a theory as to how this is going to play out.
[00:13:51.136 --> 00:13:52.476]  We've seen how it plays out.
[00:13:52.816 --> 00:13:58.378]  They elevate the multinational corporations to the level of government, I would say higher than the level of government.
[00:13:58.819 --> 00:14:01.940]  We can look at how one of these is playing out right now in Australia, for example.
[00:14:02.679 --> 00:14:06.902]  They passed some legislation that put some pretty strong warnings on cigarette packages.
[00:14:06.962 --> 00:14:12.447]  So strong, in fact, that the sales of big tobacco in Australia took a big hit.
[00:14:13.248 --> 00:14:20.613]  So they went to one of these investor state arbitration processes and said, look, your new labels are costing us sales.
[00:14:20.894 --> 00:14:26.798]  So we demand payment in this arbitration process of billions of dollars from the taxpayers.
[00:14:26.818 --> 00:14:28.740]  That's the way it's going to work out with GMO labeling.
[00:14:28.760 --> 00:14:32.123]  We're going to have Anthony Gucciardi talk about the implications of that.
[00:14:33.137 --> 00:14:39.078]  At the fundamental level, this is about corporations forcing us to buy their products.
[00:14:39.619 --> 00:14:40.479]  That's one level of it.
[00:14:40.839 --> 00:14:46.500]  Of course, the other level of it is the loss of jobs that we've seen how these things work out with NAFTA.
[00:14:47.000 --> 00:14:57.503]  That's one aspect of it, but it's also them holding a gun to our heads and saying, you're going to continue to buy my GMO products, you can't ban those, you can't even label them because that would hurt my sales.
[00:14:58.263 --> 00:15:02.785]  And if you do that, you're just going to pay me billions and billions of dollars in penalties.
[00:15:03.285 --> 00:15:05.726]  So our legislators will kind of back down on that.
[00:15:06.326 --> 00:15:10.587]  You know, we support our operation here without holding a gun to your head.
[00:15:11.147 --> 00:15:13.808]  Actually, we're talking about these buckles.
[00:15:14.109 --> 00:15:15.769]  You can hold a gun to your belly.
[00:15:15.809 --> 00:15:16.209]  How's that?
[00:15:16.349 --> 00:15:23.492]  You can put it on a belt buckle and we've got a special going on right now with the Milan Lave silver belt buckles as well as the M16.
[00:15:24.632 --> 00:15:26.293]  There are two different designs you can look at.
[00:15:26.413 --> 00:15:27.074]  They are normally $50.
[00:15:27.194 --> 00:15:28.655]  They're limited runs.
[00:15:28.695 --> 00:15:29.916]  They're on sale right now for $20.
[00:15:30.156 --> 00:15:35.720]  And these are a couple of designs that Alex Jones put together.
[00:15:36.260 --> 00:15:41.123]  I guess it's still allowed that we can use Greek symbols against tyranny.
[00:15:41.183 --> 00:15:43.765]  We can't use Southern symbols against tyranny.
[00:15:43.785 --> 00:15:45.346]  But I guess Greek is still allowed.
[00:15:45.746 --> 00:15:50.550]  And you can still put pictures of guns on your stomach and your belt buckle.
[00:15:50.590 --> 00:15:52.331]  And so you can talk to other people about that.
[00:15:53.071 --> 00:15:57.536]  Uh, it's a good way to support our operation, and it's a good way to get conversation going out there.
[00:15:57.556 --> 00:15:58.437]  Plus, they look really good.
[00:15:58.777 --> 00:16:00.879]  And you can get them, as I pointed out, for $20 off.
[00:16:00.959 --> 00:16:05.063]  It's a limited run, 500 of one of them and 700 of the other.
[00:16:05.103 --> 00:16:08.587]  They are numbered on the back, as well as with the Made in 1776 logo.
[00:16:08.607 --> 00:16:09.188]  But that's not the way.
[00:16:13.004 --> 00:16:15.807]  The multinational corporations operate.
[00:16:16.047 --> 00:16:19.151]  We can see this in the Supreme Court decision today with Obamacare.
[00:16:19.171 --> 00:16:26.759]  Of course, Obamacare fundamentally was about using the power of government to hold a gun to your head and mandate that you buy their services.
[00:16:27.380 --> 00:16:28.721]  Now the first time this came through
[00:16:29.622 --> 00:16:31.703]  Roberts wrote both opinions.
[00:16:31.823 --> 00:16:32.803]  Very interesting, wasn't it?
[00:16:32.823 --> 00:16:35.304]  And I've mentioned many times, many other people have said it as well.
[00:16:35.344 --> 00:16:41.206]  We believe, many of us, and I'm one of them, believe that Roberts was blackmailed to do that.
[00:16:41.286 --> 00:16:43.127]  That's a very unusual move.
[00:16:43.187 --> 00:16:50.950]  First he wrote an opinion saying, no, you can't have Obamacare because the government can't force you to buy products of private companies.
[00:16:51.450 --> 00:16:53.691]  Then he came back and said, no, never mind, it's a tax.
[00:16:53.831 --> 00:16:58.453]  So he wrote both the dissenting and the prevailing opinion in that.
[00:16:59.553 --> 00:17:04.799]  Uh, the idea being that it is not a tax if you're paying the money to a corporation.
[00:17:05.679 --> 00:17:09.763]  What they did was they said, buy this insurance in the way that we are dictating it.
[00:17:10.891 --> 00:17:13.093]  Or you will have to pay a penalty to us.
[00:17:13.493 --> 00:17:14.473]  But that's not a tax.
[00:17:14.533 --> 00:17:17.876]  A tax would be money that you paid directly to the government.
[00:17:17.916 --> 00:17:21.178]  So, they play games with the language.
[00:17:21.718 --> 00:17:23.820]  It's very malleable as far as they're concerned.
[00:17:23.860 --> 00:17:26.742]  It's just like they call these treaties trade agreements.
[00:17:26.882 --> 00:17:28.743]  Or they call them partnerships.
[00:17:29.383 --> 00:17:34.547]  But once they pass them, when they go to these arbitration processes like I was just describing,
[00:17:36.075 --> 00:17:42.859]  They have the lawyers who specialize in this say that their specialty is treaty law, not trade agreement law.
[00:17:43.259 --> 00:17:43.879]  Treaty law.
[00:17:44.520 --> 00:17:48.061]  And they talk about these arbitration processes as being treaty claim.
[00:17:48.522 --> 00:17:55.365]  You see, a treaty is an agreement between one or more nations about commerce, about peace, about a variety of issues.
[00:17:55.826 --> 00:17:56.966]  This is a treaty.
[00:17:57.286 --> 00:17:57.807]  It should have been
[00:17:58.647 --> 00:18:01.489]  Voted on by 67 people in the Senate.
[00:18:01.569 --> 00:18:07.593]  So they have played these prevaricating games, these nonsense games, to even get it to the point where we are now.
[00:18:07.673 --> 00:18:08.673]  So it's not a good sign.
[00:18:09.334 --> 00:18:15.638]  What it is a sign of is that these guys are willing to lie to the public, they're willing to do anything for their corporate masters.
[00:18:15.998 --> 00:18:18.880]  Why haven't they bothered to look at this secret trade agreement?
[00:18:19.780 --> 00:18:20.541]  They don't need to.
[00:18:21.363 --> 00:18:27.366]  They've been told by the people who control them, by the people that they work for, and it's not you.
[00:18:27.866 --> 00:18:28.746]  They don't work for you.
[00:18:28.806 --> 00:18:30.047]  They don't listen to you.
[00:18:30.307 --> 00:18:31.828]  They're not responsible to you.
[00:18:32.328 --> 00:18:34.249]  These people are the ones who send them the money.
[00:18:34.309 --> 00:18:36.870]  These people are the ones who keep them in power.
[00:18:37.270 --> 00:18:38.731]  And so they've been told how to vote.
[00:18:39.391 --> 00:18:41.092]  They don't need to read this.
[00:18:41.152 --> 00:18:43.153]  They could care less what it says.
[00:18:43.213 --> 00:18:45.234]  They're just doing what they're told.
[00:18:46.377 --> 00:18:50.098]  Breitbart says Marco Rubio cast a deciding vote for Obama trade without even reading it.
[00:18:50.699 --> 00:18:51.159]  Guess what?
[00:18:51.719 --> 00:18:54.700]  It was 60 votes that they did to shut cloture.
[00:18:54.780 --> 00:18:57.861]  It was 60 votes to pass the Trade Promotion Authority.
[00:18:57.901 --> 00:19:01.803]  Now, the trade bill has actually not passed, but again,
[00:19:02.623 --> 00:19:04.524]  It's going to be very, very hard to stop it.
[00:19:04.584 --> 00:19:08.605]  So that's why many people just take it to the next step and talk about it as if it had passed.
[00:19:09.306 --> 00:19:11.747]  We need to understand that it has not passed.
[00:19:12.267 --> 00:19:20.050]  We need to understand they still have not voted in the TPP or the TTIP, the transatlantic or the transpacific treaties.
[00:19:20.490 --> 00:19:23.571]  And we need to put all the pressure we can on these people.
[00:19:23.591 --> 00:19:26.072]  Of course, Marco Rubio cast the deciding vote.
[00:19:26.472 --> 00:19:28.173]  Sixty was exactly what they needed.
[00:19:28.774 --> 00:19:33.496]  Every one of the Senators who voted for this cast the deciding vote.
[00:19:33.857 --> 00:19:37.579]  And I have to say, the first time it came through, we're very critical of Ted Cruz.
[00:19:38.299 --> 00:19:39.940]  I think he heard that pushback.
[00:19:39.960 --> 00:19:40.921]  His explanation was phony.
[00:19:42.722 --> 00:19:44.043]  But at least he did the right thing.
[00:19:44.203 --> 00:19:46.224]  At least he listened to the people.
[00:19:46.365 --> 00:19:47.525]  At least he changed his vote.
[00:19:47.826 --> 00:19:55.631]  We don't want to throw him under the bus too hard, too far, because we need 10 or 11 more like that to stop this at the next level.
[00:19:55.651 --> 00:19:56.071]  Stay with us.
[00:19:56.091 --> 00:19:57.112]  We're going to be right back.
[00:20:09.930 --> 00:20:15.615]  It's time to build your own emergency food stockpile with the industry leader, MyPatriotSupply.
[00:20:16.175 --> 00:20:21.760]  Once you try them, you'll know why so many Americans like you have made them part of their emergency preparedness plan.
[00:20:22.340 --> 00:20:26.924]  Experience the MyPatriotSupply difference today with this unbelievable offer.
[00:20:27.385 --> 00:20:32.529]  Right now, a four-week food supply is only $99, and that includes free shipping.
[00:20:32.789 --> 00:20:34.751]  That's 50% off the online price.
[00:20:35.251 --> 00:20:38.715]  Call 800-274-3070 to claim yours.
[00:20:39.175 --> 00:20:41.157]  Limit two per caller while supplies last.
[00:20:41.618 --> 00:20:47.383]  This offer isn't available online, so you want to make sure and grab this opportunity to get prepared today.
[00:20:47.403 --> 00:20:52.128]  800-274-3070 to get your four-week food supply for the incredible price of only $99, and it'll be shipped to you completely free.
[00:20:58.374 --> 00:21:01.757]  Call 800-274-3070 right now.
[00:21:02.057 --> 00:21:06.801]  That's 800-274-3070 to claim yours while supplies last.
[00:21:07.141 --> 00:21:07.701]  Don't wait.
[00:21:08.001 --> 00:21:08.882]  Call today.
[00:21:09.262 --> 00:21:15.027]  So I say to Mark at lunch, look, you know, I keep hearing from the government that, you know, they're worried someday ISIS may get here.
[00:21:15.347 --> 00:21:19.089]  Then I go, duh, a Garland, Texas, Mohammed cartoon shooting.
[00:21:19.429 --> 00:21:20.810]  ISIS is already here.
[00:21:21.190 --> 00:21:23.211]  I'm not waiting for these people to defend me.
[00:21:23.351 --> 00:21:27.533]  If they don't know ISIS is here already, they got no clue, I'm taking care of myself.
[00:21:27.753 --> 00:21:28.914]  Guns80.com.
[00:21:29.034 --> 00:21:32.616]  AR-15 kits, 30 shot magazines, great prices.
[00:21:32.656 --> 00:21:34.217]  They've even got the Hillary special.
[00:21:34.297 --> 00:21:34.677]  Guns80.com.
[00:21:34.697 --> 00:21:35.237]  That's 844-2Guns80.
[00:21:35.257 --> 00:21:35.457]  Guns80.com.
[00:21:38.922 --> 00:21:48.168]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it lent back at interest, forcing taxes to service debt.
[00:21:48.228 --> 00:21:48.948]  This capitalism?
[00:21:49.008 --> 00:21:55.132]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:55.172 --> 00:21:58.815]  Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[00:21:58.875 --> 00:21:59.795]  Call for your copy 800-686-2237.
[00:21:59.815 --> 00:22:00.856]  It's time to understand the system.
[00:22:00.876 --> 00:22:01.136]  Call 800-686-2237.
[00:22:01.196 --> 00:22:01.537]  That's 800-686-2237.
[00:22:08.789 --> 00:22:09.850]  Honey, it's time for dinner.
[00:22:10.551 --> 00:22:11.972]  What are you doing over there on your computer?
[00:22:12.412 --> 00:22:13.693]  I'm shopping for a new wallet.
[00:22:13.913 --> 00:22:15.054]  Mine is falling apart.
[00:22:15.475 --> 00:22:21.239]  Hey, did you know there's a company called ID Stronghold that makes shielded wallets to prevent electronic pickpocketing?
[00:22:21.620 --> 00:22:24.422]  Oh, I didn't realize there was such a thing as electronic pickpocketing.
[00:22:24.842 --> 00:22:25.383]  What is that?
[00:22:25.683 --> 00:22:34.786]  Well, apparently many of the new credit and debit cards being issued have radio chips inside them called RFID to transmit our banking information to card readers when we pay.
[00:22:35.226 --> 00:22:43.629]  Unfortunately, a bad guy can also get one of these readers and go around the city scanning people, collecting their credit card numbers and personal information without us knowing it.
[00:22:43.949 --> 00:22:44.249]  Wow!
[00:22:44.569 --> 00:22:45.489]  That sounds scary.
