[00:00:14.440 --> 00:00:18.842]  Last Thursday morning, 148 Kenyan University students were slaughtered.
[00:03:26.863 --> 00:03:37.348]  I mean, it's not going to get to that point, obviously, but notice this is happening in areas where you have people that are disarmed in these big mega-cities that are death traps during disasters.
[00:03:38.854 --> 00:03:40.574]  I mean, if there was ever a big earthquake in L.A.
[00:03:40.634 --> 00:03:46.416]  or New York, a really big one, I mean, the system isn't going to be able to help you, and they aren't going to.
[00:03:46.436 --> 00:03:47.756]  They're going to come and take your guns.
[00:03:48.176 --> 00:04:03.920]  According to the FBI statistics regarding percent distribution of incidents where police came to the victim by police response time and type of crime, when it comes to violent crime, the highest percentage of response time fell under 11 minutes to an hour.
[00:04:04.520 --> 00:04:15.763]  And for property crimes where you would absolutely need to defend yourself from a home invasion, 45% of response time fell under 11 minutes to an hour.
[00:04:16.164 --> 00:04:22.165]  If the feds tried to do that, disarm this country, I said you would see an uprising and maybe the
[00:04:24.386 --> 00:04:28.828]  Even Interpol Secretary General Ronald Noble suggested an answer to the bloodshed in Kenya could be in arming civilians.
[00:04:28.868 --> 00:04:30.809]  It only took nine attackers to wipe out 148 Kenyans at Carissa University.
[00:04:50.678 --> 00:04:59.564]  Just four to kill 67 Kenyans in last year's Westgate Mall shooting, and only a few terrorists to kill 213 and injure 4,000 in the 1998 Nairobi Embassy bombings.
[00:04:59.644 --> 00:05:00.905]  Have the Kenyan students been armed?
[00:05:05.908 --> 00:05:08.289]  The horror would have been largely avoided.
[00:05:08.549 --> 00:05:20.993]  With the passing of Kenyan President Kenyatta's controversial security bill, basically making free speech and freedom of the press a crime, Kenya is spiraling into the throes of a full-blown police state.
[00:05:21.173 --> 00:05:26.915]  A petri dish for the power elite's Trojan Horse PSYOP waged on citizens worldwide.
[00:05:27.235 --> 00:05:30.056]  Somali terror group Al-Shabaab has threatened
[00:05:30.700 --> 00:05:31.320]  We're good to go.
[00:06:00.843 --> 00:06:01.044]  Yeah.
[00:06:06.149 --> 00:06:13.994]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:06:14.274 --> 00:06:16.355]  All the major networks are state-run.
[00:06:16.495 --> 00:06:19.137]  We are partnering this year with the NFL.
[00:06:19.217 --> 00:06:23.319]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:06:23.620 --> 00:06:26.782]  MSNBC tells us that our children belong to the state.
[00:06:26.802 --> 00:06:34.066]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:06:34.246 --> 00:06:38.370]  It is more important than ever to realize that we are not the alternative media.
[00:06:38.550 --> 00:06:40.211]  We are the true media.
[00:06:40.371 --> 00:06:42.974]  The establishment dinosaur press is dying.
[00:06:43.074 --> 00:06:46.717]  We are in an information war, and we are losing that war.
[00:06:46.817 --> 00:06:50.920]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:06:51.161 --> 00:06:54.003]  Members can share their memberships with up to 11 people.
[00:06:54.123 --> 00:06:57.246]  By subscribing, you will literally be buying war bonds.
[00:06:57.426 --> 00:06:58.228]  Join us at PrisonPlanet.tv
