[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[00:04:24.404 --> 00:04:25.244]  It doesn't have its kids with it.
[00:04:25.244 --> 00:04:27.105]  And you're like, okay, you know what?
[00:04:27.105 --> 00:04:31.168]  I'm a little afraid of that bear, but it doesn't look like it's going to come after me right now and eat me.
[00:04:31.168 --> 00:04:32.949]  So I'm just going to kind of go my other way and not panic.
[00:04:33.829 --> 00:04:46.677]  You see a bear, and let's say it's got the group of hikers in front of you, and it's ripping them apart, and it's protecting its kids, well, you know that bear is in a bad way, and you gotta get the hell away from that bear.
[00:04:46.677 --> 00:04:50.619]  So we're not dealing with a nice, quiet bear foraging for berries.
[00:04:50.619 --> 00:04:55.262]  We're dealing with a bear that's ripping the hikers in front of us apart.
[00:04:55.262 --> 00:04:57.223]  And it's time to be serious with a response to that.
[00:05:00.771 --> 00:05:01.813]  The riot is wrong.
[00:05:01.813 --> 00:05:12.071]  Whether they were present that day, or were otherwise criminally responsible for the assault on our democracy, we will follow the facts wherever they lead.
[00:05:12.071 --> 00:05:13.213]  Domestic terrorists.
[00:05:15.160 --> 00:05:17.882]  The days of independent media are numbered.
[00:05:17.882 --> 00:05:20.884]  The government has made it illegal to oppose them.
[00:05:20.884 --> 00:05:23.767]  They are now debanking us behind the scenes.
[00:05:23.767 --> 00:05:26.609]  They want to bankrupt us and make us go away quietly.
[00:05:26.609 --> 00:05:32.693]  With practically half the population wanting to lock the unvaccinated up in camps.
[00:05:32.693 --> 00:05:35.976]  The traitors know they can shut us down by force.
[00:05:35.976 --> 00:05:39.198]  But that would accelerate the awakening exponentially.
[00:05:39.198 --> 00:05:39.699]  So be it.
[00:05:40.679 --> 00:05:43.081]  Make them silence us by force.
[00:05:43.081 --> 00:05:46.062]  This is the final battle of the information war.
[00:05:46.062 --> 00:05:47.323]  Give now.
[00:05:47.323 --> 00:05:48.844]  Buy products.
[00:05:48.844 --> 00:05:50.005]  Donate.
[00:05:50.005 --> 00:05:51.866]  Before everything changes.
[00:05:51.866 --> 00:05:54.707]  We need you to carry us through to the end.
[00:05:54.707 --> 00:05:55.868]  Victory or death.
[00:05:55.868 --> 00:05:58.169]  Go now to infowarestore.com
[00:06:06.594 --> 00:06:11.378]  It's Wednesday, January 26, 2022.
[00:06:11.378 --> 00:06:23.168]  You're listening to another edition of the censored, attacked, lied about, demonized, feared by tyrants edition of the Alex Jones Show.
[00:06:23.168 --> 00:06:26.911]  Owen Schroeder will be taking over in minutes.
[00:06:26.911 --> 00:06:28.292]  Coming up at the bottom of the hour.
[00:06:29.445 --> 00:06:41.230]  We're going to play a clip from the Kennedy Center 10 months ago, last year, that has just now surfaced and begun to go viral on Instagram and Twitter.
[00:06:41.230 --> 00:06:51.694]  It's Klaus Schwab, head of the Bilderberg Group, and the front man for the global crime syndicate known as the New World Order.
[00:06:51.694 --> 00:06:56.776]  The Russians call it the Anglo-American establishment because that's what Carl Quigley
[00:06:57.745 --> 00:07:00.508]  Bill Clinton's mentor called it and that's what they call themselves privately.
[00:07:00.508 --> 00:07:05.033]  It has nothing to do with the fact that Anglo is a term for white people.
[00:07:05.033 --> 00:07:18.207]  It goes back to a combine that basically created William the Conqueror a thousand years ago and the current power structures and empires of the world.
[00:07:19.588 --> 00:07:43.057]  And the reason I harp on this continually is if you don't understand the different power players and how these rifts and how these fissures go back thousands of years and the black nobility of what is Italy today and you don't understand China and the Chin and legalism, then you don't understand why the world operates the way it does.
[00:07:43.057 --> 00:07:45.458]  But this is a big deal.
[00:07:46.721 --> 00:07:55.167]  He goes further than he's ever gone, admitting the criminal takeover of society and quote, penetrating our governments and taking them over from within.
[00:07:55.167 --> 00:07:57.108]  So it's not just on the Davos Group's own website.
[00:07:57.108 --> 00:08:09.996]  It's not just on their Wikipedia page, edited by their people, that we are capturing your governments for your own good, removing control of the people and giving it to special stakeholders.
[00:08:09.996 --> 00:08:10.556]  That's a quote.
[00:08:11.607 --> 00:08:15.950]  He says it at the Kennedy Center with David Gergen.
[00:08:15.950 --> 00:08:21.473]  We have it coming out of his filthy, demonic, evil piehole.
[00:08:21.473 --> 00:08:24.675]  So ladies and gentlemen, this is just pure arrogance.
[00:08:24.675 --> 00:08:27.697]  They are hiding this illegal garbage right out in the open.
[00:08:27.697 --> 00:08:32.380]  And we are so close to a tipping point where this becomes mainstream knowledge.
[00:08:32.380 --> 00:08:34.481]  Joe Rogan's talking about it.
[00:08:34.481 --> 00:08:36.762]  Tucker Carlson's talking about it now.
[00:08:36.762 --> 00:08:39.164]  And they're bellwethers of the tipping point.
[00:08:39.164 --> 00:08:40.104]  And so we're so close.
[00:08:40.104 --> 00:08:40.905]  That is coming up.
[00:08:42.386 --> 00:08:45.029]  Bottom of the hour, as I said, and then Owen takes over the rest of the transmission.
[00:08:45.029 --> 00:08:46.030]  He's got so much to cover.
[00:08:46.030 --> 00:08:47.051]  He's doing such a great job.
[00:08:47.051 --> 00:08:55.119]  I've been here camping in the woods, having a great time with my family, looking at the stars and roasting hot dogs and cutting firewood.
[00:08:55.119 --> 00:08:58.963]  We've been listening over the audio app and the crews have been doing an amazing job.
[00:08:58.963 --> 00:09:00.264]  So have the guests and Owen and everybody.
[00:09:00.264 --> 00:09:01.686]  So I want to salute everybody.
[00:09:01.686 --> 00:09:05.249]  It's taken a few days off here, but I can't keep from reading all the news.
[00:09:06.090 --> 00:09:10.613]  On InfoWars.com and watching some of the videos, because this is just such an incredible time to be alive.
[00:09:10.613 --> 00:09:12.334]  Here's the other giant news, obviously.
[00:09:12.334 --> 00:09:20.500]  Huge seismic victory, but it had to happen, or we truly are in the end of the republic.
[00:09:20.500 --> 00:09:32.968]  And that is, even the corrupt, compromised partially, not all of them, but part of them, Supreme Court said no to the mandates, the forced vaccine mandates of the businesses.
[00:09:32.968 --> 00:09:34.870]  And now even OSHA, as of yesterday,
[00:09:36.149 --> 00:10:03.285]  has withdrawn that garbage and remember what happened six months ago when the CDC was saying they basically control all rents and properties in the US under emergency powers well it took the Supreme Court saying no to that so it's good that the Supreme Court is doing the right thing but it's doing it very very narrowly and that's what ought to really concern everybody that outrageous stuff like this is being tried
[00:10:04.485 --> 00:10:08.346]  To see if the globalists can get away with it through their puppet Biden.
[00:10:08.346 --> 00:10:10.067]  It doesn't matter how unpopular it is.
[00:10:10.067 --> 00:10:15.888]  It doesn't matter if it hurts the credit and faith that people have in the U.S.
[00:10:15.888 --> 00:10:16.689]  government.
[00:10:16.689 --> 00:10:19.389]  Because the globalists actually want that in the end.
[00:10:19.389 --> 00:10:22.110]  They carry out the criminal activity through their puppets.
[00:10:22.110 --> 00:10:24.611]  We then blame American institutions.
[00:10:24.611 --> 00:10:27.012]  Trust begins to falter even further.
[00:10:27.012 --> 00:10:28.832]  And civilization and society falls apart.
[00:10:28.832 --> 00:10:29.933]  Now let's be clear.
[00:10:29.933 --> 00:10:31.473]  I don't want to trust institutions.
[00:10:31.473 --> 00:10:33.114]  I don't want to follow all their orders.
[00:10:33.114 --> 00:10:33.714]  But I don't want to
[00:10:34.514 --> 00:10:35.935]  Destroy those institutions.
[00:10:35.935 --> 00:10:39.617]  I want to keep those institutions constitutional.
[00:10:39.617 --> 00:10:41.558]  And so, yeah, our government's got a long history of problems.
[00:10:41.558 --> 00:10:42.379]  It's certainly corrupt.
[00:10:42.379 --> 00:10:43.539]  It needs to be reformed.
[00:10:43.539 --> 00:10:51.564]  But the globalists are trying to make it hyper-corrupt and hyper-oppressive to, again, cause the cloward and pivot and collapse of society.
[00:10:51.564 --> 00:10:54.566]  And we certainly do not want that, ladies and gentlemen.
[00:10:55.589 --> 00:10:58.253]  So, we've got that huge piece of news.
[00:10:58.253 --> 00:11:02.057]  We also have NATO, just a few days ago, threatening military action.
[00:11:02.057 --> 00:11:05.001]  And a few months ago, all the threats of preemptive nuclear war against
[00:11:05.942 --> 00:11:22.199]  Russia, now NATO has said no military options on the table, and has at least de-escalated from its previous escalation, threatening Russia, the precipitated Russia, escalating its massing of troops on its borders with Poland and with Ukraine and other areas.
[00:11:22.199 --> 00:11:25.702]  So, that is some more really, really good news.
[00:11:26.997 --> 00:11:32.862]  The bad news is the globalists are accelerating the devaluation of major currencies.
[00:11:32.862 --> 00:11:46.412]  They're using the money up front to buy up infrastructure and patents and companies and everything else you can imagine in raw land while leaving us with the bill and the inflation and the devaluation of our currencies and the taxes and the debt.
[00:11:47.473 --> 00:11:52.677]  Uh, and so, yes, a lot of good things are happening, but also a lot of grim things are happening.
[00:11:52.677 --> 00:12:01.263]  And all the globalist-controlled cities of the world, where the alumni, the Bilderberg Group, Davos Group, are in control, they are not backing off.
[00:12:01.263 --> 00:12:04.465]  They are, again, ramping up everything they're doing.
[00:12:04.465 --> 00:12:07.086]  So, Owen is about to take over here in a moment.
[00:12:08.457 --> 00:12:21.344]  I am cutting a special report right now that we're going to air at the bottom of the hour, tying Davos Group into Skull and Bones, into Bilderberg, into the Kennedy Center, and so much more.
[00:12:21.344 --> 00:12:23.305]  So look for that at the bottom of the hour.
[00:12:23.305 --> 00:12:29.088]  Please do not forget, we cannot run this operation and we cannot stay on air without your support.
[00:12:29.088 --> 00:12:32.350]  You see how they're shutting OAN down basically right now, strangling them.
[00:12:32.350 --> 00:12:33.371]  They're going after Newsmax.
[00:12:34.830 --> 00:12:38.871]  And those are good organizations overall, but not one-tenth as hardcore as we are.
[00:12:38.871 --> 00:12:43.773]  That's why we're the tip of the spear, and that's why you can't take these institutions for granted.
[00:12:43.773 --> 00:12:44.953]  You should support OAN.
[00:12:44.953 --> 00:12:46.534]  You should support Newsmax.
[00:12:46.534 --> 00:13:02.459]  You should share the links to it in the articles, but you should also redouble your efforts to share the links to articles from InfoWars.com and NewsWars.com and Man.Video, because if you don't, nobody will, and people are now more ready to hear the truth and wake up than ever before.
[00:13:03.703 --> 00:13:19.901]  Please remember to tell folks, InfoWars lives and the truth the system doesn't want you to see is alive now, right now, and send them articles and video links and live show links or take our stuff and post it on your own site to get around censors and share that.
[00:13:19.901 --> 00:13:21.904]  The site right now to share that gets around the censors is...
[00:13:24.471 --> 00:13:25.652]  FutureNews.News
[00:13:44.145 --> 00:13:44.445]  Thank you.
[00:14:01.261 --> 00:14:04.462]  As well, ladies and gentlemen, but so many other huge developments.
[00:14:04.462 --> 00:14:17.647]  Owen's going to be covering in the next segment, and I've got this huge class swap report, and then Owen will broadcast for the balance of the Alex Jones Show today, and he will do that tomorrow as well, but I'll be back in the afternoon filing reports.
[00:14:17.647 --> 00:14:19.108]  We've got a lot to fight for, folks.
[00:14:19.108 --> 00:14:21.369]  Our families, our future, and God's watching.
[00:14:21.369 --> 00:14:24.110]  So again, I salute you all, and thank you all for tuning in.
[00:14:24.110 --> 00:14:29.092]  Just remember, the last part about sharing the articles and the videos is tell the people you give it to
[00:14:29.997 --> 00:14:37.882]  That if they find it informative and helpful, for them to share it, and for them to tell those they give it to to share it, and vice versa, and then we're unstoppable together.
[00:14:37.882 --> 00:14:39.703]  Triggering the chain reaction.
[00:14:39.703 --> 00:14:41.424]  InfoWars.com.
[00:14:41.424 --> 00:14:43.645]  The frontline of the fight for human destiny.
[00:14:43.645 --> 00:14:45.286]  InfoWars.com.
[00:14:45.286 --> 00:14:46.247]  Tomorrow's news today.
[00:14:47.776 --> 00:14:55.760]  Well, the Bill of Rights is a stumbling block on the way to shutting down speech that the left doesn't like, at least in government.
[00:14:55.760 --> 00:15:01.543]  But there's a new avenue for those who would like to censor what you say and think, and that's corporations.
[00:15:01.543 --> 00:15:03.884]  The left have wised up to this.
[00:15:03.884 --> 00:15:09.307]  If you want to stop someone from telling the truth, use companies to do it.
[00:15:09.307 --> 00:15:10.648]  The social media giants.
[00:15:10.648 --> 00:15:11.028]  And they are.
[00:15:11.388 --> 00:15:17.131]  For many on the left, the view seems to have become that if you can't beat them, prevent them from speaking.
[00:15:17.131 --> 00:15:21.933]  So far the most prominent casualty of the crusade against free expression has been the radio show host Alex Jones.
[00:15:21.933 --> 00:15:29.556]  There is a concerted effort by the Democratic Party and multinational corporations and big tech to silence conservative and nationalist and populist voices.
[00:15:29.676 --> 00:15:35.780]  There's also guys on CNN that spend their whole day calling Facebook and saying, can you ban this person?
[00:15:35.780 --> 00:15:42.825]  He may be America's best-known conspiracy theorist, but this week, Alex Jones' content will be a little harder to find.
[00:15:42.825 --> 00:15:53.232]  Shame on the mainstream corporate media for not defending the First Amendment, but instead attack-dogging, calling for federal regulators to shut down independent, free press working with big tech.
[00:15:53.232 --> 00:15:54.733]  People know what's true.
[00:15:54.733 --> 00:15:55.513]  They can smell it.
[00:15:59.936 --> 00:16:09.122]  Nootropics is a fancy way of saying brain pill, and it is the fastest growing market in supplements in the world, for good reason.
[00:16:09.122 --> 00:16:16.467]  There are a lot of amazing compounds out there, some healthy, some not, that do incredible things in our brains.
[00:16:16.467 --> 00:16:25.814]  And we've tried them all, we've researched them all, and we will not sell you anything that is linked to any problems or any type of toxicity or any type of extreme hangovers.
[00:16:26.414 --> 00:16:31.538]  I mean, because I'm not saying some of our brain products, you won't have a little bit of a letdown once you take them, but that would just be a lie.
[00:16:31.538 --> 00:16:35.682]  But these are very, very clean with compounds that God gave us that are good for you.
[00:16:35.682 --> 00:16:43.228]  And one of our best sellers is back in stock, Brain Force Plus, a good, clean nootropic, a good, clean brain pill.
[00:16:43.228 --> 00:16:45.209]  You can find stuff that's stronger, but it's not good for you.
[00:16:45.209 --> 00:16:47.251]  This is a high quality system.
[00:16:47.251 --> 00:16:49.333]  It's available at InfoWareStore.com.
[00:16:49.333 --> 00:16:52.095]  It's sold out for a long time at 40% off.
[00:16:52.095 --> 00:16:55.898]  So get your Brain Force Plus today at InfoWareStore.com and help keep us on air.
[00:16:56.198 --> 00:16:58.159]  Thank you so much, and I'll see you out there.
[00:17:19.355 --> 00:17:26.581]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[00:17:26.581 --> 00:17:36.870]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery, studies have shown.
[00:17:37.270 --> 00:17:46.293]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[00:17:46.293 --> 00:17:52.876]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[00:17:52.876 --> 00:18:01.479]  So next time you visit, be sure to check it out at InfoWarsStore.com, where we promise our rose hips don't lie.
[00:18:01.479 --> 00:18:02.339]  It's a great sponsor.
[00:18:03.081 --> 00:18:08.505]  We have one of the best deals you're going to find out there on a high-quality, high-rated satellite phone.
[00:18:08.505 --> 00:18:13.169]  So you can't be tracked, you can't be traced, and it'll work anywhere in the world where you can see the sky.
[00:18:13.169 --> 00:18:17.533]  You can also buy cheap antennas and things for in your car, in your house, that also are on the site.
[00:18:17.533 --> 00:18:19.434]  Infowarsphone.com.
[00:18:19.434 --> 00:18:20.935]  That's just a site that takes you to these folks.
[00:18:20.935 --> 00:18:23.798]  They supply the board for everybody with their systems as well.
[00:18:23.798 --> 00:18:26.300]  They're amazing folks, and you get a free phone of $650 value at
[00:18:28.081 --> 00:18:31.984]  Absolutely free at InfoWarsPhone.com.
[00:18:31.984 --> 00:18:34.165]  Smartphones are always tracking everything you do.
[00:18:34.165 --> 00:18:34.625]  These aren't.
[00:18:34.625 --> 00:18:36.607]  And the calls are free when folks call you.
[00:18:36.607 --> 00:18:41.370]  You just pay $99.95 a month for your minutes, 150 minutes.
[00:18:41.370 --> 00:18:42.611]  So the calls to you are free.
[00:18:42.611 --> 00:18:43.732]  It works like a regular cell phone.
[00:18:43.732 --> 00:18:45.032]  You're not being tracked or traced.
[00:18:45.032 --> 00:18:46.333]  And I keep one in my car.
[00:18:46.333 --> 00:18:48.174]  I've given them to my parents as gifts.
[00:18:48.174 --> 00:18:50.556]  Way out in the middle of nowhere where regular phones don't work, they work.
[00:18:50.556 --> 00:18:52.657]  InfoWarsPhone.com or 941-955-1020, 941-955-1020 and ask the Alex Jones Special.
[00:19:00.442 --> 00:19:05.163]  I want to explain something that is absolutely key to understanding our world.
[00:19:05.163 --> 00:19:08.103]  It's very, very simple, but the most people don't know.
[00:19:08.103 --> 00:19:20.006]  The privately owned central banks of the world are artificially creating thousands of trillions of dollars in other major currencies and using them to buy up infrastructure,
[00:19:21.006 --> 00:19:38.419]  Intellectual property, energy, they're using it to buy people, to buy influence, and in the past they created thousands of trillions so that they could leverage that, manipulate markets, but they never allowed that money to get into the general circulation or it would cause massive inflation.
[00:19:38.419 --> 00:19:44.224]  Now they've gone ahead and weaponized it and are flooding every sector of the world economy, buying up everything.
[00:19:44.844 --> 00:19:54.073]  Not to have the companies operate, but to actually shut them down and force a collapse of civilization, making the companies they do fund be the only things left standing.
[00:19:54.073 --> 00:19:55.375]  This is the Great Reset.
[00:19:55.375 --> 00:19:56.716]  This is what's happening now.
[00:19:56.716 --> 00:20:00.500]  I warn everyone, it's the only way to stop it.
[00:20:00.500 --> 00:20:06.386]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:13.157 --> 00:20:29.002]  Alright, we have some breaking news right now.
[00:20:29.002 --> 00:20:34.864]  Supreme Court Justice Stephen Breyer has announced his retirement.
[00:20:34.864 --> 00:20:37.865]  He is the oldest serving Supreme Court Justice at 83 years old.
[00:20:40.475 --> 00:20:53.143]  He was obviously a left-leaning, liberal-leaning Supreme Court Justice appointed by Bill Clinton, and so he is on his way out.
[00:20:53.143 --> 00:20:54.023]  Boy, oh boy.
[00:20:54.023 --> 00:21:07.531]  Now, what, or rather, who, or maybe rather what, is Joe Biden going to appoint as the next Supreme Court Justice?
[00:21:07.531 --> 00:21:08.392]  Could you imagine?
[00:21:10.532 --> 00:21:16.776]  Be so bold as to nominate Merrick Garland?
[00:21:16.776 --> 00:21:17.616]  I don't think so.
[00:21:17.616 --> 00:21:35.126]  I don't think that would get the votes needed for approval just given on how partisan, how much of a partisan hack he has been as the Attorney General and how he clearly has blood in his eyes going after Trump supporters.
[00:21:38.194 --> 00:21:43.017]  I know that that'll probably be a concern for many, but I don't think that's where this is going to go.
[00:21:43.017 --> 00:21:59.487]  However, you know Biden is going to look for the most radical leftist he can find that could clear the Congress for approval to get onto the Supreme Court.
[00:22:01.969 --> 00:22:06.610]  Obviously, when it comes down to voting, it's probably not going to be the most drastic change.
[00:22:06.610 --> 00:22:15.493]  Breyer and whatever radical leftist Biden appoints would probably have similar decisions at the Supreme Court level.
[00:22:15.493 --> 00:22:23.455]  However, it's just the Democrat Party is not the Democrat Party of old.
[00:22:23.455 --> 00:22:28.856]  It is the radical left-wing party now, and that is going to be represented on the Supreme Court, I believe.
[00:22:29.605 --> 00:22:33.728]  With whoever replaces Stephen Breyer.
[00:22:33.728 --> 00:22:37.370]  So, this news is breaking right now.
[00:22:37.370 --> 00:22:48.718]  But, you know, Biden is, uh, he's busy having ice cream socials, so he can't be bothered with such things at this moment.
[00:22:48.718 --> 00:22:52.640]  He needs to test out the 31 flavors of Baskin-Robbins.
[00:22:52.640 --> 00:22:55.302]  After all, it's Wednesday, January 26th.
[00:22:55.302 --> 00:22:55.702]  Don't you know?
[00:22:55.702 --> 00:22:56.983]  What's Biden doing today?
[00:22:56.983 --> 00:22:58.144]  He's having ice cream!
[00:23:00.151 --> 00:23:04.793]  He's having ice cream.
[00:23:04.793 --> 00:23:05.634]  Oh my gosh.
[00:23:05.634 --> 00:23:07.354]  Talk about embarrassing.
[00:23:07.354 --> 00:23:17.499]  I mean, you know, you see all of these embarrassing moments for Joe Biden and it just gets worse and worse with every time.
[00:23:17.499 --> 00:23:19.360]  And by the way, it's well known.
[00:23:19.360 --> 00:23:23.022]  There's two things that are well known for optics.
[00:23:25.014 --> 00:23:31.540]  Bad guys, their publicists will tell them, for optics, go have an ice cream cone.
[00:23:31.540 --> 00:23:32.761]  Everybody loves ice cream.
[00:23:32.761 --> 00:23:36.024]  Old people, young people, black people, white people.
[00:23:36.024 --> 00:23:38.746]  Go out, pose for a picture with an ice cream cone.
[00:23:38.746 --> 00:23:40.168]  That'll help your ratings.
[00:23:40.168 --> 00:23:41.589]  That'll help your public image.
[00:23:41.589 --> 00:23:43.791]  Just go have an ice cream social.
[00:23:43.791 --> 00:23:46.653]  So Biden's been doing that for decades.
[00:23:46.653 --> 00:23:49.236]  It's also well known that dementia patients
[00:23:51.747 --> 00:23:53.429]  Like ice cream?
[00:23:53.429 --> 00:24:04.360]  Because it kind of quells their anxiety of having the memory problems and forgetting where they're at and kind of having irrational responses to stimuli.
[00:24:04.360 --> 00:24:08.164]  So they go for ice cream.
[00:24:08.164 --> 00:24:13.489]  So yeah, while Biden is in the process of potentially starting World War III,
[00:24:15.031 --> 00:24:17.872]  He's going out for ice cream socials.
[00:24:17.872 --> 00:24:26.334]  As the country is seeing record crime rates, the president is going for ice cream socials.
[00:24:26.334 --> 00:24:30.935]  I mean, if you want to even play along with the leftist narrative, what's the biggest leftist thing right now?
[00:24:30.935 --> 00:24:31.635]  Well, it's COVID.
[00:24:31.635 --> 00:24:33.496]  They're obsessed with it.
[00:24:33.496 --> 00:24:38.877]  Okay, well, we just had more COVID deaths last year than any other year ever.
[00:24:39.923 --> 00:24:41.564]  If you believe the numbers.
[00:24:41.564 --> 00:24:43.845]  We have more positive cases than ever.
[00:24:43.845 --> 00:24:44.905]  And what's Biden doing?
[00:24:44.905 --> 00:24:46.446]  He's having the ice cream social.
[00:24:46.446 --> 00:24:47.667]  That's how you distract.
[00:24:47.667 --> 00:24:50.128]  That's how you save your public image.
[00:24:50.128 --> 00:25:01.373]  So Biden gets embarrassed on the world stage, curses out a reporter, slurs and stumbles his way through his second press conference.
[00:25:01.373 --> 00:25:02.134]  So what do you do?
[00:25:02.134 --> 00:25:05.295]  What do you do when you're embarrassing yourself on the world stage?
[00:25:05.295 --> 00:25:06.816]  You go for an ice cream.
[00:25:08.103 --> 00:25:12.746]  You go for the old ice cream social.
[00:25:12.746 --> 00:25:17.189]  Joe Biden stops for ice cream as Russia's invasion of Ukraine remains imminent.
[00:25:17.189 --> 00:25:21.472]  That's what we're being told.
[00:25:21.472 --> 00:25:24.735]  Ukraine doesn't seem to be so panicked about it, though.
[00:25:24.735 --> 00:25:28.477]  But we'll get back to that.
[00:25:28.477 --> 00:25:31.159]  He didn't stop at the ice cream social, though.
[00:25:31.159 --> 00:25:34.281]  He then went on a shopping spree.
[00:25:34.281 --> 00:25:36.563]  Went to some nice boutiques to do some shopping.
[00:25:38.396 --> 00:25:41.498]  Seem to be, uh, stuck in the kids section most the time.
[00:25:41.498 --> 00:25:51.186]  Biden, while holding a Kamala Harris mug in DC boutique, the media found out where he was and started harassing him.
[00:25:51.186 --> 00:25:56.309]  And he said, if Putin invades Ukraine, it would be the largest invasion since World War II.
[00:25:56.309 --> 00:25:58.851]  Oh, I see.
[00:25:58.851 --> 00:26:02.174]  Are you, uh, are you trying to tell us something?
[00:26:02.174 --> 00:26:04.095]  Are you trying to say, oh, I get it.
[00:26:04.095 --> 00:26:07.778]  You're going to blame Putin if you start World War III.
[00:26:09.150 --> 00:26:11.731]  No.
[00:26:11.731 --> 00:26:17.534]  Whatever goes on between Russia and Ukraine is going to stay between Russia and Ukraine.
[00:26:17.534 --> 00:26:21.555]  No one else will get involved.
[00:26:21.555 --> 00:26:32.380]  But if the US decides to get involved, or if the US decides to spur NATO to get involved, which really should be the US anyway, that will lead to a larger conflict.
[00:26:32.380 --> 00:26:34.521]  I believe that will get China and other countries involved.
[00:26:35.700 --> 00:26:37.161]  So no, it wouldn't be Putin.
[00:26:37.161 --> 00:26:40.562]  It would be the other foreign interventions that would start that World War III.
[00:26:40.562 --> 00:26:47.805]  That would be a local incursion or skirmish between Russia and Ukraine.
[00:26:47.805 --> 00:26:49.246]  That would be it.
