[00:00:00.649 --> 00:00:05.070]  This is truly an Emergency Saturday Broadcast.
[00:07:24.062 --> 00:07:26.823]  It's a strange game.
[00:07:26.823 --> 00:07:28.564]  The only way to win is not to play.
[00:07:29.500 --> 00:07:34.845]  And I've done about an A- over the years overall, not being played by the globalists.
[00:07:34.845 --> 00:07:37.046]  But I've gotten sucked in.
[00:07:37.046 --> 00:07:40.269]  I've been manipulated.
[00:07:40.269 --> 00:07:46.795]  And I really think it's important to really admit it when we've been wrong.
[00:07:46.795 --> 00:07:49.817]  Because that's why we have credibility, and that's why the globalists don't have it.
[00:07:49.817 --> 00:07:50.718]  And I wish they did.
[00:07:50.718 --> 00:07:55.202]  Because I have children, I want a better future, and I don't want evil running the planet.
[00:07:55.202 --> 00:07:57.183]  But in my fighting them,
[00:07:58.559 --> 00:08:01.000]  I have gotten down on their level some, and that's just not good.
[00:08:01.000 --> 00:08:07.061]  And really, history shows it, intellectual research documents it, and a connection to God confirms it.
[00:08:07.061 --> 00:08:10.402]  But I need to be more Christ-like.
[00:08:10.402 --> 00:08:15.904]  And I've gotten more Christ-like over the years, but far from a saint.
[00:08:15.904 --> 00:08:19.145]  So I wanted to just share that information with you.
[00:08:22.887 --> 00:08:27.288]  We are in the countdown to the end of everything that you've known and everything I've known.
[00:08:27.288 --> 00:08:30.449]  And I don't think, again, you need me to tell you that.
[00:08:30.449 --> 00:08:38.251]  And I consider and try to define this for people, but just now, world leaders are talking about the Great Reset.
[00:08:38.251 --> 00:08:43.533]  Just now, senators and people are talking about this is a UN Global Corporate Takeover.
[00:08:43.533 --> 00:08:47.134]  We're two years into this attack.
[00:08:47.134 --> 00:08:50.815]  And just now, we've forced, you forced,
[00:08:52.156 --> 00:08:58.341]  Those talking points about what we're up against, who's attacking us into the main discussion.
[00:08:58.341 --> 00:09:03.165]  And I have a responsibility to continue to move that ball forward because it's the truth.
[00:09:03.165 --> 00:09:16.315]  Even though the more I move it forward, the more I ensure intensified attacks against me, which have gone parabolic publicly and behind the scenes.
[00:09:16.315 --> 00:09:21.699]  And it's a calculus that I have.
[00:09:22.947 --> 00:09:31.832]  That at a gut level, I don't feel like I'm doing good, risking my life doing this.
[00:09:31.832 --> 00:09:33.753]  I won't do it.
[00:09:33.753 --> 00:09:37.555]  And again, I'm not saying I'm going to quit.
[00:09:37.555 --> 00:09:38.256]  It's just that
[00:09:41.832 --> 00:09:48.996]  These times are so bad and so horrible that I'm going to have to admit soon that I failed.
[00:09:48.996 --> 00:09:51.298]  It doesn't mean I failed in my main work.
[00:09:51.298 --> 00:09:52.138]  We woke a lot of people up.
[00:09:52.138 --> 00:09:54.340]  People know what's going on now.
[00:09:54.340 --> 00:09:57.802]  But that's just caused the New World Order to triple and quadruple down.
[00:09:57.802 --> 00:10:08.789]  And then if they quadruple down and then we don't have a peaceful way to fix it, we're informed slaves.
[00:10:08.789 --> 00:10:08.989]  So,
[00:10:10.632 --> 00:10:30.082]  I want to spend some time today talking about what really happened on January 6th and why I'm having so many problems with it because it was a giant fiasco.
[00:10:30.082 --> 00:10:35.465]  And what I originally thought happened is basically what did happen.
[00:10:35.465 --> 00:10:38.267]  And I got a lot of criticism back early on.
[00:10:41.277 --> 00:10:47.203]  For saying, no, there was real federal provocateurs and antifa and LARPers out there.
[00:10:47.203 --> 00:10:52.088]  But there were some patriots that think it's time for a physical fight.
[00:10:52.088 --> 00:10:54.471]  They call themselves patriots.
[00:10:54.471 --> 00:10:59.396]  And who did piggyback on all of it.
[00:10:59.396 --> 00:11:03.220]  And were hoping they could trigger a physical revolution.
[00:11:04.671 --> 00:11:15.718]  Off of the events we were having, trying to get attention and have a 10-day investigation in the Senate, which is constitutional and totally normal, and the Democrats have called for it and done it before themselves.
[00:11:15.718 --> 00:11:22.462]  But I have a lot of resentment for some of those groups that did that, if it's true.
[00:11:22.462 --> 00:11:29.987]  And I've read now the Stuart Rhodes indictment three times.
[00:11:29.987 --> 00:11:30.127]  And
[00:11:32.503 --> 00:11:39.328]  I can see some of it and imagine that that could be true from things I saw and things that went on.
[00:11:39.328 --> 00:11:58.904]  I didn't really notice at the time, but in retrospect, the problem is they've lied so badly in Owen's arrest filing and in responses in court where we get them great lawyers, you support them, you got them great lawyers, listeners, and they lie in the court filings.
[00:12:01.139 --> 00:12:07.845]  In just bald-faced lies, like saying, Alex Jones does not have a Statue of Liberty behind him on today's show.
[00:12:07.845 --> 00:12:11.169]  No, I have a Statue of Liberty behind me on today's show.
[00:12:11.169 --> 00:12:14.932]  Or, Alex isn't wearing a brown jacket.
[00:12:14.932 --> 00:12:16.074]  But I am wearing a brown jacket.
[00:12:16.074 --> 00:12:20.998]  I mean, it's... And it doesn't make me even want to be enemies with the Justice Department.
[00:12:20.998 --> 00:12:23.401]  I'm, like, legitimately freaked out.
[00:12:25.307 --> 00:12:29.570]  That, I mean, lying of this level, because I followed criminology and crime and news forever.
[00:12:29.570 --> 00:12:34.493]  Loved watching, you know, court TV when I was in high school, college, like most of you, you know, a news junkie.
[00:12:34.493 --> 00:12:38.876]  And I've read a lot of indictments and see stuff, and a lot of times it turns out it's exactly what they say is true.
[00:12:38.876 --> 00:12:50.064]  This is a whole pivot away from being somewhat corrupt, some good prosecutors, some bad prosecutors, to the prosecutors and the judges and the whole system being a bunch of liars.
[00:12:53.786 --> 00:13:06.698]  And then you lose the ability to have any confidence in what they say when you read it.
[00:13:06.698 --> 00:13:16.967]  Though my gut tells me that in the main, this indictment is somewhat accurate.
[00:13:18.615 --> 00:13:35.142]  That said though, if you're going to arrest these people for fantasizing about an overthrow and then really just running around LARPing and pushing some doors open, that's as far as they went and bumping into a cop, and then fantasizing about other stuff they did, well then what are you going to do?
[00:13:36.400 --> 00:13:41.926]  To Chris Cuomo saying, it's mostly peaceful to burn down billions of dollars of stuff.
[00:13:41.926 --> 00:13:47.592]  Or Black Lives Matter leaders on TV saying, give us what we want or we're going to burn down New York City.
[00:13:47.592 --> 00:13:48.573]  I've got the clips right here.
[00:13:50.401 --> 00:13:55.105]  Because I don't care if you're a Christian, a conservative, a liberal, a Muslim.
[00:13:55.105 --> 00:14:06.395]  You shouldn't be saying, the police in New York better not prosecute serious crimes or we're going to burn the effing city down on TV and the news anchors agreeing with it.
[00:14:08.442 --> 00:14:11.344]  I'm not saying go burn down police stations.
[00:14:11.344 --> 00:14:13.726]  I'm not running around attacking federal buildings.
[00:14:13.726 --> 00:14:19.050]  And Kamala Harris is the one who bailed people out that assaulted police.
[00:14:19.050 --> 00:14:21.572]  One guy, we have the video, with a hatchet.
[00:14:21.572 --> 00:14:25.636]  They're breaking into a federal courthouse, attacking people with hatchets.
[00:14:25.636 --> 00:14:31.160]  And Merrick Garland gets asked about it, he doesn't have a comment.
[00:14:31.160 --> 00:14:37.365]  So all I'm saying is, I'm done with this.
[00:14:39.181 --> 00:14:47.665]  And I sincerely am not going to be associated with violent uprisings and with violence and with civil wars and all this.
[00:14:47.665 --> 00:14:54.449]  I've been warning about civil war that the global is trying to start because it's in their own battle plans and now it's public and I'll show you that here in a few minutes.
[00:14:55.848 --> 00:15:00.611]  I'm trying to stop this, and I'm not trying to be a Republican leader.
[00:15:00.611 --> 00:15:02.353]  I'm not trying to live in L.A.
[00:15:02.353 --> 00:15:03.974]  or New York or D.C.
[00:15:03.974 --> 00:15:06.916]  and be part of the power structure and feed it the trough.
[00:15:06.916 --> 00:15:10.498]  Yes, I live in the most popular city probably in the world.
[00:15:10.498 --> 00:15:11.159]  I love Austin.
[00:15:11.159 --> 00:15:14.401]  It's a little bit overrated sometimes, but that's because my family's from here.
[00:15:14.401 --> 00:15:15.102]  I've been here.
[00:15:15.102 --> 00:15:19.825]  Family's been here since the 1820s on the mom's side and the dad's side.
[00:15:19.825 --> 00:15:21.506]  So people ask, why are you in that communist city?
[00:15:21.506 --> 00:15:22.327]  Well, it's where I'm from.
[00:15:23.231 --> 00:15:23.891]  And you're right.
[00:15:23.891 --> 00:15:26.392]  If I had the money to move our studios, I'd get out of here.
[00:15:26.392 --> 00:15:28.713]  I don't have that.
[00:15:28.713 --> 00:15:33.835]  So, here we are in Mordor.
[00:15:33.835 --> 00:15:44.118]  And we're watching the purposeful collapse of our society and of our civilization.
[00:15:44.118 --> 00:15:47.919]  So, I don't know what the truth is about Stuart Rhodes.
[00:15:47.919 --> 00:15:49.660]  I don't know what the truth is about
[00:15:51.488 --> 00:16:09.473]  Any of the groups that went in there, I do know there was some feds, some provocateurs, a rapid reaction force, you know, a thousand armed people with the FBI and the rest of it that sat there and watched it all happen while I'm sitting there freezing my ass off watching Trump give a speech a mile and a half away, thinking we're just about to have another demonstration like we always have.
[00:16:09.473 --> 00:16:12.194]  The feds are encamped around the Capitol.
[00:16:12.194 --> 00:16:16.615]  Half the police are there that are normally there, 80 of them.
[00:16:16.615 --> 00:16:19.696]  And then here comes a giant mob of a million people
[00:16:20.718 --> 00:16:35.787]  The couple hundred thousand that were freezing and bored that went down, a mob of good people, bad people, happy people, you know, crazy people, most of them good people, but being provocateured into the building.
[00:16:35.787 --> 00:16:47.554]  And I've got another report here with a Republican congressman that was going to be on the Jan 6th committee, who was briefed the day before Jan 6th by the Capitol Police that we believe there's going to be an attack tomorrow, they're going to try to force their way in.
[00:16:47.554 --> 00:16:48.235]  They knew that!
[00:16:49.744 --> 00:16:53.806]  And so why did they say, oh, go do traffic control?
[00:16:53.806 --> 00:17:01.190]  Why did they refuse Trump's National Guard request that's now been confirmed?
[00:17:01.190 --> 00:17:04.892]  There was a stand down, just like on 9-11, bare minimum.
[00:17:04.892 --> 00:17:09.075]  January 6th was a stand down, period.
[00:17:09.075 --> 00:17:11.016]  Bare minimum.
[00:17:11.016 --> 00:17:13.497]  Of course they were surveilling Stuart Rhodes and all those people.
[00:17:13.497 --> 00:17:15.638]  Of course they were reading their signal stuff.
[00:17:15.638 --> 00:17:16.819]  Of course that was all going on.
[00:17:17.793 --> 00:17:26.217]  And that's another reason in the back of my mind I thought, if any of these crowds even think about getting out of control, there's going to be feds everywhere.
[00:17:26.217 --> 00:17:32.321]  Except I didn't imagine they would actually fully stand down and then let just a few police get overrun.
[00:17:32.321 --> 00:17:34.042]  I mean, it's just, it's crazy.
[00:17:34.042 --> 00:17:36.043]  And it was a disaster.
[00:17:36.043 --> 00:17:36.463]  We wanted
[00:17:37.714 --> 00:17:46.519]  Like any big demonstration to put legal political pressure as citizens for the government to have a 10-day investigation to show our numbers, to show we were upset.
[00:17:46.519 --> 00:17:51.603]  That's why Martin Luther King went and had hundreds of thousands of people and other marches in D.C.
[00:17:51.603 --> 00:17:54.004]  was to say, hey, we're upset.
[00:17:54.004 --> 00:17:55.125]  We want this done.
[00:17:55.125 --> 00:17:56.746]  We're showing you our numbers.
[00:17:56.746 --> 00:17:57.826]  That's in the First Amendment.
[00:17:57.826 --> 00:18:01.969]  That's a good thing.
[00:18:01.969 --> 00:18:06.672]  But by leaving the Capitol completely undefended, I mean, 80 cops is undefended.
[00:18:12.020 --> 00:18:13.581]  They knew exactly what they were doing.
[00:18:13.581 --> 00:18:23.346]  And they even bragged in that article in Time Magazine about how we did it, how a group of Republicans and Democrats worked together to, you know, make sure Trump was taken out.
[00:18:23.346 --> 00:18:31.071]  And on January 6th, that no antifa was there, and that we knew that they were going to come and do all this, and we just let them do it.
[00:18:31.071 --> 00:18:34.893]  I mean, they're telling you right there what they did, and it needs to stop.
[00:18:36.229 --> 00:18:41.391]  And we need congressional investigations on the stand down and who did what and why they did it.
[00:18:41.391 --> 00:18:44.693]  And then again, I'll be completely fair.
[00:18:44.693 --> 00:18:49.655]  I'm not throwing Trump under the bus because I think, oh, if I'm mean to Trump, you know, the political system will leave me alone.
[00:18:49.655 --> 00:18:51.876]  No, I'm mad at him about his pardons.
[00:18:51.876 --> 00:18:56.558]  I'm upset at him about going along saying the vaccine totally works when it doesn't and all the rest of it.
[00:18:56.558 --> 00:19:01.741]  But the reason I'm upset with Trump is he makes
[00:19:03.078 --> 00:19:08.484]  Any opposition to spying or corruption or open borders about him.
[00:19:08.484 --> 00:19:09.726]  It's all about Trump now.
[00:19:09.726 --> 00:19:13.090]  The Bill of Rights, the Constitution, Americana, anti-globalism.
[00:19:13.090 --> 00:19:20.358]  And Trump is a very poisonous figure with half of America, and then it becomes a way for them to drive a wedge into the country.
[00:19:20.358 --> 00:19:21.580]  And so that's my issue with Trump.
[00:19:24.173 --> 00:19:26.915]  And Trump, I've tried to do the timelines.
[00:19:26.915 --> 00:19:29.097]  It's hard to know, but it's not exact.
[00:19:29.097 --> 00:19:34.681]  But they say it was 187 minutes from the time the attack started until he took action.
[00:19:34.681 --> 00:19:40.126]  And no, it's more about like 90 to 100 minutes.
[00:19:40.126 --> 00:19:42.387]  Because they were already attacking when he's up there giving the speech.
[00:19:42.387 --> 00:19:47.651]  And then he goes in a limo and watches it and doesn't know what to do and is confused.
[00:19:47.651 --> 00:19:49.993]  And you could say there was some negligence there.
[00:19:49.993 --> 00:19:51.595]  It was not very presidential.
[00:19:51.595 --> 00:19:52.815]  It was not very decisive.
[00:19:53.660 --> 00:20:01.809]  Because I'm trying to go to the police after I'm there five minutes saying, I know you have huge PA systems for emergencies and evacuations.
[00:20:01.809 --> 00:20:03.891]  Get on it and say, get out of the building.
[00:20:03.891 --> 00:20:05.433]  Get out of the building.
[00:20:05.433 --> 00:20:07.014]  Well, they've been ordered to open the building up.
[00:20:07.014 --> 00:20:09.237]  Well, let's have an investigation of that.
[00:20:09.237 --> 00:20:10.598]  And then I'm like, give me your commander.
[00:20:10.598 --> 00:20:11.539]  I'll get on the damn thing.
[00:20:11.539 --> 00:20:12.140]  Tell him, get out.
[00:20:12.140 --> 00:20:13.902]  We're going to have a Kent State here.
[00:20:13.902 --> 00:20:14.743]  And we did have a Kent State.
[00:20:18.404 --> 00:20:20.585]  More citizens died.
[00:20:20.585 --> 00:20:21.526]  One cop died.
[00:20:21.526 --> 00:20:25.629]  Maybe the injuries after, but they turned it, you know, Merrick Garland turned it into something worse than 9-11.
[00:20:25.629 --> 00:20:26.950]  And I'm sad those people died.
[00:20:26.950 --> 00:20:28.991]  Both the citizens and the cops and everybody.
[00:20:28.991 --> 00:20:29.692]  We're all citizens.
[00:20:29.692 --> 00:20:34.575]  But the issue here is that
[00:20:38.422 --> 00:20:45.526]  I walked into a trap, and I shouldn't have just counted on Trump and the police and everything, and should have been more paranoid.
[00:20:45.526 --> 00:20:51.729]  But you're there in a sea of people, and you've already had a bunch of events in DC, and you're just thinking, hey, this is great, you know.
[00:20:51.729 --> 00:20:57.772]  Let's try to have the Senate investigate this because nobody really has yet.
[00:20:57.772 --> 00:20:59.273]  And you are in the middle of this.
[00:21:01.892 --> 00:21:04.913]  And you ask yourself, because I'm not measuring myself by Trump.
[00:21:04.913 --> 00:21:06.434]  I'm not trying to say, oh, look how good I did.
[00:21:06.434 --> 00:21:10.275]  But I mean, I instantly was like, what the hell?
[00:21:10.275 --> 00:21:11.036]  Get off there.
[00:21:11.036 --> 00:21:11.676]  Don't do that.
[00:21:11.676 --> 00:21:13.236]  This is horrible.
[00:21:13.236 --> 00:21:18.979]  Any moron would know that.
[00:21:18.979 --> 00:21:28.422]  And Trump is sitting there at the White House for almost an hour, almost two hours, almost 100 minutes.
[00:21:28.422 --> 00:21:29.843]  And I just, I just can't.
[00:21:31.753 --> 00:21:32.854]  I don't think so.
[00:21:32.854 --> 00:21:35.677]  I think he was taken off guard and didn't know what to do.
[00:21:52.987 --> 00:22:05.231]  You know, I mean, they reported in the Jan 6th Committee, if any of it's true, but it sounds like Trump, that he re-shot his thing like four or five times, was throwing fits, and they didn't think it was strong enough, what he was saying, so he had to keep re-shooting it.
[00:22:05.231 --> 00:22:07.372]  I don't know if that's true.
[00:22:07.372 --> 00:22:20.596]  I just know that for close to him, 100 minutes, that's about the number I come up with, 90 to 100 minutes, he sat there in the White House, letting this fiasco go on.
[00:22:27.113 --> 00:22:37.942]  Now the Republicans have to understand something, and this is a huge issue.
[00:22:37.942 --> 00:22:41.605]  Your party is going to be outlawed in the next year.
[00:22:43.621 --> 00:22:44.242]  Effectively.
[00:22:44.242 --> 00:22:46.365]  And the Democrats are already saying that.
[00:22:46.365 --> 00:22:47.206]  I said that months ago.
[00:22:47.206 --> 00:22:48.708]  They're now saying that, too.
[00:22:48.708 --> 00:22:49.790]  Because I know what their next move is.
[00:22:49.790 --> 00:22:51.071]  It's already pre-canned.
[00:22:51.071 --> 00:22:52.513]  You can see the next part of the script.
[00:22:52.513 --> 00:22:54.977]  This is like bad comedy.
[00:22:54.977 --> 00:22:58.882]  You've seen one Three Stooges episode.
[00:22:58.882 --> 00:22:59.523]  You've seen them all.
[00:22:59.523 --> 00:23:00.685]  You know what's coming next, okay?
[00:23:02.708 --> 00:23:05.753]  Now he's going to slap Curly in the back of the head and he's going to punch Moe in the nose.
[00:23:05.753 --> 00:23:07.897]  I mean, you know what's happening.
[00:23:07.897 --> 00:23:10.922]  They're literally declaring being an American terrorist.
[00:23:10.922 --> 00:23:13.726]  We now learn the Justice Department ran the branding.
[00:23:15.117 --> 00:23:20.321]  To say that parents peacefully protesting at school board meetings are terrorists.
[00:23:20.321 --> 00:23:21.962]  That didn't come from the school, the school board.
[00:23:21.962 --> 00:23:25.745]  That came from inside their system trying to roll that out.
[00:23:25.745 --> 00:23:33.851]  And of course, if the Justice Department weren't a bunch of lawyers that think they know it all and think that they run the planet, when they don't, there's the scientific group above them.
[00:23:33.851 --> 00:23:42.378]  They would be smart enough to go, you don't think whoever's giving you guys the orders to try to outlaw parents and demonize parents?
[00:23:43.662 --> 00:23:50.245]  You don't think the people giving you this advice are actually on your side, do you?
[00:23:50.245 --> 00:23:53.146]  No.
[00:23:53.146 --> 00:24:03.710]  The Great Reset wants to destroy the Western world and the idea of wealthy Westerners, because they don't want the third world to aspire to that, and they want to build this horrible, dystopic Great Reset on record.
[00:24:05.071 --> 00:24:08.793]  So I don't want to participate in Civil War II.
[00:24:08.793 --> 00:24:11.134]  I don't want to fight you.
[00:24:11.134 --> 00:24:15.376]  I don't want to be part of this idiotic BS.
[00:24:15.376 --> 00:24:18.277]  Hollywood has collapsed.
[00:24:18.277 --> 00:24:19.658]  The left has collapsed.
[00:24:19.658 --> 00:24:22.479]  America is rotting.
[00:24:22.479 --> 00:24:23.920]  We are falling apart.
[00:24:23.920 --> 00:24:25.521]  Our children are in crisis.
[00:24:25.521 --> 00:24:28.582]  I don't care if you're black, white, a Democrat, a Republican.
[00:24:28.582 --> 00:24:29.723]  This is not good.
[00:24:32.153 --> 00:24:45.912]  And everything The Great Reset does, everything they push, in their own words, is to fully bankrupt civilization and to fully collapse things and on the ashes of it build this robot technocracy for those that are even allowed to survive.
[00:24:45.912 --> 00:24:48.055]  This is going to be a hell for 99% of people.
[00:24:52.725 --> 00:24:56.028]  This is a design collapse where they rebuild the world in their image.
[00:24:56.028 --> 00:24:57.770]  You don't want to be part of this.
[00:24:57.770 --> 00:25:02.355]  And I'm going to go to a very important report and come back and get into the meat and potatoes of all this.
[00:25:02.355 --> 00:25:09.002]  We've got a very important constitutional lawyer joining us who just caught singing in another huge lie concerning us.
[00:25:09.002 --> 00:25:11.104]  And we have all the proof.
[00:25:11.104 --> 00:25:11.885]  So that's coming up.
[00:25:11.885 --> 00:25:15.189]  But Greg Rees always does really powerful reports.
[00:25:16.514 --> 00:25:19.915]  And he sends them in randomly on Monday or Tuesday or Wednesday or Friday.
[00:25:19.915 --> 00:25:31.197]  But right before we started taping here, taped to air, we're usually live during the weekdays, but this is on Saturdays, we tape like it's live and then air that whole piece, that whole compendium.
[00:25:31.197 --> 00:25:34.038]  So it's the equivalent of live, it's just not actually live.
[00:25:34.038 --> 00:25:43.320]  And I was already coming in here and telling him, get me articles about the Senate legalizing human animal clones last year and get me articles
[00:25:44.637 --> 00:25:49.541]  About drinking... Bill Gates wants you to drink sewage and not have any beef.
[00:25:49.541 --> 00:25:52.503]  And have 3D printed meat out of bug parts.
[00:25:52.503 --> 00:25:58.847]  And get me this, and get me that, and get me how they're burning up aborted baby parts to heat hospitals.
[00:25:58.847 --> 00:26:02.930]  As a way to disrespect the remains and think of ourselves as a commodity.
[00:26:02.930 --> 00:26:12.697]  And then... Here comes his latest video... Dealing with... What the Democrats...
[00:26:13.993 --> 00:26:30.135]  ...are up to, and what the deep state is up to, and how America's food supply is fertilized with human remains and coated with toxic nanoparticles.
[00:26:30.135 --> 00:26:31.276]  Now this has all been done.
[00:26:32.401 --> 00:26:37.564]  And I was already going to come in here and say there is a revolution against biological life.
[00:26:37.564 --> 00:26:47.910]  There is a corporate scientific takeover of everything from the crops, to the air, to your food, to your medicine, to every aspect.
[00:26:47.910 --> 00:26:58.276]  Not just 5G bombardment, but filling us full of nanoparticles that the patents all say that now these systems can resonate with and track you and even affect you.
