[00:00:00.089 --> 00:00:02.291]  The Liberal World Order!
[00:22:52.698 --> 00:22:54.039]  What you need to survive what's coming.
[00:22:54.099 --> 00:22:55.119]  Preparetoday.com.
[00:22:55.659 --> 00:22:56.919]  Prepare today, survive tomorrow.
[00:22:57.199 --> 00:22:58.100]  In stock, ready to ship.
[00:22:58.120 --> 00:22:59.360]  Preparetoday.com.
[00:22:59.380 --> 00:23:02.301]  Don't forget, the last day is the July 4th Super Sale.
[00:23:02.341 --> 00:23:04.341]  Up to 75% off right now at InfoWareStore.com.
[00:23:04.622 --> 00:23:05.282]  Double-pay for your points.
[00:23:05.302 --> 00:23:05.722]  We'll be right back.
[00:23:09.578 --> 00:23:17.623]  I mean careful attention to building and sustaining the liberal international world order with the United States and Europe at its core.
[00:23:18.123 --> 00:23:24.766]  What do you say to those families who say, listen we can't afford to pay $4.85 a gallon for months if not years.
[00:23:24.806 --> 00:23:26.087]  This is just not sustainable.
[00:23:26.207 --> 00:23:29.869]  This is about the future of the liberal world order and we have to stand firm.
[00:23:30.269 --> 00:23:36.673]  How long is it fair to expect American drivers and drivers around the world to pay that premium for this war?
[00:23:37.554 --> 00:23:38.475]  As long as it takes.
[00:23:38.776 --> 00:23:43.583]  Russia cannot, in fact, defeat Ukraine and move beyond Ukraine.
[00:23:44.184 --> 00:23:49.091]  Harry Truman famously had on his desk a plaque that said, the buck stops here.
[00:23:50.293 --> 00:23:52.656]  Joe Biden seems to have replaced that plaque.
[00:23:53.877 --> 00:23:57.281]  With instead the phrase, the buck stops with Putin.
[00:23:57.902 --> 00:24:02.427]  The mass formation psychosis is strong over the United States.
[00:24:02.807 --> 00:24:13.540]  This is the liberal world order foisted upon us by our self-serving occupier and chief globalist tool and new world order zealot, Joe Biden.
[00:24:13.800 --> 00:24:22.566]  The affirmative task we have now is to actually create a new world order.
[00:24:22.806 --> 00:24:36.416]  And as the Constitution-ignoring occupier continues to split the country by feeding it into the clutches of Marxism... At a time of record inflation and a spew polling this week shows that 85% of the U.S.
[00:24:36.476 --> 00:24:38.958]  public thinks the country is going in the wrong direction.
[00:24:40.214 --> 00:24:55.241]  How do you explain this to those people who feel the country is going in the wrong direction, including some of the leaders you've been meeting with this week, who think that when you put all of this together, it amounts to an America that is going backward?
[00:24:55.981 --> 00:24:57.222]  They do not think that.
[00:24:58.082 --> 00:25:02.725]  You haven't found one person, one world leader to say America's going backwards?
[00:25:03.125 --> 00:25:17.033]  As bad as the tyranny was in 1776, in many ways, as I say, it's worse now in 2022 because the far left, unfortunately, has taken control over the five major megaphones of our nation, meaning the media, entertainment, academia, and of late, science and medicine.
[00:25:17.493 --> 00:25:19.554]  And people don't realize what they have.
[00:25:20.515 --> 00:25:21.575]  They bitch about it.
[00:25:22.736 --> 00:25:25.858]  And then nowadays, I am so upset.
[00:25:27.406 --> 00:25:35.688]  That the things we did and the things we fought for and the boys that died for us, it's all gone down the drain.
[00:25:36.768 --> 00:25:39.929]  Our country's gone to hell in a handbasket.
[00:25:42.049 --> 00:25:44.850]  We haven't got the country we had when I was raised.
[00:25:45.350 --> 00:25:45.950]  Not at all.
[00:25:46.730 --> 00:25:48.650]  Nobody will have the fun I had.
[00:25:49.330 --> 00:25:51.711]  Nobody will have the opportunity I had.
[00:25:53.184 --> 00:25:54.885]  It's just not the same.
[00:25:55.866 --> 00:25:58.807]  That's not what they died for.
[00:26:00.528 --> 00:26:18.839]  The walls are closing in on the remaining 932 days of Biden's occupation with an approval rating of 39% as a Harvard CAPS Harris Poll Survey found that 71% of respondents do not think Biden should run for a second term.
[00:26:19.179 --> 00:26:30.143]  A University of Chicago's Institute of Politics poll reveals that 28% of voters felt it might soon be necessary to take up arms against the government.
[00:26:30.443 --> 00:26:39.407]  According to the data, one-third of Republicans, including 45% of strong Republicans, hold this belief about taking up arms.
[00:26:40.528 --> 00:26:46.334]  35% of independent voters and, surprisingly, 20% of Democrats also agreed.
[00:26:46.574 --> 00:26:55.664]  And as inflation reaches a record 40-year high, stock markets posted the worst first half of a year in over five decades.
[00:26:56.084 --> 00:27:04.867]  While the failing social security system is set to rise in 2023 by 11% due to the cost of living.
[00:27:05.147 --> 00:27:12.009]  Meanwhile, Biden mumbles about carving out the filibuster in order to codify Roe vs. Wade into law.
[00:27:12.769 --> 00:27:17.311]  Congress is gonna have to act to codify the row into federal law.
[00:27:18.312 --> 00:27:23.174]  As I said yesterday, the filibuster should not stand in the way of us being able to do that.
[00:27:23.194 --> 00:27:29.217]  But right now, we don't have the votes in the Senate to change the filibuster at the moment.
[00:27:29.517 --> 00:27:37.781]  But the occupier-in-chief faces a midterm pummeling, making it impossible for his dictatorship to continue to thrive.
[00:27:38.201 --> 00:27:42.418]   I don't care If you think I'm Satan reincarnated.
[00:27:42.659 --> 00:27:43.800]  John Bowne reporting.
[00:27:46.022 --> 00:27:46.703]  Very good report.
[00:27:46.723 --> 00:27:47.764]  It's at Man.Video.
[00:27:47.844 --> 00:27:50.687]  Biden's occupation unleashes America's wrath.
[00:27:50.707 --> 00:27:54.091]  We're going to have that report added onto the live show feed.
[00:27:55.819 --> 00:27:59.820]  Coming up at 1.30 today, we have a prominent lawyer involved in organizing it.
