[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[00:04:38.348 --> 00:04:40.809]  And people obviously have a lot of questions about this.
[00:04:41.089 --> 00:04:42.210]  What's going on?
[00:04:43.154 --> 00:04:57.044]  For countries that don't abide by obligations set out in the pandemic treaty, Dr. Tedros has suggested that the WHO may need the authority to direct other countries to sanction non-compliant countries that don't want to impose restrictions.
[00:04:57.464 --> 00:05:04.529]  They could dictate how our doctors can respond, which drugs can and can't be used, or which vaccines are approved.
[00:05:04.769 --> 00:05:09.893]   We would end up with a one-size-fits-all approach for the entire world in a pandemic.
[00:05:10.233 --> 00:05:17.978]  A one-size-fits-all response to a health crisis does not work across a single country and certainly not across the entire globe.
[00:05:18.399 --> 00:05:20.480]  This has been the issue of this thing.
[00:05:21.260 --> 00:05:23.542]  And you can dig even deeper into it.
[00:05:23.782 --> 00:05:28.665]  But what it comes down to is lockdowns, border crossings, vaccine mandates.
[00:05:28.966 --> 00:05:38.532]  All of this could potentially be controlled under the international health regulations, under an international treaty, not up to the countries themselves.
[00:05:38.712 --> 00:05:41.254]  Biological attack is imminent!
[00:05:41.994 --> 00:05:42.395]  Imminent!
[00:05:42.655 --> 00:05:43.535]  It's going to happen.
[00:05:43.735 --> 00:05:47.338]  It's not a question of will it happen, but when it happens.
[00:05:47.538 --> 00:05:58.985]  A bioweapon release could be the thing they'd release to bring in a world government to counter a global problem, and the UN has said that a global pandemic is the only thing that may save their world government.
[00:05:59.065 --> 00:06:05.550]  This is a biological warfare agent that had leaked out of the Wuhan laboratory.
[00:06:09.798 --> 00:06:13.281]  All right, my friends, it is Friday, May 20th.
[00:06:14.543 --> 00:06:20.629]  The year is 2022, and we are going to break here today, starting now.
[00:06:22.168 --> 00:06:28.590]  The biggest news of my 28 year history, and we saw this coming months ago.
[00:06:28.610 --> 00:06:33.532]  We can have the archivist, which I haven't directed him to do yet, go back to the dates.
[00:06:34.132 --> 00:06:41.494]  This was announced last year and then at the start of 2022, and show when Bill Gates said it, and then show when I made the warning.
[00:06:43.495 --> 00:06:44.375]  But now it's happened.
[00:06:45.576 --> 00:06:59.501]   And the nakedness of this, the openness of this, When it all crystallized for me yesterday morning, and I started going in and pulling out the research we'd already done and already covered in hundreds of shows, I
[00:07:03.220 --> 00:07:07.643]  For the first time in my life, I could not do the first 20 minutes of the show as you saw.
[00:07:07.663 --> 00:07:23.492]  I mean, I could not even come on air with it because I knew I needed to pull all the documents and even more articles and then spend a lot of time looking at it again and then thinking about how do I come on air and eloquently really cut through all the clutter and all the BS.
[00:07:24.622 --> 00:07:30.525]  For all of the general public that's listening and for some of the very important people that listen to this show as well.
[00:07:30.645 --> 00:07:44.371]  Leaders of governments, heads of intelligence agencies, billionaires, heads of major companies, members of Congress, but most importantly you, this giant audience of activists that can get through the censors and get this information out.
[00:07:44.451 --> 00:07:51.634]  Now, this is so big that if you just mention it or talk about it, it doesn't do it justice.
[00:07:51.554 --> 00:07:58.994]  And so the best way to start with this is this way.
[00:07:58.994 --> 00:08:03.794]   If you remember three years ago, we said the UN is going to release some type of bioweapon,
[00:08:03.794 --> 00:08:05.834]  probably a SARS-CoV-2 type of weapon.
[00:08:05.836 --> 00:08:06.676]  That's what they're cooking up.
[00:08:06.916 --> 00:08:08.076]  We already had the documents then.
[00:08:08.837 --> 00:08:14.019]  They were up there bragging on C-SPAN, Peter Daszak and Fauci, that a big imminent thing was about to happen.
[00:08:14.059 --> 00:08:20.521]  It would change the whole world and blow up the FDA system and other systems and allow them to just get things approved instantly.
[00:08:20.541 --> 00:08:21.861]  And it would be mRNA.
[00:08:21.901 --> 00:08:22.822]  We played all those clips.
[00:08:23.888 --> 00:08:32.357]  And then later clips came out that I didn't know about that they'd said in 2019 about, yeah, we've spliced all these viruses together and they described COVID-19 perfectly.
[00:08:32.937 --> 00:08:38.884]  And then we got the documents the last year and a half from people that had worked with them that released the emails and it came out in court.
[00:08:40.891 --> 00:08:51.515]  That they specifically made COVID-19 and a bunch of other even worse viruses and tried to get the Pentagon to sign on to them releasing it into the open air in China.
[00:08:52.035 --> 00:09:02.619]  And the Pentagon, this is in the London Telegraph folks, this is in the Associated Press now, the London Telegraph covered it in great detail, said that'll be war with China if you do that.
[00:09:02.699 --> 00:09:19.381]   So the reason I'm raising all that in the emails we showed and the articles and the video clips of them bragging beforehand, Is huge, and that all came out, and gain of function, and Fauci lying, and it all just kind of blew away, and people went back to sleep.
[00:09:20.581 --> 00:09:33.744]  Now, what they've done this time, the very same damn people, is so transparent, so pre-planned, so absolutely admitted, that it is staggering.
[00:09:35.685 --> 00:09:39.686]  And again, if you're a radio listener, we're putting articles on air, documenting everything I'm saying.
[00:09:40.580 --> 00:09:45.602]  So be sure you go to the archive later if you're not watching this live, if you're driving a truck or at work or whatever.
[00:09:45.662 --> 00:09:52.724]  Tonight, go find the archive of this live show at Bandot Video and watch it for yourself, research it for yourself, because this is life and death.
[00:09:53.024 --> 00:09:55.185]  They're not just releasing new deadly viruses.
[00:09:55.605 --> 00:10:00.947]  They're not just going to have new lockdowns and global social credit scores and global IDs and global carbon taxes.
[00:10:02.347 --> 00:10:08.269]  They're not just going to shut the economy down and make you go bankrupt onto a universal income so they can control you and dictate your life.
[00:10:11.354 --> 00:10:18.437]  They have used our bodies as the engines to create the spike protein and infect others with a nanotech virus.
[00:10:19.538 --> 00:10:20.318]  On record they made.
[00:10:21.319 --> 00:10:23.060]  We just put the London Telegraph article up about it.
[00:10:23.340 --> 00:10:26.541]  It's a synthetic spike protein that replicates in the body that can spray on you.
[00:10:28.842 --> 00:10:30.703]  And it doesn't act like a regular virus.
[00:10:31.504 --> 00:10:32.284]  It doesn't mutate.
[00:10:32.324 --> 00:10:34.085]  It just keeps replicating the poison.
[00:10:34.685 --> 00:10:36.346]  And they released a bunch of other viruses as well.
[00:10:38.220 --> 00:10:39.581]  So we have that backdrop.
[00:10:39.661 --> 00:10:41.763]  Now, let's move into what's currently happening.
[00:10:42.043 --> 00:10:48.648]  The UN starts their meetings on the 23rd of the 28th in Switzerland, in Geneva.
[00:10:49.168 --> 00:10:52.991]  They signed a deal two weeks ago that the World Economic Forum will direct them.
[00:10:53.411 --> 00:10:55.813]  So private corporations are now in direct control of the UN.
[00:10:56.453 --> 00:11:15.507]   They say the treaty's secret, but Tedros and Gates, we played the clips, it's all over the news, have said yes, Biden has gone in and gotten a copy of the treaty and has demanded that the UN be given power over nation states to sanction, even with military operations, anyone that doesn't follow the UN's orders.
[00:11:15.987 --> 00:11:26.795]   It's emerging now of its benefits, especially with elderly groups, senior citizens, especially above 65 and above 60.
[00:11:27.836 --> 00:11:42.610]  So if it's going to be used, it's better to focus on those groups who have risk of severe disease and death, rather than, as we see, some countries are using to give boosters to kill children, which is not right.
[00:11:43.111 --> 00:11:44.893]  Then the equity issue comes here.
[00:11:46.593 --> 00:11:58.607]  Instead of boosting a child in high-income countries, it's better to vaccinate the elderly in countries who have not been vaccinated, even the primary vaccines.
[00:11:59.227 --> 00:12:02.231]  So the equity issue should also come into play.
[00:12:02.711 --> 00:12:19.482]  So this is a world government treaty putting the UN in control of the major Western militaries to enforce the new lockdown that will make the last one look like a walk in the park even compared to what you saw in places like Australia and New Zealand and Canada.
[00:12:20.662 --> 00:12:23.364]  So you have that going on and what is their pretext going to be?
[00:12:24.985 --> 00:12:26.166]  And that's the new big story.
[00:12:27.567 --> 00:12:29.008]  And this has been going on for a few weeks.
[00:12:30.154 --> 00:12:43.400]  And back last year and earlier this year, I said it over and over again, I said these criminals always telegraph what they're going to do to hide it in plain view and to be confident to their criminal armies who are involved in this that they're going to get away with it.
[00:12:44.120 --> 00:12:45.261]  This is what psychos do.
[00:12:45.301 --> 00:12:46.041]  They love to brag.
[00:12:49.659 --> 00:12:50.779]  That's basic criminology.
[00:12:50.799 --> 00:12:57.581]  That's why in all the supervillain cartoons and Marvel cartoons and James Bond movies, the villain always monologues.
[00:12:57.621 --> 00:12:59.221]  And you think, why do they monologue?
[00:12:59.521 --> 00:13:01.342]  Well, because that's actually what villains do.
[00:13:01.802 --> 00:13:09.444]  When Lex Luthor's got Superman tied up with kryptonite, he walks around and brags about it to him.
[00:13:10.064 --> 00:13:14.045]  They put that in fiction because that's how real criminology works.
[00:13:15.891 --> 00:13:16.211]  Okay?
[00:13:17.052 --> 00:13:19.654]  That's why Dr. Evil looks like Dr. Evil.
[00:13:20.555 --> 00:13:22.677]  That's why Dr. Evil looks like Klaus Schwab.
[00:13:23.658 --> 00:13:24.839]  That's what they look like.
[00:13:26.140 --> 00:13:27.101]  That's how they talk.
[00:13:27.581 --> 00:13:28.502]  That's who they are.
[00:13:30.049 --> 00:13:35.032]  Literal James Bond archetype specter supervillain.
[00:13:35.112 --> 00:13:37.394]  So let me make the announcement.
[00:13:37.634 --> 00:13:38.895]  And it's already all over the place.
[00:13:38.935 --> 00:13:40.015]  Everybody's already figured it out.
[00:13:40.436 --> 00:13:45.919]  I wasn't ready to hit it yesterday because I wanted to spend hours last night and hours today going over it.
[00:13:45.939 --> 00:13:47.180]  And I've overdone it as usual.
[00:13:47.220 --> 00:13:50.462]  I've got hundreds of documents, studies, all the damn proof here.
[00:13:50.902 --> 00:13:55.829]   And when I'm sitting here reading this in private, I mean, I'm not even angry at these people anymore.
[00:13:56.249 --> 00:14:02.361]  My cells, my guts, my brain, my soul is, you're gonna stop these people, Jones, or you're to blame.
[00:14:03.743 --> 00:14:14.874]  I'm pissed at myself when I'm reading this because I've got clips of Gates bragging last year that they'll soon be smallpox and monkeypox and giggling and laughing and say the next pandemic will be far worse.
[00:14:15.234 --> 00:14:19.278]  Then they put in all the orders for the new monkeypox vaccine.
[00:14:19.738 --> 00:14:26.264]  Biden just bought tens of millions of doses yesterday and then magically right on time, right as the vaccines delivered it.
[00:14:28.106 --> 00:14:31.267]  Monkeypox pops up in more than 20 countries.
[00:14:31.807 --> 00:14:34.948]  All over Europe, all over the US, all over everywhere.
[00:14:35.468 --> 00:14:43.710]  Where you have people taking AstraZeneca, AstraZeneca, and J&J, ladies and gentlemen.
[00:14:46.470 --> 00:14:48.411]  Because what is AstraZeneca and J&J?
[00:14:49.431 --> 00:15:02.350]   They're virus vectors that inject the genome of a chimpanzee into your cells and then orders your cells to replicate under those orders using a virus to deliver the package.
[00:15:04.171 --> 00:15:06.632]  So ladies and gentlemen, did you hear what I just said?
[00:15:07.692 --> 00:15:08.893]  And we saw this last year.
[00:15:08.953 --> 00:15:13.255]  I said Gates is preparing to release smallpox and or monkeypox.
[00:15:13.955 --> 00:15:22.516]   Then the FBI and some storage facility at a lab that was shut down Find smallpox in a refrigerator.
[00:15:22.616 --> 00:15:23.577]  They're just putting that out there.
[00:15:23.637 --> 00:15:31.761]  Then, a truck crashes in Pennsylvania with a bunch of monkeys that have monkeypox, and then the woman gets it, but it all gets shut down.
[00:15:31.781 --> 00:15:32.741]  Do you believe any of this?
[00:15:32.941 --> 00:15:34.162]  Oh, a truck jumped over.
[00:15:34.482 --> 00:15:35.623]  Yeah, that's where it came from.
[00:15:35.643 --> 00:15:36.963]  So they're laying the groundwork.
[00:15:36.983 --> 00:15:39.164]  Gates says, smallpox, monkeypox is coming.
[00:15:39.565 --> 00:15:40.965]  They start making the vaccine.
[00:15:41.746 --> 00:15:43.146]  He says terrorists are going to release it.
[00:15:43.166 --> 00:15:43.587]  He's right.
[00:15:43.627 --> 00:15:46.048]  He's the terrorist leader, James Bond villain.
[00:15:48.263 --> 00:15:57.431]  And then, all hell breaks loose, right as the UN Global Treaty is about to be signed onto by the countries that put us under UN control.
[00:15:57.691 --> 00:16:03.556]  I mean, it's all premeditated, it's all prepackaged, it's all in your face, and it's all right here.
[00:16:05.658 --> 00:16:14.466]  Unbelievable, because the virus they use to inject the chimpanzee ape DNA is what causes smallpox.
[00:16:16.052 --> 00:16:21.454]  They're injecting people with a damn smallpox knowing it would cause smallpox!
[00:16:23.495 --> 00:16:39.481]  Dr. Peter McCullough will be here at 1230 Central for an hour and a half with a special guest with him to lay out huge breaking news and information about what's really going on with COVID-19 and the new UN global government planetary lockdown digital ID market-based system that is being launched.
[00:16:42.455 --> 00:16:51.422]  Now, next segment, I'm going to crawl through and just show you these studies, and these mainline headlines, and the documents of what I'm about to lay out right now.
[00:16:52.343 --> 00:16:53.904]  And I'll start getting to some of it in a moment.
[00:16:55.165 --> 00:17:09.316]  But if you just tuned in, you need to call your friends, your family, your neighbors, everybody you know, because Gates has said in the next pandemic, which they've already launched, ahead of the midterms, it's building now, just like you didn't hear much at first in China, then it got huge, it's already begun.
[00:17:10.236 --> 00:17:10.877]  It's monkeypox.
[00:17:12.950 --> 00:17:15.192]  And they told you it would be smallpox, monkeypox.
[00:17:16.192 --> 00:17:18.474]  They knew that their so-called vaccines would cause this.
[00:17:18.854 --> 00:17:20.235]  AstraZeneca, J&J.
[00:17:22.196 --> 00:17:24.378]  And they pre-ordered the monkeypox vaccine.
[00:17:24.798 --> 00:17:26.940]  Biden just got delivery of a bunch of it yesterday.
[00:17:27.580 --> 00:17:28.881]  It is going down.
[00:17:30.382 --> 00:17:37.627]  Now here's Bill Gates, last year, talking about terrorists that are going to release smallpox.
[00:17:37.647 --> 00:17:39.288]  And I'll show you the dates and the articles in a moment.
[00:17:39.808 --> 00:17:41.730]  And we'll go to another clip here of Gates.
[00:17:43.666 --> 00:17:47.588]  In 2020, saying the next pandemic will get attention this time.
[00:17:48.328 --> 00:17:53.990]  And here he is, the guy involved in masterminding all of it and quarterbacking it.
[00:17:54.010 --> 00:18:00.753]  The man that says he wants to depopulate you and your family, who's sworn that his whole life, going back to his grandfather and Planned Parenthood.
[00:18:01.452 --> 00:18:04.653]  Here he is, letting you know what's coming next.
[00:18:04.653 --> 00:18:10.492]  [BLANK_AUDIO]
[00:18:10.492 --> 00:18:14.632]   And so I'm hoping in five years I can write a book called, we are ready for
[00:18:14.632 --> 00:18:15.791]  the next pandemic.
[00:18:15.791 --> 00:18:23.811]   But it'll take tens of billions in R&D that the US and the UK will be part of that.
[00:18:23.821 --> 00:18:41.038]   It'll take probably about a billion a year for a pandemic task force at the WHO level, which is doing the surveillance and actually doing what I call germ games, where you practice, you say, okay, what if A bioterrorist brought smallpox to 10 airports.
[00:18:41.439 --> 00:18:43.802]  How would the world respond to that?
[00:18:45.143 --> 00:18:53.815]  There's naturally caused epidemics and bioterrorism caused epidemics that could even be way worse than what we experience today.
[00:18:54.515 --> 00:19:01.198]  And yet, the advances in medical science should give us tools that, you know, we could do dramatically better.
[00:19:01.618 --> 00:19:03.839]  So you'd think this would be a priority?
[00:19:04.580 --> 00:19:13.444]  The next year will be where those allocations have to get made, including this global pandemic task force?
[00:19:14.284 --> 00:19:18.126]  Which is the UN Global Treaty that takes over all the nation's sovereignty on record.
[00:19:18.146 --> 00:19:19.026]  That's mainstream news.
[00:19:19.507 --> 00:19:20.967]  Biden had it officially changed.
[00:19:21.227 --> 00:19:22.308]  But they won't show you the full text.
[00:19:23.843 --> 00:19:24.885]  Wow, incredible!
[00:19:25.606 --> 00:19:32.558]  There he is, predicting last year exactly what's unfolding.
[00:19:32.658 --> 00:19:37.025]  Oh, and they put the order in for the monkeypox vaccine, and lo and behold, monkeypox is here!
[00:19:38.382 --> 00:19:44.224]  And he directed, with Peter Daszak, to AstraZeneca and J&J, the type of vaccine they would design.
[00:19:44.264 --> 00:19:52.147]  They gave them the blueprint, said, make this, and they made the mRNA for Pfizer and Moderna, and gave them the blueprint of what to make and what to do.
[00:19:52.468 --> 00:20:03.212]  And then magically, lo and behold, surprise, surprise, it's upon us right as they're bringing in the World Government Treaty and right ahead of the midterms.
[00:20:04.983 --> 00:20:13.250]  Here is Gates, again the year before that, in 2020, threatens the next pandemic will get attention this time.
[00:20:13.270 --> 00:20:19.334]  And he also said on other programs that terrorists would also release smallpox or monkeypox.
[00:20:19.354 --> 00:20:27.841]  That was a clip on NBC, the same clip where he admitted that 80% of those in their test of the vaccine had serious side effects with just the Pfizer and Moderna alone.
[00:20:28.181 --> 00:20:40.830]   He just knows everything before it happens, kind of like the CDC in October of 2020, before the vaccine was even being given out, the so-called vaccine, said they're gonna be heart attacks, myocarditis, infertility, the whole damn list!
[00:20:41.530 --> 00:20:42.811]  And they put it on their website!
[00:20:42.911 --> 00:20:43.692]  Wow!
[00:20:44.312 --> 00:20:45.333]  Isn't that nice of them?
[00:20:46.134 --> 00:20:54.921]  Rubbing it in the whole time, while blocking therapeutics, saying, oh, you don't need any, you know, antibiotics or steroids, or you don't need, you know, anything.
[00:20:55.622 --> 00:20:56.583]  You can just go home.
[00:20:58.001 --> 00:21:00.404]  And then you come back, they put you on a ventilator, and you die.
[00:21:01.025 --> 00:21:02.627]  And some people say, why are you saying antibiotics?
[00:21:02.647 --> 00:21:04.349]  Well, because bacteria can carry the viruses.
[00:21:04.369 --> 00:21:07.473]  That's why you do that as well with a viral attack like this.
[00:21:07.513 --> 00:21:08.955]  But here is Bill Gates.
[00:21:10.256 --> 00:21:16.540]  We didn't actually do the simulation to think about, okay, what about nursing homes?
[00:21:16.620 --> 00:21:18.661]  What about getting factories ready?
[00:21:18.701 --> 00:21:20.262]  What about the testing machine?
[00:21:20.282 --> 00:21:35.217]   You know, in fact, the testing could have been ramped up very quickly in a few countries that have almost avoided the epidemic entirely like Taiwan, New Zealand, Australia, you know, they took their
[00:21:35.217 --> 00:21:40.717]   experience and actually prepared and so they moved a lot faster.
[00:21:40.717 --> 00:21:45.177]  So we, you know, we'll have to prepare for the next one.
[00:21:45.177 --> 00:21:53.697]  That, you know, I'd say is, will get attention this time.
[00:21:53.788 --> 00:22:01.391]  When he talked about endless lockdowns and masturbation, he'd giggle and laugh on the shows as well while he hides it in plain view that he's your doctor.
[00:22:01.451 --> 00:22:05.092]  And Tedros said yesterday, the head of the WHO, he does what Bill Gates says.
[00:22:05.152 --> 00:22:07.713]  He trusts Bill Gates.
[00:22:08.873 --> 00:22:12.695]  Aren't these some really nice, nice people?
[00:22:12.775 --> 00:22:18.297]  Oh, the next one will really get your attention.
[00:22:21.463 --> 00:22:34.950]  And now, right on time, like a German train pulling into the station, in countries all over the Western world, monkeypox has showed up in who?
[00:22:35.750 --> 00:23:02.491]   The vaccinated, who took the virus vector vaccine that isn't a vaccine either, it's gene therapy, but instead of programming the outside of the cell to program a nuclei, it fires a virus carrying a DNA payload of a chimpanzee into your cell with a whole package of God knows what our good little friends did for us.
[00:23:06.415 --> 00:23:18.985]  And rare monkey pox outbreak, people that hadn't been to Africa, people that hadn't been any, and they hadn't been around, they just, but they all had the shot, and I have scientists and health heads even saying we think it's the shot.
[00:23:20.031 --> 00:23:23.474]  We have deputy heads of major countries' health departments right here.
[00:23:24.074 --> 00:23:29.319]  Madrid's deputy minister of public health claims cases of hepatitis in young kids are related to COVID-19 vaccine.
[00:23:29.679 --> 00:23:31.120]  Funny, I've got the studies right here.
[00:23:32.822 --> 00:23:33.582]  Oh, isn't it nice?
[00:23:35.204 --> 00:23:40.308]  And oh, it's also AstraZeneca and J&J that are the ones linked to that.
[00:23:41.289 --> 00:23:43.511]  So they go after your liver and give you smallpox.
[00:23:44.810 --> 00:23:51.135]  And then the mRNA goes after your blood and your cardiac system, your respiratory system.
[00:23:51.155 --> 00:23:54.257]  There are studies right there.
[00:23:54.297 --> 00:24:05.085]  Multicountry acute cerebral hepatitis of unknown origin in children, but it turns out, I've got the studies right here, I'll show them to you when we come back, they took the AstraZeneca or the J&J.
[00:24:05.465 --> 00:24:11.930]  And I had Dr. Fleming on last week, or was it this week?
[00:24:12.050 --> 00:24:12.951]  It all runs together now.
[00:24:12.971 --> 00:24:13.712]  Was it last Friday?
[00:24:14.890 --> 00:24:17.031]  And he showed the studies about that.
[00:24:17.791 --> 00:24:19.672]  And I'm going to show them all to you when we come back.
[00:24:19.972 --> 00:24:30.935]  And you can write down the headline, you can look every damn one of them up yourself, like I do, and then you can sit back and ask yourself, man, that Bill Gates is smart!
[00:24:31.315 --> 00:24:33.136]  He just knew monkey pox was coming.
[00:24:34.336 --> 00:24:37.497]  And it's just spreading all over the world to people that hadn't even been traveling.
[00:24:37.517 --> 00:24:38.778]  And they all had the shot.
[00:24:40.322 --> 00:24:44.026]  Now they gotta have the treaty and take all your rights and make you take more shots.
[00:24:44.667 --> 00:24:48.050]  They do all sorts of good things for you down the road.
[00:24:48.471 --> 00:24:52.114]  But Bill Gates has always said he cares about humanity and wants to save people.
[00:24:52.355 --> 00:24:53.956]  Actually, he says he wants to kill everybody.
[00:24:54.176 --> 00:24:54.937]  But that's okay.
[00:24:55.378 --> 00:24:55.958]  Just trust him.
[00:24:57.300 --> 00:24:59.722]  You are living in the beginning of World War.
[00:25:04.312 --> 00:25:12.533]  The United Nations directed planetary takeover, economic warfare, cultural warfare, biological warfare, and the threat of nuclear warfare.
[00:25:14.474 --> 00:25:19.255]  So, Bill Gates tells you last year that monkeypox, smallpox, it's all going to be coming soon.
[00:25:20.615 --> 00:25:24.495]  And now suddenly it starts popping up in Western nations, in Europe, in the United States.
[00:25:25.396 --> 00:25:27.536]  And right on time, the U.S.
[00:25:27.636 --> 00:25:38.690]   buys millions of vaccine doses for new virus, 119 million in vaccine doses over 10 million doses just to
[00:25:38.690 --> 00:25:45.421]   begin with for monkeypox Why did the by the administration just purchased 13 million
[00:25:45.421 --> 00:25:50.511]   doses of monkeypox And here's Bill Gates back in November of last year Bill
[00:25:50.511 --> 00:25:55.291]   Gates warns of smallpox terror attacks in bid for pandemic prevention funds
[00:25:55.291 --> 00:26:03.291]   Bill Gates warns of smallpox terror attacks and urges leaders to use germ games run by the UN to prepare
[00:26:03.291 --> 00:26:12.090]   Bill Gates warns of smallpox terror attacks as he seeks research funds, but more importantly UN
[00:26:12.209 --> 00:26:14.211]  control with the treaty happening now.
[00:26:14.651 --> 00:26:21.859]  Oh, and then right on time, two months after that, monkeypox escapes after a truck crashes on Pennsylvania Highway.
[00:26:21.879 --> 00:26:26.423]  Oh, with the connected groups to Gates' research labs.
[00:26:26.623 --> 00:26:27.824]  Oh, isn't that interesting.
[00:26:28.165 --> 00:26:30.027]  A plausible story of where it came from.
[00:26:32.281 --> 00:26:37.883]  Pennsylvania woman being treated for rabies after encountering monkeys in an aftermath of crash.
[00:26:39.003 --> 00:26:39.983]  She falls ill.
[00:26:42.244 --> 00:26:44.664]  Right after Bill Gates says, it's all coming.
[00:26:44.684 --> 00:26:46.345]  Oh, and look at this.
[00:26:46.405 --> 00:26:48.445]  Monkeypox vax to monkeypox.
[00:26:49.446 --> 00:26:57.808]  Here's the AstraZeneca contains the replication chimpanzee adenovirus.
[00:26:59.619 --> 00:27:15.722]  And we've had Dr. Fleming on, we'll ask Dr. McCullough about this, but I went and found the studies that the AstraZeneca and J&J that use similar systems from a chimpanzee are directly linked to the acute hepatitis in children that have been injected and in what they call monkeypox.
[00:27:15.862 --> 00:27:17.483]  Isn't that interesting?
[00:27:18.123 --> 00:27:23.824]  Severe hepatitis cases in kids continue to rise as WHO calls for investigation, yes, of themselves.
[00:27:26.385 --> 00:27:33.005]   What parents need to know I've got a whole stack of news on that subject right here.
