[00:00.000 --> 00:20.080]  Further escalation of the war, whether by accident or design, threatens all of humanity.
[08:32.120 --> 08:36.120]  to perform miracles for them, and to better their life?
[08:36.120 --> 08:44.120]  Well, St. Patrick's was that man, and his writings have had unbelievable positive effects the world over.
[08:44.120 --> 08:51.120]  And he almost single-handedly converted the entire country of Ireland to Christianity.
[08:51.120 --> 08:59.120]  Ah, it's an infant warrior, folks. That's a single man with nothing but the words that he uses and the truth that he's expressing,
[08:59.120 --> 09:03.120]  changing the destiny of an entire nation and in a way the entire world.
[09:03.120 --> 09:08.120]  It's a man who is freed from bondage and yet doesn't hate those who enslaved him,
[09:08.120 --> 09:17.120]  but did help to bring about the abolition of that entire institution in that country,
[09:17.120 --> 09:22.120]  to change the way that they lived in a way that there were no slaves anymore.
[09:22.120 --> 09:24.120]  He freed all of the slaves by doing that.
[09:24.120 --> 09:28.120]  Of course, he drove out the snakes as well, a number of other legendary figures.
[09:28.120 --> 09:35.120]  And of course, he's known as sort of a Catholic saint because of the Catholic nature and attitude of Ireland,
[09:35.120 --> 09:37.120]  but this was before the schism.
[09:37.120 --> 09:42.120]  I mean, this was back when it was a single unified church, and it's just an incredible story,
[09:42.120 --> 09:50.120]  and it's not some time for you to, you know, put on a green top hat and go get blackout drunk in some party.
[09:50.120 --> 09:52.120]  I mean, it is that too.
[09:52.120 --> 09:54.120]  Nobody's saying don't have fun.
[09:54.120 --> 09:57.120]  But there's a reason that we celebrate these certain holidays.
[09:57.120 --> 10:03.120]  There's a reason that there are certain people in history that we extol and celebrate above others.
[10:03.120 --> 10:06.120]  And again, it's not because they were funny little leprechauns.
[10:06.120 --> 10:12.120]  It's because they went up against the grain, they did something that seemed unbelievable, certainly inadvisable,
[10:12.120 --> 10:16.120]  and yet they succeeded because they had the truth and God on their side,
[10:16.120 --> 10:19.120]  and the effects that they've had on the world have been unbelievably positive.
[10:19.120 --> 10:25.120]  So happy St. Patrick's Day to everybody, and hopefully we can take inspiration from that legendary figure
[10:25.120 --> 10:33.120]  as we engage in our own info war and try to free our own persecutors from the slavery that they themselves
[10:33.120 --> 10:36.120]  are trapped in and impose on others.
[10:36.120 --> 10:38.120]  And somebody needs to point this stuff out.
[10:38.120 --> 10:43.120]  Somebody needs to celebrate what the church is supposed to be teaching,
[10:43.120 --> 10:48.120]  because I'll tell you somebody who's not doing that, a little man named Pope Francis.
[10:48.120 --> 10:50.120]  The story can be found at infowars.com.
[10:50.120 --> 10:55.120]  Pope Francis warns, final catastrophe could extinguish human race.
[10:55.120 --> 10:59.120]  I suggest Pope Francis ask himself a question.
[10:59.120 --> 11:01.120]  Is that what the Bible says?
[11:01.120 --> 11:03.120]  That's not really what the Bible says, is it?
[11:03.120 --> 11:09.120]  No, the Bible actually promises to avoid this type of fate.
[11:09.120 --> 11:15.120]  But maybe he's not so worried about putting forward Christianity as he is about putting forward the great reset.
[11:15.120 --> 11:19.120]  New World Order control paradigm that he seems so eager to participate in.
[11:19.120 --> 11:24.120]  Pope Francis warns that the escalation of the conflict in Ukraine could lead to a final catastrophe
[11:24.120 --> 11:26.120]  that would extinguish the human race.
[11:26.120 --> 11:33.120]  Speaking during his weekly address, the Pope said humanity would have to start from scratch in the event of a thermonuclear war.
[11:33.120 --> 11:39.120]  Saying, quote, our imagination appears increasingly concentrated on the representation of a final catastrophe that will extinguish us.
[11:39.120 --> 11:47.120]  And whether it's climate change, or the death of democracy, or the conflict in Ukraine,
[11:47.120 --> 11:52.120]  everything in the mainstream media has to be portrayed as an existential crisis,
[11:52.120 --> 11:56.120]  because it's not about presenting you with the facts and the truth of the situation,
[11:56.120 --> 12:05.120]  so you can come to an informed decision to how you want your political representatives to behave and face the challenges that we're up against.
[12:05.120 --> 12:13.120]  They have to force you into an emotional do or die, this is it, the walls are crumbling down, panic mode,
[12:13.120 --> 12:19.120]  so you override your logic center and you're willing to do things and willing to allow things that you would never be willing to do or allow
[12:19.120 --> 12:23.120]  in a more stable state of mind.
[12:23.120 --> 12:25.120]  So of course everything has to be a total catastrophe.
[12:25.120 --> 12:31.120]  Of course, climate change isn't something that's happening, that we can take measures to mitigate while at the same time
[12:31.120 --> 12:39.120]  focusing on environmental concerns such as not putting in plastics into the food and water,
[12:39.120 --> 12:43.120]  not using things like atrazine to poison our very food supply.
[12:43.120 --> 12:49.120]  There are things that we could be doing, we could be treating the climate and ecology in a reasonable way,
[12:49.120 --> 12:51.120]  but they don't want that note.
[12:51.120 --> 12:56.120]  They want you to have a tracker on your phone that determines how much carbon you're taking and how much carbon you're worth.
[12:56.120 --> 13:02.120]  They want you not to be able to drive a car anymore and certainly not be able to fill your car up with gas.
[13:02.120 --> 13:07.120]  See, they have their own agenda that they want to pursue and you probably wouldn't be into that agenda
[13:07.120 --> 13:12.120]  unless of course they frame it as, well, you just want everybody to die if you go against us.
[13:12.120 --> 13:14.120]  See, now it's an existential crisis.
[13:14.120 --> 13:15.120]  Now we're panicking.
[13:15.120 --> 13:22.120]  Now we're imposing this mental illness on children and young people by telling them it's your fault.
[13:22.120 --> 13:24.120]  The world is dying and it's your fault.
[13:24.120 --> 13:26.120]  It's all your fault and it's because you're alive.
[13:26.120 --> 13:27.120]  It's because you exist.
[13:27.120 --> 13:29.120]  It's because you have children.
[13:29.120 --> 13:37.120]  You are killing the earth and you have to take any measures and go to any extremity to prevent what you have caused.
[13:37.120 --> 13:44.120]  Forcing you into this mindset where you're willing to do things and allow things that you never would otherwise.
[13:44.120 --> 13:48.120]  And so of course the latest with this is the war in Ukraine.
[13:48.120 --> 13:51.120]  It's another one of these distractions.
[13:51.120 --> 13:53.120]  You could call it a distraction if you want.
[13:53.120 --> 13:58.120]  That's a distraction in one way, but in the other way, you got to keep your eye on it.
[13:58.120 --> 14:01.120]  And this is what we said before Russia invaded Ukraine.
[14:01.120 --> 14:05.120]  We would be talking about the fact that Russia was lining people up on the border of Ukraine.
[14:05.120 --> 14:07.120]  And say, stop talking about that. It's a distraction.
[14:07.120 --> 14:09.120]  They're distracting us from COVID.
[14:09.120 --> 14:11.120]  They're distracting us from the immigration collapse.
[14:11.120 --> 14:16.120]  They're distracting us from the fact they're now calling misinformation, domestic terror.
[14:16.120 --> 14:18.120]  And yes, they are distracting us from all that.
[14:18.120 --> 14:20.120]  They'd rather not have us talk about that.
[14:20.120 --> 14:23.120]  But at the same time, we said it's a distraction that they could activate at any time.
[14:23.120 --> 14:29.120]  It's a distraction for now, but it's also a threat that you have to actually take seriously and pay attention to.
[14:29.120 --> 14:37.120]  So that's what's happening here with Ukraine is, yes, there's a lot of very intense talk meant to force you into a state of fear.
[14:37.120 --> 14:39.120]  Fear is the mind killer, right?
[14:39.120 --> 14:40.120]  That's how they take advantage of you.
[14:40.120 --> 14:42.120]  That's how they know psychologically.
[14:42.120 --> 14:44.120]  This is all one big Psyop, right?
[14:44.120 --> 14:50.120]  This is a psychological operation to force you into a mindset where they can take advantage of you.
[14:50.120 --> 14:53.120]  And that is what they're doing with all this talk of nuclear war.
[14:53.120 --> 14:59.120]  But at the same time, the people in power with their fingers on that big red button are the ones saying this.
[14:59.120 --> 15:08.120]  So it's a distraction that could very, very rapidly become real and actually cause the devastation that they themselves seem so eager to bring about.
[15:08.120 --> 15:10.120]  I mean, after all, what do they want?
[15:10.120 --> 15:11.120]  Depopulation.
[15:11.120 --> 15:16.120]  They want America to no longer be the preeminent power in the world.
[15:16.120 --> 15:24.120]  They want all of this stuff that would come about even more rapidly, should we be involved in some major war?
[15:24.120 --> 15:39.120]  And so once again, just like COVID-19, just like so many other seemingly random disasters, all of the outcomes that your classic problem reaction solution paradigm,
[15:39.120 --> 15:50.120]  they bring about these catastrophes, they bring about COVID, they inoculate you with the fear, then they bring about the vaccine passports and the digital ID and everything they want in any way.
[15:50.120 --> 15:53.120]  They're doing the same thing with Ukraine only this time.
[15:53.120 --> 15:55.120]  We're in the danger of nukes flying.
[15:55.120 --> 16:10.120]  We'll get into that more.
[16:26.120 --> 16:41.120]  Suppressing the voices of good people all around the world and of doctors and scientists and engineers that are exposing all their lives, their COVID hysteria, their world's going to end in 2030, carbon tax, global warming bull, all of it.
[16:41.120 --> 16:43.120]  And none of it can succeed.
[16:43.120 --> 16:48.120]  None of it can actually be carried out unless everybody is silenced and gas lit.
[16:48.120 --> 16:56.120]  That's why truth comes with hard work and with research and with diligence, and that's why it's hard to share in full wars links and band up video links.
[16:56.120 --> 17:19.120]  That's why we've got to share them now more than ever.
[17:26.120 --> 17:33.120]  Garamaseep, which is loaded with energy compounds and antioxidants that have been used by Amazonian tribes for centuries.
[17:33.120 --> 17:44.120]  AlphaGPC, a natural compound found in the brain that delivers an essential nutrient, Koli, and Ginkoli, which is also known for its exceptional antioxidant content.
[17:44.120 --> 17:50.120]  This product is more than twice the servings of our brain force plus as well, so you know it's packed full of the good stuff.
[17:50.120 --> 17:59.120]  Destroy that brain fog today and secure your bottle of brain force ultra before it is completely sold out at infostore.com.
[17:59.120 --> 18:01.120]  Mike in California, thanks for calling.
[18:01.120 --> 18:05.120]  I think we're barking up the wrong tree calling this gain of function research.
[18:05.120 --> 18:21.120]  Now if you read the actual 2014 legislation, the U.S. government gained of function deliberative process and research funding pause on selected gain of function research involving influenza, MERS, and SARS viruses.
[18:21.120 --> 18:22.120]  There's nothing about SARS-like viruses and it's a research funding pause.
[18:22.120 --> 18:23.120]  It's not a stop.
[18:23.120 --> 18:24.120]  It's not a prohibition.
[18:24.120 --> 18:27.120]  It's when you come to a four-way intersection, there's the stop sign.
[18:27.120 --> 18:28.120]  You stop.
[18:28.120 --> 18:30.120]  You look both ways and then you proceed.
[18:30.120 --> 18:39.120]  But also, it doesn't pause all gain of function, just selected gain of function, but they'll argue that this is actually characterization and qualification research.
[18:39.120 --> 18:42.120]  So, you know, Rand and others, you know, maybe Fauci was right.
[18:42.120 --> 18:44.120]  They don't quite know what they're talking about calling it gain of function.
[18:44.120 --> 18:46.120]  You know, that's why he didn't perjure himself.
[18:46.120 --> 18:48.120]  That's why he hasn't been arrested.
[18:48.120 --> 18:52.120]  Because they're literally creating new synthetic life forms that mimic what the viruses do.
[18:52.120 --> 18:55.120]  But in the main definition, it's still a gain of function.
[18:55.120 --> 18:57.120]  They're making something deadly that spreads more easily to hurt people.
[18:57.120 --> 18:58.120]  Thank you, Mike.
[18:58.120 --> 18:59.120]  We love you.
[18:59.120 --> 19:04.120]  The purpose of fear is to call us into action, and there is plenty to be afraid of today.
[19:04.120 --> 19:14.120]  Half the population has lined up for an untested, deadly and debilitating experimental injection because they were told to be afraid of an invisible asymptomatic disease.
[19:14.120 --> 19:24.120]  The perpetrators of all this have clearly stated their goal of having 80% of the population hooked up to an artificial intelligence hive mind in less than nine years.
[19:24.120 --> 19:31.120]  For those of us who have awoken from the spell, we know this is all really happening, and it's unbelievably unsettling to see.
[19:31.120 --> 19:33.120]  But there's only two things to do.
[19:33.120 --> 19:36.120]  We continue sounding the alarm because it's a numbers game.
[19:36.120 --> 19:40.120]  If enough people awaken from the cult spell, then we win.
[19:40.120 --> 19:45.120]  But even when we win, and we eventually will, the days of convenience are soon coming to an end.
[19:45.120 --> 19:58.120]  And so we must prepare, get up to a year's worth of storable foods, water filtration, survival gear, seeds, shortwave radios, and life-saving knowledge at infoorstore.com.
[20:15.120 --> 20:27.120]  Welcome back, ladies and gentlemen. This is the Alex Jones Show. I'm Harrison Smith sitting in momentarily for Alex Jones.
[20:27.120 --> 20:32.120]  He is in the building in Eager, I know, to tackle some of the amazing headlines from today.
[20:32.120 --> 20:44.120]  So he will be replacing me very shortly. No need to worry. I'm as eager as you are to tune into the Alex Jones Show to see Alex Jones break down some of the bombshell information
[20:44.120 --> 20:47.120]  that's been revealed today. So that will be happening very soon.
[20:47.120 --> 20:52.120]  In the meantime, know that you can support everything we do here by going to infoorstore.com.
[20:52.120 --> 20:57.120]  And of course, now more than ever, we are under massive attack with more and more coming down the pipe.
[20:57.120 --> 21:03.120]  We need your help to stay afloat. I've said it many times. I mean, this is like an army on the march.
[21:03.120 --> 21:12.120]  The morale is high. The legion is willing, but whether we have that supply chain backing us up, that is our limiting factor.
[21:12.120 --> 21:20.120]  That's what determines how far we go. If we're a car, then the engine is great. The wheels are at full pressure.
[21:20.120 --> 21:27.120]  The foot is on the gas pedal pressing it to the floor. The only thing that determines how far we go is how much gas is in the tank.
[21:27.120 --> 21:32.120]  And it's entirely up to you. I hope that you can support us by going to infoorstore.com right now.
[21:32.120 --> 21:42.120]  You get 25% off some of our bestselling products that they won't last long, but they're now back in stock and 25% off. Take advantage of the sales now if you can.
[21:42.120 --> 21:47.120]  Vitamin D3 with calcium gummies are available in 25% off. These are back in stock.
[21:47.120 --> 21:56.120]  These sell out fast because who doesn't love gummies and who doesn't love getting your daily dose of Vitamin D3 with all the incredible health benefits that it has even more?
[21:56.120 --> 22:06.120]  They're figuring out on almost a daily basis, it seems. If you just search Vitamin D, you see new and new, more and more new articles discussing what a powerful supplement this is for your daily life.
[22:06.120 --> 22:15.120]  And you can get the highest quality at the best price by going to infoorstore.com. And best of all, it is a 360 win where you're funding us as well.
[22:15.120 --> 22:25.120]  Now let's get into Ukraine and what's going on there. I've got good news and bad news about Ukraine. The good news is, it looks like there may be a peaceable solution on the horizon.
[22:25.120 --> 22:35.120]  It looks like the peace talks are finding compromise and we may be able to see an end to this war without it spiraling into a worldwide global conflict.
[22:35.120 --> 22:48.120]  That's the good news. The bad news is, our country in the western world is run by psychopaths who are very eager to use the justification of war to bring about all sorts of nefarious plans that they wanted to do anyway.
[22:48.120 --> 23:08.120]  That's the bad news. Good news, we might be coming to an end to this. Bad news, we're run by psychopaths. So, of course, the news that came out yesterday that I know Alex dug quite a bit into was that the secret USA CIA training program in Ukraine was exposed by an exclusive at Yahoo News.
[23:08.120 --> 23:21.120]  They helped Kiev prepare for Russian invasion, quietly admitting to the fact that we had been arming and training paramilitary groups in Ukraine for a little under a decade there.
[23:21.120 --> 23:39.120]  Should I really remind you of nothing more than Afghanistan, right, saying during American Journal, wouldn't it be just the most symbolic thing to have like a remake of Rambo? Because, obviously, Hollywood is completely creatively bankrupt at this point, so they can't come up with their news stories.
[23:39.120 --> 23:53.120]  They can't take advantage of name recognition from successful intellectual property of the past. So, maybe they'll remake Rambo. This time it'll be a trans woman playing Rambo, obviously. We got to get that Oscar bid.
[23:53.120 --> 24:05.120]  And maybe at the beginning, it'll have a nice little note saying, you know, this film is dedicated to the brave freedom fighters of the Azov battalion, right, just like they had the Mujahideen in the early 1980s.
[24:05.120 --> 24:12.120]  It's just we're reliving everything again. All the media is regurgitating and all of our foreign policy is a regurgitation.
[24:12.120 --> 24:25.120]  So, can't you see now, best case scenario in Ukraine, 10, 20 years from now, we have to go to war with the Nazi battalions that we have armed, that are trained and armed with our weapons by our deep state.
[24:25.120 --> 24:36.120]  Can't you just see this becoming another Afghanistan in the same way that we funded the Mujahideen and Osama bin Laden to defeat the Soviet incursion of Afghanistan way back in the day?
[24:36.120 --> 24:54.120]  It's just it's a groundhog day of terror. So, that was some of the latest news there, revealing that we have in fact been, you know, had our own little involvement in the collapse of Ukraine in the coming about of this war.
[24:54.120 --> 25:07.120]  But nevertheless, Russia and Ukraine, according to Sergei Lavrov, are close to agreeing on neutral status, peace deal under which Ukraine abandoned its NATO aspirations in return for Russian withdrawal, and Western security guarantees
[25:07.120 --> 25:15.120]  appears to inch closer on Wednesday, even as Vladimir Putin's troops are accused of killing people, queuing for bed in a bread in a northern Ukrainian city.
[25:15.120 --> 25:21.120]  Lavrov says the negotiations are not easy for obvious reasons, but nevertheless, there is some hope of reaching a compromise.
[25:21.120 --> 25:30.120]  Neutral status is now being seriously discussed, seriously, along, of course, with security guarantees, which would be nice.
[25:30.120 --> 25:42.120]  Wouldn't this be nice? And it's one of the striking things that you notice if you listen to the Senate hearing with Victoria Newland or any other hearing or government meeting about Ukraine.
[25:42.120 --> 25:52.120]  Never once does it even enter into conversation what the goals of America are here, that peace could actually be an option on the table.
[25:52.120 --> 26:05.120]  Like, it doesn't even enter into the conception of the people in power, that expanding this out, that encouraging this war, that sending more weapons and more people and no fly zones and airplanes.
[26:05.120 --> 26:13.120]  But is that the best idea? It's not even in their calculus. It's not a component of the algorithm they're running. They don't care.
[26:13.120 --> 26:26.120]  They have their own agenda. They have their own ideas about what can be gained from this conflict. Never once is the actual condition of the Ukrainian people even enter into conversation.
[26:26.120 --> 26:36.120]  I like Victoria Newland. Listen to the questions they asked her. First, it was like, how do we use this war to crack down on cryptocurrencies, since we know cryptocurrency is having an effect in this war?
[26:36.120 --> 26:49.120]  Can we crack down on those? How can we funnel more money to our weapons manufacturers in order to send weapons to Ukraine? How can we use this to bring about digital ID and other things like that?
[26:49.120 --> 26:57.120]  Why are you undermining our attempt to install a puppet president in Venezuela by contacting them?
[26:57.120 --> 27:04.120]  It's like, does anybody want to ask about the people of Ukraine? Anybody want to say, hey, do we want peace or war here? Can we actually talk about this?
[27:04.120 --> 27:18.120]  Can we figure this out? What our goal is? Doesn't even enter into the conversation. They have their own prerogatives and priorities, and they have nothing to do with the American people, the Ukrainian people, the Russian people, or anybody other than themselves.
[27:18.120 --> 27:25.120]  And it's a very dangerous game they're playing, a dangerous game of chicken that we are currently involved in.
[27:25.120 --> 27:39.120]  The possibility of nuclear exchange has not just been talked about. It's been brought into reality with Russia upping its nuclear readiness to the second highest level, just under the actual launching of nukes.
[27:39.120 --> 27:52.120]  And according to Sergey Lavrov, the foreign spokesman, foreign minister of Russia, he says, quote, if the West thinks Russia will step back, it does not understand Russia.
[27:52.120 --> 28:03.120]  In other words, they will not be bullied out of this. They will not submit to this just because Amazon and McDonald's and Coca-Cola decide to pull out of their country.
[28:03.120 --> 28:16.120]  They have goals that they think are in line with their national interests, and they will be pursuing them, regardless of anything that, you know, some limperist weirdo at the State Department has to say.
[28:16.120 --> 28:29.120]  And again, the good news is, according to Slovenia's prime minister, who visited Zelensky in the Ukrainian capital on Tuesday evening, she told the Guardian that a draft framework was being worked on with the Ukrainian's president
[28:29.120 --> 28:35.120]  willing to change the country's constitution to drop hopes of NATO membership. Now, that's a key component of Russia's demand.
[28:35.120 --> 28:53.120]  So again, this could be over. War could be over if you want it. There could be a peaceful solution, and we could let the dust settle, and folks on the people actually trying to enslave this world in a technocratic control system of absolute domination.
[28:53.120 --> 28:59.120]  But the American authorities, they're not going to let that happen so easily. I'll tell you about it on the other side.
[29:23.120 --> 29:34.120]  Coming public and whistleblowers, now their whole project is falling apart because the people are aware that it is a world government corporate takeover.
[29:34.120 --> 29:42.120]  And so it's pulling back the curtain now more than ever. The problem is some globalist controlled areas are not going to give up on their takeover.
[29:42.120 --> 29:54.120]  In Canada, they've now declared a civil emergency in martial law in Ontario and other areas of the world are following suit like Australia. So pray for these folks big time. It's a very serious situation.
[29:54.120 --> 30:20.120]  Stay tuned to infowars.com because truth is absolutely paramount.
[30:20.120 --> 30:26.120]  What is contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[30:26.120 --> 30:37.120]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery studies have shown.
[30:37.120 --> 30:46.120]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[30:46.120 --> 30:53.120]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[30:53.120 --> 31:18.120]  Next time you visit, be sure to check it out at infowarsstore.com where we promise our rose hips don't lie.
[31:18.120 --> 31:32.120]  231 years later, free speech across America is under chronic and insidious attack. GCN is under attack. Your freedom is currently under siege from those who do not want you to know the truth.
[31:32.120 --> 31:42.120]  I'm asking our fellow broadcasters and you to rise up and help us defend our right to continue telling you the truth. Would you like to join us?
[31:42.120 --> 31:59.120]  So please consider visiting savegcn.com. Savegcn.com. You may click follow, share, give, and pray. You may select all of those choices. I'm Vincent Finnelli.
[32:13.120 --> 32:23.120]  It's just the thing. It's our new faster absorbing liquid formula that is specifically designed to help you get the shut-eye you deserve.
[32:23.120 --> 32:33.120]  Formulated to improve upon our best-selling product, knockout, with down and out, now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[32:33.120 --> 32:42.120]  So the ingredients are already dissolved into the formula before you even take it. One of the other sleep support herbs included is the passion flower,
[32:42.120 --> 32:49.120]  which was traditionally used by Native Americans like the Cherokees who used it for its relaxing qualities.
[32:49.120 --> 32:55.120]  Be sure to take this product when you are completely ready for sleep because you will be down and out.
[32:55.120 --> 33:04.120]  Selling out now at infowarstore.com.
[33:25.120 --> 33:41.120]  Well, what a brilliant quote to start with. Welcome back, folks. This is The Alex Jones Show. I'm Harrison Smith, sitting in for Alex Jones, who will be joining us momentarily.
[33:41.120 --> 33:50.120]  We'll be joining you. I'll be with you sitting and watching Alex Jones in just a few minutes. No need to worry about that.
[33:50.120 --> 34:00.120]  I've sworn upon the altar of God eternal hostility over all forms of tyranny over the minds of man.
[34:00.120 --> 34:13.120]  It's an appropriate quote for this info war as we have tried to explain over and over. Essentially, the people in power want you to either allow them to do things,
[34:13.120 --> 34:20.120]  or preferably they want your active participation in things that you would never choose to do normally. If you had all the information,
