[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[03:38.000 --> 03:45.000]  Oh, and we didn't talk before the show today, but that's exactly what I was going to raise before we talked about the show trial with Robert Martin,
[03:45.000 --> 03:54.000]  because he's involved with Robert Kennedy and some of the main lawsuits, bringing this out with whistleblowers and more, is that this is war,
[03:54.000 --> 04:01.000]  and they know what they're doing, and they even knew, in their own battle plans and war games, Spars 2025, 2028, that indeed this would all come out.
[04:01.000 --> 04:12.000]  Just last week, another major study out of, this one was out of Oxford, confirmed that they suppressed hydroxychloroquine,
[04:12.000 --> 04:20.000]  and that basically have taken early, almost 100% effectiveness, just what the great doctors, Zelenko, and others said.
[04:20.000 --> 04:29.000]  So this is mass murder with big tech and Google working together with the UN to suppress information.
[04:29.000 --> 04:38.000]  In fact, we played that clip Sunday, we played it Monday, I sent the crew a Paul Watson clip where he talks about the head of the UN at operations.
[04:38.000 --> 04:49.000]  The doctors came out and admitted that they knowingly suppressed all this, so these are murdering criminals.
[04:49.000 --> 05:12.000]  We'll get Robert Barnes, take on that when we come back.
[05:20.000 --> 05:31.000]  Paul Sonaro and other foreign leaders like Nigel Farage as being the main impetus towards firing up their main base to defeat the New World Order.
[05:31.000 --> 05:41.000]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[05:41.000 --> 05:49.000]  I don't take the credit, I give you the credit, and now Info Wars is facing its darkest hours, it isn't going to give up.
[05:49.000 --> 06:14.000]  Without your support, we can be shut down. Please go to saveinfowars.com today, saveinfowars.com today and donate for our Legal Defense Fund.
[06:14.000 --> 06:20.000]  I know Troyer here live in the Info Wars World Headquarters in Austin, Texas, Alex Jones.
[06:20.000 --> 06:30.000]  Of course, in court this week, he's about to give you an update as far as the status of his testimony and what else is going to follow.
[06:30.000 --> 06:45.000]  But you know, Alex, it's almost a distraction. We're in a rock and a hard place. It's a catch-22 where we have to go on defense of Alex Jones, not just for Info Wars, but just for the truth and for free speech and for media.
[06:45.000 --> 07:01.000]  But then also as a company that wants to exist and has 100 employees that you've built up over multiple decades. But then again, we realize the biggest challenge that we face every day is nobody tells the truth like Info Wars.
[07:01.000 --> 07:12.000]  So we have stacks of these news that are going to be so important to cover today that it's like we have to have a sword in one hand and we have to strike with maximum efficiency while we have a shield in the other hand
[07:12.000 --> 07:18.000]  and we have to be totally defensive with efficiency. And if it wasn't for this audience and it wasn't for God, we wouldn't be here.
[07:18.000 --> 07:24.000]  But Alex Jones is live with us right now in Connecticut. He's going to be hosting as long as he can before he's due back in the courtroom.
[07:24.000 --> 07:28.000]  Bob Barnes with him as well. Honored to be joined by you two today.
[07:28.000 --> 07:35.000]  Absolutely. Robert Barnes has some major breaking news on multiple fronts, but I want to be completely clear with viewers and listeners.
[07:35.000 --> 07:42.000]  This is the main new world order assault. This is the big global attack. They are no longer in beta. They are in operational phase.
[07:42.000 --> 07:49.000]  Now, what Owen raised in the first segment, some stations don't carry it. I'm going to reemphasize and then get Robert Barnes who's in the right in the middle of this.
[07:49.000 --> 07:57.000]  When it comes to the battle with Big Pharma, his analysis on it solicited me very carefully. I know you know this, but I need to know this too.
[07:57.000 --> 08:00.000]  We need to have this really sink into our psyche.
[08:00.000 --> 08:08.000]  They know human nature and I've had meetings off record with top globes trying to hire me.
[08:08.000 --> 08:13.000]  People say, why don't you expose them? Well, that's an off record meeting, but I will tell you the things they've said, the things they've done.
[08:13.000 --> 08:23.000]  And so that stuff has come out over the years. But what they all tell me, including one meeting that was on a first class flight to be on the view,
[08:23.000 --> 08:31.000]  now hard to believe 15 years ago, with the CEO of a major big three bank at the time, he's retired now.
[08:31.000 --> 08:37.000]  And he told me, he said, this is an off record discussion, Alex. And I said, yes, he said, you can talk about it, but don't say my name.
[08:37.000 --> 08:42.000]  And you know, those guys know though, the currency I've got is it was an off record meeting. It's an off record meeting.
[08:42.000 --> 08:47.000]  He said to me, you think people will adapt like the Marines to overcome.
[08:47.000 --> 08:53.000]  And he'd just been visiting his dad that was a retired general in San Antonio, but he was flying back from Austin.
[08:53.000 --> 09:02.000]  And he said to New York, he said, he said, you think they're going to adapt and overcome? He goes, no.
[09:02.000 --> 09:06.000]  The way we do things incrementally is people will adapt to us taking full control.
[09:06.000 --> 09:10.000]  And we're going to have a corporate world government because we know how to run things best.
[09:10.000 --> 09:14.000]  And those little people you're trying to save don't want you to save them.
[09:14.000 --> 09:19.000]  They're trying to empower them. They would tear you apart. Now, that's the standard elitist line. Hey, you should be with us.
[09:19.000 --> 09:24.000]  The fact that you understand that means you're one of us. You really should join us.
[09:24.000 --> 09:32.000]  That's how real this is. Again, the only story I can tell is because the head of the Kissinger group in front of John Harmon, our oldest employee, 18 years.
[09:32.000 --> 09:39.000]  John Harmon backed in screen calls and literally screen, you know, wind up phone calls still does that sometimes.
[09:39.000 --> 09:44.000]  It's such a good job and we get guests on him, but he would book guests. So he heard the conversation with me and Rothkoff.
[09:44.000 --> 09:50.000]  Have the Kissinger group. When he said, look, you're one of us. You're part of the superclass.
[09:50.000 --> 09:57.000]  You're in a book called superclass. A thousand people around the world. He goes, you could be the leader of the Liberty Movement, but loyal opposition and we'll work with you.
[09:57.000 --> 10:01.000]  You'll have a seat at the table. A lot of your ideas will actually get heard and implemented.
[10:01.000 --> 10:07.000]  But if you don't join us, you'll be destroyed. So stop this crusade you're on and be a star.
[10:07.000 --> 10:12.000]  Now, I was given the same speech in a 50 story building in Los Angeles by the head of a major.
[10:12.000 --> 10:16.000]  You know, at the time, you have a major operation. I'll leave it at that. Very well known name.
[10:16.000 --> 10:25.000]  And I had several other meetings. Okay, I had meetings with representatives that very famous lawyer, the most famous in basically modern history.
[10:25.000 --> 10:33.000]  And I'm not going to say the name, but this wasn't even off record meeting, but I just didn't want to say the name because, well, and he was the representing Sumner Redstone to meet with me.
[10:33.000 --> 10:40.000]  And he got on the phone with Sumner Redstone. We had a conversation. Okay, and I'm going to leave it at that. That was 16 years ago.
[10:40.000 --> 10:45.000]  So they spot the talent and they know who can resist them and they try to go buy them and get them.
[10:45.000 --> 10:49.000]  So when I tell you, I know about the New World Order, folks, I know about the New World Order.
[10:49.000 --> 11:01.000]  Now, the reason I prefaced that before we go to Robert Barnes, probably this big breaking news on two fronts, is that globalist, the head of the third largest bank in the world,
[11:01.000 --> 11:10.000]  told me, he said, Alex, they will adapt to being slaves by increment, which is Stockholm Syndrome, basically.
[11:10.000 --> 11:21.000]  And that's his vision of the world. He's betting against you. I'm betting on you. I believe in you. Plus, the world they want to build so ugly and so horrible, I can't join them because I believe in God, and I don't want to join the devil.
[11:21.000 --> 11:30.000]  So when we talk about this, this is so real. So when I want to sink into your mind, very deeply here, at the deepest level is this.
[11:30.000 --> 11:34.000]  They've incrementally attacked, attacked, attacked, attacked, attacked on all these thousands of fronts.
[11:34.000 --> 11:46.000]  And now you notice it's getting more of a crescendo, shutting down farms, shutting down ranches, shutting down fertilizer, blowing up pipelines, dissolving borders, destroying currencies, flooding the culture with destruction and laziness and evil and pedophilia.
[11:46.000 --> 11:54.000]  They admit that this is a takedown of civilization. What happens is like a frog in the pot, you just incrementally heat up and you never jump out and you die.
[11:54.000 --> 12:03.000]  That's their whole game plan. But we, as this audience, and I'm an audience of the guests and callers myself, we're all viewers, we're all listeners, we're all hosts.
[12:03.000 --> 12:12.000]  This is a community operation. And this is the public comments here. And that's what they're scared of. And we're actually coming from behind, and we're getting populist elected all over the world.
[12:12.000 --> 12:19.000]  So the globalists are striking back with all sorts of economic warfare and election fraud, but it's okay because the awakening is getting bigger and bigger.
[12:19.000 --> 12:26.000]  And the more we speak out, the more we say, no, the more trouble there is. So we adapt to being slaves instead of adapting to overcome.
[12:26.000 --> 12:36.000]  But if you're conscious, overcome the enemy and realize that and have the will and understand what you're doing, then you don't ever give up and things only get better. Resistance is victory.
[12:36.000 --> 12:46.000]  Live on your feet, don't die on your knees as a slave. It's not that you die on your feet instead of live on your knees. No, no, you end up thriving on your feet and being a slave or dying on your knees.
[12:46.000 --> 12:52.000]  So I reversed what Sopata said. I'm not saying it was wrong, but there were perspectives. So here's the key and Barnes to take it over.
[12:52.000 --> 13:03.000]  Next segment. They hit us with a virus they released. They hit us with these deadly shots that have killed millions and are wounding hundreds of thousands and causing mass heart attacks and death.
[13:03.000 --> 13:09.000]  And now they admit, yeah, we blocked hydroxychoric acid. Yeah, we blocked ivermectin even though we know it was it was a cure. Yeah, we did that.
[13:09.000 --> 13:17.000]  Yeah, in front of y'all who knows, major medical associations, because they all went along with it and now they know they were conned. They've been part of mass murder.
[13:17.000 --> 13:26.000]  And they also realize more lockdowns are coming and more forced injections. If what's left of the medical system that isn't controlled by big pharma doesn't rally and stand up and come together.
[13:26.000 --> 13:34.000]  So instead of humanity breaking under this, we're coming back stronger. They want us to forget about the lockdowns, forget about the shots for a couple of years.
[13:34.000 --> 13:40.000]  They know the average person's memory. You want to forget about it. You want to move on, but you don't move on. You don't adapt to being a slave.
[13:40.000 --> 13:48.000]  You adapt to overcome and you take it personal and you speak out and you file lawsuits. You support those that are fighting and you never stop exposing these monsters.
[13:48.000 --> 13:56.000]  And you confront the doctors in your family that confronted you and you confront the schools and the school boards. And now we all go to the school boards and say you were trying to make us take these shots.
[13:56.000 --> 14:08.000]  You killed all these people. You're complicit. You're murderers. You're criminals to the corporate media and mass shootings. There are hundreds of studies. It's a fact that when you promote mass shootings and the shooters, it causes more mass shootings.
[14:08.000 --> 14:16.000]  So they hijacked my name, connect me to a mass shooting that I doubted, and then use that to promote mass shootings in the culture. So it's an option for crazy people to go do it.
[14:16.000 --> 14:26.000]  So in the media confronted me today at the press conference and said, oh, you're mean to the kids. I said, no, you promote mass shootings, which statistically causes more mass shootings. You kill the kids. You promote the serotonin reuptake inhibitors.
[14:26.000 --> 14:40.000]  You, you promote the psychotropic drugs and so-called antidepressants that on the label says it caused mass murder and death and almost every shooter has been on them. So you're killing the kids and it's time to stop saying we're sorry.
[14:40.000 --> 14:49.000]  And it's time to not back down. And I tell myself that because the media criticizes me all the time and they say, oh, he's mean. He's this and that. I've only made a few mistakes and we've got a great record.
[14:49.000 --> 14:57.000]  And when you apologize for the few mistakes you've made, they don't care about that. They just use it to say, oh, you're a liar. You made mistakes on purpose. No, we didn't.
[14:57.000 --> 15:02.000]  Now, I apologize to my viewers for not being perfect, but you don't want to hear that. You want to see victory. You want to see action.
[15:02.000 --> 15:13.000]  So the point I've tried to get to here, ladies and gentlemen, we want to break here in just a few minutes is that now is the time to be aware of what's happening. And now is the time to supercharge.
[15:13.000 --> 15:22.000]  We'll talk about the vaccines, the poison shots, and so much more when we come back from this quick break. Ladies and gentlemen, Robert Barnes is our guest.
[15:22.000 --> 15:25.000]  Owen Schreuer is hosting from the ATX. Please stay with us.
[15:25.000 --> 15:33.000]  All right, ladies and gentlemen, there you have Alex Jones live with us, Bob Barnes as well. We're about to take this break, but on the other side, more breakdown from Alex.
[15:33.000 --> 15:44.000]  And I expect to be hearing from Bob Barnes as well. And we've got a loaded news transmission today, folks here on the Alex Jones show plus carrying over into the fourth hour and the war room today.
[15:44.000 --> 15:58.000]  infowars.com, van.video, spread those links and keep us on the air by shopping at infowarsstore.com. Huge specials right now up to 50% off top selling top rated supplements at infowarsstore.com.
[16:15.000 --> 16:25.000]  And the boycotts and the attacks and the lawsuits stay on air, but now we're reaching the most critical juncture in the fight together.
[16:25.000 --> 16:39.000]  So I want to ask all of you today to help keep me on the air. In my decades on air, I've never asked for personal donations, but I'm being forced by the bankruptcy court to pay for 40% of the legal fees and I can't fund those myself.
[16:39.000 --> 16:53.000]  It's unsustainable. So please visit save infowars.com, save infowars.com where you can make straight donations, five, 10, $50, $100, whatever you can, so that I can continue to persevere.
[16:53.000 --> 17:01.000]  I'll never give up. I'll never give in, but I could give out. Thank you for your support. Wouldn't be without you. Save infowars.com by the will of God.
[17:01.000 --> 17:11.000]  And by God working through you and your support, infowars continues to persevere against attacks never before seen in the Western world against independent media.
[17:11.000 --> 17:20.000]  Thanks for keeping me in the fight. And over the years, you have come to the table. You have stepped to the plate so many times and kept infowars and free speech on the air and I thank you.
[17:20.000 --> 17:26.000]  But now I have my own legal bills that have reached the point that I can't pay them and I need your support.
[17:26.000 --> 17:35.000]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalist, please visit saveinfowars.com.
[17:35.000 --> 17:47.000]  And saveinfowars.com takes you to a URL that gives in go for direct Alex Jones legal defense fund. This whole phase of their attacks, four years in the making is almost over.
[17:47.000 --> 17:51.000]  And right at the end, we're not giving up. We're not giving in, but we could give out.
[17:51.000 --> 17:59.000]  So please, if you support what we're doing and want to fight for liberty and freedom and just in the future, go to saveinfowars.com today.
[17:59.000 --> 18:05.000]  The biggest sale of 2022 is now live exclusively at infowarstore.com.
[18:05.000 --> 18:16.000]  The infowarstore super sale is now live 40 to 50% off bare minimum 40% off many of the products 15% off at infowarstore.com.
[18:16.000 --> 18:27.000]  The most exciting of all these incredible products is X3. All three of the very best types of iodine that are natural and pure actually get into your cells are in X3.
[18:27.000 --> 18:34.000]  The Deep Earth Crystal iodine and two other types to maximize full absorption. This really is the missing link.
[18:34.000 --> 18:45.000]  X3 sold out for a long time is finally back in stock available at infowarstore.com or by calling toll free triple eight two five three three one three nine.
[18:45.000 --> 18:52.000]  Now it takes a few weeks for this high quality iodine to kick in, but almost everybody after that feels the effects.
[18:52.000 --> 18:59.000]  It's not a sheer immune system, but it's for your energy and so much more X3 back in stock at infowarstore.com 50% off.
[18:59.000 --> 19:06.000]  Ladies and gentlemen, the biggest sale of 2022 is now live at infowarstore.com.
[19:06.000 --> 19:12.000]  It's the infowarstore super sale 40 to 50% off all products in the store.
[19:12.000 --> 19:17.000]  Survival Shield X3 sold out for almost six months back in stock 50% off.
[19:17.000 --> 19:20.000]  Brain Force Ultra back in stock 50% off.
[19:20.000 --> 19:23.000]  Brain Force Plus back in stock 50% off.
[19:23.000 --> 19:26.000]  DNA Force Plus back in stock 50% off.
[19:26.000 --> 19:29.000]  Physic Magnesium both of the highest quality types of Magnesium.
[19:29.000 --> 19:31.000]  Nobody else has got that 50% off.
[19:31.000 --> 19:34.000]  Organic Greens fiber caps highest quality 50% off.
[19:34.000 --> 19:42.000]  Surveillance Vitality Field Vitality 50% off. Ultimate Cradle back in stock 40% off. Knockout sleep support 40% off.
[19:42.000 --> 19:46.000]  It goes on and on. Vitamin D3 Gummies 40% off. Vasylabids 40% off.
[19:46.000 --> 19:51.000]  Ultimate Fish Oil 40% off. You need to do this for your immune system this fall and winter.
[19:51.000 --> 19:54.000]  Plus it funds the info war. Thank you for your support.
[19:54.000 --> 20:00.000]  The only way you lose is not going to infowarstore.com and getting 40 to 50% off on all these amazing products.
[20:00.000 --> 20:05.000]  Leading a frontal assault on the lies of the New World Order.
[20:05.000 --> 20:07.000]  It's Alex Jones.
[20:07.000 --> 20:30.000]  Thank you so much for joining us on this live Tuesday broadcast the fourth day of October 2022.
[20:30.000 --> 20:39.000]  So we've just been hit with a long planned bio weapon to bring in UN world government, corporate fascism, ally of the communist China.
[20:39.000 --> 20:51.000]  The head of the UN Department of Information openly just bragged on international television over the weekend that the UN is in control of Google and the major search engines.
[20:51.000 --> 20:56.000]  I told you that last year two years ago that they would say in the news the UN says this is a true.
[20:56.000 --> 20:59.000]  So you can't say vitamin D helps you.
[20:59.000 --> 21:01.000]  The UN says ivermectin is bad.
[21:01.000 --> 21:04.000]  The UN says hydroxychloroquine is bad.
[21:04.000 --> 21:10.000]  Now it's all a bit of a lot on purpose to murder people so they couldn't get therapeutics.
[21:10.000 --> 21:17.000]  And so they also couldn't do one other key thing that Robert Barnes will be laying out here for you right now.
[21:17.000 --> 21:20.000]  Then you're going to get exclusive breaking news.
[21:20.000 --> 21:23.000]  It's the biggest news in the show trials history.
[21:23.000 --> 21:29.000]  But I've just finally decided sitting here right now to do we were all in the fence about it, but I'm making the decision right now and I'll tell you that.
[21:29.000 --> 21:31.000]  Coming up next week with Robert Barnes.
[21:31.000 --> 21:36.000]  You're at the heart of major lawsuits with Robert Kennedy Jr. and others with whistleblowers and things around the country.
[21:36.000 --> 21:39.000]  And this whole thing is falling apart now.
[21:39.000 --> 21:42.000]  They hope we just move on and forget about it, but we're not.
[21:42.000 --> 21:45.000]  And now there's criminal investigations in the EU of Borla.
[21:45.000 --> 21:47.000]  And now he won't testify.
[21:47.000 --> 21:49.000]  Fauci is in a lot of trouble.
[21:49.000 --> 22:00.000]  So folks, people need to understand these are mass murderers that did this on purpose and thought that they could manage things and fool people and make them think that regular covid was killing everybody was actually the shots.
[22:00.000 --> 22:05.000]  This is an attempted biomedical depopulation genocide confirmed.
[22:05.000 --> 22:07.000]  Let that sink in Robert Barnes.
[22:07.000 --> 22:24.000]  Yeah, good news today from del victory of high wire in terms of the informed consent action network was able to use litigation to force the FDA to turn over all of their records concerning vaccine related injuries that have been reported to the vaccine injury network.
[22:24.000 --> 22:34.000]  That means that in fact he's actually going to make it del victory is going to make it available through the informed consent action network so that anybody can search it themselves and get more additional information.
[22:34.000 --> 22:48.000]  This is critical for doctors, nurses, medical care providers on the front lines and ordinary people to see whether other people are saying that some injury they may have suffered from the vaccine might relate to somebody you know.
[22:48.000 --> 22:54.000]  So it might be a way for you to say, okay, you know what happened to my friend what happened to my family member what happened to me.
[22:54.000 --> 22:59.000]  I'm not alone and figure out whether there's certain correlation or causation present there.
[22:59.000 --> 23:10.000]  That's critical. All of this was about in terms of denying ivermectin denying hydroxychloroquine denying that any denying that vitamin C or vitamin D could possibly be good for you.
[23:10.000 --> 23:20.000]  All of that going after people selling supplements, talking about how maybe if you're healthy in this way, it will deter the effect, the most negative effects of COVID.
[23:20.000 --> 23:27.000]  Those people the United States Attorney General went after the Department of Justice went after New York State prosecutors went after.
[23:27.000 --> 23:40.000]  So what was that all about? Well under federal law, they're not allowed to do any emergency use authorization for any vaccine unless there is no alternative treatment available.
[23:40.000 --> 23:45.000]  That's why they had to push a big lie and say that none of these alternatives could possibly help.
[23:45.000 --> 23:53.000]  Things that have worked for decades, something silver that have worked for centuries that have been good for people that have net benefited their health.
[23:53.000 --> 24:00.000]  None of these things were allowed to even be communicated to people or you were actually had to face prison threat.
[24:00.000 --> 24:08.000]  And what does the Bible say? My people perish for lack of knowledge. So give us a 35,000 foot view here. How bad is it for the globalist?
[24:08.000 --> 24:18.000]  Because we can put on screen a New York TV station with the headline here. I'll pull it up and they're talking about, oh my gosh, it's terrible.
[24:18.000 --> 24:21.000]  Almost no one is taking the shots. Here's the headline.
[24:21.000 --> 24:25.000]  While a doctor say not many people are getting the new COVID booster.
[24:25.000 --> 24:31.000]  Yes, less than 1% of what we're taking the vaccines previously are. That's a total collapse in confidence of them.
[24:31.000 --> 24:37.000]  So they went for everything, did kill a bunch of people, did name a bunch of people, generate a bunch of people's immune systems.
[24:37.000 --> 24:40.000]  But now everybody I talked to is apologizing.
[24:40.000 --> 24:43.000]  The disagree with me and said, wow, you were right about it all. How'd you know?
[24:43.000 --> 24:47.000]  Because they just can't believe that Big Pharma wants to kill you.
[24:47.000 --> 24:50.000]  Pfizer and all these companies are beyond Nazis.
[24:50.000 --> 24:57.000]  Bayer knowingly killed over 5, 6 million people, knowingly putting HIV and hepatitis in their factory product.
[24:57.000 --> 25:01.000]  They knew Vioxx was going to kill millions and they still did it, ladies and gentlemen.
[25:01.000 --> 25:07.000]  They do this on purpose. They want pure power. They want pure control. It's their religion. It's depopulation.
[25:07.000 --> 25:13.000]  It's just like a pedophile. Can't help but try to rape children. They're driven to do it. These globalists are driven to kill.
[25:13.000 --> 25:18.000]  Barnes, how would you describe the state of the total collapse of their biomedical takeover?
[25:18.000 --> 25:22.000]  Well, it's unraveling in multiple levels. So more people are finding out how unhealthy this is.
[25:22.000 --> 25:28.000]  This is showing up, as you know, to the fact that very few people who originally took it are now willing to take booster shots.
[25:28.000 --> 25:35.000]  But less than 5% of the people are willing to have their young child injected with it, despite all the massive lies of the FDA.
[25:35.000 --> 25:44.000]  Epoch Times is another headline story today about more evidence the FDA is caught lying about the safety and efficacy of this so-called vaccine.
[25:44.000 --> 25:48.000]  Well, the FDA now admits they lie. Oh, in multiple contexts they have. And so we'll see.
[25:48.000 --> 25:56.000]  I mean, we face them in court in the Western District of Texas to stop them from continuing to lie to young children to induce them to take these dangerous shots.
[25:56.000 --> 26:05.000]  It's happening all across the world. People are discovering that Big Pharma was always untrustworthy, always unreliable, that people like Bill Gates and Anthony Fauci,
[26:05.000 --> 26:10.000]  as Robert Kennedy showed in his book, The Really Anthony Fauci, these people are just criminals by other names.
[26:10.000 --> 26:20.000]  And let's remember that if they can get away with a massive crime and get government and corporations involved with them now through that corruption, they control that infrastructure.
[26:20.000 --> 26:28.000]  So they go commit a mass crime and get the rest of Big Pharma and the media and the hospitals and the doctors on board. That's called a corruption.
[26:28.000 --> 26:35.000]  And now they'll cover their ass and cover up that mass murder, but they'll cover up the next big mass murder. So this is all a formula of evil.
[26:35.000 --> 26:43.000]  No doubt about it. All of this, their grand plan is coming unwound because the ordinary person is waking up to it through independent means of media.
[26:43.000 --> 26:54.000]  That's the only reason, that's the reason for the lawfare against Alex Jones and Info Wars. It was built up so that this network, this program, this broadcast would not be available to ordinary everyday people all around the globe.
[26:54.000 --> 27:01.000]  So they could become self-educated and self-informed. They become politically literate, culturally literate, literate in a broader sense of the word.
[27:01.000 --> 27:11.000]  And because of you at the heart of this, the Info Wars audience, isn't about patting your back. It's real. You guys are seen as the number one enemy because you're the most focused, the most informed, the most involved and you did it.
[27:11.000 --> 27:18.000]  I'm getting chills right now. Badass! We're saving millions of people. It's worth it to be attacked to do this and we're not going to stop and I salute all of you.
[27:18.000 --> 27:27.000]  Absolutely. And it's thanks to ordinary people organizing and self-educating and sharing information in the link, keeping Info Wars alive despite the financial assault that's been waged against them.
[27:27.000 --> 27:32.000]  The ordinary, like Paul Revere's ride, the audience of Info Wars has kept the American freedom.
[27:32.000 --> 27:39.000]  And it's all been wars at the persecution attacks. I love it. I'm glad I'm under attack because we're stopping you pedophile murderers from injecting our children with poison.
[27:39.000 --> 27:44.000]  Burn in hell, new old order. Fuck you. Fuck you, new old order. Fuck you, Bill Gates.
[27:44.000 --> 27:51.000]  It's because of ordinary people that the world continues to be in a good place and it's the only because of ordinary people that will ever stay in a good place.
[27:51.000 --> 28:04.000]  The answer to evil is always righteous people acting righteously. And as long as that takes place, the world will stay in the safe, good place for freedom and liberty that our four founders and places like right here in Connecticut help create and craft more than two centuries.
[28:04.000 --> 28:13.000]  That's right, Bob. And it's great to fight with real Americans and other people around the world like you and Rob and the whole crew because we've gone through hell, but we did it for the right reason and we've been proven right and vindicated.
[28:13.000 --> 28:20.000]  Most people who have to fight Terry never see the end of Terry in their lifetime. We're getting to see a lot of victory right now. We could push this over the top.
[28:20.000 --> 28:31.000]  Oh, absolutely. It is the biggest crack in the vaccine dam that we've seen in centuries. It's the biggest crack in Big Pharma's dam we've seen in centuries. The biggest crack in big media's dam we've seen in centuries.
[28:31.000 --> 28:41.000]  Alright, Robert Marks, stay there. Owen Schreuer is going to be taking over. We're going to host the rest of the hour. Then Owen's loaded for bear so much today and we're going to come back and play that clip.
[28:41.000 --> 28:52.000]  Just play the watch and clip where he does the analysis of the UN head of information and bragging that the UN controls American media, that the UN controls Google, that the UN is running things.
[28:52.000 --> 29:12.000]  See, we're vindicated again. World government out of the open, infowars.com. Share that link. We'll be right back.
[29:23.000 --> 29:40.000]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[29:40.000 --> 29:59.000]  I don't take the credit. I give you the credit and now infowars is facing its darkest hours. It isn't going to give up. Without your support, we can be shut down. Please go to saveinfowars.com today. Saveinfowars.com today and donate for our legal defense fund.
[30:11.000 --> 30:26.000]  We are engaging the globalists at point-blank range in the information war, but I don't deserve the credit. Yes, I've persevered, but the listeners and viewers who support infowars are the real reason you've had the success.
[30:26.000 --> 30:45.000]  We're having now the greatest victories in the fight against the new order we've ever had. We are now entering the final mile of the marathon, and that's why today it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been carrying out and to intensify them.
[30:45.000 --> 30:59.000]  God bless you all. I salute you. I thank you, and I beg you to intensify what you're doing now because we are over the target and history is happening. The fight is my fight. It's your fight. It's our fight. God bless you all.
[31:15.000 --> 31:26.000]  You have stepped to the plate so many times and kept info wars and free speech on the air, and I thank you. But now I have my own legal bills that have reached the point that I can't pay them, and I need your support.
[31:26.000 --> 31:35.000]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalists, please visit saveinfowars.com.
[31:35.000 --> 31:47.000]  And saveinfowars.com takes you to a URL that gives him go for direct Alex Jones legal defense fund. This whole phase of their attacks, four years in the making is almost over.
