[00:00.000 --> 00:10.000]  There is a lot of controversy around this network about Alex Jones, for example.
[04:22.000 --> 04:31.000]  And they go, boy, we just don't know why they went off. We just don't know why we don't have lights in here.
[04:31.000 --> 04:38.000]  When he killed tens of thousands of drilling permits, shut down more than 2,000 pipelines with the Keystone pipeline that was completed ready,
[04:38.000 --> 04:45.000]  would have lowered gas prices, believing what they were under Trump. That's less than go up. And then everything else they've done.
[04:45.000 --> 04:53.000]  And so to sit there and act like this is incompetence is, again, the biggest fraud around is why we're losing. It is a designed world government plan.
[04:53.000 --> 05:19.000]  And they brag about it saying it's part of a forced transition. Stay with us.
[05:23.000 --> 05:28.000]  We're at a greater discount than you'll normally find at InfoWarsHstore.com.
[05:28.000 --> 05:38.000]  FreeWorldOutlet.com is amazing. We're partnered with them and things like DNA Force Plus that have been sold out at InfoWarsHstore is available there.
[05:38.000 --> 05:45.000]  Things like X2 being sold at full price, 40% off at FreeWorldOutlet.com and so much more.
[05:45.000 --> 05:54.000]  Others knock out sleep support, 50% off. Brain Force Plus, 50% off. Ultimate Roan Barat, 50% off. And so many other specials you won't find anywhere else.
[05:54.000 --> 06:23.000]  FreeWorldOutlet.com. FreeWorldOutlet.com and keep InfoWars in the air while getting great products.
[06:23.000 --> 06:31.000]  Well, our amazing investigative journalist and reporter, Greg Rees, always knocks it out of the park.
[06:31.000 --> 06:38.000]  But he put out a report yesterday how we can take back America that's only four minutes, 19 seconds long.
[06:38.000 --> 06:43.000]  We're going to air that going out to break this segment.
[06:43.000 --> 06:50.000]  Thank you for joining us on this May 19th, May 29th, Sunday edition.
[06:50.000 --> 06:55.000]  I woke up with an earache this morning and it's gotten progressively worse.
[06:55.000 --> 06:58.000]  And if I would have known it was going to be hurting us bad, I'm not complaining.
[06:58.000 --> 07:02.000]  Just if I sound a little off today, I would have had Owen come in and take over for me
[07:02.000 --> 07:05.000]  if I would have known that it would go to ice pick level pain in the last hour.
[07:05.000 --> 07:09.000]  But I ate some Advil right before I went live. It should kick in in 30 minutes or so.
[07:09.000 --> 07:13.000]  And I'm going to drink some Coil Silver here in a minute and we should be Peachy King.
[07:13.000 --> 07:21.000]  But that is what's going on. I did some swimming in the creek yesterday with my daughter
[07:21.000 --> 07:24.000]  and the water's gotten pretty hot and I think I got some bad bacteria in there.
[07:24.000 --> 07:30.000]  No big deal. I put Coil Silver in the ear, just drank a little bit, took some Advil,
[07:30.000 --> 07:33.000]  and so everything should be A-OK.
[07:33.000 --> 07:37.000]  But again, if I sound a little bit distracted, that's what's going on.
[07:37.000 --> 07:41.000]  I haven't had an earache dispatch since I was like four years old. Not fine.
[07:41.000 --> 07:48.000]  Moving on past that, what a world we live in right now.
[07:48.000 --> 07:51.000]  What an incredible thing that's happening.
[07:51.000 --> 07:54.000]  We see humanity waking up on one end of the spectrum.
[07:54.000 --> 07:58.000]  And on the other end of the spectrum, we see the corrupt out of control establishment,
[07:58.000 --> 08:03.000]  these big mega corporations and banks that are monopolies going absolutely insane
[08:03.000 --> 08:09.000]  that they're losing their control and that they know their financial system built on derivatives,
[08:09.000 --> 08:16.000]  built on Ponzi schemes, built on thousand-to-one leveraging of investments is coming to an end.
[08:16.000 --> 08:22.000]  And they want to have us accept that, oh, stuff's coming out of the jungles.
[08:22.000 --> 08:24.000]  That's why you're getting sick.
[08:24.000 --> 08:30.000]  And it's because you're bad and global warming has been caused by humans,
[08:30.000 --> 08:35.000]  supposedly, or climate change, that these new mega viruses are going to come out of the jungle
[08:35.000 --> 08:40.000]  and are going to depopulate you. I have more clips on the news
[08:40.000 --> 08:43.000]  and their own minions at the Davos Group.
[08:43.000 --> 08:49.000]  Bill Gates last week saying, it's your fault that these viruses are appearing
[08:49.000 --> 08:53.000]  because there's too many people and the earth's warm.
[08:53.000 --> 09:00.000]  And that's why we have COVID-19, or that's why we have monkeypox.
[09:00.000 --> 09:07.000]  When on record, on record, ladies and gentlemen,
[09:07.000 --> 09:09.000]  we know COVID-19 was man-made in the lab.
[09:09.000 --> 09:10.000]  It's now been confirmed.
[09:10.000 --> 09:15.000]  Congress has had hearings about it, but it gets almost no coverage.
[09:15.000 --> 09:19.000]  And so we sit here with the corporate media telling us we deserve to die,
[09:19.000 --> 09:23.000]  the earth has matted us, and it's producing these viruses to kill us
[09:23.000 --> 09:29.000]  when it's 12 monkey crazy scientists that are doing it.
[09:29.000 --> 09:34.000]  Just wild. We're going to be getting into that coming up later in the hour.
[09:34.000 --> 09:38.000]  I mentioned some of this on the Emergency Saturday show I did yesterday,
[09:38.000 --> 09:42.000]  but I'm going to really drill into it here next segment
[09:42.000 --> 09:52.000]  because there's not just a dictatorial system that's being set up here in the United States.
[09:52.000 --> 09:55.000]  There's not just a dictatorial system being set up in the European Union
[09:55.000 --> 10:02.000]  or communist China expanding its dictatorial authoritarian system on steroids.
[10:02.000 --> 10:06.000]  It is a global corporate standardization of that tyranny.
[10:06.000 --> 10:13.000]  And after I cover the emergency powers that Biden is activating and taking onto himself,
[10:13.000 --> 10:19.000]  something no president's done previously, real martial law powers being taken out of the vault
[10:19.000 --> 10:22.000]  and being fired up and ready,
[10:22.000 --> 10:29.000]  that is being designed to then link in to the international authoritarianism
[10:29.000 --> 10:34.000]  and the worldwide martial law being set up and prepared for the next lockdown
[10:34.000 --> 10:39.000]  using the fear of a virus and or blaming it on cyber attacks.
[10:39.000 --> 10:53.000]  Here's Greg Riesch's report.
[11:09.000 --> 11:14.000]  It is a fact that the people of Sri Lanka are rising up against their corrupt politicians,
[11:14.000 --> 11:18.000]  burning their homes and destroying city property.
[11:18.000 --> 11:20.000]  But this is nothing to celebrate.
[11:20.000 --> 11:24.000]  This is exactly what the World Economic Forum is hoping for.
[11:24.000 --> 11:30.000]  They want governments to be destroyed and the people to lose all faith in the nation state.
[11:30.000 --> 11:34.000]  Their plan is to starve the people into destroying their own governments
[11:34.000 --> 11:38.000]  so they can act as saviors.
[11:38.000 --> 11:44.000]  It is important for Americans to realize that the current administration is not failing at all.
[11:44.000 --> 11:48.000]  They are accomplishing exactly what they set out to do.
[11:48.000 --> 11:52.000]  They did not steal the 2020 election to secure power.
[11:52.000 --> 11:57.000]  They did it to destroy America and destabilize the entire system.
[11:57.000 --> 12:00.000]  And they are rapidly succeeding.
[12:00.000 --> 12:04.000]  The voices calling for violence are as ignorant and mad as they sound.
[12:04.000 --> 12:09.000]  Violence towards who? How will you organize? And who are you going to fight?
[12:09.000 --> 12:12.000]  Your brainwashed sheep neighbors?
[12:12.000 --> 12:15.000]  That is exactly what the globalists want you to do.
[12:15.000 --> 12:18.000]  And if your plan is to wait until they come to your door,
[12:18.000 --> 12:24.000]  then you'll just be a dangerous animal in a cave on someone else's private property.
[12:24.000 --> 12:26.000]  But there are solutions.
[12:26.000 --> 12:30.000]  For example, before passing in March of 2022,
[12:30.000 --> 12:39.000]  the great Jordan Maxwell's last project was to save America from global governance with America 21.
[12:39.000 --> 12:43.000]  America 21's mission is to gut the system of globalist interference
[12:43.000 --> 12:51.000]  and reclaim all of America by 2025 so that we can rebuild our agriculture, production, and energy
[12:51.000 --> 12:55.000]  and become a self-sufficient nation that serves the people.
[12:55.000 --> 13:04.000]  America 21 is calling for a complete withdrawal from all treaties and influences of the United Nations and World Economic Forum.
[13:04.000 --> 13:08.000]  Washington DC is just a symbol of our old corrupt federal government.
[13:08.000 --> 13:11.000]  The new world leaders are living abroad,
[13:11.000 --> 13:16.000]  and the only way they can control us is through the compliance of our local governments.
[13:16.000 --> 13:23.000]  According to America 21, your focus needs to be where you live, in your county and city.
[13:23.000 --> 13:27.000]  Global governance ultimately depends on your county being taken over.
[13:27.000 --> 13:30.000]  This is where you need to resist now.
[13:30.000 --> 13:34.000]  This is how the United Nations and the globalists have been doing it,
[13:34.000 --> 13:37.000]  and it's the only way to properly reverse it.
[13:37.000 --> 13:41.000]  America 21 has been having success in Montana,
[13:41.000 --> 13:47.000]  and they freely share their working model and support at americacentury.com,
[13:47.000 --> 13:56.000]  such as learning what language to look for in your local governments to detect UN initiatives and protocols being deployed by your local officials.
[13:56.000 --> 14:02.000]  Key words such as 2030, sustainable development, and carbon neutral.
[14:02.000 --> 14:08.000]  Your local officials have to live with you, and in most cases will prefer to keep their jobs.
[14:08.000 --> 14:14.000]  Our voting system may be broken, but our elected officials still work for us,
[14:14.000 --> 14:22.000]  and if enough of us come together, we can put the pressure on them to renounce global governance and to serve the will of the people.
[14:22.000 --> 14:24.000]  This is the law of the land.
[14:24.000 --> 14:30.000]  It really is just that simple, but we have to come together and get active.
[14:30.000 --> 14:32.000]  Americans have a choice.
[14:32.000 --> 14:38.000]  We can either take action to purge the system of corrupt politicians and their thugs,
[14:38.000 --> 14:43.000]  or we can stop complaining about them and be good slaves.
[14:43.000 --> 14:46.000]  Reporting for Infowars, this is Greg Rees.
[14:46.000 --> 15:13.000]  It's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this,
[15:13.000 --> 15:17.000]  but you want to fight, you better believe you've got one.
[15:17.000 --> 15:46.000]  From the front lines of the information war, it's Alex Jones.
[15:47.000 --> 15:59.000]  Come and Take It
[15:59.000 --> 16:05.000]  Introducing Come and Take It, our third and final coin, a part of the founding member collector series.
[16:05.000 --> 16:11.000]  This third coin is minted into existence from.999 Silver from right here in America.
[16:11.000 --> 16:18.000]  Come and Take It may hold meaning for Americans from recent history, but it actually dates back to being used in 480 BC
[16:18.000 --> 16:23.000]  in the Battle of Thermopylae as Molon Lape by Spartan King Leonidas.
[16:23.000 --> 16:29.000]  It has since become a symbol of defiance here in America, along with the imagery of a black star and cannon
[16:29.000 --> 16:33.000]  in the flag used by Texans during the state's revolution against Mexico.
[16:33.000 --> 16:37.000]  Both sides of the coin depict these historical uses of the phrase,
[16:37.000 --> 16:42.000]  with one side having a rendition of a Spartan helmet and the inscription of Come and Take It
[16:42.000 --> 16:48.000]  and the reverse side having a rendition of the cannon and the inscription Free Men Bear Arms.
[16:48.000 --> 16:53.000]  Go to 1776coin.com today to secure your founding member coin.
[16:53.000 --> 16:58.000]  Hurry before they're gone as there will only be 10,000 in existence.
[17:00.000 --> 17:03.000]  So I did it. I signed up for the Austin Marathon.
[17:03.000 --> 17:10.000]  I've been training, probably not as much as they should be, but thank goodness for prayer and thank goodness for InfoWarsStore.com.
[17:10.000 --> 17:16.000]  Before I start out on a run, I throw down some Turbo Force to give me that energy I need to get going.
[17:16.000 --> 17:23.000]  You know, besides the energy Turbo Force, it is giving me the vitamins I need, like Vitamin C to keep me healthy
[17:23.000 --> 17:30.000]  and the essential B vitamins plus the amino acids for sustained energy giving me the best chance at getting through the training.
[17:30.000 --> 17:36.000]  And then every day now I'm taking Dr. Jones' Sorilis. I have bad joints, thanks mom.
[17:36.000 --> 17:43.000]  So this is great for giving my joints the extra support they need right now plus inflammation support and extra flexibility.
[17:43.000 --> 17:47.000]  The quick release capsules help me recover fast so I can get back to the training.
[17:47.000 --> 17:52.000]  Even if you're not crazy enough to take on a marathon, good news, Turbo Force,
[17:52.000 --> 17:59.000]  that can still give you the energy and clarity you need for every day and Sorilis can keep you moving and feeling great at any age.
[17:59.000 --> 18:07.000]  I designed over 200 t-shirts the last 25 years and we have some of those original designs still for sale at InfoWarsStore.com.
[18:07.000 --> 18:14.000]  These are real classics. But ladies and gentlemen, they're all about to be limited edition because we're selling out of them.
[18:14.000 --> 18:20.000]  They're about to be history and we're selling out of the hoodies, the ball caps, the t-shirts, all these amazing designs
[18:20.000 --> 18:25.000]  that cost InfoWarsStore.com except for this fundraiser shirt that is a real hit and people love it.
[18:25.000 --> 18:32.000]  It's $24.95, Alex Jones is right on the front, the Red Thunderbolt, and again on the back, a big bold InfoWars.com.
[18:32.000 --> 18:40.000]  Exercise your First Amendment, don't let the leftist and the globalist bully silence you and fund the InfoWars at the same time.
[18:40.000 --> 18:45.000]  There is not a more politically incorrect shirt that sends a stronger message of freedom, resistance to the new world order
[18:45.000 --> 18:50.000]  than the Alex Jones was right shirt exclusively available at InfoWarsStore.com.
[18:50.000 --> 18:55.000]  And again, this shirt is limited edition as well. We're doing one more run and then no more.
[18:55.000 --> 18:58.000]  InfoWarsStore.com, get yours today.
[18:58.000 --> 19:03.000]  Introducing the newest product from InfoWarsLife.com.
[19:03.000 --> 19:07.000]  We are so proud of InfoWarsLife immune support.
[19:07.000 --> 19:14.000]  It is concentrated herbs that are known on record to supercharge our body's natural defenses.
[19:14.000 --> 19:21.000]  Ladies and gentlemen, this is something that is essential and everyone should get and on top of it, it funds the InfoWars
[19:21.000 --> 19:25.000]  so that's a 360 win. Let me tell you what is in this amazing product.
[19:25.000 --> 19:34.000]  Concentrated elderberry, concentrated echinacea, concentrated astragalus root, angelica root, loatium root, and more.
[19:34.000 --> 19:40.000]  This product is incredible. InfoWars immune support exclusively available at InfoWarsStore.com
[19:40.000 --> 19:45.000]  is funding the tip of the spear, the InfoWars operation. It is a 360 win.
[19:45.000 --> 19:50.000]  The only way you fail is by not taking action and getting this product to boost your body's natural defenses
[19:50.000 --> 19:54.000]  and keep InfoWars on the air. The globalists are hoping you don't take action.
[19:54.000 --> 20:10.000]  Take action now at InfoWarsStore.com.
[20:24.000 --> 20:34.000]  Successive Approximation by Increments. If you look at where the state of human freedom is in the year 2022
[20:34.000 --> 20:41.000]  versus the year 2000, the world is unrecognizable.
[20:41.000 --> 20:47.000]  I was going off of the big think tanks and the Pentagon and foreign ministries of defense
[20:47.000 --> 20:53.000]  and what they said they were building and what the world would look like.
[20:53.000 --> 20:59.000]  And there were many other scholars more informed than I was when I first got on air 28 years ago
[20:59.000 --> 21:05.000]  that predicted exactly what has happened today.
[21:05.000 --> 21:08.000]  I was never a member of the John Burst Society, but I read many of their books.
[21:08.000 --> 21:12.000]  My father read them. His father read them. My mother's father read them.
[21:12.000 --> 21:17.000]  My grandfathers both were highly informed. And I just grew up hearing all this.
[21:17.000 --> 21:23.000]  To me, it was just adult table talk. They're sitting there drinking coffee and I'm sitting there eating a piece of cake or something
[21:23.000 --> 21:29.000]  visiting the grandparents. And then as soon as I saw the propaganda in high school and in college
[21:29.000 --> 21:33.000]  and everywhere, I thought, wow, they're really right. America's under attack.
[21:33.000 --> 21:40.000]  This is authoritarianism. I better choose this as my career path to fight it.
[21:40.000 --> 21:46.000]  Because surely when Americans find out about this and others, they're not going to want to live in a cashless society,
[21:46.000 --> 21:51.000]  world government, where the family is outlawed, where they give you forced injections.
[21:51.000 --> 21:58.000]  Everything I talked about and put in dozens of films and discussed on there thousands of times exactly has happened,
[21:58.000 --> 22:03.000]  again, not because I am the sharpest knife in the drawer.
[22:03.000 --> 22:11.000]  But I can certainly recognize when I read books by Henry Kissinger and Zbigniew Brzezinski and David Rockefeller
[22:11.000 --> 22:18.000]  and John P. Holdren and the list goes on and on. And then I see stuff they wrote about 40 years ago,
[22:18.000 --> 22:26.000]  30 years ago, 20 years ago, 10 years ago, exactly being implemented as they said they would.
[22:26.000 --> 22:32.000]  It's incredibly frustrating. So I noticed on Friday and Saturday when we did reports on this,
[22:32.000 --> 22:37.000]  they got picked up on a bunch of different platforms and the left attacked and said,
[22:37.000 --> 22:44.000]  Jones is always saying we're going to have martial law. Jones is always saying we're going to have vaccine lockdowns
[22:44.000 --> 22:51.000]  and vaccine passports tied to carbon taxes and social credit scores. That's all now been announced.
[22:51.000 --> 23:00.000]  I have the videos. I have the announcements. Here it is. Davos reveals building blocks for green social credit score
[23:00.000 --> 23:05.000]  to tax and track and control everywhere you go and what you do.
[23:05.000 --> 23:13.000]  And they talk about locking you in your house with the metaverse and making you telecommute for the earth.
[23:13.000 --> 23:19.000]  Told you that was coming. Have those articles with videos today.
[23:19.000 --> 23:26.000]  So if you think Alex Jones was right before, get ready. Alex Jones is really going to be right because I'm not right.
[23:26.000 --> 23:37.000]  It's like a signpost when you're driving north from Austin up to Dallas on I-35 and it says Waco 108 miles away.
[23:37.000 --> 23:46.000]  And in 108 miles, you're in Waco. And then it says Dallas 97 miles away when you get north of Waco.
[23:46.000 --> 23:52.000]  And in 97 miles, just like clockwork, there's the Dallas city limits.
[23:52.000 --> 24:00.000]  Right when your digital ordometer says so. Right when the Google Maps says so. Boom. There it is.
[24:00.000 --> 24:08.000]  And so again, that's my frustration. This new world order takeover is as precision as GPS.
[24:08.000 --> 24:17.000]  It is as precision as a guided missile. It is as precision as it gets as a surgeon.
[24:17.000 --> 24:25.000]  So of course, everything I talk about is going to come true because it's their world. They stole it. They run it.
[24:25.000 --> 24:38.000]  And they're telling us we are exempt. We are not essential. We are exempt from the future. We do not have a place in it.
[24:38.000 --> 24:48.000]  And so here's the big issue. I really should go back to my earlier work harping on executive orders and plans for shadow government takeover
[24:48.000 --> 24:58.000]  and martial law and suspension of Congress and the states because they didn't put all those powers in there because they didn't want them.
[24:58.000 --> 25:03.000]  They were just building towards the day when they would be able to implement those.
[25:03.000 --> 25:13.000]  And so the training wheels on the little bicycle of tyranny in the last 28-9 months, longer than that now, almost 30 months,
[25:13.000 --> 25:26.000]  the training wheels was the lockdowns, was the QR codes, was the vaccine passports in their own admissions, all over the news now,
[25:26.000 --> 25:35.000]  and the design breakdown of society. And so when you see New York Times, Washington Post, and hundreds of other publications last week,
[25:35.000 --> 25:45.000]  say, oh, Biden has the martial law powers to suspend Congress and he's looking at those in case there's a war with Russia or other event,
[25:45.000 --> 25:53.000]  like a financial collapse or any other crisis, like hackers turning the power off.
[25:53.000 --> 25:58.000]  Well, you know who wants to train you in the transition, but the old power systems don't work.
[25:58.000 --> 26:05.000]  And who wants to get total control? Who wants to bankrupt you so they can, again, dictate the terms of all of our surrender?
[26:05.000 --> 26:14.000]  And so that's why all these establishment publications have been telling you white supremacists are going to start shooting everybody.
[26:14.000 --> 26:17.000]  There's going to be a civil war, black on white, white on black.
[26:17.000 --> 26:25.000]  Oh, new viruses are going to kill you because you were bad and the jungles are hotter, not that they made weapons in a lab and released them.
[26:25.000 --> 26:33.000]  And even the Brennan Center for Justice, one of the most respected out there with the Justice Department, presidential emergency action documents,
[26:33.000 --> 26:43.000]  presidential emergency action documents for executive orders, proclamations and messages to Congress that are prepared in anticipation of a range of emergency scenarios.
[26:43.000 --> 26:49.000]  Here's Atlantic Monthly from two years ago. The alarming scope of the president's emergency powers.
[26:49.000 --> 26:58.000]  From a seizure control of the Internet to declaring martial law, President Trump may legally do all these extraordinary things.
[26:58.000 --> 27:04.000]  The globalists put these powers in place that are legitimate. They got scared Trump might use them to get rid of them.
[27:04.000 --> 27:11.000]  Trump didn't. Many people like myself and others said it would be a trap if he did. He was certainly thinking about it.
[27:11.000 --> 27:21.000]  That came out in the news. But they now are going, oh, these powers are good now. Not good for Trump, but good for us.
[27:21.000 --> 27:28.000]  I don't think good for Trump. I don't think good for the globalists. I don't think good for anybody.
[27:28.000 --> 27:34.000]  There's one independent on it. It's all being laid out, ladies and gentlemen.
[27:34.000 --> 27:39.000]  We're going to go over it more in the next segment. Gateway Pundit wrote about it and Full Wars wrote about it last week.
[27:39.000 --> 27:45.000]  Documents reveal secret U.S. plans for apocalyptic scenarios when president may activate wartime powers for national emergencies
[27:45.000 --> 27:54.000]  and suspend Congress for up to six months. Here's MSN reporting on it. Here's our reports on it.
[27:54.000 --> 27:59.000]  Here's the New York Times document shed light on secret U.S. plans for apocalyptic scenarios.
[27:59.000 --> 28:09.000]  It's all there, ladies and gentlemen. But the big issue is you might have a TV dinner in the freezer,
[28:09.000 --> 28:22.000]  but when you get it out and you unwrap it and you turn the oven on and you stick that steak dinner with potatoes or whatever it is,
[28:22.000 --> 28:32.000]  into the oven, you're now going to eat it. And that's the issue is that they're firing this up everywhere
[28:32.000 --> 28:36.000]  and sending out signals that it's about to happen 163 days off from the election.
[28:36.000 --> 28:45.000]  So we better have a discussion about what scenarios will the deep state execute or provocateur
[28:45.000 --> 28:49.000]  so that climate is right for them to pull this because they know they politically lost.
[28:49.000 --> 28:54.000]  Now they want to overturn the table. InfoWars.com. We'll tell you what's coming next. Stay with us.
[29:19.000 --> 29:24.000]  I'm going to talk about every other vitamin mineral in your body and all of your hormones and so much more.
[29:24.000 --> 29:31.000]  Ultra 12 is incredible. You take it out of the tongue so it's better absorption into your body, and it is a game changer.
[29:31.000 --> 29:39.000]  InfoWars.com has Ultra 12 back in stock. And despite the fact it's back in stock, despite the fact it's assaulting very quickly,
[29:39.000 --> 29:49.000]  it is 40% off for a limited time. So at now, funding InfoWars, experience the purest, highest quality B12 now at infowarsstore.com
[29:49.000 --> 29:59.000]  or call toll-free, 888-253-3139. Thank you all for your support. Now take action and get your bottle of Ultra 12.
[29:59.000 --> 30:09.000]  The first 10 amendments to our country's constitution were adopted in 1791. The first of these broadly protects the rights of free speech and free press.
[30:09.000 --> 30:18.000]  Free speech means the free and public expression of opinions without censorship, interference, and restraint by the government.
[30:18.000 --> 30:27.000]  231 years later, free speech across America is under chronic and insidious attack. GCN is under attack.
[30:27.000 --> 30:32.000]  Your freedom is currently under siege from those who do not want you to know the truth.
[30:32.000 --> 30:40.000]  I'm asking our fellow broadcasters and you to rise up and help us defend our right to continue telling you the truth.
[30:40.000 --> 30:50.000]  Would you like to join us? If so, please consider visiting savegcn.com.
[30:50.000 --> 30:58.000]  You may click follow, share, give, and pray. You may select all of those choices. I'm Vincent Finnelli.
[31:20.000 --> 31:30.000]  Thank you all for your support.
[31:50.000 --> 32:06.000]  We are now proud to release the Redux Line of Faraday Bags. This line features quick roll down and Velcro seal closures with discreet branding.
[32:06.000 --> 32:13.000]  With six different sizes to choose from, they have a signature reduction solution for all of your electronic device needs.
[32:13.000 --> 32:22.000]  Redux specializes in quick access weatherproof nylon Faraday bags with signal blocking Faraday shielding technology.
[32:22.000 --> 32:34.000]  Specifically designed for electronic devices, carried in unsecured locations to instantly block all wireless signals and protect them from remote wiping, tracking, and tampering.
[32:34.000 --> 32:46.000]  Redux is dedicated to producing and selling cost-effective signature reduction products for professionals needing to secure devices from wireless threats and more.
[32:46.000 --> 33:07.000]  So check out Redux to instantly block cellular Wi-Fi, Bluetooth, RFID, camera, EMP, weather, and even GPS today.
[33:16.000 --> 33:34.000]  Resistance to tyrants is obedience to God. It's Alex Johns.
[33:34.000 --> 33:47.000]  All right, we are back. I want to get more into the preparations for full-on Marshall Law. Everything else has been training you to accept these concepts and ideas and now admit that.
[33:47.000 --> 33:57.000]  The Debo script last week called for nations to all prepare new lockdowns and new forms of medical Marshall Law ahead of the economic collapse that they have already engineered, but they need to pose as the saviors during that to get you to accept their new system.
[33:57.000 --> 34:08.000]  The global cashless programmable token will be the social credit score, the carbon tax, and the system to absolutely dominate every facet of life and set up economies that are absolutely unfair,
[34:08.000 --> 34:16.000]  bankrupting almost everyone for a year on a universal basic income so they can again, can dominate your life to an even greater degree.
[34:16.000 --> 34:31.000]  But here is a great example of fighting back. We designed this coin more than six months ago, made right here in America. It was delivered last Monday. We've already sold out of half the coins, so it's selling faster than the first two in the founding member series.
[34:31.000 --> 34:45.000]  George Washington slaying the dragon, death to tyrants, the Tree of Liberty coin, and now the come and take it free men bear arms coin, second amendment coin, perfect timing with the attack on the second amendment right now. Here's the one minute ad.
[34:45.000 --> 34:57.000]  Introducing come and take it our third and final coin a part of the founding member collector series. This third coin is minted into existence from point nine nine nine silver from right here in America.
[34:57.000 --> 35:09.000]  Come and take it may hold meaning for Americans from recent history, but it actually dates back to being used in 480 BC in the battle of Thermopylae as Milan Le Bay by Spartan King Leonidas.
[35:09.000 --> 35:19.000]  It has since become a symbol of defiance here in America, along with the imagery of a black star and cannon in the flag used by Texans during the state's revolution against Mexico.
[35:19.000 --> 35:34.000]  Both sides of the coin depict these historical uses of the phrase with one side having a rendition of a Spartan helmet and the inscription of come and take it and the reverse side having a rendition of the cannon and the inscription free men bear arms.
[35:34.000 --> 35:44.000]  Go to 1776coin.com today to secure your founding member coin. Hurry before they're gone as there will only be 10,000 in existence.
[35:44.000 --> 35:53.000]  That's right. And just like PBS does fundraiser drives, but they're given billions by the Rockefeller Foundation, others were given none of that money by the globalist or, you know, those types.
[35:53.000 --> 36:10.000]  They'll sell a coffee cup for five, 10, 20 times what it's worth, but you know that you're somebody that's fun in the operation. Well, this is sold for about three and a half to four times, but the silver's worth because it's a historical memento of being involved in the fight and fun with the spear.
[36:10.000 --> 36:17.000]  And it's got great collector value, obviously. It's amazing and it keeps us fighting harder than ever.
[36:17.000 --> 36:31.000]  So there's only one coin in the set left and we're able to stay on air, which I believe we'll be able to. Then all the founding member folks that put their email in when they bought the coin or one of the coins or all the coins at 1776coin.com,
[36:31.000 --> 36:49.000]  you will then get not just special promo codes where you'll save the money instantly on products.com, but we're making more films. We're producing more special reports. We're planning a lot of new stuff that's a few months behind because all that's been going on, but it's all been diligently prepared.
[36:49.000 --> 36:58.000]  Founding members will get exclusive access and all of this free stuff for helping us stay on air and build more infrastructure and be more redundant.
