[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[00:07:05.852 --> 00:07:10.414]  That's just part of the global military crisis.
[00:07:11.992 --> 00:07:22.200]  Then obviously we've got diesel set to run out according to the Department of Energy within several days of the 16th.
[00:07:22.520 --> 00:07:30.006]  They say we'll be completely out by the 19th of November, just 19 days away.
[00:07:30.306 --> 00:07:31.667]  Completely out of diesel.
[00:07:31.687 --> 00:07:49.388]   Of course, everybody knows that over 70% of everything that's shipped in this country, from food to medicine, To machine parts is shipped by 18 wheelers that are diesel.
[00:07:50.969 --> 00:08:01.538]  And across the country, even most of the charging stations for electric cars are powered by diesel generators on site.
[00:08:04.961 --> 00:08:06.202]  Absolutely incredible.
[00:08:07.583 --> 00:08:10.519]   Then Even bigger news.
[00:08:11.279 --> 00:08:32.724]  Remember what broke three weeks ago that Boston University with the same old suspects Fauci, Bill Gates and others had produced last year and this year multiple strains of super COVID that kill 80% of the humanized mice that are part human chimeric clones.
[00:08:34.484 --> 00:08:36.565]  So that has the exact same effect on them as it has on humans.
[00:08:36.585 --> 00:08:45.682]   80% kill rate That's just one of 60 plus articles on the COVID takeover I have in the stack.
[00:08:45.501 --> 00:08:50.300]   out they produced the same type of combinations that killed the vast
[00:08:50.300 --> 00:08:59.221]   majority of humans at a major facility in London. That's just one of 60 plus
[00:08:59.221 --> 00:09:07.540]   articles on the COVID takeover I have in the stack. We have obviously the David
[00:09:07.540 --> 00:09:13.700]   DePapa story. Now the police confirmed two men in their underwear in the
[00:09:13.700 --> 00:09:14.540]  bedroom.
[00:09:14.540 --> 00:09:24.540]  [BLANK_AUDIO]
[00:09:15.747 --> 00:09:19.149]  The window smashed from the inside out.
[00:09:19.870 --> 00:09:21.771]  It's all in the 9-1-1 tape.
[00:09:22.412 --> 00:09:28.716]  The official story we were given the first three days with Democrats, that he was a right-wing extremist saying, where's Nancy?
[00:09:29.337 --> 00:09:30.838]  Like right out of The Shining.
[00:09:32.386 --> 00:09:34.388]  Here's Johnny, where's Nancy?
[00:09:34.408 --> 00:09:38.232]  It was all a lie, as usual.
[00:09:38.813 --> 00:09:41.375]  But if you try to challenge it, you'll be taken off the internet.
[00:09:42.777 --> 00:09:48.717]   Viva Frye, the well-known popular online lawyer, he has a practice also, very successful in
[00:09:48.717 --> 00:09:52.616]  Canada, but very successful online, co-host with Bob Barnes.
[00:09:52.616 --> 00:09:57.897]   He was suspended on Twitter for daring to point out the anomalies.
[00:09:57.897 --> 00:10:00.277]  A lot of folks are in total panic mode.
[00:10:00.277 --> 00:10:02.897]  They said, "Look, Elon Musk is screwing us.
[00:10:02.897 --> 00:10:06.336]   There was a big purge over the weekend of more conservatives."
[00:10:06.336 --> 00:10:10.417]   I'm not saying he's perfect, and I'm not saying that we know what's going to happen and the
[00:10:10.417 --> 00:10:11.576]  jury's out.
[00:10:11.576 --> 00:10:17.977]   But obviously, they are doing that as activists inside Twitter to purge as many people as
[00:10:17.977 --> 00:10:20.896]  they can before he gets his managers in place.
[00:10:21.218 --> 00:10:27.624]  He just fired the head censor lawyer and the CEO Thursday evening.
[00:10:28.865 --> 00:10:35.792]  So I have a small crew here, and if they weren't behind me and working hard, they could sabotage this place in minutes, and I would know who did it.
[00:10:38.058 --> 00:10:40.179]  Imagine a giant company like that.
[00:10:40.219 --> 00:10:44.780]  So people have got to give this time to see what's happening.
[00:10:44.820 --> 00:10:46.001]  We've got some big news on that.
[00:10:46.021 --> 00:10:48.781]  The European Union says they'll criminally charge Musk.
[00:10:49.242 --> 00:10:53.303]  They'll fine him millions of dollars if he doesn't keep the censorship going.
[00:10:53.943 --> 00:10:55.504]  He's got a lot of hurdles to get past.
[00:10:55.924 --> 00:10:57.364]  May not be able to surmount them.
[00:10:58.084 --> 00:11:03.266]  But left-wing EU commissioner warns Musk, the bird will fly by our rules.
[00:11:04.406 --> 00:11:04.967]  Close quote.
[00:11:06.397 --> 00:11:07.097]  That's what we're dealing with.
[00:11:07.117 --> 00:11:11.438]  We also have the ADL that decides who can talk and who can have a bank account and who can live.
[00:11:11.458 --> 00:11:15.940]  They decide if you go to a gulag or not, both digital and soon physical.
[00:11:18.140 --> 00:11:20.081]  The ADL's come out and threatened Elon Musk.
[00:11:20.521 --> 00:11:21.921]  ADL melts down over Trump.
[00:11:22.201 --> 00:11:28.243]  Alex Jones, Steve Bannon, may return to Twitter, said would lead to dire consequences.
[00:11:29.764 --> 00:11:31.406]  So that's what we've got going on there.
[00:11:32.307 --> 00:11:45.461]  Bolsonaro, in most polls, was 5 to 10 points ahead, but polls don't matter because Bolsonaro never got control of the regional bureaucracies allied with the communists and the drug dealers who were celebrating in the streets.
[00:11:45.881 --> 00:11:50.386]  Brazil's Bolsonaro yet to concede after Lula's election victory.
[00:11:51.147 --> 00:11:56.273]  Bolsonaro is still silent after election defeat as world leaders congratulate Lula.
[00:11:56.753 --> 00:11:59.216]  Lula defeats Bolsonaro in Brazil election.
[00:11:59.876 --> 00:12:00.717]  Stop the steel leader.
[00:12:00.797 --> 00:12:03.260]  Ali Alexander calls for a military coup in Brazil.
[00:12:03.721 --> 00:12:07.344]  Intervene in the presidential election of Bolsonaro defeat.
[00:12:07.485 --> 00:12:08.706]  He did not call for that.
[00:12:09.266 --> 00:12:22.935]   When you actually read the quote, He said people need to peacefully investigate the election, and that the military needs to be standing by to stop any type of giant violence, which is going on.
[00:12:23.375 --> 00:12:35.798]  You have the truckers and the farmers blocking the roads, saying they don't buy it, that Bolsonaro won, and you've got the drug cartels running around shooting police and blowing things up and firing machine guns in the air.
[00:12:38.595 --> 00:12:41.637]  Saying they're so happy that the Communists, it looks like, are back.
[00:12:41.677 --> 00:12:48.663]  Just like the left here is allied with God's children, as Nancy Pelosi called MS-13.
[00:12:49.063 --> 00:12:51.505]  So we have that news coming up.
[00:12:51.585 --> 00:12:58.631]  A lot of election news with only eight days out from this incredibly critical midterm situation.
[00:12:59.682 --> 00:13:06.544]  The big national poll out, 8 out of 10 Americans say things are out of control, and the majority blame Democrats and want change.
[00:13:06.904 --> 00:13:32.993]   But again, the Democrats have something very special called all the mail-in ballots, and already in key battleground states like Pennsylvania and Arizona, they're saying, It may be a few days now, just like last time, until we know who the winners are, because they've got to figure out how many of those absentee ballots and how many of the fake ballots and how many of the ballots dead people voted on or folks that moved out of the state have got to be crammed into the system.
[00:13:35.134 --> 00:13:36.915]  We've got all of that news coming up.
[00:13:36.955 --> 00:13:41.256]  We've got a bunch of pedo news all over the world.
[00:13:41.837 --> 00:13:49.800]   Pedos don't dress up like grandma, the old parable of the Wolf in a Sheep's Clothing or Little Red Riding Hood.
[00:13:50.360 --> 00:13:57.446]  Now they dress up like babies or children and demand to be identified as children and have access to your children.
[00:13:58.828 --> 00:14:01.710]  We've got some shocking videos of that coming up.
[00:14:03.191 --> 00:14:09.077]  Also, largest group we've ever seen, swarm of illegals invade Texas Ranch.
[00:14:10.758 --> 00:14:12.159]  We're going to be laying that out.
[00:14:12.199 --> 00:14:13.941]  This is going to be a big, big broadcast.
[00:14:14.996 --> 00:14:33.423]  Judge Joe Brown is also going to be joining us to cover the election, the mounting censorship, the insanity in the streets of America and around the world, the situation escalating out of control in Ukraine, and so much more.
[00:14:33.944 --> 00:14:37.425]  By the way, I didn't get to this yesterday on the Sunday show, but we'll get to it today.
[00:14:38.516 --> 00:14:40.217]  Have you guys re-pulled that out of yesterday's stack?
[00:14:40.738 --> 00:14:49.644]  The incredible footage shot and released by the Ukrainians of drone boats that are about 25 feet long, loaded with explosives.
[00:14:50.925 --> 00:14:53.107]  They use Starlink to target their attacks.
[00:14:54.704 --> 00:15:04.312]  That drive up the side and sunk one frigate a few months ago and damaged a minesweeper and another frigate over the weekend.
[00:15:04.372 --> 00:15:18.344]  On Saturday, there was a ceasefire in a key port area, an agreement signed in July between Russia and Ukraine, brokered by Turkey, that they would not attack ships at that port, allowing the Ukrainian grain out to the world.
[00:15:18.965 --> 00:15:22.228]  But being a terrorist, Zelensky, of course, is taking credit.
[00:15:23.302 --> 00:15:31.864]  We're not just blowing up the bridge, but now attacking the ships in the harbor with torpedoes.
[00:15:32.744 --> 00:15:33.584]  Drone torpedoes.
[00:15:34.045 --> 00:15:34.905]  It's all coming up.
[00:15:35.365 --> 00:15:36.585]  Infowars.com.
[00:15:36.905 --> 00:15:38.145]  Tomorrow's news today.
[00:15:39.746 --> 00:15:40.806]  Welcome back, my friends.
[00:15:44.367 --> 00:15:55.056]   What we're facing is megacorporations directing authoritarian takeovers across the world, unifying it under the rubric of the COVID virus.
[00:15:57.117 --> 00:16:01.780]  And obviously I have met with Bolsonaro's son, who is a member of the Congress.
[00:16:03.441 --> 00:16:04.942]  They're big supporters of the broadcast.
[00:16:04.962 --> 00:16:05.863]  They're big patriots.
[00:16:05.883 --> 00:16:08.325]  We have a lot of connections to Bolsonaro.
[00:16:08.365 --> 00:16:12.688]  I was invited down there to interview Bolsonaro, but have just been too tied down to do it.
[00:16:13.348 --> 00:16:21.897]  We reached out to one of his personal friends, one of his best friends, who's a national media figure, and said, can you come on?
[00:16:22.077 --> 00:16:24.579]  And he just told us, I cannot come on.
[00:16:25.320 --> 00:16:27.743]  We are having to evacuate Brazil.
[00:16:28.993 --> 00:16:33.554]  Not Bolsonaro, but they're gonna target and try to put in prison Bolsonaro.
[00:16:33.954 --> 00:16:35.255]  He's gonna stay and go down with the ship.
[00:16:36.095 --> 00:16:42.476]  But that's how serious this situation is, ladies and gentlemen.
[00:16:43.997 --> 00:16:47.137]  So, this is not a game.
[00:16:48.798 --> 00:16:51.198]  Bolsonaro's already been brutally stabbed, you name it.
[00:16:51.859 --> 00:16:53.899]  Wildly popular, probably won by 20 points.
[00:16:55.259 --> 00:17:01.830]   But he got control of the drug gangs and Shielded resilience from the deadly shot to a great extent.
[00:17:03.291 --> 00:17:10.473]  The UN's been trying to indict him over that, calling it a crime against humanity to not give him poison experimental shots that violate the Nuremberg Code.
[00:17:12.054 --> 00:17:14.435]  And so now they're openly saying they're going to put him in prison.
[00:17:15.715 --> 00:17:25.639]  He doesn't have any shot but either escaping or he can go with the military and stand up to this communist takeover.
[00:17:28.041 --> 00:17:29.862]  I notice Democrats want to overthrow every election.
[00:17:29.902 --> 00:17:33.783]  They said when Trump won, they would never accept it.
[00:17:33.863 --> 00:17:35.183]  That's what the New York Times said.
[00:17:35.383 --> 00:17:38.865]  It's what Rahm Emanuel said.
[00:17:38.905 --> 00:17:39.845]  It's what Hillary Clinton said.
[00:17:39.865 --> 00:17:41.205]  They were all in the New York Times saying it.
[00:17:42.146 --> 00:17:44.326]  Pelosi was on TV saying he will go one way or the other.
[00:17:44.346 --> 00:17:47.947]  We'll just have our own inauguration somewhere else and say that Biden's the president.
[00:17:48.448 --> 00:17:51.969]  But then when we question clear fraud, oh, we're crazy conspiracy theorists.
[00:17:51.989 --> 00:17:52.589]  We're terrorists.
[00:17:53.309 --> 00:17:53.769]  We're evil.
[00:17:57.461 --> 00:18:04.522]  Now the focus is on the fraud in Brazil.
[00:18:05.162 --> 00:18:05.762]  It's a coup.
[00:18:05.822 --> 00:18:11.283]  Team Biden bragged about rigging Brazil election against President Bolsonaro before election day.
[00:18:12.063 --> 00:18:15.704]  Says stop the steel leader, Ali Alexander, that joins us next hour.
[00:18:15.724 --> 00:18:27.166]  And they indeed did brag and said on Friday that the United States, meaning Biden and Obama, will not tolerate anyone challenging an election.
[00:18:29.486 --> 00:18:32.508]  Only they are allowed to do that.
[00:18:33.689 --> 00:18:41.134]  But Bolsonaro is not conceded yet, so everything is still up in the air.
[00:18:43.435 --> 00:19:08.570]   Meanwhile here in the United States, Hillary Clinton and other Democrats have taken to the airwaves, the videos on Infowars.com, and said that if Republicans win the House and or the Senate, that it is fraud And that the election has been stolen.
[00:19:09.130 --> 00:19:17.816]  Video DCCC Chair defends Hillary Clinton declaring next election may be stolen.
[00:19:17.836 --> 00:19:29.544]  Appearing on CBS Face the Nation Sunday, Democratic Congressional Campaign Committee Chair John Patrick Maloney defended Hillary Clinton's baseless assertion that right-wing extremists are plotting to steal the next presidential election.
[00:19:30.888 --> 00:19:33.910]  So, talk about true double-think here.
[00:19:35.611 --> 00:20:01.355]   You can't question trucks the middle of the night arriving, ballots only marked for Biden, all of them for Biden, running the same stacks over and over again on surveillance video, postal workers going public and others saying they had whole trucks, whole vehicles full of nothing but Biden ballots being shipped across state lines to places like Pennsylvania.
[00:20:03.136 --> 00:20:08.719]  All the drop boxes with hundreds of people per drop box with sometimes dozens and dozens of ballots putting them in.
[00:20:09.300 --> 00:20:10.741]  All the illegal ballot harvesting.
[00:20:11.741 --> 00:20:18.305]  As we highlighted last week, Hillary claimed that right-wing extremists already have a plan to literally steal the next presidential election.
[00:20:18.845 --> 00:20:20.366]  And they're not making a secret of it.
[00:20:21.309 --> 00:20:28.014]  Adding that the right-wing-controlled Supreme Court may be poised to rule on giving state legislators the power to overturn presidential elections.
[00:20:28.054 --> 00:20:29.655]  Just think if that happens in 2024.
[00:20:29.915 --> 00:20:35.499]  But they're also talking about it happening here in just the next few days.
[00:20:36.240 --> 00:20:36.560]  Poll.
[00:20:36.640 --> 00:20:39.382]  Almost 8 out of 10 Americans say things are out of control.
[00:20:39.842 --> 00:20:45.967]  CBS News Battleground tracker poll finds 79% think the country's out of control.
[00:20:46.347 --> 00:20:47.388]  Majority blame Biden.
[00:20:50.967 --> 00:20:54.609]  This is a big, big deal.
[00:20:56.130 --> 00:21:07.518]  So we'll continue to track and monitor the situation in Brazil, but you notice they're trying to arrest the populist political opposition to the globalists.
[00:21:08.499 --> 00:21:14.583]  Let's roll with audio some of the video of truckers blocking roads protesting, the farmers protesting.
[00:21:15.936 --> 00:21:17.877]  That Bolsonaro is having the election stolen.
[00:21:18.317 --> 00:21:20.778]  Meanwhile, the drug cartels and criminals are celebrating.
[00:21:23.079 --> 00:21:33.079]  [FOREIGN]
[00:21:33.079 --> 00:21:46.199]  Let's jump ahead to the narcos celebrating.
[00:21:46.199 --> 00:21:56.198]  [BLANK_AUDIO]
[00:21:48.389 --> 00:22:12.768]  You notice the communists have guns.
[00:22:14.628 --> 00:22:18.570]  It's not the general public, but Bolsonaro is changing that, and they don't like it.
[00:22:18.871 --> 00:22:29.697]  Only the communists and the drug gangs that work for him get the guns in communist areas around the world, in blue cities, in America.
[00:22:31.360 --> 00:22:32.220]  Wow, all right.
[00:22:32.820 --> 00:22:33.921]  In a few minutes we're gonna go to break.
[00:22:33.941 --> 00:22:38.081]  I'm gonna come back and drill into the diesel shortage and how huge that is.
[00:22:38.101 --> 00:22:39.542]  I mean, words can't describe it.
[00:22:39.582 --> 00:22:46.023]  And then more labs, we learn, in the West have weaponized cobra that kills 80% of humans that come in contact with it.
[00:22:46.983 --> 00:22:48.644]  They're just reporting it like it's no big deal.
[00:22:48.684 --> 00:22:51.884]  This is so illegal, so criminal, so insane.
[00:22:52.464 --> 00:23:04.403]   Now, let me just tell the listeners, we have been so busy and so overwhelmed here that We have not ended the biggest sale of the year yet, but we have to because a bunch of these items are about to sell out.
[00:23:04.803 --> 00:23:05.884]  A few of them have sold out.
[00:23:07.565 --> 00:23:10.047]  And so I talked to my crew.
[00:23:10.067 --> 00:23:11.908]  I'm going to cut new ads today.
[00:23:12.929 --> 00:23:15.311]  And we'll have some new sales that are going to start on Wednesday.
[00:23:15.771 --> 00:23:24.437]  So this is the last chance today and tomorrow to get up to 60% off at InfoWarsTore.com with promo code 1776.
[00:23:26.940 --> 00:23:29.801]  That's 60% off on DNA Force Plus.
[00:23:29.881 --> 00:23:32.402]  Incredible what it does for your body, your immune system, your health.
[00:23:33.442 --> 00:23:35.762]  60% off on X3, the total missing link.
[00:23:36.223 --> 00:23:42.164]  All three good types of iodine for your entire cellular function, body, telomeres, DNA, you name it.
[00:23:42.684 --> 00:23:43.825]  It is 60% off with promo code 1776.
[00:23:43.704 --> 00:23:52.184]   off with promo code 1776. Rainforce Plus 60% off. Vitamin Mineral Fusion 60% off.
[00:23:52.184 --> 00:23:57.664]   Physic Magnesium about to sell out 60% off. Organic Green Fibers 60% off.
[00:23:57.664 --> 00:24:03.464]   Super Male Vitality and Female Vitality 60% off. Ultimate Krill Oil 50% off with
[00:24:03.464 --> 00:24:06.743]  promo code. Knockout Sleep Support 50% off with promo code.
[00:24:06.743 --> 00:24:07.903]  Alpha Power 50% off.
[00:24:07.903 --> 00:24:14.223]   Unlimited Supply. Vitamin D3 Gummies, Vaso Beads, all of it 50 to 60% off.
[00:24:14.223 --> 00:24:20.144]  The evidence of organized election fraud in key regions.
[00:24:19.747 --> 00:24:24.670]  Against Bolsonaro and his populist movement are coming in.
[00:24:24.710 --> 00:24:26.512]  We'll get to more of that coming up.
[00:24:26.532 --> 00:24:32.736]  But first, I want to hit the big immediate crisis, not just here but around the world, but it's going to hit Americans so hard.
[00:24:34.037 --> 00:24:38.320]  Already, the average price of diesel is over $5 a gallon.
[00:24:38.720 --> 00:24:41.222]  In some areas, it's approaching $9 a gallon.
[00:24:42.242 --> 00:24:47.046]  That will pass on massive increases in prices of everything.
[00:24:49.138 --> 00:24:50.279]  But never in U.S.
[00:24:50.319 --> 00:24:54.182]  history have we had no diesel.
[00:24:56.604 --> 00:25:04.764]   And it is estimated by the Department of Energy and the Department of Transportation
[00:25:04.764 --> 00:25:12.683]  that we will be 100% out of diesel on the 19th.
[00:25:12.683 --> 00:25:14.844]  This is direct sabotage.
[00:25:14.921 --> 00:25:16.122]  Shutting down refineries.
[00:25:16.462 --> 00:25:17.602]  Shutting down pipelines.
[00:25:18.022 --> 00:25:19.042]  Shutting down drilling.
[00:25:20.623 --> 00:25:36.026]  Shutting down imports of Russian diesel, which was still just a few percentage points of what we got, but that's enough to cause the chain reaction, when we've been running for decades on just enough, just-in-time delivery.
[00:25:36.586 --> 00:25:37.886]  And what has Biden been doing?
[00:25:38.167 --> 00:25:38.547]  Obama.
[00:25:39.047 --> 00:25:39.867]  His third administration.
[00:25:41.246 --> 00:25:45.202]  Draining the Strategic Oil Reserve as well to the lowest point it's ever been.
[00:25:48.007 --> 00:25:49.809]  We are being maneuvered into total collapse.
[00:25:49.949 --> 00:25:52.871]  And remember what I started telling you two and a half years ago?
[00:25:52.931 --> 00:26:01.138]  I said next they're going to have climate lockdowns and say for the earth you're not allowed to leave your house unless you have a carbon ration on your smartphone.
[00:26:01.498 --> 00:26:02.359]  How did I know that?
[00:26:03.119 --> 00:26:15.590]  Because the World Economic Forum and the big globalist universities like Oxford and Harvard and the rest of them had been proposing for decades a carbon credit with a carbon ration score.
[00:26:17.116 --> 00:26:18.577]  I don't predict this stuff.
[00:26:18.657 --> 00:26:21.198]  I'm following their battle plan.
[00:26:23.339 --> 00:26:39.547]  And within a year of me telling you that was going to happen, the London Guardian, the New York Times, the Australian, all of them came out and said the lockdowns have been good for the earth and we need the equivalent of a COVID lockdown every two years to lower carbon.
[00:26:39.887 --> 00:26:43.509]  And even India in major cities has had days we are not allowed to drive.
[00:26:45.402 --> 00:26:45.822]  Report.
[00:26:45.862 --> 00:26:51.686]  World needs equivalent of pandemic lockdown every two years to meet Paris carbon emission goals.
[00:26:54.147 --> 00:26:55.608]  And now, here they are.
[00:26:55.728 --> 00:26:56.609]  And it's not my opinion.
[00:26:56.989 --> 00:26:58.190]  What did Booty Judge say?
[00:26:59.510 --> 00:27:02.412]  The head of the Department of Transportation.
[00:27:03.193 --> 00:27:05.294]  What did Granholm, the head of the Department of Energy say?
[00:27:06.795 --> 00:27:07.675]  They've said it over and over again.
[00:27:07.715 --> 00:27:08.276]  So has Biden.
[00:27:08.296 --> 00:27:09.736]  They said this is a transition.
[00:27:11.017 --> 00:27:11.778]  So have the Clintons.
[00:27:13.041 --> 00:27:14.842]  So has Bill Gates two weeks ago.
[00:27:14.862 --> 00:27:25.805]  This is a healthy transition to make us go electric, even though there's not enough rare earth minerals in the world to make all the cars be able to operate off batteries.
[00:27:25.865 --> 00:27:27.105]  It's all a fraud.
[00:27:27.745 --> 00:27:33.327]  They're giving you this excuse for the shell game of, oh, this will replace it, but there's no plan to replace it, and they can't replace it.
[00:27:35.871 --> 00:27:38.193]  How the diesel shortage is being felt globally.
[00:27:38.253 --> 00:27:39.274]  Big NPR article.
[00:27:39.654 --> 00:27:43.797]  The diesel market is a perfect storm as prices surge, supplies dwindle ahead of winter.
[00:27:45.239 --> 00:27:49.822]  Fuel company issues diesel shortage warning, says conditions rapidly developing.
[00:27:51.504 --> 00:27:54.886]  Diesel shortage update as prices skyrocket, fears supply could run out.
[00:27:57.568 --> 00:27:58.549]  It's not a fear.
[00:28:00.731 --> 00:28:03.073]  The Department of Energy says it will be gone.
[00:28:05.233 --> 00:28:06.053]  They will be out.
[00:28:07.654 --> 00:28:13.757]  And then it's almost impossible to scale back up quickly because it's mainly trucks that are delivering the diesel.
[00:28:14.097 --> 00:28:21.260]  Yes, a lot of diesel gets delivered by pipelines, but then it has to be broken up in the pipeline in the big tanks and then delivered to the stations.
[00:28:21.580 --> 00:28:26.943]  They don't have the infrastructure at the tank yards to fill the 18 wheelers.
