[00:00.000 --> 00:20.800]  Infowars, the most banned network in the world.
[13:08.800 --> 13:16.800]  Polls suggest a large number of Americans will refuse a vaccine. Most of them are Republicans, supporters of former President Donald Trump.
[13:16.800 --> 13:21.800]  How some groups would not want to do it for reasons that I just don't understand.
[13:21.800 --> 13:27.800]  Even if it doesn't prevent you from getting COVID, I'm double-boosted. I got it myself here just the last week or so.
[13:27.800 --> 13:32.800]  It makes the symptoms a lot less severe. It gets you back on duty.
[13:32.800 --> 13:39.800]  A survey by the Kaiser Family Foundation found 29% of the healthcare workers' question likely would not get the vaccine.
[13:39.800 --> 13:41.800]  Why did you decide to put your livelihood on the line?
[13:41.800 --> 13:54.800]  I felt that what they were doing, what they have done, is they've basically held for ransom, your health insurance, your benefits, your livelihood, your career in some cases.
[13:54.800 --> 14:03.800]  So they've gone from having a helpless population to believe every word they were saying and massive uptake of this garbage that erases your immune system and doesn't protect you.
[14:03.800 --> 14:09.800]  But now the CDC is saying, oh, we made big mistakes. It doesn't protect you. We lied to you, but it was for your own good.
[14:09.800 --> 14:12.800]  We made some pretty public mistakes and we need to own them.
[14:12.800 --> 14:17.800]  The CDC says the review found the agency's COVID guidance was confusing and overwhelming.
[14:17.800 --> 14:30.800]  We have the CDC document from 2000 and others where they said it isn't going to work and it's going to cause massive heart attacks, heart swelling, blood clots, infertility, strokes, the list goes on and on.
[14:30.800 --> 14:39.800]  I'm one of the few people along with my 3,500 experts who have looked at the Pfizer documents and I can tell you they knew from a month after the rollout that they did not work.
[14:39.800 --> 14:52.800]  So the reason I say mass murder with such calmness is that if, and not only that, the FDA knew, because at the bottom of these documents it says FDA confidential, the FDA has custody of these 50,000 documents that Pfizer was forced to reveal.
[14:52.800 --> 15:02.800]  So they knew that they didn't work. They knew three months in that 1,200 people were dead, four of them the day they were injected and they kept going.
[15:02.800 --> 15:08.800]  They knew in April of last year that children's hearts were being damaged a week after the injection and they kept going.
[15:08.800 --> 15:31.800]  99 plus percent reduction in people taking it. Now what happens when 99% say no? All the intimidation, all the threats that people have been under in health care and government and the military being tortured with this and seeing their friends and family get sick and die,
[15:31.800 --> 15:39.800]  they say you know what, screw you, everybody's on my side and you have that tipping point, that turning point.
[15:39.800 --> 15:59.800]  This is spectacularly positive news and this information from this show needs to be clipped out and needs to be spread to the forewinds because this is victory.
[15:59.800 --> 16:13.800]  Think about a world without InfoWars. Just take a moment and sit back and think about all the incredible guests and callers and stories we've broken together, this family that is InfoWars.
[16:13.800 --> 16:29.800]  Think about how InfoWars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and other foreign leaders like Nigel Farage as being the main impetus towards firing up their main base to defeat the New World Order.
[16:29.800 --> 16:39.800]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[16:39.800 --> 16:47.800]  I don't take the credit. I give you the credit. And now InfoWars is facing its darkest hours. It isn't going to give up.
[16:47.800 --> 16:59.800]  Without your support we can be shut down. Please go to saveinfowars.com today. Saveinfowars.com today and donate for our Legal Defense Fund.
[16:59.800 --> 17:11.800]  I have been in a 28-year marathon battle with a globalist. I have come from nowhere to the very heights of politics not just in America but in the world.
[17:11.800 --> 17:18.800]  We are engaging the globalists at point-blank range in the information war. But I don't deserve the credit.
[17:18.800 --> 17:31.800]  Yes, I've persevered. But the listeners and viewers who support InfoWars are the real reason you've had this success. We're having now the greatest victories in the fight against the New World Order you've ever had.
[17:31.800 --> 17:44.800]  We are now entering the final mile of the marathon. And that's why today it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been carrying out and to intensify them.
[17:44.800 --> 17:58.800]  God bless you all. I salute you. I thank you. And I beg you to intensify what you're doing now because we are over the target and this streak is happening. The fight is my fight. It's your fight. It's our fight. God bless you all.
[18:15.800 --> 18:26.800]  The most exciting of all these incredible products is X3. All three of the very best types of iodine that are natural and pure that should get into your cells are in X3.
[18:26.800 --> 18:36.800]  The deeper crystal iodine and two other types to maximize full absorption. This really is the missing link. X3 sold out for a long time is finally back in stock.
[18:36.800 --> 18:47.800]  Available at infowarstore.com or by calling toll free triple eight two five three three one three nine. Now it takes a few weeks for this high quality iodine to kick in.
[18:47.800 --> 18:58.800]  But almost everybody after that feels the effects. It's not a sphere immune system, but it's for your energy and so much more X3 back in stock at infowarstore.com 50% off.
[18:58.800 --> 19:11.800]  Ladies and gentlemen, the biggest sale of 2022 is now live at infowarstore.com. It's the infowarstore super sale 40 to 50% off all products in the store.
[19:11.800 --> 19:21.800]  Survival Shield X3 sold out for almost six months back in stock. 50% off brain force ultra back in stock. 50% off brain force plus back in stock.
[19:21.800 --> 19:33.800]  Back in stock. 50% off DNA force plus back in stock. 50% off physics magnesium both of the highest quality types of magnesium. Nobody else has got that 50% off organic greens fiber caps highest quality 50% off
[19:33.800 --> 19:51.800]  survival vitality feel vitality 50% off ultimate creole back in stock 40% off knockout sleep support 40% off it goes on and on vitamin D3 gummies 40% off vasolabies 40% off ultimate fish oil 40% off. You need to do this for your immune system has fallen winter plus it funds the info war.
[19:51.800 --> 19:59.800]  Thank you for your support. The only way you lose is not going to infowarstore.com and getting 40 to 50% off on all these amazing products.
[19:59.800 --> 20:10.800]  Leading a frontal assault on the lies of the New World Order. It's Alex Jones.
[20:10.800 --> 20:34.800]  The United States and NATO have surrounded Russia. Eight years ago they overthrew an elected government in Ukraine and began combat operations against Russian held areas.
[20:34.800 --> 20:44.800]  In February of this year on the 24th the Russians invaded those areas they now annexed about 10% of the eastern area of the nation.
[20:44.800 --> 20:59.800]  Zelensky that we know of has had over $80 billion just since late February pumped into the country much of it is admitted to have been laundered back to the deep state in Europe and the United States.
[20:59.800 --> 21:07.800]  Zelensky is getting all these high tech weapons more and more heavy weapons. He's demanded aircraft you name it.
[21:07.800 --> 21:21.800]  He's got missiles that can be fired and travel up to 100 miles into Russia and now Zelensky came out yesterday the full speech is on info wars.com.
[21:21.800 --> 21:32.800]  Zelensky says NATO must launch preemptive strikes on Russia. Preemptive strikes are needed so that they know what awaits them if they use nuclear weapons.
[21:32.800 --> 21:46.800]  Zelensky told the Lowy Institute on Thursday not the other way around waiting for Russian nuclear strikes and saying oh you've done that then get this.
[21:46.800 --> 21:53.800]  Zelensky widely regarded as an extracipient of the Nobel Peace Prize.
[21:53.800 --> 21:59.800]  They gave it to Henry Kissinger and other warmongers so in Obama so why not.
[21:59.800 --> 22:09.800]  That's what you get now they should posthumously give Hitler or Stalin or Genghis Khan the Nobel Peace Prize.
[22:09.800 --> 22:19.800]  They've made such a joke out of themselves. We'll play the clip of him saying this here in a moment but do I need to tell listeners and viewers how dangerous this is.
[22:19.800 --> 22:27.800]  I don't think you need me to tell you do you. But in case you're a leftist that just tuned in that loves war and pedophilia and open borders and fentanyl and collapse and death.
[22:27.800 --> 22:34.800]  Russia has one of the biggest nuclear arsenals in the world. They say the biggest. The US actually has the biggest. I can tell you most of it's secret.
[22:34.800 --> 22:43.800]  But it doesn't matter if the West would destroy Russia they will destroy us. It's why it's called mutually assured destruction or mad.
[22:43.800 --> 22:57.800]  Anyone that wants to violate that is mad. And of course Biden came out and told a group of Democrat fundraisers at a fundraising event in New York yesterday that we're on the verge of Armageddon nuclear Armageddon.
[22:57.800 --> 23:06.800]  And the end of humanity as we know it which is actually a true statement rarely coming out of the geriatric puppets mouth.
[23:06.800 --> 23:26.800]  So now peace is preemptively and he's implying nuclear weapons attacking Russian bases inside Russia which would make NATO in the West war criminals at a greater level than anyone in history.
[23:26.800 --> 23:33.800]  And they're just calmly talking about it. Now at first when this came out yesterday when I was still on air the left was saying it's not real it's a deep fake.
[23:33.800 --> 23:49.800]  No Zalinsky came out said no it's real. And now they're defending it saying well yeah. In fact in the last few weeks I've seen articles in the London Guardian a bunch of other publications saying nuclear war is on the table and we should just go ahead and hit Russia first.
[23:49.800 --> 23:56.800]  And the Pentagon has a lot of war planners that say we should strike Russia first which then again makes them have a hair trigger as well.
[23:56.800 --> 24:01.800]  So if you want to destroy human life and civilization this is a really good way to get it going.
[24:01.800 --> 24:07.800]  There have been articles about how a nuclear war would reverse global warming and is good in the last week.
[24:07.800 --> 24:14.800]  So we're hearing all about this great thing called nuclear war. They were telling us a year ago inflation is good for you too.
[24:14.800 --> 24:24.800]  Well if you thought inflation was bad well try nuclear war. Breaking Zalinsky says NATO must launch preemptive strikes on Russia. Here is the dictator saying that.
[24:44.800 --> 24:54.800]  So the famous gay porn star, now the president of the United States, is going to launch preemptive strikes on Russia.
[24:54.800 --> 25:04.800]  And the president of the United States is going to launch preemptive strikes on Russia.
[25:04.800 --> 25:25.800]  So the famous gay porn star, now the president of Ukraine, he was elected but now he's made himself a dictator on record, is saying the way we have pieces we attack Russia,
[25:25.800 --> 25:35.800]  he's clearly talking about nuclear weapons before they use them on us. Kind of a big deal right? Kind of a big deal. That's what you call massive escalation.
[25:35.800 --> 25:42.800]  Here's a report on Infowars.com, it's got the quotes. Biden warns of nuclear Armageddon.
[25:42.800 --> 25:49.800]  U.S. President Joe Biden has said the risk of nuclear war is at the highest level since the peak of the Cold War breaks the ship in the 1960s.
[25:49.800 --> 25:56.800]  That's the Cuban Missile Crisis. He further claimed that Russia could seek to deploy some of its huge arsenal in Ukraine.
[25:56.800 --> 26:02.800]  Speaking at a fundraiser, Democrat candidates in New York on Thursday, Biden invoked a biblical reference.
[26:02.800 --> 26:11.800]  The warn of potential nuclear annihilation, stating that soaring hostilities between Russia and Ukraine are with the West escalate to outright quote Armageddon.
[26:11.800 --> 26:21.800]  Here's the quote. For the first time since the Cuban Missile Crisis, we have a direct threat of the use of nuclear weapon.
[26:21.800 --> 26:29.800]  If in fact these continue down the path they are going, the president said apparently referring to the war still raging in Eastern Europe.
[26:29.800 --> 26:34.800]  We have not faced the prospect of Armageddon since U.S. President John F. Kennedy.
[26:34.800 --> 26:43.800]  Biden went on to assert that the Russian military significantly underperforming Ukraine, saying that could raise the stakes in the conflict, ultimately leading to dangerous spike in violence,
[26:43.800 --> 26:47.800]  should Moscow become desperate, which Moscow is becoming desperate.
[26:47.800 --> 26:54.800]  A bunch of quotes, Brigadier Generals and others talking about imminent nuclear war, it goes on from there.
[26:54.800 --> 27:03.800]  Here, let's just read these. Despite the president's dire warning, Robert Whitehouse Press Secretary said earlier this week that officials had not seen any reason to adjust
[27:03.800 --> 27:11.800]  our own strategic nuclear posture, as there is no indication that Russia is preparing to immediately use nuclear weapons.
[27:11.800 --> 27:18.800]  But other Pentagon officials said that nuclear war may be needed, and I played some of those clips yesterday.
[27:18.800 --> 27:22.800]  So that's where we are right now.
[27:22.800 --> 27:34.800]  Then there's lots of fake and seniorary news where the Russians will bury dead Ukrainian soldiers with crosses, with their information, and then they come dig them up and call them a mass grave.
[27:34.800 --> 27:45.800]  Well, they've done it again. Gold teeth Ukraine recovered from Russian mini Auschwitz torches chamber were actually from village dentist who was saving them up to melt them down,
[27:45.800 --> 27:56.800]  which my dad was a dentist. Sometimes his patients didn't want the tooth with the gold on it, he would pile them up, pull it off the pliers, and then he melted and made my mom some beautiful necklaces, bracelets,
[27:56.800 --> 28:02.800]  and rings that she still has today out of people's teeth.
[28:02.800 --> 28:16.800]  I'd have a sit there at a work bench he had at night. Probably going to do it was about 10 was probably the last time he made jewelry. He made his brother a ring too, says JoLynn Jones on it, and he made himself a ring, said David R. Jones.
[28:16.800 --> 28:23.800]  But he would sit there and smelt it, heat it up, purify it, and then make a cast, and then pour it, and he made some really nice jewelry.
[28:23.800 --> 28:32.800]  And that's what this guy was doing. That now turns into they have death camps like the Nazis pulling people's teeth up.
[28:32.800 --> 28:40.800]  Meanwhile, Zelensky signs law that rules out Ukraine peace talks with Putin as impossible. What a nice guy.
[28:40.800 --> 28:56.800]  All right, we're going to move on to the massive COVID-19 death shot news that's just even top chess stage news, and then we're going to look at the sterilization of our children's invasion taking place in so much more.
[29:10.800 --> 29:24.800]  If you're backing of this operation that I could steadfastly despite the censorship and the boycotts and the attacks and the lawsuit stay on air, but now we're reaching the most critical juncture in the fight together.
[29:24.800 --> 29:38.800]  So I want to ask all of you today to help keep me on the air. In my decades on air, I've never asked for personal donations, but I'm being forced by the bankruptcy court to pay for 40% of the legal fees, and I can't fund those myself.
[29:38.800 --> 29:52.800]  It's unsustainable. So please visit SaveInfoWars.com. SaveInfoWars.com where you can make straight donations, $5, $10, $50, $100, whatever you can, so that I can continue to persevere.
[29:52.800 --> 29:59.800]  I'll never give up. I'll never give in, but I could give out. Thank you for your support. Wouldn't be without you. SaveInfoWars.com.
[29:59.800 --> 30:10.800]  The will of God and by God working through you and your support, InfoWars continues to persevere against attacks never before seen in the Western world against independent media.
[30:10.800 --> 30:19.800]  Thanks for keeping me in the fight. And over the years, you have come to the table. You have stepped to the plate so many times and kept InfoWars and Free Speech on the air, and I thank you.
[30:19.800 --> 30:25.800]  But now I have my own legal bills that have reached the point that I can't pay them and I need your support.
[30:25.800 --> 30:34.800]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalist, please visit SaveInfoWars.com.
[30:34.800 --> 30:46.800]  And SaveInfoWars.com takes you to a URL that gives in go for Direct Alex Jones Legal Defense Fund. This whole phase of their attacks, four years in the making, is almost over.
[30:46.800 --> 30:50.800]  And right at the end, we're not giving up. We're not giving in, but we could give out.
[30:50.800 --> 30:58.800]  So please, if you support what we're doing and want to fight for liberty and freedom in just in the future, go to SaveInfoWars.com today.
[31:21.800 --> 31:35.800]  We're having now the greatest victories in the fight against the new order we've ever had. We are now entering the final mile of the marathon.
[31:35.800 --> 31:44.800]  And that's why today it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been tearing out and to intensify it.
[31:44.800 --> 31:53.800]  God bless you all. I salute you. I thank you. And I beg you to intensify what you're doing now because we are over the target and this brief is happening.
[31:53.800 --> 31:58.800]  The fight is my fight. It's your fight. It's our fight. God bless you all.
[31:58.800 --> 32:13.800]  The biggest sale of 2022 is now live. It's only running in the last week of September and the first week of October. Dozens of our best-selling products are finally back in stock and they're 40 to 50% off across the board.
[32:13.800 --> 32:25.800]  And the most important of them all is Survival Shield X3. All three types of the very best iodine documented to not just boost your libido, your stamina, your health, your energy, your cells, your immune system,
[32:25.800 --> 32:38.800]  but to overall give you more energy. It's the foundation of everything from energy to fertility. X3, 50% off, is finally back in stock exclusively at infowarstore.com.
[32:38.800 --> 32:46.800]  You've heard the callers. You've seen the rave reviews. Now experience X3 for yourself exclusively at infowarstore.com, 50% off.
[32:46.800 --> 32:55.800]  And while you're there, check out some of the other great products that are finally back in stock and massively discounted as well. Part of the infowarstore super sale running for two weeks only.
[32:55.800 --> 33:20.800]  Again, X3 back in stock, 50% off.
[33:20.800 --> 33:29.800]  I want to get back into the nuclear war threat and how it ties down to the shutdown of the economy, replacement migration. What the Kato Institute is up to is saying we need to shut off jobs to punish white people in America.
[33:29.800 --> 33:39.800]  I'm not kidding. This is the new world order running. These people are Nazis, 2.0, very sophisticated posings leftist, but we're going to be getting to that in a moment.
[33:39.800 --> 33:47.800]  But here is a little piece we put together three months ago, warning of how the situation in Ukraine would escalate into the potential for nuclear war.
[33:47.800 --> 33:59.800]  When you have US senators in both parties saying we may need to go ahead and nuke Russia first and the Russians are aware that's almost happened before, what do you think that makes the Russians do?
[33:59.800 --> 34:03.800]  Well, it makes them go into war mode.
[34:03.800 --> 34:14.800]  So I don't like them invading Ukraine. I don't like him putting his nuclear forces on maximum alert. Only one level above that on their death con, just like our system, and that's fire the weapons.
[34:14.800 --> 34:23.800]  And so now we have Democrats all over the news saying let's just use nuclear weapons on Russia. Think of their interests.
[34:23.800 --> 34:33.800]  Russia has hundreds of submarines off our coast with sea-launched missiles that would vaporize our cities within five minutes on average of being launched.
[34:33.800 --> 34:43.800]  Sea-launched cruise missiles that fly at Mach 5, land-launched systems that can also launch from ships that are at Mach 9 and cannot be shot down.
[34:43.800 --> 34:52.800]  And yes, the United States has those too. That's a Pentagon lie that the Russia developed system that we don't have. It's on record the US has those systems.
[34:52.800 --> 35:02.800]  The point is it's called mutually assured destruction or mad for a reason because anyone that would violate the mad doctrine is insane.
[35:02.800 --> 35:12.800]  And you know, I'm on the side of not having nuclear war, especially when Russia is not starting to fight with us, and especially after we just heard for years that everything happening in this country is run by Russia
[35:12.800 --> 35:16.800]  when that was all a giant lie. The globalists are the outside evil force.
[35:21.800 --> 35:29.800]  For a year and a half I've been starting the show with air raid sirens. Previously I only played air raid sirens two or three times a year.
[35:29.800 --> 35:40.800]  To really note that we were in danger. Now it's every day. Because that's the sound you hear. Air raid sirens are still up in Austin, Dallas, Texas and towns wherever you live.
[35:40.800 --> 35:43.800]  When the nukes are coming in, that's what you're going to hear.
[35:50.800 --> 35:57.800]  So what are we supposed to say? What are we supposed to do? We have a president that can't even talk, but a vice president doesn't know what planet she's on.
[35:57.800 --> 36:07.800]  We've got mainstream news promoting pedophilia everywhere. We've got record suicide and crime. I mean, we are cursed and we need to get back to God.
[36:07.800 --> 36:16.800]  So next segment I'll hit all the poison vaccine news. I want to finish up with this now, because it's not just Zelensky calling for preemptive nuclear war against Russia.
[36:16.800 --> 36:24.800]  It's not just Biden saying we're on the verge of armageddon. It's not just U.S. piles up on anti-radiation drugs, but doesn't warn the people.
[36:24.800 --> 36:47.800]  $290 million worth. No, ladies and gentlemen. It's economic warfare against our country. And never has it been more obvious that the globalists are in direct war with the working class and the middle class of this country, which they branded as being anti-white.
[36:47.800 --> 37:02.800]  Oh, let's make poor people poor because they're white. When you make the general public poor, you make everybody poor. And if you look at the charts, if you cut out the top white billionaires on the top, in the Nouveau Reich and the wealthy and the middle class of the poor,
[37:02.800 --> 37:28.800]  Asians, Asian groups fill the top nine slots. The number 10 is whites. Number 11 is Hispanics. Number 12 is blacks. And then number 13 or 14, you pull the graphs up, of the poorest people in America are people living on Native American reservations.
[37:28.800 --> 37:50.800]  The top nine groups of the most wealthy people in America, per capita, is Asians. And everybody thinks and goes, oh, I knew that. I mean, the stereotype's true. On average, Asians, lowest crime rate, work 15, 18 hours a day, almost all the valedictorians are Asian.
[37:50.800 --> 38:05.800]  Let's not lie. Asians keep to themselves on average and work their asses off. And, but then to turn around and say that, let's have a bad economy to hurt white people.
[38:05.800 --> 38:20.800]  I'll play a clip in a moment saying that. Not from Black Lives Matter, not from some leftist group funded by Soros, but from the Cato Institute and an old white man saying, we need to make white people poor.
[38:20.800 --> 38:32.800]  That takes their power. What the hell does that mean? A bunch of ultra-rich old white men and old Asian men and old Arab men and a few Latin Americans and a few Asians.
[38:32.800 --> 38:52.800]  In the Cato Bilderberg group meeting, you go cover a globalist meeting. It's a bunch of old royalty and a bunch of old rich white people, including rich Jews and some Asians and some Middle Eastern royalty and a few people from Latin America.
[38:52.800 --> 39:12.800]  And so the media tries to make it a racial issue when it's a bunch of old white people, a lot of them got their wealth from Nazis, like Klaus Schwab and a bunch of eugenicists like Bill Gates, with a bunch of ADL folks running around promoting racial division.
[39:12.800 --> 39:19.800]  The closest thing I see to Hitler, people setting up a race-based society, is the left and the big banks funding them.
