[00:00.000 --> 00:24.120]  It's a helpless feeling.
[08:07.320 --> 08:10.880]  It's designed to get us to carry out violence and they think they can win that.
[08:10.880 --> 08:16.160]  They know intellectually long term they're going to lose in a fight with us in a velvet
[08:16.160 --> 08:21.800]  glove approach because what we're promoting is good and wholesome and makes sense and
[08:21.800 --> 08:22.800]  works.
[08:22.800 --> 08:28.040]  What they're promoting is absolutely psychotic and out of control.
[08:28.040 --> 08:31.080]  I mean here's an example, here's several examples.
[08:31.080 --> 08:32.400]  Everything I tell you here's true.
[08:32.400 --> 08:37.880]  Occasionally I make a mistake, but 99% of the time it's dead on.
[08:37.880 --> 08:42.320]  And I told you last year they have a bunch of grand juries open trying to indict myself
[08:42.320 --> 08:45.560]  and Roger Stone and others and now that's in the news that they have these grand juries
[08:45.560 --> 08:51.400]  open on us and that we're quote the main targets for January 6th, even though we try to stop
[08:51.400 --> 08:52.400]  it.
[08:52.400 --> 08:56.000]  Even though Democrats remember we're calling for violence right now.
[08:56.000 --> 08:57.640]  We're calling for peace.
[08:57.640 --> 08:59.480]  They say 1776 means violence.
[08:59.480 --> 09:04.400]  Now it means the answer in 1984 equals 1776, we're in an info war.
[09:04.400 --> 09:06.680]  Info war means information war.
[09:06.680 --> 09:09.200]  The pen is mottier than the sword.
[09:09.200 --> 09:14.360]  But that doesn't get me down knowing that they want to put me in prison.
[09:14.360 --> 09:16.760]  I already know that they're putting us all in prison.
[09:16.760 --> 09:21.040]  What do you think the COVID police state power grab rollout is?
[09:21.040 --> 09:24.320]  But here's another example.
[09:24.320 --> 09:30.720]  I told you that we were really two, three million dollars in the red and that I wouldn't
[09:30.720 --> 09:34.520]  have money to buy the product that funds us into the future if I didn't get two, three
[09:34.520 --> 09:37.680]  million dollars, two million bare minimum.
[09:37.680 --> 09:42.320]  And when I got a million dollar Bitcoin donation, I came on here and I told everybody the media
[09:42.320 --> 09:46.200]  ran articles about it a few days later, like I had been caught with Bitcoin, it was illegal
[09:46.200 --> 09:47.200]  and I was bad.
[09:47.200 --> 09:48.760]  Everything we do, they turn around backwards.
[09:48.760 --> 09:52.560]  Then we got another million dollar donation now worth about 700,000.
[09:52.560 --> 09:54.880]  I'm holding onto it though and hopefully it goes back up.
[09:54.880 --> 09:57.880]  I need all that money to fund our operation.
[09:57.880 --> 10:03.760]  As soon as I told the listeners that we brought in two million dollars, donations and purchases
[10:03.760 --> 10:08.920]  went way down and now we're already about to go back into the red and see I didn't think
[10:08.920 --> 10:09.920]  like a Machiavelli.
[10:09.920 --> 10:14.280]  Oh, if I tell people I've gotten millions of dollars and thank whoever this anonymous
[10:14.280 --> 10:17.360]  donor is, they'll think I don't need help and will stop giving.
[10:17.360 --> 10:18.360]  I don't even think like that.
[10:18.360 --> 10:22.680]  I just tell you the truth about the world and what we're seeing and what's happening
[10:22.680 --> 10:27.040]  and what's going on with us and then I don't think about the consequences with my policy
[10:27.040 --> 10:28.880]  of truth.
[10:28.880 --> 10:32.960]  And overall it's been a good policy in my life and I've gone from being someone that
[10:32.960 --> 10:37.880]  rarely lied to someone that neurotically now tells the truth.
[10:37.880 --> 10:43.600]  And once you start doing that, your brain gets to where it doesn't have to think about
[10:43.600 --> 10:49.760]  stories or backup stories or let me dial this back or let me shade this because it might
[10:49.760 --> 10:51.600]  hurt somebody's feelings or it might hurt me.
[10:51.600 --> 10:59.600]  You just start telling the truth all the time and it is so powerful and so strong.
[10:59.600 --> 11:07.520]  And you conversely compare that to Jen Psaki and this whole show today is about their lies.
[11:07.520 --> 11:13.280]  I've got clips of her saying there is no baby formula shortage even though the FDA admits
[11:13.280 --> 11:18.400]  because of three plants they ordered shut down and supply chain problems that there
[11:18.400 --> 11:21.240]  are massive shortages.
[11:21.240 --> 11:25.600]  She says it's hoarding and that it's your fault when that's not even true.
[11:25.600 --> 11:27.240]  There's no baby formula to hoard.
[11:27.240 --> 11:34.240]  It's sold out everywhere for weeks, months and months waiting list.
[11:34.240 --> 11:36.240]  They also told you last year there was no inflation.
[11:36.240 --> 11:38.440]  Then they told you inflation was good.
[11:38.440 --> 11:44.360]  Now they say the inflation's your fault, the Republicans' fault, populist's fault.
[11:44.360 --> 11:51.080]  And then in the same press conference she says there are no crack pipes being given out to
[11:51.080 --> 11:59.280]  crackheads when they funded over $10 million in the COVID package last year specifically
[11:59.280 --> 12:00.800]  for communities in quote need.
[12:00.800 --> 12:05.760]  I have the bill number, I have the government document, I have the subsection, I have the
[12:05.760 --> 12:09.760]  government website with the damn crack pipes on it.
[12:09.760 --> 12:16.960]  They then say they're not doing it so people go into the welfare centers, they go into
[12:16.960 --> 12:23.320]  the health departments and they're given the stinking federal packages in the stinking
[12:23.320 --> 12:28.760]  federal container telling them it's from the federal government.
[12:28.760 --> 12:34.880]  Now why would Saki, six months after this broke, get up there when somebody asked her
[12:34.880 --> 12:41.000]  about it and say that's a conspiracy theory because they're training you to lie to your
[12:41.000 --> 12:44.000]  face.
[12:44.000 --> 12:48.320]  We've got all the big news in Russia and inflation and the borders and the war and
[12:48.320 --> 12:54.160]  so much to cover but just the insulting constant lies.
[12:54.160 --> 12:59.320]  I mean if I lied to you on a routine basis and you caught me, you would not like me and
[12:59.320 --> 13:03.000]  I wouldn't like myself and you would stop listening.
[13:03.000 --> 13:04.360]  And that's the weird paradigm.
[13:04.360 --> 13:07.800]  They don't have listeners, they don't have viewers, Biden has events, a hundred people
[13:07.800 --> 13:19.720]  show up, his wife sells a book, she sells 244 copies but we're told, ladies and gentlemen,
[13:19.720 --> 13:32.160]  we're told that he was elected in this giant landslide and none of that was true.
[13:32.160 --> 13:36.920]  And we know it's not true and then we're told by the FBI, the Justice Department, oh, that's
[13:36.920 --> 13:39.320]  what terrorists do.
[13:39.320 --> 13:45.600]  They put up web graphics on NBC News and ABC News and Fox and see it insane.
[13:45.600 --> 13:47.600]  Here are the signs of being a terrorist.
[13:47.600 --> 13:54.240]  You question lockdowns and inoculation and you question stolen elections.
[13:54.240 --> 13:58.120]  Think about that.
[13:58.120 --> 14:02.520]  So they've always handed out needles to heroin heads and that's probably a good thing because
[14:02.520 --> 14:08.080]  they can give each other HIV by sharing them but the argument that people need fresh, clean
[14:08.080 --> 14:19.160]  crack pipes is preposterous and they're doing it while telling you and myself and the whole
[14:19.160 --> 14:25.920]  world to our face, we're not giving out crack pipes.
[14:25.920 --> 14:30.240]  It's a conspiracy theory, it's like saying it's a conspiracy theory that the Statue
[14:30.240 --> 14:34.200]  of Liberty is off the coast of Manhattan.
[14:34.200 --> 14:37.560]  It's a conspiracy theory that Abraham Lincoln was a Republican.
[14:37.560 --> 14:41.280]  It's a conspiracy that George Washington was our first president.
[14:41.280 --> 14:45.160]  It's a conspiracy theory that Alex Jones is wearing a black shirt, even like if I was
[14:45.160 --> 14:49.520]  on TV right now saying I'm not wearing a black shirt, this is a white shirt and you're sitting
[14:49.520 --> 14:53.600]  there looking at a black shirt going, no, it's not.
[14:53.600 --> 14:58.800]  What is the psychology of that and it's training you to accept lies and just get over it and
[14:58.800 --> 15:00.080]  that they're going to lie to you and that's it.
[15:00.080 --> 15:05.040]  This is behavioral psychology, it's disgusting and how you handle it is totally break with
[15:05.040 --> 15:08.520]  these people and just realize they're the enemy and realize their government's occupied
[15:08.520 --> 15:10.480]  by criminals and realize they're looting us.
[15:10.480 --> 15:14.640]  I mean, my God, folks, inflation's at 11% right now.
[15:14.640 --> 15:18.640]  That's their number.
[15:18.640 --> 15:28.080]  I mean, annual, 11%, it's devastating, devastating and it's accelerating and they're up there
[15:28.080 --> 15:32.960]  making jokes and laughing about it completely out of their minds because this is the scum
[15:32.960 --> 15:36.840]  that black rock and the big banks got that would do traitorous stuff like this to their
[15:36.840 --> 15:40.240]  own families because it'll come back on all these people too.
[15:40.240 --> 15:44.600]  So we've gone over the edge, we're in the collapse and we just cannot have a violent
[15:44.600 --> 15:49.000]  civil war and we cannot let them rope us into that because that's their final coup d'état
[15:49.000 --> 15:51.040]  and we've got to stop a wider war with Russia.
[15:51.040 --> 15:52.040]  We'll talk about it all today.
[15:52.040 --> 15:53.280]  We've got a big broadcast coming up.
[15:53.280 --> 15:58.960]  I'll play those sake clips I talked about when we come back, stay with us.
[15:58.960 --> 16:03.720]  Ladies and gentlemen, Ultra 12, the highest quality B12 you're going to find on the market
[16:03.720 --> 16:08.040]  has been sold out for many months but now it's back in stock at infowarstore.com.
[16:08.040 --> 16:13.000]  Now in the next 45 seconds, I don't have time to get into bottom B12 but do your own research
[16:13.000 --> 16:19.640]  and realize when it is organic, high quality, vitamin B12, it energizes every other vitamin
[16:19.640 --> 16:23.600]  mineral in your body and all of your hormones and so much more.
[16:23.600 --> 16:25.320]  Ultra 12 is incredible.
[16:25.320 --> 16:30.440]  You take it out of the tongue so it's better absorption to your body and it is a game changer.
[16:30.440 --> 16:37.040]  infowarstore.com has Ultra 12 back in stock and despite the fact it's back in stock, despite
[16:37.040 --> 16:41.800]  the fact it's sold very quickly, it is 40% off for a limited time.
[16:41.800 --> 16:48.800]  So at now, funding infowar, experience the purest, highest quality B12 now at infowarstore.com
[16:48.800 --> 16:53.040]  or call toll free, triple eight, two five, three, three, one, three, nine.
[16:53.040 --> 16:54.560]  Thank you all for your support.
[16:54.560 --> 16:58.640]  Now take action and get your bottle of Ultra 12.
[16:58.640 --> 17:02.360]  I want to thank all of you over the years who have supported infowar financially with
[17:02.360 --> 17:04.360]  word of mouth and prayer.
[17:04.360 --> 17:07.720]  All the success that we've had together against the globalists and the fact that we're not
[17:07.720 --> 17:12.280]  caught flat footed during their major takeover is because of you.
[17:12.280 --> 17:14.920]  Humanity has a real fighting chance.
[17:14.920 --> 17:18.320]  That's what I want to thank you all for buying products and infowarstore.com like books and
[17:18.320 --> 17:22.040]  films and supplements and water filtration, air filtration so much more.
[17:22.040 --> 17:25.040]  But for those of you that want to actually give us a straight donation so we get almost
[17:25.040 --> 17:31.440]  100% of the money to fund our operation during this critical time, go to infowarstore.com
[17:31.440 --> 17:36.040]  and right at the top, you'll see a link to make a straight donation, a one time donation
[17:36.040 --> 17:41.160]  of $5, $10, $50 or a recurring donation you can cancel anytime.
[17:41.160 --> 17:44.440]  I want to thank all of you that have donated and I want to encourage those of you out there
[17:44.440 --> 17:49.040]  that want to support freedom to take action now as part of the global awakening, the new
[17:49.040 --> 17:54.440]  renaissance that's counter the great reset by going to infowarstore.com and clicking on
[17:54.440 --> 17:56.280]  the donate button and giving today.
[17:56.280 --> 17:57.280]  Thank you so much for your support.
[17:57.280 --> 17:58.280]  Please take action.
[17:58.280 --> 18:06.520]  Over the years, info wars has produced more than 200 amazing patriot americana, second
[18:06.520 --> 18:11.840]  amendment pro-liberty themed t-shirts, ball caps, flags, you name it.
[18:11.840 --> 18:15.680]  All of the apparel and the flags are being sold at cost right now.
[18:15.680 --> 18:18.360]  That's just regular plain chain shirts.
[18:18.360 --> 18:23.880]  That is all sorts of designer shirts that cost us $15, $20, $25 to produce.
[18:23.880 --> 18:27.680]  We used to sell for $40, we're selling them for $15, selling them for $20.
[18:27.680 --> 18:32.200]  Over the shirt costs us, if a shirt costs $5, we're selling it for $5 for us to actually
[18:32.200 --> 18:33.200]  produce.
[18:33.200 --> 18:37.280]  It costs $10, we're selling it for $10 and we've got hoodies and we've got long sleeves
[18:37.280 --> 18:38.440]  and we've got short sleeves.
[18:38.440 --> 18:43.080]  We've got them all and we've got to liquidate them all and they're limited edition because
[18:43.080 --> 18:46.040]  we're never going to make any of these designs again.
[18:46.040 --> 18:50.160]  We are going to come out with some new designs that will be limited and limited edition in
[18:50.160 --> 18:51.160]  the future.
[18:51.160 --> 18:55.800]  We've got to sell this to keep m4s on the air plus it spreads the word infowarstore.com
[18:55.800 --> 19:02.080]  with the word awakening, I think what's important that we were on the momentum right now take
[19:02.080 --> 19:05.960]  advantage of this moment and I've always had an idea that something everybody can do with
[19:05.960 --> 19:06.960]  every listener can do.
[19:06.960 --> 19:11.160]  I think it'd be powerful and effective for us to you know, hang the banners over highways
[19:11.160 --> 19:14.960]  imagine a champagne or a pizza that I want you up and you know, it says Alex Jones is
[19:14.960 --> 19:19.240]  right infowarstore.com or we stand with the truckers or rest out or whatever.
[19:19.240 --> 19:21.840]  Brother, I'm so glad you called elaborate on this.
[19:21.840 --> 19:22.840]  Yes.
[19:22.840 --> 19:26.760]  I think it's time in your small town or your big city to write something on math room wall
[19:26.760 --> 19:31.960]  or to put a sticker on your car or banner hangs over highways and it will be a chain
[19:31.960 --> 19:32.960]  reaction.
[19:32.960 --> 19:34.960]  What do you recommend people say on these banner hangs?
[19:34.960 --> 19:35.960]  I have a few ideas.
[19:35.960 --> 19:41.520]  First of all, I have just this one small farm, rest out, rest about 12, the vaccine is poison,
[19:41.520 --> 19:42.520]  there's kinds of things.
[19:42.520 --> 19:44.240]  I say just keep it short, keep it concise.
[19:44.240 --> 19:45.240]  Don't agree.
[19:45.240 --> 19:48.600]  Arrest Fauci, arrest Bill Gates, the COVID facts is poison.
[19:48.600 --> 19:49.600]  Beautiful.
[19:49.600 --> 19:50.600]  Yeah.
[19:50.600 --> 19:51.600]  There's ways that we could all be involved if we could all be effective.
[19:51.600 --> 19:53.320]  So that's what I'm calling about.
[19:53.320 --> 19:54.320]  God bless you, Chris.
[19:54.320 --> 19:57.760]  In Atlanta, I really, really appreciate you calling us today.
[19:57.760 --> 20:01.360]  Thank you so much.
[20:01.360 --> 20:22.560]  Thank you.
[20:22.560 --> 20:29.560]  Shooter Jennings in the Summer Rage, bringing us in, the info.
[20:29.560 --> 20:37.560]  Chaos is hanging around The tree turned to the ground
[20:37.560 --> 20:44.560]  Shut up from the side The death machine ain't slowing down
[20:44.560 --> 20:49.560]  It's gaining power for power
[20:49.560 --> 20:55.560]  I inspired this song, a gas mask, cause the katoos summer of rage
[20:55.560 --> 20:59.560]  They're building mass graves within states
[20:59.560 --> 21:05.560]  You and I, they're vaccinating They're preparing us for the long haul
[21:05.560 --> 21:06.560]  Police
[21:06.560 --> 21:08.560]  You and I, they're gonna forcibly vaccinate
[21:08.560 --> 21:11.560]  They're preparing us for an all out police state
[21:11.560 --> 21:21.560]  You and I, they're preparing us for an all out police state
[21:21.560 --> 21:33.560]  You and I, they're preparing us for an all out police state
[21:33.560 --> 21:40.560]  The gas mask is the couture of the summer of rage
[21:40.560 --> 21:47.560]  They're building mass graves when they forcibly vaccinate for the police state
[21:47.560 --> 21:51.560]  Now here we are, tomorrow's new day
[21:51.560 --> 21:54.560]  Told you
[21:54.560 --> 22:04.560]  Our only weapons told you to find us Let our love for all neighbors guide us
[22:04.560 --> 22:15.560]  Speak loud when they try to silence With hope when they try to find us
[22:15.560 --> 22:25.560]  There's little time when your love is going wild
[22:25.560 --> 22:32.560]  There's little time, cause our mission's in your hands
[22:32.560 --> 22:34.560]  We are back live
[22:34.560 --> 22:38.560]  Salvation is in your mother's eyes
[22:38.560 --> 22:43.560]  Summer of rage, shooter genics
[22:43.560 --> 22:52.560]  Can't trust nothing but the love in your mother's eyes
[22:52.560 --> 22:54.560]  That's where we are, that was the plan
[22:54.560 --> 22:58.560]  How did I know 12 years ago, how did I inspire shooter genics
[22:58.560 --> 23:03.560]  To have a hit song about the forced inoculation of the takeover
[23:03.560 --> 23:09.560]  Because it's been their damn plan the entire time
[23:09.560 --> 23:16.560]  And I don't want to be here in a few years off air with a total lockdown
[23:16.560 --> 23:20.560]  With everybody saying Alex Jones was right when people are being shipped off to FEMA camps
[23:20.560 --> 23:24.560]  Are you going to let them get to the next point
[23:24.560 --> 23:27.560]  And that's why I'm going to say something before I hit all this news
[23:27.560 --> 23:30.560]  When callers call in, we're going to have open phones again today and I love you to death
[23:30.560 --> 23:34.560]  Please, I thank you, you thank me, we don't need to say it
[23:34.560 --> 23:37.560]  Because I want to explain something
[23:37.560 --> 23:41.560]  What I'm doing is the bare minimum that a loyal, good American
[23:41.560 --> 23:43.560]  But also just a good person would do
[23:43.560 --> 23:49.560]  This is not heroic, this is not amazing
[23:49.560 --> 23:54.560]  This is being informed about a corrupt global cabal that wants to cut our resources off
[23:54.560 --> 23:56.560]  Starves to death and kill us
[23:56.560 --> 24:00.560]  Testing the lockdowns for the real bio attacks that are coming
[24:00.560 --> 24:08.560]  Make the synthetic spike protein bio weapon look like mother's milk in comparison
[24:08.560 --> 24:11.560]  Now I've already prepared to die
[24:11.560 --> 24:13.560]  Not going to commit suicide, love my life
[24:13.560 --> 24:16.560]  What I'm saying is I already know all this is real
[24:16.560 --> 24:18.560]  I'm already prepared
[24:18.560 --> 24:20.560]  I'm already ready
[24:20.560 --> 24:22.560]  You're going to have to get ready
[24:22.560 --> 24:25.560]  And you're going to have to understand they're coming for you
[24:25.560 --> 24:27.560]  They're coming for you
[24:27.560 --> 24:30.560]  And you're not going to get out of this without getting right with God
[24:30.560 --> 24:32.560]  And getting informed and informing others
[24:32.560 --> 24:35.560]  And standing up and saying we know who you are
[24:35.560 --> 24:38.560]  We know you're the enemy, we know you lie
[24:38.560 --> 24:43.560]  And you are going to go to prison
[24:43.560 --> 24:50.560]  Pirates know that we would organize against armies and tanks and planes and missiles
[24:50.560 --> 24:54.560]  But global corporate systems and the media attacking the people
[24:54.560 --> 24:59.560]  With inflation and open borders and poison food and nanotech and bio weapons
[24:59.560 --> 25:01.560]  And cultural poison
[25:01.560 --> 25:04.560]  That, ladies and gentlemen, is how Satan attacks
[25:04.560 --> 25:07.560]  And that is the world you're living in
[25:07.560 --> 25:09.560]  So you can pretend you're a part of the system
[25:09.560 --> 25:12.560]  You can pretend you're going to shut up and not say anything
[25:12.560 --> 25:14.560]  And maybe you'll last a little longer
[25:14.560 --> 25:18.560]  But in the aggregate you are going to destroy yourself and your family
[25:18.560 --> 25:20.560]  And everything that's good and wish to God
[25:20.560 --> 25:24.560]  You've done something not just because of what physically is going to happen to you
[25:24.560 --> 25:29.560]  But because you are going to be so cut off from God and so desperate
[25:29.560 --> 25:34.560]  Because you didn't do the right thing when you had a chance to not just save your ass
[25:34.560 --> 25:38.560]  And not just save other people, but to get inlined with God
[25:38.560 --> 25:42.560]  Get aligned with the truth
[25:42.560 --> 25:45.560]  Nobody's perfect and I'm not judging anybody
[25:45.560 --> 25:48.560]  When I'm up here talking, I'm talking to myself
[25:48.560 --> 25:52.560]  So a lot of folks have noticed I've been more focused and more on target
[25:52.560 --> 25:54.560]  And more serious than I've ever been
[25:54.560 --> 25:59.560]  Because these are serious times, ladies and gentlemen
[25:59.560 --> 26:03.560]  Our government has been fully taken over by absolute criminals
[26:03.560 --> 26:06.560]  There's a handful of people, the state and federal level that are fighting
[26:06.560 --> 26:11.560]  But the horror of what the globalist is doing is so surreal and so scary
[26:11.560 --> 26:16.560]  That DeSantis and Senator Paul and many others like Trump and others
[26:16.560 --> 26:20.560]  And even Tucker Carlson and Joe Rogan, Joe Rogan knows all this
[26:20.560 --> 26:23.560]  They don't think you're ready for the truth
[26:23.560 --> 26:28.560]  And they don't think you can handle the truth as they say in a few good men
[26:28.560 --> 26:32.560]  You want the truth? You can't handle the truth
[26:32.560 --> 26:37.560]  Well, guess what? I do believe you can handle the truth and you're going to get it here
[26:37.560 --> 26:39.560]  So every day we're on air is precious
[26:39.560 --> 26:42.560]  Every broadcast we put out is precious
[26:42.560 --> 26:44.560]  And everything we do is in God's hands
[26:44.560 --> 26:48.560]  But God works through you, that means I am in your hands
[26:48.560 --> 26:50.560]  We are in each other's hands
[26:50.560 --> 26:53.560]  And together we can't be stopped
[26:53.560 --> 26:54.560]  Without each other we're done
[26:54.560 --> 26:58.560]  So I want to salute the listeners that have been with us for decades and years
[26:58.560 --> 27:03.560]  And salute the people that have stood with us and gotten the word out in the Info War
[27:03.560 --> 27:07.560]  And I want to encourage everybody to realize that you better spread the word
[27:07.560 --> 27:09.560]  Like your life depends on it because it does
[27:09.560 --> 27:11.560]  And you better pray for a global awakening
[27:11.560 --> 27:15.560]  And you really should promote hardcore the outlets that tell the truth
