[00:00:06.405 --> 00:00:09.189]  Well, here we are ladies and gentlemen in the year 2022.
[00:07:26.742 --> 00:07:27.783]  Again, what a wild ride.
[00:07:27.783 --> 00:07:28.284]  Couldn't believe.
[00:07:28.704 --> 00:07:29.865]  That that'll happen.
[00:07:29.865 --> 00:07:31.306]  We'll be showing you clips of that.
[00:07:31.306 --> 00:07:33.567]  Have a lot of other news to share.
[00:07:33.567 --> 00:07:39.270]  Hopefully talking to another fighter, the OG of independent news, maybe in the next hour.
[00:07:39.270 --> 00:07:41.171]  But we're going to get to that in just a moment.
[00:07:41.171 --> 00:07:41.772]  But here's the thing.
[00:07:42.856 --> 00:07:53.089]  Maybe some people haven't quite caught on to or aren't willing to dedicate three hours to watching the Joe Rogan and Dr. Malone interview, even though they should, because it's all fascinating.
[00:07:53.089 --> 00:07:56.873]  And I mean, I had to do it while doing other things, but I did get through the whole three hours.
[00:07:56.873 --> 00:08:00.378]  Maybe they don't have time necessarily for the hour plus, but
[00:08:00.598 --> 00:08:03.922]  Maybe they do have time for about 15 minutes.
[00:08:03.922 --> 00:08:15.638]  And once they get a taste of what was said by Dr. Malone, maybe they will then dedicate the time to listen to the full three hours or the hour and 15 minutes that was broadcast that I had with him here in studio at InfoWars.
[00:08:16.432 --> 00:08:23.956]  So we want to encourage you to share the highlights version if people just aren't willing to sit and listen for the extended versions just yet.
[00:08:23.956 --> 00:08:32.221]  We want to make sure that you share this video and without further ado, let's play the first half of this video so you know what you can put out there for your friends and family.
[00:08:32.221 --> 00:08:36.363]  It's been a series of epiphanies that have
[00:08:39.168 --> 00:08:48.215]  have made me realize that there's no upside to just being circumspect and trying to be a nice guy in this environment.
[00:08:48.215 --> 00:09:00.904]  This is full-on media warfare, information warfare, political warfare, 21st century, like we've never seen before, and coordinated globally.
[00:09:02.472 --> 00:09:14.828]  The other thing for me has been the personal journey of coming to terms with what the World Economic Forum really represents.
[00:09:17.018 --> 00:09:19.559]  And I really resisted that.
[00:09:19.559 --> 00:09:23.360]  People initially were coming to me talking about the Great Reset.
[00:09:23.360 --> 00:09:26.060]  I was like, oh, this is crazy talk.
[00:09:26.060 --> 00:09:29.581]  That sounds like a conspiracy theory.
[00:09:29.581 --> 00:09:31.622]  You are a liar!
[00:09:31.622 --> 00:09:32.362]  Great Reset!
[00:09:32.362 --> 00:09:34.802]  Yeah, but then it's all documented.
[00:09:34.802 --> 00:09:36.323]  And then you see it being deployed.
[00:09:37.643 --> 00:09:45.005]  And a group of Canadians on a podcast the other day sent me some links from WEF to a site.
[00:09:45.005 --> 00:09:50.526]  This is one of the last things I tweeted before.
[00:09:50.526 --> 00:10:05.389]  And it had a extremely detailed map of all of the policy positions and the actions that the WEF was taking for a huge range of topics, not least of which is COVID-19.
[00:10:06.589 --> 00:10:19.573]  And it's kind of a, it's a public document that clearly states, everybody that's in our little clique, in our club, these are the things that we will think, these are the things that we will say, this is how we will act.
[00:10:19.573 --> 00:10:22.774]  And that one was kind of like the icing on the cake.
[00:10:22.774 --> 00:10:25.755]  That was, that was, oh, here it is.
[00:10:25.755 --> 00:10:28.096]  You know, this is, they're proud of it.
[00:10:28.096 --> 00:10:29.496]  They don't hide it.
[00:10:29.496 --> 00:10:32.497]  This is, this is the vision.
[00:10:32.497 --> 00:10:35.858]  It is a full-on globalist totalitarian vision.
[00:10:37.228 --> 00:10:38.509]  With the money in control.
[00:10:38.509 --> 00:10:54.882]  I did a lot of political science when I was an undergraduate in the early 80s and I had read things like about books about transnationalism in the New World Order.
[00:10:54.882 --> 00:10:57.204]  I found that fascinating but confusing.
[00:10:57.204 --> 00:11:00.367]  How could this possibly happen?
[00:11:00.367 --> 00:11:02.469]  And now to see it playing out in real time
[00:11:03.383 --> 00:11:11.569]  And in a way in which national sovereignty governments are increasingly irrelevant.
[00:11:11.569 --> 00:11:16.632]  Yeah, that's, you know, that's the thing that folks got to wake up about.
[00:11:16.632 --> 00:11:18.073]  This is not about the vaccine.
[00:11:18.073 --> 00:11:22.336]  The vaccine is a symptom.
[00:11:22.336 --> 00:11:24.337]  It's much bigger.
[00:11:24.337 --> 00:11:29.280]  And that's a really hopeful message going into the new year is that
[00:11:31.078 --> 00:11:41.874]  There's a growing cohort of people that are increasingly aware of how thoroughly we've been manipulated.
[00:11:41.874 --> 00:11:43.156]  So you'd say you've been red-pilled?
[00:11:44.888 --> 00:11:50.493]  Like multi-dimensional red pill.
[00:11:50.493 --> 00:11:54.457]  I thought I was red-pilled.
[00:11:54.457 --> 00:12:02.204]  I've been on the inside for so long and seen Tony Fauci's machinations for so long.
[00:12:02.204 --> 00:12:08.370]  That's my origin story, was the initial AIDS crisis starting in 83.
[00:12:10.353 --> 00:12:13.034]  When I was at Davis.
[00:12:13.034 --> 00:12:15.396]  So I saw the hardball politics.
[00:12:15.396 --> 00:12:27.222]  It's not that I haven't been aware of that, but I had not been aware before of the information control that is globally coordinated.
[00:12:28.012 --> 00:12:32.636]  I mean, the Trusted News Initiative is profound.
[00:12:32.636 --> 00:12:33.497]  What that means.
[00:12:33.497 --> 00:12:35.999]  That has become the Ministry of Truth.
[00:12:35.999 --> 00:12:37.660]  Full on.
[00:12:37.660 --> 00:12:41.103]  And what Twitter's doing right now.
[00:12:41.103 --> 00:12:48.229]  I think, you know, with Alex Berenson's bold and brave lawsuit taken on Twitter,
[00:12:50.405 --> 00:13:02.516]  And then I've had a bunch of lawyers come to me because of getting deplatformed or cancelled, I think is really the right term.
[00:13:02.516 --> 00:13:09.903]  I think that we may, certainly people can't deny anymore.
[00:13:09.903 --> 00:13:11.284]  There's so much evidence.
[00:13:13.057 --> 00:13:18.341]  And the CNN ratings keep slipping, yay.
[00:13:18.341 --> 00:13:22.424]  Maybe we're going to see some change in 2022.
[00:13:22.424 --> 00:13:26.186]  What surprised you most about Rogan?
[00:13:26.186 --> 00:13:30.249]  He is completely up on all the information.
[00:13:30.249 --> 00:13:33.892]  And yet it's totally low-key.
[00:13:33.892 --> 00:13:38.134]  He's very committed to speaking to a general audience.
[00:13:38.134 --> 00:13:39.816]  It's core for him.
[00:13:39.816 --> 00:13:41.557]  The idea of not
[00:13:42.833 --> 00:13:46.136]  Playing into all this divisiveness.
[00:13:46.136 --> 00:13:53.023]  He is consciously, intentionally a healer right now.
[00:13:53.023 --> 00:13:56.767]  And just a very centered,
[00:13:59.691 --> 00:14:02.573]  You know, genuinely good person.
[00:14:02.573 --> 00:14:15.000]  There is kind of a growing movement and awareness that part of the problem here is the structure of how we have been building our organizations.
[00:14:15.860 --> 00:14:41.309]  And doing business in a deep, profound way, in a dissatisfaction with what one sees at the World Health Organization and the CDC and the whole HHS structure in the United States where you have carefully controlled information, only one leader is allowed to speak, only one leader is allowed to represent the position.
[00:14:43.251 --> 00:14:54.373]  I think that is going to turn out to be one of the changes here, is a growing awareness that that model is dysfunctional, broken, and it needs to be fixed.
[00:14:56.357 --> 00:15:09.286]  In light of your attacks and seeing how the mainstream media labels people and tries to get these buzzwords going, has that changed your view on other people that the media has gone after?
[00:15:09.286 --> 00:15:10.547]  Completely.
[00:15:10.547 --> 00:15:14.189]  Because you have people like Robert F. Kennedy Jr.
[00:15:14.189 --> 00:15:15.670]  or people like Alex Jones.
[00:15:15.670 --> 00:15:21.634]  Has this kind of made you think, well maybe they're not as crazy as maybe I was led to believe before?
[00:15:21.934 --> 00:15:39.529]  So I'm going to share, so we did a little bit of a tour on the Hill a few weeks ago and I met with various Senators and so I walk in to Ron Johnson's office and I had this mental image from the press of what I was going to encounter with Ron Johnson.
[00:15:39.529 --> 00:15:46.074]  Ron Johnson is basically an average Midwestern straight arrow kind of good guy.
[00:15:47.715 --> 00:16:06.324]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[00:16:06.324 --> 00:16:08.045]  This is their big offensive.
[00:16:08.045 --> 00:16:09.505]  This is their takeover.
[00:16:09.505 --> 00:16:13.187]  And this is the point that they're at their very weakest because now they've revealed themselves.
[00:16:13.527 --> 00:16:18.471]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[00:16:18.471 --> 00:16:21.013]  Their depopulation agenda has been exposed.
[00:16:21.013 --> 00:16:27.338]  But, they're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[00:16:27.338 --> 00:16:32.762]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[00:16:32.762 --> 00:16:36.425]  And when you buy products at InfoWarsTore.com, you keep us on air.
[00:16:36.425 --> 00:16:40.628]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[00:16:43.490 --> 00:16:45.552]  Both of these are in our Top 5 Best Sellers.
[00:16:45.552 --> 00:16:46.994]  They are so good for your body.
[00:16:46.994 --> 00:16:50.298]  And if there's two things you do for your body, it's these two products.
[00:16:50.298 --> 00:16:53.061]  They're all back in stock at InfoWareStore.com.
[00:16:53.061 --> 00:16:54.923]  50% off and it keeps us on the air.
[00:16:54.923 --> 00:16:56.785]  Only way we fail is if you don't take action.
[00:16:59.155 --> 00:17:13.640]  We've all heard about the pastor and his famous statement from inside a concentration camp in World War II that when they came for one group he wasn't part of that group so he didn't stand up and then when they came for another group he wasn't part of that group so he didn't stand up.
[00:17:13.640 --> 00:17:14.200]  And finally,
[00:17:14.980 --> 00:17:17.142]  When they can't apprehend those, nobody else will stand up.
[00:17:17.142 --> 00:17:22.006]  Well, the global social credit score that China's putting in, it's banning people to three hours of video games a week.
[00:17:22.006 --> 00:17:26.009]  And if you criticize the government, you can never buy or sell again.
[00:17:26.009 --> 00:17:31.134]  Well, that's being brought here and all over the world under the guise of COVID vaccine passports.
[00:17:31.134 --> 00:17:32.075]  They even admit it now.
[00:17:32.075 --> 00:17:34.717]  They're saying there's going to be a carbon tax attached to it.
[00:17:34.717 --> 00:17:39.161]  They're going to track where you go and what you do and decide where you can go and what you can do.
[00:17:39.161 --> 00:17:40.942]  That's what the lockdowns are about.
[00:17:40.942 --> 00:17:42.484]  You'll accept that, you'll accept anything.
[00:17:43.570 --> 00:17:49.514]  So again, the left is having fun right now with all the censorship and tyranny, pretending like they're part of the power structure.
[00:17:49.514 --> 00:17:51.575]  But they're all going to be targeted by this nightmare as well.
[00:17:51.575 --> 00:17:58.019]  We need to get back to basic human rights and promote them, or all of us will be enslaved by this horrible technocracy run by the globalists.
[00:17:58.968 --> 00:18:02.530]  UN-run contact tracers aren't coming, they're here.
[00:18:02.530 --> 00:18:17.238]  All over the world, from Australia to the United States, from Canada to Germany, these tyrants are tracking everything you do, everywhere you go, and then coming to your house and threatening, in some cases actually, taking people away into the night to their facilities.
[00:18:17.238 --> 00:18:25.442]  And they're planning in the next year to expand their shield process, where they come and take, quote, healthy people away and put them in facilities for their safety.
[00:18:25.822 --> 00:18:27.624]  This is nothing less than martial law.
[00:18:27.624 --> 00:18:35.430]  And one big thing you can do to fight back is to get high quality Faraday cages, many of which are made here in America and are very compliant, meaning U.S.
[00:18:35.430 --> 00:18:38.793]  government military grade at InfoWarsTore.com.
[00:18:38.793 --> 00:18:41.015]  We have the entire line of silent pocket
[00:18:41.115 --> 00:18:44.558]  Ready to ship to you when you visit InfoWarStore.com.
[00:18:44.558 --> 00:18:51.685]  Again, we have big backpacks, we have special dry bags, we've got them for cell phones, we've got them for laptops, we've got them for iPads.
[00:18:51.685 --> 00:18:54.287]  It's all there at InfoWarStore.com.
[00:18:54.287 --> 00:18:58.792]  So protect your privacy today and support the InfoWar at InfoWarStore.com.
[00:18:59.878 --> 00:19:01.199]  Let's go ahead and take another call.
[00:19:01.199 --> 00:19:03.220]  Let's talk to Malcolm in Tennessee.
[00:19:03.220 --> 00:19:03.641]  Welcome.
[00:19:03.641 --> 00:19:04.361]  Hello, Alex.
[00:19:04.361 --> 00:19:04.961]  Yes, Malcolm.
[00:19:04.961 --> 00:19:05.322]  All right.
[00:19:05.322 --> 00:19:09.464]  I'll make this quick and real short where the other Patriots can get on the line.
[00:19:09.464 --> 00:19:13.827]  Alex, I have to promote one thing from one of your co-hosts, Owen Schroer.
[00:19:13.827 --> 00:19:16.829]  Super male vitality and brain force plus.
[00:19:16.829 --> 00:19:19.471]  Mix those two together, you're an unstoppable tank.
[00:19:19.711 --> 00:19:21.512]  Supramel Vitality really, really works.
[00:19:21.512 --> 00:19:33.178]  It's cold-pressed herbs and natural compounds that have never been heated up, and so it has a dramatic effect compared to powdered versions that also work quite well, but just aren't as strong.
[00:19:33.178 --> 00:19:35.019]  This is like a very fine wine.
[00:19:35.019 --> 00:19:37.160]  In fact, each batch is different.
[00:19:37.160 --> 00:19:39.601]  Sometimes it's super strong, sometimes it's just okay.
[00:19:39.601 --> 00:19:42.863]  People are like, why are you selling something and admitting sometimes the batch isn't as strong?
[00:19:42.863 --> 00:19:43.803]  That's just how it is.
[00:19:43.803 --> 00:19:44.464]  It's how it works.
[00:19:45.184 --> 00:19:49.188]  Uh, so, it's always good, it's just sometimes it's like super strong.
[00:19:49.188 --> 00:20:00.538]  But yeah, if you want the Rolls Royce at a decent price, then this is it.
[00:20:00.538 --> 00:20:06.304]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:21.286 --> 00:20:21.826]  Welcome back.
[00:20:21.826 --> 00:20:23.688]  We're Christine Lee guest hosting today.
[00:20:23.688 --> 00:20:31.533]  Boy have things really blown up since Joe Rogan invited Dr. Malone on and did a three hour plus interview with him.
[00:20:31.533 --> 00:20:35.475]  It's been going all over the place and this is just after he'd been censored.
[00:20:35.475 --> 00:20:48.844]  And so like I had said on Twitter, you know, the best way to actually defeat the purposes, you know, you're trying to censor someone, uh, is, is censor them and then they're going to get blown up like never before.
[00:20:48.844 --> 00:20:50.425]  So we're, we've been seeing that to happen.
[00:20:50.945 --> 00:21:02.091]  And if you go to Infowars.com, we have a nice comprehensive look of everything that has gone on since this wild interview came out and has just been going crazy.
[00:21:02.091 --> 00:21:08.375]  It's titled, See the Mass Formation Psychosis Term Censored by Google Following Bombshell Dr. Malone Interview.
[00:21:08.375 --> 00:21:14.918]  This has a nice comprehensive look at everything that's been going on and how this term has been going wild.
[00:21:14.918 --> 00:21:16.239]  I've seen it trending on Twitter.
[00:21:16.239 --> 00:21:18.560]  In fact, I think it even says that, yeah, 106
[00:21:19.901 --> 00:21:24.104]  From basically European intellectual inquiry into what the heck happened in Germany.
[00:21:39.258 --> 00:21:48.724]  In the 20s and 30s you know very intelligent highly educated population and they went barking mad And how did that happen?
[00:21:48.724 --> 00:22:08.898]  The answer is mass formation psychosis when you have a society that has become decoupled from each other and Has free-floating anxiety in a sense that things don't make sense We can't understand it and then their attention gets focused by a leader or series of events on one small point just like hypnosis
[00:22:10.059 --> 00:22:13.665]  They literally become hypnotized and can be led anywhere.
[00:22:14.489 --> 00:22:24.335]  And one of the aspects of that phenomena is the people that they identify as their leaders, the ones typically that come in and say, you have this pain and I can solve it for you.
[00:22:24.335 --> 00:22:28.418]  I and I alone can fix this problem for you.
[00:22:28.418 --> 00:22:31.219]  Then they will follow that person.
[00:22:31.219 --> 00:22:34.201]  It doesn't matter whether they lie to them or whatever.
[00:22:34.201 --> 00:22:36.082]  The data are irrelevant.
[00:22:36.082 --> 00:22:41.166]  And furthermore, anybody who questions that narrative is to be immediately attacked.
[00:22:41.166 --> 00:22:41.686]  They are the other.
[00:22:43.397 --> 00:22:48.538]  This is central to mass formation psychosis, and this is what has happened.
[00:22:48.538 --> 00:22:50.438]  We had all those conditions.
[00:22:50.438 --> 00:22:57.620]  If you remember back before 2019, everybody was complaining, the world doesn't make sense, blah, blah, blah.
[00:22:57.620 --> 00:22:59.740]  And we're all isolated from each other.
[00:22:59.740 --> 00:23:02.001]  We're all on our little tools.
[00:23:02.001 --> 00:23:06.121]  We're not connected socially anymore, except through social media.
[00:23:06.121 --> 00:23:08.542]  And then this thing happened, and everybody focused on it.
[00:23:09.426 --> 00:23:13.482]  That is how mass formation psychosis happens, and that is what's happened here.
[00:23:14.952 --> 00:23:15.493]  Absolutely.
[00:23:15.493 --> 00:23:23.160]  It's the only explanation of what's going on, why people around you can't seem to wake up, no matter how much evidence, how much data it is that you give them.
[00:23:23.160 --> 00:23:39.615]  Now, I don't think you need any more evidence that InfoWars is tomorrow's news today, but I do want to point out that a month ago, a month ago, I sat down with Dr. Malone and we did a whole entire interview on this particular topic.
[00:23:40.095 --> 00:23:43.079]  And it is found on Band.Video.
[00:23:43.079 --> 00:23:47.084]  It is the one where it says we're all being hypnotized.
[00:23:47.084 --> 00:23:58.057]  It's a little over 25 minute video where we're completely focused on this topic that was posted a month ago on InfoWars on Band.Video and you can find that video now if you want to
[00:23:58.397 --> 00:24:02.139]  Dig deeper onto this conversation of mass formation psychosis.
[00:24:02.139 --> 00:24:06.581]  So again, a month ago we were talking about, there it is, Dr. Malone, they're being hypnotized.
[00:24:06.581 --> 00:24:08.602]  This was put up over a month ago.
[00:24:08.602 --> 00:24:12.224]  Now it's really picking up steam since he mentioned it on Joe Rogan.
[00:24:12.224 --> 00:24:18.167]  But here's just more evidence that InfoWars is where it's at for getting the information before anyone else.
[00:24:18.687 --> 00:24:19.828]  So there you go.
[00:24:19.828 --> 00:24:21.389]  But I'll talk more about that in a minute.
[00:24:21.389 --> 00:24:35.019]  I wanted to talk about Liberty Daily then ran with an article about Dr. Malone that you saw in the first half of the highlights video, which again, you can find on Beyond That Video, where he was talking about being multi-dimensional red-pilled.
[00:24:35.019 --> 00:24:41.043]  And obviously when I asked him if he'd been red-pilled, that was not the answer I expected was for him to be so blatant.
[00:24:41.043 --> 00:24:44.546]  Yes, I've been multi-dimensional red-pilled, but this is what happens.
[00:24:44.546 --> 00:24:45.867]  I think this is what happens when you
[00:24:46.107 --> 00:24:46.367]  I think?
[00:25:16.240 --> 00:25:26.185]  The response you get just by asking questions and speaking up, how you're attacked, how it's just such a vicious response, I think that helps you wake up.
[00:25:26.185 --> 00:25:38.432]  And I think that that's why Dr. Malone and I have connected as now friends, is just, we've been through this whole journey of being red-pilled, of waking up, and sometimes that is what it takes.
[00:25:39.332 --> 00:25:45.934]  So there is this article from Liberty Daily talking about this concept.
[00:25:54.697 --> 00:26:00.181]  Most succumb to the pressures and embrace the worldly benefits of going along to get along.
[00:26:00.181 --> 00:26:08.428]  This is how we get people like Anthony Fauci and Joe Biden enjoying long careers in government despite ridiculous strings of failures throughout their lives.
[00:26:08.428 --> 00:26:11.570]  Some are able to see the evil for what it is and choose to side with the truth.
[00:26:11.570 --> 00:26:16.033]  It's called being red-pilled and Dr. Malone admits that he's there.
[00:26:16.033 --> 00:26:21.537]  And then we have this whole crazy response from Google trying to then
[00:26:22.478 --> 00:26:26.501]  Shut it down, this mass formation psychosis, this term.
[00:26:26.501 --> 00:26:27.902]  And just think about that.
[00:26:27.902 --> 00:26:30.283]  This is just a concept.
[00:26:30.283 --> 00:26:35.607]  This isn't even talking about vaccines or the safety and efficacy of vaccines or anything.
[00:26:35.607 --> 00:26:39.470]  This is just talking about a concept that they're trying to hide from you.
[00:26:39.470 --> 00:26:42.792]  Why would they try so hard to hide a concept from you?
[00:26:43.052 --> 00:26:43.873]  Think about that.
[00:26:43.873 --> 00:26:49.597]  So Google and DuckDuckGo, they handled this whole mass formation psychosis very differently.
[00:26:49.597 --> 00:26:54.560]  You can find this in the Infowars.com article, but it's also mentioned here on Liberty Daily.
[00:26:54.560 --> 00:27:02.926]  The biggest of the big tech baddies has taken upon themselves to be the arbiters of truth who determine what we're allowed to see and what is too dangerous for our feeble minds.
[00:27:02.926 --> 00:27:10.371]  A perfect example of this is happening right now as many people search for Dr. Robert Malone and mass formation psychosis.
[00:27:10.931 --> 00:27:31.520]  So instead of linking to the video of Dr. Malone when you search on Google any of the stories that dive into the phenomenon or even reaction videos that expand on the concept, Google decided to promote some random dude's minute and a half video debunking it when people search for mass formation psychosis.
[00:27:32.719 --> 00:27:50.876]  Even if we discard the indisputable fact that the guy in the video is a mental lightweight while attempting to attack the inventor of the mRNA technology that powers the jab, we can't find any algorithmic reason for his video to be ranked at the top well ahead of actual experts.
[00:27:50.876 --> 00:27:55.100]  But if you search on DuckDuckGo, which many I know have a
[00:27:55.720 --> 00:28:02.328]  Learn to do, to actually find what you're looking for, free from any control.
[00:28:02.328 --> 00:28:09.657]  If you search on DuckDuckGo, his detailed Substank article about this phenomenon is right there at the top.
[00:28:10.578 --> 00:28:11.659]  This isn't something new.
