[00:00.000 --> 00:18.000]  Infowars. Tomorrow's news. Today.
[10:19.000 --> 10:24.000]  they say oh you got all this money the money goes into the product and they
[10:24.000 --> 10:27.000]  know that or maybe they don't know that I mean these are communist after all
[10:27.000 --> 10:30.000]  maybe they have no idea how the free market works maybe they really have no
[10:30.000 --> 10:34.000]  idea how business happens maybe that's how it happens maybe that's why so
[10:34.000 --> 10:40.000]  we're gonna have that but let me just focus myself on the news here the
[10:40.000 --> 10:50.000]  latest in the escalation of the war of United States against Russia because
[10:50.000 --> 10:56.000]  that's what it is and that's why Russia's pissed and so you can think
[10:56.000 --> 11:01.000]  Putin is the good guy or the bad guy the point is Americans are killing
[11:01.000 --> 11:05.000]  Russians and funding and web and giving weapons to people that are killing
[11:05.000 --> 11:09.000]  Russians and Russia is just saying so what do you expect us to do just let
[11:09.000 --> 11:15.000]  you sit here and kill us with no reaction no response and of course the media is
[11:15.000 --> 11:18.000]  lying to you about what's going on the White House is lying to you about
[11:18.000 --> 11:25.000]  what's going on so then let's say Putin launches a strike whether it's in Ukraine
[11:25.000 --> 11:29.000]  or somewhere else they'll just say wow look at Putin he's the bad guy he's
[11:29.000 --> 11:36.000]  escalated he struck first no it's NATO that's been escalating it's the United
[11:36.000 --> 11:40.000]  States and their proxy groups in Ukraine that's been escalating and after
[11:40.000 --> 11:44.000]  those two failed you notice NATO completely failed NATO did nothing the
[11:44.000 --> 11:48.000]  Western proxy groups in Ukraine got wiped out by Russia in a few quick months
[11:48.000 --> 11:54.000]  and Russia was winning and so now the US has spent sent special forces special
[11:54.000 --> 11:58.000]  weapons hundreds of billions of dollars and now they're actually defeating Russia
[11:58.000 --> 12:02.000]  in Ukraine and Russia's just sitting here saying okay well we're in a war with
[12:02.000 --> 12:10.000]  America now do I have to nuke you see they don't tell you the first part they
[12:10.000 --> 12:17.000]  just say look Putin threatens nuclear war and they don't tell you how people
[12:17.000 --> 12:23.000]  are over there killing Russians but the dangerous situation now is that if
[12:23.000 --> 12:28.000]  Putin declares eastern Ukraine Russian territory and then considers it an
[12:28.000 --> 12:35.000]  invasion by Russian military protocol they will use nukes that's the dangerous
[12:35.000 --> 12:43.000]  situation now and we've also got news the Democrat murders a conservative
[12:43.000 --> 12:49.000]  teenager gets released from jail more on that more on the border news more on
[12:49.000 --> 12:54.000]  the border news Rand Paul says he's going to catch Anthony Fauci for all the
[12:54.000 --> 12:58.000]  crimes he committed the liberal indoctrination of children at schools
[12:58.000 --> 13:03.000]  Donald Trump with an interview last night on Hannity and so much more but
[13:03.000 --> 13:08.000]  Alex has just taken the stand again so I want to go to this live so you can
[13:08.000 --> 13:13.000]  witness this America needs to see this kangaroo court rigged court where a
[13:13.000 --> 13:17.000]  witness is told what he can't say and then how he has to answer questions if
[13:17.000 --> 13:25.000]  that's not a rigged court I don't know what is Alex back on the stand so this
[13:25.000 --> 13:36.000]  is live in Connecticut right now
[13:36.000 --> 13:40.000]  imagine what's going through Alex's head as he sits there with the rigged
[13:40.000 --> 13:45.000]  cases against him an entire political party trying to destroy him an entire
[13:45.000 --> 13:51.000]  corporate world government that must destroy him must destroy info wars and
[13:51.000 --> 13:56.000]  then the willing foot soldiers of this tyranny that they feel like they're
[13:56.000 --> 14:00.000]  getting theirs they're getting their rocks off they're making their future
[14:00.000 --> 14:05.000]  because they got Alex Jones there will be no future under this tyranny you
[14:05.000 --> 14:19.000]  who looks so it looks as if the jury is entering right now
[14:19.000 --> 14:30.000]  right the entire piano has returned please be seated just give me one
[14:30.000 --> 14:36.000]  by the way there was some deal earlier this got delayed even first thing this
[14:36.000 --> 14:41.000]  thing got delayed this morning because the plaintiffs lawyers weren't
[14:41.000 --> 14:45.000]  prepared or something and so they walked up to the judge and they asked for 20
[14:45.000 --> 14:49.000]  30 minute break because they didn't have their evidence now I don't know exactly
[14:49.000 --> 14:52.000]  what they said because they walked over to the judge they were obviously embarrassed
[14:52.000 --> 14:56.000]  they didn't want everybody to know what happened and the judge granted them 30
[14:56.000 --> 15:00.000]  minutes to go get their evidence now do you think that same thing would be
[15:00.000 --> 15:04.000]  granted if Alex's lawyers came unprepared no I doubt it they say too bad you
[15:04.000 --> 15:07.000]  don't get to present your evidence now I think the judge should allow all the
[15:07.000 --> 15:10.000]  evidence so yeah okay yeah give 30 minutes go get your evidence I want to
[15:10.000 --> 15:12.000]  see all the evidence maybe give them a scolding but you think that would have
[15:12.000 --> 15:23.000]  gone both ways
[15:23.000 --> 15:27.000]  imagine thinking you're getting ahead by destroying someone else and destroying
[15:27.000 --> 15:31.000]  the very values and principles that created the most prosperous nation on
[15:31.000 --> 15:38.000]  earth imagine thinking that gets you ahead thank you thank you Mr. Jones
[15:38.000 --> 15:42.000]  before the break we were talking about this lawsuit that you brought right
[15:42.000 --> 15:49.000]  yes okay and again this lawsuit was brought against Mrs. Woo and Mr.
[15:49.000 --> 15:55.000]  Kimmel and the Young Turks LLC for them stating online that you had sent
[15:55.000 --> 15:58.000]  child pornography to so again not even about what he said on the air something
[15:58.000 --> 16:03.000]  else entirely we'll be right back the rage for more than a decade have been
[16:03.000 --> 16:09.000]  concentrated green powders with wheatgrass and so many other ingredients
[16:09.000 --> 16:15.000]  that are known to make us healthy to make us vibrant and to defend our immune
[16:15.000 --> 16:19.000]  systems now over a year and a half ago we came out with a product that was top
[16:19.000 --> 16:24.000]  sourced top the line as good as going to get but then the supply chain broke
[16:24.000 --> 16:29.000]  down and it was sold out for more than a year finally green fiber capsules this
[16:29.000 --> 16:35.000]  big old bottle jam packed is back in stock for a limited time at infowarstore.com
[16:35.000 --> 16:40.000]  30% off this limited time left time to go into all the great things it does or
[16:40.000 --> 16:44.000]  what it has inside but go to infowarstore.com and look up green fiber
[16:44.000 --> 16:49.000]  capsules yourself and see how amazing it is and what's just as amazing is it
[16:49.000 --> 16:53.000]  funds the info war and keeps us on air we're all under globalist attack they
[16:53.000 --> 16:57.000]  don't want you to have these essential nutrients that are in this product get
[16:57.000 --> 17:02.000]  yours today at 25% off at infowarstore.com now back in stock it's the fourth
[17:02.000 --> 17:08.000]  coin that we've released the last year and I believe the most powerful the man
[17:08.000 --> 17:16.000]  Teddy Roosevelt citizen of a republic the man in the arena there's only 10,000
[17:16.000 --> 17:21.000]  of this coin and exists in the world it will never be made again it's not just
[17:21.000 --> 17:26.000]  an amazing historic coin it funds the information war against the globalist
[17:26.000 --> 17:30.000]  this is something you want to hand down to your grandchildren this is something
[17:30.000 --> 17:35.000]  you want to own and as a fundraiser it is funding the information war against
[17:35.000 --> 17:39.000]  the globalist ladies and gentlemen 10,000 coins are available they'll sell out
[17:39.000 --> 17:44.000]  very quickly please be part of history and thank you all for your support you
[17:44.000 --> 17:50.000]  can go to 1776coin.com or you can go to patriotcollectibles.com and secure this
[17:50.000 --> 17:55.000]  coin there's only 10,000 of this coin in existence and it funds the info war
[17:55.000 --> 18:00.000]  man in the arena coin Teddy Roosevelt 1776coin.com ladies and gentlemen if
[18:00.000 --> 18:04.000]  millions of people get this book our funding problems will be over and it's
[18:04.000 --> 18:08.000]  starting to happen that's why I said yeah go to infowarstore.com get the book
[18:08.000 --> 18:11.000]  and start shipping in a couple weeks the great reset in the war for the world but
[18:11.000 --> 18:15.000]  I said go to Amazon because it's the number one book chart in the world and
[18:15.000 --> 18:19.000]  if it goes to number one not a political not of history not of US history it's
[18:19.000 --> 18:23.000]  already number one over 40 categories like political science you name it 40
[18:23.000 --> 18:29.000]  plus categories is number one ladies and gentlemen drum roll please of books in
[18:29.000 --> 18:34.000]  the world the great reset in the war for the world is one two three four five
[18:34.000 --> 18:42.000]  six seven eight nine we are now number nine in the world this is major this is
[18:42.000 --> 18:46.000]  political this could fund our war chest just go to Amazon.com everybody and buy
[18:46.000 --> 18:52.000]  10 copies send this blueprint to the Death Star and the New World Order because
[18:52.000 --> 18:55.000]  you read this you know their whole plan how to stop them hit the great reset in
[18:55.000 --> 19:00.000]  the world now it's gonna go to number one what are you making that
[19:00.000 --> 19:04.000]  if you're like myself and so many other people on this planet especially as you
[19:04.000 --> 19:09.000]  get older you gain weight even if you eat a lot less I gotta tell you info wars
[19:09.000 --> 19:13.000]  is only about bringing you amazing products that really work so we looked
[19:13.000 --> 19:17.000]  at the supplement market we find a lot of our operations with and we said what
[19:17.000 --> 19:22.000]  are the best-selling natural healthy anti-fat weight loss products that are
[19:22.000 --> 19:27.000]  out there we looked at the top 10 they all have the same ingredients in common
[19:27.000 --> 19:33.000]  that is in this product but with our new product from x7 diet force we got the
[19:33.000 --> 19:40.000]  very best concentrates of these known natural essences that's two amazing
[19:40.000 --> 19:44.000]  things for your body and so I've lost almost 40 pounds I'm so a little bit
[19:44.000 --> 19:48.000]  overweight in the last three months and I've been doing it using diet force and
[19:48.000 --> 19:53.000]  also exercise well now diet force is exclusively available right now at
[19:53.000 --> 19:59.000]  infowarstore.com 40% off infowarstore.com diet force you need to take this
[19:59.000 --> 20:05.000]  product it really works leading a frontal assault on the lies of the New World
[20:05.000 --> 20:19.000]  Order it's Alex Jones
[20:19.000 --> 20:23.000]  all right Alex Jones is on the stand here we go back live to the courtroom in
[20:23.000 --> 20:32.000]  Connecticut yes not due to the fake child porn would do to this you well you
[20:32.000 --> 20:36.000]  had a security team for a long time that's the main let me dress I was
[20:36.000 --> 20:41.000]  asking Jack she had a security committee doors it's a guess about whether he's
[20:41.000 --> 20:47.000]  had a security team for life four years since the Sandy Hook suits and and
[20:47.000 --> 20:51.000]  this is over here on the right that's him and well is that right yes okay he's
[20:51.000 --> 20:56.000]  your head of security yes and they walk around with your pieces right so they
[20:56.000 --> 21:00.000]  can communicate with one another I don't know they have those you float here on
[21:00.000 --> 21:05.000]  I'm yet to hear any questions about what Alex Jones said on air regards to
[21:05.000 --> 21:08.000]  Sandy Hook not a single one he's been on the stand for almost two hours you know
[21:08.000 --> 21:15.000]  you're right since this case yes okay that's the Texas case and liberals are
[21:15.000 --> 21:19.000]  violent we all know that we had to get a bulletproof truck and it gets attacked
[21:19.000 --> 21:23.000]  by the left every time we take it out they tried to bust into it with poles and
[21:23.000 --> 21:30.000]  knives and axes
[22:15.000 --> 22:19.000]  entire justice system has been weaponized against Americans patriots
[22:19.000 --> 22:25.000]  conservatives republicans christians
[22:25.000 --> 22:30.000]  truth tellers want to know who's discriminated against truth tellers
[22:30.000 --> 22:35.000]  that you've never charged a private jet before this lawsuit sir yes now before
[22:35.000 --> 22:41.000]  2018 had you started a private jet sure you want to say that yes all right
[22:41.000 --> 22:45.000]  talking about a private jet in the financials that you turned over to us
[22:45.000 --> 22:49.000]  we won't see any it's all about money this is all about shutting Alex down any
[22:49.000 --> 22:53.000]  how about what he said don't don't bring up what he said because they have no case
[22:53.000 --> 22:57.000]  there so they have to say oh well how do you spend money oh yes security shows the
[22:57.000 --> 23:02.000]  border one time me and my wife and my children were in Canada we rented a sea
[23:02.000 --> 23:06.000]  plane that flew us for a couple hours up to a place to eat another other than that
[23:06.000 --> 23:11.000]  I've never known not till now not till this okay so your testimony is that
[23:11.000 --> 23:18.000]  prior to this lawsuit you actually did fly on charter planes correct no you
[23:18.000 --> 23:23.000]  should have jet I'm sorry I if I was confusing you but with the word jet with
[23:23.000 --> 23:26.000]  a hot air balloon count I have also rented those a few times there we go
[23:26.000 --> 23:31.000]  yeah yeah they want to make this a clown court that's what I do
[23:31.000 --> 23:37.000]  I don't know the judge scolding him just see if you can answer this yes or no
[23:37.000 --> 23:43.000]  sir prior to this lawsuit you have paid for a chartered private air travel
[23:43.000 --> 23:47.000]  correct it's a very important question regarding this case I'm sure you know
[23:47.000 --> 23:52.000]  about damages to the and people that suit him I'm sure this has everything to do
[23:52.000 --> 23:56.000]  with that and in addition to the security team that you have and your private air
[23:56.000 --> 24:04.000]  travel arrangements I think that you have security systems at your homes correct
[24:04.000 --> 24:08.000]  does he have security system at his home so what kind of a question is that
[24:08.000 --> 24:12.000]  security at the employers offices yes do we have security at the office oh I don't
[24:12.000 --> 24:15.000]  know does anybody does anybody have security at their house does anybody have
[24:15.000 --> 24:17.000]  security in the office I don't know anybody that has that
[24:17.000 --> 24:20.000]  why don't we bring up I would bet most of people listening have security at their
[24:20.000 --> 24:28.000]  house I have cameras at my house is that oh wow oh they got them Alex Jones flew
[24:28.000 --> 24:32.000]  on a private jet guys Alex Jones has security at his house they got him
[24:32.000 --> 24:37.000]  proving he's guilty of Sandy Hook stuff
[24:37.000 --> 24:43.000]  we bring up paragraph seven on page three all of a nation witnessing it rigged
[24:43.000 --> 24:50.000]  courtrooms bias judges blood in their eye lusting Democrat attorneys
[24:50.000 --> 25:04.000]  434 was a man so exhibiting 45 minutes so let's let's pull it out seven
[25:04.000 --> 25:07.000]  my teeth please
[25:07.000 --> 25:19.000]  okay and this is a complaint that one of your lawyers Robert Barnes wrapped on
[25:19.000 --> 25:24.000]  your path correct yes it was filed in a lawsuit to commence this lawsuit against
[25:24.000 --> 25:31.000]  these yes and one of the claims he made was that on June 17th 2019 at 944 p.m.
[25:31.000 --> 25:37.000]  the young Turks by and through St. Weaver that somebody associated with that group
[25:37.000 --> 25:42.000]  yes St. Weaver is a person associated with yes published on his Twitter account
[25:42.000 --> 25:49.000]  quote Alice Jones sent child porn to Sandy Hook parents see exhibit one the
[25:49.000 --> 25:54.000]  young Turks Twitter and that's a the same headline in the young Turks video
[25:54.000 --> 26:01.000]  page where it still stands today and so there was a there was a tweet right and
[26:01.000 --> 26:04.000]  there was a headline associated on their video page according to this
[26:04.000 --> 26:16.000]  paragraph correct I believe so and if you go further down you say here that they
[26:16.000 --> 26:20.000]  hold themselves down as quote serious journalists with millions of followers
[26:20.000 --> 26:24.000]  across multiple social media platforms and the big media network on YouTube that
[26:24.000 --> 26:30.000]  is completely monetized by YouTube etc etc correct yes and the point of that is
[26:30.000 --> 26:35.000]  to show that these people who you claim lie about you had a significant
[26:35.000 --> 26:40.000]  platform that could result in significant harm to you yes yes and we weren't allowed
[26:40.000 --> 26:45.000]  to respond back as we were on that platform yeah so I'm just trying to sustain
[26:45.000 --> 26:53.000]  so the object to that and go down you're not allowed to say anything and let's go
[26:53.000 --> 26:57.000]  to paragraph allowed to say a fact as a witness one of the things that you were
[26:57.000 --> 27:03.000]  bringing this casework or something called defamation per se right in a claim
[27:03.000 --> 27:07.000]  for defamation per se the words are so obviously hurtful that they require no
[27:07.000 --> 27:11.000]  truth that they cause injury in order for them to be actionable accusing a
[27:11.000 --> 27:15.000]  professional of deliberately saying so here's what here's what the lawyer is
[27:15.000 --> 27:19.000]  doing right now no questions as to its negative on the audio just a little bit
[27:19.000 --> 27:23.000]  so the lawyer is now trying to argue that there's a double standard or that or
[27:23.000 --> 27:28.000]  that rather Jones lawyers have argued the case that he's arguing right now but
[27:28.000 --> 27:33.000]  he's missing the point entirely the point is that no we can't have that case
[27:33.000 --> 27:37.000]  the point is we can't sue these people we can't get into courtrooms we can't
[27:37.000 --> 27:41.000]  sue people for defamation only you're allowed to do that to us so he thinks
[27:41.000 --> 27:45.000]  he's proving the point that info wars is arguing his case when no you're just
[27:45.000 --> 27:49.000]  proving the double standard which is what we were arguing
[27:53.000 --> 28:00.000]  we did this you're attached as proof
[28:00.000 --> 28:08.000]  oh let's go to uh let's go to page six yeah page six and at the end of it
[28:08.000 --> 28:12.000]  after you made these allegations you said where for clean it for special
[28:12.000 --> 28:16.000]  respectfully praise for judgment against the defendants and some to be
[28:16.000 --> 28:24.000]  determined by a jury right did I read that correctly yes and this proof of the harm
[28:24.000 --> 28:33.000]  that you suffered as a result of this you included exhibit and let's go to exhibit
[28:33.000 --> 28:45.000]  eight I'm sorry page one all right we got to take another break here but this is a
[28:45.000 --> 28:50.000]  false equivalency folks and they know it and really they're just proving that
[28:50.000 --> 28:53.000]  there is a double standard because when are we going to see the big courtroom cases
[28:53.000 --> 28:57.000]  of the young Turks lying about Alex Jones and suing him suing them for two
[28:57.000 --> 29:01.000]  hundred million dollars when's that happening oh it'll never happen the
[29:01.000 --> 29:05.000]  best-selling book in America last week was the great reset and the war for the
[29:05.000 --> 29:11.000]  world written by Alex Jones Jones sold more than fifty six thousand copies of
[29:11.000 --> 29:14.000]  his book last week but the New York Times lied about that because the New York
[29:14.000 --> 29:17.000]  Times doesn't want you to know that the New York Times wants to believe that
[29:17.000 --> 29:21.000]  Alex Jones is more discredited than the New York Times the paper that started
[29:21.000 --> 29:24.000]  the Iraq war by lying about weapons mass destruction and got a million people
[29:24.000 --> 29:29.000]  killed so they lied about his book the great reset and the war for the world
[29:29.000 --> 29:35.000]  the historic book that lays out the plans of the great reset Death Star and
[29:35.000 --> 29:42.000]  exposes the New World Order's plans for global enslavement get your copy now at
[29:42.000 --> 29:48.000]  Amazon.com to keep the book at number one and infowarstore.com to help keep
[29:48.000 --> 29:55.000]  info wars on the air the great reset and the war for the world by Alex Jones now
[29:55.000 --> 29:59.000]  number one in the world
[29:59.000 --> 30:05.000]  everybody knows that high quality fish oil does fantastic things for cardiovascular
[30:05.000 --> 30:10.000]  system for your brain for every part of your body but what I don't see being
[30:10.000 --> 30:18.000]  promoted is the fact that it has natural psychotropic effects it certainly does
[30:18.000 --> 30:23.000]  for me I take a couple of these capsules an hour before bed my sweet my dreams
[30:23.000 --> 30:29.000]  are amazing now there are actually some studies out there linking it to amazing
[30:29.000 --> 30:34.000]  events in the brain but I want you to experience it yourself we know it's good
[30:34.000 --> 30:37.000]  for your heart we know it's good for your brain we know it's good for your arteries
[30:37.000 --> 30:42.000]  your lungs and every other function your body but I want you to experience this
[30:42.000 --> 30:47.000]  high-grade fish oil this ultimate fish oil at infowarstore.com and see what it does
[30:47.000 --> 30:53.000]  if you take it before bedtime ultimate fish oil 50% off now exclusively available
[30:53.000 --> 30:57.000]  at infowarstore.com thank you all for your support you're really going to miss out
[30:57.000 --> 31:03.000]  if you don't get it ultimate fish oil is back in stock at infowarstore.com
[31:03.000 --> 31:10.000]  what does ultimate mean that's just our name for the best the highest grade what
[31:10.000 --> 31:16.000]  this concentrated anchovy oil pure Arctic krill oil and high quality
[31:16.000 --> 31:21.000]  wild caught salmon oil does for your brain your heart your cardiovascular
[31:21.000 --> 31:27.000]  system and for your entire body's functions is insane regular low-grade
[31:27.000 --> 31:33.000]  fish oil in all the studies does outstanding things this is the highest grade
[31:33.000 --> 31:37.000]  and it's not been pasteurized it's not been boiled so it has its original
[31:37.000 --> 31:42.000]  effects intact ladies and gentlemen everybody should visit infowarstore.com
[31:42.000 --> 31:48.000]  today and get ultimate fish oil finally back in stock for 50% off for our regular
[31:48.000 --> 31:51.000]  fans they're big supporters you're gonna love it you know how great it is but
[31:51.000 --> 31:55.000]  for folks that have been on the fence experience ultimate fish oil for yourself
[31:55.000 --> 31:59.000]  try taking some before bedtime and see what happens with your dreams
[31:59.000 --> 32:05.000]  just look at these headlines from Reuters world faces unprecedented global hunger
[32:05.000 --> 32:12.000]  crisis UN chief says going into 2023 world food program warns of global food
[32:12.000 --> 32:16.000]  catastrophe looming global catastrophe the world could run out of food by 2023
[32:16.000 --> 32:22.000]  major studies say and the reports go on and on we told you this was a designed
[32:22.000 --> 32:25.000]  program by the globalist two and a half years ago we told you energy and food
[32:25.000 --> 32:29.000]  prices would explode and now they're up more than 40% of the US alone some areas
[32:29.000 --> 32:33.000]  the world they're up over 100% the only way you beat inflation and protect yourself
[32:33.000 --> 32:36.000]  your family is with high quality trouble food ready to ship right now at
[32:36.000 --> 32:43.000]  prepare today.com and a very rare sale of 10% off site-wide not just on trouble food
[32:43.000 --> 32:47.000]  but survival and preparedness items is happening right now 10% off at
[32:47.000 --> 32:52.000]  prepare today.com and on top of it any order above $99 gets free shipping that
[32:52.000 --> 32:56.000]  is a huge part of the cost of trouble food so go to prepare today.com and
[32:56.000 --> 33:00.000]  protect yourself and your family while you still can
[33:00.000 --> 33:07.000]  leading a frontal assault on the lies of the new world order it's Alex Jones
[33:07.000 --> 33:19.000]  All right we're back here live in the InfoWars studios and we go back live to
