[00:00:00.069 --> 00:00:01.751]  This is InfoWars, right?
[00:02:45.182 --> 00:02:48.883]  That's what Hollywood wants to do, though, is to control everybody through images.
[00:02:48.883 --> 00:02:49.403]  Exactly.
[00:02:49.403 --> 00:02:51.644]  So I'm in control of my image now.
[00:02:51.644 --> 00:02:54.025]  It's no longer the people that froze my account.
[00:02:54.025 --> 00:02:56.005]  It's no longer the people that threatened me.
[00:02:56.005 --> 00:02:57.746]  We've got past the threats.
[00:02:57.746 --> 00:03:00.786]  They tried to throw me in jail for the truth.
[00:03:00.786 --> 00:03:05.908]  And, you know, people believe me and people see that
[00:03:06.909 --> 00:03:12.172]  I wasn't crazy on what I was talking about, and they tried to write it off, and they keep trying to write it off.
[00:03:12.172 --> 00:03:20.816]  But the truth is, the more and more I'm faithful to Christ, the more and more He's gonna keep on unlocking the blessings.
[00:03:20.816 --> 00:03:28.260]  You know, He set it on my heart to build communities, to build farms, to build schools, to build the choir.
[00:03:28.260 --> 00:03:31.121]  But when you do that, you have to be really obedient.
[00:03:31.121 --> 00:03:32.562]  Hey guys, could you not talk in the back?
[00:03:32.562 --> 00:03:34.623]  I'm like really hypersensitive to sound.
[00:03:34.623 --> 00:03:36.244]  If you guys want to talk, just go into the room, please.
[00:03:37.965 --> 00:03:39.926]  But we have to be really obedient.
[00:03:39.926 --> 00:03:46.671]  You know, like one of the big topics right now is all of the pedophilia advertisement.
[00:03:46.671 --> 00:03:54.276]  And my take on that is, you know, there's one place in the Bible where it says God sees sin differently.
[00:03:54.276 --> 00:03:59.119]  And there's another place where it says, you know, let me get out my phone.
[00:03:59.119 --> 00:04:02.281]  I can like really pull up the exact thing it says in the Bible.
[00:04:02.281 --> 00:04:05.283]  The general gist, and we'll get back to it after the five-minute break, is that
[00:04:06.078 --> 00:04:14.606]  You have to stay strict to everything and remove as much sin as possible in order to serve God.
[00:04:14.606 --> 00:04:30.380]  And when people look at pornography, when a grown man is looking at a grown woman have sex on camera, you're still looking at someone's daughter and you're looking at a lot of times someone that is the product of pedophilia.
[00:04:32.498 --> 00:04:44.104]  So people will engage in going to strip clubs or looking at pornography, but then the moral compass is like, oh my God, look at the pedophiles.
[00:04:44.104 --> 00:04:50.988]  But in a way, anybody who looks at pornography is a form of a pedophile also.
[00:04:50.988 --> 00:04:52.989]  Let's bank it all in.
[00:04:52.989 --> 00:04:53.890]  It's very simple.
[00:04:54.190 --> 00:04:57.871]  We're not going to be talking about all this moral code and these standards right here.
[00:04:57.871 --> 00:05:00.991]  It's either Christ said so or Christ said no.
[00:05:00.991 --> 00:05:01.291]  Yay!
[00:05:01.291 --> 00:05:02.332]  Powerful information.
[00:05:02.332 --> 00:05:03.192]  I totally agree with you.
[00:05:03.192 --> 00:05:06.072]  Back in 60 seconds to join over 400 radio stations.
[00:05:06.072 --> 00:05:07.373]  Nick Fuentes in the studio.
[00:05:07.373 --> 00:05:08.713]  Everybody, tell everybody you know, tune in now.
[00:05:08.713 --> 00:05:11.113]  Infowars.com forward slash show.
[00:05:11.113 --> 00:05:12.474]  Let's break the internet today.
[00:05:12.474 --> 00:05:14.134]  Stay with us.
[00:05:14.134 --> 00:05:15.114]  Well, make no mistake.
[00:05:15.114 --> 00:05:21.816]  This Thursday, December 1st, 2022 broadcast is beyond the twilight zone because truth is stranger than fiction.
[00:05:21.816 --> 00:05:22.496]  Yay!
[00:05:23.956 --> 00:05:27.177]  Maybe more controversial than Alex Jones or Donald Trump now.
[00:05:27.177 --> 00:05:31.899]  I mean, we're about the most controversial people in the world, and obviously the most attacked and demonized.
[00:05:31.899 --> 00:05:34.841]  He's here, Nick Fuentes is here as well, America first.
[00:05:34.841 --> 00:05:37.442]  We're going to have Ali Alexander on, Owen Schroer.
[00:05:37.442 --> 00:05:41.984]  This thing's going to go for the next three plus hours, as long as Ye wants to go.
[00:05:41.984 --> 00:05:47.786]  Some stations don't carry the first five, but you just dropped some bombs that I totally agree that are huge, Ye.
[00:05:47.786 --> 00:05:49.347]  So recap that and continue on, sir.
[00:05:49.969 --> 00:05:51.490]  Okay, so I look this up.
[00:05:51.490 --> 00:05:52.331]  It's about sin.
[00:05:52.331 --> 00:06:08.965]  That's what we're going to talk about sin today and how we need to do everything that we can where we're imperfect but to flee to free ourselves of sin and repent for sin throughout the day at night and in the morning.
[00:06:08.965 --> 00:06:10.787]  So right here the Bible says right here.
[00:06:11.599 --> 00:06:19.227]  I know I'm gonna do a Corinthians 2, like Trump, you know, new Christian kind of reading of this, so bear with me.
[00:06:19.227 --> 00:06:25.193]  I love Jesus, but I'm not the most, you know, experienced Christian.
[00:06:25.193 --> 00:06:26.834]  And it says, the book of Proverbs
[00:06:28.456 --> 00:06:29.097]  616-19.
[00:06:29.097 --> 00:06:32.300]  I'm sure that's the wrong way to read it.
[00:06:32.300 --> 00:06:33.541]  It's okay, you got the floor.
[00:06:33.541 --> 00:06:34.242]  Okay.
[00:06:34.242 --> 00:06:40.568]  Identify seven things that God hates, although there are not any punishments prescribed for those.
[00:06:40.568 --> 00:06:47.095]  Scripture clearly indicates that God does view sin differently, and that He proscribed...
[00:06:49.736 --> 00:06:55.457]  He proscribed a different punishment for sin depending upon its severity.
[00:06:55.457 --> 00:06:56.598]  Now watch this one.
[00:06:56.598 --> 00:07:02.759]  It says where the phrase all sins are equal in the eyes of God comes from.
[00:07:02.759 --> 00:07:11.541]  As far as I can tell the most common argument for the belief that all sins are created equal comes from the book of James 2.10.
[00:07:11.541 --> 00:07:12.021]  It states
[00:07:12.701 --> 00:07:21.306]  For whoever keeps the whole law, and yet stumbles at just one point, is guilty of breaking all of it.
[00:07:21.306 --> 00:07:24.208]  Now, I'm a big fan of Steve Jobs.
[00:07:24.208 --> 00:07:29.911]  Even though he did create Apple, and if you notice the logo of Apple is actually the fall of man.
[00:07:29.911 --> 00:07:30.811]  The forbidden fruit.
[00:07:30.811 --> 00:07:31.612]  The bitten apple.
[00:07:32.364 --> 00:07:33.205]  Right?
[00:07:33.205 --> 00:07:38.529]  So we can get into, you know, what social media has done to families and all that.
[00:07:38.529 --> 00:07:40.510]  We got three hours, right?
[00:07:40.510 --> 00:07:54.421]  But I like the way our incredible American inventors like Disney and Hughes and Steve Jobs, the way they ran their companies and invented things that changed the world.
[00:07:54.421 --> 00:07:54.541]  And
[00:07:55.302 --> 00:08:01.228]  The way Steve ran his company was his version of a sinless office.
[00:08:01.228 --> 00:08:08.655]  Everyone had to be so meticulous to be able to take what was 10 things at one time and make and put it in the palm of our hand.
[00:08:08.655 --> 00:08:10.097]  Think about an iPhone.
[00:08:10.097 --> 00:08:11.498]  It's your fax.
[00:08:11.498 --> 00:08:13.500]  It's your email.
[00:08:13.500 --> 00:08:14.201]  It's your phone.
[00:08:14.201 --> 00:08:15.222]  And now it's a thousand things.
[00:08:15.342 --> 00:08:16.983]  Yeah, it's your camera.
[00:08:16.983 --> 00:08:19.125]  It's your your flashlight.
[00:08:19.125 --> 00:08:35.236]  Yeah, it's like a thousand things in it, but he had to have his army go in with a sinless approach and right now, you know Gideon call God called Gideon to make an army the 300 the real 300 not the movie version that we're all focused on
[00:08:36.316 --> 00:08:38.177]  Serving this mission at the time.
[00:08:38.177 --> 00:08:50.582]  So we have a mission right now to save our families from social media from Zionist control and bring Jesus Christ back to the forefront and we're protected.
[00:08:50.582 --> 00:08:52.042]  You know, I don't have security.
[00:08:52.042 --> 00:08:53.903]  My security is the angels.
[00:08:53.903 --> 00:09:01.566]  My security is the fact that I didn't load up pornography last night and I said this addiction is going to have to flee from me.
[00:09:01.566 --> 00:09:04.887]  You know this addiction since I was five years old that is destroyed
[00:09:05.467 --> 00:09:23.969]  My my mom and my dad's family that destroyed my family like when I take full accountability for the destruction like of my marriage when I when I I'll point at the liberals and say you took my wife from me you know what took my wife from me the fact that I was married to this beautiful person but it I felt like it wasn't enough I felt like I still
[00:09:24.489 --> 00:09:25.749]  Needed to look at pornography.
[00:09:25.749 --> 00:09:28.690]  In some way, I'd say to her, well stop making these images.
[00:09:28.690 --> 00:09:29.730]  Stop breaking the internet.
[00:09:29.730 --> 00:09:38.932]  You know, that original term comes from my ex-wife actually having a nude photo that I didn't know about that someone used her and put it on a magazine.
[00:09:38.932 --> 00:09:45.053]  But there's somewhere where she's like, well if my husband is looking at this, I still want to be like the girls that are doing this.
[00:09:45.053 --> 00:09:49.253]  And this becomes people reliving the traumas, pushing the addiction.
[00:09:49.253 --> 00:09:51.974]  The pornography industry is not even a big industry.
[00:09:51.974 --> 00:09:52.394]  It's like
[00:09:53.274 --> 00:09:54.895]  Less than 10 billion dollars, right?
[00:09:54.895 --> 00:09:59.156]  So that means that it's not used for prosperity, it's used for disparity.
[00:09:59.156 --> 00:10:11.159]  By the way, George Orwell wrote in 1984, and he'd been the number two guy in PsyOps for OSS, and ran propaganda for the British government, but he found out that he didn't like Hitler, but he found out that they were actually manipulating and created him.
[00:10:11.159 --> 00:10:16.341]  He didn't like the Communists, he'd been one of them, he found out that the British intelligence had actually created that and done that.
[00:10:16.721 --> 00:10:28.070]  And he explained in 1984 that pornography is something to destroy families, destroy our souls, and get us to commit, he wasn't even a big Christian, but get us to debase ourselves so that they can control us.
[00:10:28.070 --> 00:10:32.333]  Absolutely, you got alcohol and pornography are these legal drugs.
[00:10:32.333 --> 00:10:33.714]  Alcohol is a spirit.
[00:10:33.714 --> 00:10:36.296]  I'm gonna, we're gonna go into the spirit of Alkoole.
[00:10:37.219 --> 00:10:40.100]  Well, let's just go to the facts today.
[00:10:40.100 --> 00:10:46.482]  Let's not just even do opinions, and I love how you brought that in because now you got God's warriors coming together.
[00:10:46.482 --> 00:10:50.843]  Right now, okay, Nick Fuentes doesn't have a Twitter account.
[00:10:50.843 --> 00:10:52.523]  Alex Jones doesn't have a Twitter account.
[00:10:52.523 --> 00:10:53.904]  But hey, guess what, Elon?
[00:10:53.904 --> 00:11:00.266]  I got a Twitter, and today I'm gonna have Nick and Alex tweet from my account.
[00:11:00.266 --> 00:11:01.606]  You like that, Ari Emmanuel?
[00:11:05.174 --> 00:11:06.737]  I'm all about free speech.
[00:11:06.737 --> 00:11:08.461]  And the greatest threat is those that want to silence us.
[00:11:08.461 --> 00:11:10.064]  That's why it comes First Amendment.
[00:11:10.064 --> 00:11:13.490]  Anybody trying to take your speech is the enemy.
[00:11:13.490 --> 00:11:14.031]  Absolutely.
[00:11:16.798 --> 00:11:23.440]  I do find it a little bit hypocritical that Elon Musk said that he was purchasing Twitter to create a free speech environment.
[00:11:23.440 --> 00:11:28.641]  He says that free speech is the thing that's going to save the West and our civilization.
[00:11:28.641 --> 00:11:37.763]  But yet, he has taken exception to you, Alex, for some seemingly specific reason, maybe personal to him, but definitely not principled.
[00:11:37.763 --> 00:11:42.084]  So, I think it's time that the people finally demand a real victory here.
[00:11:42.084 --> 00:11:43.765]  We've been at war, essentially.
[00:11:44.525 --> 00:11:52.927]  Since Trump came down the golden escalator seven years ago to put America first, to put Christ first, to free the internet and do these kinds of things.
[00:11:52.927 --> 00:11:58.368]  And here we are all this time later and it seems like we've stagnated or in some ways maybe even taken a step back.
[00:11:58.368 --> 00:12:04.570]  So it's time that people demand we want Christ first, we want America first, we want Alex Jones back on Twitter.
[00:12:05.330 --> 00:12:07.491]  These are just and reasonable demands.
[00:12:07.491 --> 00:12:18.276]  Well, I see it like this, and I want you to be able to elaborate on this, but I don't want Ye to get his run, because he's got so much to say and he always gets cut off, but I'm going to try to shut up as much, but we can go four or five hours if you want, but the main show's actually four hours long.
[00:12:18.276 --> 00:12:19.317]  I was just hoping for three.
[00:12:19.317 --> 00:12:23.779]  We'll do four hours if you guys are up for it, but here's what I'm saying.
[00:12:23.779 --> 00:12:28.881]  I am a classical liberal at heart, so I love everybody and I judge people by what they do, not what color they are.
[00:12:28.881 --> 00:12:32.683]  And then I look at the things you've said, and some of them, out of context, I don't agree with,
[00:12:33.672 --> 00:12:56.423]  But compared to a liberal, a modern liberal saying white people are inherently evil, and white people are bad because of their skin color, and then that's what the ADL and Southern Poverty Law Center and these leftist groups in Hollywood have pushed, so they're putting out something beyond even what Hitler said, but reversing it onto white people, and we're supposed to sit there and accept it, and then Ye comes out and says, hey, you know, I see kind of a mafia running things, and then he's the devil.
[00:12:56.423 --> 00:12:58.484]  No, that's bullshit!
[00:12:58.484 --> 00:12:58.764]  Sorry.
[00:13:00.194 --> 00:13:02.355]  Are we going to curse a little bit less on this?
[00:13:02.355 --> 00:13:03.956]  Yes, yes, Reverend.
[00:13:03.956 --> 00:13:04.417]  I'm going to try.
[00:13:04.417 --> 00:13:05.497]  I'll stop.
[00:13:05.497 --> 00:13:14.923]  And the reason I want it, Nick, people have heard from Nick, but people haven't heard from Nick with Ye standing right next to him.
[00:13:14.923 --> 00:13:19.426]  You know, it's like that's the thing that the Zionist control, the 300
[00:13:22.313 --> 00:13:27.855]  In control of the media, in control of the governments, they don't want us to connect to each other.
[00:13:27.855 --> 00:13:34.398]  Like my dad said, okay, they say you're anti-semitic, but they say he's a white supremacist.
[00:13:34.398 --> 00:13:37.219]  And he's asking me, well, what's the difference?
[00:13:37.219 --> 00:13:39.400]  I said, dad, there is no difference.
[00:13:39.400 --> 00:13:42.701]  It's just separation and confusion.
[00:13:42.701 --> 00:13:48.163]  They want to separate and confuse the Christians and make us afraid to stand next to each other.
[00:13:48.163 --> 00:13:50.765]  A Christian can stand next to anyone.
[00:13:50.765 --> 00:13:51.765]  We can go visit
[00:13:52.165 --> 00:13:53.326]  That's what Jesus did!
[00:14:07.655 --> 00:14:20.069]  Freezing my accounts, smearing me on the media, you know, all of these things, you know, you put on the whole armor of God and they will not be able to break your spirit.
[00:14:20.069 --> 00:14:24.174]  By the way, we can do three hours on this subject and you can do five hours on it.
[00:14:24.874 --> 00:14:34.122]  And let's just get it all going now, because I want to get into everything about your plans to try to bring jobs to America, unifying people, running for president, all those other issues.
[00:14:34.122 --> 00:14:35.264]  So I'm not steering us away from that.
[00:14:35.264 --> 00:14:40.908]  I'm just saying let's just run with it as far as you guys want to go, and then I want to get into all the other topics that surround things.
[00:14:40.908 --> 00:14:41.769]  Oh, beautiful.
[00:14:41.769 --> 00:14:42.990]  So where do you want to start?
[00:14:42.990 --> 00:14:44.352]  Well, I mean, I would just start with this.
[00:14:45.185 --> 00:14:49.349]  There are good people from every group and every type of culture, and we all know that.
[00:14:49.349 --> 00:14:54.715]  But definitely the left, when it was America that defeated Hitler, calls their opposition Hitler.
[00:14:54.715 --> 00:14:57.998]  When both my grandfathers almost died in the Army Air Corps, both of them almost died.
[00:14:57.998 --> 00:15:01.021]  One of them crash-landed after a mission and got all broke up.
[00:15:01.021 --> 00:15:04.865]  The other one got hit in a German air raid in North Africa.
[00:15:05.365 --> 00:15:12.529]  And he'd only done like 18 of his missions, and then he had a concussion, and he was the captain, and then his buddies went up the next day and blew up over Italy.
[00:15:12.529 --> 00:15:21.074]  He was always freaked out about it, never really talked about it until he died, but when he died we read the letters and all the awards he had and stuff and the things he did after that, and then you know re-upping and recommitting to the Army Air Corps.
[00:15:21.074 --> 00:15:29.980]  So I take it as an offense to have George Soros and people that actually work for Hitler rounding up people, tell me I'm a Nazi when I almost don't exist when my grandfathers went over there.
[00:15:30.660 --> 00:15:32.481]  I've got a lot to say about this as well.
[00:15:32.481 --> 00:15:35.384]  It's just nuanced with the whole thing that's going on.
[00:15:35.384 --> 00:15:40.528]  But expanding on that, Ye, give us, because I want you to go wherever you want.
[00:15:40.528 --> 00:15:49.074]  So just, let's just have you talk for 10-15 minutes more before me and, me and, we've got a lot to hear from Fuentes and he needs to be heard, but we want to hear from Ye.
[00:15:49.074 --> 00:15:49.335]  Go ahead.
[00:15:49.963 --> 00:16:03.613]  Well, I said with Ali Alexander and Nick Fuentes that we're like the SWAT team of Free Thought, and I go in with this battle ram at the door, and then they come in with these laser beams and have that information.
[00:16:03.613 --> 00:16:05.235]  And we work together as a team.
[00:16:05.235 --> 00:16:10.699]  A lot of times in media, they want to single out one person and burn them to the core.
[00:16:10.999 --> 00:16:15.442]  That is a Zionist approach, and they're asking me to use that same approach.
[00:16:15.442 --> 00:16:19.826]  Well, hey, don't say all people, just say specifically the businessmen.
[00:16:19.826 --> 00:16:24.509]  And then I go on Lex Freeman, and I say who it's specifically, and that's still not enough.
[00:16:24.509 --> 00:16:26.511]  They're still taking it too far.
[00:16:26.511 --> 00:16:36.939]  Everyone knows and agrees now that it's like a reverse version of American History X, the scene when they put the guy's head against the curve and kick the back of it.
[00:16:37.399 --> 00:16:42.970]  And now people are like, wait a second, the so-called crime doesn't deserve the punishment.
[00:16:42.970 --> 00:16:43.992]  What did I thought?
[00:16:43.992 --> 00:16:44.392]  That's right.
[00:16:44.392 --> 00:16:45.655]  You're not Hitler.
[00:16:45.655 --> 00:16:46.797]  You're not a Nazi.
[00:16:46.797 --> 00:16:48.600]  You don't deserve to be called that and demonized.
[00:16:52.098 --> 00:16:55.980]  I see good things about Hitler also.
[00:16:55.980 --> 00:16:59.122]  I love everyone, and Jewish people are not going to tell me.
[00:16:59.122 --> 00:17:12.050]  You can love us, and you can love what we're doing to you with the contracts, and you can love what we're pushing with the pornography, but this guy that
[00:17:13.064 --> 00:17:17.428]  Invented highways, invented the very microphone that I use as a musician.
[00:17:17.428 --> 00:17:22.633]  You can't say out loud that this person ever did anything good, and I'm done with that.
[00:17:22.633 --> 00:17:24.895]  I'm done with the classifications.
[00:17:24.895 --> 00:17:29.419]  Every human being has something of value that they brought to the table.
[00:17:29.419 --> 00:17:30.820]  Especially Hitler.
[00:17:30.820 --> 00:17:32.101]  How about that one?
[00:17:32.101 --> 00:17:33.783]  Ari Emanuel, how you like that one?
[00:17:33.783 --> 00:17:36.185]  Hey Ron, you gonna do anything to fix Chicago?
[00:17:38.086 --> 00:17:42.709]  Well, I am worried about the thousands of black folks dying a month in Chicago, but let me explain, because that's a nuanced issue.
[00:17:42.709 --> 00:17:48.913]  You know, my grandfather grew up in Dallas from a pretty wealthy family.
[00:17:48.913 --> 00:17:50.474]  Also, Hitler was born Christian.
[00:17:52.083 --> 00:17:55.305]  I've actually studied some of the history on it, but it's very interesting.
[00:17:55.305 --> 00:18:00.208]  My grandfather, you know, grew up and actually some of his family spoke some German.
[00:18:00.208 --> 00:18:01.969]  There's a lot of Germans in Texas.
[00:18:01.969 --> 00:18:09.334]  But did you know that he grew up next door to the inventor of air conditioning and the inventor of one of the major inventors of refrigeration?
[00:18:10.094 --> 00:18:23.866]  And so my issue was growing up my grandfather told me the stories about some of the inside baseball and the things that went on and but later I'm gonna get into that I'm gonna tell you some stuff about Hitler that you might not know directly that happened to my people I knew.
[00:18:23.866 --> 00:18:36.236]  I'd love to hear everything because guess what we don't get to hear it's hidden even like our truth the fact that African-Americans were in America before the Pilgrims that truth is hidden
[00:18:36.696 --> 00:18:40.141]  That we are actually the Native Americans, or some of us are natives.
[00:18:40.141 --> 00:18:47.189]  Or the fact that what Kyrie got in trouble is pointing out that we're Jewish slave boats.
[00:18:47.189 --> 00:18:49.993]  Like, and then... Well, look at Australia.
[00:18:49.993 --> 00:18:52.736]  They've done some of the genetic typing of the Aborigines there.
[00:18:52.736 --> 00:18:53.777]  They're basically Africans.
[00:18:54.434 --> 00:18:55.355]  There you go.
[00:18:55.355 --> 00:19:00.899]  You know, so all of these truths, and then the current truths about banking, about the government.
[00:19:00.899 --> 00:19:08.984]  My favorite thing that I got to say with Tim Pool was Rahm Emanuel was right there next to Obama.
[00:19:08.984 --> 00:19:11.807]  Jared Kushner was right there next to Trump.
[00:19:11.807 --> 00:19:16.150]  What are those two people, those two Zionists, I gave it away, have in common?
[00:19:17.197 --> 00:19:19.540]  Nick, can you pick that up and expound on that?
[00:19:19.540 --> 00:19:20.461]  Absolutely, yeah.
[00:19:20.461 --> 00:19:30.393]  You know, and it's interesting because you've been going on these interviews with Lex Friedman and with Tim Pool and Piers Morgan, and they always say, well, don't talk about a group, talk about the individuals.
[00:19:30.393 --> 00:19:36.279]  And I want to point out, one, it's hypocritical because in the same interview, Tim Pool said, well, wouldn't EA be so great for the black vote?
[00:19:37.042 --> 00:19:41.525]  You can say the black vote, but you talk about Jewish businessmen, and somehow that's a problem.
[00:19:41.525 --> 00:19:44.226]  You can't talk about groups when it's one but not the other.
[00:19:44.226 --> 00:19:53.952]  The other thing is that there is something baked into the cake in Judaism which affects how they're brokering these kinds of contracts with entertainers like Ye.
[00:19:53.952 --> 00:19:55.694]  If you look at the Talmud, which is a real
[00:19:56.494 --> 00:19:57.115]  We're good to go.
[00:20:15.856 --> 00:20:20.098]  If a Jew indirectly kills a Gentile, there's nothing even wrong with that.
[00:20:20.098 --> 00:20:21.899]  There's nothing morally wrong with that.
[00:20:21.899 --> 00:20:26.302]  They say that for a Jew to have sex with a Gentile is comparable to bestiality.
[00:20:26.302 --> 00:20:30.204]  They say that the semen of a Gentile is like that of horses.
[00:20:30.204 --> 00:20:32.805]  They also say that you can't give a gift to a Gentile.
[00:20:32.805 --> 00:20:37.127]  A Jew is not permitted under the Talmud to give a gift to a Gentile.
[00:20:37.127 --> 00:20:42.010]  They're not permitted to charge each other interest, but they're encouraged to charge Gentiles interest.
[00:20:42.010 --> 00:20:43.191]  What do they say about pedophilia?
[00:20:43.911 --> 00:20:46.974]  They say that that's, in some cases, less it.
[00:20:46.974 --> 00:20:55.664]  You're telling me, in their holy book, it says it's okay to be pedophiles as long as it's not another Jewish person?
[00:20:55.664 --> 00:20:57.045]  That's only came from Adam.
[00:20:57.045 --> 00:20:57.826]  I'm not 100% sure.
[00:20:57.826 --> 00:21:01.229]  Let me just get this out front.
[00:21:01.229 --> 00:21:02.170]  I believe in free speech.
[00:21:02.991 --> 00:21:03.472]  And that's
[00:21:21.647 --> 00:21:24.748]  You don't want open borders, you don't want your guns taken, or you don't want to take a shot.
[00:21:24.748 --> 00:21:31.991]  The ADL had a meeting last two weeks ago and said, Alex Jones is an agent of evil, he should be taken off the air, he's the devil, because he doesn't want you to take four shots.
[00:21:31.991 --> 00:21:34.192]  And I'm like, what are you doing calling me anti-Semitic?
[00:21:34.192 --> 00:21:36.553]  I'm not against groups, I don't get into group politics.
[00:21:36.553 --> 00:21:40.995]  Adam, I've got, I mean, sorry, sorry, sorry, I didn't mean to say that.
[00:21:40.995 --> 00:21:41.535]  Alex.
[00:21:41.535 --> 00:21:43.076]  Yes, sir.
[00:21:43.076 --> 00:21:47.057]  I've got the perfect answer for the ADL.
[00:21:47.057 --> 00:21:49.098]  They are going to have to listen up.
[00:21:49.813 --> 00:21:56.876]  What we did is we brought Netanyahu with us.
[00:21:56.876 --> 00:22:00.717]  I'm in the twilight zone right now.
[00:22:00.717 --> 00:22:03.278]  Netanyahu, what do you have to say?
[00:22:03.278 --> 00:22:08.940]  What do you have to say to Alex Jones right now, Nick Fuentes, and Ye?
[00:22:08.940 --> 00:22:10.120]  It was bad.
[00:22:10.120 --> 00:22:14.602]  It was bad for Trump to meet with Nick and Ye.
[00:22:14.602 --> 00:22:16.583]  Okay.
[00:22:16.583 --> 00:22:19.444]  I had no idea your voice was going to sound like that, Netanyahu.
[00:22:22.096 --> 00:22:23.378]  So you don't like Benjamin Netanyahu?
[00:22:42.486 --> 00:22:57.339]  I'm glad you guys are here and we can sit here and all I'm telling you is you guys realize that the British government created Hitler and the Milner group put him in power and there's something much more sophisticated and I personally
[00:22:58.820 --> 00:23:07.063]  I think that most Jews are great people, and I understand there's a Jewish mafia, and they're used to demonize anybody that promotes freedom, but I don't blame Jews in general for that.
[00:23:07.063 --> 00:23:13.605]  And there is a much larger eugenics, transhumanist, scientific elite agenda that's playing off... What about abortion?
[00:23:13.605 --> 00:23:15.666]  It's 50% of black deaths.
[00:23:15.666 --> 00:23:21.748]  There's over 50... Hey, one of the papers I had, you're like, why is it all... You're the director today, it's fine.
[00:23:21.748 --> 00:23:26.490]  The Margaret Singer Rockefeller-founded Planned Parenthood
[00:23:27.714 --> 00:23:34.257]  Came out today and said, because of your white guilt, white people need to give money so we can kill black babies.
[00:23:34.257 --> 00:23:35.578]  I swear to God, it's in my stack.
[00:23:35.578 --> 00:23:38.239]  If you hadn't moved it off the desk, I could pull it right up for you.
[00:23:38.239 --> 00:23:40.040]  Why did I have you move it off the desk, Alex?
[00:23:40.040 --> 00:23:40.800]  Because it's cluttered.
[00:23:40.800 --> 00:23:41.701]  I'm not bitching.
[00:23:41.701 --> 00:23:43.322]  I'm just saying, everybody asks, where's my papers?
[00:23:43.322 --> 00:23:44.662]  I don't have them, they're just a prop.
[00:23:44.662 --> 00:23:46.963]  I could literally go, look, I agree with you.
[00:23:46.963 --> 00:23:47.724]  Look at this.
[00:23:47.724 --> 00:23:51.886]  They say white people help us kill black people for your white guilt.
[00:23:51.886 --> 00:23:54.147]  It actually says that.
[00:23:54.147 --> 00:23:54.307]  Now,
