[00:00:00.089 --> 00:00:00.570]  Red alert.
[00:04:40.684 --> 00:04:44.746]  And it has the aspects of sanctions.
[00:04:44.806 --> 00:04:46.467]  It has the aspects of cyber attacks.
[00:04:46.547 --> 00:04:52.811]  It has the aspects of intensive propaganda and soft kill bioweapon releases.
[00:04:53.871 --> 00:05:17.200]   And generally, The historians and the futurists and myself and others have projected that it would be opened up with a soft kill weapon to bog down civilization and society because it's not just two nations fighting with each other or two superpowers fighting with each other or two power blocks fighting with each other.
[00:05:18.507 --> 00:05:29.572]  It is the larger globalist system of transhumanist that have their in-game goal of collapsing society, and they're playing all sides off against each other.
[00:05:29.973 --> 00:05:32.434]  And the minute we realize that, the minute we can turn this around.
[00:05:32.454 --> 00:05:33.514]  So we're going to go to break.
[00:05:33.554 --> 00:05:34.635]  Some stations join us then.
[00:05:35.756 --> 00:05:38.237]  For some stations, the next segment is the start of the show.
[00:05:38.337 --> 00:05:39.517]  Some stations carry the first five.
[00:05:40.098 --> 00:05:42.699]  But I'm going to drill directly into what we're facing.
[00:05:43.940 --> 00:05:44.760]  It's very, very simple.
[00:05:46.906 --> 00:05:51.209]  Wars almost always tend to escalate when you've got real powers fighting with each other.
[00:05:52.170 --> 00:05:54.111]  Proxy wars tend to turn into theater wars.
[00:05:54.131 --> 00:05:56.673]  Theater wars tend to turn into continental wars.
[00:05:56.713 --> 00:06:04.919]  Continental wars tend to turn into world wars or larger planetary wars with multiple theater wars taking place.
[00:06:05.900 --> 00:06:13.406]  And we're going to be laying it all out here today of how fast this could escalate and stay with us with cyber attacks and sanctions.
[00:06:14.447 --> 00:06:15.627]  The threat is real.
[00:06:16.735 --> 00:06:19.216]  You know, and I helped write that song with Dave Mustaine.
[00:06:19.556 --> 00:06:21.437]  It's got to be 10 years ago now or eight years ago.
[00:06:22.938 --> 00:06:25.879]  We were trying to envision what could start a new world war.
[00:06:27.460 --> 00:06:30.721]  And we talked about Russia, China, the Middle East, and that's the song.
[00:06:31.281 --> 00:06:32.402]  The threat is real.
[00:06:32.622 --> 00:06:34.522]  What a crazy world, ladies and gentlemen.
[00:06:37.484 --> 00:06:41.866]  Here we are on this Friday, February 25th, 2022 transmission.
[00:06:46.698 --> 00:06:53.820]  I'm gonna open the phones up again today, around the end of this hour, and try to go to as many of them as I can, so I can get your take on the situation in the world.
[00:06:54.440 --> 00:07:00.662]  But let me just pull back right now and put the full show headline up on screen for TV viewers, and I'll read it for radio listeners.
[00:07:02.182 --> 00:07:10.845]  Because there's really not words strong enough to describe how much danger every man, woman, and child on this planet is in.
[00:07:11.565 --> 00:07:18.990]   We are in a maximum alert, the threat of worldwide Nuclear war, ladies and gentlemen.
[00:07:21.192 --> 00:07:22.072]  And let me explain why.
[00:07:23.106 --> 00:07:32.448]  Most big wars that get going start when two major powers or three major powers are using a proxy zone for their war.
[00:07:33.248 --> 00:07:34.629]  World War I started that way.
[00:07:34.709 --> 00:07:35.469]  World War II.
[00:07:36.369 --> 00:07:46.531]  And you get different powers that start pushing their borders and annexing areas and you get this creeping testing of the other powers.
[00:07:47.171 --> 00:07:57.109]   And then all of a sudden the major move happens And the other side escalates back, then the other sides escalate, and then it gets into a full war.
[00:07:58.450 --> 00:08:09.837]  So let's talk about what Sleepy Joe and the Globalist are up to, what Vladimir Putin is up to, what Zelensky in Ukraine is up to, what Xi Jinping in Communist China is up to.
[00:08:11.238 --> 00:08:14.640]  Because all of this is interconnected.
[00:08:17.482 --> 00:08:18.943]  We have the usual suspects.
[00:08:20.563 --> 00:08:25.828]  Republican and Democratic Senators calling for more military aid to Ukraine.
[00:08:26.808 --> 00:08:30.472]  That's what got this going in the first place with all the weapons being shipped in to the Russian border.
[00:08:31.192 --> 00:08:32.113]  Talk about poking the bear.
[00:08:32.133 --> 00:08:36.617]  It's like climbing in a grizzly bear den at the zoo and wondering why it eats you.
[00:08:37.358 --> 00:08:41.962]  Or these crazy people that climb in with Bengal tigers or gorillas and wonder why they get their head ripped off.
[00:08:42.662 --> 00:08:43.423]  That's what happened here.
[00:08:44.565 --> 00:08:46.086]  Doesn't mean I back what Putin's doing.
[00:08:46.106 --> 00:08:46.906]  Doesn't mean I like it.
[00:08:47.246 --> 00:08:47.787]  It's terrible.
[00:08:48.467 --> 00:08:50.488]  And whatever happens now, it's on Putin.
[00:08:50.508 --> 00:08:51.949]  I mean, this is historic.
[00:08:52.329 --> 00:08:53.009]  Make no mistake.
[00:08:55.551 --> 00:08:58.392]  But back into a corner, you see what Russia did.
[00:08:58.932 --> 00:09:05.176]  And the last straw was Biden pulling out of Afghanistan in such a shoddy, horrible, evil way.
[00:09:06.356 --> 00:09:07.417]  That was blood in the water.
[00:09:08.633 --> 00:09:21.802]  And now China obviously is moving more troops and more of its equipment into those areas they've built, the artificial islands they've constructed in and around Taiwan and the entire South China Sea.
[00:09:23.343 --> 00:09:27.406]  So here is the big escalation, ladies and gentlemen.
[00:09:27.446 --> 00:09:28.587]  Here's the big escalation.
[00:09:30.629 --> 00:09:56.505]   We've got all the talking heads saying that if there's any type of cyber attack anywhere outside of Ukraine and a NATO member And that if so much as a stoplight goes out and can be blamed on the Russians, Senator Warner and others actually said that, that if they can blame a stoplight going out and that U.S.
[00:09:56.525 --> 00:10:02.468]  troops have a car wreck, that we have to invoke Article 5 and go to war with Russia and basically end the world as we know it.
[00:10:04.269 --> 00:10:05.110]  So there's that issue.
[00:10:05.170 --> 00:10:06.611]  Now, even if the U.S.
[00:10:06.671 --> 00:10:25.122]  government doesn't launch a cyber attack against Poland or against Hungary or against the Czech Republic or against Germany, any NATO member, you know hacker groups and you know different globalist groups are going to try to stir this up and accelerate this.
[00:10:25.142 --> 00:10:25.903]  They're that crazy.
[00:10:26.563 --> 00:10:29.265]  And there's private hacker groups that are totally insane as well.
[00:10:30.006 --> 00:10:30.806]  Agents of chaos.
[00:10:31.887 --> 00:10:46.865]   And so having The Ukrainian leader, and the German leader, and the British leader, the UK leader, the Canadian leader, all say, and Biden has said, if there's any cyber attacks against the U.S.
[00:10:46.905 --> 00:10:48.506]  or anybody else, that's an act of war.
[00:10:49.487 --> 00:10:50.567]  And we're going to go to war with you.
[00:10:50.787 --> 00:10:55.690]  Remember what Hillary said back when she was running for president five years ago, six years ago.
[00:10:56.230 --> 00:11:01.653]  She said, if there's a cyber attack, I will attack Russia with nuclear weapons.
[00:11:02.073 --> 00:11:02.814]  I've played the clips.
[00:11:04.238 --> 00:11:04.958]  You can type it in.
[00:11:04.998 --> 00:11:07.920]  Hillary Clinton threatens nuclear war with Russia if there's a cyber attack.
[00:11:09.281 --> 00:11:23.869]  If you think it's easy to stage a false flag, and I do think for once the State Department and others are being accurate, I mean, car bombs going off right as the Russians invade as the pretext, I mean, that's what militaries do when they invade.
[00:11:24.109 --> 00:11:24.809]  If you don't think the U.S.
[00:11:24.829 --> 00:11:27.151]  military doesn't do that, you're not living in the real world, okay?
[00:11:27.651 --> 00:11:29.352]  That's in military classified manuals.
[00:11:30.260 --> 00:11:32.121]  Usually you don't want to kill people if you're the good guys.
[00:11:32.141 --> 00:11:36.804]  You'll blow up a few tanks or blow up, you know, an embassy building or a barracks.
[00:11:37.745 --> 00:11:39.126]  And then that's your pretext.
[00:11:39.166 --> 00:11:41.427]  So it does look like some of those things did indeed happen.
[00:11:41.647 --> 00:11:43.489]  And see, it's okay to talk about false flags.
[00:11:45.450 --> 00:11:47.071]  It's okay to question false flags.
[00:11:47.191 --> 00:11:54.776]  It's okay to know that's something real throughout history and something that happens currently that governments, corporations, universities, and individuals do.
[00:11:55.973 --> 00:12:03.921]  Hell, I've seen at least 10 examples in the last couple of weeks of black people carrying out attacks against themselves to get attention and blame white people.
[00:12:05.171 --> 00:12:09.674]  And there's been cases of white women, you know, blooding themselves up and saying black men raped them.
[00:12:09.694 --> 00:12:13.237]  I mean, there are attention seekers all over the place that pull crap like that.
[00:12:13.777 --> 00:12:19.682]  And if it's going on down at the low level, the individual level, you know what's going on at the grand scale even more.
[00:12:19.742 --> 00:12:20.282]  So there's that.
[00:12:20.402 --> 00:12:43.990]   So how did Putin respond to the announcements that if one cyber attack happens, if somebody hacks into a red light and makes people have a wreck, We are going to invoke Article 5, which means we have to then have NATO go to war with Russia and Ukraine, or for whatever country is attacked.
[00:12:45.250 --> 00:13:04.867]   To have that as the talking point for weeks, that Russia is now going to launch a cyber attack against the West is preposterous, because that would then bring in Russia's enemies and have what Russia doesn't want to have, A war where it gets defeated with the West, a nuclear war.
[00:13:06.027 --> 00:13:14.089]  This is being done to look strong, to go in, and to disarm Ukraine, because Russia for 20 years has let the West expand NATO five times.
[00:13:14.449 --> 00:13:26.972]  That's very clear, and Putin said two weeks ago and a week ago, he said, I'm not going to invade, just say you're not going to invoke Article 5, and that you're not going to bring Ukraine into NATO.
[00:13:27.613 --> 00:13:28.353]  And they said, nope!
[00:13:29.346 --> 00:13:32.408]  The State Department tweeted images of large U.S.
[00:13:32.448 --> 00:13:41.254]  transport aircraft delivering pallets of very destructive anti-aircraft and anti-tank weapons.
[00:13:43.035 --> 00:13:46.037]  So, the West went and started a fight.
[00:13:47.662 --> 00:13:55.045]  It's got one now, but you've got to pull back and ask, who are the real forces here that are going to consolidate power and get more control?
[00:13:55.345 --> 00:13:56.225]  And it is the globalists.
[00:13:56.766 --> 00:13:59.627]  I've been making this point for months, but Zero Hedge is another excellent article.
[00:14:00.367 --> 00:14:12.352]  It was picked up from one of the other great sites out there, AltMarket, where they explain the globalists come out the winners in this crisis.
[00:14:13.348 --> 00:14:14.889]  And so I'm not on Russia's side.
[00:14:14.989 --> 00:14:16.891]  I'm not, quote, on Ukraine's side.
[00:14:17.532 --> 00:14:24.738]  I'm on America's side, common sense's side, in full spectrum analysis, understanding who the main players are.
[00:14:24.818 --> 00:14:30.202]  So when we come back, Putin upped the ante when they said, OK, any cyber attacks, we're going to attack you.
[00:14:30.743 --> 00:14:34.806]  Putin tells Biden imposing sanctions will be seen as an act of war.
[00:14:36.363 --> 00:14:39.625]  So Putin says that any sanctions are an act of war.
[00:14:40.125 --> 00:14:41.746]  That's coming up on the other side.
[00:14:41.786 --> 00:14:42.246]  Stay with us.
[00:14:42.807 --> 00:14:43.647]  All right, folks.
[00:14:44.168 --> 00:14:46.709]  Thank you for joining us here on the Alex Jones Show on this Friday edition.
[00:14:50.871 --> 00:15:03.579]  I'm going to cover the developments in Russia for this segment, the next, but then in the last segment of this hour, I really dropped the ball yesterday and did not cover the COVID news.
[00:15:05.353 --> 00:15:07.095]  And this isn't just about this news.
[00:15:07.235 --> 00:15:08.596]  It's just unbelievable.
[00:15:08.616 --> 00:15:11.559]  And we already knew this and had almost all the pieces of it.
[00:15:11.599 --> 00:15:15.062]  But now we have the last ones that Moderna created COVID-19.
[00:15:15.163 --> 00:15:18.886]  And then they just reverse engineered it in the lab to have a cover story.
[00:15:20.468 --> 00:15:21.148]  And they released it.
[00:15:21.769 --> 00:15:25.673]  Of course, Moderna was created by Bill Gates and others just for this event.
[00:15:29.275 --> 00:15:36.759]  But they're using this war and they're using the inflation and all the other problems to tell us, oh, the COVID restrictions are over.
[00:15:38.940 --> 00:15:43.583]  And then we just forget about how we've just been soft killed for all the numbers and governments from Europe.
[00:15:44.488 --> 00:15:53.917]  To the UK, to the US, to Canada, all announced last week, oh, we're going to make secret all the COVID numbers now because people are misusing it.
[00:15:54.277 --> 00:15:55.778]  Yeah, it shows the massive death.
[00:15:56.099 --> 00:16:02.565]  Just like Moderna and Pfizer and others went to courts and said, don't ever release any of our secret studies on this.
[00:16:03.025 --> 00:16:05.748]  And now they were forced to release some and it's mass death.
[00:16:07.449 --> 00:16:09.311]  But they know the public has a short attention span.
[00:16:12.799 --> 00:16:16.782]  And so they want everyone to just now move on to Russia and what's happening there.
[00:16:18.543 --> 00:16:22.365]  That's coming up last segment of this hour.
[00:16:22.405 --> 00:16:31.051]  I mean, it's a huge stack, but COVID spike protein contained DNA sequences patented by Moderna three years before pandemic began, scientists discovered.
[00:16:32.912 --> 00:16:36.094]  And it hit quite a bit of newspapers last two days, but got almost no coverage.
[00:16:37.569 --> 00:16:43.713]  Fresh lab leak fears a study finds genetic code in COVID spike protein linked to Moderna patent.
[00:16:44.293 --> 00:16:46.295]  And of course, Bill Gates and Fauci and the rest of them.
[00:16:48.996 --> 00:16:58.042]  Major German insurance company finds what US insurance companies found at least a 40% increase in death in the vaccinated.
[00:17:01.124 --> 00:17:04.987]  Unbelievable information.
[00:17:07.236 --> 00:17:07.917]  Coming up today.
[00:17:07.937 --> 00:17:27.892]  And of course the Indians, 25 months ago, a major Indian university that has a gene scanner, a $2 billion machine, they scanned the damn thing and they said, this is 100% man-made, P-Shuttle gene attached, HIV spike protein put on it, we can see that this is synthetically made.
[00:17:28.192 --> 00:17:31.395]  They didn't just splice viruses, they freaking made it!
[00:17:32.375 --> 00:17:33.096]  It's nanotech.
[00:17:34.997 --> 00:17:37.658]  And we have the head of Moderna bragging about it.
[00:17:38.018 --> 00:17:39.318]  We have the head of Pfizer bragging.
[00:17:39.758 --> 00:17:41.559]  Just a few weeks ago, remember we played the clip?
[00:17:42.599 --> 00:17:44.200]  Oh, it is quite good.
[00:17:44.520 --> 00:17:45.860]  It's so wonderful.
[00:17:46.140 --> 00:17:48.001]  We actually made a whole thing in lab.
[00:17:48.041 --> 00:17:49.901]  We don't need to gain a function.
[00:17:50.241 --> 00:17:52.322]  We have machine make whole thing.
[00:17:52.722 --> 00:17:56.103]  We make COVID-19 to treat you.
[00:17:56.143 --> 00:17:56.363]  Yeah.
[00:17:56.903 --> 00:17:59.364]  It just so happened to match the one in the wild.
[00:18:01.069 --> 00:18:03.612]  These dudes all have like weird Transylvania accents.
[00:18:03.672 --> 00:18:05.614]  I mean, please save us!
[00:18:05.974 --> 00:18:06.475]  My God.
[00:18:08.397 --> 00:18:11.740]  Oh, you see, I said I'd get to it last segment of this hour, and now I started getting to it.
[00:18:11.639 --> 00:18:13.879]  It's just ridiculous.
[00:18:13.879 --> 00:18:19.379]  So.
[00:18:19.379 --> 00:18:21.619]  (clicking)
[00:18:21.619 --> 00:18:31.619]  [BLANK_AUDIO]
[00:18:23.336 --> 00:18:24.036]  Let me just calm down.
[00:18:24.056 --> 00:18:25.036]  Let me just start over.
[00:18:26.277 --> 00:18:28.677]  We can now put the full show headline on screen.
[00:18:29.397 --> 00:18:30.758]  But I sure hope everybody shares.
[00:18:31.758 --> 00:18:32.618]  And that's Red Alert.
[00:18:33.498 --> 00:18:37.819]  Planet Earth on verge of massive nuclear war.
[00:18:42.060 --> 00:18:42.620]  Watch live.
[00:18:44.020 --> 00:18:45.821]  And you know, maybe we should just add to that headline.
[00:18:46.041 --> 00:18:52.382]  Putin says any sanctions will be treated as an act of war and will be responded to with force.
[00:18:55.871 --> 00:18:57.813]  And you ask, why would Putin do such a thing?
[00:18:58.773 --> 00:19:05.399]  Because all the major Western leaders came out and said, if a red light, that's a quote of a U.S.
[00:19:05.539 --> 00:19:10.122]  Senator, if a red light goes out and we think it's Putin, we're going to war.
[00:19:12.164 --> 00:19:13.085]  Sounds like a good plan.
[00:19:14.786 --> 00:19:16.027]  That sounds really restrained.
[00:19:16.067 --> 00:19:17.128]  That sounds really smart.
[00:19:18.069 --> 00:19:24.194]  These crazy ass lawyers that run our country, like Senator Mark Warner, need to be put in rubber rooms.
[00:19:25.399 --> 00:19:28.400]  You're the people that shipped billions of dollars of weapons into Ukraine.
[00:19:30.181 --> 00:19:33.102]  You're the ones that kept poking Russia in the nose.
[00:19:34.382 --> 00:19:35.342]  And now look what you've done.
[00:19:37.363 --> 00:19:39.724]  Finally found somebody you couldn't push around.
[00:19:40.544 --> 00:19:44.245]  Just like Napoleon and just like Hitler, you dumb asses.
[00:19:47.066 --> 00:19:49.487]  And then you, Trump had a plan with the military.
[00:19:50.820 --> 00:20:07.331]  And with private contractors for a fraction of the price, less than 10% of the trillion dollar cost every few years, over $150 billion a year, he had plans for $10 billion a year to stabilize Afghanistan and pull out of there, and instead they just evacuated the military first.
[00:20:08.332 --> 00:20:16.998]  On purpose, folks, to fiasco all that, because globalists up top wanted to then lure China and lure Russia into these military actions.
[00:20:18.695 --> 00:20:21.858]  What's it if you play 20 moves ahead, you can see where all this is going?
[00:20:25.802 --> 00:20:26.062]  Yeah.
[00:20:26.663 --> 00:20:27.624]  I mean, you've got the U.S.
[00:20:27.644 --> 00:20:31.227]  sending 180 tons of weapons to Ukraine and more on the way.
[00:20:32.929 --> 00:20:34.831]  And now you've seen the response of that.
[00:20:34.851 --> 00:20:49.813]   I mean, can you imagine if the United States had Russian troops On its border, and if the Russians were giving the Mexicans $5 billion in anti-aircraft missiles and anti-tank missiles, what do you think the U.S.
[00:20:49.833 --> 00:20:50.154]  would do?
[00:20:50.474 --> 00:20:50.954]  The U.S.
[00:20:51.034 --> 00:20:56.519]  would, back when we had real presidents, within a week of it being discovered, the U.S.
[00:20:56.579 --> 00:21:00.542]  would be hitting it with airstrikes and attacking, just like in the Cuban Missile Crisis.
[00:21:00.562 --> 00:21:07.808]  And of course, the Russians wouldn't dare do something like that, because they know that would start a nuclear war.
[00:21:10.984 --> 00:21:27.850]  But the United States does, because they got a bunch of lawyers, like Mark Warner running things, that are anti-free speech, anti-God, and anti-family, and who think, because they stole America and all of our incredible intelligence and science, that they are incredible, and they are exceptional.
[00:21:28.170 --> 00:21:35.172]  And what they are is exceptionally evil, and stupid, and living in their own damn bubbles, and they're gonna get everybody killed, Warner!
[00:21:36.860 --> 00:21:45.326]  Then there won't be the young pages to pull your seat out for you and kiss your ass all day while you run around starting fights with everybody.
[00:21:47.368 --> 00:21:55.313]  All these men showing off to each other how tough they are because they're willing to start a war with our young men and women.
[00:21:57.715 --> 00:21:58.836]  And you better believe there's U.S.
[00:21:58.876 --> 00:22:01.518]  troops all over Ukraine right now.
[00:22:02.999 --> 00:22:04.300]  And I've talked to a lot of smart people.
[00:22:04.320 --> 00:22:05.841]  They think this will be over in the next day or two.
[00:22:06.963 --> 00:22:08.266]  And that Ukraine will capitulate?
[00:22:08.567 --> 00:22:11.474]  If they don't, then it becomes a real fiasco.
[00:22:15.523 --> 00:22:17.485]  But the tit-for-tat is now accelerating.
[00:22:18.005 --> 00:22:23.089]  Putin tells Biden imposing sanctions will be seen as an act of war as Biden prepares sanctions.
[00:22:23.109 --> 00:22:41.424]  And I love the quote by Obama today, warning Biden that sanctions will cause a lot of pain and problems, but it's worth it, even though it's going to cost the average American thousands of dollars in energy price increases, says Obama, who has a $100 million Netflix deal last time I checked.
[00:22:42.557 --> 00:22:46.220]  Says Obama that got a, what was it, a $10 million, $20 million book deal?
[00:22:46.440 --> 00:22:48.261]  I mean, the guy's worth hundreds of millions of dollars.
[00:22:48.482 --> 00:22:49.482]  He didn't earn any of it.
[00:22:49.823 --> 00:22:51.384]  He's just given it because he's a former president.
[00:22:51.544 --> 00:22:57.709]  He's got a giant mansion in Martha's Vineyard, a giant mansion in Hawaii on the beach.
[00:22:59.410 --> 00:23:02.893]  But you can handle a couple thousand dollars extra.
[00:23:03.053 --> 00:23:03.693]  Oh, no, you can't.
[00:23:03.793 --> 00:23:04.274]  Oh, sorry.
[00:23:04.594 --> 00:23:06.395]  Well, you'll just live on the side of the street.
[00:23:07.250 --> 00:23:08.110]  See how easy that is?
[00:23:08.870 --> 00:23:12.091]  These damn people are out of control and they are menaces!
[00:23:12.551 --> 00:23:13.131]  We'll be right back.
[00:23:14.072 --> 00:23:34.757]  I knew when I got on air 28 years ago that if we exposed the globalist plan decades before that when they actually launched their operation we would have a very good chance of beating them because enough people would be aware of the plan but also others would marvel at the fact that so many others had known what was coming.
[00:23:36.115 --> 00:23:40.257]  Everything I foresaw has taken place, except one thing.
[00:23:41.858 --> 00:23:47.161]  I never imagined that it would be me as one of the main leaders in the fight.
[00:23:47.741 --> 00:24:05.840]   I believed that there were going to be smarter men, better men, that people cared, and that all these bankers and politicians and lawyers just didn't know most of them, and that if I did the right thing and spoke up and raised the alarm, better men than I Would come to my aid and that we could defeat them.
[00:24:06.640 --> 00:24:07.681]  And I guess that did happen.
[00:24:07.721 --> 00:24:08.742]  It just took a long time.
[00:24:09.662 --> 00:24:13.385]  And now you see a lot of amazing people standing up and fighting back and speaking out.
[00:24:13.445 --> 00:24:16.747]  But it's been the audience of this broadcast.
[00:24:16.827 --> 00:24:19.790]  I know you don't want the credit.
[00:24:20.290 --> 00:24:20.870]  You want freedom.
[00:24:20.890 --> 00:24:21.491]  You want a future.
[00:24:21.511 --> 00:24:24.973]  You want a relationship with God.
[00:24:24.993 --> 00:24:26.334]  I understand.
[00:24:27.195 --> 00:24:28.636]  But you need to let it sink in.
[00:24:30.051 --> 00:24:50.608]  That those of you that have been listening 26, 27 years, 20 years, 10 years, five years, six months, or even a day, you get all the credit because if it wasn't for you believing in InfoWars and supporting us and caring enough to tune in and then tell others about the broadcast, the world would be in a much, much worse position right now.
[00:24:52.349 --> 00:24:55.572]  They were going to continue on with the COVID tyranny unabated.
[00:24:58.268 --> 00:24:59.349]  And that's how we turn this around.
[00:24:59.168 --> 00:25:02.808]   chain reaction of others waking up others who wake up others that wake up others that
[00:25:02.808 --> 00:25:04.448]  wake up others who wake up others.
[00:25:04.448 --> 00:25:07.847]   It's so important not to just tell somebody about this show or share a video with them
[00:25:07.847 --> 00:25:09.927]  or an article from somebody else that's informative.
[00:25:09.927 --> 00:25:13.808]   You got to explain and you got to share it and tell them to share it and then tell them
[00:25:13.808 --> 00:25:23.448]  to share it and it's that paying it forward that is power.
[00:25:23.448 --> 00:25:25.168]  And that's how we turn this around.
[00:25:25.168 --> 00:25:30.328]   So yeah, we're in a world of hurt and things aren't going to be smooth here for a long
[00:25:30.328 --> 00:25:35.768]   time but we can see the promise laying off in the distance ladies and gentlemen and it's
[00:25:35.768 --> 00:25:36.527]  not a mirage.
[00:25:36.527 --> 00:25:46.527]  [BLANK_AUDIO]
[00:25:37.655 --> 00:25:38.516]  And we got to get there.
[00:25:39.636 --> 00:25:42.217]  It's like your boat sinks and you're two miles from land and you're not a very good swimmer.
[00:25:42.477 --> 00:25:44.098]  Well, you better swim or you're going to die.
[00:25:46.859 --> 00:25:48.599]  And on your way there, a jellyfish stings you.
[00:25:48.819 --> 00:25:50.460]  Well, you better just ignore the pain and keep going.
[00:25:51.553 --> 00:25:53.535]  Or you're going to gulp water and go to the bottom and die.
[00:25:54.215 --> 00:25:56.637]  So yeah, we're two miles offshore in waves and jellyfish.
[00:25:56.877 --> 00:25:57.398]  And guess what?
[00:25:57.718 --> 00:26:01.081]  You just better point your ass at the shore and start going for the shore.
[00:26:01.741 --> 00:26:04.644]  Because on our backs are our children and future generations.
[00:26:05.064 --> 00:26:14.872]  So stop being a bunch of wimps and stop caring what people think about you on the other side and just execute the information out there and don't stop and we will win.
[00:26:15.472 --> 00:26:17.274]  We do not have a choice.
[00:26:20.676 --> 00:26:30.195]  Now, the globalists never stopped.
[00:26:30.242 --> 00:26:30.903]  They never give up.
[00:26:33.144 --> 00:26:35.626]  And they're really pissed at Russia for not being fully under their control.
[00:26:36.566 --> 00:26:39.248]  And so they are pushing Russia into a fight.
[00:26:40.489 --> 00:26:51.756]  And I understand that Russia was surrounded, weapons were on its border, and that the globalist system was setting Russia up for war and defeat.
[00:26:52.737 --> 00:27:04.506]   But I think Putin made a major mistake going into Ukraine, and long term, the globalists are going to try to trigger a larger war.
