[00:26.000 --> 00:28.000]  You don't need
[02:40.000 --> 02:43.000]  somewhat insulated because the U.S. dollar
[02:43.000 --> 02:46.000]  is the currency of choice for the world
[02:46.000 --> 02:48.000]  and there's some insulation there
[02:48.000 --> 02:51.000]  but you know, I do see the U.S. slowing down too
[02:51.000 --> 02:53.000]  Don't miss a second
[02:53.000 --> 02:57.000]  So we are the best house in the bad neighborhood
[02:57.000 --> 03:01.000]  Germany has a 900% energy increase in cost
[03:01.000 --> 03:05.000]  this year in the last eight months
[03:05.000 --> 03:07.000]  France has an 800% increase
[03:07.000 --> 03:11.000]  Italy has a 760% increase
[03:11.000 --> 03:16.000]  The United States has a 100% increase in gas
[03:16.000 --> 03:18.000]  gasoline from oil
[03:18.000 --> 03:21.000]  and a 47% increase in electricity
[03:21.000 --> 03:23.000]  in just eight months
[03:23.000 --> 03:25.000]  Do you have any idea? I'm sure you do
[03:25.000 --> 03:27.000]  You're feeling it, what this is going to do
[03:27.000 --> 03:29.000]  I'm going to say this front and center right up front
[03:29.000 --> 03:31.000]  I'm leaving it all in the field, I love my crew
[03:31.000 --> 03:33.000]  I love you all
[03:33.000 --> 03:35.000]  We are in a Chapter 5 bankruptcy
[03:35.000 --> 03:37.000]  to be able to show we're solvent
[03:37.000 --> 03:39.000]  but then show the courts
[03:39.000 --> 03:41.000]  we don't have all these extra money
[03:41.000 --> 03:44.000]  but the Democrat Party law firms are suing for
[03:44.000 --> 03:46.000]  so this organization coming out of Chapter 5
[03:46.000 --> 03:49.000]  in full wars and free speech will be to operate
[03:49.000 --> 03:51.000]  basically forever
[03:51.000 --> 03:53.000]  because we'll just have a plan
[03:53.000 --> 03:56.000]  on what can be paid to these people
[03:56.000 --> 03:58.000]  versus what they're claiming we have
[03:58.000 --> 04:00.000]  and then you're truly
[04:00.000 --> 04:02.000]  basically won't get paid or a very small amount
[04:02.000 --> 04:04.000]  that's fine, I don't care about that
[04:04.000 --> 04:06.000]  I want to stay on the air
[04:06.000 --> 04:08.000]  but if we don't make it through Chapter 5
[04:08.000 --> 04:10.000]  in the next five weeks
[04:10.000 --> 04:12.000]  it's a 13-week process
[04:12.000 --> 04:14.000]  we're already seven weeks into it
[04:14.000 --> 04:17.000]  then this place is going bye-bye
[04:17.000 --> 04:20.000]  so we are right there ladies and gentlemen
[04:20.000 --> 04:22.000]  on the cusp
[04:22.000 --> 04:24.000]  all you got to do is go to m4warstore.com
[04:24.000 --> 04:26.000]  there's not a better place to fight the new world order
[04:26.000 --> 04:28.000]  and get the great products
[04:28.000 --> 04:30.000]  ladies and gentlemen, fiber greens
[04:30.000 --> 04:32.000]  the highest quality greens you're going to get
[04:32.000 --> 04:34.000]  from wheatgrass, more concentrate
[04:34.000 --> 04:36.000]  it's back in stock, 50% off
[04:36.000 --> 04:38.000]  diet force is amazing back in stock
[04:38.000 --> 04:40.000]  40% off, brain force plus back in stock
[04:40.000 --> 04:42.000]  50% off, we have the immunity
[04:42.000 --> 04:44.000]  supercharger, trifecta, DNA force
[04:44.000 --> 04:46.000]  vitamin C with zinc
[04:46.000 --> 04:48.000]  and the D3 gummies, highest quality
[04:48.000 --> 04:50.000]  back in stock together, a trifecta
[04:50.000 --> 04:52.000]  you better be taking this fall and winter
[04:52.000 --> 04:54.000]  or you're crazy what's going on
[04:54.000 --> 04:56.000]  the booster immune system, it's 50% off
[04:56.000 --> 04:58.000]  please go there now and keep us on air
[05:01.000 --> 05:04.000]  m4war's work has never been having a bigger effect
[05:04.000 --> 05:06.000]  than it's having right now
[05:06.000 --> 05:08.000]  and today is do or die time
[05:08.000 --> 05:10.000]  if m4war's gets the funding
[05:10.000 --> 05:12.000]  into the midterms in the next year
[05:12.000 --> 05:14.000]  we're going to stay on air and be more effective than ever
[05:14.000 --> 05:16.000]  but if we don't
[05:16.000 --> 05:18.000]  I respect your decision and I'm ready to
[05:18.000 --> 05:20.000]  basically implode and shut down our main operations
[05:20.000 --> 05:22.000]  I've done my
[05:22.000 --> 05:24.000]  work, I've put everything into it
[05:24.000 --> 05:26.000]  I'm leaving it all in the field
[05:26.000 --> 05:28.000]  but I believe at a gut level
[05:28.000 --> 05:30.000]  you're going to come through
[05:30.000 --> 05:32.000]  plus you're going to get great products that your family already need
[05:32.000 --> 05:34.000]  so don't procrastinate
[05:34.000 --> 05:36.000]  show m4war's, you want us to stay on the air
[05:36.000 --> 05:38.000]  go to m4warstore.com
[05:38.000 --> 05:40.000]  where we got three great products back in stock
[05:40.000 --> 05:42.000]  vitamin C and zinc, highest quality
[05:42.000 --> 05:44.000]  super strong back in stock
[05:44.000 --> 05:46.000]  vitamin D3 and calcium
[05:46.000 --> 05:48.000]  and of course DNA Force Plus
[05:48.000 --> 05:50.000]  all these products are 50% off
[05:50.000 --> 05:52.000]  together in a combo pack
[05:52.000 --> 05:54.000]  or 40% off individually
[05:54.000 --> 05:56.000]  so they're great products you already need for your immune system
[05:56.000 --> 05:58.000]  and we need the money to stay on air
[05:58.000 --> 06:12.000]  so please take action now, thank you
[06:12.000 --> 06:15.000]  live from the infowars.com studios
[06:15.000 --> 06:20.000]  you're listening to the Alex Jones show
[06:20.000 --> 06:22.000]  well thank you for joining us on this live
[06:22.000 --> 06:24.000]  September 18th
[06:24.000 --> 06:26.000]  2022 Sunday broadcast
[06:26.000 --> 06:28.000]  coming up in just a few months
[06:28.000 --> 06:30.000]  we'll have our 29th anniversary
[06:30.000 --> 06:32.000]  that I've been on air
[06:32.000 --> 06:34.000]  and back then I knew
[06:34.000 --> 06:36.000]  the new world order was coming
[06:36.000 --> 06:38.000]  I really sincerely hoped that we could stop it
[06:38.000 --> 06:40.000]  but we haven't stopped it
[06:40.000 --> 06:42.000]  instead
[06:42.000 --> 06:44.000]  humanity is not being caught flat footed
[06:44.000 --> 06:46.000]  in the fight against this tyrannical takeover
[06:46.000 --> 06:48.000]  and we have
[06:48.000 --> 06:50.000]  the blueprints of the battle plan of the enemy
[06:50.000 --> 06:52.000]  we know how to stop them, that's why they fight so hard
[06:52.000 --> 06:54.000]  to take us off air
[06:54.000 --> 06:56.000]  but I always wondered
[06:56.000 --> 06:58.000]  if we could stay on air
[06:58.000 --> 07:00.000]  until they launched their operation
[07:00.000 --> 07:02.000]  if we were unable to stop them
[07:02.000 --> 07:04.000]  then then what would the fallback position be
[07:04.000 --> 07:06.000]  and what would it be like
[07:06.000 --> 07:08.000]  to be living in the economic warfare
[07:08.000 --> 07:10.000]  where they said they would use the cutoff of energy
[07:10.000 --> 07:12.000]  the cutoff of food
[07:12.000 --> 07:14.000]  the implosion of borders, the cutting off of services
[07:14.000 --> 07:16.000]  like defunding the police
[07:16.000 --> 07:18.000]  to bring down civilization
[07:18.000 --> 07:20.000]  and how would they get away
[07:20.000 --> 07:22.000]  with posing as the saviors
[07:22.000 --> 07:24.000]  of their global, cashless society
[07:24.000 --> 07:26.000]  gulag solution
[07:26.000 --> 07:28.000]  out of the collapse
[07:28.000 --> 07:30.000]  when they are the public authors of it
[07:30.000 --> 07:32.000]  I always wondered
[07:32.000 --> 07:34.000]  reading Henry Kissinger and Zbigniew Brzezinski
[07:34.000 --> 07:36.000]  and Klaus Schwab
[07:36.000 --> 07:38.000]  Bilderberg group documents that had leaked out
[07:38.000 --> 07:40.000]  because their own people are horrified by it
[07:40.000 --> 07:42.000]  how they would get away with that
[07:42.000 --> 07:44.000]  well we're now living, we're now seeing it
[07:44.000 --> 07:46.000]  and they're not completely getting away with it
[07:46.000 --> 07:48.000]  there's a lot of leaders getting elected
[07:48.000 --> 07:50.000]  a lot of resistance
[07:50.000 --> 07:52.000]  it doesn't go with the great reset was
[07:52.000 --> 07:54.000]  or what the post-industrial world was
[07:54.000 --> 07:56.000]  or what it was in 2030 was
[07:56.000 --> 07:58.000]  that was something this audience knew
[07:58.000 --> 08:00.000]  and a few other people maybe 5%
[08:00.000 --> 08:02.000]  of the US population
[08:02.000 --> 08:04.000]  maybe 5% of the world population
[08:04.000 --> 08:06.000]  that's just a dead reckoning number
[08:06.000 --> 08:08.000]  but now it's 30% or so
[08:08.000 --> 08:10.000]  now it's very serious and central
[08:10.000 --> 08:12.000]  soon it'll be 50%, 60%
[08:12.000 --> 08:14.000]  the system hopes to have everybody
[08:14.000 --> 08:16.000]  censored shut down when the real hell comes
[08:16.000 --> 08:18.000]  which is basically where we're at now
[08:18.000 --> 08:20.000]  at the beginning of the unfolding
[08:20.000 --> 08:22.000]  next level of this
[08:22.000 --> 08:24.000]  we're going out of beta into operational
[08:24.000 --> 08:26.000]  New World Order
[08:26.000 --> 08:28.000]  so today we've got a very important Sunday
[08:28.000 --> 08:30.000]  broadcast, Owen Schreuer coming up
[08:30.000 --> 08:32.000]  in about 2 hours, we'll be hosting Sunday Live
[08:32.000 --> 08:34.000]  6 to 8pm
[08:34.000 --> 08:36.000]  it's a special show, we only run local ads
[08:36.000 --> 08:38.000]  for radio and TV stations so there's 6 minutes of ads
[08:38.000 --> 08:40.000]  an hour to the 14 minutes an hour
[08:40.000 --> 08:42.000]  like our shows, a lot of folks only watch
[08:42.000 --> 08:44.000]  pad podcasts, they say why are you this format
[08:44.000 --> 08:46.000]  well we're still on hundreds of radio stations
[08:46.000 --> 08:48.000]  and TV stations and cable stations
[08:48.000 --> 08:50.000]  but we are moving towards the future
[08:50.000 --> 08:52.000]  not even having our own ads
[08:52.000 --> 08:54.000]  only going to the local breaks
[08:54.000 --> 08:56.000]  6 to 7 minutes an hour but Sunday Live
[08:56.000 --> 08:58.000]  with Owen Schreuer always informative with your phone calls
[08:58.000 --> 09:00.000]  and more, 6 to 8pm only here
[09:00.000 --> 09:02.000]  because of your support, this is the Sunday edition
[09:02.000 --> 09:04.000]  of the Alex Jones show
[09:04.000 --> 09:06.000]  don't forget I'm live, Monday through Friday
[09:06.000 --> 09:08.000]  from 11am to 3pm central right after
[09:08.000 --> 09:10.000]  the great broadcast
[09:10.000 --> 09:12.000]  of American Journal with Harrison Smith
[09:12.000 --> 09:14.000]  and then of course the war room after my show
[09:14.000 --> 09:16.000]  6pm central to 6pm with Owen Schreuer
[09:16.000 --> 09:18.000]  and the only way this broadcast gets out
[09:18.000 --> 09:20.000]  it gets past the censors and past the gatekeepers
[09:20.000 --> 09:22.000]  we move the ball against the enemy
[09:22.000 --> 09:24.000]  is when you tell everybody you know
[09:24.000 --> 09:26.000]  friends, family, neighbors, strangers
[09:26.000 --> 09:28.000]  via text message, via email, via word of mouth
[09:28.000 --> 09:30.000]  via picture on the side of your barn
[09:30.000 --> 09:32.000]  whether you hand out business cards
[09:32.000 --> 09:34.000]  at church, however you do it
[09:34.000 --> 09:36.000]  we are the tip of the spear
[09:36.000 --> 09:38.000]  we're having the biggest effect out there
[09:38.000 --> 09:40.000]  and the globalists see us as the biggest threat
[09:40.000 --> 09:42.000]  because they know we've mobilized the general population
[09:42.000 --> 09:44.000]  they know you're mobilized, they know you're men and women
[09:44.000 --> 09:46.000]  in the arena, so I salute you for that
[09:46.000 --> 09:48.000]  but I want you to not get
[09:48.000 --> 09:50.000]  jaded
[09:50.000 --> 09:52.000]  or so close to the problem
[09:52.000 --> 09:54.000]  you don't realize how central
[09:54.000 --> 09:56.000]  and how amazing and how powerful you are
[09:56.000 --> 09:58.000]  and how without you
[09:58.000 --> 10:00.000]  we don't have hope in the world
[10:00.000 --> 10:02.000]  but with you we have an incredible hope
[10:02.000 --> 10:04.000]  now
[10:04.000 --> 10:06.000]  today, tonight
[10:06.000 --> 10:08.000]  we've got the world economy
[10:08.000 --> 10:10.000]  imploding by design and how
[10:10.000 --> 10:12.000]  we can expose this behind it and hopefully stop it
[10:12.000 --> 10:14.000]  from beginning to that next segment
[10:14.000 --> 10:16.000]  then we have the thing that's really gotten people's attention
[10:16.000 --> 10:18.000]  and really mobilized the public
[10:18.000 --> 10:20.000]  and that's
[10:20.000 --> 10:22.000]  50 illegal aliens
[10:22.000 --> 10:24.000]  shipped by Florida, we're coming to Florida out of Texas
[10:24.000 --> 10:26.000]  to the elitist enclave
[10:26.000 --> 10:28.000]  of Marthas Vineyard, Massachusetts
[10:28.000 --> 10:30.000]  and the total conniption fit freaking out on the left
[10:30.000 --> 10:32.000]  over that calling it a crisis
[10:32.000 --> 10:34.000]  when Texas steals over a million
[10:34.000 --> 10:36.000]  people invading
[10:36.000 --> 10:38.000]  that's what this is
[10:38.000 --> 10:40.000]  every single month
[10:40.000 --> 10:42.000]  just in Texas
[10:42.000 --> 10:44.000]  according to board patrol and ICE numbers
[10:44.000 --> 10:46.000]  we're looking at the incredible hypocrisy
[10:46.000 --> 10:48.000]  and the insane response
[10:48.000 --> 10:50.000]  of all these Democrat leaders calling
[10:50.000 --> 10:52.000]  for criminal charges
[10:52.000 --> 10:54.000]  against
[10:54.000 --> 10:56.000]  Governor DeSantis
[10:56.000 --> 10:58.000]  and Governor
[10:58.000 --> 11:00.000]  of Texas
[11:00.000 --> 11:02.000]  as well
[11:02.000 --> 11:04.000]  and so when you see this
[11:04.000 --> 11:06.000]  happening it just shows
[11:06.000 --> 11:08.000]  how crazy they are
[11:08.000 --> 11:10.000]  the Senate's own report mentions the Democrats
[11:10.000 --> 11:12.000]  that dissolved the border and are involved in
[11:12.000 --> 11:14.000]  giant human trafficking handing out
[11:14.000 --> 11:16.000]  literally billions of dollars
[11:16.000 --> 11:18.000]  a month to randomly
[11:18.000 --> 11:20.000]  ship people and fly people around the country
[11:20.000 --> 11:22.000]  and then Republicans
[11:22.000 --> 11:24.000]  do something tiny to illustrate how
[11:24.000 --> 11:26.000]  this is incredible hypocrisy
[11:26.000 --> 11:28.000]  Abbott and DeSantis
[11:28.000 --> 11:30.000]  and they say it is the end of the world
[11:30.000 --> 11:32.000]  so we've got that
[11:32.000 --> 11:34.000]  we also have incredible new revelations
[11:34.000 --> 11:36.000]  where they illegally spy for the FBI
[11:36.000 --> 11:38.000]  on conservative leaders and patriots
[11:38.000 --> 11:40.000]  around the country
[11:40.000 --> 11:42.000]  we have massive news on the COVID vaccine front
[11:42.000 --> 11:44.000]  massive news on so many fronts today
[11:44.000 --> 11:46.000]  you want to miss this broadcast
[11:46.000 --> 11:48.000]  but here's the report that's so important
[11:48.000 --> 11:50.000]  the impending globalist plan
[11:50.000 --> 11:52.000]  revealed
[11:58.000 --> 12:00.000]  oh
[12:00.000 --> 12:02.000]  the folks down in Louisiana at Mississippi
[12:02.000 --> 12:04.000]  like to eat their crawdads
[12:04.000 --> 12:06.000]  and their bullfrogs
[12:06.000 --> 12:08.000]  and the rest of it and well sometimes
[12:08.000 --> 12:10.000]  they just throw the whole frog
[12:10.000 --> 12:12.000]  in the boiling pot but they've learned
[12:12.000 --> 12:14.000]  that if we throw one into boiling
[12:14.000 --> 12:16.000]  water he'll just jump right out
[12:16.000 --> 12:18.000]  but if you set him in a cool
[12:18.000 --> 12:20.000]  pot of water
[12:20.000 --> 12:22.000]  and you just turn the heat up slow
[12:22.000 --> 12:24.000]  he thinks it's a hot tub at first and then
[12:24.000 --> 12:26.000]  passes out and dies a painless death
[12:26.000 --> 12:28.000]  and that's where America and the world
[12:28.000 --> 12:30.000]  is right now we're in the middle
[12:30.000 --> 12:32.000]  of the new world order
[12:32.000 --> 12:34.000]  great reset take down of civilization
[12:34.000 --> 12:36.000]  the world is not
[12:36.000 --> 12:38.000]  driven forward by
[12:38.000 --> 12:40.000]  big
[12:40.000 --> 12:42.000]  kind
[12:42.000 --> 12:44.000]  decisions
[12:44.000 --> 12:46.000]  the world is driven forward
[12:46.000 --> 12:48.000]  by small action
[12:48.000 --> 12:50.000]  but actions
[12:50.000 --> 12:52.000]  which are integrated into an
[12:52.000 --> 12:54.000]  overall system
[12:54.000 --> 12:56.000]  this is a scientific
[12:56.000 --> 12:58.000]  technocracy takeover
[12:58.000 --> 13:00.000]  that puts us onto the AI
[13:00.000 --> 13:02.000]  global social credit score
[13:02.000 --> 13:04.000]  cashless society system
[13:04.000 --> 13:06.000]  if you're left behind you're facing
[13:06.000 --> 13:08.000]  something far worse
[13:08.000 --> 13:10.000]  which is to be completely irrelevant
[13:10.000 --> 13:12.000]  they won't even need you as a
[13:12.000 --> 13:14.000]  serf or as a slave
[13:14.000 --> 13:16.000]  adding to the body a second
[13:16.000 --> 13:18.000]  immune system which is not
[13:18.000 --> 13:20.000]  organic but an inorganic immune system
[13:20.000 --> 13:22.000]  made up of millions of
[13:22.000 --> 13:24.000]  tiny nanorobots
[13:24.000 --> 13:26.000]  inside your body
[13:26.000 --> 13:28.000]  who is a very unique source
[13:28.000 --> 13:30.000]  having infiltrated
[13:30.000 --> 13:32.000]  the globalist cult at the
[13:32.000 --> 13:34.000]  UN level is that he was in
[13:34.000 --> 13:36.000]  high level meetings that required
[13:36.000 --> 13:38.000]  number of security clearances where
[13:38.000 --> 13:40.000]  they actually discussed the plan
[13:40.000 --> 13:42.000]  to bring 100 million people into the
[13:42.000 --> 13:44.000]  United States in order to pave
[13:44.000 --> 13:46.000]  the way for a regional government of
[13:46.000 --> 13:48.000]  US, Canada and Mexico
[13:48.000 --> 13:50.000]  and that was to bring in 100 million
[13:50.000 --> 13:52.000]  people from Latin American
[13:52.000 --> 13:54.000]  countries together with a
[13:54.000 --> 13:56.000]  strategy of creating these cartels
[13:56.000 --> 13:58.000]  making life unbearable
[13:58.000 --> 14:00.000]  it's called the push-pull strategy
[14:00.000 --> 14:02.000]  where they push all these people out of
[14:02.000 --> 14:04.000]  these countries where it's unbearable
[14:04.000 --> 14:06.000]  living like this and they
[14:06.000 --> 14:08.000]  pull them into the United States
[14:08.000 --> 14:10.000]  and then once you've reached that critical
[14:10.000 --> 14:12.000]  number of over 100 million
[14:12.000 --> 14:14.000]  in this invasion they will then
[14:14.000 --> 14:16.000]  propose that well for your family and
[14:16.000 --> 14:18.000]  friends back home who need
[14:18.000 --> 14:20.000]  you know you need ease of travel
[14:20.000 --> 14:22.000]  they need a better life and so on and so
[14:22.000 --> 14:24.000]  in the regional government then we can
[14:24.000 --> 14:26.000]  with the US government and
[14:26.000 --> 14:28.000]  they will have enough critical mass inside
[14:28.000 --> 14:30.000]  the country in order to affect that policy
[14:30.000 --> 14:32.000]  that's the globalist plan that we're
[14:32.000 --> 14:34.000]  working towards. Now being aware of
[14:34.000 --> 14:36.000]  this is the key to winning and
[14:36.000 --> 14:38.000]  whether you're in Sweden or whether
[14:38.000 --> 14:40.000]  you're in Italy or whether you're in Canada
[14:40.000 --> 14:42.000]  it's spreading all over the planet
[14:42.000 --> 14:44.000]  so the globalists are in trouble
[14:44.000 --> 14:46.000]  and this fight is literally in a
[14:46.000 --> 14:48.000]  tie position right now
[14:48.000 --> 14:50.000]  if you think collapsing borders is bad
[14:50.000 --> 14:52.000]  all the terrible things in wars
[14:52.000 --> 14:54.000]  and police state political purges and censorship
[14:54.000 --> 14:56.000]  and cashless societies
[14:56.000 --> 14:58.000]  and gun purchases being tracked
[14:58.000 --> 15:00.000]  by the credit card companies illegally and putting you
[15:00.000 --> 15:02.000]  in a database
[15:02.000 --> 15:04.000]  if you think that's bad
[15:04.000 --> 15:06.000]  you ain't seen nothing yet
[15:06.000 --> 15:08.000]  last night I talked about
[15:08.000 --> 15:10.000]  my involvement in the development
[15:10.000 --> 15:12.000]  of a little microchip
[15:12.000 --> 15:14.000]  implant
[15:14.000 --> 15:16.000]  and many people
[15:16.000 --> 15:18.000]  have already taken that microchip implant
[15:18.000 --> 15:20.000]  the news media
[15:20.000 --> 15:22.000]  has talked about it being a good thing
[15:22.000 --> 15:24.000]  and they will tell you
[15:24.000 --> 15:26.000]  that it's a good thing to have this
[15:26.000 --> 15:28.000]  your children will
[15:28.000 --> 15:30.000]  ever get lost again
[15:30.000 --> 15:32.000]  they won't be able to give you the wrong
[15:32.000 --> 15:34.000]  medication
[15:34.000 --> 15:36.000]  you won't be able to lose this thing
[15:36.000 --> 15:38.000]  and so the plan
[15:38.000 --> 15:40.000]  is underway that you will
[15:40.000 --> 15:42.000]  receive it. I would
[15:42.000 --> 15:44.000]  be remiss if I came to you
[15:44.000 --> 15:46.000]  and didn't tell you that God's word
[15:46.000 --> 15:48.000]  says don't you
[15:48.000 --> 15:50.000]  take it. What matters for our children
[15:50.000 --> 15:52.000]  is we win this fight
[15:52.000 --> 15:54.000]  what happens to us doesn't matter
[15:54.000 --> 15:56.000]  and in that challenge
[15:56.000 --> 15:58.000]  in that conflict we will find
[15:58.000 --> 16:00.000]  the road to God.
[16:00.000 --> 16:02.000]  People ask me all the time
[16:02.000 --> 16:04.000]  what is your best neutropic
[16:04.000 --> 16:06.000]  you've got turbo force
[16:06.000 --> 16:08.000]  you've got brain force plus
[16:08.000 --> 16:10.000]  and you've got brain force ultra
[16:10.000 --> 16:12.000]  which one is better
[16:12.000 --> 16:14.000]  and that's like asking
[16:14.000 --> 16:16.000]  for a 50
[16:16.000 --> 16:18.000]  or a Cadillac
[16:18.000 --> 16:20.000]  or a Ferrari
[16:20.000 --> 16:22.000]  it's different strokes for different folks
[16:22.000 --> 16:24.000]  it varies
[16:24.000 --> 16:26.000]  all three are different formulas
[16:26.000 --> 16:28.000]  all three do different things
[16:28.000 --> 16:30.000]  turbo force is 10 hours of clean
[16:30.000 --> 16:32.000]  out of control energy
[16:32.000 --> 16:34.000]  I can't even take a whole pack myself
[16:34.000 --> 16:36.000]  brain force plus is a
[16:36.000 --> 16:38.000]  long term acting clean neutropic
[16:38.000 --> 16:40.000]  this brain force ultra
[16:40.000 --> 16:42.000]  is a super fast acting
[16:42.000 --> 16:44.000]  that creates incredible
[16:44.000 --> 16:46.000]  clarity but doesn't last very long
[16:46.000 --> 16:48.000]  they're all three different formulas
[16:48.000 --> 16:50.000]  and finally back in stock massively
[16:50.000 --> 16:52.000]  discounted brain force ultra
[16:52.000 --> 16:54.000]  is available at infowarstore.com
[16:54.000 --> 16:56.000]  brain force ultra
[16:56.000 --> 17:20.000]  back in stock infowarstore.com
[17:30.000 --> 17:32.000]  take action now by texting the word
[17:32.000 --> 17:34.000]  news
[17:34.000 --> 17:36.000]  to 833-470-0438
[17:36.000 --> 17:38.000]  that's 833-470-0438
[17:38.000 --> 17:40.000]  for info wars emergency news
[17:40.000 --> 17:42.000]  alerts or text the word show
[17:42.000 --> 17:44.000]  to 833-470-0438
[17:44.000 --> 17:46.000]  and receive live show
[17:46.000 --> 17:48.000]  notifications
[17:48.000 --> 17:50.000]  take action now
[17:50.000 --> 17:52.000]  read the chain reaction until others
[17:52.000 --> 17:54.000]  to share those texts
[17:54.000 --> 17:56.000]  to 833-470-0438
[18:00.000 --> 18:02.000]  Donald Trump and the mighty republicans
[18:02.000 --> 18:04.000]  represented extremism
[18:04.000 --> 18:06.000]  that threatened the very foundations
[18:06.000 --> 18:08.000]  of our republic
[18:08.000 --> 18:10.000]  I wouldn't be surprised if this doesn't have an operational name
[18:10.000 --> 18:12.000]  in fact I bet it does
[18:12.000 --> 18:14.000]  I bet it's called operation
[18:14.000 --> 18:16.000]  matador
[18:16.000 --> 18:18.000]  they see us as the bull
[18:18.000 --> 18:20.000]  and they are shaky a red
[18:20.000 --> 18:22.000]  flag in our face
[18:22.000 --> 18:24.000]  and the matador is the deep state
[18:24.000 --> 18:26.000]  with a long skinny razor
[18:26.000 --> 18:28.000]  sharp sword
[18:28.000 --> 18:30.000]  so that when the bull lunges forward
[18:30.000 --> 18:32.000]  the matador uses the force of its weight
[18:32.000 --> 18:34.000]  to drive it into the heart
[18:34.000 --> 18:36.000]  and step aside with his cape
[18:36.000 --> 18:38.000]  as the bull buries himself into the dust
[18:38.000 --> 18:40.000]  they've got the ace of spades in their hand
[18:40.000 --> 18:42.000]  which is false flags
[18:42.000 --> 18:44.000]  before you launch a war you stage false flags
[18:44.000 --> 18:46.000]  that's the first thing you do
[18:46.000 --> 18:48.000]  because nobody wants to say they started a war
[18:48.000 --> 18:50.000]  bad guys start wars
[18:50.000 --> 18:52.000]  war gets launched by bad guys
[18:52.000 --> 18:54.000]  they stage an event
[18:54.000 --> 19:20.000]  operation matador
[19:20.000 --> 19:24.000]  for its many key properties
[19:24.000 --> 19:26.000]  some of the proprietary super ingredients
[19:26.000 --> 19:28.000]  behind brain force culture include
[19:28.000 --> 19:30.000]  oronaceae
[19:30.000 --> 19:32.000]  which is loaded with energy compounds
[19:32.000 --> 19:34.000]  and antioxidants that have been used by
[19:34.000 --> 19:36.000]  amazonian tribes for centuries
[19:36.000 --> 19:38.000]  alpha gpc
[19:38.000 --> 19:40.000]  a natural compound found in the brain
[19:40.000 --> 19:42.000]  that delivers an essential nutrient
[19:42.000 --> 19:44.000]  koli and ginko leaf
[19:44.000 --> 19:46.000]  which is also known for its exceptional
[19:46.000 --> 19:48.000]  antioxidant content
[19:48.000 --> 19:50.000]  so you know it's packed full of the good stuff
