[00:00:00.000 --> 00:00:03.480]  [SIRENS]
[00:07:00.720 --> 00:07:04.907]  But as time went on, things seemed to be heading in the opposite direction.
[00:07:05.208 --> 00:07:21.887]  a dumbing down.
[00:07:21.897 --> 00:07:25.480]  Now look at this woman, spraying gasoline on top of the car.
[00:07:25.500 --> 00:07:26.101]  This is not a joke.
[00:07:26.461 --> 00:07:29.504]  She thinks that's how you clean your car, and she's got her mask on!
[00:07:29.764 --> 00:07:30.945]  So let me get this straight.
[00:07:31.245 --> 00:07:32.106]  She's black.
[00:07:32.546 --> 00:07:33.627]  She's Indian.
[00:07:33.988 --> 00:07:35.169]  He's a reverend.
[00:07:35.449 --> 00:07:36.830]  He's a hero.
[00:07:37.090 --> 00:07:38.992]  And this guy is a woman?
[00:07:39.372 --> 00:07:41.994]  I'm gonna grow a magnificent pair of wrists!
[00:07:42.575 --> 00:07:49.360]  So that means that this is a peaceful protest, and this is a deadly insurrection.
[00:07:49.720 --> 00:07:55.044]  This guy's a white supremacist, and this guy won the election.
[00:07:55.404 --> 00:07:58.107]  The economy was in a state of deep neglect.
[00:07:58.967 --> 00:08:06.113]  A great dust bowl had ravaged food supplies, and the number one movie in the country was called Ass.
[00:08:09.480 --> 00:08:11.447]  And that's the Secretary of Health.
[00:08:13.576 --> 00:08:14.576]  That's kind of stupid.
[00:08:14.936 --> 00:08:16.937]  Today could be your lucky day.
[00:08:16.957 --> 00:08:20.418]  California's first vaccine lottery drawing takes place tonight.
[00:08:20.498 --> 00:08:20.918]  That's right.
[00:08:20.938 --> 00:08:22.058]  You can win $1 million.
[00:08:22.078 --> 00:08:23.139]  Get vaccinated.
[00:08:23.699 --> 00:08:26.419]  Enjoy your extra big ass fries.
[00:08:26.699 --> 00:08:27.680]  You're saying I could get this?
[00:08:28.660 --> 00:08:29.520]  These delicious fries?
[00:08:30.180 --> 00:08:32.741]  But there's also a burger element to this?
[00:08:32.961 --> 00:08:34.081]  Joints for jabs.
[00:08:34.201 --> 00:08:35.342]  That's what they're calling it.
[00:08:35.422 --> 00:08:39.563]  Free joints today to those who could prove they got the COVID vaccine.
[00:08:40.452 --> 00:08:41.633]  You sound really smart.
[00:08:41.873 --> 00:08:44.514]  The answer is mass formation psychosis.
[00:08:44.574 --> 00:08:45.655]  Did you just make that up?
[00:08:47.076 --> 00:08:52.078]  I don't like them putting chemicals in the water that turn the friggin frogs gay!
[00:08:52.378 --> 00:08:53.859]  What a stupid son of a bitch.
[00:08:54.239 --> 00:08:55.540]  You're the smartest guy in the world.
[00:08:55.580 --> 00:08:57.021]  You're pretty dumb sometimes.
[00:08:57.601 --> 00:08:58.382]  I'm kind of retarded.
[00:09:02.895 --> 00:09:04.076]  Toilet to tap.
[00:09:04.416 --> 00:09:05.257]  Like out the toilet?
[00:09:05.537 --> 00:09:08.239]  So you're taking every single thing going down a toilet.
[00:09:08.339 --> 00:09:08.860]  Every drop.
[00:09:09.120 --> 00:09:10.201]  Toilet to tap.
[00:09:10.260 --> 00:09:17.260]  It's got electrolytes.
[00:09:17.260 --> 00:09:31.139]   When I mention now names like Mrs. Merkel, even Vladimir Putin and so on,
[00:09:31.139 --> 00:09:34.740]   they all have been young global leaders of the world economic forum.
[00:09:34.740 --> 00:09:35.240]  Mm-hm.
[00:09:36.080 --> 00:09:50.586]   But what we are very proud of now is the young generation like Prime Minister Trudeau, President of Argentina and so on, That we penetrate the cabinets.
[00:09:51.227 --> 00:10:10.985]  So yesterday I was at a reception for Prime Minister Trudeau and I would know that half of this cabinet or even more half of this cabinet are actually young noble leaders of the world economy.
[00:10:11.857 --> 00:10:13.458]  And that's true in Argentina, too.
[00:10:13.758 --> 00:10:13.999]  Wow.
[00:10:14.339 --> 00:10:14.519]  Yeah.
[00:10:14.799 --> 00:10:14.999]  Sorry.
[00:10:15.240 --> 00:10:16.601]  That's true in Argentina as well.
[00:10:17.001 --> 00:10:20.604]  It's true in Argentina, and it's true in France now.
[00:10:20.764 --> 00:10:41.460]  I'm here with the President, with the young global leader, but what is important... It's estimated that more than a million people of the 33 million folks of Canada have now traveled to the capital, the beautiful capital, beautiful city of Ottawa.
[00:10:44.631 --> 00:10:47.413]  And they are now surrounding the Parliament structure.
[00:10:49.014 --> 00:10:53.577]  The National News has been showing shots of the back of the Parliament that is fenced off, saying no one's there.
[00:10:53.597 --> 00:10:54.957]  I have the articles right here.
[00:10:55.598 --> 00:10:57.839]  You ask, why would they tell such criminal lies?
[00:10:57.859 --> 00:10:58.720]  Because it's all they've got.
[00:10:59.460 --> 00:11:02.882]  The system, the establishment, what it's selling, we're not buying.
[00:11:04.403 --> 00:11:15.466]   But reportedly, not just the main highway that had the 40-plus mile long record convoy, but all the other major highways are now blocked, people trying to get in, It could be over a million.
[00:11:17.948 --> 00:11:19.429]  Obviously, we want peace.
[00:11:20.230 --> 00:11:23.173]  We want civil disobedience to peacefully occupy.
[00:11:24.594 --> 00:11:27.196]  We don't want any provocateurs breaking into the Parliament.
[00:11:27.917 --> 00:11:29.178]  The Parliament's not the enemy.
[00:11:29.919 --> 00:11:37.746]  It is the Governor General of the Queen of England that's in real control and their minion, Trudeau, who said he wants to be a dictator.
[00:11:39.011 --> 00:11:47.116]  All the evidence is he almost lost control of the Parliament and that's despite all the election fraud and the snap election he called a few months ago.
[00:11:49.477 --> 00:11:55.060]  Google is only putting two and three day old news up and is blocking any new breaking information.
[00:11:56.101 --> 00:11:56.741]  It's incredible.
[00:11:57.241 --> 00:12:07.427]  You have to go to DuckDuckGo or even Microsoft's Bing, not saying it's perfect, to find the incredible info or go to Twitter or go to Instagram and type in Canadian truckers.
[00:12:09.198 --> 00:12:13.039]  Truckers Canada, and it's just, all day I've been fascinated watching it.
[00:12:13.499 --> 00:12:14.819]  It is amazing.
[00:12:16.660 --> 00:12:17.180]  And historic.
[00:12:17.200 --> 00:12:22.861]  But I want to be very, very clear with everyone.
[00:12:26.042 --> 00:12:40.922]   Where we are today in the year 2022, as the first month of this year prepares to fade into history, is the freest and safest and wealthiest we will ever be.
[00:12:42.464 --> 00:12:43.084]  And healthiest.
[00:12:46.106 --> 00:12:48.929]  Unless we turn back the Great Reset and to build back better.
[00:12:49.448 --> 00:12:52.371]  World government, eugenics, depopulation agenda.
[00:12:52.851 --> 00:12:59.057]  They don't want to just take down America because they don't want an example of wealth and upward mobility and freedom for the rest of the world.
[00:12:59.097 --> 00:13:03.181]  They want to take down all systems that empower humans.
[00:13:03.321 --> 00:13:10.488]  They want to teach you to live in a dystopia where you have nothing, you own nothing, you have no rights, you are literally a vassal.
[00:13:11.749 --> 00:13:21.774]  With your resources cut off so they can have the so-called middle class that's tiny, the managerial class, engage in warfare against the underclass for diminishing resources.
[00:13:23.235 --> 00:13:27.637]  The argument is an environmental one to quote save the earth, but that is only the cover story for this.
[00:13:30.659 --> 00:13:34.741]  This, my friends, is nothing less than genocide.
[00:13:36.302 --> 00:13:37.863]  The numbers finally came out last week.
[00:13:38.655 --> 00:13:43.877]  In the first year of the global lockdown, an extra 25 million people starved to death, not from the virus, but from the lockdown.
[00:13:44.978 --> 00:13:49.359]  That's more than 10 times globally what the virus killed, even if you believe the official numbers that are inflated.
[00:13:50.320 --> 00:13:57.182]  Well, now they're reporting over 40 million extra starved to death in the last two years of the lockdown, because they're still under lockdown in Africa.
[00:13:57.683 --> 00:14:05.166]  They're still under lockdown in Latin America, other than Brazil, because the IMF and World Bank, the private banks, own those countries.
[00:14:05.826 --> 00:14:07.106]  They've got them by the balls.
[00:14:07.126 --> 00:14:08.207]  They've got them with the debt.
[00:14:09.164 --> 00:14:19.772]  And they tell them, you don't open your small businesses, you don't open your farms, you don't open your ranches, you just let all your milk cows get slaughtered.
[00:14:19.793 --> 00:14:21.974]  Because you can't just leave milk cows there producing milk.
[00:14:22.395 --> 00:14:25.617]  People asked a year and a half ago during the lockdown, why in the U.S.
[00:14:25.757 --> 00:14:27.399]  are they just dumping milk in the gutters?
[00:14:28.259 --> 00:14:31.662]  Because there's no trucks to come get it to take it to the store.
[00:14:31.722 --> 00:14:32.763]  That's why you didn't have milk.
[00:14:33.103 --> 00:14:36.526]  And then the cows keep producing, and so you've got to dump it.
[00:14:39.005 --> 00:14:40.086]  That's the supply chain.
[00:14:40.687 --> 00:14:42.589]  That is the shutdown of our systems.
[00:14:42.969 --> 00:14:49.196]  That is the economic war we're now under that is already going to cause and has caused a worldwide depression.
[00:14:49.297 --> 00:14:54.182]  And if the lockdowns continue, it is going to accelerate genocide by starvation.
[00:14:55.343 --> 00:15:07.621]   So remember when some maskey and some virtue-signaling turd is telling you, be a hero, like Trudeau said, wear a mask, take your shots, go through the hardships of the lockdown together.
[00:15:07.821 --> 00:15:10.983]  We're heroes under Stockholm Syndrome and learned helplessness.
[00:15:11.283 --> 00:15:22.470]  Remember that that's the weak-minded followers being programmed by the abusers to go along with that while their first world economy is destroyed and while the third world is literally killed.
[00:15:24.191 --> 00:15:30.855]  And listen, I don't want our borders wide open and third world brought in here unlimited, dependent to become voters to displace my rights.
[00:15:32.625 --> 00:15:36.066]  That's one end of the globalists collapsing the third world to use them as a weapon against us.
[00:15:36.466 --> 00:15:40.207]  But it also doesn't mean I sign on to their genocide and their death.
[00:15:42.788 --> 00:15:47.830]  Going back six years ago in Venezuela, they were having over 2,000 deaths a week from starvation.
[00:15:48.090 --> 00:15:55.992]  The government passed a law, 10 years in prison, look it up, if you registered as a nurse or a doctor that someone died of starvation.
[00:15:56.393 --> 00:15:57.573]  So now they don't say starvation.
[00:15:59.980 --> 00:16:07.365]  And now the numbers are over 5,000 a week that starve to death in Venezuela, but they call it other things.
[00:16:09.087 --> 00:16:12.830]  See, when you start starving, you get a cold, it kills you instead of you just getting sick.
[00:16:14.391 --> 00:16:20.162]   And 40 million people And now over 300 million are on the verge of starvation, the UN's own numbers.
[00:16:20.582 --> 00:16:32.590]  Over 40 million people, most of them children, died in the dark with no electricity, with no food, dying because of your precious leftist lockdown and your damn virtue signaling.
[00:16:35.552 --> 00:16:41.829]   And is there any Doubt why almost every corporate pitch person is black now.
[00:16:42.469 --> 00:17:04.541]  I mean, you turn on cable, you turn on TV, you turn on radio, all the voices are, quote, black because the corporations that are murdering everybody and they're completely racist against humanity, period, are literally wrapping themselves in blackness so people think AT&T is black or people think that Lockheed Martin's black.
[00:17:06.764 --> 00:17:14.413]  And while the ADL tells you, you do what the left says, you give up all your rights, you give up your guns, you accept lockdowns, or you're a racist.
[00:17:15.796 --> 00:17:16.877]  What do people say all over the news?
[00:17:16.957 --> 00:17:21.820]  From The View to CNN, if you're against lockdowns, they call you a white supremacist.
[00:17:22.741 --> 00:17:39.533]  I saw over 20 videos, we played them last week, when they had that big rally against the mandates and the forced injections, and talk about true tyranny in DC with hundreds of thousands of people, and the left came up and screamed at them and said, you are white supremacist!
[00:17:40.413 --> 00:17:42.154]  You need to be in jail!
[00:17:42.534 --> 00:17:58.660]  What the hell does not wanting an experimental Pfizer or Moderna shot from Bill Gates and me that doesn't work, that erases my immune system, that causes serious health problems, what the hell does a World ID to track what I do have to do with white supremacy?
[00:17:59.000 --> 00:18:00.941]  And the answer is everything.
[00:18:05.603 --> 00:18:08.064]  Because the globalists want to get rid of everybody.
[00:18:09.386 --> 00:18:12.067]  Not just the poor, but the wealthy as well that they don't control.
[00:18:12.648 --> 00:18:34.500]  And it is about tribalism, globalist death cult, control of the media, control of the resources, stolen all the wealth, believes it owns the planet, and it wants to teach us to fight with each other over what color we are and play us off against each other while they, the new super race, the uber mention, the super men that Hitler talked about, take over the planet.
[00:18:35.160 --> 00:18:49.044]  And they're white, and they're black, and they're Asian, and they're Hispanic, but predominantly they're white, inbred old families, and they are literally carrying out their 2.0 depopulation wrapped in leftist ideology.
[00:18:53.265 --> 00:18:56.166]  Now, I'm going to open the phones up and I'm going to take your phone calls.
[00:18:56.186 --> 00:18:57.166]  That's what we're going to do, phone calls.
[00:18:58.387 --> 00:19:06.976]   And I want to hear specifically from people in Canada, I want to hear specifically from people in Ottawa.
[00:19:07.336 --> 00:19:09.098]  I want to hear specifically from truckers.
[00:19:09.698 --> 00:19:11.040]  So let's open the phone system up, guys.
[00:19:12.020 --> 00:19:21.709]  I do not want to hear from people in Texas or people in California or people in Albuquerque, New Mexico or New York City.
[00:19:23.018 --> 00:19:37.903]  I want to hear from Canadians, but first and foremost, truckers and protesters and demonstrators that we salute that are on the ground right now in Canada, the front lines of fighting tyranny.
[00:19:38.164 --> 00:19:55.312]   Because if we don't turn this back now, and if we don't understand it's a great reset, and a world government, and a post-industrial world, And if we don't say no to this system that's literally designed to shut off our resources and bring in an authoritarian control grid and depopulation, they're going to win.
[00:19:55.692 --> 00:20:00.475]  You don't just fight heads of the Hydra, you got to go at the heart of the Hydra and where this comes from.
[00:20:02.216 --> 00:20:08.079]  And that's why they're trying to shut us down because we get the full paradigm and are not trying to monopolize this information.
[00:20:08.839 --> 00:20:11.381]  The globalists monopolize this understanding of enslavement and control.
[00:20:11.701 --> 00:20:13.462]  We are demonopolizing it.
[00:20:14.528 --> 00:20:19.013]  And distributing it to everyone, the truth, so you can defeat them, because I believe in you.
[00:20:19.654 --> 00:20:25.440]  The globalists, when they've tried to hire me to join them, at the highest levels, and I don't say that like bragging, it's real.
[00:20:28.484 --> 00:20:33.470]  They say, it doesn't matter if you warn these people, they're profane, they're low, they're going to be destroyed.
[00:20:33.990 --> 00:20:35.472]  They will destroy you if you try to help them.
[00:20:36.098 --> 00:20:41.783]  Well, my soul doesn't feel good pretending to be God like Klaus Schwab, and so I'll go with how my soul feels.
[00:20:42.623 --> 00:20:48.968]  And my soul feels good standing up for poor people, and black people, and brown people, and white people, and any people, children.
[00:20:49.509 --> 00:20:54.513]  My soul feels good standing up for prosperity, and justice, and human innovation, and going to the stars.
[00:20:54.833 --> 00:20:58.756]  It doesn't feel good pretending to play God and joining with you people.
[00:20:59.679 --> 00:21:02.200]  You tried to get my dad to join you, he didn't join you.
[00:21:02.421 --> 00:21:04.422]  You tried to get me to join you, I didn't join you.
[00:21:04.702 --> 00:21:08.184]  And I'm here to tell the general viewers, this show is not my opinion.
[00:21:08.504 --> 00:21:10.025]  This broadcast is not a game.
[00:21:11.365 --> 00:21:12.026]  This is real.
[00:21:12.046 --> 00:21:13.246]  So let me give you the toll-free number.
[00:21:13.266 --> 00:21:13.587]  877-789-2539.
[00:21:13.607 --> 00:21:13.647]  877-789-2539.
[00:21:13.667 --> 00:21:16.048]  And the first caller, and I'm so nice about this, is from Georgia.
[00:21:15.867 --> 00:21:23.666]   877-789-2539 and the first caller, and I'm so nice about this, is from Georgia.
[00:21:23.666 --> 00:21:29.827]   We're not taking that call. In fact, we won't take calls, fine.
[00:21:28.547 --> 00:21:39.612]  Shut the calls down, because I'm a nice guy, but I mean, I'm like in a weird hallucination here, where we're taking calls from Canada, and there's calls from the U.S.
[00:21:39.712 --> 00:21:40.212]  already on the board.
[00:21:41.373 --> 00:21:42.533]  I'm not being a prima donna here.
[00:21:43.354 --> 00:21:45.094]  We're taking calls from Canada.
[00:21:45.955 --> 00:21:49.016]  They need a shot to get on air.
[00:21:49.416 --> 00:21:54.699]  They need a shot to tell us what's happening there, so we can talk to them.
[00:21:55.606 --> 00:21:58.987]  That means no calls from the United States.
[00:21:59.007 --> 00:21:59.327]  877-789-2539.
[00:21:59.347 --> 00:22:00.107]  877-789-2539.
[00:22:00.467 --> 00:22:17.832]  We are doing an emergency live Saturday broadcast to honor the million-plus people on their way or who are already in the capital of Canada under that insane level of Great Reset tyranny.
[00:22:21.021 --> 00:22:27.211]  Because if they can take down Spain or Australia or Canada, they can take any of our nations down.
[00:22:27.411 --> 00:22:32.038]  This is a global attack and I love the propaganda on Australia and Canada.
[00:22:32.987 --> 00:22:33.467]  Or Germany.
[00:22:34.048 --> 00:22:34.408]  So what?
[00:22:34.428 --> 00:22:37.891]  We're starting forced injections next month in Germany, they say.
[00:22:38.171 --> 00:22:39.392]  Stay out of our business!
[00:22:39.772 --> 00:22:40.172]  Oh, really?
[00:22:40.252 --> 00:22:55.243]  Big multinational corporations come in, buy off the governments, buy off the media, force-feed all this garbage down on top of people, and we know it's a worldwide plan, and then we're not supposed to say, hey, what's happening in North Korea looks bad.
[00:22:55.584 --> 00:22:57.665]  What's happening to the Uyghurs in China looks bad.
[00:22:57.965 --> 00:23:00.908]  What's happening in all these tyrannies are our business.
[00:23:01.687 --> 00:23:10.756]  When other humans are being enslaved, when other humans are being told they're obsolete, when other humans are being attacked and annihilated, that is our business.
[00:23:11.276 --> 00:23:12.497]  All of our businesses.
[00:23:12.758 --> 00:23:17.542]  And we better get involved or it will happen to us!
[00:23:19.224 --> 00:23:20.625]  That is what empathy is about.
[00:23:20.845 --> 00:23:46.927]   Now I want to air a Greg Reeves report as we get these calls lined up that deals I want to air this Gregory's report that deals, it's a few minutes long and we'll go to our guest, that deals with the red states and the confirmed documents from the former chief scientist at Pfizer that these injections are causing mass death and that it's being deployed to red states.
[00:23:46.947 --> 00:23:47.707]  We have that ready, right?
[00:23:50.249 --> 00:23:56.193]  Here is that report and we'll come back with our first guest on the ground in Ottawa, Canada, and then calls from Canada.
[00:23:56.960 --> 00:23:58.203]  I'm gonna go make a note in there right now.
[00:23:58.745 --> 00:24:00.710]  Calls from Canada at 877-789-2539.
[00:24:00.770 --> 00:24:01.432]  Here's the report.
[00:24:01.251 --> 00:24:03.251]  Here's the report. This is so important.
[00:24:03.251 --> 00:24:10.251]  [ Music ]
[00:24:10.251 --> 00:24:18.251]   Ex-head of respiratory research at Pfizer, Mike Yieden, and researchers, including Craig Particouper,
[00:24:18.251 --> 00:24:23.251]   have sourced VAERS data on vaccine death and injury in the U.S.,
[00:24:23.251 --> 00:24:32.251]   a database of over 700,000 adverse reactions caused by the Moderna, Pfizer, and Janssen vaccines.
[00:24:32.251 --> 00:24:34.251]  and Janssen vaccines.
[00:24:34.288 --> 00:24:39.750]  These vaccines have been deployed in different batches, officially referred to as lots.
[00:24:40.390 --> 00:24:47.416]  This has allowed Yeadon's team to back-engineer Big Pharma's COVID-19 vaccine deployment agenda in the U.S.
[00:24:48.217 --> 00:24:53.961]  All their information is published at howbadismybatch.com and howbad.info.
[00:24:54.722 --> 00:24:56.503]  And what we learn is quite telling.
[00:24:57.204 --> 00:25:07.632]  About 0.5% of all the different batches are highly toxic, resulting in hospitalization, disability, and death within days or weeks of injection.
[00:25:08.473 --> 00:25:13.638]  Other batches cause minimal adverse reactions and most appear to be harmless placebos.
[00:25:14.539 --> 00:25:24.028]  When plotting on a timeline, we can see that these three companies have been working together to quietly monitor the lethal effectiveness of specific deadly batches.
[00:25:25.188 --> 00:25:38.571]  While one company is deploying a lethal batch, the other two deploy harmless ones, creating the scientific environment to perform dose range finding, or the maximum tolerated dose for each specific batch.
[00:25:39.431 --> 00:25:51.014]  The timeline shows that each lethal batch deployment is preceded and followed by a quiet period, allowing them time to establish their baseline before the next deadly batch is deployed.
[00:25:51.994 --> 00:25:58.898]  Private leaked documents from the CDC show a list of expiry dates and only certain lots are included.
[00:25:59.619 --> 00:26:03.741]  The very same lots found to be highly toxic in part of Cooper's database.
[00:26:04.542 --> 00:26:05.282]  Which makes sense.
[00:26:05.742 --> 00:26:09.545]  There would be no reason to list expiration dates for saline placebo.
[00:26:10.485 --> 00:26:11.466]  Only the deadly ones.
[00:26:12.648 --> 00:26:21.272]  This mode of deployment allows governments the ability to direct deadly batches into specific populations, such as red states.
[00:26:22.233 --> 00:26:31.778]  Analysis of the number of dying per 100,000 vaccinated in 50 states shows us that the overwhelming majority of vaccine deaths are happening in red states.
[00:26:32.907 --> 00:26:37.972]  Some red states are experiencing 11 times more vaccine deaths than other states.
[00:26:38.853 --> 00:26:44.019]  On average, red states are experiencing twice the amount of vaccine death and injuries than blue states.
[00:26:44.880 --> 00:26:55.431]  After ruling out other possibilities, Parda-Cooper concluded that this can only be due to the fact that red states received at least twice as much of the lethal batches than blue states did.
[00:26:57.256 --> 00:27:08.162]  Among several other crimes, they are tipping the scales of the democratic process by killing people who voted against the New World Order's woke, build back better, great reset.
[00:27:09.323 --> 00:27:14.165]  While at the same time, endlessly flooding the borders with unvaccinated foreigners.
[00:27:15.566 --> 00:27:16.927]  And it's happening right now.
[00:27:18.488 --> 00:27:21.128]  Reporting for InfoWars, this is Greg Reese.
[00:27:21.128 --> 00:27:47.138]   ♪ ("KDTV News Theme" plays) ♪ From the front lines of the Information War, it's Alex
[00:27:47.138 --> 00:27:48.128]  Jones.
[00:27:48.128 --> 00:27:56.128]   ♪ ("KDTV News Theme" plays) ♪ ♪ ("KDTV News Theme" plays) ♪
[00:27:56.128 --> 00:28:05.128]   ♪ ("KDTV News Theme" plays) ♪ ♪ ("KDTV News Theme" plays) ♪
[00:28:05.469 --> 00:28:19.120]  All right, ladies and gentlemen, you can see a live feed that just shows a tiny part of Ottawa, the capital there of the great country of Canada, now under great reset globalist takeover, where they're literally training him to live in a martial law society.
[00:28:19.180 --> 00:28:20.541]  Klaus Schwab brags on U.S.
[00:28:20.561 --> 00:28:25.345]  television that he controls cabinet of Canada and he controls the Prime Minister.
[00:28:26.045 --> 00:28:30.667]  Jeremy McKenzie is a 14-year combat veteran in the Canadian Infantry and served in Afghanistan.
